district,census_variable,value
Albert Park,M_Arthritis_0_14,0.0
Ashwood,M_Arthritis_0_14,0.0
Bass,M_Arthritis_0_14,0.0
Bayswater,M_Arthritis_0_14,0.0
Bellarine,M_Arthritis_0_14,0.0
Benambra,M_Arthritis_0_14,4.0
Bendigo East,M_Arthritis_0_14,0.0
Bendigo West,M_Arthritis_0_14,0.0
Bentleigh,M_Arthritis_0_14,0.0
Berwick,M_Arthritis_0_14,0.0
Box Hill,M_Arthritis_0_14,0.0
Brighton,M_Arthritis_0_14,0.0
Broadmeadows,M_Arthritis_0_14,0.0
Brunswick,M_Arthritis_0_14,0.0
Bulleen,M_Arthritis_0_14,0.0
Bundoora,M_Arthritis_0_14,3.0
Carrum,M_Arthritis_0_14,0.0
Caulfield,M_Arthritis_0_14,0.0
Clarinda,M_Arthritis_0_14,0.0
Cranbourne,M_Arthritis_0_14,0.0
Croydon,M_Arthritis_0_14,0.0
Dandenong,M_Arthritis_0_14,5.0
Eildon,M_Arthritis_0_14,0.0
Eltham,M_Arthritis_0_14,4.0
Essendon,M_Arthritis_0_14,0.0
Eureka,M_Arthritis_0_14,0.0
Euroa,M_Arthritis_0_14,0.0
Evelyn,M_Arthritis_0_14,0.0
Footscray,M_Arthritis_0_14,3.0
Frankston,M_Arthritis_0_14,0.0
Geelong,M_Arthritis_0_14,4.0
Gippsland East,M_Arthritis_0_14,0.0
Gippsland South,M_Arthritis_0_14,3.0
Glen Waverley,M_Arthritis_0_14,0.0
Greenvale,M_Arthritis_0_14,4.0
Hastings,M_Arthritis_0_14,3.0
Hawthorn,M_Arthritis_0_14,0.0
Ivanhoe,M_Arthritis_0_14,3.0
Kalkallo,M_Arthritis_0_14,0.0
Kew,M_Arthritis_0_14,0.0
Kororoit,M_Arthritis_0_14,3.0
Lara,M_Arthritis_0_14,0.0
Laverton,M_Arthritis_0_14,0.0
Lowan,M_Arthritis_0_14,0.0
Macedon,M_Arthritis_0_14,0.0
Malvern,M_Arthritis_0_14,4.0
Melbourne,M_Arthritis_0_14,0.0
Melton,M_Arthritis_0_14,0.0
Mildura,M_Arthritis_0_14,0.0
Mill Park,M_Arthritis_0_14,0.0
Monbulk,M_Arthritis_0_14,0.0
Mordialloc,M_Arthritis_0_14,0.0
Mornington,M_Arthritis_0_14,0.0
Morwell,M_Arthritis_0_14,3.0
Mulgrave,M_Arthritis_0_14,0.0
Murray Plains,M_Arthritis_0_14,0.0
Narracan,M_Arthritis_0_14,0.0
Narre Warren North,M_Arthritis_0_14,0.0
Narre Warren South,M_Arthritis_0_14,3.0
Nepean,M_Arthritis_0_14,0.0
Niddrie,M_Arthritis_0_14,0.0
Northcote,M_Arthritis_0_14,0.0
Oakleigh,M_Arthritis_0_14,0.0
Ovens Valley,M_Arthritis_0_14,0.0
Pakenham,M_Arthritis_0_14,0.0
Pascoe Vale,M_Arthritis_0_14,0.0
Point Cook,M_Arthritis_0_14,0.0
Polwarth,M_Arthritis_0_14,5.0
Prahran,M_Arthritis_0_14,0.0
Preston,M_Arthritis_0_14,0.0
Richmond,M_Arthritis_0_14,0.0
Ringwood,M_Arthritis_0_14,0.0
Ripon,M_Arthritis_0_14,0.0
Rowville,M_Arthritis_0_14,0.0
Sandringham,M_Arthritis_0_14,0.0
Shepparton,M_Arthritis_0_14,0.0
South Barwon,M_Arthritis_0_14,3.0
South-West Coast,M_Arthritis_0_14,0.0
St Albans,M_Arthritis_0_14,0.0
Sunbury,M_Arthritis_0_14,0.0
Sydenham,M_Arthritis_0_14,0.0
Tarneit,M_Arthritis_0_14,0.0
Thomastown,M_Arthritis_0_14,0.0
Warrandyte,M_Arthritis_0_14,0.0
Wendouree,M_Arthritis_0_14,0.0
Werribee,M_Arthritis_0_14,0.0
Williamstown,M_Arthritis_0_14,0.0
Yan Yean,M_Arthritis_0_14,0.0
Albert Park,M_Arthritis_0_14_pc,0.0
Ashwood,M_Arthritis_0_14_pc,0.0
Bass,M_Arthritis_0_14_pc,0.0
Bayswater,M_Arthritis_0_14_pc,0.0
Bellarine,M_Arthritis_0_14_pc,0.0
Benambra,M_Arthritis_0_14_pc,0.0001
Bendigo East,M_Arthritis_0_14_pc,0.0
Bendigo West,M_Arthritis_0_14_pc,0.0
Bentleigh,M_Arthritis_0_14_pc,0.0
Berwick,M_Arthritis_0_14_pc,0.0
Box Hill,M_Arthritis_0_14_pc,0.0
Brighton,M_Arthritis_0_14_pc,0.0
Broadmeadows,M_Arthritis_0_14_pc,0.0
Brunswick,M_Arthritis_0_14_pc,0.0
Bulleen,M_Arthritis_0_14_pc,0.0
Bundoora,M_Arthritis_0_14_pc,0.0
Carrum,M_Arthritis_0_14_pc,0.0
Caulfield,M_Arthritis_0_14_pc,0.0
Clarinda,M_Arthritis_0_14_pc,0.0
Cranbourne,M_Arthritis_0_14_pc,0.0
Croydon,M_Arthritis_0_14_pc,0.0
Dandenong,M_Arthritis_0_14_pc,0.0001
Eildon,M_Arthritis_0_14_pc,0.0
Eltham,M_Arthritis_0_14_pc,0.0001
Essendon,M_Arthritis_0_14_pc,0.0
Eureka,M_Arthritis_0_14_pc,0.0
Euroa,M_Arthritis_0_14_pc,0.0
Evelyn,M_Arthritis_0_14_pc,0.0
Footscray,M_Arthritis_0_14_pc,0.0
Frankston,M_Arthritis_0_14_pc,0.0
Geelong,M_Arthritis_0_14_pc,0.0001
Gippsland East,M_Arthritis_0_14_pc,0.0
Gippsland South,M_Arthritis_0_14_pc,0.0
Glen Waverley,M_Arthritis_0_14_pc,0.0
Greenvale,M_Arthritis_0_14_pc,0.0001
Hastings,M_Arthritis_0_14_pc,0.0
Hawthorn,M_Arthritis_0_14_pc,0.0
Ivanhoe,M_Arthritis_0_14_pc,0.0
Kalkallo,M_Arthritis_0_14_pc,0.0
Kew,M_Arthritis_0_14_pc,0.0
Kororoit,M_Arthritis_0_14_pc,0.0
Lara,M_Arthritis_0_14_pc,0.0
Laverton,M_Arthritis_0_14_pc,0.0
Lowan,M_Arthritis_0_14_pc,0.0
Macedon,M_Arthritis_0_14_pc,0.0
Malvern,M_Arthritis_0_14_pc,0.0001
Melbourne,M_Arthritis_0_14_pc,0.0
Melton,M_Arthritis_0_14_pc,0.0
Mildura,M_Arthritis_0_14_pc,0.0
Mill Park,M_Arthritis_0_14_pc,0.0
Monbulk,M_Arthritis_0_14_pc,0.0
Mordialloc,M_Arthritis_0_14_pc,0.0
Mornington,M_Arthritis_0_14_pc,0.0
Morwell,M_Arthritis_0_14_pc,0.0
Mulgrave,M_Arthritis_0_14_pc,0.0
Murray Plains,M_Arthritis_0_14_pc,0.0
Narracan,M_Arthritis_0_14_pc,0.0
Narre Warren North,M_Arthritis_0_14_pc,0.0
Narre Warren South,M_Arthritis_0_14_pc,0.0
Nepean,M_Arthritis_0_14_pc,0.0
Niddrie,M_Arthritis_0_14_pc,0.0
