district,Neg_Nil_inc_cpl_fam_no_child_pc,Neg_Nil_inc_cpl_fam_wth_chld_pc,Neg_Nil_inc_One_parent_fam_pc,Neg_Nil_inc_Other_fam_pc,Neg_Nil_inc_Tot_pc,FI_1_149_cpl_fam_no_child_pc,FI_1_149_cpl_fam_with_child_pc,FI_1_149_One_parent_fam_pc,FI_1_149_Other_fam_pc,FI_1_149_Tot_pc,FI_150_299_cpl_fam_no_child_pc,FI_150_299_cpl_fam_with_child_pc,FI_150_299_One_parent_fam_pc,FI_150_299_Other_fam_pc,FI_150_299_Tot_pc,FI_300_399_cpl_fam_no_child_pc,FI_300_399_cpl_fam_with_child_pc,FI_300_399_One_parent_fam_pc,FI_300_399_Other_fam_pc,FI_300_399_Tot_pc,FI_400_499_cpl_fam_no_child_pc,FI_400_499_cpl_fam_with_child_pc,FI_400_499_One_parent_fam_pc,FI_400_499_Other_fam_pc,FI_400_499_Tot_pc,FI_500_649_cpl_fam_no_child_pc,FI_500_649_cpl_fam_with_child_pc,FI_500_649_One_parent_fam_pc,FI_500_649_Other_fam_pc,FI_500_649_Tot_pc,FI_650_799_cpl_fam_no_child_pc,FI_650_799_cpl_fam_with_child_pc,FI_650_799_One_parent_fam_pc,FI_650_799_Other_fam_pc,FI_650_799_Tot_pc,FI_800_999_cpl_fam_no_child_pc,FI_800_999_cpl_fam_wth_chld_pc,FI_800_999_One_parent_fam_pc,FI_800_999_Other_fam_pc,FI_800_999_Tot_pc,FI_1000_1249_cpl_fam_no_child_pc,FI_1000_1249_cpl_fam_wth_chld_pc,FI_1000_1249_One_parent_fam_pc,FI_1000_1249_Other_fam_pc,FI_1000_1249_Tot_pc,FI_1250_1499_cpl_fam_no_child_pc,FI_1250_1499_cpl_fam_wth_chld_pc,FI_1250_1499_One_parent_fam_pc,FI_1250_1499_Other_fam_pc,FI_1250_1499_Tot_pc,FI_1500_1749_cpl_fam_no_child_pc,FI_1500_1749_cpl_fam_wth_chld_pc,FI_1500_1749_One_parent_fam_pc,FI_1500_1749_Other_fam_pc,FI_1500_1749_Tot_pc,FI_1750_1999_cpl_fam_no_child_pc,FI_1750_1999_cpl_fam_wth_chld_pc,FI_1750_1999_One_parent_fam_pc,FI_1750_1999_Other_fam_pc,FI_1750_1999_Tot_pc,FI_2000_2499_cpl_fam_no_child_pc,FI_2000_2499_cpl_fam_wth_chld_pc,FI_2000_2499_One_parent_fam_pc,FI_2000_2499_Other_fam_pc,FI_2000_2499_Tot_pc,FI_2500_2999_cpl_fam_no_child_pc,FI_2500_2999_cpl_fam_wth_chld_pc,FI_2500_2999_One_parent_fam_pc,FI_2500_2999_Other_fam_pc,FI_2500_2999_Tot_pc,FI_3000_3499_cpl_fam_no_child_pc,FI_3000_3499_cpl_fam_wth_chld_pc,FI_3000_3499_One_parent_fam_pc,FI_3000_3499_Other_fam_pc,FI_3000_3499_Tot_pc,FI_3500_3999_cpl_fam_no_child_pc,FI_3500_3999_cpl_fam_wth_chld_pc,FI_3500_3999_One_parent_fam_pc,FI_3500_3999_Other_fam_pc,FI_3500_3999_Tot_pc,FI_4000_more_cpl_fam_no_child_pc,FI_4000_more_cpl_fam_wth_chld_pc,FI_4000_more_One_parent_fam_pc,FI_4000_more_Other_fam_pc,FI_4000_more_Tot_pc,Prt_inc_std_cpl_fam_no_child_pc,Part_inc_std_cpl_fam_wth_chld_pc,Part_inc_statd_One_parent_fam_pc,Partial_income_statd_Othr_fam_pc,Partial_income_stated_Tot_pc,All_inc_ns_cpl_fam_no_child_pc,All_inc_ns_cpl_fam_wth_chld_pc,All_incomes_ns_One_parent_fam_pc,All_incomes_ns_Other_fam_pc,All_incomes_ns_Tot_pc,Tot_cpl_fam_no_child_pc,Tot_cpl_fam_wth_chld_pc,Tot_One_parent_fam_pc,Tot_Other_fam_pc,Tot_Tot_pc
Clarinda,0.0119,0.0015,0.0034,0.0002,0.0227,0.001,0.0002,0.0003,0.0,0.0027,0.0004,0.0003,0.001,0.0,0.0041,0.0002,0.0004,0.0022,0.0,0.0061,0.0082,0.0009,0.0037,0.0,0.0184,0.005,0.0026,0.0059,0.0,0.0187,0.0449,0.0075,0.0107,0.0003,0.0669,0.0273,0.0121,0.012,0.0012,0.0585,0.025,0.0234,0.0158,0.0003,0.0701,0.0281,0.0268,0.0152,0.0013,0.079,0.0135,0.0281,0.0108,0.0009,0.0617,0.0174,0.0315,0.0092,0.0004,0.0628,0.0344,0.0711,0.0163,0.0012,0.1256,0.0207,0.0595,0.0069,0.0003,0.094,0.0166,0.0467,0.0029,0.0,0.0754,0.0087,0.0361,0.0007,0.0,0.0488,0.0152,0.0906,0.002,0.0,0.1149,0.0069,0.0277,0.0079,0.0,0.0457,0.004,0.0024,0.0002,0.0,0.0112,0.3259,0.4889,0.171,0.0172,1.0
Cranbourne,0.0065,0.0007,0.0021,0.0,0.0145,0.0001,0.0,0.0001,0.0,0.0011,0.001,0.0003,0.0001,0.0,0.0025,0.0,0.0,0.0003,0.0,0.0008,0.004,0.001,0.0046,0.0,0.0124,0.0017,0.0015,0.0105,0.0,0.018,0.0267,0.0056,0.0111,0.0,0.0491,0.0167,0.0154,0.0168,0.0004,0.0544,0.0172,0.0266,0.015,0.0001,0.0651,0.0199,0.0451,0.0148,0.0004,0.0881,0.0144,0.0441,0.0108,0.0001,0.0745,0.0179,0.0446,0.0089,0.0,0.0775,0.0473,0.1074,0.0138,0.0006,0.1726,0.0287,0.075,0.0039,0.0003,0.1131,0.0144,0.0511,0.0023,0.0,0.0754,0.0078,0.0268,0.0,0.0,0.0379,0.0073,0.044,0.0007,0.0,0.0564,0.0075,0.0295,0.0075,0.0001,0.0524,0.0018,0.0021,0.0012,0.0,0.0078,0.274,0.5506,0.1564,0.0126,1.0
Croydon,0.0047,0.0009,0.0007,0.0,0.011,0.0013,0.0,0.0002,0.0,0.0018,0.0001,0.0,0.0,0.0,0.0017,0.0003,0.0,0.0005,0.0,0.0025,0.0041,0.0,0.0036,0.0,0.0109,0.0032,0.0008,0.0067,0.0,0.0157,0.0307,0.0034,0.0095,0.0,0.0515,0.0262,0.0047,0.0179,0.0,0.0524,0.0285,0.0102,0.016,0.0003,0.0619,0.0309,0.0224,0.0154,0.0005,0.0741,0.0185,0.0237,0.0097,0.0005,0.0572,0.017,0.0256,0.008,0.0,0.0614,0.0486,0.0654,0.0194,0.0004,0.1372,0.0371,0.0644,0.0063,0.0,0.1145,0.025,0.0547,0.0012,0.0,0.0868,0.0165,0.0366,0.0008,0.0,0.0582,0.028,0.0903,0.0025,0.0,0.1235,0.0069,0.0248,0.01,0.0,0.0501,0.0022,0.0012,0.0003,0.0,0.0073,0.3621,0.456,0.1706,0.0115,1.0
Dandenong,0.0101,0.0033,0.0034,0.0002,0.024,0.0011,0.0001,0.0006,0.0,0.0037,0.0011,0.0008,0.0025,0.0,0.0068,0.0006,0.0009,0.0038,0.0,0.0091,0.0115,0.0034,0.0062,0.0,0.0306,0.004,0.0075,0.0103,0.0,0.0296,0.0475,0.0163,0.0167,0.0001,0.0852,0.027,0.0259,0.0228,0.0011,0.0818,0.023,0.0394,0.0189,0.001,0.0899,0.0284,0.0467,0.0172,0.0006,0.0992,0.0159,0.0394,0.0112,0.0006,0.0741,0.0159,0.0391,0.0073,0.0003,0.0701,0.0345,0.0695,0.013,0.0014,0.1281,0.0166,0.0463,0.0049,0.0001,0.0766,0.0074,0.033,0.0019,0.0001,0.047,0.0045,0.0162,0.0006,0.0,0.0259,0.0045,0.0259,0.0011,0.0001,0.0366,0.0085,0.0249,0.0097,0.0001,0.0541,0.0049,0.0022,0.0018,0.0,0.0145,0.3065,0.4685,0.203,0.0229,1.0
Eildon,0.0046,0.0002,0.0005,0.0,0.0082,0.0022,0.0002,0.0002,0.0,0.0031,0.0009,0.0003,0.0003,0.0,0.0028,0.0014,0.0,0.0017,0.0,0.0035,0.01,0.0,0.0027,0.0,0.0173,0.0057,0.0004,0.0061,0.0003,0.0187,0.0485,0.003,0.01,0.0,0.0647,0.0349,0.0044,0.0143,0.0,0.0597,0.041,0.0118,0.0139,0.0004,0.073,0.0427,0.0221,0.0113,0.0,0.0849,0.0231,0.0228,0.0047,0.0003,0.0625,0.0288,0.0287,0.0033,0.0,0.0662,0.0596,0.0656,0.0089,0.0,0.1331,0.0295,0.0514,0.0037,0.0,0.0892,0.0218,0.0378,0.0016,0.0,0.0645,0.0084,0.0235,0.0,0.0,0.0385,0.0291,0.0597,0.0004,0.0,0.0951,0.0179,0.0388,0.0104,0.0,0.0725,0.007,0.0026,0.0007,0.0,0.0131,0.4502,0.3968,0.1436,0.0074,1.0
Eltham,0.0035,0.0003,0.0004,0.0,0.008,0.0004,0.0,0.0,0.0,0.0018,0.0008,0.0,0.0,0.0,0.0016,0.0,0.0,0.0004,0.0,0.0009,0.0027,0.0,0.0006,0.0,0.0075,0.0023,0.0002,0.0026,0.0,0.0084,0.0221,0.0003,0.004,0.0,0.0303,0.0186,0.0012,0.0066,0.0,0.0356,0.0281,0.0046,0.0084,0.0,0.0466,0.0352,0.0114,0.0096,0.0,0.0604,0.0166,0.0119,0.0053,0.0,0.0442,0.016,0.0172,0.0056,0.0,0.0501,0.0454,0.0495,0.0163,0.0,0.1145,0.0324,0.0609,0.0051,0.0004,0.1032,0.0224,0.0667,0.0038,0.0,0.1022,0.0126,0.0497,0.0008,0.0,0.0718,0.045,0.188,0.0039,0.0,0.2394,0.0058,0.0317,0.0057,0.0,0.0528,0.0014,0.0012,0.0004,0.0,0.0075,0.3466,0.5203,0.1256,0.0048,1.0
Essendon,0.0035,0.0002,0.0015,0.0002,0.0084,0.0004,0.0,0.0007,0.0,0.0023,0.0,0.0002,0.0016,0.0,0.0027,0.0,0.0,0.0023,0.0,0.003,0.0026,0.0008,0.0038,0.0002,0.0117,0.0022,0.0007,0.0052,0.0,0.0111,0.0203,0.0015,0.0059,0.0002,0.0326,0.0148,0.0037,0.0072,0.0003,0.0312,0.0192,0.007,0.0092,0.0006,0.0478,0.027,0.01,0.0083,0.0009,0.0499,0.0162,0.0102,0.0059,0.0,0.0423,0.0199,0.008,0.006,0.0004,0.0438,0.0488,0.0333,0.011,0.0012,0.1027,0.0419,0.0381,0.0028,0.0016,0.0902,0.0371,0.0418,0.0019,0.0004,0.0882,0.0254,0.032,0.0005,0.0004,0.0646,0.074,0.2068,0.006,0.0009,0.2941,0.0083,0.0206,0.0062,0.0,0.0441,0.002,0.0016,0.0011,0.0,0.0067,0.396,0.4499,0.1293,0.0215,1.0
Eureka,0.0047,0.0002,0.0005,0.0,0.0084,0.001,0.0,0.0003,0.0,0.0023,0.0007,0.0,0.0002,0.0,0.0014,0.0003,0.0,0.0007,0.0,0.0018,0.007,0.0005,0.0039,0.0,0.0139,0.005,0.0007,0.0115,0.0,0.0219,0.0406,0.0026,0.0115,0.0,0.0623,0.0302,0.0035,0.0148,0.0003,0.058,0.0336,0.0128,0.0153,0.0002,0.0702,0.0397,0.0229,0.0124,0.0005,0.0806,0.019,0.024,0.0096,0.0003,0.0588,0.0236,0.0257,0.0067,0.0,0.0643,0.0506,0.0658,0.0104,0.0003,0.1365,0.0355,0.0593,0.0035,0.0003,0.1037,0.0249,0.0513,0.002,0.0,0.0803,0.0123,0.0304,0.0008,0.0,0.0495,0.0259,0.0693,0.0017,0.0,0.1022,0.0115,0.0279,0.007,0.0,0.0559,0.0044,0.0017,0.0009,0.0,0.0115,0.398,0.4313,0.1604,0.0104,1.0
Euroa,0.005,0.0,0.0002,0.0,0.0086,0.0015,0.0,0.0,0.0,0.0018,0.0011,0.0002,0.0004,0.0,0.0029,0.0011,0.0,0.0013,0.0,0.0034,0.0124,0.0002,0.006,0.0002,0.0231,0.0064,0.0011,0.0096,0.0,0.0214,0.0652,0.0026,0.0128,0.0002,0.0855,0.0402,0.0036,0.0154,0.0002,0.0756,0.0432,0.0137,0.0129,0.0002,0.0811,0.0445,0.0224,0.0138,0.0007,0.0875,0.0208,0.0242,0.0077,0.0,0.0586,0.0234,0.0248,0.0062,0.0,0.0613,0.0554,0.0562,0.0075,0.0,0.1266,0.0345,0.0401,0.0027,0.0002,0.085,0.0219,0.0314,0.0006,0.0,0.061,0.0096,0.0177,0.0004,0.0,0.033,0.025,0.0385,0.0014,0.0,0.0676,0.0203,0.0343,0.0097,0.0,0.0716,0.01,0.003,0.0017,0.0002,0.0195,0.4779,0.3505,0.1593,0.0116,1.0
Evelyn,0.0041,0.0003,0.0007,0.0,0.0075,0.0016,0.0,0.0,0.0,0.0025,0.0006,0.0,0.0005,0.0,0.0021,0.0002,0.0003,0.0009,0.0,0.0022,0.0048,0.0,0.0029,0.0,0.0124,0.0042,0.0002,0.0049,0.0,0.0129,0.034,0.0017,0.0074,0.0003,0.0478,0.0259,0.0024,0.0109,0.0,0.0462,0.0299,0.0102,0.0139,0.0003,0.0592,0.0314,0.0187,0.0107,0.0002,0.0698,0.0166,0.025,0.008,0.0,0.0552,0.0195,0.0274,0.0048,0.0,0.0605,0.0489,0.0787,0.0148,0.0006,0.1467,0.0358,0.0743,0.0041,0.0004,0.1172,0.0241,0.0648,0.0018,0.0,0.097,0.0147,0.0427,0.0005,0.0,0.0596,0.0229,0.0925,0.0021,0.0002,0.1188,0.007,0.0315,0.0083,0.0,0.0543,0.0036,0.0015,0.0004,0.0,0.0109,0.3554,0.4919,0.1373,0.0091,1.0
