district,Neg_Nil_inc_cpl_fam_no_child_pc,Neg_Nil_inc_cpl_fam_wth_chld_pc,Neg_Nil_inc_One_parent_fam_pc,Neg_Nil_inc_Other_fam_pc,Neg_Nil_inc_Tot_pc,FI_1_149_cpl_fam_no_child_pc,FI_1_149_cpl_fam_with_child_pc,FI_1_149_One_parent_fam_pc,FI_1_149_Other_fam_pc,FI_1_149_Tot_pc,FI_150_299_cpl_fam_no_child_pc,FI_150_299_cpl_fam_with_child_pc,FI_150_299_One_parent_fam_pc,FI_150_299_Other_fam_pc,FI_150_299_Tot_pc,FI_300_399_cpl_fam_no_child_pc,FI_300_399_cpl_fam_with_child_pc,FI_300_399_One_parent_fam_pc,FI_300_399_Other_fam_pc,FI_300_399_Tot_pc,FI_400_499_cpl_fam_no_child_pc,FI_400_499_cpl_fam_with_child_pc,FI_400_499_One_parent_fam_pc,FI_400_499_Other_fam_pc,FI_400_499_Tot_pc,FI_500_649_cpl_fam_no_child_pc,FI_500_649_cpl_fam_with_child_pc,FI_500_649_One_parent_fam_pc,FI_500_649_Other_fam_pc,FI_500_649_Tot_pc,FI_650_799_cpl_fam_no_child_pc,FI_650_799_cpl_fam_with_child_pc,FI_650_799_One_parent_fam_pc,FI_650_799_Other_fam_pc,FI_650_799_Tot_pc,FI_800_999_cpl_fam_no_child_pc,FI_800_999_cpl_fam_wth_chld_pc,FI_800_999_One_parent_fam_pc,FI_800_999_Other_fam_pc,FI_800_999_Tot_pc,FI_1000_1249_cpl_fam_no_child_pc,FI_1000_1249_cpl_fam_wth_chld_pc,FI_1000_1249_One_parent_fam_pc,FI_1000_1249_Other_fam_pc,FI_1000_1249_Tot_pc,FI_1250_1499_cpl_fam_no_child_pc,FI_1250_1499_cpl_fam_wth_chld_pc,FI_1250_1499_One_parent_fam_pc,FI_1250_1499_Other_fam_pc,FI_1250_1499_Tot_pc,FI_1500_1749_cpl_fam_no_child_pc,FI_1500_1749_cpl_fam_wth_chld_pc,FI_1500_1749_One_parent_fam_pc,FI_1500_1749_Other_fam_pc,FI_1500_1749_Tot_pc,FI_1750_1999_cpl_fam_no_child_pc,FI_1750_1999_cpl_fam_wth_chld_pc,FI_1750_1999_One_parent_fam_pc,FI_1750_1999_Other_fam_pc,FI_1750_1999_Tot_pc,FI_2000_2499_cpl_fam_no_child_pc,FI_2000_2499_cpl_fam_wth_chld_pc,FI_2000_2499_One_parent_fam_pc,FI_2000_2499_Other_fam_pc,FI_2000_2499_Tot_pc,FI_2500_2999_cpl_fam_no_child_pc,FI_2500_2999_cpl_fam_wth_chld_pc,FI_2500_2999_One_parent_fam_pc,FI_2500_2999_Other_fam_pc,FI_2500_2999_Tot_pc,FI_3000_3499_cpl_fam_no_child_pc,FI_3000_3499_cpl_fam_wth_chld_pc,FI_3000_3499_One_parent_fam_pc,FI_3000_3499_Other_fam_pc,FI_3000_3499_Tot_pc,FI_3500_3999_cpl_fam_no_child_pc,FI_3500_3999_cpl_fam_wth_chld_pc,FI_3500_3999_One_parent_fam_pc,FI_3500_3999_Other_fam_pc,FI_3500_3999_Tot_pc,FI_4000_more_cpl_fam_no_child_pc,FI_4000_more_cpl_fam_wth_chld_pc,FI_4000_more_One_parent_fam_pc,FI_4000_more_Other_fam_pc,FI_4000_more_Tot_pc,Prt_inc_std_cpl_fam_no_child_pc,Part_inc_std_cpl_fam_wth_chld_pc,Part_inc_statd_One_parent_fam_pc,Partial_income_statd_Othr_fam_pc,Partial_income_stated_Tot_pc,All_inc_ns_cpl_fam_no_child_pc,All_inc_ns_cpl_fam_wth_chld_pc,All_incomes_ns_One_parent_fam_pc,All_incomes_ns_Other_fam_pc,All_incomes_ns_Tot_pc,Tot_cpl_fam_no_child_pc,Tot_cpl_fam_wth_chld_pc,Tot_One_parent_fam_pc,Tot_Other_fam_pc,Tot_Tot_pc
Footscray,0.0031,0.0003,0.001,0.0,0.0076,0.0022,0.0,0.0,0.0,0.0021,0.0004,0.0002,0.0002,0.0002,0.002,0.0,0.0,0.0017,0.0,0.0029,0.0047,0.001,0.003,0.0003,0.0132,0.0033,0.0014,0.0028,0.0002,0.0133,0.021,0.0027,0.0058,0.0002,0.0351,0.0118,0.0044,0.012,0.001,0.0396,0.015,0.0116,0.0115,0.0009,0.0468,0.0213,0.017,0.0102,0.0007,0.0611,0.0152,0.0128,0.007,0.0003,0.0463,0.0165,0.0172,0.0077,0.0004,0.0497,0.0517,0.0411,0.0176,0.0018,0.1181,0.0469,0.0388,0.0041,0.001,0.0999,0.0403,0.0478,0.003,0.0,0.0956,0.0303,0.0338,0.001,0.0003,0.0701,0.0773,0.1431,0.006,0.0009,0.2327,0.0106,0.0163,0.0062,0.0002,0.0388,0.0016,0.0004,0.0002,0.0,0.0047,0.4092,0.4174,0.1435,0.0276,1.0
Frankston,0.0035,0.0002,0.001,0.0,0.008,0.0012,0.0,0.0,0.0,0.002,0.0006,0.0003,0.0008,0.0,0.0021,0.0004,0.0,0.002,0.0,0.0048,0.0054,0.0002,0.0073,0.0,0.017,0.0039,0.0005,0.0116,0.0,0.0241,0.0362,0.0027,0.0174,0.0,0.0599,0.0247,0.0039,0.0226,0.0003,0.0611,0.0277,0.0103,0.0261,0.0015,0.0715,0.0327,0.0195,0.019,0.001,0.0815,0.0191,0.0202,0.0149,0.0003,0.0558,0.0225,0.0216,0.0103,0.0002,0.0639,0.0503,0.0595,0.0193,0.0004,0.1344,0.0339,0.0548,0.0064,0.0003,0.0995,0.0256,0.0435,0.0026,0.0,0.079,0.0126,0.0303,0.0005,0.0,0.0513,0.0233,0.0694,0.0021,0.0,0.099,0.0079,0.0239,0.0143,0.0,0.051,0.0036,0.0016,0.0024,0.0,0.0113,0.3697,0.3854,0.2221,0.0163,1.0
Geelong,0.0024,0.0003,0.0004,0.0,0.0049,0.0007,0.0,0.0002,0.0,0.002,0.0006,0.0,0.0002,0.0,0.002,0.0,0.0,0.0019,0.0,0.0033,0.0064,0.0,0.0035,0.0,0.0159,0.0053,0.0011,0.0099,0.0003,0.0194,0.0387,0.0013,0.0101,0.0,0.0601,0.0262,0.0037,0.0165,0.0004,0.0541,0.034,0.0085,0.0157,0.0006,0.0654,0.0359,0.0169,0.0138,0.0004,0.0771,0.0188,0.0174,0.0098,0.0,0.0534,0.0228,0.0171,0.0073,0.0004,0.0567,0.046,0.0538,0.011,0.0004,0.1248,0.0384,0.0476,0.0046,0.0005,0.0987,0.0293,0.0489,0.002,0.0,0.0849,0.0152,0.0329,0.0002,0.0,0.0556,0.0372,0.1039,0.0019,0.0002,0.1449,0.0111,0.0261,0.008,0.0,0.0515,0.0038,0.0012,0.0021,0.0,0.0102,0.4098,0.41,0.1611,0.0152,1.0
Gippsland East,0.0064,0.0,0.001,0.0,0.0101,0.0024,0.0,0.0003,0.0,0.0029,0.001,0.0,0.0006,0.0,0.0028,0.001,0.0,0.0017,0.0,0.0044,0.0143,0.0006,0.0043,0.0,0.0238,0.0106,0.0004,0.0088,0.0,0.0259,0.0864,0.0032,0.0143,0.0,0.1051,0.0547,0.0053,0.0156,0.0009,0.0809,0.0529,0.014,0.014,0.0002,0.0912,0.0571,0.0264,0.0095,0.0,0.0985,0.0227,0.0244,0.0051,0.0,0.0613,0.0286,0.0273,0.0033,0.0,0.0669,0.0501,0.0546,0.0055,0.0,0.1149,0.028,0.041,0.0006,0.0002,0.07,0.0141,0.0268,0.0004,0.0,0.0475,0.0064,0.0116,0.0,0.0,0.0247,0.015,0.0287,0.0006,0.0,0.0512,0.0201,0.0321,0.008,0.0,0.0678,0.0105,0.001,0.0018,0.0002,0.0187,0.5198,0.326,0.1423,0.0106,1.0
Gippsland South,0.0072,0.0,0.0005,0.0,0.0106,0.0044,0.0002,0.0,0.0,0.0053,0.0024,0.0,0.0002,0.0,0.0046,0.0006,0.0,0.0015,0.0,0.0034,0.0146,0.0002,0.0064,0.0,0.0242,0.0075,0.0006,0.0103,0.0,0.0218,0.0651,0.0024,0.012,0.0003,0.0834,0.044,0.005,0.0142,0.0004,0.0717,0.048,0.0133,0.0131,0.0002,0.0839,0.0489,0.0218,0.0151,0.0002,0.0894,0.0224,0.022,0.0066,0.0,0.0585,0.027,0.0262,0.0046,0.0,0.0629,0.0527,0.0569,0.007,0.0,0.122,0.0262,0.0416,0.0015,0.0,0.0765,0.0184,0.0332,0.0002,0.0,0.061,0.0071,0.0196,0.0,0.0,0.0313,0.0252,0.0496,0.0007,0.0,0.08,0.0176,0.0354,0.007,0.0002,0.0694,0.0096,0.0019,0.0016,0.0002,0.0173,0.4829,0.3609,0.142,0.0091,1.0
Glen Waverley,0.0161,0.0011,0.0065,0.0,0.0293,0.0034,0.0,0.0003,0.0,0.0063,0.0013,0.0003,0.0006,0.0,0.0056,0.0004,0.0,0.0018,0.0,0.0041,0.0094,0.0009,0.002,0.0,0.019,0.0063,0.0022,0.0029,0.0,0.017,0.0346,0.0037,0.0037,0.0001,0.0509,0.0253,0.0105,0.0081,0.0002,0.0511,0.0269,0.0133,0.01,0.0003,0.0609,0.0301,0.0212,0.0093,0.0002,0.0658,0.0127,0.0209,0.0061,0.0005,0.0458,0.0173,0.0202,0.0049,0.0003,0.0543,0.0301,0.06,0.0107,0.0006,0.112,0.0212,0.055,0.0039,0.0,0.0863,0.015,0.0588,0.0022,0.0,0.08,0.0072,0.0392,0.0006,0.0,0.051,0.0284,0.1465,0.0031,0.0,0.1816,0.0064,0.0325,0.0049,0.0,0.0491,0.0033,0.0007,0.0004,0.0,0.0076,0.3408,0.5129,0.1325,0.0119,1.0
Greenvale,0.0058,0.0047,0.0025,0.0,0.0211,0.0006,0.0003,0.0002,0.0,0.0023,0.0005,0.0018,0.0016,0.0,0.0068,0.0003,0.001,0.0023,0.0,0.0051,0.0028,0.005,0.0038,0.0,0.0219,0.0035,0.0079,0.0082,0.0,0.0276,0.0327,0.0207,0.0128,0.0,0.0688,0.0167,0.0243,0.016,0.0008,0.0614,0.0131,0.0368,0.0154,0.0,0.0747,0.0172,0.0452,0.0164,0.0002,0.0849,0.0084,0.0415,0.0089,0.0004,0.0663,0.0098,0.0391,0.0068,0.0,0.0607,0.027,0.0815,0.0133,0.0004,0.1263,0.0185,0.0584,0.0073,0.0,0.0931,0.0112,0.0509,0.0027,0.0,0.0711,0.0047,0.0335,0.0004,0.0,0.0428,0.0104,0.0707,0.0015,0.0,0.0883,0.0053,0.0379,0.006,0.0,0.0554,0.0018,0.0063,0.0011,0.0,0.0152,0.2356,0.5832,0.1741,0.0104,1.0
Hastings,0.0047,0.0005,0.0002,0.0,0.0078,0.0008,0.0,0.0,0.0,0.0016,0.0007,0.0,0.0004,0.0,0.0018,0.0006,0.0,0.0003,0.0,0.0022,0.0065,0.0,0.0043,0.0,0.0156,0.003,0.0003,0.0091,0.0,0.0178,0.0428,0.001,0.014,0.0002,0.0617,0.0306,0.0035,0.015,0.0,0.054,0.032,0.0118,0.0174,0.0003,0.0693,0.0333,0.0176,0.0163,0.0002,0.0771,0.0192,0.0255,0.0099,0.0,0.0577,0.0208,0.0262,0.0081,0.0,0.0602,0.0534,0.0739,0.0131,0.0003,0.1447,0.0349,0.0653,0.0024,0.0002,0.1111,0.0241,0.0535,0.0007,0.0002,0.0811,0.0115,0.0335,0.0002,0.0,0.0509,0.0201,0.0769,0.0014,0.0,0.1021,0.011,0.0299,0.0097,0.0,0.0554,0.0047,0.0012,0.0011,0.0,0.0124,0.3844,0.437,0.1668,0.0082,1.0
Hawthorn,0.0044,0.0004,0.0039,0.0,0.0126,0.0002,0.0,0.0002,0.0,0.0025,0.0002,0.0,0.0005,0.0,0.0014,0.0002,0.0002,0.0012,0.0,0.0024,0.0019,0.0002,0.001,0.0002,0.0073,0.002,0.0,0.0017,0.0,0.0088,0.0104,0.0007,0.0021,0.0,0.0215,0.0087,0.0012,0.0034,0.0,0.0221,0.0169,0.0024,0.0055,0.0002,0.034,0.024,0.006,0.0045,0.0003,0.0464,0.0145,0.0049,0.0037,0.0003,0.0329,0.021,0.0058,0.0042,0.0002,0.0396,0.0497,0.0256,0.0104,0.0007,0.0897,0.0444,0.0237,0.0029,0.0012,0.0802,0.037,0.0278,0.0031,0.0,0.0762,0.0279,0.022,0.0003,0.0002,0.0562,0.1072,0.2662,0.0128,0.0,0.3867,0.0102,0.0325,0.0064,0.0,0.0541,0.0011,0.0006,0.0,0.0003,0.0047,0.4189,0.4491,0.1093,0.0176,1.0
Ivanhoe,0.0047,0.0002,0.0006,0.0002,0.01,0.0008,0.0,0.0,0.0,0.0019,0.0,0.0,0.0012,0.0,0.0014,0.0002,0.0,0.001,0.0,0.0027,0.0059,0.0003,0.0028,0.0,0.0123,0.002,0.0004,0.0045,0.0,0.0137,0.0222,0.0021,0.0059,0.0,0.0389,0.0172,0.0029,0.0105,0.0008,0.0355,0.0231,0.0076,0.0105,0.0005,0.0479,0.0204,0.0126,0.0093,0.0002,0.0533,0.016,0.0125,0.0089,0.0003,0.0449,0.018,0.0184,0.0072,0.0002,0.0534,0.0438,0.0452,0.0171,0.0007,0.1115,0.0413,0.0452,0.0041,0.0002,0.0921,0.0328,0.0515,0.0024,0.0,0.0918,0.021,0.0391,0.0002,0.0,0.0666,0.0555,0.1847,0.007,0.0,0.2527,0.0103,0.0236,0.0065,0.0,0.048,0.0026,0.001,0.001,0.0,0.007,0.3685,0.4736,0.1465,0.016,1.0
Kalkallo,0.0086,0.0014,0.0018,0.0,0.0195,0.0001,0.0002,0.0,0.0,0.001,0.0003,0.0008,0.0008,0.0,0.003,0.0003,0.0006,0.0005,0.0,0.0025,0.002,0.0055,0.003,0.0,0.0146,0.0018,0.0071,0.0075,0.0,0.0234,0.0168,0.0132,0.0113,0.0,0.0484,0.0106,0.0255,0.014,0.0003,0.0555,0.0121,0.0374,0.0133,0.0003,0.0676,0.0159,0.0515,0.0109,0.0004,0.0866,0.0122,0.0467,0.0087,0.0,0.0731,0.0136,0.051,0.0056,0.0,0.0751,0.0428,0.1061,0.0097,0.0008,0.1597,0.0239,0.0725,0.0047,0.0003,0.1079,0.0117,0.0533,0.0006,0.0001,0.0724,0.0072,0.0312,0.0006,0.0,0.0411,0.0097,0.0532,0.0011,0.0,0.0713,0.0059,0.0292,0.0045,0.0,0.0482,0.0018,0.004,0.0005,0.0,0.0099,0.236,0.6079,0.1418,0.0113,1.0
Kew,0.0077,0.0023,0.0082,0.0,0.0238,0.0012,0.0002,0.0006,0.0,0.003,0.0003,0.0002,0.0029,0.0,0.0062,0.0003,0.0003,0.0009,0.0,0.0035,0.0033,0.0004,0.0022,0.0,0.0104,0.0016,0.0011,0.0027,0.0,0.0091,0.0156,0.0029,0.0034,0.0,0.0275,0.0103,0.0035,0.0052,0.0,0.0264,0.0167,0.009,0.01,0.0005,0.0411,0.0198,0.0106,0.0071,0.0006,0.0477,0.0112,0.0129,0.0039,0.0003,0.0369,0.0171,0.0131,0.0038,0.0,0.0394,0.0373,0.0377,0.0143,0.0006,0.0941,0.0307,0.0329,0.0049,0.0002,0.0741,0.025,0.0368,0.0041,0.0,0.0739,0.0155,0.0309,0.0009,0.0,0.0526,0.0698,0.2454,0.0121,0.0001,0.3312,0.0096,0.0402,0.0079,0.0,0.0614,0.0004,0.0014,0.0,0.0,0.0054,0.3319,0.5098,0.1435,0.0118,1.0
Kororoit,0.0103,0.0021,0.0047,0.0,0.0232,0.0002,0.0001,0.0,0.0,0.0016,0.0007,0.0006,0.0011,0.0,0.0064,0.0004,0.0007,0.0042,0.0,0.0068,0.006,0.0013,0.0045,0.0,0.0193,0.0034,0.0035,0.0076,0.0,0.0222,0.0319,0.0123,0.0095,0.0003,0.0612,0.0169,0.0171,0.0149,0.0003,0.0559,0.0117,0.0296,0.017,0.0004,0.0685,0.0168,0.0398,0.0146,0.0005,0.0772,0.0094,0.0366,0.0085,0.0004,0.0644,0.009,0.0387,0.0073,0.0002,0.067,0.0295,0.0891,0.0127,0.0005,0.1399,0.0198,0.0689,0.0053,0.0,0.0992,0.0116,0.0528,0.0017,0.0002,0.0751,0.0077,0.0348,0.0009,0.0,0.0466,0.0084,0.0722,0.0016,0.0002,0.0903,0.006,0.0298,0.0077,0.0,0.0507,0.0031,0.0041,0.0021,0.0,0.012,0.2509,0.5646,0.168,0.0148,1.0
Lara,0.0035,0.0003,0.002,0.0,0.0091,0.0005,0.0,0.0006,0.0,0.0019,0.0006,0.0,0.001,0.0,0.0039,0.0003,0.0,0.0024,0.0,0.0042,0.0059,0.0008,0.0086,0.0,0.0232,0.0032,0.0016,0.0159,0.0,0.0251,0.0501,0.003,0.0202,0.0002,0.0792,0.0283,0.0082,0.0243,0.0012,0.0668,0.0266,0.0196,0.0236,0.0002,0.078,0.0336,0.0248,0.0184,0.0009,0.0805,0.0167,0.024,0.0127,0.0004,0.0648,0.0188,0.0239,0.0055,0.0,0.0576,0.0459,0.0644,0.0156,0.0011,0.1317,0.0256,0.0486,0.0026,0.0,0.0871,0.0199,0.0408,0.0014,0.0,0.067,0.0084,0.0246,0.0006,0.0,0.0396,0.0182,0.0546,0.0021,0.0,0.0806,0.01,0.0264,0.0116,0.0002,0.053,0.0054,0.0013,0.0014,0.0,0.0139,0.3586,0.4023,0.214,0.017,1.0
Laverton,0.0106,0.0019,0.0029,0.0,0.0221,0.0015,0.0,0.0006,0.0,0.0027,0.0001,0.0007,0.0016,0.0,0.0052,0.0009,0.0,0.0028,0.0,0.0072,0.0049,0.0015,0.0045,0.0,0.0181,0.002,0.0051,0.0107,0.0,0.0237,0.0272,0.0101,0.011,0.0006,0.0552,0.0159,0.0191,0.0132,0.0007,0.0561,0.0144,0.0287,0.0132,0.0015,0.0649,0.0226,0.0441,0.0145,0.0012,0.0831,0.0124,0.0367,0.01,0.0005,0.0678,0.0123,0.0342,0.0084,0.0009,0.068,0.0331,0.0812,0.0124,0.002,0.1356,0.0253,0.0612,0.0043,0.0003,0.096,0.0167,0.048,0.0031,0.0002,0.0751,0.013,0.0292,0.0005,0.0,0.0451,0.0211,0.0657,0.0013,0.0,0.0921,0.0083,0.0266,0.0082,0.0,0.0491,0.0033,0.0014,0.0015,0.0,0.0114,0.282,0.5266,0.1665,0.0252,1.0
Lowan,0.0036,0.0002,0.0002,0.0,0.0073,0.0012,0.0,0.0002,0.0,0.0022,0.0002,0.0004,0.0003,0.0,0.0029,0.0004,0.0,0.0018,0.0,0.0038,0.0112,0.0007,0.005,0.0,0.0206,0.0069,0.0004,0.0079,0.0,0.0251,0.0622,0.0027,0.0118,0.0,0.0828,0.0371,0.0064,0.0162,0.0002,0.0702,0.0455,0.0128,0.0159,0.0003,0.0828,0.0467,0.0275,0.0091,0.0008,0.0939,0.0217,0.0237,0.0073,0.0,0.0616,0.0282,0.0267,0.0023,0.0002,0.0688,0.0613,0.0601,0.0053,0.0005,0.1317,0.0371,0.0444,0.0007,0.0,0.0857,0.02,0.0293,0.0004,0.0,0.0546,0.0083,0.0156,0.0,0.0,0.0292,0.0251,0.0371,0.0006,0.0,0.0676,0.0145,0.0317,0.0061,0.0002,0.0638,0.0083,0.0009,0.0008,0.0,0.0159,0.4844,0.3614,0.1396,0.0102,1.0
Macedon,0.0056,0.0,0.0,0.0,0.0083,0.0015,0.0,0.0003,0.0,0.0021,0.0007,0.0,0.0006,0.0,0.0026,0.0007,0.0,0.0005,0.0,0.0022,0.0079,0.0,0.0021,0.0,0.0134,0.0023,0.0004,0.0058,0.0,0.0146,0.0354,0.0012,0.0068,0.0,0.0476,0.026,0.0029,0.0086,0.0,0.0443,0.0337,0.0087,0.0107,0.0002,0.0584,0.0407,0.0153,0.0083,0.0,0.0708,0.0224,0.0159,0.0068,0.0,0.0528,0.0233,0.0267,0.0052,0.0,0.0586,0.0479,0.0569,0.0108,0.0,0.1176,0.0362,0.0522,0.0031,0.0,0.0929,0.0311,0.0529,0.0016,0.0,0.0871,0.0171,0.038,0.0,0.0,0.0588,0.054,0.1126,0.0027,0.0004,0.1719,0.0161,0.037,0.0079,0.0,0.0629,0.0036,0.0013,0.0005,0.0,0.0107,0.43,0.4387,0.123,0.0038,1.0
Malvern,0.002,0.0013,0.0025,0.0,0.0096,0.0004,0.0,0.0002,0.0,0.0012,0.0004,0.0,0.0006,0.0,0.002,0.0002,0.0,0.0007,0.0,0.001,0.0012,0.0,0.0012,0.0002,0.0073,0.0014,0.0,0.0016,0.0,0.0069,0.0122,0.0002,0.0028,0.0002,0.0199,0.0109,0.0011,0.0022,0.0,0.0223,0.0145,0.0013,0.0047,0.0,0.0288,0.0211,0.0039,0.0056,0.0004,0.036,0.0109,0.004,0.0047,0.0004,0.0299,0.0195,0.0056,0.0052,0.0,0.0366,0.049,0.0195,0.013,0.0005,0.0911,0.0426,0.0242,0.0022,0.0,0.0768,0.0348,0.0289,0.004,0.0005,0.0707,0.0236,0.0174,0.0003,0.0,0.05,0.1333,0.2569,0.0161,0.0002,0.4115,0.0114,0.0295,0.0073,0.0,0.0584,0.0018,0.0011,0.0,0.0,0.0064,0.4304,0.4292,0.1195,0.018,1.0
Melbourne,0.0145,0.0006,0.0038,0.0045,0.0273,0.0015,0.0,0.0003,0.0008,0.0056,0.0026,0.0,0.0012,0.0007,0.008,0.0015,0.0,0.0019,0.0004,0.0061,0.0043,0.0004,0.0031,0.0007,0.0125,0.0051,0.0006,0.0039,0.0013,0.0166,0.0159,0.0016,0.0039,0.0028,0.0325,0.0193,0.0015,0.0057,0.0028,0.0389,0.0335,0.0046,0.0054,0.0031,0.0544,0.044,0.0059,0.006,0.0032,0.0717,0.0312,0.0053,0.0043,0.0022,0.0524,0.0384,0.0058,0.0031,0.0015,0.0575,0.084,0.0222,0.007,0.0032,0.1214,0.0622,0.016,0.0004,0.0019,0.0889,0.049,0.0166,0.0009,0.0007,0.0764,0.0337,0.0132,0.0002,0.0004,0.0547,0.1165,0.0745,0.0034,0.0004,0.2007,0.0178,0.0089,0.0022,0.0,0.0383,0.0009,0.0001,0.0014,0.0,0.0037,0.6091,0.2208,0.1042,0.0595,1.0
Melton,0.0075,0.001,0.0028,0.0,0.0153,0.0007,0.0004,0.0,0.0,0.0016,0.0001,0.0004,0.0025,0.0,0.0042,0.0002,0.0,0.0021,0.0,0.0036,0.0031,0.0009,0.0076,0.0,0.0183,0.0027,0.0033,0.0187,0.0,0.0285,0.0329,0.0092,0.0182,0.0002,0.0674,0.0172,0.0169,0.0239,0.0004,0.065,0.0211,0.0289,0.0225,0.0007,0.0781,0.0235,0.0446,0.0181,0.0003,0.0934,0.0154,0.0393,0.009,0.0,0.0719,0.0174,0.0407,0.0079,0.0,0.0748,0.0413,0.086,0.0154,0.0007,0.1477,0.0269,0.061,0.0036,0.0006,0.0979,0.0123,0.0382,0.0015,0.0001,0.0617,0.0047,0.0215,0.0004,0.0002,0.0309,0.0111,0.046,0.0011,0.0001,0.0608,0.0074,0.0292,0.0056,0.0,0.0515,0.0028,0.0022,0.0014,0.0,0.0114,0.282,0.498,0.2043,0.0123,1.0
Mildura,0.0041,0.001,0.001,0.0,0.0098,0.0012,0.0,0.0,0.0,0.0014,0.0008,0.0002,0.0013,0.0,0.0041,0.0006,0.0,0.0017,0.0002,0.0049,0.0109,0.0,0.0055,0.0,0.021,0.0027,0.0018,0.0122,0.0,0.0241,0.0568,0.0026,0.0146,0.0002,0.0852,0.0333,0.0064,0.018,0.0005,0.0706,0.0388,0.0198,0.021,0.0005,0.0827,0.0428,0.0285,0.0122,0.0008,0.0876,0.019,0.0272,0.0102,0.0,0.0631,0.0285,0.0249,0.0059,0.0002,0.068,0.0541,0.0605,0.0092,0.0007,0.1289,0.0328,0.0474,0.0018,0.0002,0.0852,0.0175,0.0321,0.0008,0.0,0.0549,0.0042,0.0164,0.0,0.0,0.0252,0.0153,0.0395,0.0004,0.0,0.0589,0.0148,0.0331,0.0078,0.0,0.0661,0.0092,0.0026,0.0031,0.0,0.022,0.4303,0.3783,0.1729,0.014,1.0
Mill Park,0.0083,0.0027,0.0008,0.0,0.0128,0.0016,0.0,0.0,0.0,0.0031,0.0,0.0,0.0,0.0,0.0022,0.0005,0.001,0.0013,0.0,0.0055,0.0039,0.0002,0.0034,0.0,0.0108,0.0042,0.002,0.007,0.0,0.0197,0.0343,0.0092,0.0103,0.0,0.0618,0.017,0.0139,0.0156,0.0,0.0495,0.0194,0.0269,0.014,0.0004,0.0644,0.0267,0.0333,0.0114,0.0003,0.0785,0.0139,0.0331,0.01,0.0,0.065,0.0159,0.0334,0.0088,0.0003,0.0659,0.0385,0.0854,0.0151,0.0006,0.1452,0.0258,0.071,0.0048,0.0004,0.1135,0.0151,0.0587,0.0018,0.0,0.0806,0.0061,0.0387,0.0009,0.0,0.0542,0.0116,0.0749,0.0019,0.0,0.0914,0.0051,0.0307,0.0059,0.0,0.0475,0.0018,0.0029,0.0011,0.0,0.0085,0.2912,0.5335,0.1606,0.0101,1.0
Monbulk,0.0034,0.0001,0.0008,0.0,0.0078,0.0004,0.0,0.0,0.0,0.0021,0.0002,0.0,0.0002,0.0,0.0008,0.0004,0.0,0.0002,0.0,0.0005,0.005,0.0,0.0021,0.0,0.0117,0.0036,0.0,0.0031,0.0,0.0122,0.0278,0.001,0.0086,0.0,0.0397,0.0202,0.0016,0.0078,0.0,0.0419,0.0302,0.0102,0.0115,0.0,0.0599,0.033,0.0173,0.0133,0.0005,0.0711,0.0152,0.0184,0.0075,0.0,0.0521,0.0211,0.0212,0.0071,0.0,0.0568,0.0463,0.0699,0.0139,0.0003,0.1341,0.0396,0.0726,0.0036,0.0005,0.1211,0.0296,0.0624,0.0012,0.0002,0.0968,0.0184,0.0386,0.0002,0.0,0.0622,0.0356,0.1083,0.001,0.0,0.1483,0.0079,0.0327,0.0074,0.0,0.0563,0.0018,0.0021,0.0,0.0,0.0073,0.3696,0.4797,0.1354,0.0064,1.0
Mordialloc,0.0064,0.0004,0.001,0.0,0.0112,0.0008,0.0,0.0,0.0,0.0022,0.0006,0.0002,0.0002,0.0,0.0021,0.0002,0.0,0.0012,0.0,0.0028,0.0036,0.0004,0.0025,0.0,0.0086,0.003,0.0008,0.0032,0.0,0.0114,0.0252,0.0023,0.0048,0.0,0.0387,0.0181,0.0039,0.0093,0.0005,0.0373,0.0207,0.0095,0.0148,0.0002,0.0482,0.0229,0.016,0.0129,0.0002,0.0579,0.0118,0.0177,0.0099,0.0002,0.0456,0.0152,0.0202,0.0077,0.0,0.049,0.0367,0.0638,0.0168,0.0004,0.1205,0.0327,0.0682,0.0059,0.0,0.1099,0.025,0.0659,0.0019,0.0,0.0964,0.0159,0.0486,0.0005,0.0002,0.0696,0.0398,0.1664,0.0032,0.0,0.213,0.0031,0.0264,0.0079,0.0,0.0464,0.0019,0.001,0.0,0.0,0.0066,0.3149,0.529,0.1453,0.01,1.0
Mornington,0.0042,0.0002,0.0004,0.0,0.0076,0.0026,0.0,0.0004,0.0,0.0034,0.0011,0.0002,0.0,0.0,0.0021,0.0,0.0,0.0007,0.0,0.0011,0.009,0.0,0.0017,0.0,0.0138,0.0048,0.0,0.0045,0.0,0.0126,0.0355,0.0005,0.005,0.0,0.0476,0.0316,0.001,0.01,0.0003,0.048,0.0401,0.0058,0.0107,0.0002,0.0646,0.0415,0.0096,0.0114,0.0002,0.0685,0.0178,0.0104,0.0062,0.0003,0.0435,0.0203,0.0159,0.006,0.0,0.0504,0.0437,0.0502,0.0132,0.0003,0.1092,0.0308,0.0535,0.0045,0.0,0.0929,0.0255,0.0525,0.0018,0.0,0.0814,0.0111,0.0434,0.0007,0.0,0.0594,0.048,0.1489,0.0039,0.0,0.2029,0.0093,0.0332,0.0078,0.0002,0.0552,0.005,0.0016,0.0002,0.0,0.0116,0.4136,0.4483,0.1285,0.0055,1.0
