district,CF_no_children_F_pc,CF_no_children_P_pc,CF_ChU15_a_DSs_a_NdCh_F_pc,CF_ChU15_a_DSs_a_NdCh_P_pc,CF_ChU15_a_DSs_a_no_NdCh_F_pc,CF_ChU15_a_DSs_a_no_NdCh_P_pc,CF_ChU15_a_no_DSs_a_NdCh_F_pc,CF_ChU15_a_no_DSs_a_NdCh_P_pc,CF_ChU15_a_no_DSs_a_no_NdCh_F_pc,CF_ChU15_a_no_DSs_a_no_NdCh_P_pc,CF_ChU15_a_Total_F_pc,CF_ChU15_a_Total_P_pc,CF_no_ChU15_a_DSs_a_NdCh_F_pc,CF_no_ChU15_a_DSs_a_NdCh_P_pc,CF_no_ChU15_a_DSs_a_no_NdCh_F_pc,CF_no_ChU15_a_DSs_a_no_NdCh_P_pc,CF_no_ChU15_a_no_DSs_a_NdCh_F_pc,CF_no_ChU15_a_no_DSs_a_NdCh_P_pc,CF_no_ChU15_a_Total_F_pc,CF_no_ChU15_a_Total_P_pc,CF_Total_F_pc,CF_Total_P_pc,OPF_ChU15_a_DSs_a_NdCh_F_pc,OPF_ChU15_a_DSs_a_NdCh_P_pc,OPF_ChU15_a_DSs_a_no_NdCh_F_pc,OPF_ChU15_a_DSs_a_no_NdCh_P_pc,OPF_ChU15_a_no_DSs_a_NdCh_F_pc,OPF_ChU15_a_no_DSs_a_NdCh_P_pc,OPF_ChU15_a_no_DSs_no_NdCh_F_pc,OPF_ChU15_a_no_DSs_no_NdCh_P_pc,OPF_ChU15_a_Total_F_pc,OPF_ChU15_a_Total_P_pc,OPF_no_ChU15_a_DSs_a_NdCh_F_pc,OPF_no_ChU15_a_DSs_a_NdCh_P_pc,OPF_no_ChU15_a_DSs_no_NdCh_F_pc,OPF_no_ChU15_a_DSs_no_NdCh_P_pc,OPF_no_ChU15_no_DSs_a_NdCh_F_pc,OPF_no_ChU15_no_DSs_a_NdCh_P_pc,OPF_no_ChU15_a_Total_F_pc,OPF_no_ChU15_a_Total_P_pc,OPF_Total_F_pc,OPF_Total_P_pc,Other_family_F_pc,Other_family_P_pc,Total_F_pc,Total_P_pc
Narre Warren North,0.103,0.2063,0.0029,0.0245,0.0163,0.081,0.0028,0.0199,0.0748,0.2934,0.0993,0.4192,0.0118,0.0521,0.0135,0.05,0.0389,0.1298,0.0645,0.2321,0.1639,0.6525,0.0001,0.004,0.0015,0.01,0.0011,0.0063,0.0153,0.0425,0.0212,0.0622,0.002,0.0094,0.0031,0.0102,0.0219,0.0491,0.0285,0.0688,0.0496,0.1313,0.0037,0.0101,0.3193,1.0
Narre Warren South,0.0696,0.1439,0.0047,0.0347,0.0218,0.1075,0.0041,0.0214,0.0853,0.3432,0.1173,0.507,0.0114,0.0521,0.014,0.0506,0.0301,0.1043,0.0563,0.2068,0.1736,0.7135,0.0005,0.0064,0.0031,0.0124,0.0014,0.0078,0.0157,0.0459,0.022,0.0716,0.0021,0.01,0.0036,0.0103,0.0178,0.0416,0.0251,0.0621,0.0471,0.133,0.0034,0.0089,0.2956,1.0
Nepean,0.1973,0.394,0.0012,0.0096,0.0118,0.0506,0.0014,0.0128,0.0616,0.241,0.0771,0.3136,0.0047,0.024,0.0093,0.034,0.0263,0.0842,0.0427,0.1413,0.1194,0.4538,0.0,0.0027,0.0026,0.0111,0.0009,0.0062,0.0201,0.0518,0.0263,0.072,0.0009,0.0065,0.0046,0.0143,0.024,0.0508,0.0315,0.0718,0.0587,0.143,0.0043,0.0091,0.3802,1.0
Niddrie,0.1165,0.2348,0.0008,0.0089,0.0161,0.0731,0.0013,0.0088,0.0791,0.3034,0.0985,0.3954,0.0105,0.0486,0.0171,0.0605,0.0361,0.1197,0.0643,0.2296,0.1628,0.6246,0.0,0.0018,0.0025,0.0109,0.0004,0.0039,0.0126,0.0335,0.0184,0.0505,0.0026,0.0099,0.0046,0.0133,0.0246,0.0561,0.0337,0.0782,0.0516,0.1301,0.0042,0.0115,0.3365,1.0
Northcote,0.1454,0.2898,0.0002,0.0055,0.0151,0.0668,0.0003,0.0043,0.092,0.3425,0.1092,0.419,0.0067,0.0308,0.0178,0.0651,0.0215,0.0706,0.0478,0.167,0.157,0.5857,0.0,0.0008,0.0021,0.01,0.0,0.0016,0.0154,0.0354,0.0185,0.0484,0.001,0.0054,0.0058,0.0142,0.0192,0.0417,0.0273,0.0616,0.0464,0.1094,0.0055,0.0139,0.3558,1.0
Oakleigh,0.1411,0.2869,0.0001,0.0043,0.0126,0.0566,0.0007,0.0059,0.0919,0.3375,0.1066,0.4056,0.0068,0.0324,0.0164,0.0612,0.0237,0.0783,0.0496,0.1718,0.1558,0.5763,0.0,0.0007,0.0021,0.0092,0.0001,0.0016,0.0133,0.0316,0.0175,0.0439,0.0009,0.0065,0.0064,0.016,0.0209,0.0462,0.0293,0.069,0.047,0.1133,0.0103,0.0229,0.3558,1.0
Ovens Valley,0.1783,0.3541,0.0012,0.0115,0.0119,0.0643,0.002,0.0158,0.0695,0.2742,0.0886,0.3681,0.0053,0.0269,0.0098,0.0323,0.0239,0.0756,0.0401,0.1342,0.1288,0.5023,0.0001,0.0032,0.0027,0.0134,0.0011,0.0064,0.0215,0.0564,0.0286,0.0811,0.0002,0.0038,0.0037,0.0087,0.0197,0.0419,0.0251,0.0545,0.0548,0.1366,0.0028,0.008,0.3645,1.0
Pakenham,0.1,0.2037,0.002,0.0165,0.0148,0.0691,0.0037,0.019,0.1034,0.4025,0.1245,0.5076,0.0057,0.0278,0.0084,0.0312,0.0186,0.0633,0.035,0.123,0.1596,0.6309,0.0005,0.0054,0.0036,0.0161,0.0012,0.0063,0.0244,0.0659,0.0311,0.0938,0.0024,0.01,0.0042,0.0108,0.0168,0.0402,0.0261,0.0615,0.0569,0.1569,0.0042,0.0095,0.3208,1.0
Pascoe Vale,0.1293,0.2597,0.0015,0.0109,0.0132,0.0595,0.0008,0.0063,0.0934,0.3515,0.1109,0.4305,0.0082,0.0348,0.0134,0.0508,0.0266,0.0866,0.0485,0.1724,0.1591,0.6024,0.0,0.0016,0.0022,0.0092,0.0003,0.0019,0.0164,0.0377,0.0208,0.0514,0.0013,0.008,0.005,0.0132,0.022,0.0488,0.0297,0.0707,0.0503,0.1216,0.0074,0.0169,0.3469,1.0
Point Cook,0.0838,0.1684,0.0014,0.0135,0.017,0.0784,0.0025,0.0138,0.1185,0.4485,0.1409,0.5546,0.0067,0.0309,0.0131,0.0465,0.0217,0.0714,0.0428,0.1498,0.184,0.7048,0.0,0.0031,0.0027,0.0124,0.0003,0.005,0.017,0.0453,0.0222,0.0665,0.0013,0.0074,0.0041,0.0109,0.0138,0.0323,0.0212,0.0509,0.0439,0.1179,0.0032,0.0085,0.3142,1.0
