district,CF_no_children_F_pc,CF_no_children_P_pc,CF_ChU15_a_DSs_a_NdCh_F_pc,CF_ChU15_a_DSs_a_NdCh_P_pc,CF_ChU15_a_DSs_a_no_NdCh_F_pc,CF_ChU15_a_DSs_a_no_NdCh_P_pc,CF_ChU15_a_no_DSs_a_NdCh_F_pc,CF_ChU15_a_no_DSs_a_NdCh_P_pc,CF_ChU15_a_no_DSs_a_no_NdCh_F_pc,CF_ChU15_a_no_DSs_a_no_NdCh_P_pc,CF_ChU15_a_Total_F_pc,CF_ChU15_a_Total_P_pc,CF_no_ChU15_a_DSs_a_NdCh_F_pc,CF_no_ChU15_a_DSs_a_NdCh_P_pc,CF_no_ChU15_a_DSs_a_no_NdCh_F_pc,CF_no_ChU15_a_DSs_a_no_NdCh_P_pc,CF_no_ChU15_a_no_DSs_a_NdCh_F_pc,CF_no_ChU15_a_no_DSs_a_NdCh_P_pc,CF_no_ChU15_a_Total_F_pc,CF_no_ChU15_a_Total_P_pc,CF_Total_F_pc,CF_Total_P_pc,OPF_ChU15_a_DSs_a_NdCh_F_pc,OPF_ChU15_a_DSs_a_NdCh_P_pc,OPF_ChU15_a_DSs_a_no_NdCh_F_pc,OPF_ChU15_a_DSs_a_no_NdCh_P_pc,OPF_ChU15_a_no_DSs_a_NdCh_F_pc,OPF_ChU15_a_no_DSs_a_NdCh_P_pc,OPF_ChU15_a_no_DSs_no_NdCh_F_pc,OPF_ChU15_a_no_DSs_no_NdCh_P_pc,OPF_ChU15_a_Total_F_pc,OPF_ChU15_a_Total_P_pc,OPF_no_ChU15_a_DSs_a_NdCh_F_pc,OPF_no_ChU15_a_DSs_a_NdCh_P_pc,OPF_no_ChU15_a_DSs_no_NdCh_F_pc,OPF_no_ChU15_a_DSs_no_NdCh_P_pc,OPF_no_ChU15_no_DSs_a_NdCh_F_pc,OPF_no_ChU15_no_DSs_a_NdCh_P_pc,OPF_no_ChU15_a_Total_F_pc,OPF_no_ChU15_a_Total_P_pc,OPF_Total_F_pc,OPF_Total_P_pc,Other_family_F_pc,Other_family_P_pc,Total_F_pc,Total_P_pc
Albert Park,0.2233,0.4429,0.0,0.0022,0.009,0.0401,0.0001,0.0035,0.0771,0.2768,0.0883,0.323,0.0025,0.0148,0.0147,0.0497,0.0137,0.0424,0.0311,0.1066,0.1195,0.4287,0.0,0.0012,0.0015,0.0077,0.0003,0.0026,0.0174,0.0388,0.0209,0.0499,0.001,0.0054,0.0084,0.019,0.0151,0.0333,0.0263,0.0559,0.0458,0.1072,0.0095,0.0218,0.3992,1.0
Ashwood,0.1112,0.2232,0.0006,0.0068,0.0181,0.0828,0.0007,0.0058,0.0885,0.338,0.1101,0.4338,0.01,0.0425,0.0251,0.0913,0.0274,0.0872,0.0629,0.2204,0.1726,0.6542,0.0,0.0013,0.0025,0.0109,0.0002,0.0023,0.0125,0.0309,0.0163,0.0448,0.0013,0.0071,0.0081,0.0191,0.0169,0.037,0.0274,0.063,0.0443,0.1083,0.0062,0.0132,0.3346,1.0
Bass,0.1629,0.3265,0.0018,0.0144,0.0131,0.0586,0.0024,0.0183,0.0796,0.3099,0.0988,0.3986,0.0045,0.0227,0.0092,0.03,0.0267,0.0855,0.0409,0.1389,0.1399,0.5386,0.0002,0.003,0.002,0.0115,0.0011,0.0067,0.0179,0.0493,0.0242,0.0708,0.0006,0.0051,0.0031,0.0088,0.0177,0.0414,0.0242,0.056,0.0488,0.1266,0.0023,0.0088,0.3563,1.0
Bayswater,0.1245,0.2512,0.0009,0.0093,0.0125,0.0591,0.0017,0.0112,0.0867,0.3268,0.1034,0.4072,0.0075,0.0352,0.0132,0.045,0.0303,0.0989,0.0517,0.18,0.1553,0.5863,0.0002,0.0036,0.0031,0.0129,0.0007,0.0052,0.0184,0.046,0.024,0.0684,0.0023,0.0103,0.0059,0.0147,0.026,0.0579,0.0344,0.0818,0.06,0.1497,0.0044,0.011,0.3449,1.0
Bellarine,0.1738,0.3463,0.0013,0.0114,0.013,0.06,0.0018,0.0116,0.0748,0.2942,0.0923,0.3771,0.006,0.0281,0.0108,0.04,0.0254,0.0799,0.0442,0.1491,0.1366,0.5257,0.0002,0.0034,0.0034,0.0134,0.0005,0.0037,0.017,0.0442,0.0219,0.0652,0.0012,0.0058,0.0045,0.0098,0.0177,0.0364,0.0237,0.0548,0.0468,0.1191,0.0024,0.0067,0.3609,1.0
Benambra,0.1533,0.3046,0.002,0.0137,0.0136,0.0642,0.0025,0.0159,0.0797,0.3116,0.0993,0.4059,0.005,0.0238,0.0088,0.0306,0.023,0.0747,0.0387,0.1309,0.1388,0.5352,0.0005,0.0042,0.0035,0.0149,0.0011,0.0082,0.0241,0.0651,0.0314,0.0925,0.0009,0.0072,0.0043,0.0116,0.018,0.0397,0.0253,0.058,0.0578,0.1504,0.0037,0.0093,0.3536,1.0
Bendigo East,0.1371,0.2744,0.002,0.0159,0.0145,0.0677,0.0022,0.0173,0.0813,0.3191,0.1018,0.4203,0.0062,0.03,0.0107,0.0372,0.0228,0.0735,0.0406,0.1392,0.1435,0.5584,0.0004,0.0058,0.0036,0.0173,0.0015,0.0088,0.024,0.0645,0.0327,0.096,0.0014,0.0067,0.0045,0.0106,0.0195,0.0424,0.0272,0.0608,0.0597,0.1567,0.0042,0.0094,0.3442,1.0
Bendigo West,0.1552,0.3106,0.0016,0.0138,0.0126,0.0585,0.0029,0.0162,0.0738,0.2822,0.0911,0.3694,0.0048,0.0258,0.0099,0.0342,0.0239,0.0775,0.0408,0.1367,0.1313,0.5057,0.0002,0.0038,0.0042,0.0173,0.0012,0.0073,0.027,0.0725,0.0365,0.1012,0.0008,0.0054,0.0039,0.0113,0.0226,0.0509,0.0299,0.0696,0.0671,0.1703,0.0054,0.0118,0.3605,1.0
Bentleigh,0.1057,0.213,0.0006,0.0065,0.0198,0.0875,0.0011,0.0067,0.0955,0.3605,0.1172,0.4601,0.0087,0.0382,0.0209,0.0749,0.0251,0.0802,0.0553,0.1956,0.1729,0.6546,0.0001,0.0016,0.0026,0.0117,0.0001,0.002,0.0158,0.0384,0.0208,0.0529,0.0015,0.0084,0.0087,0.0212,0.0186,0.0408,0.0307,0.0699,0.0514,0.1228,0.0039,0.0097,0.3338,1.0
Berwick,0.0856,0.1734,0.0022,0.0163,0.0208,0.0964,0.0023,0.0158,0.1057,0.4112,0.1324,0.5394,0.0099,0.0455,0.0166,0.0609,0.0251,0.0827,0.0524,0.1881,0.1848,0.7275,0.0002,0.0028,0.0023,0.01,0.0002,0.0023,0.0137,0.0359,0.017,0.0507,0.001,0.0069,0.0037,0.0098,0.0111,0.0275,0.018,0.0439,0.0351,0.0948,0.0025,0.0059,0.3082,1.0
Box Hill,0.1284,0.2582,0.0009,0.0076,0.0164,0.075,0.0002,0.0051,0.0826,0.3129,0.1035,0.4028,0.0092,0.0394,0.0238,0.0854,0.0234,0.0757,0.0571,0.2012,0.1602,0.604,0.0,0.0012,0.0025,0.0121,0.0003,0.0026,0.0145,0.0353,0.0195,0.0509,0.0015,0.0082,0.0098,0.0233,0.0185,0.0393,0.0311,0.0711,0.0513,0.122,0.0079,0.0164,0.3466,1.0
Brighton,0.1353,0.2685,0.0006,0.007,0.0197,0.0881,0.0004,0.0053,0.0829,0.3147,0.1058,0.4145,0.0096,0.0402,0.0268,0.0965,0.0213,0.0666,0.058,0.2022,0.1629,0.617,0.0,0.0007,0.0023,0.0119,0.0002,0.0013,0.0144,0.0356,0.0196,0.0482,0.0007,0.0054,0.0089,0.0208,0.0148,0.032,0.0258,0.0575,0.0447,0.1053,0.0033,0.009,0.3468,1.0
Broadmeadows,0.1011,0.2049,0.0038,0.0271,0.0136,0.0725,0.003,0.0187,0.0841,0.3358,0.105,0.453,0.007,0.0362,0.0076,0.0293,0.0274,0.095,0.0434,0.1586,0.1482,0.6119,0.0004,0.0051,0.003,0.0144,0.0011,0.0068,0.0172,0.0456,0.0234,0.072,0.0024,0.0115,0.0046,0.0129,0.0295,0.0693,0.0392,0.0929,0.0608,0.1648,0.0083,0.0187,0.3202,1.0
Brunswick,0.1974,0.3946,0.0001,0.0033,0.0105,0.0486,0.0001,0.0026,0.083,0.3008,0.0956,0.3546,0.0039,0.0211,0.015,0.0484,0.0162,0.0532,0.0351,0.1226,0.1309,0.4783,0.0,0.0006,0.0015,0.0074,0.0001,0.0011,0.0149,0.0349,0.0185,0.0452,0.0013,0.0049,0.0044,0.0142,0.0171,0.0408,0.0257,0.0597,0.044,0.1032,0.0111,0.023,0.3857,1.0
Bulleen,0.1312,0.2653,0.0003,0.0069,0.0142,0.0646,0.0008,0.007,0.075,0.2845,0.0922,0.3621,0.0101,0.0466,0.0202,0.0712,0.0374,0.1233,0.068,0.2414,0.16,0.6028,0.0,0.0012,0.0023,0.0116,0.0002,0.0019,0.0129,0.0339,0.0172,0.0478,0.0018,0.0089,0.0073,0.0178,0.0199,0.045,0.0311,0.0727,0.0486,0.1207,0.0048,0.0115,0.3456,1.0
Bundoora,0.1214,0.2463,0.0008,0.0095,0.014,0.0661,0.0013,0.0113,0.0825,0.3149,0.1015,0.4019,0.0107,0.0458,0.0136,0.0511,0.0338,0.1106,0.0587,0.2073,0.16,0.6099,0.0001,0.0033,0.0027,0.0123,0.0006,0.0032,0.0148,0.0377,0.0202,0.0569,0.0021,0.0084,0.0059,0.0138,0.0235,0.0524,0.0324,0.0756,0.0529,0.1306,0.0056,0.0125,0.3408,1.0
Carrum,0.1135,0.2282,0.0017,0.0134,0.0137,0.0631,0.0028,0.0153,0.0931,0.3565,0.1131,0.451,0.0071,0.0317,0.0117,0.0428,0.0272,0.0897,0.0474,0.1645,0.1617,0.6145,0.0001,0.003,0.0034,0.0134,0.0012,0.0068,0.0211,0.0542,0.0273,0.0775,0.0021,0.0086,0.0045,0.0115,0.0225,0.0508,0.0313,0.0713,0.0585,0.1468,0.0033,0.0086,0.3367,1.0
Caulfield,0.1499,0.3015,0.0008,0.0109,0.0174,0.0866,0.0005,0.0058,0.0868,0.3353,0.1076,0.4391,0.0065,0.0322,0.0185,0.0649,0.0173,0.0573,0.0433,0.1537,0.1512,0.5928,0.0,0.0009,0.0013,0.0092,0.0002,0.0014,0.0135,0.0308,0.0175,0.0437,0.0006,0.0041,0.0064,0.0161,0.0142,0.03,0.0225,0.0499,0.0408,0.0932,0.0056,0.0136,0.3492,1.0
Clarinda,0.1076,0.219,0.0015,0.0135,0.0145,0.0689,0.0018,0.0121,0.0791,0.3033,0.0985,0.3973,0.0089,0.041,0.0155,0.0566,0.0373,0.1242,0.0622,0.2221,0.1615,0.6201,0.0,0.0034,0.0028,0.0124,0.0007,0.0047,0.0143,0.0409,0.02,0.0606,0.0024,0.0118,0.0061,0.0158,0.0266,0.0588,0.0351,0.0868,0.0565,0.1481,0.0057,0.015,0.3303,1.0
Cranbourne,0.0847,0.1737,0.0036,0.0246,0.0161,0.0785,0.0035,0.0205,0.111,0.4326,0.135,0.5551,0.0056,0.0279,0.0083,0.0319,0.0202,0.0659,0.035,0.1264,0.1701,0.681,0.0007,0.0066,0.0026,0.0126,0.0012,0.0076,0.0195,0.0547,0.0265,0.081,0.0017,0.0081,0.0032,0.0093,0.0159,0.0365,0.0216,0.054,0.0483,0.136,0.0039,0.0101,0.309,1.0
Croydon,0.124,0.25,0.0009,0.0114,0.013,0.0581,0.0016,0.013,0.0883,0.3378,0.1055,0.4201,0.0088,0.0391,0.0116,0.0387,0.0294,0.0964,0.0494,0.1746,0.1561,0.5954,0.0001,0.0027,0.0034,0.0126,0.001,0.0058,0.0192,0.0472,0.0248,0.0691,0.0019,0.009,0.0057,0.0138,0.0242,0.0534,0.0333,0.0764,0.0584,0.1459,0.0039,0.0092,0.3423,1.0
Dandenong,0.0985,0.2041,0.0033,0.0263,0.0143,0.0745,0.003,0.0185,0.0795,0.3134,0.1026,0.4318,0.0072,0.0354,0.0101,0.0374,0.029,0.0972,0.0473,0.1706,0.1506,0.6022,0.0006,0.0067,0.0034,0.0163,0.0012,0.0074,0.0195,0.0536,0.0265,0.0817,0.0023,0.0124,0.0049,0.0134,0.0284,0.0682,0.0381,0.0938,0.0653,0.1757,0.0074,0.0181,0.3215,1.0
Eildon,0.1603,0.3206,0.0014,0.0152,0.013,0.0617,0.0028,0.0175,0.0729,0.285,0.0923,0.3804,0.0064,0.0309,0.0099,0.0332,0.0318,0.1018,0.0489,0.1659,0.1412,0.5463,0.0001,0.0032,0.0025,0.0117,0.0009,0.0057,0.0161,0.0432,0.0234,0.0644,0.0014,0.0072,0.0031,0.0096,0.0208,0.0453,0.0278,0.0621,0.0511,0.1276,0.0026,0.0069,0.3559,1.0
Eltham,0.1145,0.2294,0.0011,0.0118,0.0169,0.0762,0.0014,0.0095,0.0852,0.3292,0.1051,0.4259,0.0121,0.053,0.0174,0.0653,0.0363,0.1193,0.0671,0.2379,0.1719,0.6625,0.0001,0.0013,0.002,0.0099,0.0001,0.0021,0.0121,0.0314,0.0163,0.0443,0.0019,0.0092,0.0042,0.0121,0.0166,0.0367,0.0252,0.0576,0.0415,0.1025,0.0016,0.0058,0.3303,1.0
Essendon,0.1376,0.2731,0.0006,0.0082,0.0141,0.0687,0.0004,0.0055,0.0842,0.3214,0.1029,0.4041,0.0092,0.0436,0.0179,0.0661,0.0257,0.0855,0.0541,0.1947,0.1563,0.5988,0.0001,0.0016,0.0022,0.0105,0.0001,0.002,0.0153,0.0362,0.0191,0.0496,0.001,0.0067,0.0056,0.0134,0.0187,0.0393,0.0267,0.0604,0.0449,0.1105,0.0075,0.0176,0.3474,1.0
Eureka,0.1365,0.2743,0.0013,0.0141,0.0143,0.0653,0.0037,0.0199,0.0829,0.3277,0.1039,0.4267,0.0065,0.0282,0.0101,0.0351,0.0274,0.0846,0.0435,0.1487,0.1479,0.576,0.0003,0.0039,0.0036,0.0155,0.0009,0.0077,0.0215,0.0553,0.0285,0.0828,0.0014,0.0064,0.004,0.0117,0.0186,0.0412,0.0264,0.0604,0.055,0.1421,0.0036,0.0091,0.343,1.0
Euroa,0.1747,0.3489,0.0019,0.0152,0.0109,0.0526,0.0025,0.0176,0.0661,0.2586,0.0825,0.3442,0.0052,0.0275,0.0083,0.0303,0.0279,0.0916,0.0444,0.1486,0.1281,0.4928,0.0003,0.0031,0.0027,0.0128,0.0013,0.0067,0.0203,0.0549,0.0268,0.0785,0.0005,0.006,0.0038,0.0108,0.0241,0.0534,0.0311,0.0694,0.0582,0.1484,0.0042,0.0102,0.3654,1.0
Evelyn,0.1181,0.2392,0.002,0.0159,0.0139,0.0683,0.0028,0.0184,0.084,0.3312,0.1065,0.4336,0.0103,0.0466,0.0119,0.0421,0.0341,0.1139,0.0567,0.2029,0.1634,0.636,0.0001,0.002,0.0022,0.0103,0.0007,0.0051,0.0136,0.0366,0.0185,0.0536,0.0018,0.0093,0.0034,0.0091,0.0183,0.0429,0.0262,0.0611,0.0456,0.1167,0.003,0.0072,0.3322,1.0
Footscray,0.1465,0.2954,0.0004,0.0054,0.0108,0.0509,0.0007,0.0056,0.096,0.3582,0.1107,0.4193,0.0045,0.0264,0.0134,0.046,0.0197,0.0662,0.0385,0.1385,0.1495,0.5587,0.0,0.0013,0.002,0.009,0.0005,0.004,0.017,0.0409,0.0204,0.0567,0.001,0.0073,0.0056,0.0138,0.0222,0.0477,0.03,0.069,0.0514,0.1246,0.0099,0.0224,0.3581,1.0
Frankston,0.1308,0.2635,0.0007,0.0091,0.0123,0.056,0.0017,0.0124,0.0773,0.2936,0.0938,0.3725,0.0054,0.028,0.0109,0.0388,0.0248,0.0802,0.0433,0.1478,0.1363,0.5201,0.0004,0.0051,0.0049,0.0189,0.0014,0.0092,0.0278,0.0729,0.0365,0.1051,0.0023,0.0118,0.0069,0.018,0.031,0.0675,0.0414,0.097,0.0786,0.2018,0.0058,0.0123,0.3537,1.0
Geelong,0.1445,0.2897,0.0012,0.012,0.0127,0.0645,0.0014,0.0092,0.0855,0.3274,0.1023,0.4123,0.0058,0.0267,0.0123,0.042,0.0242,0.0749,0.0427,0.1449,0.1446,0.5576,0.0,0.0022,0.0026,0.0106,0.0012,0.0059,0.0206,0.052,0.0262,0.0709,0.0017,0.0083,0.0049,0.0132,0.0228,0.049,0.0308,0.0697,0.0568,0.142,0.0054,0.0115,0.3527,1.0
Gippsland East,0.1937,0.3855,0.0018,0.0139,0.0092,0.052,0.0031,0.0199,0.0644,0.2544,0.0818,0.3411,0.0042,0.0197,0.0075,0.0265,0.0258,0.0834,0.0395,0.1305,0.1215,0.4715,0.0001,0.0023,0.0024,0.0125,0.0006,0.0077,0.0212,0.0574,0.0274,0.0805,0.0008,0.005,0.0028,0.0082,0.0194,0.0422,0.0248,0.0562,0.053,0.1365,0.0039,0.0094,0.3727,1.0
Gippsland South,0.1753,0.3501,0.0015,0.014,0.0136,0.0629,0.0027,0.0169,0.0683,0.2746,0.0881,0.3684,0.0052,0.0263,0.0105,0.034,0.0264,0.0828,0.0437,0.143,0.131,0.5125,0.0002,0.0023,0.0022,0.0122,0.0015,0.0077,0.0196,0.0536,0.0254,0.0741,0.0007,0.0053,0.0036,0.0087,0.0184,0.0399,0.0252,0.0547,0.0515,0.1292,0.0033,0.0087,0.3629,1.0
Glen Waverley,0.1137,0.2293,0.0004,0.0068,0.0189,0.0828,0.0008,0.0067,0.0812,0.3071,0.1018,0.4022,0.0104,0.0485,0.0244,0.0882,0.0342,0.1095,0.0695,0.2458,0.1711,0.6493,0.0001,0.0018,0.0022,0.0114,0.0002,0.0024,0.0114,0.0291,0.0156,0.0447,0.002,0.0092,0.0086,0.0203,0.0171,0.0386,0.0281,0.0673,0.0442,0.1125,0.004,0.0092,0.3336,1.0
Greenvale,0.0683,0.1385,0.0049,0.0352,0.0199,0.102,0.0038,0.0226,0.0725,0.2981,0.1031,0.4585,0.0147,0.0676,0.012,0.0456,0.0382,0.1364,0.0656,0.2488,0.1691,0.7067,0.0007,0.007,0.003,0.0151,0.0009,0.0074,0.0136,0.0412,0.0208,0.0702,0.0025,0.0132,0.0036,0.0107,0.0213,0.0528,0.0301,0.0753,0.0505,0.1454,0.003,0.0085,0.29,1.0
Hastings,0.1324,0.2668,0.0017,0.0141,0.0133,0.064,0.0038,0.0196,0.0789,0.3076,0.0999,0.405,0.0081,0.0347,0.0098,0.0346,0.032,0.1048,0.0509,0.1729,0.1505,0.579,0.0004,0.004,0.0032,0.0136,0.0009,0.0074,0.0197,0.0538,0.0271,0.0773,0.0015,0.0082,0.0054,0.0122,0.0222,0.0482,0.0306,0.0677,0.0574,0.1466,0.0028,0.0086,0.3443,1.0
Hawthorn,0.1465,0.2919,0.0001,0.0049,0.0203,0.0934,0.0001,0.0043,0.0779,0.2983,0.1003,0.3994,0.0098,0.0412,0.0262,0.0963,0.0208,0.0667,0.0575,0.2032,0.157,0.6021,0.0,0.0008,0.0019,0.0095,0.0,0.001,0.0122,0.0298,0.016,0.0416,0.001,0.0066,0.007,0.0189,0.0128,0.0262,0.0214,0.0497,0.0382,0.0916,0.0062,0.015,0.3496,1.0
Ivanhoe,0.1258,0.2519,0.0006,0.0085,0.0154,0.0699,0.0006,0.0075,0.0888,0.3409,0.1078,0.4273,0.0081,0.0375,0.0178,0.0665,0.0259,0.0852,0.0534,0.1897,0.1617,0.6169,0.0001,0.0021,0.0018,0.0094,0.0,0.0013,0.0153,0.0375,0.0197,0.051,0.0018,0.0084,0.007,0.0167,0.0201,0.0446,0.0307,0.0692,0.05,0.1201,0.0054,0.0104,0.3415,1.0
Kalkallo,0.0702,0.1441,0.0029,0.0234,0.0169,0.079,0.0032,0.0194,0.1197,0.468,0.1436,0.5903,0.0075,0.0363,0.0084,0.0301,0.021,0.0723,0.0378,0.1398,0.1807,0.7297,0.0002,0.0037,0.0023,0.0112,0.0009,0.006,0.0162,0.0466,0.0216,0.068,0.0016,0.0072,0.0027,0.0081,0.0144,0.0335,0.0192,0.0493,0.0422,0.1178,0.0033,0.0082,0.2973,1.0
Kew,0.1103,0.2219,0.0003,0.0065,0.0237,0.106,0.0007,0.0058,0.074,0.2882,0.1006,0.4064,0.0116,0.0522,0.0293,0.1023,0.0283,0.0905,0.0694,0.2453,0.1695,0.6505,0.0,0.001,0.0049,0.0175,0.0,0.0015,0.0133,0.0337,0.0193,0.0534,0.0015,0.0084,0.0103,0.0251,0.0139,0.0317,0.0276,0.0654,0.0477,0.1175,0.0039,0.0106,0.3324,1.0
Kororoit,0.0761,0.1554,0.0022,0.0216,0.0182,0.0882,0.0026,0.0185,0.0969,0.3822,0.1221,0.5094,0.0084,0.0393,0.0117,0.0456,0.0278,0.0942,0.0488,0.1788,0.1712,0.6876,0.0005,0.0064,0.0037,0.0157,0.0009,0.0072,0.0164,0.0482,0.0233,0.0786,0.0024,0.011,0.0045,0.0123,0.019,0.0445,0.0269,0.0686,0.051,0.1467,0.0045,0.0107,0.3033,1.0
Lara,0.1237,0.2511,0.0016,0.0161,0.0117,0.06,0.003,0.0195,0.0714,0.2788,0.0908,0.3723,0.006,0.0309,0.0097,0.0338,0.0301,0.1002,0.0473,0.1644,0.1388,0.5369,0.0005,0.0054,0.0041,0.0182,0.0022,0.012,0.0266,0.0733,0.036,0.1097,0.0023,0.0111,0.005,0.014,0.0285,0.0658,0.0377,0.089,0.0739,0.1981,0.0059,0.0143,0.3451,1.0
Laverton,0.0889,0.1832,0.0018,0.0169,0.0129,0.0644,0.0014,0.0133,0.1133,0.4356,0.131,0.5303,0.0047,0.0239,0.0093,0.0327,0.0199,0.066,0.0337,0.1231,0.166,0.6537,0.0005,0.0066,0.003,0.0144,0.0006,0.0058,0.018,0.0503,0.0244,0.0778,0.0017,0.0093,0.004,0.0113,0.0207,0.0473,0.0273,0.0682,0.0525,0.146,0.0079,0.0184,0.3152,1.0
Lowan,0.1756,0.3492,0.0011,0.012,0.0129,0.0664,0.0017,0.0134,0.071,0.2833,0.0903,0.374,0.0039,0.0232,0.0084,0.0308,0.0265,0.0809,0.0416,0.1332,0.131,0.5081,0.0001,0.0025,0.0027,0.0129,0.0011,0.0076,0.0197,0.0562,0.026,0.0791,0.0005,0.0055,0.0024,0.0084,0.0179,0.0397,0.0239,0.0546,0.0506,0.1318,0.0037,0.0106,0.3625,1.0
Macedon,0.1492,0.2977,0.0009,0.0112,0.0152,0.0734,0.0021,0.0145,0.0817,0.324,0.1036,0.4221,0.0071,0.0326,0.0147,0.0499,0.0273,0.0855,0.0487,0.1685,0.1522,0.5919,0.0002,0.0022,0.0026,0.0108,0.0007,0.0036,0.0142,0.0382,0.02,0.0553,0.0011,0.0053,0.0039,0.01,0.0164,0.0347,0.0222,0.0502,0.0427,0.1052,0.0013,0.0053,0.347,1.0
Malvern,0.153,0.3061,0.0,0.0052,0.0172,0.0792,0.0001,0.0032,0.0769,0.2945,0.0961,0.3807,0.0089,0.0394,0.0254,0.0917,0.0207,0.0672,0.0558,0.1978,0.1525,0.5782,0.0,0.0009,0.002,0.0101,0.0,0.0011,0.0142,0.0313,0.0183,0.0422,0.0011,0.0063,0.0071,0.0187,0.0141,0.0323,0.0257,0.059,0.0425,0.0997,0.0064,0.0139,0.3553,1.0
Melbourne,0.2564,0.5142,0.0004,0.004,0.0047,0.0274,0.0002,0.0023,0.0674,0.232,0.0744,0.2664,0.0015,0.0098,0.0074,0.0279,0.0069,0.0256,0.018,0.0642,0.093,0.3283,0.0001,0.0014,0.0019,0.0087,0.0004,0.0022,0.015,0.037,0.0189,0.0488,0.0005,0.0047,0.0089,0.0193,0.0128,0.0286,0.0244,0.053,0.0439,0.1017,0.025,0.0552,0.4209,1.0
