district,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_FamHhold_pc,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_NonFamHhold_pc,Num_Psns_UR_1_Total,Num_Psns_UR_1_Total_pc,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_FamHhold_pc,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_NonFamHhold_pc,Num_Psns_UR_2_Total,Num_Psns_UR_2_Total_pc,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_FamHhold_pc,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_NonFamHhold_pc,Num_Psns_UR_3_Total,Num_Psns_UR_3_Total_pc,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_FamHhold_pc,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_NonFamHhold_pc,Num_Psns_UR_4_Total,Num_Psns_UR_4_Total_pc,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_FamHhold_pc,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_NonFamHhold_pc,Num_Psns_UR_5_Total,Num_Psns_UR_5_Total_pc,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_FamHhold_pc,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_NonFamHhold_pc,Num_Psns_UR_6mo_Total,Num_Psns_UR_6mo_Total_pc,Total_FamHhold,Total_FamHhold_pc,Total_NonFamHhold,Total_NonFamHhold_pc,Total_Total,Total_Total_pc,Total_Total_total
Monbulk,Null,Null,4679.0,0.2007,4679.0,0.2007,7451.0,0.3197,362.0,0.0155,7874.0,0.3378,3930.0,0.1686,30.0,0.0013,4028.0,0.1728,4430.0,0.1901,0.0,0.0,4460.0,0.1913,1688.0,0.0724,0.0,0.0,1693.0,0.0726,623.0,0.0267,0.0,0.0,629.0,0.027,18096.0,0.7764,5214.0,0.2237,23309.0,1.0,23309.0
Mordialloc,Null,Null,6092.0,0.2336,6092.0,0.2336,7224.0,0.277,355.0,0.0136,7610.0,0.2917,4416.0,0.1693,38.0,0.0015,4499.0,0.1725,5364.0,0.2056,3.0,0.0001,5388.0,0.2066,1891.0,0.0725,0.0,0.0,1920.0,0.0736,575.0,0.022,0.0,0.0,574.0,0.022,19512.0,0.748,6635.0,0.2544,26084.0,1.0,26084.0
Mornington,Null,Null,5917.0,0.2451,5917.0,0.2451,8229.0,0.3409,226.0,0.0094,8520.0,0.353,3350.0,0.1388,18.0,0.0007,3383.0,0.1402,4142.0,0.1716,0.0,0.0,4165.0,0.1725,1688.0,0.0699,0.0,0.0,1689.0,0.07,444.0,0.0184,0.0,0.0,444.0,0.0184,17922.0,0.7425,6224.0,0.2579,24138.0,1.0,24138.0
Morwell,Null,Null,9341.0,0.3271,9341.0,0.3271,9215.0,0.3226,682.0,0.0239,9911.0,0.347,3779.0,0.1323,15.0,0.0005,3841.0,0.1345,3402.0,0.1191,0.0,0.0,3421.0,0.1198,1364.0,0.0478,0.0,0.0,1372.0,0.048,634.0,0.0222,0.0,0.0,653.0,0.0229,18431.0,0.6453,10065.0,0.3524,28561.0,1.0,28561.0
Mulgrave,Null,Null,5870.0,0.2214,5870.0,0.2214,7334.0,0.2766,612.0,0.0231,8009.0,0.3021,4619.0,0.1742,197.0,0.0074,4908.0,0.1851,4438.0,0.1674,112.0,0.0042,4630.0,0.1746,1846.0,0.0696,55.0,0.0021,1915.0,0.0722,1129.0,0.0426,18.0,0.0007,1180.0,0.0445,19440.0,0.7333,7086.0,0.2673,26512.0,1.0,26512.0
Murray Plains,Null,Null,7474.0,0.2977,7474.0,0.2977,8914.0,0.3551,483.0,0.0192,9465.0,0.3771,3130.0,0.1247,39.0,0.0016,3236.0,0.1289,2805.0,0.1117,6.0,0.0002,2811.0,0.112,1471.0,0.0586,0.0,0.0,1468.0,0.0585,672.0,0.0268,0.0,0.0,670.0,0.0267,16971.0,0.6761,8136.0,0.3241,25102.0,1.0,25102.0
Narracan,Null,Null,6168.0,0.2478,6168.0,0.2478,8663.0,0.348,334.0,0.0134,9109.0,0.3659,3549.0,0.1426,6.0,0.0002,3586.0,0.1441,3541.0,0.1422,3.0,0.0001,3574.0,0.1436,1680.0,0.0675,9.0,0.0004,1688.0,0.0678,814.0,0.0327,0.0,0.0,809.0,0.0325,18269.0,0.7339,6616.0,0.2658,24893.0,1.0,24893.0
Narre Warren North,Null,Null,4422.0,0.1728,4422.0,0.1728,7201.0,0.2815,412.0,0.0161,7689.0,0.3006,4765.0,0.1863,57.0,0.0022,4869.0,0.1903,4872.0,0.1904,32.0,0.0013,4911.0,0.192,2171.0,0.0849,3.0,0.0001,2187.0,0.0855,1438.0,0.0562,0.0,0.0,1444.0,0.0564,20401.0,0.7974,5142.0,0.201,25583.0,1.0,25583.0
Narre Warren South,Null,Null,3361.0,0.1282,3361.0,0.1282,5718.0,0.2181,343.0,0.0131,6051.0,0.2308,5136.0,0.1959,62.0,0.0024,5257.0,0.2005,6097.0,0.2326,17.0,0.0006,6160.0,0.235,2919.0,0.1114,0.0,0.0,2939.0,0.1121,2337.0,0.0892,0.0,0.0,2341.0,0.0893,22239.0,0.8484,3956.0,0.1509,26214.0,1.0,26214.0
Nepean,Null,Null,7734.0,0.3082,7734.0,0.3082,9769.0,0.3892,469.0,0.0187,10260.0,0.4088,2968.0,0.1183,31.0,0.0012,3034.0,0.1209,2612.0,0.1041,4.0,0.0002,2635.0,0.105,989.0,0.0394,0.0,0.0,998.0,0.0398,324.0,0.0129,0.0,0.0,327.0,0.013,16748.0,0.6673,8289.0,0.3303,25098.0,1.0,25098.0
Niddrie,Null,Null,5845.0,0.2294,5845.0,0.2294,7829.0,0.3073,418.0,0.0164,8170.0,0.3207,4359.0,0.1711,26.0,0.001,4466.0,0.1753,4745.0,0.1862,3.0,0.0001,4771.0,0.1873,1620.0,0.0636,0.0,0.0,1638.0,0.0643,522.0,0.0205,0.0,0.0,534.0,0.021,19111.0,0.7501,6326.0,0.2483,25477.0,1.0,25477.0
Northcote,Null,Null,8919.0,0.3211,8919.0,0.3211,7772.0,0.2798,1114.0,0.0401,8852.0,0.3186,3749.0,0.135,662.0,0.0238,4445.0,0.16,3837.0,0.1381,215.0,0.0077,4171.0,0.1501,1075.0,0.0387,33.0,0.0012,1130.0,0.0407,230.0,0.0083,0.0,0.0,249.0,0.009,16672.0,0.6001,11070.0,0.3985,27780.0,1.0,27780.0
Oakleigh,Null,Null,9516.0,0.2783,9516.0,0.2783,9654.0,0.2823,1475.0,0.0431,11124.0,0.3253,5227.0,0.1528,642.0,0.0188,5935.0,0.1735,4898.0,0.1432,369.0,0.0108,5340.0,0.1561,1474.0,0.0431,129.0,0.0038,1609.0,0.047,482.0,0.0141,77.0,0.0023,571.0,0.0167,21681.0,0.634,12469.0,0.3646,34198.0,1.0,34198.0
Ovens Valley,Null,Null,7497.0,0.3016,7497.0,0.3016,9249.0,0.3721,446.0,0.0179,9681.0,0.3895,2856.0,0.1149,28.0,0.0011,2924.0,0.1176,2743.0,0.1104,7.0,0.0003,2753.0,0.1108,1386.0,0.0558,0.0,0.0,1400.0,0.0563,522.0,0.021,5.0,0.0002,535.0,0.0215,16827.0,0.677,8079.0,0.325,24857.0,1.0,24857.0
Pakenham,Null,Null,5172.0,0.2001,5172.0,0.2001,7081.0,0.274,487.0,0.0188,7652.0,0.2961,4604.0,0.1782,42.0,0.0016,4708.0,0.1822,4931.0,0.1908,14.0,0.0005,4980.0,0.1927,2100.0,0.0813,0.0,0.0,2105.0,0.0815,1275.0,0.0493,0.0,0.0,1281.0,0.0496,20012.0,0.7744,5891.0,0.228,25841.0,1.0,25841.0
Pascoe Vale,Null,Null,7420.0,0.2757,7420.0,0.2757,7639.0,0.2839,988.0,0.0367,8704.0,0.3234,4108.0,0.1527,489.0,0.0182,4629.0,0.172,4312.0,0.1602,173.0,0.0064,4487.0,0.1667,1181.0,0.0439,38.0,0.0014,1240.0,0.0461,388.0,0.0144,5.0,0.0002,406.0,0.0151,17636.0,0.6554,9224.0,0.3428,26910.0,1.0,26910.0
Point Cook,Null,Null,4722.0,0.1578,4722.0,0.1578,7177.0,0.2399,520.0,0.0174,7684.0,0.2569,6312.0,0.211,91.0,0.003,6482.0,0.2167,7274.0,0.2431,30.0,0.001,7377.0,0.2466,2421.0,0.0809,17.0,0.0006,2466.0,0.0824,1204.0,0.0402,3.0,0.0001,1199.0,0.0401,24390.0,0.8153,5494.0,0.1836,29916.0,1.0,29916.0
Polwarth,Null,Null,7086.0,0.2697,7086.0,0.2697,9094.0,0.3462,557.0,0.0212,9691.0,0.3689,3331.0,0.1268,79.0,0.003,3498.0,0.1332,3663.0,0.1394,38.0,0.0014,3715.0,0.1414,1685.0,0.0641,7.0,0.0003,1697.0,0.0646,568.0,0.0216,4.0,0.0002,572.0,0.0218,18449.0,0.7023,7834.0,0.2982,26271.0,1.0,26271.0
Prahran,Null,Null,17698.0,0.4739,17698.0,0.4739,11545.0,0.3091,2429.0,0.065,14025.0,0.3756,2781.0,0.0745,699.0,0.0187,3478.0,0.0931,1544.0,0.0413,112.0,0.003,1672.0,0.0448,321.0,0.0086,5.0,0.0001,352.0,0.0094,72.0,0.0019,5.0,0.0001,71.0,0.0019,16325.0,0.4371,21091.0,0.5648,37345.0,1.0,37345.0
Preston,Null,Null,8820.0,0.3006,8820.0,0.3006,8502.0,0.2897,1170.0,0.0399,9606.0,0.3273,4370.0,0.1489,392.0,0.0134,4769.0,0.1625,3915.0,0.1334,151.0,0.0051,4058.0,0.1383,1275.0,0.0434,21.0,0.0007,1341.0,0.0457,613.0,0.0209,15.0,0.0005,637.0,0.0217,18713.0,0.6377,10659.0,0.3632,29346.0,1.0,29346.0
Richmond,Null,Null,11911.0,0.3832,11911.0,0.3832,9757.0,0.3139,2009.0,0.0646,11736.0,0.3776,3040.0,0.0978,1114.0,0.0358,4137.0,0.1331,2095.0,0.0674,344.0,0.0111,2441.0,0.0785,559.0,0.018,26.0,0.0008,622.0,0.02,165.0,0.0053,6.0,0.0002,179.0,0.0058,15611.0,0.5023,15446.0,0.497,31081.0,1.0,31081.0
Ringwood,Null,Null,8118.0,0.2673,8118.0,0.2673,8718.0,0.2871,738.0,0.0243,9518.0,0.3134,5002.0,0.1647,127.0,0.0042,5190.0,0.1709,5127.0,0.1688,42.0,0.0014,5200.0,0.1712,1835.0,0.0604,7.0,0.0002,1877.0,0.0618,582.0,0.0192,4.0,0.0001,585.0,0.0193,21231.0,0.6991,9162.0,0.3017,30367.0,1.0,30367.0
Ripon,Null,Null,7941.0,0.299,7941.0,0.299,9291.0,0.3498,474.0,0.0178,9814.0,0.3695,3233.0,0.1217,16.0,0.0006,3308.0,0.1246,3220.0,0.1212,6.0,0.0002,3241.0,0.122,1495.0,0.0563,3.0,0.0001,1498.0,0.0564,693.0,0.0261,6.0,0.0002,699.0,0.0263,17967.0,0.6765,8630.0,0.3249,26559.0,1.0,26559.0
Rowville,Null,Null,4071.0,0.1669,4071.0,0.1669,7088.0,0.2906,280.0,0.0115,7400.0,0.3034,4723.0,0.1937,31.0,0.0013,4775.0,0.1958,5390.0,0.221,4.0,0.0002,5422.0,0.2223,1944.0,0.0797,0.0,0.0,1954.0,0.0801,727.0,0.0298,0.0,0.0,726.0,0.0298,19863.0,0.8145,4487.0,0.184,24388.0,1.0,24388.0
Sandringham,Null,Null,7038.0,0.2831,7038.0,0.2831,7923.0,0.3187,355.0,0.0143,8269.0,0.3326,3548.0,0.1427,33.0,0.0013,3613.0,0.1453,4176.0,0.168,9.0,0.0004,4193.0,0.1687,1452.0,0.0584,0.0,0.0,1447.0,0.0582,233.0,0.0094,0.0,0.0,233.0,0.0094,17359.0,0.6983,7506.0,0.3019,24859.0,1.0,24859.0
Shepparton,Null,Null,7816.0,0.2861,7816.0,0.2861,8663.0,0.3171,567.0,0.0208,9247.0,0.3385,3746.0,0.1371,124.0,0.0045,3880.0,0.142,3620.0,0.1325,12.0,0.0004,3662.0,0.134,1700.0,0.0622,7.0,0.0003,1729.0,0.0633,985.0,0.0361,11.0,0.0004,1023.0,0.0374,18669.0,0.6833,8659.0,0.3169,27320.0,1.0,27320.0
South Barwon,Null,Null,5857.0,0.225,5857.0,0.225,8077.0,0.3103,565.0,0.0217,8671.0,0.3331,4038.0,0.1551,251.0,0.0096,4334.0,0.1665,4495.0,0.1727,144.0,0.0055,4740.0,0.1821,1690.0,0.0649,55.0,0.0021,1767.0,0.0679,572.0,0.022,21.0,0.0008,624.0,0.024,19007.0,0.7302,7050.0,0.2709,26029.0,1.0,26029.0
South-West Coast,Null,Null,7927.0,0.2904,7927.0,0.2904,9611.0,0.3521,559.0,0.0205,10105.0,0.3702,3594.0,0.1317,82.0,0.003,3699.0,0.1355,3342.0,0.1224,23.0,0.0008,3380.0,0.1238,1507.0,0.0552,4.0,0.0001,1520.0,0.0557,540.0,0.0198,0.0,0.0,552.0,0.0202,18623.0,0.6822,8697.0,0.3186,27297.0,1.0,27297.0
St Albans,Null,Null,5047.0,0.2105,5047.0,0.2105,6218.0,0.2594,522.0,0.0218,6709.0,0.2799,4145.0,0.1729,207.0,0.0086,4419.0,0.1843,4022.0,0.1678,94.0,0.0039,4187.0,0.1747,1879.0,0.0784,34.0,0.0014,1947.0,0.0812,1550.0,0.0647,0.0,0.0,1566.0,0.0653,17865.0,0.7452,6101.0,0.2545,23972.0,1.0,23972.0
Sunbury,Null,Null,5430.0,0.2326,5430.0,0.2326,7266.0,0.3113,411.0,0.0176,7725.0,0.3309,4095.0,0.1754,32.0,0.0014,4166.0,0.1785,3897.0,0.167,5.0,0.0002,3916.0,0.1678,1548.0,0.0663,0.0,0.0,1560.0,0.0668,586.0,0.0251,0.0,0.0,595.0,0.0255,17379.0,0.7445,5912.0,0.2533,23342.0,1.0,23342.0
Sydenham,Null,Null,3316.0,0.1387,3316.0,0.1387,5565.0,0.2327,210.0,0.0088,5846.0,0.2445,4764.0,0.1992,16.0,0.0007,4779.0,0.1999,6112.0,0.2556,7.0,0.0003,6111.0,0.2556,2562.0,0.1071,0.0,0.0,2578.0,0.1078,1200.0,0.0502,0.0,0.0,1196.0,0.05,20248.0,0.8468,3648.0,0.1526,23912.0,1.0,23912.0
Tarneit,Null,Null,4201.0,0.15,4201.0,0.15,6224.0,0.2222,451.0,0.0161,6718.0,0.2398,5669.0,0.2023,118.0,0.0042,5858.0,0.2091,6380.0,0.2277,66.0,0.0024,6501.0,0.232,2646.0,0.0944,20.0,0.0007,2720.0,0.0971,2070.0,0.0739,7.0,0.0002,2091.0,0.0746,22941.0,0.8189,5037.0,0.1798,28016.0,1.0,28016.0
Thomastown,Null,Null,5064.0,0.1965,5064.0,0.1965,6748.0,0.2618,402.0,0.0156,7242.0,0.2809,4707.0,0.1826,126.0,0.0049,4890.0,0.1897,4867.0,0.1888,38.0,0.0015,4949.0,0.192,2216.0,0.086,14.0,0.0005,2242.0,0.087,1376.0,0.0534,12.0,0.0005,1418.0,0.055,20000.0,0.7759,5781.0,0.2243,25777.0,1.0,25777.0
Warrandyte,Null,Null,4270.0,0.1702,4270.0,0.1702,7583.0,0.3022,215.0,0.0086,7817.0,0.3115,4459.0,0.1777,31.0,0.0012,4520.0,0.1801,5526.0,0.2202,7.0,0.0003,5538.0,0.2207,2102.0,0.0838,0.0,0.0,2125.0,0.0847,738.0,0.0294,0.0,0.0,738.0,0.0294,20368.0,0.8117,4660.0,0.1857,25092.0,1.0,25092.0
Wendouree,Null,Null,9045.0,0.3272,9045.0,0.3272,8566.0,0.3098,777.0,0.0281,9351.0,0.3382,3764.0,0.1361,164.0,0.0059,3925.0,0.142,3290.0,0.119,28.0,0.001,3336.0,0.1207,1412.0,0.0511,0.0,0.0,1418.0,0.0513,481.0,0.0174,4.0,0.0001,491.0,0.0178,17542.0,0.6345,10070.0,0.3642,27646.0,1.0,27646.0
Werribee,Null,Null,5741.0,0.2037,5741.0,0.2037,7365.0,0.2613,664.0,0.0236,8032.0,0.285,5578.0,0.1979,73.0,0.0026,5711.0,0.2026,5265.0,0.1868,27.0,0.001,5304.0,0.1882,2094.0,0.0743,0.0,0.0,2113.0,0.075,1314.0,0.0466,0.0,0.0,1322.0,0.0469,21598.0,0.7663,6610.0,0.2345,28184.0,1.0,28184.0
Williamstown,Null,Null,6790.0,0.2687,6790.0,0.2687,7663.0,0.3032,518.0,0.0205,8260.0,0.3268,4022.0,0.1591,67.0,0.0027,4102.0,0.1623,4279.0,0.1693,15.0,0.0006,4335.0,0.1715,1354.0,0.0536,0.0,0.0,1372.0,0.0543,416.0,0.0165,0.0,0.0,430.0,0.017,17770.0,0.7031,7413.0,0.2933,25272.0,1.0,25272.0
Yan Yean,Null,Null,3490.0,0.1496,3490.0,0.1496,6097.0,0.2613,252.0,0.0108,6375.0,0.2732,4486.0,0.1922,0.0,0.0,4505.0,0.193,5521.0,0.2366,0.0,0.0,5535.0,0.2372,2385.0,0.1022,0.0,0.0,2395.0,0.1026,964.0,0.0413,0.0,0.0,972.0,0.0417,19398.0,0.8312,3868.0,0.1658,23336.0,1.0,23336.0
