district,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_FamHhold_pc,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_NonFamHhold_pc,Num_Psns_UR_1_Total,Num_Psns_UR_1_Total_pc,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_FamHhold_pc,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_NonFamHhold_pc,Num_Psns_UR_2_Total,Num_Psns_UR_2_Total_pc,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_FamHhold_pc,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_NonFamHhold_pc,Num_Psns_UR_3_Total,Num_Psns_UR_3_Total_pc,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_FamHhold_pc,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_NonFamHhold_pc,Num_Psns_UR_4_Total,Num_Psns_UR_4_Total_pc,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_FamHhold_pc,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_NonFamHhold_pc,Num_Psns_UR_5_Total,Num_Psns_UR_5_Total_pc,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_FamHhold_pc,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_NonFamHhold_pc,Num_Psns_UR_6mo_Total,Num_Psns_UR_6mo_Total_pc,Total_FamHhold,Total_FamHhold_pc,Total_NonFamHhold,Total_NonFamHhold_pc,Total_Total,Total_Total_pc,Total_Total_total
Brighton,Null,Null,7959.0,0.3046,7959.0,0.3046,7881.0,0.3016,617.0,0.0236,8508.0,0.3256,3661.0,0.1401,99.0,0.0038,3764.0,0.144,4124.0,0.1578,21.0,0.0008,4151.0,0.1588,1438.0,0.055,5.0,0.0002,1458.0,0.0558,239.0,0.0091,0.0,0.0,245.0,0.0094,17345.0,0.6637,8831.0,0.3379,26133.0,1.0,26133.0
Broadmeadows,Null,Null,6932.0,0.2538,6932.0,0.2538,7226.0,0.2646,610.0,0.0223,7900.0,0.2893,4292.0,0.1571,218.0,0.008,4544.0,0.1664,4078.0,0.1493,130.0,0.0048,4193.0,0.1535,2074.0,0.0759,43.0,0.0016,2183.0,0.0799,1555.0,0.0569,7.0,0.0003,1570.0,0.0575,19187.0,0.7025,8172.0,0.2992,27312.0,1.0,27312.0
Brunswick,Null,Null,10348.0,0.3427,10348.0,0.3427,8938.0,0.296,1858.0,0.0615,10780.0,0.357,3310.0,0.1096,1296.0,0.0429,4547.0,0.1506,2818.0,0.0933,596.0,0.0197,3387.0,0.1122,710.0,0.0235,110.0,0.0036,834.0,0.0276,106.0,0.0035,6.0,0.0002,141.0,0.0047,15838.0,0.5245,14273.0,0.4727,30195.0,1.0,30195.0
Bulleen,Null,Null,5911.0,0.2159,5911.0,0.2159,8865.0,0.3238,381.0,0.0139,9237.0,0.3374,4933.0,0.1802,78.0,0.0028,5058.0,0.1847,4752.0,0.1736,30.0,0.0011,4830.0,0.1764,1676.0,0.0612,10.0,0.0004,1720.0,0.0628,636.0,0.0232,0.0,0.0,669.0,0.0244,20858.0,0.7618,6535.0,0.2387,27380.0,1.0,27380.0
Bundoora,Null,Null,5932.0,0.2325,5932.0,0.2325,7699.0,0.3017,551.0,0.0216,8285.0,0.3247,4199.0,0.1646,220.0,0.0086,4461.0,0.1748,4553.0,0.1784,113.0,0.0044,4661.0,0.1827,1477.0,0.0579,41.0,0.0016,1575.0,0.0617,577.0,0.0226,3.0,0.0001,628.0,0.0246,18537.0,0.7265,6998.0,0.2742,25517.0,1.0,25517.0
Carrum,Null,Null,6726.0,0.2452,6726.0,0.2452,7871.0,0.287,568.0,0.0207,8423.0,0.3071,4825.0,0.1759,72.0,0.0026,4932.0,0.1798,4844.0,0.1766,0.0,0.0,4870.0,0.1775,1722.0,0.0628,0.0,0.0,1736.0,0.0633,646.0,0.0236,0.0,0.0,645.0,0.0235,19955.0,0.7275,7462.0,0.272,27429.0,1.0,27429.0
Caulfield,Null,Null,9519.0,0.3247,9519.0,0.3247,8688.0,0.2963,1304.0,0.0445,9946.0,0.3393,3648.0,0.1244,348.0,0.0119,4048.0,0.1381,3482.0,0.1188,107.0,0.0036,3634.0,0.124,1317.0,0.0449,20.0,0.0007,1370.0,0.0467,560.0,0.0191,8.0,0.0003,599.0,0.0204,17698.0,0.6037,11449.0,0.3905,29317.0,1.0,29317.0
Clarinda,Null,Null,5243.0,0.2066,5243.0,0.2066,6979.0,0.2751,495.0,0.0195,7499.0,0.2956,4644.0,0.183,157.0,0.0062,4864.0,0.1917,4612.0,0.1818,91.0,0.0036,4719.0,0.186,1912.0,0.0754,27.0,0.0011,1973.0,0.0778,1024.0,0.0404,7.0,0.0003,1057.0,0.0417,19176.0,0.7558,6229.0,0.2455,25372.0,1.0,25372.0
Cranbourne,Null,Null,4557.0,0.1672,4557.0,0.1672,6648.0,0.2439,479.0,0.0176,7130.0,0.2616,5100.0,0.1871,77.0,0.0028,5218.0,0.1914,5884.0,0.2158,15.0,0.0006,5930.0,0.2175,2556.0,0.0938,0.0,0.0,2585.0,0.0948,1707.0,0.0626,0.0,0.0,1722.0,0.0632,21960.0,0.8056,5252.0,0.1927,27260.0,1.0,27260.0
Croydon,Null,Null,7339.0,0.2588,7339.0,0.2588,8787.0,0.3099,527.0,0.0186,9289.0,0.3276,4583.0,0.1616,56.0,0.002,4689.0,0.1654,4582.0,0.1616,3.0,0.0001,4627.0,0.1632,1649.0,0.0582,5.0,0.0002,1668.0,0.0588,667.0,0.0235,0.0,0.0,676.0,0.0238,20294.0,0.7157,8023.0,0.2829,28355.0,1.0,28355.0
Dandenong,Null,Null,7263.0,0.2443,7263.0,0.2443,7409.0,0.2492,868.0,0.0292,8278.0,0.2784,4956.0,0.1667,393.0,0.0132,5453.0,0.1834,4308.0,0.1449,161.0,0.0054,4528.0,0.1523,2205.0,0.0742,58.0,0.002,2294.0,0.0772,1889.0,0.0635,12.0,0.0004,1949.0,0.0656,20774.0,0.6987,8954.0,0.3012,29731.0,1.0,29731.0
Eildon,Null,Null,6330.0,0.2583,6330.0,0.2583,8644.0,0.3528,450.0,0.0184,9117.0,0.3721,3317.0,0.1354,25.0,0.001,3367.0,0.1374,3375.0,0.1377,7.0,0.0003,3381.0,0.138,1543.0,0.063,0.0,0.0,1541.0,0.0629,659.0,0.0269,6.0,0.0002,666.0,0.0272,17503.0,0.7143,6941.0,0.2833,24502.0,1.0,24502.0
Eltham,Null,Null,4105.0,0.1775,4105.0,0.1775,7292.0,0.3153,160.0,0.0069,7506.0,0.3246,4090.0,0.1769,3.0,0.0001,4109.0,0.1777,5022.0,0.2172,0.0,0.0,5040.0,0.2179,1836.0,0.0794,0.0,0.0,1839.0,0.0795,482.0,0.0208,0.0,0.0,490.0,0.0212,18801.0,0.813,4350.0,0.1881,23126.0,1.0,23126.0
