district,census_variable,value
Evelyn,Num_Psns_UR_1_FamHhold_pc,Null
Footscray,Num_Psns_UR_1_FamHhold_pc,Null
Frankston,Num_Psns_UR_1_FamHhold_pc,Null
Geelong,Num_Psns_UR_1_FamHhold_pc,Null
Gippsland East,Num_Psns_UR_1_FamHhold_pc,Null
Gippsland South,Num_Psns_UR_1_FamHhold_pc,Null
Glen Waverley,Num_Psns_UR_1_FamHhold_pc,Null
Greenvale,Num_Psns_UR_1_FamHhold_pc,Null
Hastings,Num_Psns_UR_1_FamHhold_pc,Null
Hawthorn,Num_Psns_UR_1_FamHhold_pc,Null
Ivanhoe,Num_Psns_UR_1_FamHhold_pc,Null
Kalkallo,Num_Psns_UR_1_FamHhold_pc,Null
Kew,Num_Psns_UR_1_FamHhold_pc,Null
Kororoit,Num_Psns_UR_1_FamHhold_pc,Null
Lara,Num_Psns_UR_1_FamHhold_pc,Null
Laverton,Num_Psns_UR_1_FamHhold_pc,Null
Lowan,Num_Psns_UR_1_FamHhold_pc,Null
Macedon,Num_Psns_UR_1_FamHhold_pc,Null
Malvern,Num_Psns_UR_1_FamHhold_pc,Null
Melbourne,Num_Psns_UR_1_FamHhold_pc,Null
Melton,Num_Psns_UR_1_FamHhold_pc,Null
Mildura,Num_Psns_UR_1_FamHhold_pc,Null
Mill Park,Num_Psns_UR_1_FamHhold_pc,Null
Monbulk,Num_Psns_UR_1_FamHhold_pc,Null
Mordialloc,Num_Psns_UR_1_FamHhold_pc,Null
Mornington,Num_Psns_UR_1_FamHhold_pc,Null
Morwell,Num_Psns_UR_1_FamHhold_pc,Null
Mulgrave,Num_Psns_UR_1_FamHhold_pc,Null
Murray Plains,Num_Psns_UR_1_FamHhold_pc,Null
Narracan,Num_Psns_UR_1_FamHhold_pc,Null
Narre Warren North,Num_Psns_UR_1_FamHhold_pc,Null
Narre Warren South,Num_Psns_UR_1_FamHhold_pc,Null
Nepean,Num_Psns_UR_1_FamHhold_pc,Null
Niddrie,Num_Psns_UR_1_FamHhold_pc,Null
Northcote,Num_Psns_UR_1_FamHhold_pc,Null
Oakleigh,Num_Psns_UR_1_FamHhold_pc,Null
Ovens Valley,Num_Psns_UR_1_FamHhold_pc,Null
Pakenham,Num_Psns_UR_1_FamHhold_pc,Null
Pascoe Vale,Num_Psns_UR_1_FamHhold_pc,Null
Point Cook,Num_Psns_UR_1_FamHhold_pc,Null
Polwarth,Num_Psns_UR_1_FamHhold_pc,Null
Prahran,Num_Psns_UR_1_FamHhold_pc,Null
Preston,Num_Psns_UR_1_FamHhold_pc,Null
Richmond,Num_Psns_UR_1_FamHhold_pc,Null
Ringwood,Num_Psns_UR_1_FamHhold_pc,Null
Ripon,Num_Psns_UR_1_FamHhold_pc,Null
Rowville,Num_Psns_UR_1_FamHhold_pc,Null
Sandringham,Num_Psns_UR_1_FamHhold_pc,Null
Shepparton,Num_Psns_UR_1_FamHhold_pc,Null
South Barwon,Num_Psns_UR_1_FamHhold_pc,Null
South-West Coast,Num_Psns_UR_1_FamHhold_pc,Null
St Albans,Num_Psns_UR_1_FamHhold_pc,Null
Sunbury,Num_Psns_UR_1_FamHhold_pc,Null
Sydenham,Num_Psns_UR_1_FamHhold_pc,Null
Tarneit,Num_Psns_UR_1_FamHhold_pc,Null
Thomastown,Num_Psns_UR_1_FamHhold_pc,Null
Warrandyte,Num_Psns_UR_1_FamHhold_pc,Null
Wendouree,Num_Psns_UR_1_FamHhold_pc,Null
Werribee,Num_Psns_UR_1_FamHhold_pc,Null
Williamstown,Num_Psns_UR_1_FamHhold_pc,Null
Yan Yean,Num_Psns_UR_1_FamHhold_pc,Null
Albert Park,Num_Psns_UR_1_NonFamHhold,14898.0
Ashwood,Num_Psns_UR_1_NonFamHhold,6036.0
Bass,Num_Psns_UR_1_NonFamHhold,6715.0
Bayswater,Num_Psns_UR_1_NonFamHhold,6637.0
Bellarine,Num_Psns_UR_1_NonFamHhold,6788.0
Benambra,Num_Psns_UR_1_NonFamHhold,7014.0
Bendigo East,Num_Psns_UR_1_NonFamHhold,7217.0
Bendigo West,Num_Psns_UR_1_NonFamHhold,8100.0
Bentleigh,Num_Psns_UR_1_NonFamHhold,6698.0
Berwick,Num_Psns_UR_1_NonFamHhold,3589.0
Box Hill,Num_Psns_UR_1_NonFamHhold,8670.0
Brighton,Num_Psns_UR_1_NonFamHhold,7959.0
Broadmeadows,Num_Psns_UR_1_NonFamHhold,6932.0
Brunswick,Num_Psns_UR_1_NonFamHhold,10348.0
Bulleen,Num_Psns_UR_1_NonFamHhold,5911.0
Bundoora,Num_Psns_UR_1_NonFamHhold,5932.0
Carrum,Num_Psns_UR_1_NonFamHhold,6726.0
Caulfield,Num_Psns_UR_1_NonFamHhold,9519.0
Clarinda,Num_Psns_UR_1_NonFamHhold,5243.0
Cranbourne,Num_Psns_UR_1_NonFamHhold,4557.0
Croydon,Num_Psns_UR_1_NonFamHhold,7339.0
Dandenong,Num_Psns_UR_1_NonFamHhold,7263.0
Eildon,Num_Psns_UR_1_NonFamHhold,6330.0
Eltham,Num_Psns_UR_1_NonFamHhold,4105.0
Essendon,Num_Psns_UR_1_NonFamHhold,9393.0
Eureka,Num_Psns_UR_1_NonFamHhold,7085.0
Euroa,Num_Psns_UR_1_NonFamHhold,7859.0
Evelyn,Num_Psns_UR_1_NonFamHhold,4623.0
Footscray,Num_Psns_UR_1_NonFamHhold,8787.0
Frankston,Num_Psns_UR_1_NonFamHhold,8765.0
Geelong,Num_Psns_UR_1_NonFamHhold,9459.0
Gippsland East,Num_Psns_UR_1_NonFamHhold,7870.0
Gippsland South,Num_Psns_UR_1_NonFamHhold,7746.0
Glen Waverley,Num_Psns_UR_1_NonFamHhold,5314.0
Greenvale,Num_Psns_UR_1_NonFamHhold,2841.0
Hastings,Num_Psns_UR_1_NonFamHhold,6123.0
Hawthorn,Num_Psns_UR_1_NonFamHhold,8680.0
Ivanhoe,Num_Psns_UR_1_NonFamHhold,6871.0
Kalkallo,Num_Psns_UR_1_NonFamHhold,3645.0
Kew,Num_Psns_UR_1_NonFamHhold,5999.0
Kororoit,Num_Psns_UR_1_NonFamHhold,3960.0
Lara,Num_Psns_UR_1_NonFamHhold,7525.0
Laverton,Num_Psns_UR_1_NonFamHhold,5713.0
Lowan,Num_Psns_UR_1_NonFamHhold,9314.0
Macedon,Num_Psns_UR_1_NonFamHhold,5241.0
Malvern,Num_Psns_UR_1_NonFamHhold,8522.0
Melbourne,Num_Psns_UR_1_NonFamHhold,23638.0
Melton,Num_Psns_UR_1_NonFamHhold,5393.0
Mildura,Num_Psns_UR_1_NonFamHhold,7620.0
Mill Park,Num_Psns_UR_1_NonFamHhold,3970.0
Monbulk,Num_Psns_UR_1_NonFamHhold,4679.0
Mordialloc,Num_Psns_UR_1_NonFamHhold,6092.0
Mornington,Num_Psns_UR_1_NonFamHhold,5917.0
Morwell,Num_Psns_UR_1_NonFamHhold,9341.0
Mulgrave,Num_Psns_UR_1_NonFamHhold,5870.0
Murray Plains,Num_Psns_UR_1_NonFamHhold,7474.0
Narracan,Num_Psns_UR_1_NonFamHhold,6168.0
Narre Warren North,Num_Psns_UR_1_NonFamHhold,4422.0
Narre Warren South,Num_Psns_UR_1_NonFamHhold,3361.0
Nepean,Num_Psns_UR_1_NonFamHhold,7734.0
Niddrie,Num_Psns_UR_1_NonFamHhold,5845.0
Northcote,Num_Psns_UR_1_NonFamHhold,8919.0
Oakleigh,Num_Psns_UR_1_NonFamHhold,9516.0
Ovens Valley,Num_Psns_UR_1_NonFamHhold,7497.0
Pakenham,Num_Psns_UR_1_NonFamHhold,5172.0
Pascoe Vale,Num_Psns_UR_1_NonFamHhold,7420.0
Point Cook,Num_Psns_UR_1_NonFamHhold,4722.0
Polwarth,Num_Psns_UR_1_NonFamHhold,7086.0
Prahran,Num_Psns_UR_1_NonFamHhold,17698.0
Preston,Num_Psns_UR_1_NonFamHhold,8820.0
Richmond,Num_Psns_UR_1_NonFamHhold,11911.0
Ringwood,Num_Psns_UR_1_NonFamHhold,8118.0
Ripon,Num_Psns_UR_1_NonFamHhold,7941.0
Rowville,Num_Psns_UR_1_NonFamHhold,4071.0
Sandringham,Num_Psns_UR_1_NonFamHhold,7038.0
Shepparton,Num_Psns_UR_1_NonFamHhold,7816.0
South Barwon,Num_Psns_UR_1_NonFamHhold,5857.0
South-West Coast,Num_Psns_UR_1_NonFamHhold,7927.0
St Albans,Num_Psns_UR_1_NonFamHhold,5047.0
Sunbury,Num_Psns_UR_1_NonFamHhold,5430.0
Sydenham,Num_Psns_UR_1_NonFamHhold,3316.0
Tarneit,Num_Psns_UR_1_NonFamHhold,4201.0
Thomastown,Num_Psns_UR_1_NonFamHhold,5064.0
Warrandyte,Num_Psns_UR_1_NonFamHhold,4270.0
Wendouree,Num_Psns_UR_1_NonFamHhold,9045.0
Werribee,Num_Psns_UR_1_NonFamHhold,5741.0
Williamstown,Num_Psns_UR_1_NonFamHhold,6790.0
Yan Yean,Num_Psns_UR_1_NonFamHhold,3490.0
Albert Park,Num_Psns_UR_1_NonFamHhold_pc,0.42
Ashwood,Num_Psns_UR_1_NonFamHhold_pc,0.2098
Bass,Num_Psns_UR_1_NonFamHhold_pc,0.2684
Bayswater,Num_Psns_UR_1_NonFamHhold_pc,0.2423
Bellarine,Num_Psns_UR_1_NonFamHhold_pc,0.2516
Benambra,Num_Psns_UR_1_NonFamHhold_pc,0.2761
Bendigo East,Num_Psns_UR_1_NonFamHhold_pc,0.2674
Bendigo West,Num_Psns_UR_1_NonFamHhold_pc,0.3185
Bentleigh,Num_Psns_UR_1_NonFamHhold_pc,0.2361
Berwick,Num_Psns_UR_1_NonFamHhold_pc,0.1412
Box Hill,Num_Psns_UR_1_NonFamHhold_pc,0.2686
Brighton,Num_Psns_UR_1_NonFamHhold_pc,0.3046
Broadmeadows,Num_Psns_UR_1_NonFamHhold_pc,0.2538
Brunswick,Num_Psns_UR_1_NonFamHhold_pc,0.3427
Bulleen,Num_Psns_UR_1_NonFamHhold_pc,0.2159
Bundoora,Num_Psns_UR_1_NonFamHhold_pc,0.2325
Carrum,Num_Psns_UR_1_NonFamHhold_pc,0.2452
Caulfield,Num_Psns_UR_1_NonFamHhold_pc,0.3247
Clarinda,Num_Psns_UR_1_NonFamHhold_pc,0.2066
Cranbourne,Num_Psns_UR_1_NonFamHhold_pc,0.1672
Croydon,Num_Psns_UR_1_NonFamHhold_pc,0.2588
Dandenong,Num_Psns_UR_1_NonFamHhold_pc,0.2443
Eildon,Num_Psns_UR_1_NonFamHhold_pc,0.2583
Eltham,Num_Psns_UR_1_NonFamHhold_pc,0.1775
Essendon,Num_Psns_UR_1_NonFamHhold_pc,0.3286
Eureka,Num_Psns_UR_1_NonFamHhold_pc,0.2562
Euroa,Num_Psns_UR_1_NonFamHhold_pc,0.3015
Evelyn,Num_Psns_UR_1_NonFamHhold_pc,0.1915
Footscray,Num_Psns_UR_1_NonFamHhold_pc,0.3015
Frankston,Num_Psns_UR_1_NonFamHhold_pc,0.3224
Geelong,Num_Psns_UR_1_NonFamHhold_pc,0.3252
Gippsland East,Num_Psns_UR_1_NonFamHhold_pc,0.3083
Gippsland South,Num_Psns_UR_1_NonFamHhold_pc,0.3031
Glen Waverley,Num_Psns_UR_1_NonFamHhold_pc,0.1877
Greenvale,Num_Psns_UR_1_NonFamHhold_pc,0.1281
Hastings,Num_Psns_UR_1_NonFamHhold_pc,0.2504
Hawthorn,Num_Psns_UR_1_NonFamHhold_pc,0.3081
Ivanhoe,Num_Psns_UR_1_NonFamHhold_pc,0.2714
Kalkallo,Num_Psns_UR_1_NonFamHhold_pc,0.1297
Kew,Num_Psns_UR_1_NonFamHhold_pc,0.226
Kororoit,Num_Psns_UR_1_NonFamHhold_pc,0.1536
Lara,Num_Psns_UR_1_NonFamHhold_pc,0.2877
Laverton,Num_Psns_UR_1_NonFamHhold_pc,0.1921
Lowan,Num_Psns_UR_1_NonFamHhold_pc,0.3335
Macedon,Num_Psns_UR_1_NonFamHhold_pc,0.2246
Malvern,Num_Psns_UR_1_NonFamHhold_pc,0.3241
Melbourne,Num_Psns_UR_1_NonFamHhold_pc,0.4318
Melton,Num_Psns_UR_1_NonFamHhold_pc,0.2023
Mildura,Num_Psns_UR_1_NonFamHhold_pc,0.2934
Mill Park,Num_Psns_UR_1_NonFamHhold_pc,0.1747
Monbulk,Num_Psns_UR_1_NonFamHhold_pc,0.2007
Mordialloc,Num_Psns_UR_1_NonFamHhold_pc,0.2336
Mornington,Num_Psns_UR_1_NonFamHhold_pc,0.2451
Morwell,Num_Psns_UR_1_NonFamHhold_pc,0.3271
Mulgrave,Num_Psns_UR_1_NonFamHhold_pc,0.2214
Murray Plains,Num_Psns_UR_1_NonFamHhold_pc,0.2977
Narracan,Num_Psns_UR_1_NonFamHhold_pc,0.2478
Narre Warren North,Num_Psns_UR_1_NonFamHhold_pc,0.1728
Narre Warren South,Num_Psns_UR_1_NonFamHhold_pc,0.1282
Nepean,Num_Psns_UR_1_NonFamHhold_pc,0.3082
Niddrie,Num_Psns_UR_1_NonFamHhold_pc,0.2294
Northcote,Num_Psns_UR_1_NonFamHhold_pc,0.3211
Oakleigh,Num_Psns_UR_1_NonFamHhold_pc,0.2783
Ovens Valley,Num_Psns_UR_1_NonFamHhold_pc,0.3016
Pakenham,Num_Psns_UR_1_NonFamHhold_pc,0.2001
Pascoe Vale,Num_Psns_UR_1_NonFamHhold_pc,0.2757
Point Cook,Num_Psns_UR_1_NonFamHhold_pc,0.1578
Polwarth,Num_Psns_UR_1_NonFamHhold_pc,0.2697
Prahran,Num_Psns_UR_1_NonFamHhold_pc,0.4739
Preston,Num_Psns_UR_1_NonFamHhold_pc,0.3006
Richmond,Num_Psns_UR_1_NonFamHhold_pc,0.3832
Ringwood,Num_Psns_UR_1_NonFamHhold_pc,0.2673
Ripon,Num_Psns_UR_1_NonFamHhold_pc,0.299
Rowville,Num_Psns_UR_1_NonFamHhold_pc,0.1669
Sandringham,Num_Psns_UR_1_NonFamHhold_pc,0.2831
Shepparton,Num_Psns_UR_1_NonFamHhold_pc,0.2861
South Barwon,Num_Psns_UR_1_NonFamHhold_pc,0.225
South-West Coast,Num_Psns_UR_1_NonFamHhold_pc,0.2904
St Albans,Num_Psns_UR_1_NonFamHhold_pc,0.2105
Sunbury,Num_Psns_UR_1_NonFamHhold_pc,0.2326
Sydenham,Num_Psns_UR_1_NonFamHhold_pc,0.1387
Tarneit,Num_Psns_UR_1_NonFamHhold_pc,0.15
Thomastown,Num_Psns_UR_1_NonFamHhold_pc,0.1965
Warrandyte,Num_Psns_UR_1_NonFamHhold_pc,0.1702
Wendouree,Num_Psns_UR_1_NonFamHhold_pc,0.3272
Werribee,Num_Psns_UR_1_NonFamHhold_pc,0.2037
Williamstown,Num_Psns_UR_1_NonFamHhold_pc,0.2687
Yan Yean,Num_Psns_UR_1_NonFamHhold_pc,0.1496
Albert Park,Num_Psns_UR_1_Total,14898.0
Ashwood,Num_Psns_UR_1_Total,6036.0
Bass,Num_Psns_UR_1_Total,6715.0
Bayswater,Num_Psns_UR_1_Total,6637.0
Bellarine,Num_Psns_UR_1_Total,6788.0
Benambra,Num_Psns_UR_1_Total,7014.0
Bendigo East,Num_Psns_UR_1_Total,7217.0
Bendigo West,Num_Psns_UR_1_Total,8100.0
Bentleigh,Num_Psns_UR_1_Total,6698.0
Berwick,Num_Psns_UR_1_Total,3589.0
Box Hill,Num_Psns_UR_1_Total,8670.0
Brighton,Num_Psns_UR_1_Total,7959.0
Broadmeadows,Num_Psns_UR_1_Total,6932.0
Brunswick,Num_Psns_UR_1_Total,10348.0
Bulleen,Num_Psns_UR_1_Total,5911.0
Bundoora,Num_Psns_UR_1_Total,5932.0
Carrum,Num_Psns_UR_1_Total,6726.0
Caulfield,Num_Psns_UR_1_Total,9519.0
Clarinda,Num_Psns_UR_1_Total,5243.0
Cranbourne,Num_Psns_UR_1_Total,4557.0
Croydon,Num_Psns_UR_1_Total,7339.0
Dandenong,Num_Psns_UR_1_Total,7263.0
Eildon,Num_Psns_UR_1_Total,6330.0
Eltham,Num_Psns_UR_1_Total,4105.0
Essendon,Num_Psns_UR_1_Total,9393.0
Eureka,Num_Psns_UR_1_Total,7085.0
Euroa,Num_Psns_UR_1_Total,7859.0
Evelyn,Num_Psns_UR_1_Total,4623.0
Footscray,Num_Psns_UR_1_Total,8787.0
Frankston,Num_Psns_UR_1_Total,8765.0
Geelong,Num_Psns_UR_1_Total,9459.0
Gippsland East,Num_Psns_UR_1_Total,7870.0
Gippsland South,Num_Psns_UR_1_Total,7746.0
Glen Waverley,Num_Psns_UR_1_Total,5314.0
Greenvale,Num_Psns_UR_1_Total,2841.0
Hastings,Num_Psns_UR_1_Total,6123.0
Hawthorn,Num_Psns_UR_1_Total,8680.0
Ivanhoe,Num_Psns_UR_1_Total,6871.0
Kalkallo,Num_Psns_UR_1_Total,3645.0
Kew,Num_Psns_UR_1_Total,5999.0
Kororoit,Num_Psns_UR_1_Total,3960.0
Lara,Num_Psns_UR_1_Total,7525.0
Laverton,Num_Psns_UR_1_Total,5713.0
Lowan,Num_Psns_UR_1_Total,9314.0
Macedon,Num_Psns_UR_1_Total,5241.0
Malvern,Num_Psns_UR_1_Total,8522.0
Melbourne,Num_Psns_UR_1_Total,23638.0
Melton,Num_Psns_UR_1_Total,5393.0
Mildura,Num_Psns_UR_1_Total,7620.0
Mill Park,Num_Psns_UR_1_Total,3970.0
Monbulk,Num_Psns_UR_1_Total,4679.0
Mordialloc,Num_Psns_UR_1_Total,6092.0
Mornington,Num_Psns_UR_1_Total,5917.0
Morwell,Num_Psns_UR_1_Total,9341.0
Mulgrave,Num_Psns_UR_1_Total,5870.0
Murray Plains,Num_Psns_UR_1_Total,7474.0
Narracan,Num_Psns_UR_1_Total,6168.0
Narre Warren North,Num_Psns_UR_1_Total,4422.0
