district,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families,Tot_Families_total
Polwarth,6945.0,510.0,179.0,9.0,0.0,0.0,13.0,7790.0,7790.0
Prahran,3479.0,168.0,18.0,0.0,0.0,0.0,0.0,3723.0,3723.0
Preston,7375.0,330.0,77.0,19.0,0.0,0.0,0.0,7980.0,7980.0
Richmond,4008.0,245.0,32.0,5.0,0.0,0.0,0.0,4333.0,4333.0
Ringwood,9788.0,405.0,105.0,10.0,0.0,0.0,0.0,10537.0,10537.0
Ripon,5823.0,524.0,343.0,21.0,3.0,0.0,17.0,6920.0,6920.0
Rowville,10030.0,557.0,163.0,26.0,0.0,0.0,0.0,10932.0,10932.0
Sandringham,7615.0,364.0,79.0,0.0,0.0,0.0,0.0,8213.0,8213.0
Shepparton,6740.0,488.0,299.0,28.0,0.0,0.0,12.0,7743.0,7743.0
South Barwon,8038.0,589.0,278.0,18.0,0.0,0.0,4.0,9027.0,9027.0
South-West Coast,6286.0,488.0,252.0,13.0,0.0,0.0,15.0,7228.0,7228.0
St Albans,7562.0,479.0,204.0,130.0,0.0,0.0,9.0,8514.0,8514.0
Sunbury,7234.0,544.0,264.0,10.0,0.0,0.0,3.0,8140.0,8140.0
Sydenham,11284.0,578.0,231.0,56.0,0.0,0.0,0.0,12366.0,12366.0
Tarneit,12787.0,605.0,272.0,154.0,4.0,0.0,12.0,14047.0,14047.0
Thomastown,9815.0,375.0,150.0,81.0,3.0,0.0,0.0,10689.0,10689.0
Warrandyte,10286.0,431.0,120.0,18.0,0.0,0.0,5.0,11059.0,11059.0
Wendouree,5659.0,527.0,294.0,23.0,0.0,0.0,6.0,6607.0,6607.0
Werribee,10045.0,692.0,316.0,76.0,0.0,0.0,7.0,11342.0,11342.0
Williamstown,7879.0,410.0,106.0,20.0,0.0,0.0,4.0,8501.0,8501.0
Yan Yean,9956.0,681.0,367.0,31.0,0.0,0.0,0.0,11185.0,11185.0
