district,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot,Tot_Tot_total
Box Hill,28.0,60.0,67.0,10.0,6.0,0.0,374.0,5.0,3.0,0.0,0.0,0.0,0.0,19.0,0.0,7.0,6.0,0.0,0.0,0.0,42.0,14.0,3.0,3.0,0.0,0.0,0.0,46.0,8.0,10.0,10.0,0.0,13.0,0.0,78.0,12.0,8.0,13.0,3.0,3.0,0.0,139.0,25.0,44.0,45.0,0.0,3.0,0.0,240.0,21.0,40.0,21.0,0.0,4.0,0.0,226.0,51.0,66.0,12.0,4.0,6.0,0.0,302.0,39.0,55.0,19.0,3.0,0.0,0.0,271.0,39.0,43.0,18.0,0.0,4.0,0.0,194.0,93.0,235.0,102.0,14.0,8.0,0.0,694.0,25.0,81.0,0.0,5.0,0.0,0.0,191.0,59.0,136.0,38.0,0.0,0.0,0.0,341.0,114.0,213.0,38.0,5.0,3.0,0.0,586.0,261.0,792.0,204.0,23.0,14.0,0.0,1502.0,76.0,497.0,68.0,7.0,4.0,0.0,842.0,90.0,415.0,74.0,9.0,0.0,0.0,730.0,48.0,157.0,44.0,0.0,21.0,0.0,485.0,1802.0,3809.0,1603.0,364.0,503.0,10.0,8176.0,8176.0
Brighton,61.0,82.0,41.0,0.0,3.0,0.0,304.0,0.0,0.0,0.0,0.0,3.0,0.0,13.0,3.0,9.0,5.0,0.0,0.0,0.0,47.0,4.0,0.0,3.0,0.0,0.0,0.0,26.0,11.0,6.0,0.0,0.0,0.0,0.0,27.0,6.0,16.0,3.0,0.0,5.0,0.0,84.0,26.0,17.0,0.0,0.0,3.0,0.0,103.0,18.0,8.0,10.0,0.0,4.0,0.0,106.0,15.0,18.0,0.0,0.0,0.0,0.0,109.0,32.0,13.0,9.0,3.0,0.0,3.0,101.0,24.0,8.0,1.0,3.0,0.0,0.0,126.0,66.0,97.0,43.0,0.0,0.0,0.0,367.0,14.0,26.0,4.0,0.0,3.0,0.0,133.0,38.0,56.0,16.0,0.0,0.0,0.0,194.0,62.0,74.0,13.0,8.0,0.0,3.0,294.0,152.0,471.0,156.0,11.0,8.0,0.0,938.0,90.0,390.0,104.0,16.0,0.0,0.0,764.0,227.0,979.0,281.0,14.0,29.0,0.0,1705.0,79.0,187.0,45.0,3.0,7.0,0.0,496.0,1579.0,2980.0,1284.0,299.0,328.0,12.0,6578.0,6578.0
Broadmeadows,26.0,81.0,18.0,0.0,4.0,0.0,240.0,3.0,0.0,0.0,0.0,3.0,0.0,11.0,15.0,3.0,0.0,0.0,6.0,0.0,96.0,3.0,4.0,0.0,0.0,0.0,0.0,52.0,10.0,14.0,21.0,0.0,3.0,0.0,167.0,24.0,38.0,7.0,0.0,11.0,0.0,188.0,45.0,107.0,25.0,3.0,26.0,0.0,405.0,70.0,159.0,35.0,25.0,21.0,0.0,514.0,73.0,198.0,25.0,4.0,5.0,3.0,530.0,108.0,235.0,19.0,25.0,11.0,0.0,596.0,125.0,202.0,19.0,16.0,0.0,0.0,485.0,201.0,328.0,55.0,15.0,12.0,0.0,834.0,73.0,159.0,3.0,0.0,3.0,0.0,321.0,51.0,113.0,11.0,0.0,0.0,0.0,277.0,106.0,215.0,21.0,3.0,0.0,0.0,424.0,97.0,288.0,37.0,0.0,0.0,0.0,559.0,10.0,41.0,0.0,0.0,0.0,0.0,144.0,4.0,51.0,4.0,0.0,0.0,0.0,97.0,56.0,126.0,42.0,3.0,22.0,0.0,492.0,1873.0,3087.0,1043.0,364.0,604.0,60.0,7126.0,7126.0
Brunswick,45.0,36.0,7.0,0.0,0.0,0.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,3.0,0.0,0.0,0.0,0.0,23.0,0.0,6.0,3.0,0.0,0.0,0.0,25.0,3.0,4.0,0.0,0.0,4.0,0.0,23.0,14.0,8.0,8.0,0.0,3.0,0.0,85.0,38.0,10.0,4.0,0.0,0.0,0.0,114.0,54.0,19.0,3.0,0.0,0.0,0.0,142.0,62.0,16.0,4.0,0.0,0.0,0.0,154.0,51.0,12.0,4.0,5.0,5.0,0.0,170.0,71.0,41.0,0.0,0.0,0.0,0.0,174.0,129.0,142.0,17.0,0.0,0.0,0.0,453.0,44.0,53.0,4.0,8.0,0.0,0.0,193.0,64.0,56.0,4.0,0.0,0.0,0.0,169.0,83.0,166.0,12.0,4.0,4.0,0.0,338.0,315.0,423.0,30.0,9.0,0.0,0.0,943.0,115.0,214.0,40.0,0.0,3.0,0.0,511.0,85.0,269.0,24.0,0.0,0.0,0.0,497.0,45.0,58.0,8.0,0.0,3.0,0.0,212.0,1902.0,2263.0,525.0,191.0,157.0,13.0,5200.0,5200.0
Bulleen,77.0,41.0,69.0,5.0,7.0,0.0,410.0,5.0,0.0,9.0,0.0,0.0,0.0,36.0,3.0,3.0,7.0,0.0,0.0,0.0,47.0,21.0,7.0,4.0,0.0,0.0,0.0,44.0,4.0,5.0,12.0,0.0,10.0,0.0,61.0,6.0,8.0,23.0,0.0,0.0,0.0,101.0,20.0,55.0,19.0,0.0,6.0,0.0,201.0,46.0,27.0,15.0,0.0,6.0,0.0,191.0,41.0,48.0,47.0,0.0,0.0,0.0,232.0,54.0,41.0,20.0,0.0,0.0,0.0,219.0,33.0,51.0,22.0,0.0,3.0,0.0,201.0,116.0,255.0,80.0,6.0,16.0,0.0,658.0,19.0,43.0,34.0,0.0,0.0,0.0,148.0,35.0,100.0,10.0,0.0,9.0,0.0,285.0,66.0,172.0,32.0,0.0,0.0,0.0,467.0,308.0,723.0,153.0,27.0,18.0,0.0,1412.0,93.0,427.0,77.0,8.0,10.0,0.0,787.0,123.0,373.0,87.0,10.0,0.0,0.0,810.0,61.0,153.0,84.0,0.0,9.0,0.0,523.0,1896.0,3177.0,1626.0,318.0,417.0,15.0,7572.0,7572.0
Bundoora,49.0,68.0,31.0,0.0,20.0,0.0,293.0,9.0,4.0,3.0,0.0,0.0,0.0,51.0,7.0,3.0,4.0,0.0,0.0,0.0,61.0,4.0,8.0,12.0,0.0,0.0,0.0,74.0,14.0,3.0,9.0,0.0,9.0,0.0,131.0,19.0,24.0,24.0,0.0,3.0,0.0,163.0,24.0,69.0,31.0,0.0,3.0,0.0,316.0,26.0,126.0,20.0,3.0,3.0,0.0,324.0,66.0,127.0,70.0,17.0,10.0,0.0,474.0,89.0,190.0,30.0,0.0,8.0,0.0,528.0,44.0,154.0,35.0,4.0,0.0,0.0,347.0,143.0,362.0,66.0,8.0,10.0,0.0,850.0,64.0,238.0,15.0,8.0,3.0,0.0,472.0,65.0,213.0,4.0,14.0,6.0,0.0,450.0,178.0,411.0,41.0,9.0,0.0,0.0,744.0,240.0,535.0,104.0,9.0,4.0,0.0,1042.0,36.0,102.0,48.0,3.0,0.0,0.0,278.0,21.0,84.0,24.0,0.0,7.0,0.0,188.0,47.0,125.0,100.0,5.0,8.0,0.0,472.0,1908.0,3636.0,1432.0,356.0,411.0,9.0,7925.0,7925.0
Carrum,30.0,39.0,12.0,0.0,7.0,0.0,234.0,3.0,0.0,0.0,0.0,0.0,0.0,20.0,9.0,0.0,5.0,0.0,3.0,0.0,87.0,3.0,6.0,5.0,0.0,15.0,0.0,70.0,24.0,20.0,24.0,0.0,15.0,0.0,239.0,61.0,48.0,17.0,3.0,12.0,0.0,335.0,90.0,179.0,64.0,12.0,6.0,0.0,507.0,116.0,209.0,84.0,24.0,39.0,0.0,704.0,114.0,301.0,60.0,21.0,15.0,0.0,707.0,205.0,381.0,95.0,21.0,16.0,0.0,935.0,191.0,391.0,31.0,10.0,11.0,0.0,810.0,367.0,668.0,139.0,24.0,29.0,0.0,1458.0,157.0,332.0,28.0,5.0,0.0,0.0,701.0,117.0,305.0,22.0,3.0,3.0,0.0,582.0,204.0,495.0,68.0,7.0,4.0,0.0,960.0,248.0,534.0,137.0,4.0,8.0,0.0,1070.0,64.0,150.0,10.0,0.0,3.0,0.0,298.0,35.0,62.0,35.0,0.0,4.0,0.0,246.0,132.0,236.0,78.0,0.0,38.0,0.0,668.0,2937.0,5064.0,1643.0,628.0,673.0,37.0,11057.0,11057.0
Caulfield,58.0,34.0,45.0,0.0,0.0,0.0,281.0,3.0,3.0,0.0,0.0,0.0,0.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,4.0,0.0,0.0,0.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,42.0,19.0,3.0,3.0,0.0,0.0,0.0,61.0,9.0,24.0,9.0,0.0,5.0,0.0,126.0,30.0,0.0,7.0,0.0,0.0,0.0,94.0,39.0,18.0,8.0,0.0,0.0,0.0,150.0,63.0,30.0,0.0,0.0,0.0,0.0,186.0,63.0,38.0,0.0,6.0,0.0,0.0,195.0,94.0,170.0,30.0,0.0,6.0,0.0,454.0,52.0,48.0,0.0,0.0,0.0,0.0,173.0,48.0,78.0,9.0,3.0,0.0,0.0,246.0,110.0,118.0,14.0,0.0,4.0,0.0,347.0,229.0,458.0,72.0,12.0,8.0,0.0,1013.0,95.0,378.0,36.0,3.0,3.0,0.0,704.0,116.0,594.0,119.0,24.0,0.0,0.0,1026.0,86.0,179.0,37.0,0.0,0.0,0.0,484.0,1915.0,2951.0,1000.0,211.0,229.0,18.0,6444.0,6444.0
Clarinda,43.0,53.0,56.0,0.0,36.0,4.0,314.0,0.0,0.0,13.0,0.0,0.0,0.0,37.0,10.0,7.0,9.0,0.0,0.0,0.0,72.0,7.0,0.0,8.0,4.0,7.0,0.0,77.0,35.0,8.0,17.0,0.0,10.0,0.0,156.0,27.0,14.0,29.0,3.0,0.0,0.0,182.0,16.0,23.0,20.0,4.0,18.0,0.0,279.0,52.0,104.0,53.0,0.0,30.0,0.0,390.0,61.0,156.0,60.0,10.0,23.0,0.0,470.0,74.0,132.0,40.0,12.0,14.0,0.0,494.0,36.0,150.0,23.0,11.0,17.0,0.0,405.0,125.0,283.0,99.0,14.0,25.0,0.0,785.0,41.0,201.0,28.0,0.0,0.0,0.0,390.0,41.0,213.0,29.0,0.0,0.0,0.0,409.0,81.0,309.0,65.0,3.0,10.0,0.0,697.0,164.0,602.0,100.0,15.0,8.0,0.0,1131.0,26.0,160.0,33.0,3.0,0.0,0.0,280.0,6.0,68.0,6.0,0.0,3.0,0.0,145.0,45.0,167.0,85.0,6.0,12.0,4.0,532.0,1731.0,3544.0,1562.0,409.0,639.0,55.0,7909.0,7909.0
Cranbourne,22.0,38.0,8.0,0.0,9.0,0.0,185.0,3.0,0.0,0.0,3.0,0.0,0.0,28.0,12.0,3.0,0.0,0.0,0.0,0.0,94.0,18.0,9.0,15.0,3.0,3.0,0.0,88.0,10.0,11.0,0.0,0.0,0.0,0.0,116.0,29.0,50.0,10.0,0.0,9.0,0.0,244.0,71.0,108.0,29.0,25.0,7.0,4.0,418.0,143.0,360.0,65.0,31.0,21.0,4.0,847.0,162.0,539.0,72.0,16.0,25.0,0.0,1070.0,241.0,875.0,119.0,49.0,56.0,0.0,1554.0,279.0,946.0,101.0,37.0,4.0,0.0,1546.0,417.0,1246.0,212.0,44.0,9.0,4.0,2194.0,159.0,736.0,51.0,11.0,0.0,0.0,1169.0,125.0,508.0,37.0,5.0,4.0,0.0,829.0,124.0,550.0,85.0,9.0,0.0,0.0,960.0,151.0,407.0,76.0,15.0,16.0,0.0,817.0,15.0,118.0,8.0,0.0,0.0,0.0,225.0,11.0,40.0,0.0,0.0,0.0,0.0,150.0,122.0,322.0,101.0,19.0,13.0,0.0,782.0,3026.0,7523.0,1730.0,735.0,672.0,53.0,13806.0,13806.0
Croydon,77.0,40.0,20.0,0.0,9.0,0.0,279.0,5.0,4.0,0.0,0.0,0.0,0.0,32.0,6.0,7.0,11.0,0.0,6.0,0.0,110.0,3.0,17.0,8.0,0.0,10.0,0.0,93.0,14.0,6.0,15.0,4.0,9.0,0.0,169.0,21.0,65.0,35.0,3.0,19.0,0.0,312.0,58.0,64.0,79.0,10.0,33.0,0.0,457.0,40.0,142.0,53.0,23.0,31.0,0.0,522.0,89.0,190.0,49.0,19.0,39.0,0.0,581.0,100.0,323.0,68.0,15.0,24.0,0.0,743.0,122.0,319.0,39.0,19.0,19.0,0.0,702.0,242.0,564.0,135.0,21.0,7.0,0.0,1141.0,138.0,326.0,46.0,3.0,4.0,0.0,719.0,172.0,314.0,19.0,7.0,4.0,0.0,656.0,257.0,528.0,72.0,3.0,0.0,3.0,990.0,314.0,639.0,102.0,17.0,8.0,0.0,1198.0,41.0,111.0,18.0,4.0,0.0,0.0,282.0,22.0,46.0,19.0,0.0,0.0,0.0,137.0,77.0,148.0,64.0,0.0,4.0,3.0,485.0,2694.0,4571.0,1604.0,527.0,656.0,33.0,10173.0,10173.0
Dandenong,22.0,36.0,23.0,4.0,18.0,0.0,270.0,3.0,3.0,3.0,0.0,0.0,0.0,26.0,4.0,4.0,16.0,0.0,4.0,0.0,61.0,7.0,7.0,6.0,0.0,7.0,0.0,83.0,32.0,13.0,12.0,9.0,0.0,0.0,187.0,37.0,45.0,35.0,3.0,3.0,0.0,289.0,26.0,81.0,21.0,12.0,31.0,0.0,385.0,94.0,210.0,37.0,6.0,9.0,0.0,606.0,65.0,245.0,48.0,30.0,32.0,0.0,679.0,79.0,264.0,62.0,10.0,19.0,3.0,685.0,117.0,244.0,18.0,4.0,3.0,0.0,564.0,111.0,360.0,66.0,4.0,27.0,0.0,754.0,21.0,177.0,4.0,0.0,12.0,0.0,342.0,21.0,124.0,11.0,7.0,6.0,0.0,274.0,24.0,145.0,32.0,0.0,5.0,0.0,367.0,71.0,139.0,37.0,6.0,4.0,0.0,431.0,14.0,31.0,4.0,3.0,3.0,0.0,99.0,13.0,19.0,3.0,4.0,4.0,0.0,76.0,81.0,148.0,52.0,19.0,19.0,0.0,578.0,1659.0,3293.0,1285.0,459.0,640.0,49.0,7469.0,7469.0
Eildon,63.0,20.0,12.0,0.0,0.0,0.0,185.0,15.0,0.0,11.0,0.0,0.0,0.0,43.0,11.0,9.0,7.0,10.0,3.0,0.0,97.0,23.0,5.0,5.0,0.0,0.0,0.0,100.0,46.0,22.0,39.0,0.0,20.0,0.0,266.0,80.0,54.0,34.0,7.0,13.0,0.0,379.0,128.0,137.0,47.0,7.0,28.0,0.0,552.0,98.0,190.0,49.0,16.0,17.0,0.0,681.0,134.0,222.0,34.0,19.0,24.0,0.0,671.0,197.0,322.0,50.0,21.0,7.0,0.0,745.0,88.0,263.0,55.0,10.0,3.0,0.0,606.0,254.0,401.0,58.0,6.0,10.0,0.0,915.0,68.0,172.0,17.0,0.0,4.0,0.0,355.0,46.0,110.0,0.0,0.0,3.0,0.0,235.0,123.0,265.0,33.0,0.0,0.0,0.0,569.0,154.0,239.0,75.0,5.0,0.0,0.0,648.0,38.0,69.0,24.0,0.0,0.0,0.0,200.0,27.0,52.0,26.0,4.0,0.0,0.0,174.0,100.0,93.0,58.0,6.0,10.0,0.0,495.0,2667.0,3422.0,1355.0,477.0,510.0,11.0,8622.0,8622.0
Eltham,34.0,34.0,49.0,0.0,3.0,0.0,258.0,4.0,3.0,8.0,0.0,3.0,0.0,34.0,19.0,10.0,19.0,0.0,7.0,0.0,145.0,4.0,14.0,12.0,0.0,0.0,0.0,85.0,0.0,31.0,25.0,0.0,3.0,0.0,143.0,3.0,23.0,41.0,0.0,7.0,0.0,232.0,32.0,105.0,48.0,0.0,9.0,0.0,375.0,47.0,51.0,59.0,5.0,19.0,0.0,414.0,30.0,116.0,55.0,18.0,10.0,0.0,410.0,40.0,184.0,55.0,0.0,18.0,0.0,488.0,54.0,210.0,13.0,7.0,12.0,0.0,417.0,144.0,386.0,153.0,15.0,13.0,0.0,927.0,54.0,276.0,34.0,5.0,5.0,0.0,528.0,55.0,251.0,24.0,4.0,5.0,0.0,455.0,178.0,656.0,53.0,12.0,6.0,0.0,1055.0,323.0,977.0,223.0,8.0,6.0,0.0,1676.0,53.0,271.0,70.0,4.0,0.0,0.0,483.0,31.0,192.0,36.0,0.0,0.0,0.0,371.0,69.0,220.0,51.0,0.0,8.0,0.0,526.0,2032.0,4753.0,1948.0,384.0,492.0,3.0,9632.0,9632.0
Essendon,32.0,56.0,26.0,12.0,0.0,0.0,239.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,26.0,4.0,8.0,3.0,0.0,0.0,0.0,29.0,7.0,7.0,0.0,0.0,0.0,0.0,50.0,23.0,7.0,13.0,3.0,7.0,0.0,112.0,15.0,44.0,16.0,0.0,0.0,0.0,175.0,65.0,49.0,35.0,3.0,0.0,0.0,267.0,64.0,32.0,9.0,6.0,0.0,0.0,228.0,86.0,61.0,17.0,3.0,0.0,0.0,237.0,42.0,47.0,7.0,0.0,0.0,0.0,168.0,103.0,179.0,41.0,10.0,3.0,4.0,553.0,34.0,58.0,0.0,0.0,0.0,0.0,184.0,36.0,93.0,0.0,0.0,0.0,0.0,261.0,74.0,190.0,20.0,0.0,0.0,0.0,412.0,246.0,673.0,111.0,9.0,16.0,0.0,1212.0,66.0,365.0,52.0,5.0,3.0,0.0,642.0,79.0,487.0,70.0,10.0,0.0,0.0,804.0,51.0,170.0,68.0,0.0,0.0,0.0,441.0,1770.0,3154.0,1180.0,216.0,273.0,27.0,6624.0,6624.0
Eureka,56.0,33.0,11.0,0.0,0.0,0.0,224.0,10.0,3.0,7.0,0.0,3.0,0.0,54.0,26.0,9.0,16.0,0.0,0.0,0.0,130.0,9.0,12.0,4.0,0.0,3.0,0.0,96.0,44.0,32.0,6.0,0.0,13.0,0.0,249.0,106.0,104.0,38.0,15.0,15.0,0.0,428.0,145.0,196.0,75.0,51.0,4.0,0.0,684.0,203.0,379.0,104.0,34.0,51.0,0.0,977.0,185.0,405.0,71.0,14.0,14.0,0.0,986.0,249.0,545.0,86.0,27.0,3.0,0.0,1089.0,179.0,431.0,37.0,12.0,5.0,0.0,849.0,237.0,584.0,70.0,19.0,6.0,0.0,1081.0,85.0,201.0,26.0,0.0,3.0,0.0,461.0,37.0,104.0,13.0,3.0,0.0,0.0,255.0,92.0,254.0,27.0,0.0,5.0,0.0,528.0,135.0,247.0,39.0,4.0,0.0,0.0,525.0,6.0,36.0,11.0,0.0,0.0,0.0,112.0,14.0,22.0,0.0,0.0,0.0,0.0,66.0,96.0,138.0,37.0,7.0,13.0,0.0,556.0,2868.0,4464.0,1378.0,538.0,527.0,28.0,9828.0,9828.0
Euroa,47.0,19.0,0.0,0.0,8.0,0.0,156.0,10.0,4.0,0.0,0.0,6.0,0.0,54.0,44.0,15.0,6.0,0.0,7.0,0.0,155.0,22.0,6.0,10.0,0.0,4.0,0.0,142.0,115.0,57.0,4.0,12.0,7.0,0.0,363.0,161.0,123.0,34.0,20.0,17.0,0.0,595.0,150.0,155.0,51.0,13.0,16.0,0.0,670.0,184.0,223.0,77.0,12.0,20.0,0.0,743.0,211.0,171.0,28.0,10.0,11.0,0.0,699.0,192.0,274.0,47.0,14.0,15.0,0.0,685.0,111.0,139.0,41.0,7.0,5.0,0.0,432.0,126.0,248.0,54.0,4.0,0.0,0.0,550.0,12.0,56.0,3.0,2.0,0.0,0.0,147.0,9.0,30.0,5.0,0.0,0.0,0.0,62.0,55.0,94.0,40.0,4.0,0.0,0.0,301.0,72.0,124.0,22.0,0.0,0.0,0.0,274.0,20.0,17.0,6.0,0.0,0.0,0.0,70.0,8.0,12.0,3.0,0.0,0.0,0.0,70.0,122.0,71.0,18.0,12.0,7.0,0.0,397.0,2551.0,2678.0,1083.0,421.0,486.0,18.0,7264.0,7264.0
Evelyn,68.0,37.0,35.0,0.0,8.0,0.0,283.0,16.0,0.0,0.0,0.0,0.0,0.0,51.0,19.0,8.0,6.0,0.0,4.0,0.0,111.0,20.0,3.0,4.0,5.0,0.0,0.0,97.0,26.0,19.0,16.0,3.0,6.0,0.0,179.0,34.0,33.0,66.0,0.0,10.0,0.0,327.0,68.0,84.0,48.0,4.0,9.0,4.0,357.0,47.0,159.0,94.0,7.0,13.0,0.0,531.0,96.0,224.0,87.0,12.0,8.0,0.0,630.0,123.0,341.0,120.0,7.0,22.0,0.0,821.0,116.0,385.0,46.0,3.0,12.0,0.0,764.0,269.0,644.0,176.0,24.0,10.0,0.0,1259.0,146.0,327.0,32.0,7.0,3.0,0.0,647.0,189.0,335.0,20.0,0.0,0.0,3.0,664.0,219.0,647.0,118.0,3.0,3.0,0.0,1170.0,261.0,682.0,104.0,4.0,0.0,0.0,1233.0,33.0,97.0,42.0,0.0,0.0,0.0,260.0,20.0,39.0,20.0,0.0,0.0,0.0,163.0,124.0,202.0,131.0,5.0,3.0,0.0,698.0,2819.0,4939.0,2025.0,438.0,638.0,26.0,10970.0,10970.0
Footscray,32.0,67.0,29.0,0.0,11.0,3.0,276.0,0.0,0.0,5.0,0.0,0.0,0.0,18.0,0.0,4.0,9.0,0.0,0.0,0.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,24.0,12.0,0.0,5.0,0.0,3.0,0.0,69.0,39.0,12.0,6.0,0.0,3.0,0.0,138.0,16.0,33.0,20.0,6.0,4.0,3.0,218.0,70.0,80.0,15.0,7.0,0.0,3.0,309.0,78.0,128.0,4.0,7.0,3.0,0.0,339.0,123.0,98.0,18.0,11.0,6.0,0.0,373.0,85.0,71.0,4.0,3.0,0.0,0.0,294.0,240.0,278.0,43.0,10.0,10.0,4.0,707.0,104.0,110.0,0.0,0.0,0.0,0.0,384.0,80.0,144.0,12.0,4.0,0.0,0.0,350.0,248.0,313.0,10.0,0.0,6.0,0.0,748.0,374.0,737.0,53.0,14.0,8.0,0.0,1325.0,115.0,278.0,19.0,0.0,0.0,0.0,554.0,52.0,177.0,14.0,9.0,0.0,0.0,360.0,53.0,71.0,27.0,0.0,18.0,0.0,310.0,2467.0,3389.0,756.0,330.0,338.0,37.0,7458.0,7458.0
Frankston,29.0,19.0,4.0,0.0,10.0,0.0,135.0,3.0,0.0,0.0,0.0,3.0,0.0,27.0,10.0,0.0,0.0,0.0,0.0,0.0,49.0,8.0,0.0,0.0,5.0,0.0,0.0,64.0,14.0,6.0,21.0,4.0,0.0,0.0,123.0,36.0,19.0,18.0,4.0,7.0,0.0,225.0,54.0,64.0,24.0,14.0,18.0,0.0,350.0,54.0,134.0,28.0,5.0,16.0,0.0,447.0,79.0,166.0,39.0,5.0,17.0,0.0,515.0,94.0,232.0,27.0,28.0,23.0,0.0,579.0,95.0,221.0,21.0,11.0,9.0,0.0,537.0,209.0,348.0,62.0,3.0,3.0,0.0,824.0,73.0,197.0,12.0,3.0,3.0,0.0,417.0,60.0,93.0,13.0,0.0,0.0,0.0,268.0,136.0,267.0,43.0,4.0,0.0,0.0,580.0,140.0,349.0,46.0,3.0,5.0,0.0,699.0,23.0,65.0,24.0,0.0,0.0,0.0,165.0,17.0,63.0,24.0,3.0,0.0,0.0,143.0,83.0,92.0,16.0,8.0,3.0,0.0,411.0,2127.0,3140.0,1040.0,456.0,503.0,23.0,7385.0,7385.0
