district,census_variable,value,rank
Albert Park,CF_ChU15_a_DSs_a_NdCh_F,0.0,1.0
Malvern,CF_ChU15_a_DSs_a_NdCh_F,0.0,2.0
Prahran,CF_ChU15_a_DSs_a_NdCh_F,0.0,3.0
Richmond,CF_ChU15_a_DSs_a_NdCh_F,0.0,4.0
Brunswick,CF_ChU15_a_DSs_a_NdCh_F,3.0,5.0
Hawthorn,CF_ChU15_a_DSs_a_NdCh_F,7.0,6.0
Northcote,CF_ChU15_a_DSs_a_NdCh_F,9.0,7.0
Oakleigh,CF_ChU15_a_DSs_a_NdCh_F,9.0,8.0
Bulleen,CF_ChU15_a_DSs_a_NdCh_F,17.0,9.0
Kew,CF_ChU15_a_DSs_a_NdCh_F,19.0,10.0
Melbourne,CF_ChU15_a_DSs_a_NdCh_F,20.0,11.0
Footscray,CF_ChU15_a_DSs_a_NdCh_F,23.0,12.0
Essendon,CF_ChU15_a_DSs_a_NdCh_F,29.0,13.0
Glen Waverley,CF_ChU15_a_DSs_a_NdCh_F,29.0,14.0
Ivanhoe,CF_ChU15_a_DSs_a_NdCh_F,30.0,15.0
Brighton,CF_ChU15_a_DSs_a_NdCh_F,31.0,16.0
Ashwood,CF_ChU15_a_DSs_a_NdCh_F,36.0,17.0
Bentleigh,CF_ChU15_a_DSs_a_NdCh_F,36.0,18.0
Frankston,CF_ChU15_a_DSs_a_NdCh_F,37.0,19.0
Caulfield,CF_ChU15_a_DSs_a_NdCh_F,39.0,20.0
South Barwon,CF_ChU15_a_DSs_a_NdCh_F,40.0,21.0
Sandringham,CF_ChU15_a_DSs_a_NdCh_F,41.0,22.0
Bundoora,CF_ChU15_a_DSs_a_NdCh_F,44.0,23.0
Wendouree,CF_ChU15_a_DSs_a_NdCh_F,45.0,24.0
Williamstown,CF_ChU15_a_DSs_a_NdCh_F,46.0,25.0
Niddrie,CF_ChU15_a_DSs_a_NdCh_F,48.0,26.0
Macedon,CF_ChU15_a_DSs_a_NdCh_F,49.0,27.0
Bayswater,CF_ChU15_a_DSs_a_NdCh_F,51.0,28.0
Mulgrave,CF_ChU15_a_DSs_a_NdCh_F,52.0,29.0
Nepean,CF_ChU15_a_DSs_a_NdCh_F,52.0,30.0
Monbulk,CF_ChU15_a_DSs_a_NdCh_F,53.0,31.0
Croydon,CF_ChU15_a_DSs_a_NdCh_F,56.0,32.0
Lowan,CF_ChU15_a_DSs_a_NdCh_F,56.0,33.0
Mornington,CF_ChU15_a_DSs_a_NdCh_F,57.0,34.0
Ovens Valley,CF_ChU15_a_DSs_a_NdCh_F,57.0,35.0
Box Hill,CF_ChU15_a_DSs_a_NdCh_F,58.0,36.0
Preston,CF_ChU15_a_DSs_a_NdCh_F,59.0,37.0
Eltham,CF_ChU15_a_DSs_a_NdCh_F,62.0,38.0
Geelong,CF_ChU15_a_DSs_a_NdCh_F,62.0,39.0
Ripon,CF_ChU15_a_DSs_a_NdCh_F,63.0,40.0
Polwarth,CF_ChU15_a_DSs_a_NdCh_F,69.0,41.0
Bellarine,CF_ChU15_a_DSs_a_NdCh_F,70.0,42.0
Mordialloc,CF_ChU15_a_DSs_a_NdCh_F,70.0,43.0
Ringwood,CF_ChU15_a_DSs_a_NdCh_F,71.0,44.0
Warrandyte,CF_ChU15_a_DSs_a_NdCh_F,71.0,45.0
Eildon,CF_ChU15_a_DSs_a_NdCh_F,73.0,46.0
Gippsland South,CF_ChU15_a_DSs_a_NdCh_F,73.0,47.0
Mildura,CF_ChU15_a_DSs_a_NdCh_F,73.0,48.0
Murray Plains,CF_ChU15_a_DSs_a_NdCh_F,74.0,49.0
Bendigo West,CF_ChU15_a_DSs_a_NdCh_F,76.0,50.0
Eureka,CF_ChU15_a_DSs_a_NdCh_F,76.0,51.0
Rowville,CF_ChU15_a_DSs_a_NdCh_F,77.0,52.0
Pascoe Vale,CF_ChU15_a_DSs_a_NdCh_F,80.0,53.0
Lara,CF_ChU15_a_DSs_a_NdCh_F,84.0,54.0
Gippsland East,CF_ChU15_a_DSs_a_NdCh_F,85.0,55.0
Mill Park,CF_ChU15_a_DSs_a_NdCh_F,85.0,56.0
Morwell,CF_ChU15_a_DSs_a_NdCh_F,85.0,57.0
South-West Coast,CF_ChU15_a_DSs_a_NdCh_F,89.0,58.0
Bass,CF_ChU15_a_DSs_a_NdCh_F,90.0,59.0
Clarinda,CF_ChU15_a_DSs_a_NdCh_F,92.0,60.0
Euroa,CF_ChU15_a_DSs_a_NdCh_F,93.0,61.0
Hastings,CF_ChU15_a_DSs_a_NdCh_F,93.0,62.0
Sunbury,CF_ChU15_a_DSs_a_NdCh_F,98.0,63.0
Yan Yean,CF_ChU15_a_DSs_a_NdCh_F,99.0,64.0
Carrum,CF_ChU15_a_DSs_a_NdCh_F,102.0,65.0
Benambra,CF_ChU15_a_DSs_a_NdCh_F,104.0,66.0
St Albans,CF_ChU15_a_DSs_a_NdCh_F,105.0,67.0
Bendigo East,CF_ChU15_a_DSs_a_NdCh_F,113.0,68.0
Point Cook,CF_ChU15_a_DSs_a_NdCh_F,113.0,69.0
Evelyn,CF_ChU15_a_DSs_a_NdCh_F,116.0,70.0
Shepparton,CF_ChU15_a_DSs_a_NdCh_F,120.0,71.0
Thomastown,CF_ChU15_a_DSs_a_NdCh_F,123.0,72.0
Pakenham,CF_ChU15_a_DSs_a_NdCh_F,126.0,73.0
Laverton,CF_ChU15_a_DSs_a_NdCh_F,132.0,74.0
Narracan,CF_ChU15_a_DSs_a_NdCh_F,137.0,75.0
Berwick,CF_ChU15_a_DSs_a_NdCh_F,159.0,76.0
Kororoit,CF_ChU15_a_DSs_a_NdCh_F,162.0,77.0
Melton,CF_ChU15_a_DSs_a_NdCh_F,165.0,78.0
Werribee,CF_ChU15_a_DSs_a_NdCh_F,171.0,79.0
Sydenham,CF_ChU15_a_DSs_a_NdCh_F,174.0,80.0
Narre Warren North,CF_ChU15_a_DSs_a_NdCh_F,192.0,81.0
Tarneit,CF_ChU15_a_DSs_a_NdCh_F,195.0,82.0
Dandenong,CF_ChU15_a_DSs_a_NdCh_F,224.0,83.0
Broadmeadows,CF_ChU15_a_DSs_a_NdCh_F,233.0,84.0
Kalkallo,CF_ChU15_a_DSs_a_NdCh_F,244.0,85.0
Cranbourne,CF_ChU15_a_DSs_a_NdCh_F,272.0,86.0
Greenvale,CF_ChU15_a_DSs_a_NdCh_F,333.0,87.0
Narre Warren South,CF_ChU15_a_DSs_a_NdCh_F,372.0,88.0
Albert Park,CF_ChU15_a_DSs_a_NdCh_F_pc,0.0,1.0
Malvern,CF_ChU15_a_DSs_a_NdCh_F_pc,0.0,2.0
Prahran,CF_ChU15_a_DSs_a_NdCh_F_pc,0.0,3.0
Richmond,CF_ChU15_a_DSs_a_NdCh_F_pc,0.0,4.0
Brunswick,CF_ChU15_a_DSs_a_NdCh_F_pc,0.0001,5.0
Hawthorn,CF_ChU15_a_DSs_a_NdCh_F_pc,0.0001,6.0
Oakleigh,CF_ChU15_a_DSs_a_NdCh_F_pc,0.0001,7.0
Northcote,CF_ChU15_a_DSs_a_NdCh_F_pc,0.0002,8.0
Bulleen,CF_ChU15_a_DSs_a_NdCh_F_pc,0.0003,9.0
Kew,CF_ChU15_a_DSs_a_NdCh_F_pc,0.0003,10.0
Footscray,CF_ChU15_a_DSs_a_NdCh_F_pc,0.0004,11.0
Glen Waverley,CF_ChU15_a_DSs_a_NdCh_F_pc,0.0004,12.0
Melbourne,CF_ChU15_a_DSs_a_NdCh_F_pc,0.0004,13.0
Ashwood,CF_ChU15_a_DSs_a_NdCh_F_pc,0.0006,14.0
Bentleigh,CF_ChU15_a_DSs_a_NdCh_F_pc,0.0006,15.0
Brighton,CF_ChU15_a_DSs_a_NdCh_F_pc,0.0006,16.0
Essendon,CF_ChU15_a_DSs_a_NdCh_F_pc,0.0006,17.0
Ivanhoe,CF_ChU15_a_DSs_a_NdCh_F_pc,0.0006,18.0
Frankston,CF_ChU15_a_DSs_a_NdCh_F_pc,0.0007,19.0
South Barwon,CF_ChU15_a_DSs_a_NdCh_F_pc,0.0007,20.0
Bundoora,CF_ChU15_a_DSs_a_NdCh_F_pc,0.0008,21.0
Caulfield,CF_ChU15_a_DSs_a_NdCh_F_pc,0.0008,22.0
Niddrie,CF_ChU15_a_DSs_a_NdCh_F_pc,0.0008,23.0
Sandringham,CF_ChU15_a_DSs_a_NdCh_F_pc,0.0008,24.0
Bayswater,CF_ChU15_a_DSs_a_NdCh_F_pc,0.0009,25.0
Box Hill,CF_ChU15_a_DSs_a_NdCh_F_pc,0.0009,26.0
Croydon,CF_ChU15_a_DSs_a_NdCh_F_pc,0.0009,27.0
