district,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_NonFamHhold_pc,Num_Psns_UR_1_Total,Num_Psns_UR_1_Total_pc,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_FamHhold_pc,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_NonFamHhold_pc,Num_Psns_UR_2_Total,Num_Psns_UR_2_Total_pc,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_FamHhold_pc,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_NonFamHhold_pc,Num_Psns_UR_3_Total,Num_Psns_UR_3_Total_pc,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_FamHhold_pc,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_NonFamHhold_pc,Num_Psns_UR_4_Total,Num_Psns_UR_4_Total_pc,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_FamHhold_pc,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_NonFamHhold_pc,Num_Psns_UR_5_Total,Num_Psns_UR_5_Total_pc,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_FamHhold_pc,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_NonFamHhold_pc,Num_Psns_UR_6mo_Total,Num_Psns_UR_6mo_Total_pc,Total_FamHhold,Total_FamHhold_pc,Total_NonFamHhold,Total_NonFamHhold_pc,Total_Total,Total_Total_pc,Total_Total_total
Ovens Valley,57.0,68.0,57.0,68.0,75.0,85.0,29.0,35.0,69.0,85.0,2.0,7.0,15.0,15.0,1.0,5.0,7.0,11.0,29.0,29.0,6.0,10.0,20.0,29.0,30.0,30.0,20.0,29.0,27.0,34.0,63.0,66.0,26.0,32.0,8.0,31.0,53.0,63.0,15.0,64.0,15.0
Pakenham,20.0,20.0,20.0,20.0,16.0,19.0,38.0,43.0,18.0,21.0,62.0,68.0,30.0,30.0,59.0,64.0,67.0,68.0,38.0,37.0,66.0,67.0,72.0,74.0,31.0,31.0,70.0,72.0,74.0,74.0,41.0,41.0,74.0,74.0,65.0,69.0,20.0,21.0,35.0,65.0,35.0
Pascoe Vale,55.0,55.0,55.0,55.0,32.0,28.0,76.0,77.0,46.0,36.0,46.0,41.0,81.0,82.0,57.0,52.0,49.0,42.0,80.0,81.0,49.0,46.0,10.0,11.0,79.0,78.0,10.0,10.0,15.0,17.0,64.0,67.0,15.0,16.0,21.0,20.0,69.0,69.0,49.0,66.0,49.0
Point Cook,17.0,9.0,17.0,9.0,18.0,8.0,45.0,29.0,19.0,7.0,88.0,88.0,50.0,47.0,88.0,88.0,88.0,86.0,53.0,49.0,88.0,86.0,80.0,73.0,67.0,67.0,79.0,73.0,72.0,68.0,55.0,56.0,72.0,68.0,88.0,80.0,17.0,9.0,80.0,67.0,80.0
Polwarth,51.0,53.0,51.0,53.0,72.0,74.0,51.0,52.0,70.0,71.0,13.0,17.0,47.0,48.0,15.0,15.0,29.0,33.0,57.0,57.0,28.0,31.0,48.0,51.0,54.0,59.0,49.0,50.0,34.0,35.0,59.0,68.0,32.0,34.0,42.0,40.0,49.0,48.0,43.0,68.0,43.0
Prahran,87.0,88.0,87.0,88.0,87.0,53.0,87.0,87.0,87.0,79.0,1.0,1.0,85.0,83.0,13.0,1.0,1.0,1.0,73.0,68.0,1.0,1.0,1.0,2.0,50.0,45.0,1.0,1.0,1.0,1.0,65.0,57.0,1.0,1.0,3.0,2.0,87.0,87.0,87.0,69.0,87.0
Preston,75.0,65.0,75.0,65.0,53.0,35.0,80.0,79.0,67.0,45.0,55.0,39.0,78.0,80.0,60.0,41.0,35.0,26.0,78.0,77.0,35.0,28.0,13.0,10.0,71.0,70.0,14.0,9.0,45.0,33.0,81.0,80.0,46.0,33.0,46.0,15.0,77.0,74.0,77.0,70.0,77.0
Richmond,85.0,85.0,85.0,85.0,82.0,58.0,86.0,86.0,85.0,81.0,5.0,3.0,86.0,87.0,37.0,14.0,2.0,3.0,85.0,87.0,2.0,4.0,3.0,4.0,73.0,72.0,2.0,4.0,4.0,5.0,68.0,69.0,4.0,5.0,1.0,3.0,85.0,86.0,83.0,71.0,83.0
Ringwood,69.0,48.0,69.0,48.0,62.0,34.0,68.0,67.0,65.0,31.0,78.0,52.0,59.0,55.0,75.0,49.0,69.0,53.0,59.0,58.0,68.0,51.0,57.0,42.0,55.0,53.0,58.0,42.0,40.0,28.0,60.0,58.0,34.0,26.0,75.0,38.0,68.0,53.0,82.0,72.0,82.0
Ripon,66.0,64.0,66.0,64.0,76.0,77.0,35.0,33.0,72.0,73.0,9.0,11.0,8.0,7.0,6.0,8.0,15.0,18.0,27.0,25.0,14.0,17.0,33.0,30.0,44.0,46.0,30.0,30.0,57.0,54.0,69.0,70.0,57.0,54.0,35.0,30.0,62.0,61.0,47.0,73.0,47.0
Rowville,9.0,10.0,9.0,10.0,17.0,36.0,7.0,8.0,13.0,26.0,66.0,81.0,19.0,21.0,61.0,80.0,74.0,79.0,24.0,26.0,73.0,79.0,67.0,71.0,32.0,32.0,65.0,70.0,58.0,60.0,42.0,42.0,58.0,60.0,61.0,79.0,8.0,10.0,12.0,74.0,12.0
Sandringham,49.0,58.0,49.0,58.0,41.0,63.0,16.0,17.0,34.0,51.0,24.0,35.0,22.0,22.0,21.0,31.0,45.0,52.0,33.0,34.0,43.0,49.0,25.0,38.0,33.0,33.0,23.0,36.0,8.0,9.0,43.0,43.0,6.0,9.0,13.0,35.0,46.0,54.0,16.0,75.0,16.0
Shepparton,62.0,59.0,62.0,59.0,60.0,62.0,55.0,51.0,57.0,58.0,29.0,29.0,57.0,57.0,27.0,27.0,27.0,23.0,36.0,35.0,27.0,24.0,52.0,44.0,56.0,60.0,52.0,47.0,68.0,66.0,76.0,79.0,68.0,66.0,45.0,33.0,63.0,56.0,56.0,76.0,56.0
South Barwon,29.0,30.0,29.0,30.0,45.0,56.0,53.0,55.0,45.0,52.0,41.0,44.0,69.0,70.0,45.0,46.0,53.0,56.0,77.0,79.0,57.0,59.0,51.0,52.0,83.0,84.0,54.0,55.0,35.0,39.0,83.0,86.0,42.0,46.0,50.0,51.0,36.0,38.0,37.0,77.0,37.0
South-West Coast,65.0,61.0,65.0,61.0,79.0,79.0,52.0,48.0,77.0,75.0,26.0,20.0,48.0,49.0,22.0,18.0,18.0,19.0,45.0,44.0,17.0,18.0,35.0,28.0,47.0,47.0,32.0,26.0,30.0,29.0,44.0,44.0,28.0,28.0,44.0,32.0,64.0,57.0,54.0,78.0,54.0
St Albans,18.0,26.0,18.0,26.0,8.0,13.0,46.0,56.0,9.0,13.0,48.0,60.0,66.0,68.0,46.0,66.0,39.0,51.0,69.0,72.0,41.0,55.0,62.0,68.0,78.0,79.0,64.0,71.0,78.0,83.0,45.0,45.0,78.0,82.0,29.0,60.0,23.0,30.0,9.0,79.0,9.0
Sunbury,25.0,34.0,25.0,34.0,22.0,57.0,23.0,32.0,21.0,48.0,45.0,64.0,21.0,25.0,40.0,59.0,34.0,49.0,25.0,27.0,33.0,47.0,39.0,54.0,34.0,34.0,36.0,53.0,41.0,52.0,46.0,46.0,36.0,52.0,14.0,59.0,21.0,28.0,7.0,80.0,7.0
Sydenham,2.0,4.0,2.0,4.0,2.0,7.0,2.0,3.0,2.0,6.0,67.0,85.0,9.0,11.0,62.0,82.0,84.0,88.0,30.0,30.0,82.0,88.0,82.0,85.0,35.0,35.0,81.0,85.0,71.0,75.0,47.0,47.0,71.0,75.0,66.0,85.0,2.0,4.0,8.0,81.0,8.0
Tarneit,11.0,7.0,11.0,7.0,9.0,3.0,32.0,26.0,10.0,3.0,85.0,86.0,55.0,56.0,84.0,87.0,85.0,81.0,65.0,64.0,86.0,81.0,85.0,81.0,69.0,71.0,86.0,81.0,85.0,85.0,73.0,71.0,85.0,85.0,85.0,81.0,13.0,8.0,64.0,82.0,64.0
Thomastown,19.0,19.0,19.0,19.0,12.0,16.0,22.0,23.0,12.0,15.0,65.0,71.0,58.0,59.0,67.0,72.0,62.0,65.0,58.0,59.0,64.0,66.0,76.0,78.0,65.0,65.0,75.0,78.0,76.0,76.0,80.0,81.0,76.0,76.0,64.0,70.0,19.0,19.0,33.0,83.0,33.0
Warrandyte,12.0,12.0,12.0,12.0,29.0,48.0,3.0,2.0,23.0,30.0,59.0,67.0,20.0,18.0,53.0,63.0,77.0,78.0,31.0,31.0,76.0,78.0,73.0,75.0,36.0,36.0,72.0,75.0,60.0,59.0,48.0,48.0,59.0,59.0,68.0,77.0,11.0,11.0,19.0,84.0,19.0
Wendouree,77.0,81.0,77.0,81.0,56.0,54.0,70.0,71.0,60.0,57.0,31.0,27.0,64.0,62.0,28.0,28.0,17.0,16.0,50.0,50.0,16.0,16.0,21.0,21.0,37.0,37.0,21.0,19.0,22.0,22.0,61.0,59.0,23.0,22.0,20.0,13.0,74.0,76.0,60.0,85.0,60.0
Werribee,27.0,23.0,27.0,23.0,25.0,14.0,66.0,64.0,28.0,17.0,84.0,84.0,44.0,41.0,82.0,84.0,72.0,64.0,48.0,51.0,70.0,63.0,71.0,65.0,38.0,38.0,71.0,64.0,75.0,72.0,49.0,49.0,75.0,72.0,78.0,67.0,30.0,22.0,67.0,86.0,67.0
Williamstown,45.0,52.0,45.0,52.0,33.0,49.0,44.0,49.0,32.0,44.0,39.0,49.0,39.0,43.0,33.0,40.0,47.0,54.0,40.0,41.0,47.0,52.0,18.0,24.0,39.0,39.0,19.0,24.0,18.0,21.0,50.0,50.0,18.0,20.0,28.0,42.0,41.0,46.0,22.0,87.0,22.0
Yan Yean,4.0,6.0,4.0,6.0,7.0,15.0,6.0,6.0,5.0,11.0,60.0,79.0,1.0,1.0,52.0,78.0,76.0,84.0,11.0,11.0,75.0,84.0,78.0,83.0,40.0,40.0,78.0,82.0,67.0,70.0,51.0,51.0,67.0,70.0,55.0,83.0,3.0,6.0,5.0,88.0,5.0
