district,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_NonFamHhold_pc,Num_Psns_UR_1_Total,Num_Psns_UR_1_Total_pc,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_FamHhold_pc,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_NonFamHhold_pc,Num_Psns_UR_2_Total,Num_Psns_UR_2_Total_pc,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_FamHhold_pc,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_NonFamHhold_pc,Num_Psns_UR_3_Total,Num_Psns_UR_3_Total_pc,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_FamHhold_pc,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_NonFamHhold_pc,Num_Psns_UR_4_Total,Num_Psns_UR_4_Total_pc,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_FamHhold_pc,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_NonFamHhold_pc,Num_Psns_UR_5_Total,Num_Psns_UR_5_Total_pc,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_FamHhold_pc,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_NonFamHhold_pc,Num_Psns_UR_6mo_Total,Num_Psns_UR_6mo_Total_pc,Total_FamHhold,Total_FamHhold_pc,Total_NonFamHhold,Total_NonFamHhold_pc,Total_Total,Total_Total_pc,Total_Total_total
Evelyn,15.0,17.0,15.0,17.0,31.0,59.0,10.0,13.0,26.0,46.0,43.0,56.0,7.0,9.0,38.0,51.0,57.0,70.0,17.0,18.0,55.0,68.0,64.0,69.0,12.0,12.0,60.0,67.0,63.0,65.0,54.0,54.0,63.0,64.0,51.0,73.0,12.0,16.0,11.0,28.0,11.0
Footscray,74.0,67.0,74.0,67.0,54.0,37.0,82.0,83.0,71.0,53.0,51.0,37.0,82.0,81.0,63.0,47.0,36.0,28.0,75.0,73.0,36.0,30.0,8.0,6.0,72.0,73.0,9.0,7.0,16.0,13.0,78.0,77.0,16.0,13.0,37.0,10.0,80.0,80.0,75.0,29.0,75.0
Frankston,73.0,76.0,73.0,76.0,47.0,43.0,69.0,70.0,48.0,43.0,42.0,40.0,49.0,50.0,42.0,37.0,25.0,21.0,34.0,32.0,22.0,21.0,12.0,14.0,13.0,13.0,12.0,12.0,21.0,23.0,17.0,17.0,21.0,21.0,19.0,17.0,70.0,73.0,52.0,30.0,52.0
Geelong,81.0,79.0,81.0,79.0,64.0,44.0,71.0,69.0,68.0,49.0,36.0,21.0,70.0,69.0,34.0,25.0,28.0,20.0,67.0,69.0,29.0,20.0,34.0,22.0,52.0,51.0,33.0,22.0,19.0,18.0,18.0,18.0,20.0,17.0,40.0,11.0,78.0,78.0,74.0,31.0,74.0
Gippsland East,64.0,73.0,64.0,73.0,84.0,86.0,28.0,28.0,81.0,87.0,3.0,6.0,29.0,28.0,2.0,4.0,5.0,7.0,32.0,33.0,4.0,6.0,11.0,16.0,14.0,14.0,11.0,16.0,25.0,27.0,19.0,19.0,24.0,27.0,10.0,23.0,59.0,65.0,30.0,32.0,30.0
Gippsland South,61.0,69.0,61.0,69.0,77.0,83.0,30.0,31.0,73.0,83.0,7.0,12.0,12.0,12.0,4.0,9.0,8.0,10.0,4.0,4.0,7.0,8.0,26.0,34.0,15.0,15.0,28.0,33.0,44.0,47.0,20.0,20.0,39.0,41.0,11.0,27.0,57.0,60.0,31.0,33.0,31.0
Glen Waverley,23.0,16.0,23.0,16.0,50.0,38.0,18.0,10.0,43.0,27.0,80.0,69.0,62.0,61.0,78.0,71.0,82.0,75.0,62.0,61.0,84.0,77.0,69.0,60.0,70.0,69.0,69.0,63.0,65.0,61.0,79.0,78.0,66.0,62.0,82.0,72.0,24.0,17.0,68.0,34.0,68.0
Greenvale,1.0,1.0,1.0,1.0,1.0,5.0,4.0,5.0,1.0,5.0,47.0,75.0,23.0,26.0,43.0,74.0,66.0,80.0,35.0,36.0,65.0,80.0,86.0,88.0,16.0,16.0,85.0,88.0,86.0,88.0,21.0,21.0,86.0,88.0,49.0,88.0,1.0,1.0,1.0,35.0,1.0
Hastings,37.0,42.0,37.0,42.0,37.0,65.0,19.0,19.0,33.0,56.0,35.0,46.0,4.0,4.0,26.0,38.0,37.0,45.0,5.0,5.0,34.0,42.0,43.0,53.0,17.0,17.0,42.0,51.0,50.0,53.0,22.0,22.0,47.0,53.0,30.0,52.0,29.0,37.0,13.0,36.0,13.0
Hawthorn,72.0,71.0,72.0,71.0,55.0,47.0,77.0,78.0,66.0,60.0,21.0,13.0,72.0,72.0,24.0,16.0,44.0,38.0,63.0,62.0,45.0,36.0,36.0,25.0,63.0,62.0,38.0,28.0,11.0,11.0,75.0,75.0,12.0,12.0,33.0,14.0,75.0,75.0,66.0,37.0,66.0
Ivanhoe,46.0,54.0,46.0,54.0,30.0,42.0,57.0,60.0,31.0,37.0,37.0,43.0,63.0,64.0,36.0,42.0,46.0,47.0,61.0,63.0,46.0,48.0,17.0,23.0,59.0,57.0,15.0,23.0,17.0,20.0,23.0,23.0,17.0,19.0,16.0,34.0,48.0,55.0,23.0,38.0,23.0
