district,census_variable,value
Albert Park,Num_MVs_per_dweling_0_MVs,8555.0
Ashwood,Num_MVs_per_dweling_0_MVs,1601.0
Bass,Num_MVs_per_dweling_0_MVs,799.0
Bayswater,Num_MVs_per_dweling_0_MVs,1204.0
Bellarine,Num_MVs_per_dweling_0_MVs,630.0
Benambra,Num_MVs_per_dweling_0_MVs,1003.0
Bendigo East,Num_MVs_per_dweling_0_MVs,1132.0
Bendigo West,Num_MVs_per_dweling_0_MVs,1426.0
Bentleigh,Num_MVs_per_dweling_0_MVs,1769.0
Berwick,Num_MVs_per_dweling_0_MVs,464.0
Box Hill,Num_MVs_per_dweling_0_MVs,3353.0
Brighton,Num_MVs_per_dweling_0_MVs,1726.0
Broadmeadows,Num_MVs_per_dweling_0_MVs,2741.0
Brunswick,Num_MVs_per_dweling_0_MVs,5709.0
Bulleen,Num_MVs_per_dweling_0_MVs,1382.0
Bundoora,Num_MVs_per_dweling_0_MVs,1553.0
Carrum,Num_MVs_per_dweling_0_MVs,1212.0
Caulfield,Num_MVs_per_dweling_0_MVs,3363.0
Clarinda,Num_MVs_per_dweling_0_MVs,1457.0
Cranbourne,Num_MVs_per_dweling_0_MVs,796.0
Croydon,Num_MVs_per_dweling_0_MVs,1204.0
Dandenong,Num_MVs_per_dweling_0_MVs,2734.0
Eildon,Num_MVs_per_dweling_0_MVs,604.0
Eltham,Num_MVs_per_dweling_0_MVs,493.0
Essendon,Num_MVs_per_dweling_0_MVs,3539.0
Eureka,Num_MVs_per_dweling_0_MVs,1041.0
Euroa,Num_MVs_per_dweling_0_MVs,1046.0
Evelyn,Num_MVs_per_dweling_0_MVs,612.0
Footscray,Num_MVs_per_dweling_0_MVs,3609.0
Frankston,Num_MVs_per_dweling_0_MVs,2141.0
Geelong,Num_MVs_per_dweling_0_MVs,2113.0
Gippsland East,Num_MVs_per_dweling_0_MVs,971.0
Gippsland South,Num_MVs_per_dweling_0_MVs,991.0
Glen Waverley,Num_MVs_per_dweling_0_MVs,1363.0
Greenvale,Num_MVs_per_dweling_0_MVs,785.0
Hastings,Num_MVs_per_dweling_0_MVs,769.0
Hawthorn,Num_MVs_per_dweling_0_MVs,2727.0
Ivanhoe,Num_MVs_per_dweling_0_MVs,1798.0
Kalkallo,Num_MVs_per_dweling_0_MVs,689.0
Kew,Num_MVs_per_dweling_0_MVs,1473.0
Kororoit,Num_MVs_per_dweling_0_MVs,992.0
Lara,Num_MVs_per_dweling_0_MVs,1841.0
Laverton,Num_MVs_per_dweling_0_MVs,2158.0
Lowan,Num_MVs_per_dweling_0_MVs,1327.0
Macedon,Num_MVs_per_dweling_0_MVs,482.0
Malvern,Num_MVs_per_dweling_0_MVs,2402.0
Melbourne,Num_MVs_per_dweling_0_MVs,26624.0
Melton,Num_MVs_per_dweling_0_MVs,1075.0
Mildura,Num_MVs_per_dweling_0_MVs,1518.0
Mill Park,Num_MVs_per_dweling_0_MVs,662.0
Monbulk,Num_MVs_per_dweling_0_MVs,533.0
Mordialloc,Num_MVs_per_dweling_0_MVs,1256.0
Mornington,Num_MVs_per_dweling_0_MVs,794.0
Morwell,Num_MVs_per_dweling_0_MVs,2068.0
Mulgrave,Num_MVs_per_dweling_0_MVs,1962.0
Murray Plains,Num_MVs_per_dweling_0_MVs,1265.0
Narracan,Num_MVs_per_dweling_0_MVs,749.0
Narre Warren North,Num_MVs_per_dweling_0_MVs,867.0
Narre Warren South,Num_MVs_per_dweling_0_MVs,661.0
Nepean,Num_MVs_per_dweling_0_MVs,907.0
Niddrie,Num_MVs_per_dweling_0_MVs,1290.0
Northcote,Num_MVs_per_dweling_0_MVs,3549.0
Oakleigh,Num_MVs_per_dweling_0_MVs,3691.0
Ovens Valley,Num_MVs_per_dweling_0_MVs,1090.0
Pakenham,Num_MVs_per_dweling_0_MVs,715.0
Pascoe Vale,Num_MVs_per_dweling_0_MVs,2833.0
Point Cook,Num_MVs_per_dweling_0_MVs,922.0
Polwarth,Num_MVs_per_dweling_0_MVs,833.0
Prahran,Num_MVs_per_dweling_0_MVs,9181.0
Preston,Num_MVs_per_dweling_0_MVs,3372.0
Richmond,Num_MVs_per_dweling_0_MVs,6587.0
Ringwood,Num_MVs_per_dweling_0_MVs,1903.0
Ripon,Num_MVs_per_dweling_0_MVs,1012.0
Rowville,Num_MVs_per_dweling_0_MVs,663.0
Sandringham,Num_MVs_per_dweling_0_MVs,1443.0
Shepparton,Num_MVs_per_dweling_0_MVs,1345.0
South Barwon,Num_MVs_per_dweling_0_MVs,833.0
