district,Buddhism_M_n,Buddhism_F_n,Buddhism_P_n,Christianity_Anglican_M_n,Christianity_Anglican_F_n,Christianity_Anglican_P_n,Christianity_Asyrin_Apstlic_M_n,Christianity_Asyrin_Apstlic_F_n,Christianity_Asyrin_Apstlic_P_n,Christianity_Baptist_M_n,Christianity_Baptist_F_n,Christianity_Baptist_P_n,Christianity_Brethren_M_n,Christianity_Brethren_F_n,Christianity_Brethren_P_n,Christianity_Catholic_M_n,Christianity_Catholic_F_n,Christianity_Catholic_P_n,Christianity_Church_Christ_M_n,Christianity_Church_Christ_F_n,Christianity_Church_Christ_P_n,Christianity_Eastrn_Orthdox_M_n,Christianity_Eastrn_Orthdox_F_n,Christianity_Eastrn_Orthdox_P_n,Christinty_Jehvahs_Witnses_M_n,Christinty_Jehvahs_Witnses_F_n,Christinty_Jehvahs_Witnses_P_n,Christianity_Lattr_day_Snts_M_n,Christianity_Lattr_day_Snts_F_n,Christianity_Lattr_day_Snts_P_n,Christianity_Lutheran_M_n,Christianity_Lutheran_F_n,Christianity_Lutheran_P_n,Christianity_Orintal_Orthdx_M_n,Christianity_Orintal_Orthdx_F_n,Christianity_Orintal_Orthdx_P_n,Christianity_Othr_Protestnt_M_n,Christianity_Othr_Protestnt_F_n,Christianity_Othr_Protestnt_P_n,Christianity_Pentecostal_M_n,Christianity_Pentecostal_F_n,Christianity_Pentecostal_P_n,Christinty_Prsbytrin_Refrmd_M_n,Christinty_Prsbytrin_Refrmd_F_n,Christinty_Prsbytrin_Refrmd_P_n,Christianity_Salvation_Army_M_n,Christianity_Salvation_Army_F_n,Christianity_Salvation_Army_P_n,Christnty_Sevnth_dy_Advntst_M_n,Christnty_Sevnth_dy_Advntst_F_n,Christnty_Sevnth_dy_Advntst_P_n,Christianity_Uniting_Church_M_n,Christianity_Uniting_Church_F_n,Christianity_Uniting_Church_P_n,Christianity_Christian_nfd_M_n,Christianity_Christian_nfd_F_n,Christianity_Christian_nfd_P_n,Christianity_Othr_Christian_M_n,Christianity_Othr_Christian_F_n,Christianity_Othr_Christian_P_n,Christianity_Tot_M_n,Christianity_Tot_F_n,Christianity_Tot_P_n,Hinduism_M_n,Hinduism_F_n,Hinduism_P_n,Islam_M_n,Islam_F_n,Islam_P_n,Judaism_M_n,Judaism_F_n,Judaism_P_n,Othr_Rel_Aust_Abor_Trad_Rel_M_n,Othr_Rel_Aust_Abor_Trad_Rel_F_n,Othr_Rel_Aust_Abor_Trad_Rel_P_n,Othr_Rel_Sikhism_M_n,Othr_Rel_Sikhism_F_n,Othr_Rel_Sikhism_P_n,Othr_Reln_Other_reln_groups_M_n,Othr_Reln_Other_reln_groups_F_n,Othr_Reln_Other_reln_groups_P_n,Other_Religions_Tot_M_n,Other_Religions_Tot_F_n,Other_Religions_Tot_P_n,SB_OSB_NRA_NR_M_n,SB_OSB_NRA_NR_F_n,SB_OSB_NRA_NR_P_n,SB_OSB_NRA_SB_M_n,SB_OSB_NRA_SB_F_n,SB_OSB_NRA_SB_P_n,SB_OSB_NRA_OSB_M_n,SB_OSB_NRA_OSB_F_n,SB_OSB_NRA_OSB_P_n,SB_OSB_NRA_Tot_M_n,SB_OSB_NRA_Tot_F_n,SB_OSB_NRA_Tot_P_n,Religious_affiliation_ns_M_n,Religious_affiliation_ns_F_n,Religious_affiliation_ns_P_n,Tot_M_n,Tot_F_n,Tot_P_n,Tot_P_total
Greenvale,1003.0,1037.0,2039.0,769.0,996.0,1774.0,549.0,633.0,1219.0,92.0,78.0,241.0,0.0,0.0,0.0,11803.0,12524.0,24381.0,3.0,7.0,27.0,1366.0,1382.0,2731.0,72.0,74.0,206.0,57.0,92.0,159.0,0.0,8.0,26.0,247.0,267.0,552.0,80.0,72.0,221.0,162.0,189.0,384.0,153.0,155.0,357.0,27.0,29.0,86.0,36.0,44.0,78.0,226.0,286.0,560.0,1115.0,1168.0,2230.0,18.0,16.0,31.0,17201.0,18354.0,35506.0,1017.0,833.0,1932.0,10709.0,10892.0,21575.0,0.0,0.0,3.0,0.0,0.0,0.0,343.0,320.0,655.0,74.0,57.0,151.0,427.0,389.0,846.0,5464.0,4767.0,10233.0,14.0,23.0,52.0,7.0,12.0,24.0,5523.0,4809.0,10348.0,2312.0,2216.0,4503.0,38164.0,38679.0,76831.0,76831.0
Hastings,137.0,262.0,406.0,3148.0,4157.0,7340.0,0.0,0.0,4.0,311.0,374.0,717.0,0.0,0.0,0.0,5196.0,6073.0,11246.0,19.0,18.0,59.0,280.0,260.0,588.0,13.0,33.0,96.0,71.0,86.0,154.0,17.0,46.0,78.0,6.0,6.0,6.0,31.0,40.0,97.0,231.0,268.0,545.0,539.0,697.0,1273.0,16.0,13.0,41.0,7.0,15.0,27.0,579.0,876.0,1524.0,639.0,758.0,1461.0,12.0,3.0,25.0,11473.0,13998.0,25473.0,32.0,25.0,65.0,36.0,47.0,119.0,17.0,10.0,47.0,0.0,0.0,0.0,6.0,10.0,12.0,41.0,73.0,159.0,47.0,93.0,175.0,18431.0,17179.0,35610.0,68.0,40.0,161.0,20.0,69.0,130.0,18580.0,17344.0,35990.0,2150.0,1934.0,4119.0,32613.0,33936.0,66565.0,66565.0
Hawthorn,724.0,1072.0,1822.0,2694.0,3316.0,6049.0,0.0,0.0,0.0,385.0,476.0,905.0,0.0,0.0,0.0,6206.0,7201.0,13382.0,12.0,15.0,35.0,1002.0,1227.0,2300.0,21.0,26.0,55.0,3.0,9.0,16.0,81.0,117.0,217.0,28.0,33.0,102.0,60.0,41.0,145.0,79.0,152.0,317.0,497.0,541.0,1038.0,9.0,12.0,49.0,3.0,10.0,20.0,809.0,1120.0,1969.0,433.0,682.0,1206.0,12.0,7.0,32.0,12604.0,15357.0,27984.0,955.0,928.0,1882.0,418.0,368.0,785.0,338.0,332.0,700.0,0.0,0.0,0.0,51.0,32.0,110.0,59.0,73.0,159.0,126.0,127.0,308.0,16233.0,16673.0,32874.0,84.0,96.0,257.0,9.0,54.0,108.0,16485.0,16894.0,33375.0,1787.0,1803.0,3636.0,33629.0,37020.0,70669.0,70669.0
Ivanhoe,575.0,841.0,1415.0,1768.0,2285.0,4068.0,5.0,0.0,11.0,253.0,346.0,620.0,3.0,6.0,12.0,7268.0,8474.0,15734.0,9.0,6.0,37.0,1561.0,1662.0,3162.0,9.0,18.0,47.0,8.0,12.0,24.0,44.0,62.0,144.0,64.0,56.0,171.0,34.0,57.0,124.0,109.0,125.0,285.0,312.0,330.0,723.0,4.0,30.0,60.0,4.0,10.0,25.0,584.0,836.0,1430.0,600.0,724.0,1301.0,5.0,3.0,16.0,12933.0,15416.0,28352.0,750.0,716.0,1481.0,1124.0,1106.0,2260.0,27.0,27.0,95.0,0.0,0.0,0.0,76.0,61.0,166.0,82.0,132.0,235.0,159.0,236.0,456.0,14401.0,13877.0,28210.0,78.0,58.0,189.0,11.0,41.0,68.0,14587.0,14043.0,28580.0,1779.0,1672.0,3479.0,32066.0,34111.0,66215.0,66215.0
Kalkallo,1242.0,1365.0,2617.0,1182.0,1568.0,2779.0,491.0,502.0,962.0,222.0,212.0,526.0,0.0,0.0,5.0,11426.0,12100.0,23478.0,21.0,33.0,64.0,1149.0,1172.0,2357.0,98.0,76.0,192.0,194.0,216.0,488.0,10.0,35.0,52.0,351.0,339.0,708.0,114.0,191.0,341.0,392.0,415.0,822.0,187.0,262.0,566.0,15.0,13.0,37.0,75.0,66.0,163.0,319.0,456.0,846.0,1448.0,1630.0,3077.0,0.0,3.0,13.0,18197.0,19617.0,37769.0,4242.0,3877.0,8041.0,6110.0,5952.0,12117.0,0.0,10.0,12.0,0.0,0.0,0.0,5563.0,4836.0,10479.0,108.0,140.0,277.0,5695.0,5030.0,10876.0,9483.0,8467.0,17961.0,38.0,33.0,87.0,17.0,18.0,46.0,9608.0,8600.0,18166.0,2959.0,2868.0,5908.0,48079.0,47497.0,95542.0,95542.0
Kew,1311.0,1820.0,3131.0,2366.0,2910.0,5291.0,0.0,0.0,0.0,519.0,643.0,1263.0,0.0,0.0,0.0,7091.0,8053.0,15140.0,8.0,34.0,56.0,2006.0,2149.0,4229.0,6.0,0.0,10.0,3.0,8.0,23.0,50.0,55.0,148.0,58.0,63.0,159.0,82.0,111.0,234.0,225.0,215.0,471.0,313.0,416.0,808.0,15.0,12.0,32.0,9.0,8.0,44.0,706.0,1147.0,1871.0,615.0,855.0,1550.0,0.0,0.0,0.0,14489.0,17019.0,31564.0,1029.0,910.0,1946.0,406.0,443.0,865.0,156.0,204.0,443.0,0.0,0.0,0.0,68.0,81.0,212.0,115.0,111.0,285.0,219.0,229.0,515.0,15888.0,15733.0,31707.0,73.0,51.0,162.0,6.0,48.0,72.0,16055.0,15950.0,32011.0,1678.0,1752.0,3490.0,35554.0,38501.0,73900.0,73900.0
Kororoit,3105.0,3748.0,6845.0,825.0,976.0,1845.0,6.0,4.0,9.0,808.0,738.0,1611.0,0.0,0.0,0.0,11700.0,12333.0,24072.0,43.0,29.0,65.0,1994.0,2066.0,3995.0,130.0,144.0,296.0,128.0,125.0,287.0,12.0,32.0,59.0,585.0,674.0,1307.0,256.0,222.0,505.0,626.0,708.0,1376.0,154.0,200.0,406.0,8.0,10.0,22.0,66.0,99.0,197.0,189.0,277.0,537.0,1935.0,2039.0,4061.0,5.0,0.0,5.0,19842.0,21014.0,40951.0,2516.0,2288.0,4806.0,3627.0,3387.0,6987.0,9.0,0.0,6.0,0.0,0.0,0.0,1921.0,1663.0,3611.0,53.0,76.0,147.0,2026.0,1773.0,3853.0,8303.0,7485.0,15811.0,11.0,35.0,53.0,8.0,30.0,49.0,8406.0,7554.0,15976.0,4795.0,3039.0,7834.0,44336.0,42939.0,87228.0,87228.0
Lara,330.0,441.0,823.0,1975.0,2528.0,4538.0,0.0,0.0,0.0,660.0,781.0,1496.0,27.0,25.0,60.0,7618.0,8842.0,16483.0,24.0,13.0,70.0,912.0,947.0,1916.0,65.0,104.0,179.0,58.0,38.0,92.0,111.0,200.0,371.0,8.0,7.0,8.0,27.0,63.0,139.0,163.0,195.0,399.0,643.0,731.0,1338.0,10.0,31.0,70.0,28.0,50.0,103.0,648.0,918.0,1588.0,954.0,1081.0,2029.0,20.0,17.0,36.0,14277.0,16988.0,31250.0,508.0,353.0,947.0,1305.0,963.0,2215.0,0.0,22.0,31.0,0.0,3.0,3.0,442.0,389.0,817.0,57.0,63.0,169.0,562.0,524.0,1083.0,14065.0,13334.0,27416.0,55.0,52.0,135.0,13.0,20.0,44.0,14203.0,13520.0,27739.0,3730.0,2498.0,6261.0,35036.0,35457.0,70442.0,70442.0
Laverton,3058.0,3683.0,6668.0,867.0,974.0,1847.0,5.0,0.0,0.0,763.0,666.0,1429.0,5.0,0.0,4.0,7875.0,8540.0,16426.0,24.0,33.0,59.0,1405.0,1507.0,2947.0,89.0,118.0,253.0,70.0,102.0,212.0,22.0,50.0,85.0,291.0,310.0,597.0,266.0,317.0,659.0,389.0,455.0,837.0,220.0,246.0,573.0,7.0,9.0,42.0,26.0,24.0,84.0,252.0,327.0,670.0,1624.0,1715.0,3293.0,11.0,0.0,21.0,14681.0,15726.0,30327.0,6614.0,5234.0,11846.0,6382.0,5579.0,11973.0,23.0,17.0,44.0,0.0,0.0,0.0,2990.0,2273.0,5266.0,84.0,111.0,261.0,3105.0,2419.0,5539.0,10146.0,9078.0,19204.0,61.0,35.0,121.0,22.0,24.0,83.0,10311.0,9181.0,19545.0,4825.0,3332.0,8163.0,48986.0,45179.0,94165.0,94165.0
Lowan,133.0,143.0,322.0,2949.0,3505.0,6502.0,0.0,0.0,0.0,224.0,269.0,569.0,95.0,72.0,154.0,4670.0,5321.0,9977.0,154.0,203.0,359.0,57.0,42.0,109.0,29.0,55.0,109.0,9.0,11.0,37.0,1749.0,1883.0,3689.0,4.0,11.0,15.0,29.0,29.0,76.0,226.0,304.0,597.0,741.0,821.0,1669.0,34.0,78.0,145.0,19.0,24.0,76.0,3298.0,4002.0,7288.0,591.0,656.0,1266.0,16.0,23.0,60.0,15295.0,17769.0,33039.0,179.0,137.0,334.0,96.0,74.0,197.0,4.0,3.0,16.0,0.0,0.0,0.0,30.0,41.0,101.0,34.0,46.0,105.0,66.0,96.0,225.0,14868.0,13201.0,28011.0,41.0,14.0,70.0,10.0,17.0,51.0,14954.0,13256.0,28250.0,3034.0,2778.0,5893.0,33926.0,34450.0,68431.0,68431.0
Macedon,150.0,252.0,451.0,2763.0,3356.0,6079.0,0.0,0.0,0.0,162.0,229.0,439.0,70.0,64.0,140.0,6547.0,6890.0,13485.0,22.0,44.0,94.0,205.0,219.0,506.0,21.0,39.0,74.0,15.0,22.0,22.0,64.0,79.0,176.0,13.0,4.0,17.0,39.0,29.0,76.0,117.0,148.0,281.0,434.0,516.0,960.0,10.0,20.0,25.0,11.0,6.0,52.0,879.0,1259.0,2148.0,483.0,510.0,1016.0,1.0,4.0,24.0,12133.0,13704.0,25856.0,56.0,60.0,137.0,72.0,77.0,185.0,19.0,12.0,40.0,0.0,3.0,3.0,30.0,47.0,77.0,45.0,69.0,151.0,73.0,131.0,235.0,16361.0,15714.0,32116.0,97.0,76.0,237.0,25.0,63.0,118.0,16536.0,15974.0,32545.0,2440.0,2377.0,4803.0,31712.0,32670.0,64319.0,64319.0
Malvern,472.0,747.0,1313.0,3170.0,4069.0,7225.0,0.0,0.0,0.0,126.0,153.0,336.0,0.0,0.0,0.0,5539.0,6749.0,12300.0,7.0,14.0,32.0,1614.0,1775.0,3380.0,18.0,17.0,55.0,8.0,3.0,20.0,40.0,70.0,156.0,28.0,24.0,97.0,64.0,30.0,105.0,85.0,75.0,210.0,393.0,404.0,784.0,3.0,1.0,16.0,4.0,4.0,10.0,621.0,862.0,1515.0,307.0,467.0,815.0,0.0,0.0,3.0,12268.0,15097.0,27389.0,923.0,788.0,1723.0,243.0,218.0,520.0,1629.0,1833.0,3494.0,0.0,0.0,0.0,48.0,45.0,135.0,49.0,61.0,178.0,114.0,140.0,308.0,12460.0,12715.0,25215.0,88.0,73.0,203.0,9.0,38.0,69.0,12649.0,12960.0,25594.0,1777.0,1860.0,3753.0,30353.0,33830.0,64134.0,64134.0
Melbourne,3301.0,4661.0,7969.0,1457.0,1527.0,3102.0,0.0,0.0,0.0,324.0,392.0,876.0,0.0,0.0,3.0,7007.0,7640.0,14568.0,5.0,4.0,37.0,567.0,686.0,1264.0,4.0,10.0,38.0,9.0,18.0,40.0,45.0,64.0,125.0,73.0,93.0,192.0,178.0,184.0,492.0,217.0,303.0,560.0,357.0,400.0,884.0,3.0,6.0,16.0,4.0,17.0,56.0,395.0,494.0,995.0,1056.0,1501.0,2510.0,4.0,10.0,23.0,12403.0,13944.0,26300.0,3947.0,3092.0,7055.0,2529.0,2320.0,4923.0,103.0,94.0,272.0,0.0,0.0,0.0,160.0,119.0,312.0,170.0,215.0,450.0,352.0,359.0,824.0,29424.0,28873.0,58313.0,355.0,249.0,685.0,27.0,94.0,178.0,29952.0,29311.0,59313.0,5983.0,5576.0,11555.0,58805.0,59640.0,118383.0,118383.0
Melton,495.0,703.0,1205.0,2071.0,2559.0,4623.0,6.0,10.0,18.0,616.0,686.0,1314.0,88.0,64.0,171.0,9171.0,10146.0,19335.0,15.0,12.0,19.0,793.0,762.0,1569.0,111.0,151.0,326.0,265.0,225.0,523.0,63.0,116.0,207.0,208.0,221.0,483.0,191.0,216.0,486.0,470.0,582.0,1006.0,308.0,388.0,850.0,23.0,23.0,58.0,36.0,139.0,240.0,610.0,771.0,1429.0,1602.0,1750.0,3465.0,9.0,19.0,46.0,17118.0,19365.0,36372.0,1617.0,1469.0,3160.0,2144.0,2183.0,4321.0,7.0,16.0,11.0,0.0,0.0,0.0,2319.0,2090.0,4499.0,43.0,106.0,212.0,2460.0,2233.0,4765.0,13259.0,12429.0,25710.0,55.0,19.0,119.0,22.0,31.0,86.0,13412.0,12618.0,25971.0,3429.0,3303.0,6871.0,40759.0,42011.0,82823.0,82823.0
Mildura,840.0,764.0,1671.0,2633.0,3254.0,5871.0,0.0,0.0,0.0,202.0,203.0,461.0,0.0,0.0,5.0,6732.0,7274.0,13987.0,72.0,117.0,219.0,271.0,255.0,559.0,35.0,93.0,164.0,53.0,52.0,113.0,278.0,317.0,654.0,12.0,12.0,32.0,120.0,119.0,306.0,311.0,337.0,730.0,493.0,581.0,1183.0,24.0,54.0,102.0,181.0,188.0,414.0,1729.0,2183.0,3875.0,776.0,770.0,1533.0,27.0,33.0,76.0,14346.0,16396.0,30678.0,204.0,142.0,410.0,733.0,604.0,1347.0,3.0,8.0,13.0,0.0,7.0,15.0,215.0,176.0,400.0,16.0,57.0,113.0,244.0,238.0,545.0,14547.0,13457.0,27979.0,47.0,23.0,78.0,12.0,25.0,51.0,14627.0,13562.0,28192.0,3477.0,3188.0,6715.0,34720.0,35051.0,69748.0,69748.0
Mill Park,776.0,908.0,1724.0,974.0,1419.0,2315.0,3.0,8.0,20.0,210.0,236.0,532.0,0.0,3.0,6.0,9481.0,10218.0,19701.0,3.0,0.0,6.0,3579.0,3763.0,7238.0,39.0,60.0,138.0,26.0,68.0,103.0,9.0,15.0,41.0,266.0,171.0,463.0,66.0,116.0,258.0,294.0,342.0,653.0,218.0,288.0,575.0,9.0,21.0,50.0,13.0,23.0,46.0,222.0,358.0,638.0,1443.0,1540.0,3062.0,0.0,13.0,11.0,17172.0,18930.0,36141.0,1834.0,1707.0,3568.0,2823.0,2678.0,5491.0,0.0,3.0,7.0,3.0,0.0,3.0,843.0,739.0,1620.0,84.0,80.0,222.0,963.0,867.0,1875.0,8099.0,7305.0,15481.0,14.0,23.0,59.0,8.0,37.0,54.0,8187.0,7459.0,15674.0,2080.0,2114.0,4276.0,33995.0,34760.0,68727.0,68727.0
Monbulk,264.0,431.0,771.0,2179.0,2836.0,5013.0,0.0,0.0,0.0,380.0,452.0,864.0,7.0,4.0,17.0,4289.0,4807.0,9035.0,51.0,53.0,147.0,297.0,239.0,595.0,67.0,34.0,136.0,45.0,29.0,89.0,60.0,44.0,150.0,0.0,9.0,14.0,59.0,76.0,179.0,144.0,238.0,461.0,363.0,424.0,831.0,12.0,29.0,42.0,60.0,57.0,161.0,581.0,790.0,1400.0,932.0,1062.0,2012.0,36.0,57.0,148.0,9959.0,11637.0,21579.0,89.0,72.0,194.0,83.0,64.0,155.0,43.0,64.0,145.0,0.0,3.0,4.0,18.0,20.0,38.0,50.0,217.0,336.0,77.0,250.0,397.0,19873.0,18069.0,37891.0,118.0,88.0,258.0,37.0,142.0,207.0,20087.0,18365.0,38405.0,2151.0,1846.0,4028.0,33043.0,32920.0,65940.0,65940.0
Mordialloc,1568.0,2017.0,3545.0,2104.0,2760.0,4839.0,0.0,0.0,0.0,217.0,253.0,521.0,0.0,0.0,0.0,8213.0,9328.0,17569.0,27.0,21.0,67.0,1429.0,1490.0,2915.0,64.0,58.0,186.0,23.0,20.0,60.0,38.0,35.0,121.0,33.0,72.0,96.0,32.0,64.0,139.0,246.0,274.0,536.0,387.0,477.0,902.0,4.0,19.0,36.0,13.0,16.0,40.0,509.0,745.0,1249.0,623.0,807.0,1452.0,10.0,6.0,29.0,14395.0,16843.0,31188.0,881.0,855.0,1795.0,851.0,807.0,1682.0,116.0,158.0,286.0,0.0,0.0,0.0,150.0,140.0,338.0,75.0,89.0,185.0,238.0,262.0,541.0,14921.0,14503.0,29510.0,61.0,28.0,108.0,18.0,43.0,105.0,15070.0,14672.0,29782.0,1691.0,1702.0,3376.0,34958.0,37371.0,72354.0,72354.0
Mornington,103.0,184.0,327.0,3869.0,5044.0,8846.0,0.0,0.0,0.0,350.0,514.0,914.0,0.0,0.0,0.0,5955.0,7048.0,13070.0,28.0,36.0,96.0,395.0,434.0,925.0,19.0,33.0,93.0,48.0,54.0,119.0,47.0,55.0,146.0,14.0,5.0,32.0,28.0,62.0,144.0,100.0,112.0,215.0,491.0,634.0,1211.0,3.0,11.0,31.0,3.0,0.0,14.0,847.0,1282.0,2101.0,446.0,569.0,1081.0,3.0,5.0,11.0,12956.0,16244.0,29277.0,58.0,47.0,151.0,17.0,29.0,69.0,48.0,52.0,128.0,0.0,0.0,0.0,28.0,14.0,43.0,18.0,41.0,87.0,54.0,61.0,143.0,15797.0,15301.0,31081.0,38.0,58.0,160.0,15.0,67.0,115.0,15913.0,15562.0,31411.0,1747.0,1918.0,3672.0,31120.0,34305.0,65404.0,65404.0
Morwell,152.0,220.0,488.0,3168.0,4111.0,7259.0,0.0,0.0,0.0,207.0,355.0,599.0,45.0,73.0,115.0,6508.0,7470.0,13888.0,8.0,8.0,16.0,298.0,327.0,696.0,119.0,154.0,369.0,59.0,59.0,133.0,37.0,93.0,161.0,10.0,3.0,10.0,32.0,66.0,117.0,247.0,345.0,613.0,708.0,876.0,1576.0,23.0,62.0,128.0,17.0,33.0,91.0,693.0,998.0,1734.0,646.0,770.0,1378.0,5.0,16.0,25.0,13242.0,16014.0,29317.0,131.0,124.0,274.0,259.0,232.0,554.0,10.0,5.0,16.0,7.0,0.0,7.0,63.0,43.0,136.0,58.0,119.0,221.0,139.0,191.0,366.0,17546.0,16411.0,33882.0,73.0,35.0,119.0,11.0,28.0,56.0,17708.0,16552.0,34230.0,3312.0,3178.0,6516.0,35099.0,36796.0,71940.0,71940.0
Mulgrave,4539.0,5316.0,9884.0,1125.0,1534.0,2699.0,6.0,21.0,36.0,410.0,455.0,951.0,0.0,0.0,4.0,7712.0,8321.0,16092.0,66.0,67.0,176.0,2455.0,2623.0,5160.0,39.0,64.0,157.0,26.0,47.0,95.0,21.0,18.0,82.0,240.0,248.0,517.0,112.0,145.0,303.0,297.0,313.0,711.0,354.0,359.0,753.0,7.0,17.0,41.0,74.0,75.0,171.0,455.0,684.0,1180.0,902.0,1067.0,1972.0,15.0,17.0,42.0,14818.0,16560.0,31387.0,2024.0,1643.0,3588.0,3044.0,2553.0,5609.0,20.0,51.0,82.0,0.0,0.0,0.0,1010.0,802.0,1853.0,151.0,160.0,336.0,1206.0,968.0,2293.0,10336.0,8916.0,19177.0,37.0,17.0,81.0,10.0,15.0,44.0,10462.0,8975.0,19345.0,2437.0,2270.0,4714.0,38615.0,38333.0,77013.0,77013.0
Murray Plains,156.0,208.0,437.0,3391.0,4011.0,7480.0,0.0,0.0,0.0,361.0,385.0,808.0,149.0,127.0,269.0,6208.0,7030.0,13246.0,80.0,91.0,167.0,41.0,33.0,106.0,12.0,26.0,76.0,13.0,13.0,51.0,38.0,62.0,121.0,7.0,0.0,17.0,32.0,46.0,108.0,237.0,223.0,517.0,866.0,954.0,1824.0,15.0,65.0,110.0,7.0,7.0,42.0,1995.0,2571.0,4572.0,578.0,611.0,1220.0,5.0,3.0,14.0,14409.0,16656.0,31080.0,121.0,98.0,240.0,282.0,212.0,535.0,5.0,5.0,4.0,5.0,0.0,5.0,122.0,123.0,242.0,12.0,45.0,65.0,141.0,171.0,329.0,13738.0,12683.0,26389.0,13.0,15.0,54.0,7.0,23.0,36.0,13816.0,12748.0,26555.0,2870.0,2700.0,5609.0,32003.0,32900.0,64888.0,64888.0
Narracan,166.0,264.0,470.0,3296.0,4045.0,7338.0,0.0,0.0,0.0,402.0,406.0,859.0,53.0,48.0,140.0,5742.0,6301.0,12021.0,27.0,41.0,94.0,96.0,117.0,264.0,106.0,106.0,251.0,72.0,31.0,130.0,35.0,34.0,115.0,6.0,7.0,18.0,231.0,248.0,505.0,190.0,240.0,459.0,824.0,1007.0,1802.0,17.0,43.0,90.0,61.0,57.0,136.0,1013.0,1328.0,2356.0,794.0,986.0,1794.0,3.0,23.0,31.0,13322.0,15484.0,28786.0,81.0,85.0,210.0,86.0,86.0,201.0,3.0,3.0,25.0,0.0,3.0,0.0,69.0,58.0,142.0,27.0,64.0,158.0,106.0,147.0,304.0,16577.0,15853.0,32404.0,70.0,69.0,149.0,8.0,40.0,60.0,16697.0,15983.0,32719.0,2653.0,2609.0,5280.0,33248.0,34889.0,68111.0,68111.0
Narre Warren North,1658.0,1943.0,3725.0,1648.0,2067.0,3699.0,3.0,6.0,13.0,609.0,717.0,1364.0,13.0,8.0,20.0,8324.0,8988.0,17328.0,15.0,38.0,72.0,1710.0,1764.0,3426.0,60.0,135.0,254.0,145.0,100.0,248.0,33.0,41.0,129.0,285.0,331.0,653.0,128.0,111.0,282.0,654.0,758.0,1389.0,398.0,503.0,947.0,13.0,34.0,74.0,77.0,82.0,214.0,465.0,647.0,1255.0,1417.0,1496.0,2895.0,17.0,8.0,59.0,16484.0,18216.0,34641.0,1314.0,1239.0,2571.0,5068.0,4757.0,9793.0,21.0,13.0,43.0,0.0,0.0,4.0,551.0,459.0,1066.0,157.0,174.0,358.0,752.0,716.0,1472.0,11106.0,10140.0,21203.0,52.0,26.0,101.0,8.0,24.0,59.0,11263.0,10209.0,21465.0,2625.0,2482.0,5025.0,39289.0,39551.0,78850.0,78850.0
Narre Warren South,2659.0,2899.0,5564.0,1652.0,2004.0,3703.0,7.0,0.0,17.0,487.0,508.0,1073.0,0.0,0.0,7.0,8863.0,9393.0,18182.0,27.0,35.0,85.0,946.0,1043.0,1988.0,38.0,77.0,151.0,222.0,268.0,502.0,20.0,35.0,102.0,220.0,249.0,462.0,220.0,238.0,548.0,770.0,766.0,1550.0,478.0,534.0,1008.0,14.0,25.0,33.0,176.0,194.0,419.0,395.0,544.0,1020.0,1563.0,1702.0,3346.0,23.0,29.0,70.0,16445.0,18054.0,34563.0,2704.0,2563.0,5276.0,7326.0,6811.0,14090.0,22.0,18.0,43.0,0.0,3.0,8.0,1606.0,1379.0,3028.0,123.0,122.0,332.0,1812.0,1568.0,3350.0,11529.0,10469.0,21943.0,19.0,38.0,96.0,17.0,46.0,74.0,11636.0,10573.0,22173.0,2763.0,2483.0,5181.0,45344.0,44966.0,90266.0,90266.0
Nepean,129.0,236.0,451.0,3292.0,4244.0,7576.0,0.0,0.0,0.0,249.0,306.0,615.0,0.0,0.0,0.0,5383.0,5958.0,11310.0,30.0,48.0,102.0,676.0,667.0,1431.0,143.0,180.0,367.0,22.0,40.0,67.0,32.0,37.0,113.0,7.0,11.0,25.0,22.0,43.0,94.0,37.0,37.0,125.0,582.0,642.0,1216.0,22.0,40.0,81.0,0.0,4.0,14.0,728.0,1089.0,1909.0,377.0,492.0,924.0,0.0,3.0,22.0,12045.0,14245.0,26331.0,41.0,27.0,96.0,29.0,38.0,113.0,56.0,42.0,95.0,0.0,0.0,0.0,7.0,17.0,34.0,19.0,60.0,97.0,31.0,69.0,136.0,14759.0,14025.0,28797.0,57.0,58.0,139.0,7.0,57.0,104.0,14898.0,14234.0,29112.0,2823.0,2845.0,5683.0,30206.0,31907.0,62145.0,62145.0
Niddrie,740.0,1041.0,1768.0,1441.0,1852.0,3291.0,19.0,17.0,41.0,185.0,247.0,470.0,0.0,0.0,4.0,14417.0,15801.0,30269.0,12.0,17.0,36.0,2542.0,2681.0,5202.0,30.0,45.0,114.0,3.0,14.0,24.0,27.0,37.0,87.0,158.0,191.0,365.0,46.0,24.0,103.0,168.0,213.0,458.0,246.0,336.0,612.0,4.0,7.0,25.0,0.0,10.0,32.0,489.0,684.0,1222.0,625.0,744.0,1389.0,11.0,13.0,35.0,20693.0,23324.0,44076.0,540.0,513.0,1079.0,899.0,860.0,1851.0,3.0,0.0,14.0,0.0,0.0,0.0,106.0,107.0,226.0,36.0,55.0,121.0,165.0,190.0,374.0,8800.0,7844.0,16711.0,55.0,14.0,94.0,0.0,16.0,27.0,8895.0,7932.0,16855.0,1557.0,1565.0,3050.0,33632.0,35439.0,69042.0,69042.0
