district,Buddhism_M_n,Buddhism_F_n,Buddhism_P_n,Christianity_Anglican_M_n,Christianity_Anglican_F_n,Christianity_Anglican_P_n,Christianity_Asyrin_Apstlic_M_n,Christianity_Asyrin_Apstlic_F_n,Christianity_Asyrin_Apstlic_P_n,Christianity_Baptist_M_n,Christianity_Baptist_F_n,Christianity_Baptist_P_n,Christianity_Brethren_M_n,Christianity_Brethren_F_n,Christianity_Brethren_P_n,Christianity_Catholic_M_n,Christianity_Catholic_F_n,Christianity_Catholic_P_n,Christianity_Church_Christ_M_n,Christianity_Church_Christ_F_n,Christianity_Church_Christ_P_n,Christianity_Eastrn_Orthdox_M_n,Christianity_Eastrn_Orthdox_F_n,Christianity_Eastrn_Orthdox_P_n,Christinty_Jehvahs_Witnses_M_n,Christinty_Jehvahs_Witnses_F_n,Christinty_Jehvahs_Witnses_P_n,Christianity_Lattr_day_Snts_M_n,Christianity_Lattr_day_Snts_F_n,Christianity_Lattr_day_Snts_P_n,Christianity_Lutheran_M_n,Christianity_Lutheran_F_n,Christianity_Lutheran_P_n,Christianity_Orintal_Orthdx_M_n,Christianity_Orintal_Orthdx_F_n,Christianity_Orintal_Orthdx_P_n,Christianity_Othr_Protestnt_M_n,Christianity_Othr_Protestnt_F_n,Christianity_Othr_Protestnt_P_n,Christianity_Pentecostal_M_n,Christianity_Pentecostal_F_n,Christianity_Pentecostal_P_n,Christinty_Prsbytrin_Refrmd_M_n,Christinty_Prsbytrin_Refrmd_F_n,Christinty_Prsbytrin_Refrmd_P_n,Christianity_Salvation_Army_M_n,Christianity_Salvation_Army_F_n,Christianity_Salvation_Army_P_n,Christnty_Sevnth_dy_Advntst_M_n,Christnty_Sevnth_dy_Advntst_F_n,Christnty_Sevnth_dy_Advntst_P_n,Christianity_Uniting_Church_M_n,Christianity_Uniting_Church_F_n,Christianity_Uniting_Church_P_n,Christianity_Christian_nfd_M_n,Christianity_Christian_nfd_F_n,Christianity_Christian_nfd_P_n,Christianity_Othr_Christian_M_n,Christianity_Othr_Christian_F_n,Christianity_Othr_Christian_P_n,Christianity_Tot_M_n,Christianity_Tot_F_n,Christianity_Tot_P_n,Hinduism_M_n,Hinduism_F_n,Hinduism_P_n,Islam_M_n,Islam_F_n,Islam_P_n,Judaism_M_n,Judaism_F_n,Judaism_P_n,Othr_Rel_Aust_Abor_Trad_Rel_M_n,Othr_Rel_Aust_Abor_Trad_Rel_F_n,Othr_Rel_Aust_Abor_Trad_Rel_P_n,Othr_Rel_Sikhism_M_n,Othr_Rel_Sikhism_F_n,Othr_Rel_Sikhism_P_n,Othr_Reln_Other_reln_groups_M_n,Othr_Reln_Other_reln_groups_F_n,Othr_Reln_Other_reln_groups_P_n,Other_Religions_Tot_M_n,Other_Religions_Tot_F_n,Other_Religions_Tot_P_n,SB_OSB_NRA_NR_M_n,SB_OSB_NRA_NR_F_n,SB_OSB_NRA_NR_P_n,SB_OSB_NRA_SB_M_n,SB_OSB_NRA_SB_F_n,SB_OSB_NRA_SB_P_n,SB_OSB_NRA_OSB_M_n,SB_OSB_NRA_OSB_F_n,SB_OSB_NRA_OSB_P_n,SB_OSB_NRA_Tot_M_n,SB_OSB_NRA_Tot_F_n,SB_OSB_NRA_Tot_P_n,Religious_affiliation_ns_M_n,Religious_affiliation_ns_F_n,Religious_affiliation_ns_P_n,Tot_M_n,Tot_F_n,Tot_P_n,Tot_P_total
Essendon,713.0,983.0,1703.0,1414.0,1817.0,3271.0,0.0,0.0,8.0,191.0,230.0,486.0,0.0,0.0,0.0,10086.0,11306.0,21436.0,0.0,14.0,35.0,1441.0,1633.0,3127.0,27.0,46.0,105.0,11.0,6.0,22.0,33.0,51.0,111.0,105.0,173.0,292.0,23.0,40.0,87.0,115.0,145.0,281.0,272.0,291.0,602.0,0.0,9.0,14.0,10.0,0.0,14.0,444.0,683.0,1174.0,582.0,708.0,1240.0,0.0,0.0,0.0,15093.0,17566.0,32646.0,1083.0,874.0,1955.0,1476.0,1509.0,2987.0,19.0,29.0,52.0,4.0,0.0,5.0,50.0,39.0,123.0,53.0,68.0,169.0,114.0,134.0,307.0,13295.0,12814.0,26108.0,87.0,58.0,193.0,18.0,31.0,72.0,13471.0,12946.0,26454.0,2033.0,1930.0,3903.0,34093.0,36048.0,70183.0,70183.0
Eureka,202.0,197.0,470.0,2740.0,3406.0,6154.0,0.0,0.0,0.0,267.0,336.0,594.0,33.0,40.0,73.0,7636.0,8489.0,16249.0,106.0,163.0,292.0,251.0,236.0,548.0,34.0,91.0,178.0,31.0,28.0,75.0,91.0,127.0,252.0,3.0,0.0,3.0,47.0,66.0,158.0,176.0,236.0,474.0,487.0,720.0,1292.0,24.0,38.0,114.0,23.0,64.0,127.0,1139.0,1622.0,2820.0,634.0,714.0,1431.0,3.0,9.0,13.0,14294.0,16813.0,31066.0,344.0,243.0,637.0,196.0,174.0,408.0,4.0,5.0,14.0,3.0,0.0,3.0,329.0,302.0,674.0,65.0,158.0,207.0,410.0,507.0,908.0,18276.0,17307.0,35585.0,82.0,61.0,222.0,31.0,73.0,118.0,18460.0,17550.0,36029.0,2592.0,2421.0,5066.0,36670.0,37903.0,74592.0,74592.0
Euroa,161.0,225.0,458.0,3528.0,4128.0,7615.0,0.0,0.0,3.0,194.0,237.0,485.0,0.0,0.0,0.0,6967.0,7378.0,14362.0,3.0,14.0,29.0,200.0,174.0,399.0,26.0,40.0,87.0,15.0,33.0,76.0,83.0,63.0,168.0,0.0,8.0,7.0,53.0,65.0,154.0,144.0,123.0,327.0,837.0,897.0,1797.0,51.0,71.0,144.0,15.0,31.0,67.0,1232.0,1571.0,2891.0,470.0,533.0,1050.0,8.0,6.0,14.0,14256.0,15754.0,29932.0,116.0,98.0,225.0,113.0,121.0,255.0,0.0,3.0,3.0,6.0,0.0,11.0,56.0,66.0,137.0,48.0,87.0,210.0,118.0,160.0,378.0,14785.0,13430.0,28242.0,62.0,55.0,143.0,24.0,50.0,87.0,14984.0,13592.0,28579.0,3602.0,3121.0,6757.0,33410.0,33161.0,66608.0,66608.0
Evelyn,268.0,317.0,621.0,2389.0,3106.0,5486.0,0.0,0.0,0.0,863.0,973.0,1907.0,78.0,91.0,187.0,5650.0,6432.0,12193.0,209.0,234.0,503.0,225.0,224.0,549.0,62.0,60.0,181.0,59.0,61.0,156.0,67.0,143.0,237.0,10.0,26.0,45.0,112.0,118.0,285.0,383.0,416.0,830.0,445.0,541.0,1079.0,37.0,41.0,108.0,195.0,208.0,434.0,712.0,1026.0,1757.0,1275.0,1479.0,2814.0,73.0,45.0,159.0,13353.0,15749.0,29099.0,206.0,203.0,431.0,101.0,70.0,214.0,6.0,21.0,44.0,0.0,0.0,0.0,74.0,56.0,162.0,60.0,82.0,209.0,138.0,173.0,379.0,18035.0,16588.0,34580.0,62.0,47.0,129.0,15.0,49.0,93.0,18208.0,16705.0,34905.0,1725.0,1568.0,3240.0,34136.0,34930.0,69146.0,69146.0
Footscray,2326.0,2876.0,5121.0,984.0,1181.0,2162.0,0.0,0.0,0.0,200.0,233.0,466.0,0.0,0.0,0.0,6458.0,7095.0,13544.0,32.0,21.0,51.0,1418.0,1592.0,3014.0,8.0,17.0,53.0,10.0,20.0,47.0,22.0,33.0,71.0,105.0,102.0,235.0,92.0,82.0,223.0,105.0,169.0,341.0,176.0,168.0,356.0,0.0,7.0,10.0,6.0,17.0,45.0,253.0,343.0,613.0,747.0,822.0,1610.0,6.0,4.0,14.0,10946.0,12317.0,23232.0,1279.0,761.0,2081.0,1464.0,999.0,2501.0,26.0,21.0,54.0,0.0,0.0,0.0,46.0,64.0,133.0,57.0,78.0,231.0,164.0,157.0,388.0,17253.0,16498.0,33689.0,197.0,88.0,341.0,27.0,47.0,120.0,17559.0,16805.0,34225.0,2654.0,2173.0,4788.0,36338.0,36202.0,72600.0,72600.0
Frankston,249.0,442.0,736.0,2680.0,3337.0,6027.0,0.0,0.0,0.0,283.0,291.0,605.0,0.0,0.0,0.0,5080.0,6082.0,11213.0,22.0,22.0,68.0,659.0,679.0,1419.0,89.0,71.0,202.0,72.0,82.0,199.0,53.0,39.0,141.0,41.0,52.0,85.0,59.0,75.0,162.0,158.0,254.0,487.0,487.0,654.0,1157.0,7.0,22.0,43.0,17.0,20.0,62.0,514.0,836.0,1398.0,804.0,979.0,1765.0,7.0,10.0,33.0,11449.0,13920.0,25375.0,186.0,167.0,385.0,192.0,174.0,416.0,59.0,40.0,152.0,0.0,0.0,0.0,27.0,23.0,73.0,108.0,110.0,272.0,132.0,156.0,348.0,17584.0,16881.0,34517.0,119.0,66.0,266.0,46.0,106.0,222.0,17831.0,17188.0,35052.0,2962.0,2792.0,5800.0,33224.0,35133.0,68359.0,68359.0
Geelong,232.0,399.0,683.0,2411.0,3153.0,5591.0,0.0,0.0,0.0,379.0,421.0,912.0,0.0,0.0,5.0,7807.0,8819.0,16587.0,14.0,36.0,55.0,367.0,444.0,925.0,36.0,67.0,147.0,15.0,23.0,35.0,187.0,194.0,406.0,11.0,7.0,23.0,37.0,51.0,112.0,135.0,199.0,361.0,644.0,859.0,1552.0,18.0,35.0,68.0,11.0,13.0,31.0,1005.0,1531.0,2535.0,685.0,836.0,1523.0,12.0,7.0,38.0,14150.0,17052.0,31235.0,569.0,323.0,962.0,425.0,261.0,738.0,12.0,15.0,29.0,3.0,0.0,5.0,128.0,80.0,250.0,29.0,79.0,167.0,204.0,195.0,479.0,16506.0,16200.0,32716.0,89.0,52.0,172.0,3.0,32.0,66.0,16671.0,16346.0,33050.0,2427.0,2262.0,4684.0,34828.0,37052.0,71905.0,71905.0
Gippsland East,106.0,214.0,391.0,3905.0,4589.0,8523.0,0.0,0.0,0.0,348.0,331.0,695.0,69.0,80.0,137.0,4589.0,5235.0,9833.0,0.0,17.0,30.0,51.0,57.0,130.0,98.0,163.0,329.0,17.0,6.0,25.0,19.0,61.0,113.0,4.0,3.0,17.0,40.0,38.0,94.0,207.0,227.0,491.0,689.0,728.0,1416.0,12.0,21.0,68.0,32.0,41.0,135.0,1098.0,1557.0,2637.0,515.0,558.0,1177.0,9.0,7.0,33.0,12074.0,14000.0,26099.0,64.0,73.0,140.0,62.0,49.0,127.0,0.0,3.0,14.0,5.0,0.0,0.0,39.0,38.0,111.0,46.0,95.0,192.0,120.0,162.0,301.0,15764.0,14751.0,30447.0,40.0,39.0,144.0,16.0,23.0,49.0,15893.0,14879.0,30782.0,3070.0,2859.0,5998.0,31499.0,32435.0,63940.0,63940.0
Gippsland South,97.0,210.0,375.0,3793.0,4463.0,8213.0,0.0,0.0,0.0,286.0,345.0,661.0,19.0,28.0,65.0,4671.0,5484.0,10180.0,10.0,10.0,34.0,90.0,70.0,174.0,48.0,48.0,176.0,39.0,27.0,102.0,45.0,56.0,133.0,5.0,4.0,17.0,36.0,44.0,128.0,114.0,143.0,304.0,602.0,669.0,1341.0,21.0,32.0,88.0,26.0,32.0,77.0,1161.0,1527.0,2759.0,580.0,741.0,1380.0,2.0,7.0,27.0,12034.0,14156.0,26160.0,99.0,97.0,236.0,72.0,43.0,111.0,3.0,3.0,16.0,0.0,0.0,0.0,21.0,30.0,58.0,16.0,112.0,180.0,55.0,157.0,252.0,16603.0,15166.0,31756.0,59.0,47.0,136.0,24.0,30.0,100.0,16786.0,15305.0,32067.0,3695.0,2789.0,6477.0,32933.0,32852.0,65810.0,65810.0
Glen Waverley,3223.0,3521.0,6795.0,1977.0,2436.0,4329.0,0.0,0.0,0.0,1056.0,1236.0,2343.0,0.0,0.0,15.0,5548.0,6318.0,11785.0,75.0,100.0,244.0,1591.0,1744.0,3316.0,20.0,34.0,80.0,47.0,30.0,90.0,81.0,56.0,190.0,104.0,122.0,317.0,178.0,197.0,382.0,349.0,435.0,810.0,491.0,708.0,1255.0,36.0,56.0,117.0,45.0,47.0,109.0,1005.0,1392.0,2304.0,1138.0,1363.0,2533.0,10.0,19.0,66.0,13995.0,16614.0,30617.0,3007.0,2814.0,5868.0,1051.0,829.0,1925.0,22.0,32.0,93.0,0.0,0.0,0.0,250.0,265.0,590.0,146.0,184.0,395.0,412.0,491.0,1048.0,16341.0,15319.0,31600.0,85.0,40.0,160.0,11.0,24.0,40.0,16459.0,15441.0,31878.0,2058.0,2132.0,4217.0,40253.0,42061.0,82465.0,82465.0
