district,M_15_19_yr_Marrd_reg_marrge_n,M_15_19_yr_Married_de_facto_n,M_15_19_yr_Not_married_n,M_15_19_yr_Total_n,M_20_24_yr_Marrd_reg_marrge_n,M_20_24_yr_Married_de_facto_n,M_20_24_yr_Not_married_n,M_20_24_yr_Total_n,M_25_34_yr_Marrd_reg_marrge_n,M_25_34_yr_Married_de_facto_n,M_25_34_yr_Not_married_n,M_25_34_yr_Total_n,M_35_44_yr_Marrd_reg_marrge_n,M_35_44_yr_Married_de_facto_n,M_35_44_yr_Not_married_n,M_35_44_yr_Total_n,M_45_54_yr_Marrd_reg_marrge_n,M_45_54_yr_Married_de_facto_n,M_45_54_yr_Not_married_n,M_45_54_yr_Total_n,M_55_64_yr_Marrd_reg_marrge_n,M_55_64_yr_Married_de_facto_n,M_55_64_yr_Not_married_n,M_55_64_yr_Total_n,M_65_74_yr_Marrd_reg_marrge_n,M_65_74_yr_Married_de_facto_n,M_65_74_yr_Not_married_n,M_65_74_yr_Total_n,M_75_84_yr_Marrd_reg_marrge_n,M_75_84_yr_Married_de_facto_n,M_75_84_yr_Not_married_n,M_75_84_yr_Total_n,M_85ov_Marrd_reg_marrge_n,M_85ov_Married_de_facto_n,M_85ov_Not_married_n,M_85ov_Total_n,M_Tot_Marrd_reg_marrge_n,M_Tot_Married_de_facto_n,M_Tot_Not_married_n,M_Tot_Total_n,F_15_19_yr_Marrd_reg_marrge_n,F_15_19_yr_Married_de_facto_n,F_15_19_yr_Not_married_n,F_15_19_yr_Total_n,F_20_24_yr_Marrd_reg_marrge_n,F_20_24_yr_Married_de_facto_n,F_20_24_yr_Not_married_n,F_20_24_yr_Total_n,F_25_34_yr_Marrd_reg_marrge_n,F_25_34_yr_Married_de_facto_n,F_25_34_yr_Not_married_n,F_25_34_yr_Total_n,F_35_44_yr_Marrd_reg_marrge_n,F_35_44_yr_Married_de_facto_n,F_35_44_yr_Not_married_n,F_35_44_yr_Total_n,F_45_54_yr_Marrd_reg_marrge_n,F_45_54_yr_Married_de_facto_n,F_45_54_yr_Not_married_n,F_45_54_yr_Total_n,F_55_64_yr_Marrd_reg_marrge_n,F_55_64_yr_Married_de_facto_n,F_55_64_yr_Not_married_n,F_55_64_yr_Total_n,F_65_74_yr_Marrd_reg_marrge_n,F_65_74_yr_Married_de_facto_n,F_65_74_yr_Not_married_n,F_65_74_yr_Total_n,F_75_84_yr_Marrd_reg_marrge_n,F_75_84_yr_Married_de_facto_n,F_75_84_yr_Not_married_n,F_75_84_yr_Total_n,F_85ov_Marrd_reg_marrge_n,F_85ov_Married_de_facto_n,F_85ov_Not_married_n,F_85ov_Total_n,F_Tot_Marrd_reg_marrge_n,F_Tot_Married_de_facto_n,F_Tot_Not_married_n,F_Tot_Total_n,P_15_19_yr_Marrd_reg_marrge_n,P_15_19_yr_Married_de_facto_n,P_15_19_yr_Not_married_n,P_15_19_yr_Total_n,P_20_24_yr_Marrd_reg_marrge_n,P_20_24_yr_Married_de_facto_n,P_20_24_yr_Not_married_n,P_20_24_yr_Total_n,P_25_34_yr_Marrd_reg_marrge_n,P_25_34_yr_Married_de_facto_n,P_25_34_yr_Not_married_n,P_25_34_yr_Total_n,P_35_44_yr_Marrd_reg_marrge_n,P_35_44_yr_Married_de_facto_n,P_35_44_yr_Not_married_n,P_35_44_yr_Total_n,P_45_54_yr_Marrd_reg_marrge_n,P_45_54_yr_Married_de_facto_n,P_45_54_yr_Not_married_n,P_45_54_yr_Total_n,P_55_64_yr_Marrd_reg_marrge_n,P_55_64_yr_Married_de_facto_n,P_55_64_yr_Not_married_n,P_55_64_yr_Total_n,P_65_74_yr_Marrd_reg_marrge_n,P_65_74_yr_Married_de_facto_n,P_65_74_yr_Not_married_n,P_65_74_yr_Total_n,P_75_84_yr_Marrd_reg_marrge_n,P_75_84_yr_Married_de_facto_n,P_75_84_yr_Not_married_n,P_75_84_yr_Total_n,P_85ov_Marrd_reg_marrge_n,P_85ov_Married_de_facto_n,P_85ov_Not_married_n,P_85ov_Total_n,P_Tot_Marrd_reg_marrge_n,P_Tot_Married_de_facto_n,P_Tot_Not_married_n,P_Tot_Total_n,P_Tot_Total_total
Pakenham,0.0,0.0,2116.0,2123.0,17.0,344.0,1792.0,2119.0,2356.0,1629.0,2203.0,6194.0,3975.0,680.0,1079.0,5842.0,2455.0,364.0,1000.0,3871.0,1736.0,175.0,722.0,2679.0,1363.0,26.0,437.0,1991.0,725.0,22.0,205.0,1102.0,114.0,0.0,64.0,205.0,12936.0,3507.0,9795.0,26193.0,0.0,0.0,1912.0,1944.0,67.0,480.0,1630.0,2205.0,3179.0,1672.0,1999.0,6919.0,3873.0,647.0,1377.0,5897.0,2265.0,418.0,1417.0,4104.0,1614.0,141.0,1295.0,3091.0,1348.0,25.0,1107.0,2435.0,551.0,3.0,669.0,1273.0,45.0,0.0,241.0,316.0,13019.0,3568.0,11633.0,28211.0,0.0,14.0,4013.0,4036.0,142.0,816.0,3349.0,4321.0,5592.0,3343.0,4263.0,13097.0,7923.0,1320.0,2430.0,11706.0,4710.0,799.0,2360.0,7958.0,3318.0,395.0,1997.0,5732.0,2725.0,116.0,1527.0,4459.0,1358.0,33.0,929.0,2481.0,173.0,9.0,354.0,599.0,25956.0,7069.0,21389.0,54445.0,54445.0
Pascoe Vale,0.0,0.0,1555.0,1567.0,9.0,99.0,1919.0,2112.0,1203.0,1660.0,3099.0,5869.0,2895.0,1045.0,1328.0,5333.0,2498.0,545.0,1080.0,4245.0,1800.0,284.0,991.0,3203.0,1239.0,65.0,567.0,1923.0,745.0,0.0,302.0,1128.0,265.0,0.0,193.0,563.0,10793.0,3938.0,11188.0,25902.0,0.0,0.0,1492.0,1498.0,32.0,155.0,1726.0,2029.0,1603.0,1712.0,2850.0,6267.0,3017.0,1033.0,1476.0,5635.0,2498.0,554.0,1526.0,4579.0,1745.0,170.0,1287.0,3304.0,1125.0,50.0,1049.0,2283.0,595.0,0.0,884.0,1468.0,91.0,0.0,732.0,894.0,10925.0,3935.0,13079.0,27911.0,0.0,7.0,3034.0,3048.0,65.0,338.0,3671.0,4111.0,2767.0,3381.0,5918.0,12155.0,5960.0,2103.0,2847.0,10884.0,5051.0,1165.0,2549.0,8778.0,3588.0,536.0,2326.0,6490.0,2352.0,145.0,1642.0,4206.0,1386.0,10.0,1171.0,2676.0,469.0,0.0,1000.0,1482.0,21770.0,7826.0,24324.0,53887.0,53887.0
Point Cook,0.0,0.0,2683.0,2697.0,5.0,93.0,2070.0,2256.0,1984.0,1054.0,2629.0,5748.0,6789.0,778.0,1322.0,8873.0,4141.0,508.0,1030.0,5780.0,2497.0,249.0,820.0,3618.0,1901.0,32.0,482.0,2435.0,649.0,7.0,170.0,865.0,84.0,0.0,37.0,150.0,18100.0,3016.0,11345.0,32382.0,0.0,0.0,2317.0,2318.0,36.0,222.0,1832.0,2174.0,3264.0,1124.0,2062.0,6391.0,6821.0,748.0,1433.0,9038.0,3646.0,472.0,1555.0,5765.0,2421.0,154.0,1226.0,3843.0,1597.0,29.0,1059.0,2674.0,405.0,0.0,591.0,1043.0,14.0,0.0,178.0,244.0,18263.0,2943.0,12387.0,33643.0,0.0,8.0,4933.0,4931.0,92.0,374.0,3934.0,4459.0,5194.0,2205.0,4685.0,12096.0,13565.0,1504.0,2788.0,17892.0,7794.0,1041.0,2692.0,11496.0,4886.0,497.0,2095.0,7535.0,3358.0,104.0,1510.0,5124.0,1167.0,20.0,814.0,2025.0,158.0,0.0,233.0,440.0,36407.0,5996.0,23772.0,66033.0,66033.0
Polwarth,0.0,4.0,1851.0,1870.0,0.0,127.0,1283.0,1446.0,736.0,949.0,1524.0,3196.0,2277.0,731.0,872.0,3874.0,2470.0,617.0,987.0,4126.0,2663.0,426.0,1173.0,4251.0,2721.0,257.0,948.0,3898.0,1339.0,32.0,419.0,1914.0,213.0,4.0,114.0,431.0,12448.0,3331.0,9165.0,25011.0,0.0,4.0,1671.0,1681.0,4.0,191.0,936.0,1207.0,1057.0,1024.0,1176.0,3353.0,2528.0,738.0,831.0,4143.0,2612.0,664.0,1048.0,4314.0,2709.0,365.0,1326.0,4450.0,2498.0,158.0,1160.0,3926.0,1001.0,18.0,1008.0,2081.0,73.0,0.0,491.0,618.0,12611.0,3441.0,9749.0,25886.0,0.0,21.0,3502.0,3553.0,23.0,384.0,2280.0,2694.0,1848.0,2029.0,2727.0,6527.0,4734.0,1528.0,1696.0,7953.0,5108.0,1224.0,2091.0,8495.0,5378.0,896.0,2467.0,8704.0,5150.0,464.0,2126.0,7836.0,2353.0,71.0,1436.0,3929.0,393.0,10.0,668.0,1157.0,25068.0,6842.0,18989.0,50879.0,50879.0
Prahran,0.0,0.0,627.0,651.0,6.0,400.0,1770.0,2170.0,1174.0,3724.0,5266.0,10149.0,2115.0,1472.0,2550.0,6039.0,1217.0,611.0,1498.0,3408.0,1132.0,322.0,1191.0,2726.0,998.0,128.0,737.0,1934.0,692.0,15.0,363.0,1179.0,163.0,5.0,97.0,334.0,7647.0,6779.0,14253.0,28693.0,0.0,7.0,692.0,695.0,3.0,534.0,2226.0,2784.0,1584.0,3594.0,5805.0,11055.0,1988.0,969.0,2707.0,5605.0,1183.0,339.0,1775.0,3408.0,1099.0,142.0,1429.0,2734.0,927.0,63.0,1288.0,2324.0,506.0,11.0,817.0,1401.0,56.0,0.0,340.0,451.0,7485.0,5901.0,17105.0,30544.0,0.0,22.0,1398.0,1407.0,33.0,951.0,4002.0,5057.0,2874.0,7261.0,11125.0,21260.0,4060.0,2470.0,5200.0,11716.0,2462.0,1009.0,3278.0,6741.0,2280.0,529.0,2676.0,5496.0,1897.0,266.0,2077.0,4258.0,1231.0,51.0,1226.0,2550.0,267.0,5.0,492.0,816.0,15233.0,12705.0,31384.0,59267.0,59267.0
Preston,0.0,0.0,1458.0,1461.0,4.0,100.0,2069.0,2258.0,1407.0,1610.0,3515.0,6550.0,2753.0,1073.0,1729.0,5486.0,2371.0,522.0,1550.0,4473.0,1733.0,177.0,1421.0,3396.0,1366.0,59.0,849.0,2394.0,1146.0,0.0,488.0,1703.0,405.0,0.0,259.0,696.0,11235.0,3872.0,13339.0,28340.0,0.0,0.0,1395.0,1406.0,74.0,170.0,1724.0,2084.0,1931.0,1828.0,2668.0,6447.0,2777.0,1031.0,1777.0,5604.0,2225.0,465.0,1754.0,4506.0,1687.0,185.0,1721.0,3663.0,1425.0,17.0,1367.0,2830.0,902.0,0.0,1243.0,2210.0,136.0,0.0,853.0,1015.0,11251.0,3948.0,14590.0,29798.0,0.0,6.0,2825.0,2843.0,114.0,343.0,3795.0,4295.0,3380.0,3464.0,6194.0,13052.0,5559.0,2236.0,3485.0,11142.0,4601.0,1015.0,3320.0,8946.0,3462.0,438.0,3123.0,7051.0,2801.0,115.0,2242.0,5221.0,1967.0,21.0,1745.0,3814.0,582.0,0.0,1258.0,1831.0,22448.0,7729.0,27912.0,58113.0,58113.0
Richmond,0.0,3.0,736.0,736.0,7.0,221.0,1702.0,1959.0,896.0,3444.0,5166.0,9450.0,1786.0,1655.0,2149.0,5636.0,1374.0,741.0,1389.0,3450.0,1218.0,368.0,1131.0,2783.0,858.0,158.0,604.0,1719.0,449.0,12.0,218.0,779.0,90.0,0.0,51.0,206.0,6871.0,6754.0,13163.0,26785.0,0.0,7.0,836.0,856.0,6.0,334.0,1908.0,2320.0,1195.0,3332.0,5316.0,9912.0,1866.0,1164.0,2075.0,5085.0,1424.0,475.0,1443.0,3447.0,1076.0,239.0,1280.0,2641.0,756.0,111.0,1077.0,1984.0,312.0,7.0,653.0,1046.0,29.0,0.0,297.0,348.0,6780.0,5862.0,15048.0,27664.0,0.0,16.0,1597.0,1611.0,32.0,579.0,3579.0,4237.0,2109.0,6823.0,10502.0,19412.0,3703.0,2851.0,4244.0,10767.0,2756.0,1204.0,2868.0,6870.0,2367.0,634.0,2419.0,5418.0,1688.0,309.0,1668.0,3667.0,790.0,43.0,896.0,1745.0,151.0,0.0,425.0,606.0,13651.0,12609.0,28220.0,54428.0,54428.0
Ringwood,0.0,0.0,2234.0,2249.0,7.0,81.0,1995.0,2216.0,1564.0,1197.0,2376.0,5196.0,4031.0,575.0,1131.0,5755.0,3262.0,423.0,1281.0,5055.0,2552.0,196.0,1175.0,3840.0,2036.0,114.0,735.0,2890.0,1242.0,11.0,370.0,1730.0,393.0,0.0,203.0,667.0,15129.0,2958.0,11535.0,29579.0,0.0,0.0,1884.0,1907.0,31.0,148.0,1746.0,2019.0,2172.0,1265.0,1839.0,5283.0,4278.0,554.0,1325.0,6220.0,3149.0,354.0,1656.0,5322.0,2318.0,197.0,1623.0,4227.0,1832.0,23.0,1524.0,3481.0,1054.0,0.0,1231.0,2406.0,125.0,0.0,784.0,969.0,15200.0,2884.0,13758.0,31902.0,0.0,0.0,4153.0,4190.0,81.0,397.0,3744.0,4231.0,3777.0,2486.0,4186.0,10466.0,8315.0,1201.0,2435.0,11958.0,6487.0,958.0,2893.0,10293.0,4853.0,481.0,2790.0,8104.0,3801.0,185.0,2276.0,6344.0,2356.0,67.0,1711.0,4148.0,584.0,8.0,1043.0,1659.0,30283.0,5836.0,25314.0,61537.0,61537.0
Ripon,0.0,0.0,1794.0,1789.0,7.0,181.0,1230.0,1468.0,772.0,860.0,1237.0,3021.0,1711.0,577.0,814.0,3123.0,2147.0,573.0,1141.0,3979.0,2623.0,475.0,1381.0,4532.0,2677.0,228.0,1350.0,4335.0,1448.0,14.0,706.0,2269.0,198.0,0.0,203.0,483.0,11799.0,3275.0,10020.0,25039.0,0.0,4.0,1623.0,1648.0,34.0,272.0,940.0,1314.0,1126.0,911.0,1173.0,3210.0,1984.0,567.0,872.0,3410.0,2326.0,635.0,1174.0,4181.0,2706.0,417.0,1479.0,4605.0,2488.0,161.0,1454.0,4207.0,1005.0,45.0,1045.0,2195.0,107.0,0.0,531.0,648.0,11838.0,3314.0,10312.0,25489.0,0.0,10.0,3443.0,3489.0,42.0,531.0,2131.0,2724.0,1903.0,1914.0,2349.0,6199.0,3720.0,1162.0,1679.0,6565.0,4506.0,1233.0,2418.0,8115.0,5351.0,931.0,2851.0,9092.0,5139.0,523.0,2841.0,8557.0,2476.0,115.0,1774.0,4475.0,337.0,0.0,789.0,1135.0,23607.0,6547.0,20268.0,50411.0,50411.0
Rowville,0.0,0.0,2339.0,2330.0,3.0,54.0,2320.0,2478.0,1010.0,591.0,2239.0,3837.0,3098.0,358.0,774.0,4239.0,3475.0,320.0,696.0,4637.0,3894.0,176.0,614.0,4774.0,2702.0,41.0,400.0,3261.0,1248.0,3.0,213.0,1513.0,214.0,0.0,113.0,370.0,15705.0,1844.0,9956.0,27443.0,0.0,0.0,2185.0,2175.0,0.0,114.0,1923.0,2072.0,1454.0,649.0,1726.0,3805.0,3423.0,341.0,812.0,4670.0,3832.0,325.0,1140.0,5255.0,3760.0,161.0,1180.0,5162.0,2282.0,14.0,1128.0,3435.0,912.0,6.0,956.0,1895.0,92.0,0.0,455.0,636.0,15781.0,1882.0,11569.0,29188.0,0.0,3.0,4569.0,4579.0,32.0,266.0,4272.0,4639.0,2442.0,1256.0,3952.0,7623.0,6548.0,742.0,1647.0,8958.0,7305.0,709.0,1928.0,9917.0,7636.0,411.0,1840.0,9973.0,4961.0,141.0,1494.0,6679.0,2137.0,19.0,1204.0,3414.0,371.0,0.0,636.0,1065.0,31474.0,3656.0,21508.0,56661.0,56661.0
Sandringham,0.0,0.0,1916.0,1920.0,0.0,27.0,1470.0,1574.0,555.0,851.0,1206.0,2603.0,2208.0,613.0,645.0,3490.0,3123.0,476.0,886.0,4504.0,2700.0,334.0,782.0,3862.0,2115.0,118.0,582.0,2849.0,1308.0,17.0,315.0,1703.0,334.0,0.0,174.0,563.0,12301.0,2675.0,8118.0,23098.0,0.0,0.0,1843.0,1851.0,0.0,77.0,1274.0,1430.0,828.0,908.0,1165.0,2925.0,2471.0,574.0,901.0,4040.0,3280.0,466.0,1207.0,5033.0,2619.0,264.0,1305.0,4219.0,1930.0,123.0,1310.0,3413.0,983.0,4.0,1040.0,2055.0,107.0,0.0,707.0,888.0,12376.0,2602.0,10814.0,25820.0,0.0,4.0,3815.0,3826.0,19.0,148.0,2769.0,3002.0,1406.0,1786.0,2336.0,5613.0,4671.0,1200.0,1587.0,7471.0,6450.0,986.0,2099.0,9503.0,5266.0,639.0,2091.0,8019.0,3965.0,351.0,1941.0,6246.0,2260.0,34.0,1372.0,3732.0,446.0,3.0,933.0,1431.0,24657.0,5268.0,18959.0,48896.0,48896.0
Shepparton,0.0,3.0,2100.0,2132.0,25.0,238.0,1572.0,1824.0,1290.0,1030.0,1799.0,4077.0,2218.0,493.0,1072.0,3762.0,2387.0,416.0,1311.0,4154.0,2490.0,305.0,1229.0,4071.0,2328.0,126.0,970.0,3426.0,1332.0,19.0,464.0,1959.0,297.0,0.0,194.0,532.0,12349.0,2825.0,10827.0,26094.0,0.0,8.0,1867.0,1906.0,57.0,333.0,1219.0,1773.0,1709.0,1025.0,1703.0,4474.0,2334.0,496.0,1240.0,4138.0,2451.0,399.0,1348.0,4245.0,2550.0,285.0,1519.0,4358.0,2076.0,72.0,1372.0,3639.0,1012.0,9.0,1008.0,2168.0,72.0,0.0,567.0,710.0,12483.0,2865.0,12016.0,27381.0,0.0,31.0,3984.0,4047.0,135.0,623.0,2786.0,3623.0,2927.0,2020.0,3544.0,8556.0,4619.0,1064.0,2276.0,7893.0,4772.0,893.0,2610.0,8358.0,5020.0,669.0,2761.0,8439.0,4362.0,279.0,2418.0,7077.0,2402.0,65.0,1648.0,4148.0,449.0,3.0,841.0,1353.0,24837.0,5823.0,22851.0,53478.0,53478.0
South Barwon,0.0,0.0,1933.0,1960.0,5.0,240.0,2087.0,2403.0,1477.0,1526.0,2168.0,5215.0,2990.0,752.0,752.0,4539.0,2581.0,368.0,704.0,3677.0,2193.0,170.0,568.0,3036.0,1932.0,64.0,439.0,2519.0,1194.0,18.0,251.0,1535.0,310.0,0.0,129.0,487.0,12765.0,3414.0,9254.0,25403.0,0.0,10.0,1801.0,1836.0,25.0,370.0,1922.0,2359.0,1945.0,1641.0,1776.0,5469.0,3228.0,632.0,1108.0,4964.0,2539.0,359.0,1109.0,4130.0,2248.0,129.0,1118.0,3596.0,1797.0,48.0,1071.0,2992.0,936.0,4.0,834.0,1826.0,108.0,0.0,535.0,727.0,12926.0,3359.0,11415.0,27772.0,0.0,29.0,3811.0,3871.0,61.0,661.0,4003.0,4777.0,3507.0,3175.0,4025.0,10729.0,6184.0,1400.0,1858.0,9489.0,5080.0,781.0,1864.0,7774.0,4438.0,359.0,1780.0,6620.0,3769.0,154.0,1528.0,5500.0,2103.0,59.0,1140.0,3364.0,439.0,4.0,696.0,1187.0,25730.0,6829.0,20624.0,53186.0,53186.0
South-West Coast,0.0,0.0,1847.0,1863.0,0.0,191.0,1291.0,1504.0,907.0,967.0,1557.0,3499.0,1814.0,603.0,935.0,3411.0,2211.0,486.0,1113.0,3909.0,2713.0,393.0,1119.0,4339.0,2657.0,208.0,951.0,3897.0,1288.0,19.0,488.0,1873.0,301.0,0.0,178.0,508.0,12103.0,3168.0,9590.0,24902.0,0.0,16.0,1791.0,1842.0,11.0,279.0,1089.0,1441.0,1239.0,1048.0,1359.0,3658.0,2091.0,574.0,1043.0,3784.0,2491.0,510.0,1309.0,4372.0,2818.0,375.0,1493.0,4710.0,2392.0,89.0,1397.0,4017.0,1038.0,5.0,1040.0,2110.0,95.0,0.0,632.0,780.0,12200.0,3246.0,11238.0,26760.0,0.0,41.0,3637.0,3694.0,24.0,507.0,2323.0,2995.0,2155.0,2058.0,2903.0,7149.0,3958.0,1265.0,2018.0,7233.0,4806.0,993.0,2419.0,8322.0,5522.0,855.0,2653.0,9065.0,5017.0,393.0,2392.0,7866.0,2392.0,61.0,1601.0,4070.0,428.0,9.0,822.0,1425.0,24361.0,6480.0,20883.0,51673.0,51673.0
St Albans,0.0,0.0,1989.0,1989.0,36.0,34.0,2402.0,2511.0,1417.0,541.0,3750.0,5654.0,2311.0,366.0,1642.0,4316.0,2312.0,236.0,1416.0,3992.0,2528.0,166.0,1354.0,4056.0,2241.0,42.0,847.0,3287.0,1179.0,8.0,362.0,1689.0,270.0,0.0,120.0,455.0,12307.0,1715.0,13984.0,28010.0,0.0,5.0,1908.0,1933.0,105.0,64.0,2098.0,2362.0,2046.0,615.0,2621.0,5332.0,2469.0,350.0,1611.0,4541.0,2325.0,269.0,1805.0,4459.0,2345.0,106.0,1659.0,4112.0,2060.0,6.0,1381.0,3485.0,800.0,0.0,990.0,1785.0,79.0,0.0,505.0,646.0,12337.0,1680.0,14507.0,28604.0,0.0,10.0,3929.0,3944.0,174.0,169.0,4519.0,4983.0,3408.0,1266.0,6266.0,11026.0,4764.0,788.0,3271.0,8819.0,4669.0,559.0,3205.0,8415.0,4849.0,374.0,3009.0,8183.0,4347.0,111.0,2250.0,6746.0,2006.0,14.0,1382.0,3454.0,423.0,0.0,702.0,1166.0,24697.0,3463.0,28495.0,56617.0,56617.0
Sunbury,0.0,0.0,1765.0,1763.0,10.0,115.0,1611.0,1804.0,1281.0,1183.0,1917.0,4452.0,2389.0,649.0,890.0,3981.0,2239.0,409.0,1012.0,3664.0,2284.0,209.0,903.0,3439.0,1958.0,59.0,634.0,2693.0,1004.0,6.0,313.0,1382.0,155.0,0.0,99.0,303.0,11317.0,2959.0,9300.0,23553.0,0.0,0.0,1522.0,1543.0,15.0,180.0,1313.0,1618.0,1724.0,1249.0,1490.0,4477.0,2503.0,608.0,1021.0,4214.0,2260.0,386.0,1291.0,3976.0,2260.0,186.0,1292.0,3822.0,1805.0,51.0,1173.0,3117.0,682.0,0.0,822.0,1503.0,56.0,0.0,369.0,469.0,11437.0,2961.0,10477.0,24864.0,0.0,6.0,3339.0,3351.0,43.0,385.0,2939.0,3399.0,3031.0,2514.0,3367.0,8950.0,4928.0,1265.0,2025.0,8187.0,4478.0,841.0,2278.0,7707.0,4491.0,507.0,2258.0,7245.0,3780.0,188.0,1891.0,5799.0,1651.0,36.0,1192.0,2866.0,256.0,0.0,496.0,801.0,22723.0,5911.0,19715.0,48359.0,48359.0
Sydenham,0.0,0.0,2837.0,2838.0,4.0,66.0,2564.0,2708.0,1549.0,644.0,2653.0,4902.0,3685.0,465.0,1050.0,5250.0,4038.0,314.0,903.0,5350.0,3305.0,135.0,674.0,4162.0,1983.0,27.0,418.0,2438.0,803.0,3.0,131.0,1019.0,83.0,0.0,38.0,137.0,15524.0,1922.0,11434.0,28894.0,0.0,0.0,2710.0,2727.0,36.0,117.0,2184.0,2484.0,2198.0,726.0,1977.0,4935.0,4110.0,442.0,1195.0,5693.0,4076.0,261.0,1310.0,5814.0,3082.0,103.0,1137.0,4394.0,1584.0,5.0,878.0,2501.0,407.0,0.0,572.0,1027.0,31.0,0.0,182.0,251.0,15592.0,1966.0,12232.0,29913.0,0.0,5.0,5559.0,5567.0,63.0,262.0,4802.0,5205.0,3728.0,1483.0,4644.0,9897.0,7825.0,884.0,2168.0,10949.0,8190.0,673.0,2243.0,11140.0,6332.0,311.0,1811.0,8548.0,3531.0,86.0,1254.0,5003.0,1232.0,6.0,731.0,2015.0,144.0,0.0,234.0,417.0,31180.0,3905.0,23697.0,58768.0,58768.0
Tarneit,0.0,0.0,2629.0,2646.0,28.0,95.0,2924.0,3142.0,2953.0,787.0,3638.0,7447.0,6450.0,481.0,1401.0,8393.0,3344.0,301.0,920.0,4665.0,2436.0,188.0,745.0,3492.0,1665.0,34.0,456.0,2272.0,722.0,0.0,170.0,924.0,55.0,0.0,41.0,126.0,17843.0,2173.0,13043.0,33089.0,0.0,3.0,2342.0,2355.0,131.0,205.0,2146.0,2578.0,4717.0,787.0,2273.0,7924.0,5955.0,487.0,1356.0,7806.0,2894.0,257.0,1208.0,4458.0,2288.0,135.0,1241.0,3789.0,1416.0,39.0,975.0,2477.0,386.0,0.0,509.0,971.0,21.0,0.0,197.0,237.0,17962.0,2167.0,12504.0,32662.0,0.0,25.0,4887.0,4920.0,176.0,354.0,5078.0,5725.0,7715.0,1620.0,6000.0,15382.0,12383.0,1024.0,2710.0,16209.0,6185.0,651.0,2174.0,8996.0,4743.0,400.0,1972.0,7201.0,3150.0,133.0,1449.0,4719.0,1156.0,6.0,744.0,1939.0,96.0,0.0,287.0,455.0,35777.0,4362.0,25475.0,65714.0,65714.0
Thomastown,0.0,0.0,1862.0,1862.0,41.0,95.0,2205.0,2379.0,2236.0,740.0,3026.0,6101.0,4372.0,417.0,1462.0,6352.0,2533.0,187.0,1251.0,3980.0,2047.0,73.0,950.0,3145.0,1968.0,0.0,555.0,2586.0,1239.0,0.0,319.0,1632.0,321.0,0.0,193.0,522.0,14830.0,1807.0,12047.0,28658.0,0.0,0.0,1723.0,1748.0,180.0,139.0,1790.0,2167.0,3321.0,836.0,2159.0,6319.0,4323.0,357.0,1387.0,6084.0,2260.0,162.0,1372.0,3795.0,1927.0,53.0,1384.0,3417.0,1901.0,4.0,1184.0,3048.0,863.0,0.0,952.0,1825.0,129.0,0.0,430.0,618.0,14914.0,1830.0,12564.0,29238.0,0.0,0.0,3678.0,3698.0,202.0,310.0,3986.0,4626.0,5560.0,1643.0,5231.0,12420.0,8695.0,844.0,2870.0,12435.0,4695.0,452.0,2716.0,7827.0,3927.0,223.0,2324.0,6554.0,3950.0,26.0,1689.0,5711.0,2130.0,8.0,1296.0,3466.0,469.0,9.0,682.0,1177.0,29682.0,3677.0,24575.0,57936.0,57936.0
Warrandyte,0.0,0.0,2607.0,2600.0,0.0,31.0,2176.0,2261.0,882.0,459.0,1695.0,3113.0,3179.0,353.0,578.0,4157.0,3809.0,369.0,717.0,4978.0,3627.0,180.0,638.0,4456.0,2775.0,62.0,416.0,3328.0,1673.0,4.0,276.0,2040.0,344.0,0.0,135.0,589.0,16294.0,1724.0,9480.0,27470.0,0.0,0.0,2257.0,2266.0,6.0,63.0,1824.0,1968.0,1305.0,517.0,1302.0,3227.0,3622.0,346.0,869.0,4833.0,3997.0,390.0,1121.0,5433.0,3465.0,161.0,1182.0,4830.0,2597.0,38.0,1098.0,3770.0,1275.0,4.0,1072.0,2412.0,101.0,0.0,539.0,656.0,16383.0,1759.0,11322.0,29422.0,0.0,0.0,4846.0,4857.0,23.0,152.0,4002.0,4244.0,2279.0,1003.0,3100.0,6288.0,6721.0,755.0,1478.0,9012.0,7732.0,813.0,1900.0,10422.0,7021.0,456.0,1804.0,9315.0,5298.0,128.0,1586.0,7027.0,3008.0,39.0,1410.0,4534.0,529.0,0.0,670.0,1271.0,32657.0,3441.0,20807.0,56936.0,56936.0
