district,census_variable,value,rank
Prahran,F_CU15_0_14,2484.0,1.0
Richmond,F_CU15_0_14,3209.0,2.0
Brunswick,F_CU15_0_14,3538.0,3.0
Melbourne,F_CU15_0_14,3548.0,4.0
Albert Park,F_CU15_0_14,3571.0,5.0
Nepean,F_CU15_0_14,3703.0,6.0
Malvern,F_CU15_0_14,4187.0,7.0
Gippsland East,F_CU15_0_14,4497.0,8.0
Euroa,F_CU15_0_14,4565.0,9.0
Northcote,F_CU15_0_14,4691.0,10.0
Gippsland South,F_CU15_0_14,4782.0,11.0
Ovens Valley,F_CU15_0_14,4796.0,12.0
Hawthorn,F_CU15_0_14,4822.0,13.0
Eildon,F_CU15_0_14,4835.0,14.0
Bendigo West,F_CU15_0_14,4848.0,15.0
Brighton,F_CU15_0_14,4889.0,16.0
Essendon,F_CU15_0_14,4956.0,17.0
Footscray,F_CU15_0_14,5009.0,18.0
Lowan,F_CU15_0_14,5102.0,19.0
Sandringham,F_CU15_0_14,5112.0,20.0
Murray Plains,F_CU15_0_14,5134.0,21.0
Preston,F_CU15_0_14,5224.0,22.0
Bundoora,F_CU15_0_14,5229.0,23.0
Bass,F_CU15_0_14,5261.0,24.0
Pascoe Vale,F_CU15_0_14,5285.0,25.0
Bulleen,F_CU15_0_14,5317.0,26.0
Frankston,F_CU15_0_14,5323.0,27.0
Ripon,F_CU15_0_14,5339.0,28.0
Sunbury,F_CU15_0_14,5357.0,29.0
Bellarine,F_CU15_0_14,5413.0,30.0
South-West Coast,F_CU15_0_14,5414.0,31.0
Niddrie,F_CU15_0_14,5432.0,32.0
Mornington,F_CU15_0_14,5438.0,33.0
Monbulk,F_CU15_0_14,5446.0,34.0
Ivanhoe,F_CU15_0_14,5452.0,35.0
Rowville,F_CU15_0_14,5462.0,36.0
Caulfield,F_CU15_0_14,5488.0,37.0
St Albans,F_CU15_0_14,5526.0,38.0
Geelong,F_CU15_0_14,5574.0,39.0
Macedon,F_CU15_0_14,5586.0,40.0
Wendouree,F_CU15_0_14,5604.0,41.0
Mildura,F_CU15_0_14,5605.0,42.0
Morwell,F_CU15_0_14,5610.0,43.0
Mulgrave,F_CU15_0_14,5620.0,44.0
Hastings,F_CU15_0_14,5638.0,45.0
Lara,F_CU15_0_14,5653.0,46.0
Kew,F_CU15_0_14,5665.0,47.0
Oakleigh,F_CU15_0_14,5682.0,48.0
Polwarth,F_CU15_0_14,5699.0,49.0
Clarinda,F_CU15_0_14,5762.0,50.0
Williamstown,F_CU15_0_14,5831.0,51.0
Narracan,F_CU15_0_14,5861.0,52.0
Benambra,F_CU15_0_14,5925.0,53.0
Bayswater,F_CU15_0_14,5950.0,54.0
Eltham,F_CU15_0_14,5969.0,55.0
Box Hill,F_CU15_0_14,6034.0,56.0
Mill Park,F_CU15_0_14,6091.0,57.0
Warrandyte,F_CU15_0_14,6201.0,58.0
Glen Waverley,F_CU15_0_14,6218.0,59.0
Evelyn,F_CU15_0_14,6266.0,60.0
Croydon,F_CU15_0_14,6297.0,61.0
Shepparton,F_CU15_0_14,6308.0,62.0
Bendigo East,F_CU15_0_14,6435.0,63.0
Ashwood,F_CU15_0_14,6540.0,64.0
Mordialloc,F_CU15_0_14,6583.0,65.0
Eureka,F_CU15_0_14,6599.0,66.0
South Barwon,F_CU15_0_14,6624.0,67.0
Bentleigh,F_CU15_0_14,6665.0,68.0
Narre Warren North,F_CU15_0_14,6736.0,69.0
Ringwood,F_CU15_0_14,6863.0,70.0
Carrum,F_CU15_0_14,6889.0,71.0
Broadmeadows,F_CU15_0_14,7049.0,72.0
Dandenong,F_CU15_0_14,7369.0,73.0
Sydenham,F_CU15_0_14,7414.0,74.0
Thomastown,F_CU15_0_14,7548.0,75.0
Greenvale,F_CU15_0_14,7601.0,76.0
Pakenham,F_CU15_0_14,8489.0,77.0
Yan Yean,F_CU15_0_14,8496.0,78.0
Werribee,F_CU15_0_14,8933.0,79.0
Berwick,F_CU15_0_14,9045.0,80.0
Kororoit,F_CU15_0_14,9135.0,81.0
Laverton,F_CU15_0_14,9388.0,82.0
Narre Warren South,F_CU15_0_14,9621.0,83.0
Melton,F_CU15_0_14,9631.0,84.0
Cranbourne,F_CU15_0_14,10065.0,85.0
Point Cook,F_CU15_0_14,10482.0,86.0
Tarneit,F_CU15_0_14,10703.0,87.0
Kalkallo,F_CU15_0_14,11794.0,88.0
Melbourne,F_CU15_0_14_pc,0.0349,1.0
Prahran,F_CU15_0_14_pc,0.0378,2.0
Richmond,F_CU15_0_14_pc,0.0515,3.0
Albert Park,F_CU15_0_14_pc,0.0527,4.0
Brunswick,F_CU15_0_14_pc,0.0548,5.0
Nepean,F_CU15_0_14_pc,0.0667,6.0
Oakleigh,F_CU15_0_14_pc,0.0685,7.0
Malvern,F_CU15_0_14_pc,0.0701,8.0
Hawthorn,F_CU15_0_14_pc,0.0732,9.0
Footscray,F_CU15_0_14_pc,0.0737,10.0
Northcote,F_CU15_0_14_pc,0.0737,11.0
Bulleen,F_CU15_0_14_pc,0.0746,12.0
Preston,F_CU15_0_14_pc,0.0747,13.0
Essendon,F_CU15_0_14_pc,0.0749,14.0
Box Hill,F_CU15_0_14_pc,0.0756,15.0
Euroa,F_CU15_0_14_pc,0.0763,16.0
Mulgrave,F_CU15_0_14_pc,0.0773,17.0
