district,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total,P_Tot_Total_total
Dandenong,0.0,27.0,0.0,40.0,2220.0,130.0,2477.0,26.0,37.0,0.0,48.0,2816.0,226.0,3241.0,1288.0,84.0,0.0,1421.0,6577.0,888.0,8804.0,2450.0,23.0,8.0,2540.0,3800.0,608.0,6968.0,1288.0,24.0,0.0,1344.0,3408.0,386.0,5267.0,282.0,72.0,0.0,494.0,3722.0,305.0,4559.0,18.0,195.0,0.0,304.0,2971.0,165.0,3554.0,0.0,45.0,0.0,60.0,1908.0,106.0,2188.0,0.0,0.0,0.0,0.0,561.0,37.0,684.0,5501.0,911.0,22.0,6555.0,28067.0,3169.0,37861.0,0.0,77.0,0.0,94.0,2014.0,136.0,2322.0,169.0,72.0,0.0,301.0,2418.0,179.0,2951.0,2352.0,167.0,4.0,2663.0,4262.0,602.0,7493.0,3082.0,47.0,14.0,3277.0,2418.0,419.0,6154.0,1114.0,90.0,3.0,1316.0,3047.0,317.0,4729.0,111.0,484.0,4.0,763.0,3495.0,213.0,4522.0,7.0,465.0,0.0,502.0,3025.0,163.0,3929.0,0.0,31.0,0.0,37.0,2204.0,107.0,2517.0,0.0,0.0,0.0,0.0,1079.0,67.0,1195.0,7062.0,1959.0,98.0,9197.0,24000.0,2667.0,35814.0,3.0,143.0,0.0,181.0,4160.0,372.0,4898.0,223.0,163.0,0.0,447.0,5213.0,474.0,6257.0,3632.0,290.0,10.0,4040.0,10812.0,1534.0,16310.0,5552.0,104.0,46.0,5849.0,6324.0,1052.0,13184.0,2396.0,160.0,9.0,2652.0,6448.0,759.0,9984.0,484.0,677.0,7.0,1253.0,7203.0,580.0,9065.0,60.0,787.0,0.0,942.0,6033.0,394.0,7466.0,4.0,130.0,0.0,158.0,4118.0,297.0,4675.0,0.0,0.0,0.0,0.0,1763.0,114.0,1949.0,12621.0,2927.0,177.0,15701.0,51995.0,5894.0,73647.0,73647.0
Eildon,0.0,30.0,0.0,30.0,1789.0,140.0,2026.0,6.0,10.0,0.0,26.0,1418.0,95.0,1663.0,924.0,24.0,6.0,1042.0,2002.0,199.0,3264.0,1948.0,6.0,15.0,2093.0,1137.0,236.0,3538.0,1427.0,38.0,0.0,1620.0,2557.0,329.0,4540.0,258.0,273.0,0.0,614.0,4101.0,331.0,5097.0,3.0,462.0,0.0,555.0,3638.0,296.0,4488.0,0.0,41.0,0.0,47.0,1910.0,162.0,2294.0,0.0,0.0,0.0,0.0,468.0,10.0,535.0,4708.0,1301.0,64.0,6150.0,19102.0,2173.0,27455.0,0.0,69.0,0.0,93.0,1518.0,134.0,1770.0,33.0,58.0,0.0,127.0,1152.0,76.0,1445.0,1297.0,58.0,68.0,1499.0,1607.0,162.0,3302.0,2355.0,36.0,71.0,2587.0,907.0,193.0,3814.0,1452.0,198.0,10.0,1769.0,2568.0,288.0,4708.0,73.0,939.0,0.0,1078.0,3931.0,302.0,5300.0,7.0,786.0,0.0,837.0,3343.0,236.0,4484.0,0.0,40.0,0.0,40.0,1804.0,129.0,2093.0,0.0,0.0,0.0,0.0,675.0,46.0,740.0,5355.0,2538.0,246.0,8199.0,17588.0,2027.0,27767.0,0.0,163.0,0.0,181.0,3286.0,302.0,3800.0,94.0,108.0,0.0,206.0,2579.0,232.0,3059.0,2199.0,121.0,95.0,2543.0,3627.0,413.0,6605.0,4296.0,82.0,161.0,4652.0,2147.0,497.0,7330.0,2839.0,295.0,19.0,3324.0,5196.0,656.0,9168.0,401.0,1286.0,0.0,1693.0,8079.0,710.0,10475.0,27.0,1298.0,3.0,1354.0,6972.0,591.0,8966.0,10.0,151.0,0.0,167.0,3815.0,360.0,4398.0,0.0,3.0,0.0,3.0,1169.0,81.0,1311.0,10069.0,3782.0,383.0,14292.0,36719.0,4205.0,55186.0,55186.0
Eltham,0.0,30.0,0.0,30.0,2138.0,31.0,2274.0,3.0,14.0,0.0,17.0,1823.0,8.0,1949.0,604.0,22.0,0.0,707.0,2210.0,29.0,3018.0,2745.0,11.0,9.0,2841.0,1199.0,52.0,4067.0,2256.0,38.0,3.0,2361.0,2299.0,80.0,4699.0,302.0,301.0,0.0,644.0,3606.0,44.0,4333.0,8.0,699.0,0.0,747.0,2602.0,81.0,3478.0,0.0,109.0,0.0,107.0,1431.0,31.0,1681.0,0.0,3.0,0.0,3.0,334.0,29.0,370.0,5983.0,1529.0,27.0,7591.0,17707.0,725.0,26032.0,0.0,41.0,0.0,41.0,1964.0,3.0,2087.0,4.0,33.0,0.0,56.0,1569.0,13.0,1722.0,948.0,45.0,0.0,1126.0,1906.0,34.0,3105.0,3312.0,32.0,106.0,3502.0,860.0,41.0,4576.0,2263.0,101.0,23.0,2511.0,2570.0,53.0,5114.0,91.0,978.0,0.0,1130.0,3702.0,72.0,4922.0,0.0,1161.0,0.0,1212.0,2488.0,72.0,3885.0,0.0,100.0,0.0,120.0,1564.0,60.0,1864.0,0.0,0.0,0.0,0.0,594.0,57.0,674.0,6811.0,2835.0,232.0,9863.0,17205.0,727.0,27881.0,0.0,96.0,0.0,96.0,4117.0,58.0,4351.0,13.0,86.0,0.0,118.0,3455.0,33.0,3610.0,1535.0,99.0,10.0,1801.0,4127.0,106.0,6077.0,5986.0,63.0,122.0,6285.0,2070.0,165.0,8613.0,4510.0,181.0,59.0,4829.0,4755.0,150.0,9919.0,443.0,1247.0,3.0,1751.0,7264.0,169.0,9279.0,25.0,1903.0,0.0,1948.0,5097.0,168.0,7317.0,4.0,271.0,0.0,283.0,3067.0,137.0,3571.0,0.0,3.0,0.0,3.0,947.0,100.0,1098.0,12682.0,4368.0,319.0,17412.0,34964.0,1501.0,53897.0,53897.0
Essendon,0.0,22.0,0.0,25.0,1766.0,27.0,1883.0,0.0,11.0,0.0,21.0,2176.0,82.0,2326.0,458.0,39.0,0.0,607.0,5168.0,262.0,6033.0,2390.0,20.0,0.0,2446.0,2370.0,212.0,5123.0,1920.0,3.0,7.0,1993.0,2558.0,144.0,4622.0,300.0,125.0,0.0,539.0,3207.0,121.0,3899.0,17.0,393.0,0.0,452.0,2208.0,55.0,2758.0,0.0,68.0,0.0,78.0,1092.0,27.0,1301.0,0.0,0.0,0.0,0.0,420.0,18.0,501.0,5141.0,987.0,13.0,6172.0,20960.0,1361.0,28551.0,0.0,13.0,0.0,13.0,1622.0,34.0,1725.0,15.0,35.0,0.0,59.0,2318.0,64.0,2484.0,875.0,127.0,3.0,1038.0,5054.0,332.0,6484.0,2844.0,81.0,28.0,3027.0,2151.0,198.0,5396.0,1840.0,84.0,3.0,2005.0,2743.0,152.0,4964.0,122.0,549.0,0.0,750.0,3313.0,113.0,4140.0,0.0,614.0,0.0,677.0,2178.0,64.0,3019.0,0.0,66.0,0.0,71.0,1336.0,47.0,1605.0,0.0,0.0,0.0,0.0,880.0,35.0,960.0,5919.0,1973.0,89.0,7907.0,21467.0,1395.0,30871.0,0.0,90.0,0.0,88.0,3266.0,104.0,3547.0,17.0,67.0,0.0,108.0,4535.0,190.0,4944.0,1356.0,202.0,6.0,1696.0,10165.0,641.0,12453.0,5275.0,133.0,57.0,5495.0,4499.0,439.0,10516.0,3807.0,123.0,15.0,3988.0,5228.0,393.0,9596.0,504.0,689.0,0.0,1251.0,6513.0,314.0,8098.0,42.0,1142.0,0.0,1218.0,4338.0,222.0,5858.0,7.0,194.0,0.0,219.0,2508.0,96.0,2873.0,0.0,0.0,0.0,3.0,1319.0,85.0,1438.0,11057.0,2936.0,144.0,14166.0,42454.0,2830.0,59405.0,59405.0
Eureka,0.0,56.0,0.0,59.0,1960.0,94.0,2217.0,10.0,16.0,0.0,46.0,1869.0,66.0,2111.0,1273.0,43.0,3.0,1385.0,3116.0,234.0,4758.0,2722.0,26.0,0.0,2869.0,1614.0,166.0,4755.0,1613.0,67.0,4.0,1742.0,2727.0,238.0,4750.0,212.0,290.0,0.0,586.0,3572.0,170.0,4409.0,18.0,435.0,0.0,501.0,3198.0,190.0,3859.0,0.0,24.0,0.0,27.0,1596.0,121.0,1837.0,0.0,0.0,0.0,0.0,399.0,50.0,493.0,5991.0,1297.0,46.0,7393.0,20034.0,1776.0,29209.0,0.0,92.0,0.0,89.0,1768.0,120.0,2075.0,61.0,48.0,0.0,168.0,1661.0,74.0,2044.0,1896.0,188.0,34.0,2205.0,2468.0,221.0,4863.0,3291.0,94.0,98.0,3509.0,1261.0,194.0,5096.0,1588.0,236.0,12.0,1884.0,2851.0,202.0,4958.0,61.0,929.0,0.0,1032.0,3559.0,179.0,4793.0,5.0,750.0,0.0,779.0,3025.0,130.0,4064.0,0.0,39.0,0.0,45.0,1804.0,108.0,2031.0,0.0,0.0,0.0,0.0,823.0,66.0,947.0,6977.0,2729.0,273.0,9986.0,19129.0,1752.0,30854.0,5.0,193.0,0.0,187.0,3764.0,289.0,4332.0,134.0,117.0,0.0,319.0,3484.0,217.0,4095.0,3126.0,328.0,65.0,3631.0,5482.0,541.0,9653.0,5999.0,188.0,132.0,6387.0,2909.0,456.0,9782.0,3123.0,392.0,40.0,3591.0,5510.0,491.0,9637.0,351.0,1224.0,0.0,1592.0,7079.0,376.0,9216.0,54.0,1251.0,0.0,1315.0,6145.0,424.0,7909.0,3.0,107.0,0.0,124.0,3409.0,309.0,3920.0,0.0,0.0,0.0,0.0,1244.0,147.0,1455.0,12927.0,4028.0,358.0,17424.0,39196.0,3549.0,60071.0,60071.0
Euroa,4.0,19.0,0.0,33.0,1639.0,145.0,1916.0,7.0,25.0,0.0,60.0,1504.0,103.0,1750.0,951.0,46.0,3.0,1048.0,2013.0,347.0,3450.0,1604.0,14.0,13.0,1737.0,1270.0,322.0,3345.0,1062.0,65.0,4.0,1187.0,2557.0,393.0,4293.0,185.0,202.0,0.0,447.0,4107.0,463.0,5090.0,13.0,370.0,0.0,412.0,4067.0,369.0,4958.0,0.0,36.0,0.0,39.0,2310.0,194.0,2665.0,0.0,0.0,0.0,0.0,567.0,28.0,713.0,4022.0,1103.0,69.0,5259.0,20104.0,2767.0,28049.0,0.0,53.0,0.0,56.0,1313.0,136.0,1638.0,81.0,35.0,0.0,164.0,1068.0,101.0,1383.0,1376.0,78.0,30.0,1615.0,1484.0,211.0,3394.0,2031.0,68.0,63.0,2215.0,1006.0,241.0,3580.0,1008.0,255.0,19.0,1385.0,2664.0,313.0,4409.0,66.0,835.0,0.0,951.0,3899.0,365.0,5260.0,12.0,619.0,0.0,655.0,3692.0,290.0,4667.0,0.0,42.0,0.0,59.0,2261.0,226.0,2617.0,0.0,0.0,0.0,0.0,940.0,103.0,1155.0,4741.0,2237.0,182.0,7353.0,18370.0,2377.0,28113.0,8.0,118.0,0.0,150.0,2964.0,425.0,3534.0,176.0,97.0,0.0,278.0,2608.0,218.0,3160.0,2315.0,171.0,50.0,2614.0,3537.0,632.0,6838.0,3670.0,113.0,112.0,3969.0,2237.0,642.0,6852.0,2101.0,375.0,38.0,2594.0,5263.0,733.0,8587.0,330.0,1099.0,3.0,1447.0,7993.0,849.0,10328.0,63.0,1024.0,7.0,1123.0,7712.0,703.0,9607.0,0.0,122.0,0.0,139.0,4572.0,525.0,5310.0,0.0,3.0,0.0,3.0,1649.0,209.0,1928.0,8739.0,3450.0,336.0,12554.0,38485.0,5133.0,56152.0,56152.0
Evelyn,0.0,35.0,0.0,39.0,2053.0,48.0,2205.0,13.0,6.0,0.0,34.0,1925.0,35.0,2071.0,1390.0,52.0,11.0,1469.0,2944.0,145.0,4563.0,2780.0,33.0,30.0,2916.0,1489.0,112.0,4594.0,1509.0,48.0,5.0,1654.0,2571.0,109.0,4416.0,184.0,334.0,0.0,565.0,3334.0,69.0,4044.0,22.0,471.0,0.0,531.0,2496.0,61.0,3128.0,0.0,71.0,0.0,73.0,1549.0,49.0,1772.0,0.0,0.0,0.0,0.0,370.0,25.0,423.0,6028.0,1311.0,96.0,7545.0,18710.0,981.0,27149.0,0.0,107.0,0.0,114.0,1876.0,40.0,2097.0,33.0,53.0,0.0,134.0,1717.0,48.0,1999.0,1852.0,126.0,62.0,2197.0,2293.0,109.0,4571.0,3240.0,62.0,116.0,3494.0,1057.0,73.0,4680.0,1567.0,217.0,17.0,1850.0,2677.0,72.0,4758.0,69.0,995.0,6.0,1085.0,3085.0,72.0,4271.0,0.0,850.0,0.0,890.0,2562.0,57.0,3507.0,0.0,112.0,0.0,107.0,1698.0,54.0,1923.0,0.0,0.0,0.0,0.0,607.0,31.0,654.0,6864.0,2815.0,289.0,9997.0,17566.0,882.0,28429.0,0.0,192.0,0.0,201.0,3859.0,100.0,4301.0,88.0,117.0,0.0,251.0,3623.0,103.0,4009.0,3146.0,237.0,109.0,3565.0,5223.0,305.0,9085.0,6042.0,138.0,199.0,6450.0,2509.0,241.0,9284.0,3067.0,286.0,43.0,3515.0,5280.0,292.0,9066.0,305.0,1355.0,6.0,1736.0,6370.0,210.0,8390.0,44.0,1344.0,5.0,1406.0,4993.0,167.0,6613.0,0.0,204.0,0.0,208.0,3252.0,141.0,3681.0,0.0,0.0,0.0,0.0,1051.0,59.0,1138.0,12851.0,4123.0,450.0,17468.0,36208.0,1889.0,55674.0,55674.0
Footscray,0.0,13.0,0.0,17.0,1272.0,29.0,1381.0,0.0,3.0,0.0,9.0,2201.0,109.0,2355.0,727.0,48.0,0.0,829.0,6841.0,589.0,8253.0,2782.0,22.0,6.0,2862.0,3462.0,343.0,6763.0,1721.0,31.0,3.0,1761.0,2626.0,189.0,4750.0,253.0,78.0,0.0,403.0,2750.0,163.0,3358.0,10.0,155.0,0.0,197.0,1748.0,99.0,2092.0,0.0,21.0,0.0,24.0,877.0,70.0,1046.0,0.0,4.0,0.0,4.0,318.0,22.0,391.0,5567.0,630.0,19.0,6286.0,22190.0,1971.0,30516.0,0.0,26.0,0.0,36.0,1190.0,29.0,1333.0,3.0,40.0,0.0,58.0,2081.0,104.0,2350.0,1175.0,156.0,0.0,1383.0,6283.0,457.0,8222.0,3275.0,74.0,41.0,3526.0,2757.0,239.0,6563.0,1674.0,71.0,7.0,1845.0,2676.0,152.0,4722.0,66.0,316.0,0.0,429.0,2851.0,103.0,3526.0,3.0,309.0,0.0,325.0,1719.0,67.0,2173.0,0.0,18.0,0.0,20.0,1089.0,82.0,1273.0,0.0,0.0,0.0,3.0,583.0,123.0,710.0,6344.0,1386.0,95.0,7896.0,21277.0,1684.0,30888.0,0.0,57.0,0.0,73.0,2548.0,89.0,2801.0,9.0,91.0,0.0,99.0,4257.0,255.0,4721.0,1891.0,296.0,10.0,2267.0,13126.0,1082.0,16493.0,6021.0,163.0,93.0,6355.0,6203.0,629.0,13250.0,3434.0,146.0,34.0,3664.0,5339.0,429.0,9430.0,428.0,472.0,0.0,944.0,5669.0,313.0,6938.0,27.0,553.0,0.0,601.0,3501.0,215.0,4349.0,3.0,72.0,0.0,83.0,1953.0,164.0,2289.0,0.0,4.0,0.0,11.0,980.0,164.0,1186.0,11881.0,2076.0,179.0,14200.0,43556.0,3651.0,61378.0,61378.0
Frankston,0.0,34.0,0.0,44.0,1721.0,104.0,1951.0,16.0,28.0,0.0,49.0,1658.0,81.0,1831.0,952.0,70.0,6.0,1109.0,3121.0,344.0,4647.0,2125.0,30.0,37.0,2313.0,1809.0,251.0,4437.0,1383.0,27.0,3.0,1519.0,2553.0,332.0,4512.0,229.0,234.0,0.0,527.0,3207.0,246.0,4024.0,6.0,397.0,0.0,457.0,2570.0,139.0,3207.0,0.0,37.0,0.0,41.0,1674.0,135.0,1980.0,0.0,0.0,0.0,0.0,567.0,78.0,700.0,4924.0,1200.0,86.0,6258.0,18921.0,2095.0,27310.0,0.0,59.0,0.0,59.0,1497.0,96.0,1777.0,44.0,44.0,0.0,139.0,1567.0,87.0,1870.0,1526.0,134.0,34.0,1819.0,2634.0,287.0,4835.0,2831.0,49.0,126.0,3045.0,1385.0,248.0,4763.0,1435.0,184.0,11.0,1717.0,2681.0,267.0,4657.0,90.0,783.0,0.0,919.0,3122.0,153.0,4266.0,4.0,713.0,0.0,755.0,2709.0,135.0,3651.0,0.0,112.0,0.0,121.0,2042.0,179.0,2426.0,0.0,0.0,0.0,0.0,989.0,218.0,1240.0,5969.0,2365.0,242.0,8711.0,18619.0,2173.0,29365.0,0.0,130.0,0.0,144.0,3237.0,241.0,3670.0,100.0,95.0,0.0,254.0,3210.0,224.0,3746.0,2500.0,268.0,53.0,2942.0,5743.0,725.0,9449.0,4924.0,141.0,166.0,5338.0,3173.0,589.0,9208.0,2868.0,261.0,31.0,3217.0,5253.0,640.0,9101.0,383.0,1095.0,14.0,1447.0,6358.0,504.0,8332.0,29.0,1121.0,0.0,1244.0,5315.0,366.0,6920.0,0.0,164.0,0.0,184.0,3678.0,381.0,4367.0,0.0,4.0,0.0,4.0,1591.0,348.0,2006.0,10962.0,3534.0,349.0,14892.0,37566.0,4256.0,56692.0,56692.0
Geelong,0.0,29.0,0.0,29.0,1795.0,73.0,1938.0,19.0,23.0,0.0,54.0,2105.0,116.0,2356.0,1020.0,48.0,6.0,1146.0,3928.0,266.0,5349.0,2474.0,14.0,30.0,2580.0,1612.0,218.0,4429.0,1627.0,31.0,4.0,1741.0,2404.0,192.0,4435.0,186.0,251.0,0.0,551.0,3311.0,165.0,4069.0,8.0,404.0,0.0,448.0,2773.0,123.0,3441.0,0.0,55.0,0.0,56.0,1555.0,84.0,1844.0,0.0,0.0,0.0,0.0,492.0,70.0,609.0,5421.0,1224.0,51.0,6694.0,20107.0,1666.0,28489.0,0.0,53.0,0.0,60.0,1616.0,22.0,1866.0,36.0,67.0,0.0,172.0,1969.0,67.0,2306.0,1505.0,160.0,34.0,1798.0,3376.0,233.0,5461.0,2908.0,116.0,61.0,3158.0,1412.0,165.0,4838.0,1574.0,242.0,9.0,1912.0,2566.0,132.0,4697.0,70.0,822.0,0.0,970.0,3481.0,114.0,4544.0,3.0,795.0,0.0,828.0,2911.0,153.0,3891.0,0.0,72.0,0.0,76.0,2037.0,170.0,2398.0,0.0,0.0,0.0,0.0,918.0,166.0,1117.0,6214.0,2632.0,200.0,9115.0,20380.0,1671.0,31180.0,0.0,104.0,0.0,114.0,3363.0,142.0,3777.0,68.0,152.0,0.0,255.0,4160.0,239.0,4618.0,2509.0,258.0,65.0,2945.0,7315.0,515.0,10800.0,5397.0,194.0,107.0,5778.0,3066.0,454.0,9315.0,3181.0,324.0,19.0,3546.0,5073.0,361.0,9062.0,295.0,1144.0,0.0,1463.0,6788.0,346.0,8664.0,27.0,1238.0,0.0,1312.0,5707.0,359.0,7428.0,0.0,174.0,0.0,190.0,3611.0,331.0,4240.0,0.0,0.0,0.0,0.0,1440.0,290.0,1799.0,11568.0,3815.0,331.0,15844.0,40443.0,3353.0,59719.0,59719.0
Gippsland East,0.0,27.0,0.0,24.0,1422.0,144.0,1668.0,24.0,22.0,0.0,68.0,1109.0,75.0,1339.0,925.0,33.0,10.0,1016.0,1648.0,202.0,2887.0,1541.0,12.0,22.0,1609.0,1040.0,214.0,2898.0,914.0,53.0,0.0,1030.0,2082.0,267.0,3441.0,149.0,315.0,0.0,528.0,3937.0,344.0,4826.0,9.0,350.0,0.0,407.0,4706.0,362.0,5565.0,0.0,45.0,0.0,50.0,2623.0,199.0,2933.0,0.0,0.0,0.0,0.0,607.0,71.0,758.0,3717.0,1166.0,86.0,4956.0,19166.0,2327.0,26367.0,0.0,85.0,0.0,94.0,1234.0,109.0,1532.0,104.0,43.0,0.0,206.0,849.0,56.0,1215.0,1355.0,71.0,49.0,1587.0,1268.0,190.0,3186.0,1873.0,63.0,67.0,2089.0,837.0,201.0,3214.0,874.0,234.0,7.0,1215.0,2357.0,243.0,3887.0,41.0,795.0,0.0,893.0,3866.0,313.0,5198.0,10.0,602.0,0.0,604.0,4352.0,336.0,5295.0,0.0,34.0,0.0,44.0,2551.0,235.0,2963.0,0.0,0.0,0.0,0.0,800.0,161.0,1007.0,4354.0,2260.0,231.0,6959.0,18310.0,2270.0,27447.0,6.0,155.0,0.0,177.0,2601.0,316.0,3190.0,177.0,112.0,0.0,357.0,1950.0,161.0,2523.0,2289.0,133.0,103.0,2586.0,2951.0,446.0,6102.0,3352.0,118.0,142.0,3694.0,1937.0,477.0,6146.0,1768.0,360.0,13.0,2232.0,4492.0,568.0,7341.0,250.0,1141.0,10.0,1421.0,7826.0,678.0,9995.0,44.0,983.0,0.0,1041.0,9063.0,798.0,10860.0,0.0,139.0,0.0,167.0,5126.0,558.0,5857.0,0.0,0.0,0.0,0.0,1511.0,250.0,1791.0,8019.0,3455.0,380.0,11847.0,37457.0,4559.0,53831.0,53831.0
