district,Aust_BP_B_OS,Aust_BP_B_OS_pc,Aust_FO_B_OS,Aust_FO_B_OS_pc,Aust_MO_B_OS,Aust_MO_B_OS_pc,Aust_Both_parents_born_Aust,Aust_Both_parents_born_Aust_pc,Aust_Birthplace_not_stated,Aust_Birthplace_not_stated_pc,Aust_Tot_resp,Aust_Tot_resp_pc,Aust_Abor_BP_B_OS,Aust_Abor_BP_B_OS_pc,Aust_Abor_FO_B_OS,Aust_Abor_FO_B_OS_pc,Aust_Abor_MO_B_OS,Aust_Abor_MO_B_OS_pc,Aust_Abor_BP_B_Aus,Aust_Abor_BP_B_Aus_pc,Aust_Abor_BP_NS,Aust_Abor_BP_NS_pc,Aust_Abor_Tot_resp,Aust_Abor_Tot_resp_pc,Chinese_BP_B_OS,Chinese_BP_B_OS_pc,Chinese_FO_B_OS,Chinese_FO_B_OS_pc,Chinese_MO_B_OS,Chinese_MO_B_OS_pc,Chinese_BP_B_Aus,Chinese_BP_B_Aus_pc,Chinese_BP_NS,Chinese_BP_NS_pc,Chinese_Tot_resp,Chinese_Tot_resp_pc,Croatian_BP_B_OS,Croatian_BP_B_OS_pc,Croatian_FO_B_OS,Croatian_FO_B_OS_pc,Croatian_MO_B_OS,Croatian_MO_B_OS_pc,Croatian_BP_B_Aus,Croatian_BP_B_Aus_pc,Croatian_BP_NS,Croatian_BP_NS_pc,Croatian_Tot_resp,Croatian_Tot_resp_pc,Dutch_BP_B_OS,Dutch_BP_B_OS_pc,Dutch_FO_B_OS,Dutch_FO_B_OS_pc,Dutch_MO_B_OS,Dutch_MO_B_OS_pc,Dutch_BP_B_Aus,Dutch_BP_B_Aus_pc,Dutch_BP_NS,Dutch_BP_NS_pc,Dutch_Tot_resp,Dutch_Tot_resp_pc,English_BP_B_OS,English_BP_B_OS_pc,English_FO_B_OS,English_FO_B_OS_pc,English_MO_B_OS,English_MO_B_OS_pc,English_BP_B_Aus,English_BP_B_Aus_pc,English_BP_NS,English_BP_NS_pc,English_Tot_resp,English_Tot_resp_pc,Filipino_BP_B_OS,Filipino_BP_B_OS_pc,Filipino_FO_B_OS,Filipino_FO_B_OS_pc,Filipino_MO_B_OS,Filipino_MO_B_OS_pc,Filipino_BP_B_Aus,Filipino_BP_B_Aus_pc,Filipino_BP_NS,Filipino_BP_NS_pc,Filipino_Tot_resp,Filipino_Tot_resp_pc,French_BP_B_OS,French_BP_B_OS_pc,French_FO_B_OS,French_FO_B_OS_pc,French_MO_B_OS,French_MO_B_OS_pc,French_BP_B_Aus,French_BP_B_Aus_pc,French_BP_NS,French_BP_NS_pc,French_Tot_resp,French_Tot_resp_pc,German_BP_B_OS,German_BP_B_OS_pc,German_FO_B_OS,German_FO_B_OS_pc,German_MO_B_OS,German_MO_B_OS_pc,German_BP_B_Aus,German_BP_B_Aus_pc,German_BP_NS,German_BP_NS_pc,German_Tot_resp,German_Tot_resp_pc,Greek_BP_B_OS,Greek_BP_B_OS_pc,Greek_FO_B_OS,Greek_FO_B_OS_pc,Greek_MO_B_OS,Greek_MO_B_OS_pc,Greek_BP_B_Aus,Greek_BP_B_Aus_pc,Greek_BP_NS,Greek_BP_NS_pc,Greek_Tot_resp,Greek_Tot_resp_pc,Hungarian_BP_B_OS,Hungarian_BP_B_OS_pc,Hungarian_FO_B_OS,Hungarian_FO_B_OS_pc,Hungarian_MO_B_OS,Hungarian_MO_B_OS_pc,Hungarian_BP_B_Aus,Hungarian_BP_B_Aus_pc,Hungarian_BP_NS,Hungarian_BP_NS_pc,Hungarian_Tot_resp,Hungarian_Tot_resp_pc,Indian_BP_B_OS,Indian_BP_B_OS_pc,Indian_FO_B_OS,Indian_FO_B_OS_pc,Indian_MO_B_OS,Indian_MO_B_OS_pc,Indian_BP_B_Aus,Indian_BP_B_Aus_pc,Indian_BP_NS,Indian_BP_NS_pc,Indian_Tot_resp,Indian_Tot_resp_pc,Irish_BP_B_OS,Irish_BP_B_OS_pc,Irish_FO_B_OS,Irish_FO_B_OS_pc,Irish_MO_B_OS,Irish_MO_B_OS_pc,Irish_BP_B_Aus,Irish_BP_B_Aus_pc,Irish_BP_NS,Irish_BP_NS_pc,Irish_Tot_resp,Irish_Tot_resp_pc,Italian_BP_B_OS,Italian_BP_B_OS_pc,Italian_FO_B_OS,Italian_FO_B_OS_pc,Italian_MO_B_OS,Italian_MO_B_OS_pc,Italian_BP_B_Aus,Italian_BP_B_Aus_pc,Italian_BP_NS,Italian_BP_NS_pc,Italian_Tot_resp,Italian_Tot_resp_pc,Korean_BP_B_OS,Korean_BP_B_OS_pc,Korean_FO_B_OS,Korean_FO_B_OS_pc,Korean_MO_B_OS,Korean_MO_B_OS_pc,Korean_BP_B_Aus,Korean_BP_B_Aus_pc,Korean_BP_NS,Korean_BP_NS_pc,Korean_Tot_resp,Korean_Tot_resp_pc,Lebanese_BP_B_OS,Lebanese_BP_B_OS_pc,Lebanese_FO_B_OS,Lebanese_FO_B_OS_pc,Lebanese_MO_B_OS,Lebanese_MO_B_OS_pc,Lebanese_BP_B_Aus,Lebanese_BP_B_Aus_pc,Lebanese_BP_NS,Lebanese_BP_NS_pc,Lebanese_Tot_resp,Lebanese_Tot_resp_pc,Macedonian_BP_B_OS,Macedonian_BP_B_OS_pc,Macdonian_FO_B_OS,Macdonian_FO_B_OS_pc,Macdonian_MO_B_OS,Macdonian_MO_B_OS_pc,Macdonian_BP_B_Aus,Macdonian_BP_B_Aus_pc,Macdonian_BP_NS,Macdonian_BP_NS_pc,Macedonian_Tot_resp,Macedonian_Tot_resp_pc,Maltese_BP_B_OS,Maltese_BP_B_OS_pc,Maltese_FO_B_OS,Maltese_FO_B_OS_pc,Maltese_MO_B_OS,Maltese_MO_B_OS_pc,Maltese_BP_B_Aus,Maltese_BP_B_Aus_pc,Maltese_BP_NS,Maltese_BP_NS_pc,Maltese_Tot_resp,Maltese_Tot_resp_pc,Maori_BP_B_OS,Maori_BP_B_OS_pc,Maori_FO_B_OS,Maori_FO_B_OS_pc,Maori_MO_B_OS,Maori_MO_B_OS_pc,Maori_BP_B_Aus,Maori_BP_B_Aus_pc,Maori_BP_NS,Maori_BP_NS_pc,Maori_Tot_resp,Maori_Tot_resp_pc,NZ_BP_B_OS,NZ_BP_B_OS_pc,NZ_FO_B_OS,NZ_FO_B_OS_pc,NZ_MO_B_OS,NZ_MO_B_OS_pc,NZ_BP_B_Aus,NZ_BP_B_Aus_pc,NZ_BP_NS,NZ_BP_NS_pc,NZ_Tot_resp,NZ_Tot_resp_pc,Polish_BP_B_OS,Polish_BP_B_OS_pc,Polish_FO_B_OS,Polish_FO_B_OS_pc,Polish_MO_B_OS,Polish_MO_B_OS_pc,Polish_BP_B_Aus,Polish_BP_B_Aus_pc,Polish_BP_NS,Polish_BP_NS_pc,Polish_Tot_resp,Polish_Tot_resp_pc,Russian_BP_B_OS,Russian_BP_B_OS_pc,Russian_FO_B_OS,Russian_FO_B_OS_pc,Russian_MO_B_OS,Russian_MO_B_OS_pc,Russian_BP_B_Aus,Russian_BP_B_Aus_pc,Russian_BP_NS,Russian_BP_NS_pc,Russian_Tot_resp,Russian_Tot_resp_pc,Samoan_BP_B_OS,Samoan_BP_B_OS_pc,Samoan_FO_B_OS,Samoan_FO_B_OS_pc,Samoan_MO_B_OS,Samoan_MO_B_OS_pc,Samoan_BP_B_Aus,Samoan_BP_B_Aus_pc,Samoan_BP_NS,Samoan_BP_NS_pc,Samoan_Tot_resp,Samoan_Tot_resp_pc,Scottish_BP_B_OS,Scottish_BP_B_OS_pc,Scottish_FO_B_OS,Scottish_FO_B_OS_pc,Scottish_MO_B_OS,Scottish_MO_B_OS_pc,Scottish_BP_B_Aus,Scottish_BP_B_Aus_pc,Scottish_BP_NS,Scottish_BP_NS_pc,Scottish_Tot_resp,Scottish_Tot_resp_pc,Serbian_BP_B_OS,Serbian_BP_B_OS_pc,Serbian_FO_B_OS,Serbian_FO_B_OS_pc,Serbian_MO_B_OS,Serbian_MO_B_OS_pc,Serbian_BP_B_Aus,Serbian_BP_B_Aus_pc,Serbian_BP_NS,Serbian_BP_NS_pc,Serbian_Tot_resp,Serbian_Tot_resp_pc,Sth_African_BP_B_OS,Sth_African_BP_B_OS_pc,Sth_African_FO_B_OS,Sth_African_FO_B_OS_pc,Sth_African_MO_B_OS,Sth_African_MO_B_OS_pc,Sth_Afrcan_BP_B_Aus,Sth_Afrcan_BP_B_Aus_pc,Sth_African_BP_NS,Sth_African_BP_NS_pc,Sth_African_Tot_resp,Sth_African_Tot_resp_pc,Spanish_BP_B_OS,Spanish_BP_B_OS_pc,Spanish_FO_B_OS,Spanish_FO_B_OS_pc,Spanish_MO_B_OS,Spanish_MO_B_OS_pc,Spanish_BP_B_Aus,Spanish_BP_B_Aus_pc,Spanish_BP_NS,Spanish_BP_NS_pc,Spanish_Tot_resp,Spanish_Tot_resp_pc,Sri_Lankan_BP_B_OS,Sri_Lankan_BP_B_OS_pc,Sri_Lankan_FO_B_OS,Sri_Lankan_FO_B_OS_pc,Sri_Lankan_MO_B_OS,Sri_Lankan_MO_B_OS_pc,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_B_Aus_pc,Sri_Lankan_BP_NS,Sri_Lankan_BP_NS_pc,Sri_Lankan_Tot_resp,Sri_Lankan_Tot_resp_pc,Vietnamese_BP_B_OS,Vietnamese_BP_B_OS_pc,Vietnamese_FO_B_OS,Vietnamese_FO_B_OS_pc,Vietnamese_MO_B_OS,Vietnamese_MO_B_OS_pc,Vietnamese_BP_B_Aus,Vietnamese_BP_B_Aus_pc,Vietnamese_BP_NS,Vietnamese_BP_NS_pc,Vietnamese_Tot_resp,Vietnamese_Tot_resp_pc,Welsh_BP_B_OS,Welsh_BP_B_OS_pc,Welsh_FO_B_OS,Welsh_FO_B_OS_pc,Welsh_MO_B_OS,Welsh_MO_B_OS_pc,Welsh_BP_B_Aus,Welsh_BP_B_Aus_pc,Welsh_BP_NS,Welsh_BP_NS_pc,Welsh_Tot_resp,Welsh_Tot_resp_pc,Other_BP_B_OS,Other_BP_B_OS_pc,Other_FO_B_OS,Other_FO_B_OS_pc,Other_MO_B_OS,Other_MO_B_OS_pc,Other_BP_B_Aus,Other_BP_B_Aus_pc,Other_BP_NS,Other_BP_NS_pc,Other_Tot_resp,Other_Tot_resp_pc,Ancestry_NS_BP_B_OS,Ancestry_NS_BP_B_OS_pc,Ancestry_NS_FO_B_OS,Ancestry_NS_FO_B_OS_pc,Ancestry_NS_MO_B_OS,Ancestry_NS_MO_B_OS_pc,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_B_Aus_pc,Ancestry_NS_BP_NS,Ancestry_NS_BP_NS_pc,Ancestry_NS_Tot_resp,Ancestry_NS_Tot_resp_pc,Tot_P_BP_B_OS,Tot_P_BP_B_OS_pc,Tot_P_FO_B_OS,Tot_P_FO_B_OS_pc,Tot_P_MO_B_OS,Tot_P_MO_B_OS_pc,Tot_P_BP_B_Aus,Tot_P_BP_B_Aus_pc,Tot_P_BP_NS,Tot_P_BP_NS_pc,Tot_P_Tot_resp,Tot_P_Tot_resp_pc,Tot_P_Tot_resp_total
Albert Park,645.0,0.0087,2337.0,0.0316,1973.0,0.0266,9933.0,0.1341,92.0,0.0012,14981.0,0.2023,20.0,0.0003,18.0,0.0002,0.0,0.0,233.0,0.0031,3.0,0.0,274.0,0.0037,5808.0,0.0784,53.0,0.0007,127.0,0.0017,117.0,0.0016,9.0,0.0001,6114.0,0.0826,278.0,0.0038,30.0,0.0004,11.0,0.0001,66.0,0.0009,0.0,0.0,386.0,0.0052,515.0,0.007,96.0,0.0013,61.0,0.0008,261.0,0.0035,3.0,0.0,936.0,0.0126,6174.0,0.0834,2189.0,0.0296,1656.0,0.0224,11617.0,0.1569,87.0,0.0012,21723.0,0.2933,671.0,0.0091,5.0,0.0001,61.0,0.0008,13.0,0.0002,0.0,0.0,750.0,0.0101,652.0,0.0088,34.0,0.0005,27.0,0.0004,89.0,0.0012,0.0,0.0,802.0,0.0108,1019.0,0.0138,184.0,0.0025,135.0,0.0018,1249.0,0.0169,7.0,0.0001,2595.0,0.035,2053.0,0.0277,245.0,0.0033,123.0,0.0017,751.0,0.0101,0.0,0.0,3172.0,0.0428,168.0,0.0023,15.0,0.0002,0.0,0.0,15.0,0.0002,0.0,0.0,198.0,0.0027,2963.0,0.04,31.0,0.0004,3.0,0.0,15.0,0.0002,0.0,0.0,3012.0,0.0407,2352.0,0.0318,668.0,0.009,388.0,0.0052,5601.0,0.0756,24.0,0.0003,9033.0,0.122,1995.0,0.0269,490.0,0.0066,202.0,0.0027,1269.0,0.0171,4.0,0.0001,3960.0,0.0535,574.0,0.0078,3.0,0.0,16.0,0.0002,3.0,0.0,3.0,0.0,599.0,0.0081,128.0,0.0017,4.0,0.0001,4.0,0.0001,53.0,0.0007,0.0,0.0,189.0,0.0026,158.0,0.0021,21.0,0.0003,7.0,0.0001,33.0,0.0004,0.0,0.0,219.0,0.003,203.0,0.0027,41.0,0.0006,24.0,0.0003,119.0,0.0016,0.0,0.0,387.0,0.0052,172.0,0.0023,9.0,0.0001,7.0,0.0001,0.0,0.0,0.0,0.0,188.0,0.0025,374.0,0.005,58.0,0.0008,35.0,0.0005,16.0,0.0002,0.0,0.0,483.0,0.0065,609.0,0.0082,63.0,0.0009,39.0,0.0005,96.0,0.0013,0.0,0.0,808.0,0.0109,473.0,0.0064,12.0,0.0002,3.0,0.0,24.0,0.0003,5.0,0.0001,517.0,0.007,22.0,0.0003,10.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0004,1714.0,0.0231,571.0,0.0077,418.0,0.0056,4056.0,0.0548,0.0,0.0,6759.0,0.0913,221.0,0.003,18.0,0.0002,0.0,0.0,29.0,0.0004,0.0,0.0,268.0,0.0036,251.0,0.0034,13.0,0.0002,12.0,0.0002,0.0,0.0,0.0,0.0,277.0,0.0037,538.0,0.0073,19.0,0.0003,5.0,0.0001,23.0,0.0003,0.0,0.0,585.0,0.0079,198.0,0.0027,23.0,0.0003,10.0,0.0001,14.0,0.0002,0.0,0.0,245.0,0.0033,686.0,0.0093,0.0,0.0,11.0,0.0001,17.0,0.0002,0.0,0.0,714.0,0.0096,181.0,0.0024,34.0,0.0005,19.0,0.0003,147.0,0.002,0.0,0.0,381.0,0.0051,9776.0,0.132,729.0,0.0098,728.0,0.0098,920.0,0.0124,45.0,0.0006,12199.0,0.1647,406.0,0.0055,15.0,0.0002,13.0,0.0002,88.0,0.0012,4330.0,0.0585,4852.0,0.0655,35581.0,0.4804,5051.0,0.0682,3880.0,0.0524,24787.0,0.3347,4763.0,0.0643,74062.0,1.0,74062.0
Ashwood,709.0,0.0088,2232.0,0.0277,1851.0,0.023,11297.0,0.1403,67.0,0.0008,16156.0,0.2006,0.0,0.0,3.0,0.0,14.0,0.0002,131.0,0.0016,0.0,0.0,148.0,0.0018,16992.0,0.211,183.0,0.0023,364.0,0.0045,185.0,0.0023,72.0,0.0009,17795.0,0.221,200.0,0.0025,34.0,0.0004,16.0,0.0002,95.0,0.0012,0.0,0.0,345.0,0.0043,419.0,0.0052,97.0,0.0012,35.0,0.0004,198.0,0.0025,0.0,0.0,750.0,0.0093,3926.0,0.0488,1913.0,0.0238,1210.0,0.015,11250.0,0.1397,94.0,0.0012,18394.0,0.2284,517.0,0.0064,11.0,0.0001,56.0,0.0007,0.0,0.0,0.0,0.0,585.0,0.0073,234.0,0.0029,19.0,0.0002,9.0,0.0001,89.0,0.0011,0.0,0.0,351.0,0.0044,695.0,0.0086,166.0,0.0021,119.0,0.0015,1065.0,0.0132,6.0,0.0001,2051.0,0.0255,2643.0,0.0328,288.0,0.0036,112.0,0.0014,1054.0,0.0131,5.0,0.0001,4102.0,0.0509,202.0,0.0025,12.0,0.0001,16.0,0.0002,71.0,0.0009,0.0,0.0,301.0,0.0037,4479.0,0.0556,74.0,0.0009,62.0,0.0008,28.0,0.0003,0.0,0.0,4643.0,0.0577,929.0,0.0115,469.0,0.0058,277.0,0.0034,4684.0,0.0582,10.0,0.0001,6368.0,0.0791,1569.0,0.0195,348.0,0.0043,150.0,0.0019,1424.0,0.0177,4.0,0.0,3495.0,0.0434,901.0,0.0112,4.0,0.0,39.0,0.0005,0.0,0.0,0.0,0.0,944.0,0.0117,84.0,0.001,18.0,0.0002,6.0,0.0001,38.0,0.0005,0.0,0.0,146.0,0.0018,66.0,0.0008,7.0,0.0001,6.0,0.0001,40.0,0.0005,0.0,0.0,119.0,0.0015,80.0,0.001,30.0,0.0004,12.0,0.0001,102.0,0.0013,0.0,0.0,225.0,0.0028,94.0,0.0012,9.0,0.0001,20.0,0.0002,3.0,0.0,0.0,0.0,126.0,0.0016,161.0,0.002,41.0,0.0005,36.0,0.0004,13.0,0.0002,0.0,0.0,251.0,0.0031,528.0,0.0066,69.0,0.0009,40.0,0.0005,135.0,0.0017,0.0,0.0,771.0,0.0096,261.0,0.0032,6.0,0.0001,6.0,0.0001,17.0,0.0002,3.0,0.0,293.0,0.0036,11.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0001,939.0,0.0117,440.0,0.0055,297.0,0.0037,3920.0,0.0487,3.0,0.0,5599.0,0.0695,127.0,0.0016,11.0,0.0001,6.0,0.0001,28.0,0.0003,0.0,0.0,172.0,0.0021,249.0,0.0031,51.0,0.0006,16.0,0.0002,16.0,0.0002,0.0,0.0,332.0,0.0041,132.0,0.0016,7.0,0.0001,8.0,0.0001,24.0,0.0003,0.0,0.0,171.0,0.0021,1473.0,0.0183,65.0,0.0008,46.0,0.0006,25.0,0.0003,8.0,0.0001,1618.0,0.0201,1141.0,0.0142,23.0,0.0003,55.0,0.0007,35.0,0.0004,0.0,0.0,1254.0,0.0156,71.0,0.0009,0.0,0.0,3.0,0.0,81.0,0.001,0.0,0.0,155.0,0.0019,8924.0,0.1108,772.0,0.0096,637.0,0.0079,820.0,0.0102,29.0,0.0004,11181.0,0.1388,398.0,0.0049,12.0,0.0001,28.0,0.0003,67.0,0.0008,2455.0,0.0305,2960.0,0.0368,44266.0,0.5497,4616.0,0.0573,3566.0,0.0443,25138.0,0.3122,2942.0,0.0365,80529.0,1.0,80529.0
Bass,568.0,0.0086,2617.0,0.0398,1911.0,0.029,19759.0,0.3002,317.0,0.0048,25172.0,0.3824,0.0,0.0,0.0,0.0,7.0,0.0001,635.0,0.0096,0.0,0.0,642.0,0.0098,398.0,0.006,3.0,0.0,18.0,0.0003,94.0,0.0014,0.0,0.0,513.0,0.0078,85.0,0.0013,6.0,0.0001,0.0,0.0,49.0,0.0007,0.0,0.0,140.0,0.0021,822.0,0.0125,231.0,0.0035,163.0,0.0025,623.0,0.0095,0.0,0.0,1838.0,0.0279,4886.0,0.0742,2318.0,0.0352,1855.0,0.0282,17278.0,0.2625,327.0,0.005,26664.0,0.405,440.0,0.0067,14.0,0.0002,33.0,0.0005,7.0,0.0001,0.0,0.0,494.0,0.0075,129.0,0.002,9.0,0.0001,7.0,0.0001,61.0,0.0009,3.0,0.0,209.0,0.0032,626.0,0.0095,180.0,0.0027,97.0,0.0015,1335.0,0.0203,4.0,0.0001,2243.0,0.0341,274.0,0.0042,26.0,0.0004,24.0,0.0004,133.0,0.002,0.0,0.0,457.0,0.0069,70.0,0.0011,6.0,0.0001,7.0,0.0001,56.0,0.0009,0.0,0.0,139.0,0.0021,1251.0,0.019,33.0,0.0005,4.0,0.0001,35.0,0.0005,0.0,0.0,1323.0,0.0201,961.0,0.0146,469.0,0.0071,304.0,0.0046,5236.0,0.0795,42.0,0.0006,7011.0,0.1065,1063.0,0.0161,292.0,0.0044,129.0,0.002,1494.0,0.0227,15.0,0.0002,2993.0,0.0455,42.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0006,24.0,0.0004,6.0,0.0001,7.0,0.0001,10.0,0.0002,0.0,0.0,47.0,0.0007,19.0,0.0003,0.0,0.0,0.0,0.0,31.0,0.0005,0.0,0.0,50.0,0.0008,154.0,0.0023,42.0,0.0006,8.0,0.0001,108.0,0.0016,0.0,0.0,312.0,0.0047,126.0,0.0019,24.0,0.0004,23.0,0.0003,9.0,0.0001,0.0,0.0,182.0,0.0028,160.0,0.0024,106.0,0.0016,39.0,0.0006,38.0,0.0006,0.0,0.0,343.0,0.0052,189.0,0.0029,26.0,0.0004,12.0,0.0002,55.0,0.0008,0.0,0.0,282.0,0.0043,40.0,0.0006,6.0,0.0001,3.0,0.0,6.0,0.0001,0.0,0.0,55.0,0.0008,89.0,0.0014,10.0,0.0002,2.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0015,1171.0,0.0178,560.0,0.0085,410.0,0.0062,4802.0,0.0729,47.0,0.0007,6989.0,0.1062,73.0,0.0011,8.0,0.0001,0.0,0.0,27.0,0.0004,0.0,0.0,108.0,0.0016,90.0,0.0014,23.0,0.0003,21.0,0.0003,0.0,0.0,0.0,0.0,134.0,0.002,84.0,0.0013,9.0,0.0001,8.0,0.0001,6.0,0.0001,0.0,0.0,107.0,0.0016,236.0,0.0036,11.0,0.0002,10.0,0.0002,21.0,0.0003,0.0,0.0,278.0,0.0042,69.0,0.001,3.0,0.0,4.0,0.0001,0.0,0.0,0.0,0.0,76.0,0.0012,147.0,0.0022,10.0,0.0002,8.0,0.0001,143.0,0.0022,0.0,0.0,308.0,0.0047,3515.0,0.0534,425.0,0.0065,274.0,0.0042,697.0,0.0106,10.0,0.0002,4920.0,0.0747,172.0,0.0026,11.0,0.0002,12.0,0.0002,466.0,0.0071,3640.0,0.0553,4302.0,0.0654,15329.0,0.2329,4696.0,0.0713,3405.0,0.0517,37940.0,0.5763,4459.0,0.0677,65830.0,1.0,65830.0
Bayswater,741.0,0.0102,2606.0,0.0357,1987.0,0.0273,15600.0,0.214,116.0,0.0016,21050.0,0.2887,3.0,0.0,33.0,0.0005,15.0,0.0002,477.0,0.0065,0.0,0.0,528.0,0.0072,8820.0,0.121,74.0,0.001,178.0,0.0024,152.0,0.0021,6.0,0.0001,9229.0,0.1266,166.0,0.0023,18.0,0.0002,11.0,0.0002,42.0,0.0006,0.0,0.0,237.0,0.0033,779.0,0.0107,196.0,0.0027,139.0,0.0019,562.0,0.0077,0.0,0.0,1675.0,0.023,4568.0,0.0627,2355.0,0.0323,1790.0,0.0246,14103.0,0.1934,109.0,0.0015,22924.0,0.3144,961.0,0.0132,26.0,0.0004,79.0,0.0011,10.0,0.0001,0.0,0.0,1076.0,0.0148,127.0,0.0017,11.0,0.0002,0.0,0.0,79.0,0.0011,0.0,0.0,217.0,0.003,1074.0,0.0147,277.0,0.0038,120.0,0.0016,1401.0,0.0192,34.0,0.0005,2907.0,0.0399,529.0,0.0073,85.0,0.0012,65.0,0.0009,366.0,0.005,4.0,0.0001,1049.0,0.0144,245.0,0.0034,17.0,0.0002,27.0,0.0004,36.0,0.0005,4.0,0.0001,329.0,0.0045,2824.0,0.0387,20.0,0.0003,31.0,0.0004,28.0,0.0004,0.0,0.0,2903.0,0.0398,962.0,0.0132,401.0,0.0055,299.0,0.0041,4430.0,0.0608,0.0,0.0,6092.0,0.0836,1055.0,0.0145,332.0,0.0046,129.0,0.0018,1251.0,0.0172,10.0,0.0001,2777.0,0.0381,457.0,0.0063,0.0,0.0,8.0,0.0001,3.0,0.0,0.0,0.0,468.0,0.0064,66.0,0.0009,11.0,0.0002,10.0,0.0001,28.0,0.0004,0.0,0.0,115.0,0.0016,27.0,0.0004,3.0,0.0,3.0,0.0,18.0,0.0002,0.0,0.0,51.0,0.0007,74.0,0.001,31.0,0.0004,31.0,0.0004,103.0,0.0014,0.0,0.0,239.0,0.0033,148.0,0.002,17.0,0.0002,17.0,0.0002,12.0,0.0002,0.0,0.0,194.0,0.0027,173.0,0.0024,69.0,0.0009,80.0,0.0011,41.0,0.0006,0.0,0.0,363.0,0.005,388.0,0.0053,28.0,0.0004,16.0,0.0002,99.0,0.0014,3.0,0.0,534.0,0.0073,146.0,0.002,0.0,0.0,4.0,0.0001,3.0,0.0,0.0,0.0,153.0,0.0021,72.0,0.001,0.0,0.0,17.0,0.0002,0.0,0.0,0.0,0.0,89.0,0.0012,1035.0,0.0142,541.0,0.0074,414.0,0.0057,4132.0,0.0567,6.0,0.0001,6128.0,0.084,150.0,0.0021,17.0,0.0002,11.0,0.0002,3.0,0.0,0.0,0.0,181.0,0.0025,241.0,0.0033,36.0,0.0005,51.0,0.0007,17.0,0.0002,0.0,0.0,345.0,0.0047,132.0,0.0018,3.0,0.0,7.0,0.0001,18.0,0.0002,0.0,0.0,160.0,0.0022,882.0,0.0121,28.0,0.0004,35.0,0.0005,29.0,0.0004,0.0,0.0,974.0,0.0134,612.0,0.0084,18.0,0.0002,25.0,0.0003,3.0,0.0,0.0,0.0,658.0,0.009,109.0,0.0015,9.0,0.0001,17.0,0.0002,144.0,0.002,0.0,0.0,279.0,0.0038,6715.0,0.0921,610.0,0.0084,542.0,0.0074,829.0,0.0114,16.0,0.0002,8712.0,0.1195,321.0,0.0044,15.0,0.0002,0.0,0.0,244.0,0.0033,2654.0,0.0364,3234.0,0.0444,30392.0,0.4168,4884.0,0.067,3776.0,0.0518,30782.0,0.4222,3076.0,0.0422,72910.0,1.0,72910.0
