district,Num_MVs_per_dweling_0_MVs_pc,Num_MVs_per_dweling_1_MVs_pc,Num_MVs_per_dweling_2_MVs_pc,Num_MVs_per_dweling_3_MVs_pc,Num_MVs_per_dweling_4mo_MVs_pc,Num_MVs_per_dweling_Tot_pc,Num_MVs_NS_pc,Total_dwelings_pc,Total_dwelings_total
Northcote,0.1278,0.4884,0.2844,0.0605,0.026,0.9913,0.0062,1.0,27780.0
Oakleigh,0.1079,0.4384,0.3244,0.0775,0.0372,0.9882,0.0109,1.0,34198.0
Ovens Valley,0.0439,0.3259,0.3768,0.1384,0.091,0.9757,0.023,1.0,24857.0
Pakenham,0.0277,0.3344,0.43,0.1277,0.0697,0.989,0.0116,1.0,25841.0
Pascoe Vale,0.1053,0.4553,0.3119,0.0789,0.0385,0.9873,0.01,1.0,26910.0
Point Cook,0.0308,0.348,0.4357,0.1173,0.0533,0.9864,0.0103,1.0,29916.0
Polwarth,0.0317,0.2989,0.4103,0.1454,0.0926,0.9843,0.0149,1.0,26271.0
Prahran,0.2458,0.5541,0.159,0.0225,0.0086,0.9889,0.0121,1.0,37345.0
Preston,0.1149,0.4483,0.2999,0.079,0.0393,0.982,0.017,1.0,29346.0
Richmond,0.2119,0.5363,0.196,0.0346,0.0099,0.9875,0.012,1.0,31081.0
Ringwood,0.0627,0.4055,0.3834,0.0916,0.0466,0.9882,0.012,1.0,30367.0
Ripon,0.0381,0.2964,0.3689,0.1627,0.1178,0.9847,0.017,1.0,26559.0
Rowville,0.0272,0.26,0.4394,0.1631,0.0978,0.9913,0.0062,1.0,24388.0
Sandringham,0.058,0.3953,0.3943,0.0964,0.045,0.9903,0.0067,1.0,24859.0
Shepparton,0.0492,0.3269,0.3667,0.148,0.0892,0.978,0.0211,1.0,27320.0
South Barwon,0.032,0.3102,0.4475,0.1289,0.0706,0.9905,0.0076,1.0,26029.0
South-West Coast,0.0465,0.3256,0.3856,0.1403,0.0868,0.9834,0.0145,1.0,27297.0
St Albans,0.08,0.3466,0.3432,0.1386,0.0692,0.9767,0.0203,1.0,23972.0
Sunbury,0.0404,0.3196,0.406,0.1417,0.0828,0.9889,0.0091,1.0,23342.0
Sydenham,0.0261,0.2485,0.4135,0.1765,0.1169,0.988,0.01,1.0,23912.0
Tarneit,0.0347,0.3358,0.416,0.1264,0.0685,0.9843,0.0145,1.0,28016.0
Thomastown,0.064,0.3524,0.3922,0.117,0.0549,0.9829,0.0128,1.0,25777.0
Warrandyte,0.0269,0.2735,0.4349,0.1528,0.1046,0.9889,0.0064,1.0,25092.0
Wendouree,0.0697,0.398,0.3621,0.1052,0.0495,0.9867,0.0137,1.0,27646.0
Werribee,0.0509,0.3823,0.3815,0.1112,0.0562,0.9858,0.0127,1.0,28184.0
Williamstown,0.0778,0.4035,0.3786,0.0886,0.0406,0.9888,0.0102,1.0,25272.0
Yan Yean,0.0151,0.2714,0.4594,0.149,0.0902,0.9877,0.0096,1.0,23336.0
