district,census_variable,value
Albert Park,M_0_149_CFNC_n,28.0
Ashwood,M_0_149_CFNC_n,87.0
Bass,M_0_149_CFNC_n,44.0
Bayswater,M_0_149_CFNC_n,35.0
Bellarine,M_0_149_CFNC_n,67.0
Benambra,M_0_149_CFNC_n,47.0
Bendigo East,M_0_149_CFNC_n,39.0
Bendigo West,M_0_149_CFNC_n,40.0
Bentleigh,M_0_149_CFNC_n,42.0
Berwick,M_0_149_CFNC_n,38.0
Box Hill,M_0_149_CFNC_n,28.0
Brighton,M_0_149_CFNC_n,61.0
Broadmeadows,M_0_149_CFNC_n,26.0
Brunswick,M_0_149_CFNC_n,45.0
Bulleen,M_0_149_CFNC_n,77.0
Bundoora,M_0_149_CFNC_n,49.0
Carrum,M_0_149_CFNC_n,30.0
Caulfield,M_0_149_CFNC_n,58.0
Clarinda,M_0_149_CFNC_n,43.0
Cranbourne,M_0_149_CFNC_n,22.0
Croydon,M_0_149_CFNC_n,77.0
Dandenong,M_0_149_CFNC_n,22.0
Eildon,M_0_149_CFNC_n,63.0
Eltham,M_0_149_CFNC_n,34.0
Essendon,M_0_149_CFNC_n,32.0
Eureka,M_0_149_CFNC_n,56.0
Euroa,M_0_149_CFNC_n,47.0
Evelyn,M_0_149_CFNC_n,68.0
Footscray,M_0_149_CFNC_n,32.0
Frankston,M_0_149_CFNC_n,29.0
Geelong,M_0_149_CFNC_n,45.0
Gippsland East,M_0_149_CFNC_n,51.0
Gippsland South,M_0_149_CFNC_n,78.0
Glen Waverley,M_0_149_CFNC_n,96.0
Greenvale,M_0_149_CFNC_n,29.0
Hastings,M_0_149_CFNC_n,54.0
Hawthorn,M_0_149_CFNC_n,38.0
Ivanhoe,M_0_149_CFNC_n,16.0
Kalkallo,M_0_149_CFNC_n,39.0
Kew,M_0_149_CFNC_n,88.0
Kororoit,M_0_149_CFNC_n,30.0
Lara,M_0_149_CFNC_n,26.0
Laverton,M_0_149_CFNC_n,18.0
Lowan,M_0_149_CFNC_n,74.0
Macedon,M_0_149_CFNC_n,56.0
Malvern,M_0_149_CFNC_n,67.0
Melbourne,M_0_149_CFNC_n,48.0
Melton,M_0_149_CFNC_n,25.0
Mildura,M_0_149_CFNC_n,57.0
Mill Park,M_0_149_CFNC_n,44.0
Monbulk,M_0_149_CFNC_n,65.0
Mordialloc,M_0_149_CFNC_n,78.0
Mornington,M_0_149_CFNC_n,98.0
Morwell,M_0_149_CFNC_n,80.0
Mulgrave,M_0_149_CFNC_n,48.0
Murray Plains,M_0_149_CFNC_n,33.0
Narracan,M_0_149_CFNC_n,33.0
Narre Warren North,M_0_149_CFNC_n,74.0
Narre Warren South,M_0_149_CFNC_n,47.0
Nepean,M_0_149_CFNC_n,102.0
Niddrie,M_0_149_CFNC_n,50.0
Northcote,M_0_149_CFNC_n,51.0
Oakleigh,M_0_149_CFNC_n,33.0
Ovens Valley,M_0_149_CFNC_n,50.0
Pakenham,M_0_149_CFNC_n,39.0
Pascoe Vale,M_0_149_CFNC_n,22.0
Point Cook,M_0_149_CFNC_n,55.0
Polwarth,M_0_149_CFNC_n,51.0
