district,Neg_Nil_inc_cpl_fam_no_child_n,Neg_Nil_inc_cpl_fam_wth_chld_n,Neg_Nil_inc_One_parent_fam_n,Neg_Nil_inc_Other_fam_n,Neg_Nil_inc_Tot_n,FI_1_149_cpl_fam_no_child_n,FI_1_149_cpl_fam_with_child_n,FI_1_149_One_parent_fam_n,FI_1_149_Other_fam_n,FI_1_149_Tot_n,FI_150_299_cpl_fam_no_child_n,FI_150_299_cpl_fam_with_child_n,FI_150_299_One_parent_fam_n,FI_150_299_Other_fam_n,FI_150_299_Tot_n,FI_300_399_cpl_fam_no_child_n,FI_300_399_cpl_fam_with_child_n,FI_300_399_One_parent_fam_n,FI_300_399_Other_fam_n,FI_300_399_Tot_n,FI_400_499_cpl_fam_no_child_n,FI_400_499_cpl_fam_with_child_n,FI_400_499_One_parent_fam_n,FI_400_499_Other_fam_n,FI_400_499_Tot_n,FI_500_649_cpl_fam_no_child_n,FI_500_649_cpl_fam_with_child_n,FI_500_649_One_parent_fam_n,FI_500_649_Other_fam_n,FI_500_649_Tot_n,FI_650_799_cpl_fam_no_child_n,FI_650_799_cpl_fam_with_child_n,FI_650_799_One_parent_fam_n,FI_650_799_Other_fam_n,FI_650_799_Tot_n,FI_800_999_cpl_fam_no_child_n,FI_800_999_cpl_fam_wth_chld_n,FI_800_999_One_parent_fam_n,FI_800_999_Other_fam_n,FI_800_999_Tot_n,FI_1000_1249_cpl_fam_no_child_n,FI_1000_1249_cpl_fam_wth_chld_n,FI_1000_1249_One_parent_fam_n,FI_1000_1249_Other_fam_n,FI_1000_1249_Tot_n,FI_1250_1499_cpl_fam_no_child_n,FI_1250_1499_cpl_fam_wth_chld_n,FI_1250_1499_One_parent_fam_n,FI_1250_1499_Other_fam_n,FI_1250_1499_Tot_n,FI_1500_1749_cpl_fam_no_child_n,FI_1500_1749_cpl_fam_wth_chld_n,FI_1500_1749_One_parent_fam_n,FI_1500_1749_Other_fam_n,FI_1500_1749_Tot_n,FI_1750_1999_cpl_fam_no_child_n,FI_1750_1999_cpl_fam_wth_chld_n,FI_1750_1999_One_parent_fam_n,FI_1750_1999_Other_fam_n,FI_1750_1999_Tot_n,FI_2000_2499_cpl_fam_no_child_n,FI_2000_2499_cpl_fam_wth_chld_n,FI_2000_2499_One_parent_fam_n,FI_2000_2499_Other_fam_n,FI_2000_2499_Tot_n,FI_2500_2999_cpl_fam_no_child_n,FI_2500_2999_cpl_fam_wth_chld_n,FI_2500_2999_One_parent_fam_n,FI_2500_2999_Other_fam_n,FI_2500_2999_Tot_n,FI_3000_3499_cpl_fam_no_child_n,FI_3000_3499_cpl_fam_wth_chld_n,FI_3000_3499_One_parent_fam_n,FI_3000_3499_Other_fam_n,FI_3000_3499_Tot_n,FI_3500_3999_cpl_fam_no_child_n,FI_3500_3999_cpl_fam_wth_chld_n,FI_3500_3999_One_parent_fam_n,FI_3500_3999_Other_fam_n,FI_3500_3999_Tot_n,FI_4000_more_cpl_fam_no_child_n,FI_4000_more_cpl_fam_wth_chld_n,FI_4000_more_One_parent_fam_n,FI_4000_more_Other_fam_n,FI_4000_more_Tot_n,Prt_inc_std_cpl_fam_no_child_n,Part_inc_std_cpl_fam_wth_chld_n,Part_inc_statd_One_parent_fam_n,Partial_income_statd_Othr_fam_n,Partial_income_stated_Tot_n,All_inc_ns_cpl_fam_no_child_n,All_inc_ns_cpl_fam_wth_chld_n,All_incomes_ns_One_parent_fam_n,All_incomes_ns_Other_fam_n,All_incomes_ns_Tot_n,Tot_cpl_fam_no_child_n,Tot_cpl_fam_wth_chld_n,Tot_One_parent_fam_n,Tot_Other_fam_n,Tot_Tot_n,Tot_Tot_total
Richmond,24.0,3.0,20.0,3.0,95.0,4.0,0.0,13.0,0.0,31.0,0.0,0.0,46.0,0.0,69.0,0.0,3.0,70.0,0.0,90.0,36.0,26.0,96.0,0.0,212.0,35.0,13.0,94.0,3.0,207.0,173.0,27.0,97.0,0.0,430.0,155.0,74.0,155.0,20.0,451.0,207.0,55.0,118.0,4.0,482.0,293.0,90.0,55.0,17.0,578.0,196.0,76.0,65.0,7.0,454.0,307.0,82.0,66.0,6.0,535.0,1003.0,271.0,145.0,31.0,1592.0,983.0,251.0,36.0,8.0,1452.0,1027.0,331.0,41.0,11.0,1487.0,794.0,272.0,8.0,0.0,1168.0,2845.0,2049.0,95.0,16.0,5171.0,214.0,175.0,110.0,0.0,651.0,8.0,9.0,15.0,0.0,48.0,8863.0,4333.0,1963.0,479.0,15707.0,15707.0
Ringwood,207.0,10.0,31.0,0.0,326.0,24.0,9.0,8.0,0.0,80.0,19.0,0.0,3.0,0.0,63.0,14.0,0.0,20.0,0.0,69.0,102.0,11.0,36.0,0.0,268.0,72.0,16.0,72.0,0.0,278.0,532.0,78.0,142.0,0.0,893.0,514.0,157.0,200.0,0.0,970.0,621.0,226.0,339.0,10.0,1296.0,684.0,341.0,267.0,23.0,1542.0,331.0,386.0,187.0,22.0,1080.0,429.0,454.0,142.0,3.0,1156.0,948.0,1225.0,253.0,23.0,2613.0,725.0,1196.0,94.0,0.0,2138.0,558.0,1270.0,40.0,0.0,2001.0,375.0,924.0,6.0,0.0,1426.0,892.0,3020.0,55.0,5.0,4048.0,156.0,510.0,181.0,3.0,980.0,26.0,9.0,15.0,0.0,117.0,7699.0,10537.0,3087.0,297.0,21698.0,21698.0
Ripon,79.0,5.0,9.0,0.0,122.0,44.0,0.0,0.0,0.0,58.0,11.0,3.0,12.0,0.0,44.0,4.0,0.0,38.0,0.0,66.0,235.0,7.0,65.0,0.0,435.0,124.0,13.0,190.0,0.0,457.0,1309.0,71.0,221.0,3.0,1709.0,789.0,90.0,299.0,7.0,1364.0,754.0,283.0,316.0,3.0,1525.0,803.0,462.0,225.0,0.0,1688.0,383.0,437.0,125.0,0.0,1083.0,496.0,502.0,92.0,4.0,1262.0,934.0,1183.0,82.0,3.0,2353.0,556.0,863.0,27.0,0.0,1534.0,297.0,619.0,9.0,0.0,1048.0,83.0,366.0,0.0,0.0,530.0,297.0,773.0,3.0,0.0,1153.0,335.0,567.0,166.0,3.0,1206.0,169.0,42.0,13.0,0.0,334.0,8385.0,6920.0,2795.0,154.0,18323.0,18323.0
Rowville,237.0,3.0,19.0,0.0,350.0,21.0,0.0,0.0,0.0,38.0,22.0,3.0,0.0,0.0,64.0,7.0,5.0,9.0,0.0,64.0,106.0,8.0,29.0,0.0,236.0,54.0,34.0,93.0,0.0,280.0,718.0,66.0,86.0,0.0,967.0,492.0,122.0,140.0,3.0,855.0,518.0,282.0,199.0,13.0,1129.0,573.0,400.0,233.0,6.0,1393.0,296.0,468.0,163.0,0.0,1032.0,338.0,568.0,112.0,0.0,1170.0,762.0,1408.0,239.0,8.0,2526.0,528.0,1355.0,134.0,0.0,2210.0,390.0,1366.0,35.0,0.0,1930.0,192.0,910.0,42.0,0.0,1259.0,516.0,2792.0,51.0,4.0,3492.0,152.0,521.0,90.0,0.0,937.0,35.0,12.0,7.0,0.0,135.0,6776.0,10932.0,2556.0,140.0,20497.0,20497.0
Sandringham,56.0,11.0,15.0,0.0,138.0,24.0,0.0,0.0,0.0,33.0,9.0,0.0,6.0,0.0,27.0,11.0,0.0,12.0,0.0,42.0,68.0,6.0,31.0,0.0,165.0,19.0,0.0,40.0,0.0,156.0,306.0,10.0,56.0,0.0,550.0,268.0,26.0,151.0,0.0,571.0,487.0,28.0,204.0,0.0,826.0,567.0,107.0,126.0,15.0,883.0,286.0,101.0,122.0,3.0,643.0,379.0,143.0,100.0,0.0,725.0,737.0,606.0,225.0,0.0,1649.0,650.0,568.0,47.0,6.0,1407.0,553.0,778.0,66.0,3.0,1498.0,379.0,575.0,11.0,5.0,1087.0,1370.0,4295.0,143.0,0.0,5882.0,184.0,512.0,137.0,0.0,962.0,34.0,7.0,2.0,0.0,100.0,6930.0,8213.0,2217.0,139.0,17486.0,17486.0
Shepparton,103.0,23.0,9.0,0.0,244.0,43.0,0.0,0.0,0.0,56.0,9.0,0.0,4.0,0.0,44.0,4.0,0.0,59.0,0.0,75.0,121.0,18.0,140.0,0.0,419.0,86.0,30.0,241.0,4.0,456.0,1010.0,107.0,297.0,0.0,1550.0,597.0,174.0,367.0,21.0,1325.0,617.0,305.0,414.0,3.0,1537.0,831.0,536.0,289.0,15.0,1744.0,365.0,565.0,145.0,6.0,1193.0,482.0,596.0,108.0,4.0,1339.0,940.0,1238.0,201.0,6.0,2496.0,580.0,981.0,60.0,0.0,1705.0,296.0,677.0,21.0,0.0,1138.0,112.0,443.0,3.0,0.0,660.0,329.0,862.0,0.0,0.0,1336.0,257.0,515.0,178.0,0.0,1115.0,136.0,39.0,47.0,0.0,384.0,7770.0,7743.0,3398.0,209.0,19115.0,19115.0
South Barwon,47.0,3.0,4.0,0.0,93.0,18.0,6.0,3.0,0.0,42.0,12.0,4.0,7.0,0.0,32.0,17.0,0.0,1.0,0.0,14.0,103.0,0.0,37.0,0.0,201.0,65.0,8.0,112.0,0.0,272.0,632.0,24.0,130.0,0.0,896.0,491.0,63.0,220.0,6.0,961.0,531.0,155.0,279.0,4.0,1082.0,626.0,391.0,252.0,3.0,1400.0,346.0,379.0,176.0,0.0,1065.0,436.0,511.0,126.0,4.0,1190.0,1000.0,1439.0,262.0,6.0,2839.0,811.0,1345.0,86.0,0.0,2285.0,542.0,1234.0,44.0,0.0,1925.0,272.0,845.0,7.0,0.0,1106.0,554.0,1825.0,41.0,0.0,2522.0,189.0,467.0,98.0,4.0,929.0,61.0,17.0,0.0,0.0,104.0,7431.0,9027.0,2601.0,208.0,19323.0,19323.0
South-West Coast,77.0,0.0,0.0,0.0,153.0,21.0,0.0,0.0,0.0,25.0,5.0,0.0,0.0,0.0,30.0,4.0,0.0,35.0,0.0,66.0,173.0,3.0,109.0,5.0,381.0,107.0,11.0,186.0,0.0,383.0,955.0,27.0,227.0,0.0,1340.0,716.0,66.0,346.0,10.0,1308.0,755.0,210.0,300.0,7.0,1393.0,844.0,475.0,247.0,3.0,1697.0,414.0,408.0,158.0,6.0,1147.0,485.0,458.0,129.0,0.0,1271.0,1126.0,1272.0,143.0,0.0,2525.0,676.0,974.0,57.0,0.0,1813.0,456.0,725.0,19.0,0.0,1225.0,138.0,448.0,0.0,0.0,684.0,436.0,953.0,13.0,0.0,1501.0,251.0,636.0,127.0,0.0,1178.0,103.0,37.0,30.0,3.0,237.0,8399.0,7228.0,2975.0,217.0,18875.0,18875.0
St Albans,323.0,68.0,146.0,0.0,655.0,18.0,4.0,3.0,0.0,74.0,23.0,13.0,76.0,0.0,204.0,22.0,3.0,128.0,0.0,263.0,250.0,75.0,156.0,3.0,605.0,84.0,101.0,221.0,0.0,555.0,1007.0,232.0,293.0,0.0,1643.0,446.0,469.0,425.0,21.0,1531.0,386.0,630.0,341.0,11.0,1541.0,458.0,728.0,409.0,9.0,1672.0,180.0,648.0,257.0,5.0,1229.0,206.0,608.0,171.0,23.0,1155.0,526.0,1185.0,299.0,29.0,2129.0,238.0,988.0,140.0,0.0,1480.0,176.0,586.0,57.0,5.0,969.0,78.0,354.0,30.0,0.0,614.0,155.0,820.0,38.0,5.0,1088.0,153.0,503.0,191.0,12.0,936.0,98.0,22.0,40.0,0.0,283.0,5700.0,8514.0,4294.0,478.0,18979.0,18979.0
Sunbury,94.0,4.0,19.0,0.0,160.0,22.0,0.0,0.0,0.0,30.0,10.0,0.0,18.0,0.0,41.0,0.0,4.0,9.0,0.0,50.0,124.0,3.0,44.0,0.0,250.0,61.0,13.0,133.0,0.0,329.0,651.0,69.0,166.0,0.0,977.0,453.0,105.0,254.0,0.0,973.0,414.0,199.0,336.0,5.0,1082.0,461.0,429.0,275.0,7.0,1305.0,290.0,449.0,233.0,0.0,1113.0,351.0,465.0,186.0,4.0,1167.0,884.0,1403.0,284.0,12.0,2616.0,661.0,1240.0,117.0,3.0,2097.0,480.0,937.0,57.0,0.0,1574.0,237.0,592.0,10.0,0.0,968.0,418.0,1303.0,17.0,0.0,1807.0,104.0,492.0,146.0,0.0,871.0,21.0,29.0,24.0,0.0,150.0,6286.0,8140.0,3051.0,242.0,17838.0,17838.0
Sydenham,157.0,47.0,33.0,0.0,319.0,27.0,0.0,0.0,0.0,53.0,3.0,0.0,14.0,0.0,39.0,0.0,3.0,25.0,3.0,75.0,121.0,25.0,42.0,0.0,292.0,54.0,24.0,141.0,0.0,345.0,667.0,146.0,167.0,3.0,1101.0,297.0,198.0,220.0,12.0,890.0,275.0,436.0,233.0,0.0,1133.0,375.0,709.0,294.0,6.0,1415.0,194.0,597.0,191.0,4.0,1150.0,262.0,753.0,156.0,6.0,1330.0,677.0,1811.0,367.0,16.0,2949.0,521.0,1684.0,104.0,4.0,2346.0,303.0,1369.0,92.0,7.0,1931.0,138.0,1047.0,10.0,0.0,1239.0,312.0,2302.0,66.0,4.0,2756.0,65.0,719.0,127.0,0.0,1098.0,50.0,80.0,12.0,0.0,218.0,5265.0,12366.0,3191.0,198.0,21121.0,21121.0
