district,Neg_Nil_inc_cpl_fam_no_child_n,Neg_Nil_inc_cpl_fam_wth_chld_n,Neg_Nil_inc_One_parent_fam_n,Neg_Nil_inc_Other_fam_n,Neg_Nil_inc_Tot_n,FI_1_149_cpl_fam_no_child_n,FI_1_149_cpl_fam_with_child_n,FI_1_149_One_parent_fam_n,FI_1_149_Other_fam_n,FI_1_149_Tot_n,FI_150_299_cpl_fam_no_child_n,FI_150_299_cpl_fam_with_child_n,FI_150_299_One_parent_fam_n,FI_150_299_Other_fam_n,FI_150_299_Tot_n,FI_300_399_cpl_fam_no_child_n,FI_300_399_cpl_fam_with_child_n,FI_300_399_One_parent_fam_n,FI_300_399_Other_fam_n,FI_300_399_Tot_n,FI_400_499_cpl_fam_no_child_n,FI_400_499_cpl_fam_with_child_n,FI_400_499_One_parent_fam_n,FI_400_499_Other_fam_n,FI_400_499_Tot_n,FI_500_649_cpl_fam_no_child_n,FI_500_649_cpl_fam_with_child_n,FI_500_649_One_parent_fam_n,FI_500_649_Other_fam_n,FI_500_649_Tot_n,FI_650_799_cpl_fam_no_child_n,FI_650_799_cpl_fam_with_child_n,FI_650_799_One_parent_fam_n,FI_650_799_Other_fam_n,FI_650_799_Tot_n,FI_800_999_cpl_fam_no_child_n,FI_800_999_cpl_fam_wth_chld_n,FI_800_999_One_parent_fam_n,FI_800_999_Other_fam_n,FI_800_999_Tot_n,FI_1000_1249_cpl_fam_no_child_n,FI_1000_1249_cpl_fam_wth_chld_n,FI_1000_1249_One_parent_fam_n,FI_1000_1249_Other_fam_n,FI_1000_1249_Tot_n,FI_1250_1499_cpl_fam_no_child_n,FI_1250_1499_cpl_fam_wth_chld_n,FI_1250_1499_One_parent_fam_n,FI_1250_1499_Other_fam_n,FI_1250_1499_Tot_n,FI_1500_1749_cpl_fam_no_child_n,FI_1500_1749_cpl_fam_wth_chld_n,FI_1500_1749_One_parent_fam_n,FI_1500_1749_Other_fam_n,FI_1500_1749_Tot_n,FI_1750_1999_cpl_fam_no_child_n,FI_1750_1999_cpl_fam_wth_chld_n,FI_1750_1999_One_parent_fam_n,FI_1750_1999_Other_fam_n,FI_1750_1999_Tot_n,FI_2000_2499_cpl_fam_no_child_n,FI_2000_2499_cpl_fam_wth_chld_n,FI_2000_2499_One_parent_fam_n,FI_2000_2499_Other_fam_n,FI_2000_2499_Tot_n,FI_2500_2999_cpl_fam_no_child_n,FI_2500_2999_cpl_fam_wth_chld_n,FI_2500_2999_One_parent_fam_n,FI_2500_2999_Other_fam_n,FI_2500_2999_Tot_n,FI_3000_3499_cpl_fam_no_child_n,FI_3000_3499_cpl_fam_wth_chld_n,FI_3000_3499_One_parent_fam_n,FI_3000_3499_Other_fam_n,FI_3000_3499_Tot_n,FI_3500_3999_cpl_fam_no_child_n,FI_3500_3999_cpl_fam_wth_chld_n,FI_3500_3999_One_parent_fam_n,FI_3500_3999_Other_fam_n,FI_3500_3999_Tot_n,FI_4000_more_cpl_fam_no_child_n,FI_4000_more_cpl_fam_wth_chld_n,FI_4000_more_One_parent_fam_n,FI_4000_more_Other_fam_n,FI_4000_more_Tot_n,Prt_inc_std_cpl_fam_no_child_n,Part_inc_std_cpl_fam_wth_chld_n,Part_inc_statd_One_parent_fam_n,Partial_income_statd_Othr_fam_n,Partial_income_stated_Tot_n,All_inc_ns_cpl_fam_no_child_n,All_inc_ns_cpl_fam_wth_chld_n,All_incomes_ns_One_parent_fam_n,All_incomes_ns_Other_fam_n,All_incomes_ns_Tot_n,Tot_cpl_fam_no_child_n,Tot_cpl_fam_wth_chld_n,Tot_One_parent_fam_n,Tot_Other_fam_n,Tot_Tot_n,Tot_Tot_total
Albert Park,103.0,9.0,29.0,0.0,241.0,5.0,0.0,4.0,0.0,28.0,4.0,0.0,4.0,3.0,34.0,0.0,0.0,17.0,0.0,35.0,45.0,3.0,42.0,0.0,134.0,31.0,8.0,62.0,0.0,154.0,265.0,7.0,80.0,0.0,442.0,243.0,24.0,91.0,16.0,485.0,398.0,56.0,109.0,17.0,727.0,579.0,65.0,115.0,10.0,929.0,300.0,94.0,79.0,9.0,654.0,493.0,89.0,84.0,7.0,828.0,1254.0,398.0,208.0,30.0,2007.0,1039.0,316.0,34.0,21.0,1536.0,990.0,383.0,31.0,3.0,1534.0,796.0,331.0,3.0,8.0,1142.0,2729.0,2700.0,171.0,6.0,5726.0,350.0,264.0,112.0,0.0,878.0,53.0,0.0,4.0,0.0,79.0,10074.0,5392.0,2064.0,429.0,18010.0,18010.0
Ashwood,215.0,15.0,62.0,4.0,413.0,41.0,7.0,10.0,3.0,89.0,16.0,6.0,17.0,0.0,85.0,3.0,0.0,43.0,0.0,76.0,150.0,6.0,48.0,0.0,309.0,106.0,25.0,103.0,0.0,273.0,566.0,35.0,86.0,0.0,827.0,310.0,78.0,191.0,3.0,805.0,482.0,204.0,207.0,11.0,1057.0,601.0,330.0,174.0,10.0,1254.0,245.0,347.0,156.0,11.0,947.0,331.0,393.0,103.0,3.0,1016.0,793.0,995.0,303.0,23.0,2178.0,548.0,983.0,98.0,8.0,1747.0,480.0,1085.0,60.0,0.0,1762.0,277.0,824.0,11.0,0.0,1240.0,996.0,4710.0,150.0,10.0,5908.0,174.0,687.0,137.0,0.0,1101.0,39.0,39.0,4.0,0.0,136.0,7249.0,11251.0,2885.0,404.0,21812.0,21812.0
Bass,171.0,15.0,14.0,0.0,242.0,44.0,0.0,9.0,0.0,76.0,33.0,4.0,12.0,0.0,73.0,17.0,0.0,27.0,0.0,82.0,240.0,6.0,72.0,0.0,378.0,136.0,16.0,158.0,0.0,370.0,1006.0,49.0,246.0,0.0,1379.0,701.0,103.0,288.0,3.0,1154.0,769.0,290.0,224.0,3.0,1471.0,777.0,498.0,222.0,5.0,1567.0,386.0,508.0,113.0,0.0,1086.0,529.0,595.0,68.0,0.0,1254.0,966.0,1194.0,131.0,7.0,2431.0,615.0,964.0,49.0,0.0,1714.0,351.0,701.0,27.0,0.0,1125.0,173.0,392.0,6.0,0.0,642.0,348.0,777.0,17.0,0.0,1265.0,259.0,522.0,139.0,0.0,1040.0,151.0,26.0,22.0,0.0,266.0,8261.0,7097.0,2475.0,116.0,18073.0,18073.0
Bayswater,174.0,8.0,18.0,0.0,310.0,33.0,0.0,0.0,0.0,63.0,3.0,3.0,6.0,0.0,48.0,14.0,0.0,28.0,0.0,74.0,146.0,5.0,97.0,0.0,324.0,109.0,16.0,122.0,0.0,358.0,773.0,64.0,249.0,4.0,1221.0,537.0,147.0,269.0,3.0,1124.0,550.0,298.0,394.0,3.0,1400.0,682.0,555.0,330.0,22.0,1656.0,367.0,513.0,264.0,0.0,1310.0,382.0,653.0,196.0,7.0,1333.0,1021.0,1525.0,366.0,13.0,2920.0,646.0,1363.0,125.0,0.0,2213.0,460.0,1173.0,50.0,3.0,1782.0,226.0,683.0,18.0,0.0,1047.0,391.0,1382.0,39.0,0.0,1885.0,157.0,490.0,178.0,0.0,1017.0,66.0,15.0,12.0,0.0,182.0,7390.0,9223.0,3562.0,264.0,20479.0,20479.0
Bellarine,149.0,0.0,0.0,0.0,194.0,59.0,0.0,0.0,0.0,88.0,35.0,0.0,0.0,0.0,39.0,8.0,0.0,10.0,0.0,37.0,245.0,0.0,17.0,0.0,360.0,161.0,6.0,125.0,5.0,408.0,1106.0,35.0,142.0,0.0,1336.0,799.0,69.0,239.0,0.0,1245.0,944.0,141.0,261.0,0.0,1481.0,994.0,245.0,238.0,4.0,1627.0,415.0,387.0,176.0,4.0,1121.0,501.0,373.0,96.0,0.0,1075.0,1011.0,1109.0,235.0,3.0,2505.0,710.0,1047.0,55.0,0.0,1934.0,464.0,927.0,10.0,0.0,1492.0,283.0,578.0,0.0,0.0,966.0,758.0,1408.0,23.0,0.0,2292.0,366.0,558.0,179.0,0.0,1171.0,121.0,21.0,3.0,0.0,199.0,9566.0,7521.0,2579.0,130.0,19867.0,19867.0
Benambra,47.0,0.0,5.0,0.0,73.0,19.0,4.0,0.0,0.0,42.0,0.0,0.0,13.0,0.0,33.0,0.0,0.0,34.0,0.0,53.0,137.0,8.0,78.0,0.0,306.0,61.0,7.0,195.0,3.0,349.0,851.0,20.0,279.0,0.0,1201.0,600.0,49.0,288.0,13.0,1080.0,642.0,170.0,327.0,0.0,1305.0,788.0,402.0,313.0,10.0,1578.0,441.0,439.0,154.0,3.0,1093.0,538.0,463.0,135.0,4.0,1214.0,1147.0,1273.0,211.0,8.0,2756.0,658.0,1031.0,23.0,4.0,1805.0,394.0,754.0,18.0,0.0,1184.0,170.0,522.0,4.0,0.0,763.0,381.0,866.0,9.0,0.0,1321.0,283.0,551.0,157.0,6.0,1081.0,88.0,15.0,36.0,0.0,195.0,7847.0,7104.0,2958.0,187.0,18096.0,18096.0
Bendigo East,51.0,0.0,15.0,0.0,98.0,16.0,0.0,0.0,0.0,16.0,0.0,4.0,12.0,0.0,35.0,0.0,0.0,35.0,0.0,38.0,127.0,0.0,96.0,0.0,306.0,77.0,4.0,231.0,0.0,393.0,884.0,33.0,245.0,0.0,1311.0,631.0,90.0,364.0,3.0,1177.0,652.0,191.0,353.0,18.0,1369.0,783.0,426.0,313.0,7.0,1657.0,421.0,425.0,243.0,0.0,1229.0,427.0,562.0,163.0,0.0,1285.0,1034.0,1315.0,269.0,7.0,2677.0,692.0,1175.0,46.0,5.0,1919.0,432.0,962.0,15.0,0.0,1476.0,179.0,563.0,7.0,0.0,866.0,381.0,1242.0,7.0,0.0,1735.0,234.0,534.0,127.0,0.0,1049.0,61.0,17.0,7.0,0.0,175.0,7668.0,8025.0,3337.0,235.0,19253.0,19253.0
Bendigo West,33.0,6.0,0.0,0.0,76.0,21.0,0.0,0.0,0.0,54.0,17.0,0.0,0.0,0.0,30.0,3.0,0.0,62.0,0.0,81.0,112.0,0.0,120.0,0.0,330.0,125.0,6.0,228.0,0.0,443.0,942.0,35.0,273.0,0.0,1314.0,582.0,128.0,385.0,9.0,1217.0,680.0,240.0,329.0,7.0,1317.0,704.0,396.0,290.0,10.0,1555.0,395.0,402.0,178.0,7.0,1047.0,400.0,407.0,100.0,5.0,1061.0,884.0,1066.0,213.0,0.0,2250.0,540.0,863.0,42.0,3.0,1537.0,370.0,648.0,23.0,0.0,1121.0,146.0,354.0,11.0,0.0,569.0,364.0,689.0,3.0,0.0,1105.0,221.0,430.0,206.0,0.0,970.0,104.0,15.0,27.0,0.0,229.0,7214.0,6105.0,3118.0,250.0,16763.0,16763.0
Bentleigh,137.0,4.0,66.0,0.0,296.0,32.0,0.0,13.0,0.0,60.0,21.0,3.0,35.0,0.0,91.0,0.0,0.0,28.0,0.0,37.0,90.0,14.0,26.0,0.0,202.0,56.0,10.0,67.0,0.0,249.0,553.0,38.0,122.0,0.0,832.0,320.0,95.0,257.0,11.0,819.0,431.0,162.0,236.0,8.0,985.0,531.0,315.0,238.0,7.0,1303.0,243.0,316.0,238.0,0.0,936.0,303.0,367.0,141.0,0.0,905.0,672.0,1044.0,416.0,9.0,2258.0,612.0,1116.0,103.0,5.0,1944.0,483.0,1227.0,96.0,0.0,1897.0,339.0,918.0,0.0,0.0,1413.0,979.0,4198.0,147.0,0.0,5410.0,117.0,576.0,101.0,0.0,943.0,30.0,23.0,7.0,0.0,133.0,6726.0,11000.0,3271.0,249.0,21232.0,21232.0
Berwick,175.0,3.0,4.0,0.0,311.0,14.0,6.0,0.0,0.0,31.0,11.0,0.0,7.0,0.0,41.0,13.0,3.0,19.0,0.0,52.0,56.0,0.0,48.0,0.0,170.0,55.0,20.0,95.0,0.0,252.0,448.0,121.0,126.0,0.0,851.0,312.0,157.0,157.0,3.0,787.0,416.0,393.0,194.0,5.0,1145.0,452.0,675.0,182.0,0.0,1539.0,246.0,699.0,182.0,4.0,1260.0,303.0,845.0,112.0,6.0,1342.0,866.0,2056.0,248.0,6.0,3278.0,581.0,1858.0,82.0,9.0,2664.0,429.0,1607.0,72.0,0.0,2177.0,210.0,998.0,0.0,0.0,1337.0,513.0,2652.0,42.0,0.0,3308.0,157.0,686.0,85.0,0.0,1062.0,62.0,34.0,0.0,0.0,172.0,6138.0,13254.0,2516.0,180.0,22108.0,22108.0
Box Hill,304.0,16.0,137.0,6.0,627.0,71.0,3.0,3.0,0.0,122.0,47.0,3.0,29.0,0.0,143.0,22.0,0.0,47.0,0.0,125.0,177.0,16.0,77.0,5.0,372.0,138.0,30.0,130.0,12.0,452.0,676.0,128.0,118.0,5.0,1023.0,534.0,148.0,166.0,16.0,997.0,547.0,240.0,255.0,14.0,1197.0,705.0,382.0,219.0,34.0,1480.0,389.0,404.0,131.0,31.0,1098.0,446.0,360.0,158.0,0.0,1129.0,899.0,1033.0,380.0,47.0,2428.0,642.0,958.0,140.0,7.0,1822.0,505.0,1077.0,62.0,3.0,1695.0,294.0,812.0,7.0,4.0,1262.0,915.0,3654.0,114.0,0.0,4729.0,204.0,566.0,146.0,0.0,1037.0,58.0,0.0,3.0,0.0,115.0,8226.0,10258.0,3285.0,503.0,22196.0,22196.0
Brighton,55.0,15.0,36.0,0.0,191.0,10.0,0.0,12.0,0.0,23.0,6.0,0.0,7.0,0.0,41.0,0.0,0.0,3.0,0.0,14.0,40.0,6.0,9.0,0.0,101.0,27.0,7.0,40.0,0.0,133.0,219.0,12.0,59.0,0.0,407.0,166.0,25.0,83.0,0.0,386.0,266.0,35.0,111.0,0.0,584.0,403.0,79.0,124.0,0.0,779.0,232.0,107.0,127.0,0.0,556.0,305.0,88.0,98.0,3.0,639.0,732.0,422.0,234.0,22.0,1515.0,657.0,427.0,54.0,6.0,1283.0,526.0,554.0,89.0,3.0,1273.0,365.0,458.0,16.0,0.0,906.0,1866.0,4898.0,287.0,0.0,7081.0,182.0,566.0,151.0,0.0,1012.0,14.0,13.0,3.0,0.0,151.0,6815.0,8205.0,2253.0,166.0,17473.0,17473.0
Broadmeadows,80.0,74.0,57.0,0.0,347.0,29.0,6.0,4.0,0.0,70.0,0.0,29.0,35.0,0.0,105.0,5.0,24.0,93.0,0.0,166.0,154.0,93.0,122.0,0.0,548.0,66.0,161.0,178.0,0.0,582.0,896.0,345.0,255.0,4.0,1561.0,396.0,458.0,392.0,28.0,1419.0,407.0,645.0,383.0,25.0,1685.0,469.0,807.0,306.0,20.0,1738.0,239.0,609.0,194.0,10.0,1188.0,279.0,607.0,130.0,14.0,1261.0,722.0,1279.0,287.0,22.0,2351.0,520.0,851.0,143.0,15.0,1629.0,389.0,723.0,33.0,13.0,1210.0,246.0,406.0,10.0,3.0,733.0,368.0,1003.0,21.0,0.0,1497.0,158.0,447.0,172.0,3.0,928.0,69.0,79.0,52.0,3.0,319.0,6259.0,9178.0,3768.0,514.0,19832.0,19832.0
Brunswick,27.0,6.0,0.0,0.0,86.0,0.0,3.0,0.0,0.0,15.0,0.0,0.0,9.0,0.0,13.0,0.0,0.0,14.0,0.0,34.0,56.0,6.0,46.0,4.0,146.0,7.0,7.0,33.0,3.0,105.0,387.0,12.0,75.0,3.0,564.0,215.0,47.0,120.0,11.0,486.0,233.0,58.0,120.0,3.0,584.0,476.0,101.0,114.0,5.0,823.0,265.0,93.0,82.0,4.0,657.0,365.0,61.0,55.0,11.0,701.0,1023.0,459.0,227.0,9.0,1804.0,951.0,415.0,38.0,34.0,1547.0,922.0,561.0,21.0,0.0,1574.0,754.0,403.0,8.0,9.0,1145.0,1881.0,2530.0,72.0,14.0,4516.0,196.0,187.0,74.0,0.0,641.0,11.0,10.0,0.0,0.0,47.0,8214.0,5446.0,1831.0,461.0,16047.0,16047.0
Bulleen,334.0,27.0,85.0,0.0,630.0,108.0,3.0,9.0,0.0,161.0,26.0,4.0,3.0,0.0,89.0,6.0,7.0,20.0,0.0,78.0,240.0,21.0,44.0,0.0,511.0,117.0,55.0,106.0,4.0,383.0,909.0,91.0,107.0,0.0,1239.0,578.0,170.0,152.0,4.0,1078.0,551.0,306.0,283.0,10.0,1277.0,637.0,386.0,220.0,11.0,1438.0,313.0,380.0,135.0,5.0,1054.0,389.0,475.0,121.0,6.0,1152.0,845.0,1067.0,281.0,8.0,2371.0,576.0,969.0,138.0,17.0,1779.0,383.0,942.0,69.0,0.0,1571.0,241.0,713.0,0.0,0.0,1100.0,877.0,2969.0,102.0,0.0,3998.0,201.0,615.0,102.0,0.0,1033.0,98.0,30.0,0.0,0.0,215.0,8193.0,9987.0,3031.0,302.0,21572.0,21572.0
Bundoora,137.0,7.0,16.0,5.0,259.0,26.0,5.0,0.0,0.0,41.0,11.0,3.0,7.0,0.0,57.0,6.0,3.0,17.0,0.0,61.0,173.0,20.0,35.0,0.0,306.0,114.0,25.0,120.0,0.0,327.0,685.0,57.0,176.0,10.0,1088.0,451.0,136.0,216.0,4.0,967.0,500.0,296.0,234.0,14.0,1172.0,641.0,362.0,242.0,6.0,1324.0,295.0,388.0,187.0,3.0,1026.0,280.0,468.0,158.0,13.0,1053.0,744.0,1141.0,352.0,20.0,2233.0,618.0,1089.0,114.0,6.0,1957.0,413.0,1094.0,37.0,0.0,1694.0,258.0,747.0,18.0,0.0,1092.0,505.0,2034.0,50.0,0.0,2674.0,113.0,394.0,141.0,0.0,864.0,52.0,26.0,9.0,0.0,175.0,6736.0,8875.0,2936.0,309.0,18905.0,18905.0
Carrum,118.0,7.0,27.0,0.0,232.0,19.0,5.0,0.0,0.0,39.0,18.0,0.0,7.0,0.0,47.0,7.0,6.0,11.0,0.0,26.0,70.0,16.0,72.0,0.0,247.0,48.0,14.0,162.0,0.0,315.0,560.0,35.0,247.0,3.0,955.0,383.0,110.0,300.0,0.0,940.0,455.0,265.0,421.0,0.0,1216.0,513.0,437.0,354.0,11.0,1413.0,329.0,520.0,270.0,3.0,1265.0,343.0,651.0,191.0,0.0,1301.0,937.0,1569.0,420.0,3.0,3029.0,817.0,1493.0,125.0,6.0,2521.0,575.0,1181.0,44.0,0.0,1905.0,283.0,707.0,10.0,0.0,1108.0,602.0,1651.0,53.0,0.0,2392.0,121.0,572.0,196.0,0.0,1034.0,58.0,43.0,20.0,0.0,234.0,6911.0,9848.0,3565.0,202.0,20504.0,20504.0
Caulfield,60.0,6.0,16.0,4.0,180.0,14.0,3.0,0.0,0.0,25.0,14.0,0.0,15.0,0.0,45.0,0.0,0.0,3.0,0.0,20.0,85.0,7.0,20.0,0.0,191.0,22.0,23.0,50.0,0.0,150.0,299.0,13.0,67.0,0.0,516.0,224.0,59.0,103.0,9.0,533.0,317.0,105.0,124.0,3.0,744.0,421.0,169.0,76.0,3.0,844.0,280.0,143.0,97.0,0.0,654.0,308.0,170.0,80.0,0.0,763.0,1011.0,577.0,231.0,5.0,1945.0,795.0,567.0,25.0,10.0,1550.0,713.0,642.0,39.0,8.0,1510.0,491.0,479.0,3.0,5.0,1066.0,1683.0,3768.0,147.0,0.0,5604.0,183.0,447.0,112.0,0.0,905.0,70.0,77.0,16.0,0.0,191.0,7696.0,7763.0,2096.0,288.0,17935.0,17935.0
Clarinda,236.0,29.0,67.0,4.0,452.0,19.0,4.0,6.0,0.0,54.0,7.0,6.0,20.0,0.0,81.0,3.0,8.0,44.0,0.0,121.0,163.0,17.0,74.0,0.0,367.0,99.0,52.0,117.0,0.0,372.0,895.0,149.0,213.0,5.0,1332.0,543.0,240.0,239.0,24.0,1165.0,498.0,466.0,315.0,6.0,1396.0,559.0,534.0,302.0,26.0,1574.0,269.0,560.0,216.0,17.0,1228.0,346.0,628.0,184.0,8.0,1250.0,685.0,1415.0,324.0,24.0,2501.0,413.0,1184.0,137.0,6.0,1871.0,330.0,930.0,57.0,0.0,1502.0,173.0,719.0,13.0,0.0,971.0,302.0,1804.0,39.0,0.0,2288.0,137.0,552.0,157.0,0.0,910.0,79.0,47.0,4.0,0.0,223.0,6489.0,9735.0,3406.0,342.0,19914.0,19914.0
Cranbourne,150.0,15.0,49.0,0.0,334.0,3.0,0.0,3.0,0.0,25.0,24.0,6.0,3.0,0.0,57.0,0.0,0.0,6.0,0.0,19.0,93.0,24.0,106.0,0.0,286.0,40.0,35.0,242.0,0.0,416.0,615.0,129.0,256.0,0.0,1133.0,384.0,356.0,388.0,9.0,1255.0,397.0,613.0,347.0,3.0,1502.0,458.0,1041.0,341.0,10.0,2031.0,332.0,1016.0,248.0,3.0,1718.0,413.0,1028.0,205.0,0.0,1786.0,1091.0,2476.0,319.0,13.0,3979.0,661.0,1730.0,90.0,7.0,2607.0,333.0,1179.0,52.0,0.0,1739.0,179.0,617.0,0.0,0.0,873.0,169.0,1015.0,15.0,0.0,1300.0,173.0,680.0,174.0,3.0,1208.0,42.0,48.0,27.0,0.0,179.0,6319.0,12696.0,3606.0,291.0,23058.0,23058.0
Croydon,98.0,19.0,14.0,0.0,228.0,26.0,0.0,4.0,0.0,37.0,3.0,0.0,0.0,0.0,36.0,7.0,0.0,11.0,0.0,51.0,85.0,0.0,75.0,0.0,225.0,66.0,17.0,138.0,0.0,326.0,637.0,71.0,197.0,0.0,1068.0,542.0,97.0,372.0,0.0,1085.0,591.0,211.0,332.0,7.0,1283.0,641.0,465.0,319.0,10.0,1536.0,384.0,491.0,201.0,11.0,1185.0,352.0,530.0,166.0,0.0,1272.0,1008.0,1356.0,403.0,8.0,2844.0,768.0,1335.0,131.0,0.0,2372.0,519.0,1134.0,24.0,0.0,1798.0,342.0,759.0,17.0,0.0,1207.0,580.0,1872.0,51.0,0.0,2560.0,144.0,514.0,207.0,0.0,1039.0,46.0,25.0,6.0,0.0,152.0,7504.0,9450.0,3536.0,238.0,20725.0,20725.0
Dandenong,220.0,72.0,75.0,4.0,525.0,24.0,3.0,13.0,0.0,82.0,24.0,18.0,55.0,0.0,149.0,14.0,20.0,84.0,0.0,200.0,252.0,74.0,136.0,0.0,670.0,87.0,165.0,225.0,0.0,648.0,1039.0,357.0,366.0,3.0,1864.0,592.0,568.0,499.0,23.0,1790.0,503.0,862.0,414.0,21.0,1967.0,621.0,1023.0,377.0,13.0,2171.0,348.0,862.0,246.0,14.0,1623.0,348.0,856.0,160.0,7.0,1535.0,756.0,1522.0,285.0,31.0,2804.0,364.0,1014.0,108.0,3.0,1677.0,163.0,722.0,41.0,3.0,1029.0,98.0,354.0,14.0,0.0,567.0,98.0,566.0,24.0,3.0,802.0,186.0,545.0,213.0,3.0,1185.0,108.0,49.0,39.0,0.0,318.0,6708.0,10254.0,4444.0,501.0,21889.0,21889.0
Eildon,82.0,3.0,9.0,0.0,147.0,39.0,4.0,3.0,0.0,56.0,16.0,5.0,6.0,0.0,50.0,25.0,0.0,31.0,0.0,62.0,179.0,0.0,48.0,0.0,311.0,102.0,7.0,109.0,6.0,336.0,871.0,53.0,180.0,0.0,1161.0,626.0,79.0,256.0,0.0,1071.0,736.0,212.0,250.0,7.0,1310.0,767.0,396.0,202.0,0.0,1524.0,415.0,410.0,84.0,5.0,1121.0,517.0,516.0,60.0,0.0,1189.0,1069.0,1177.0,160.0,0.0,2388.0,529.0,923.0,66.0,0.0,1601.0,392.0,678.0,28.0,0.0,1157.0,150.0,421.0,0.0,0.0,691.0,522.0,1072.0,8.0,0.0,1707.0,321.0,697.0,187.0,0.0,1302.0,126.0,47.0,13.0,0.0,236.0,8081.0,7121.0,2577.0,133.0,17948.0,17948.0
Eltham,67.0,5.0,8.0,0.0,153.0,8.0,0.0,0.0,0.0,35.0,15.0,0.0,0.0,0.0,30.0,0.0,0.0,7.0,0.0,17.0,51.0,0.0,11.0,0.0,144.0,45.0,3.0,49.0,0.0,161.0,423.0,6.0,77.0,0.0,581.0,356.0,23.0,127.0,0.0,682.0,538.0,88.0,161.0,0.0,894.0,675.0,218.0,184.0,0.0,1157.0,318.0,229.0,102.0,0.0,847.0,307.0,329.0,107.0,0.0,961.0,870.0,948.0,312.0,0.0,2194.0,620.0,1168.0,97.0,7.0,1978.0,429.0,1278.0,73.0,0.0,1959.0,241.0,953.0,16.0,0.0,1376.0,862.0,3603.0,74.0,0.0,4588.0,112.0,607.0,109.0,0.0,1011.0,26.0,23.0,8.0,0.0,144.0,6643.0,9971.0,2407.0,92.0,19165.0,19165.0
Essendon,63.0,3.0,27.0,3.0,151.0,7.0,0.0,13.0,0.0,41.0,0.0,4.0,28.0,0.0,48.0,0.0,0.0,42.0,0.0,53.0,47.0,15.0,68.0,3.0,210.0,39.0,13.0,93.0,0.0,199.0,364.0,27.0,106.0,3.0,585.0,265.0,67.0,129.0,5.0,559.0,344.0,125.0,164.0,10.0,856.0,484.0,179.0,149.0,17.0,895.0,291.0,182.0,105.0,0.0,758.0,357.0,144.0,107.0,7.0,785.0,874.0,597.0,197.0,22.0,1840.0,751.0,683.0,51.0,29.0,1617.0,665.0,750.0,34.0,7.0,1581.0,455.0,574.0,9.0,8.0,1158.0,1326.0,3707.0,108.0,17.0,5271.0,149.0,370.0,111.0,0.0,791.0,35.0,29.0,19.0,0.0,120.0,7098.0,8064.0,2318.0,386.0,17922.0,17922.0
Eureka,94.0,4.0,10.0,0.0,170.0,21.0,0.0,6.0,0.0,46.0,14.0,0.0,4.0,0.0,29.0,7.0,0.0,15.0,0.0,37.0,141.0,10.0,78.0,0.0,280.0,101.0,14.0,232.0,0.0,441.0,817.0,52.0,231.0,0.0,1254.0,608.0,71.0,298.0,6.0,1167.0,676.0,257.0,308.0,4.0,1413.0,798.0,461.0,249.0,10.0,1622.0,382.0,483.0,193.0,6.0,1183.0,474.0,518.0,135.0,0.0,1294.0,1018.0,1324.0,210.0,7.0,2746.0,714.0,1193.0,70.0,6.0,2086.0,501.0,1032.0,41.0,0.0,1616.0,247.0,612.0,16.0,0.0,996.0,521.0,1395.0,34.0,0.0,2056.0,232.0,561.0,140.0,0.0,1125.0,89.0,35.0,18.0,0.0,232.0,8009.0,8678.0,3227.0,210.0,20122.0,20122.0
Euroa,90.0,0.0,4.0,0.0,154.0,26.0,0.0,0.0,0.0,32.0,20.0,4.0,7.0,0.0,52.0,20.0,0.0,23.0,0.0,60.0,221.0,4.0,107.0,3.0,412.0,114.0,19.0,172.0,0.0,382.0,1165.0,46.0,229.0,3.0,1529.0,718.0,64.0,276.0,3.0,1351.0,772.0,244.0,230.0,4.0,1450.0,796.0,400.0,247.0,13.0,1563.0,372.0,432.0,137.0,0.0,1047.0,419.0,443.0,110.0,0.0,1096.0,991.0,1005.0,134.0,0.0,2263.0,617.0,717.0,48.0,3.0,1520.0,391.0,562.0,10.0,0.0,1090.0,171.0,316.0,7.0,0.0,589.0,447.0,688.0,25.0,0.0,1209.0,363.0,613.0,174.0,0.0,1279.0,179.0,53.0,31.0,3.0,348.0,8542.0,6265.0,2848.0,207.0,17873.0,17873.0
Evelyn,81.0,6.0,13.0,0.0,148.0,32.0,0.0,0.0,0.0,49.0,12.0,0.0,9.0,0.0,42.0,4.0,6.0,17.0,0.0,44.0,94.0,0.0,57.0,0.0,243.0,82.0,3.0,96.0,0.0,253.0,667.0,33.0,145.0,6.0,937.0,509.0,48.0,214.0,0.0,906.0,587.0,201.0,273.0,5.0,1161.0,616.0,367.0,209.0,3.0,1369.0,326.0,491.0,157.0,0.0,1082.0,382.0,538.0,94.0,0.0,1187.0,960.0,1543.0,291.0,12.0,2878.0,703.0,1458.0,80.0,8.0,2300.0,473.0,1271.0,35.0,0.0,1902.0,288.0,838.0,10.0,0.0,1170.0,449.0,1815.0,42.0,4.0,2331.0,138.0,618.0,162.0,0.0,1066.0,71.0,30.0,8.0,0.0,213.0,6972.0,9650.0,2694.0,179.0,19617.0,19617.0
