district,census_variable,value,rank
Sandringham,F_0_4_Need_for_assistance_ns_n,11.0,1.0
Kew,F_0_4_Need_for_assistance_ns_n,12.0,2.0
Mornington,F_0_4_Need_for_assistance_ns_n,14.0,3.0
Northcote,F_0_4_Need_for_assistance_ns_n,15.0,4.0
Rowville,F_0_4_Need_for_assistance_ns_n,16.0,5.0
Brunswick,F_0_4_Need_for_assistance_ns_n,18.0,6.0
Eltham,F_0_4_Need_for_assistance_ns_n,19.0,7.0
Hawthorn,F_0_4_Need_for_assistance_ns_n,19.0,8.0
Bentleigh,F_0_4_Need_for_assistance_ns_n,20.0,9.0
Ivanhoe,F_0_4_Need_for_assistance_ns_n,21.0,10.0
Brighton,F_0_4_Need_for_assistance_ns_n,22.0,11.0
Mordialloc,F_0_4_Need_for_assistance_ns_n,22.0,12.0
Warrandyte,F_0_4_Need_for_assistance_ns_n,23.0,13.0
Glen Waverley,F_0_4_Need_for_assistance_ns_n,25.0,14.0
Niddrie,F_0_4_Need_for_assistance_ns_n,25.0,15.0
Bellarine,F_0_4_Need_for_assistance_ns_n,26.0,16.0
Evelyn,F_0_4_Need_for_assistance_ns_n,27.0,17.0
Prahran,F_0_4_Need_for_assistance_ns_n,29.0,18.0
Ringwood,F_0_4_Need_for_assistance_ns_n,30.0,19.0
Ashwood,F_0_4_Need_for_assistance_ns_n,32.0,20.0
Box Hill,F_0_4_Need_for_assistance_ns_n,32.0,21.0
Croydon,F_0_4_Need_for_assistance_ns_n,32.0,22.0
Hastings,F_0_4_Need_for_assistance_ns_n,33.0,23.0
Ovens Valley,F_0_4_Need_for_assistance_ns_n,33.0,24.0
Ripon,F_0_4_Need_for_assistance_ns_n,33.0,25.0
Oakleigh,F_0_4_Need_for_assistance_ns_n,35.0,26.0
Geelong,F_0_4_Need_for_assistance_ns_n,37.0,27.0
Footscray,F_0_4_Need_for_assistance_ns_n,39.0,28.0
Malvern,F_0_4_Need_for_assistance_ns_n,39.0,29.0
Monbulk,F_0_4_Need_for_assistance_ns_n,40.0,30.0
Caulfield,F_0_4_Need_for_assistance_ns_n,41.0,31.0
Bundoora,F_0_4_Need_for_assistance_ns_n,43.0,32.0
Bulleen,F_0_4_Need_for_assistance_ns_n,44.0,33.0
Pascoe Vale,F_0_4_Need_for_assistance_ns_n,44.0,34.0
Essendon,F_0_4_Need_for_assistance_ns_n,45.0,35.0
Lowan,F_0_4_Need_for_assistance_ns_n,45.0,36.0
Williamstown,F_0_4_Need_for_assistance_ns_n,45.0,37.0
Benambra,F_0_4_Need_for_assistance_ns_n,49.0,38.0
Carrum,F_0_4_Need_for_assistance_ns_n,49.0,39.0
Clarinda,F_0_4_Need_for_assistance_ns_n,50.0,40.0
South Barwon,F_0_4_Need_for_assistance_ns_n,50.0,41.0
Sunbury,F_0_4_Need_for_assistance_ns_n,50.0,42.0
Macedon,F_0_4_Need_for_assistance_ns_n,53.0,43.0
Bendigo West,F_0_4_Need_for_assistance_ns_n,54.0,44.0
Wendouree,F_0_4_Need_for_assistance_ns_n,57.0,45.0
Richmond,F_0_4_Need_for_assistance_ns_n,58.0,46.0
Eildon,F_0_4_Need_for_assistance_ns_n,59.0,47.0
Polwarth,F_0_4_Need_for_assistance_ns_n,59.0,48.0
South-West Coast,F_0_4_Need_for_assistance_ns_n,59.0,49.0
Albert Park,F_0_4_Need_for_assistance_ns_n,60.0,50.0
Bayswater,F_0_4_Need_for_assistance_ns_n,63.0,51.0
Nepean,F_0_4_Need_for_assistance_ns_n,64.0,52.0
Bendigo East,F_0_4_Need_for_assistance_ns_n,67.0,53.0
Mill Park,F_0_4_Need_for_assistance_ns_n,68.0,54.0
