district,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot,Tot_Tot_total
Polwarth,424.0,9.0,0.0,0.0,0.0,434.0,185.0,4.0,0.0,0.0,0.0,198.0,148.0,0.0,0.0,0.0,0.0,158.0,338.0,6.0,0.0,0.0,0.0,356.0,536.0,7.0,0.0,0.0,0.0,562.0,1348.0,4.0,0.0,0.0,0.0,1389.0,1296.0,6.0,0.0,0.0,0.0,1330.0,1446.0,28.0,0.0,0.0,0.0,1486.0,841.0,12.0,0.0,0.0,0.0,871.0,699.0,14.0,0.0,0.0,0.0,733.0,506.0,3.0,0.0,0.0,0.0,522.0,573.0,0.0,0.0,0.0,0.0,590.0,8726.0,191.0,8.0,3.0,7.0,8972.0,8972.0
Prahran,41.0,35.0,209.0,0.0,0.0,370.0,7.0,0.0,23.0,0.0,0.0,40.0,0.0,0.0,19.0,0.0,0.0,36.0,3.0,0.0,55.0,0.0,0.0,77.0,0.0,0.0,135.0,0.0,0.0,154.0,22.0,24.0,739.0,9.0,0.0,872.0,18.0,57.0,1079.0,0.0,0.0,1177.0,50.0,104.0,1377.0,0.0,0.0,1605.0,33.0,68.0,545.0,0.0,0.0,700.0,137.0,197.0,487.0,0.0,0.0,863.0,328.0,459.0,405.0,0.0,0.0,1251.0,24.0,74.0,293.0,0.0,0.0,452.0,852.0,1258.0,5711.0,28.0,0.0,7842.0,7842.0
Preston,216.0,50.0,6.0,0.0,0.0,345.0,57.0,7.0,3.0,0.0,0.0,87.0,31.0,0.0,3.0,0.0,0.0,57.0,112.0,26.0,4.0,0.0,0.0,180.0,117.0,56.0,17.0,0.0,0.0,279.0,498.0,272.0,80.0,0.0,0.0,923.0,583.0,429.0,99.0,0.0,0.0,1218.0,1030.0,735.0,95.0,4.0,0.0,1867.0,773.0,283.0,6.0,0.0,0.0,1108.0,805.0,110.0,6.0,0.0,0.0,1025.0,422.0,41.0,0.0,0.0,0.0,519.0,388.0,95.0,8.0,0.0,0.0,535.0,5457.0,2534.0,458.0,24.0,0.0,8397.0,8397.0
Richmond,51.0,105.0,76.0,0.0,0.0,306.0,8.0,7.0,7.0,0.0,0.0,22.0,3.0,0.0,15.0,0.0,0.0,24.0,4.0,8.0,41.0,0.0,0.0,84.0,11.0,30.0,54.0,0.0,0.0,123.0,47.0,163.0,422.0,3.0,0.0,690.0,43.0,137.0,604.0,5.0,0.0,894.0,103.0,303.0,868.0,14.0,0.0,1379.0,91.0,252.0,448.0,11.0,0.0,884.0,147.0,580.0,390.0,6.0,0.0,1187.0,387.0,717.0,239.0,5.0,0.0,1396.0,22.0,131.0,128.0,0.0,0.0,367.0,1169.0,2789.0,3609.0,52.0,1.0,7567.0,7567.0
Ringwood,434.0,33.0,5.0,0.0,0.0,569.0,74.0,7.0,0.0,0.0,0.0,102.0,64.0,8.0,0.0,0.0,0.0,97.0,134.0,22.0,4.0,0.0,0.0,174.0,211.0,23.0,21.0,0.0,0.0,266.0,687.0,148.0,97.0,0.0,0.0,971.0,968.0,191.0,122.0,0.0,0.0,1375.0,1731.0,309.0,99.0,0.0,0.0,2207.0,1179.0,263.0,18.0,0.0,0.0,1504.0,1435.0,181.0,17.0,0.0,0.0,1630.0,886.0,55.0,7.0,0.0,0.0,975.0,464.0,69.0,21.0,0.0,0.0,604.0,8671.0,1619.0,483.0,0.0,0.0,10855.0,10855.0
Ripon,477.0,6.0,0.0,0.0,0.0,505.0,331.0,0.0,0.0,0.0,0.0,353.0,275.0,0.0,0.0,0.0,0.0,281.0,709.0,0.0,0.0,0.0,0.0,717.0,889.0,0.0,0.0,0.0,0.0,910.0,1929.0,0.0,0.0,0.0,0.0,1953.0,1592.0,0.0,0.0,0.0,0.0,1614.0,1300.0,0.0,0.0,0.0,0.0,1314.0,400.0,0.0,0.0,0.0,0.0,403.0,253.0,0.0,0.0,0.0,0.0,257.0,115.0,0.0,0.0,0.0,0.0,115.0,541.0,0.0,0.0,0.0,0.0,544.0,9233.0,37.0,9.0,17.0,4.0,9345.0,9345.0
Rowville,465.0,6.0,4.0,0.0,0.0,489.0,101.0,19.0,0.0,0.0,0.0,137.0,65.0,0.0,0.0,0.0,0.0,75.0,194.0,0.0,0.0,0.0,0.0,209.0,275.0,7.0,0.0,0.0,0.0,291.0,896.0,43.0,33.0,0.0,0.0,1004.0,1022.0,87.0,26.0,0.0,0.0,1146.0,1921.0,126.0,11.0,0.0,0.0,2083.0,1379.0,73.0,0.0,0.0,0.0,1485.0,1459.0,53.0,0.0,0.0,0.0,1505.0,761.0,13.0,0.0,0.0,0.0,794.0,615.0,21.0,3.0,0.0,0.0,650.0,9527.0,601.0,105.0,0.0,0.0,10297.0,10297.0
Sandringham,299.0,54.0,24.0,0.0,0.0,450.0,23.0,7.0,9.0,0.0,0.0,59.0,42.0,4.0,4.0,0.0,0.0,66.0,32.0,32.0,11.0,0.0,0.0,120.0,82.0,22.0,9.0,0.0,0.0,155.0,261.0,127.0,155.0,0.0,0.0,630.0,276.0,149.0,226.0,5.0,0.0,724.0,649.0,314.0,318.0,0.0,0.0,1306.0,438.0,245.0,92.0,4.0,0.0,915.0,951.0,318.0,66.0,0.0,0.0,1353.0,1738.0,255.0,50.0,1.0,0.0,2055.0,362.0,81.0,33.0,0.0,0.0,520.0,5447.0,1943.0,1178.0,28.0,3.0,8603.0,8603.0
Shepparton,295.0,0.0,0.0,0.0,0.0,325.0,211.0,0.0,0.0,0.0,0.0,216.0,215.0,3.0,0.0,3.0,0.0,236.0,500.0,15.0,0.0,0.0,0.0,540.0,849.0,7.0,0.0,0.0,0.0,857.0,2306.0,30.0,0.0,0.0,0.0,2355.0,1677.0,8.0,0.0,0.0,0.0,1687.0,1182.0,3.0,0.0,0.0,0.0,1200.0,269.0,0.0,0.0,0.0,0.0,267.0,177.0,0.0,0.0,0.0,0.0,180.0,175.0,0.0,0.0,0.0,0.0,175.0,517.0,0.0,0.0,0.0,0.0,537.0,8790.0,152.0,5.0,11.0,3.0,9050.0,9050.0
South Barwon,328.0,0.0,0.0,0.0,0.0,343.0,94.0,5.0,0.0,0.0,0.0,109.0,66.0,0.0,0.0,0.0,0.0,74.0,201.0,0.0,0.0,0.0,0.0,211.0,309.0,14.0,0.0,0.0,0.0,350.0,1398.0,98.0,8.0,0.0,0.0,1497.0,2116.0,94.0,0.0,0.0,0.0,2243.0,2921.0,47.0,0.0,0.0,0.0,2992.0,1014.0,8.0,0.0,0.0,0.0,1026.0,663.0,3.0,0.0,0.0,0.0,691.0,366.0,0.0,0.0,0.0,0.0,363.0,466.0,7.0,0.0,0.0,0.0,510.0,10248.0,419.0,15.0,0.0,4.0,10759.0,10759.0
