district,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot,Tot_Tot_total
South-West Coast,402.0,5.0,0.0,0.0,0.0,421.0,146.0,3.0,0.0,0.0,0.0,181.0,170.0,7.0,0.0,0.0,0.0,178.0,515.0,5.0,0.0,0.0,0.0,559.0,730.0,21.0,8.0,3.0,0.0,773.0,1992.0,41.0,19.0,7.0,0.0,2076.0,1705.0,9.0,3.0,0.0,0.0,1769.0,1190.0,4.0,0.0,0.0,0.0,1233.0,354.0,0.0,0.0,0.0,0.0,363.0,221.0,0.0,0.0,0.0,0.0,228.0,182.0,0.0,0.0,0.0,0.0,182.0,474.0,9.0,4.0,0.0,0.0,497.0,8468.0,232.0,56.0,21.0,0.0,8834.0,8834.0
St Albans,378.0,21.0,4.0,0.0,0.0,497.0,97.0,6.0,0.0,0.0,0.0,107.0,79.0,4.0,0.0,0.0,0.0,89.0,140.0,6.0,0.0,0.0,0.0,183.0,181.0,18.0,13.0,0.0,0.0,244.0,834.0,161.0,65.0,0.0,0.0,1146.0,956.0,194.0,40.0,0.0,0.0,1215.0,1344.0,189.0,19.0,0.0,0.0,1572.0,471.0,32.0,0.0,0.0,0.0,529.0,286.0,27.0,0.0,0.0,0.0,372.0,125.0,8.0,0.0,0.0,0.0,144.0,483.0,20.0,8.0,0.0,0.0,514.0,5855.0,1028.0,244.0,0.0,0.0,7109.0,7109.0
Sunbury,390.0,19.0,4.0,0.0,0.0,431.0,115.0,8.0,0.0,0.0,0.0,128.0,71.0,3.0,0.0,0.0,0.0,79.0,216.0,15.0,3.0,0.0,0.0,250.0,367.0,11.0,10.0,0.0,0.0,421.0,1216.0,82.0,32.0,0.0,0.0,1348.0,1820.0,145.0,37.0,0.0,0.0,2004.0,2569.0,105.0,22.0,0.0,0.0,2745.0,1014.0,24.0,0.0,0.0,0.0,1033.0,561.0,8.0,4.0,0.0,0.0,584.0,329.0,12.0,0.0,0.0,0.0,357.0,579.0,24.0,17.0,0.0,0.0,638.0,9508.0,567.0,190.0,0.0,0.0,10246.0,10246.0
Sydenham,452.0,19.0,0.0,0.0,0.0,500.0,101.0,15.0,0.0,0.0,0.0,133.0,89.0,8.0,4.0,0.0,0.0,114.0,211.0,28.0,0.0,0.0,0.0,248.0,326.0,28.0,3.0,0.0,0.0,397.0,1151.0,201.0,16.0,0.0,0.0,1404.0,1536.0,280.0,22.0,0.0,0.0,1878.0,2769.0,246.0,4.0,0.0,4.0,3064.0,1254.0,31.0,0.0,0.0,0.0,1326.0,878.0,16.0,0.0,0.0,0.0,923.0,523.0,17.0,0.0,0.0,0.0,562.0,909.0,43.0,5.0,0.0,0.0,972.0,10588.0,1183.0,63.0,0.0,3.0,11873.0,11873.0
Tarneit,356.0,19.0,3.0,0.0,0.0,387.0,75.0,3.0,3.0,0.0,0.0,94.0,55.0,0.0,6.0,0.0,0.0,58.0,158.0,14.0,5.0,0.0,0.0,199.0,283.0,20.0,0.0,0.0,0.0,346.0,1386.0,121.0,24.0,0.0,0.0,1538.0,2471.0,211.0,27.0,0.0,0.0,2797.0,4127.0,178.0,9.0,0.0,0.0,4380.0,1188.0,25.0,0.0,0.0,0.0,1264.0,577.0,27.0,0.0,0.0,0.0,637.0,340.0,10.0,0.0,0.0,0.0,381.0,910.0,34.0,0.0,0.0,0.0,962.0,12301.0,976.0,171.0,0.0,3.0,13544.0,13544.0
Thomastown,318.0,3.0,0.0,0.0,0.0,384.0,67.0,4.0,0.0,0.0,0.0,84.0,52.0,0.0,0.0,0.0,0.0,74.0,104.0,3.0,3.0,0.0,0.0,144.0,232.0,3.0,14.0,0.0,0.0,260.0,935.0,70.0,25.0,0.0,0.0,1065.0,1602.0,169.0,50.0,0.0,0.0,1835.0,2851.0,126.0,25.0,0.0,0.0,3064.0,991.0,23.0,0.0,0.0,0.0,1015.0,545.0,7.0,0.0,0.0,0.0,572.0,303.0,1.0,0.0,0.0,0.0,331.0,670.0,18.0,3.0,0.0,0.0,711.0,9033.0,661.0,210.0,0.0,0.0,9935.0,9935.0
Warrandyte,444.0,55.0,10.0,0.0,0.0,531.0,82.0,8.0,0.0,0.0,0.0,98.0,95.0,0.0,0.0,0.0,0.0,99.0,153.0,0.0,5.0,0.0,0.0,165.0,174.0,4.0,11.0,0.0,0.0,194.0,710.0,41.0,56.0,0.0,0.0,846.0,713.0,54.0,79.0,0.0,0.0,885.0,1457.0,124.0,89.0,0.0,0.0,1744.0,1071.0,102.0,42.0,0.0,0.0,1260.0,1371.0,116.0,21.0,0.0,0.0,1530.0,1425.0,93.0,15.0,0.0,0.0,1551.0,561.0,30.0,23.0,0.0,0.0,668.0,8611.0,810.0,405.0,0.0,0.0,9826.0,9826.0
Wendouree,282.0,5.0,3.0,0.0,0.0,326.0,145.0,9.0,0.0,0.0,0.0,185.0,107.0,16.0,0.0,0.0,0.0,141.0,370.0,37.0,3.0,0.0,0.0,441.0,614.0,49.0,5.0,0.0,0.0,692.0,1815.0,142.0,12.0,0.0,0.0,2023.0,1709.0,51.0,0.0,0.0,0.0,1828.0,1234.0,28.0,0.0,0.0,0.0,1285.0,347.0,3.0,0.0,0.0,0.0,375.0,269.0,10.0,0.0,0.0,0.0,287.0,161.0,3.0,0.0,0.0,0.0,168.0,299.0,3.0,0.0,0.0,0.0,349.0,7609.0,554.0,58.0,3.0,5.0,8286.0,8286.0
Werribee,382.0,5.0,0.0,0.0,0.0,391.0,94.0,0.0,0.0,0.0,0.0,117.0,83.0,5.0,0.0,0.0,0.0,97.0,283.0,3.0,0.0,0.0,0.0,303.0,366.0,15.0,3.0,0.0,0.0,407.0,1544.0,138.0,20.0,0.0,0.0,1725.0,2620.0,137.0,7.0,0.0,0.0,2834.0,3561.0,85.0,0.0,0.0,0.0,3699.0,980.0,5.0,0.0,0.0,0.0,1021.0,484.0,10.0,4.0,0.0,0.0,509.0,243.0,0.0,0.0,0.0,0.0,249.0,678.0,16.0,0.0,0.0,0.0,711.0,11819.0,668.0,50.0,0.0,3.0,12595.0,12595.0
Williamstown,229.0,64.0,3.0,0.0,0.0,346.0,31.0,6.0,3.0,0.0,0.0,43.0,30.0,6.0,4.0,0.0,0.0,47.0,62.0,18.0,0.0,0.0,0.0,121.0,98.0,28.0,6.0,0.0,0.0,139.0,385.0,107.0,32.0,0.0,0.0,653.0,476.0,259.0,84.0,0.0,0.0,850.0,889.0,545.0,81.0,0.0,0.0,1570.0,765.0,373.0,32.0,0.0,0.0,1275.0,1003.0,454.0,15.0,0.0,0.0,1509.0,974.0,277.0,15.0,0.0,0.0,1301.0,339.0,90.0,11.0,0.0,0.0,509.0,5693.0,2585.0,424.0,0.0,0.0,8755.0,8755.0
Yan Yean,312.0,4.0,0.0,0.0,0.0,328.0,72.0,6.0,0.0,0.0,0.0,81.0,82.0,0.0,0.0,0.0,0.0,89.0,150.0,0.0,0.0,0.0,0.0,186.0,292.0,0.0,0.0,0.0,0.0,303.0,1201.0,44.0,10.0,0.0,0.0,1291.0,2171.0,119.0,4.0,0.0,0.0,2306.0,3770.0,103.0,0.0,0.0,0.0,3909.0,1534.0,25.0,0.0,0.0,0.0,1573.0,932.0,15.0,0.0,0.0,0.0,974.0,585.0,0.0,0.0,0.0,0.0,587.0,736.0,10.0,0.0,0.0,0.0,772.0,12238.0,449.0,25.0,0.0,0.0,12803.0,12803.0
