district,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P,Tot_P_total
Mulgrave,712.0,578.0,1416.0,1865.0,1646.0,3481.0,652.0,640.0,1321.0,208.0,234.0,459.0,2799.0,2525.0,5304.0,1429.0,1327.0,2733.0,577.0,571.0,1180.0,242.0,211.0,491.0,2320.0,2156.0,4445.0,214.0,195.0,482.0,190.0,250.0,551.0,128.0,26.0,207.0,243.0,339.0,612.0,4.0,0.0,4.0,1045.0,953.0,2042.0,1163.0,1278.0,2383.0,405.0,448.0,973.0,79.0,51.0,188.0,221.0,263.0,556.0,0.0,0.0,0.0,2038.0,2192.0,4189.0,3082.0,3187.0,6224.0,275.0,176.0,508.0,256.0,342.0,605.0,0.0,0.0,0.0,559.0,603.0,1201.0,1931.0,1862.0,3789.0,11485.0,10986.0,22483.0,22483.0
Murray Plains,522.0,535.0,1188.0,1610.0,1505.0,3214.0,824.0,848.0,1703.0,122.0,79.0,210.0,2645.0,2511.0,5049.0,1194.0,1195.0,2412.0,524.0,617.0,1202.0,119.0,139.0,351.0,1946.0,2022.0,3963.0,35.0,53.0,121.0,31.0,59.0,124.0,203.0,122.0,431.0,127.0,374.0,567.0,3.0,0.0,3.0,569.0,736.0,1325.0,96.0,202.0,331.0,3.0,77.0,117.0,10.0,26.0,45.0,31.0,229.0,317.0,0.0,0.0,0.0,221.0,700.0,975.0,816.0,1503.0,2335.0,22.0,16.0,46.0,57.0,94.0,191.0,9.0,0.0,9.0,117.0,148.0,301.0,2517.0,2439.0,4932.0,8593.0,9230.0,17832.0,17832.0
Narracan,779.0,649.0,1463.0,1990.0,1752.0,3741.0,547.0,566.0,1113.0,340.0,300.0,690.0,2952.0,2683.0,5619.0,1254.0,1264.0,2567.0,485.0,499.0,1026.0,397.0,439.0,884.0,2245.0,2280.0,4506.0,52.0,101.0,162.0,27.0,85.0,133.0,268.0,118.0,452.0,176.0,381.0,652.0,0.0,0.0,0.0,676.0,888.0,1554.0,160.0,451.0,706.0,44.0,177.0,241.0,9.0,42.0,88.0,96.0,442.0,550.0,0.0,0.0,0.0,474.0,1164.0,1699.0,1171.0,2077.0,3284.0,42.0,52.0,146.0,40.0,139.0,230.0,0.0,0.0,3.0,150.0,215.0,437.0,2068.0,2097.0,4157.0,9339.0,10066.0,19454.0,19454.0
Narre Warren North,824.0,737.0,1622.0,2449.0,2133.0,4602.0,459.0,439.0,998.0,325.0,304.0,707.0,3346.0,3023.0,6413.0,1831.0,1719.0,3542.0,463.0,464.0,928.0,402.0,454.0,918.0,2821.0,2613.0,5453.0,154.0,148.0,362.0,63.0,222.0,380.0,220.0,57.0,371.0,219.0,384.0,725.0,2.0,0.0,2.0,914.0,1054.0,2042.0,843.0,1065.0,1904.0,177.0,288.0,549.0,58.0,94.0,206.0,203.0,330.0,567.0,0.0,0.0,0.0,1489.0,1916.0,3387.0,2467.0,2961.0,5477.0,97.0,112.0,280.0,175.0,278.0,546.0,0.0,0.0,0.0,379.0,497.0,946.0,1981.0,2004.0,3957.0,11792.0,12073.0,23809.0,23809.0
Narre Warren South,1024.0,923.0,2056.0,3618.0,3301.0,6867.0,657.0,686.0,1372.0,441.0,432.0,943.0,4794.0,4480.0,9242.0,2849.0,2734.0,5536.0,564.0,634.0,1270.0,575.0,555.0,1135.0,4067.0,3992.0,8002.0,223.0,285.0,579.0,125.0,281.0,510.0,315.0,83.0,502.0,336.0,652.0,1044.0,1.0,0.0,1.0,1120.0,1456.0,2683.0,1082.0,1313.0,2395.0,230.0,333.0,670.0,50.0,96.0,212.0,196.0,438.0,737.0,0.0,0.0,0.0,1752.0,2340.0,4082.0,2945.0,3803.0,6785.0,186.0,213.0,505.0,253.0,443.0,800.0,0.0,0.0,0.0,530.0,777.0,1358.0,2065.0,1965.0,4022.0,15501.0,15894.0,31422.0,31422.0
Nepean,535.0,481.0,944.0,1526.0,1405.0,3041.0,182.0,165.0,428.0,104.0,111.0,267.0,1920.0,1739.0,3726.0,993.0,973.0,1962.0,232.0,256.0,531.0,222.0,201.0,506.0,1518.0,1573.0,3108.0,9.0,36.0,85.0,6.0,66.0,112.0,176.0,34.0,264.0,145.0,216.0,370.0,0.0,0.0,0.0,473.0,537.0,1027.0,179.0,320.0,559.0,23.0,106.0,188.0,15.0,33.0,62.0,57.0,264.0,390.0,0.0,0.0,0.0,437.0,855.0,1322.0,961.0,1455.0,2432.0,23.0,11.0,41.0,32.0,86.0,194.0,0.0,0.0,0.0,70.0,132.0,268.0,2292.0,2511.0,4771.0,7366.0,7901.0,15257.0,15257.0
Niddrie,768.0,686.0,1509.0,1151.0,1025.0,2158.0,1312.0,1249.0,2582.0,229.0,270.0,589.0,2741.0,2615.0,5328.0,1053.0,908.0,1897.0,899.0,986.0,1874.0,403.0,443.0,899.0,2406.0,2287.0,4784.0,72.0,32.0,127.0,37.0,76.0,155.0,167.0,25.0,204.0,125.0,185.0,392.0,0.0,0.0,0.0,570.0,515.0,1086.0,857.0,1045.0,1891.0,128.0,189.0,397.0,73.0,78.0,204.0,172.0,375.0,586.0,0.0,0.0,3.0,1382.0,1816.0,3225.0,2006.0,2306.0,4310.0,43.0,21.0,116.0,93.0,177.0,307.0,0.0,0.0,4.0,187.0,247.0,465.0,1121.0,1137.0,2314.0,9283.0,9393.0,18703.0,18703.0
Northcote,671.0,641.0,1373.0,1812.0,1804.0,3654.0,361.0,283.0,689.0,89.0,82.0,209.0,2280.0,2224.0,4583.0,1297.0,1110.0,2402.0,289.0,346.0,670.0,352.0,301.0,673.0,1962.0,1886.0,3845.0,55.0,63.0,194.0,117.0,157.0,337.0,80.0,18.0,134.0,252.0,371.0,635.0,0.0,0.0,0.0,682.0,770.0,1518.0,806.0,1020.0,1805.0,566.0,776.0,1350.0,77.0,125.0,263.0,567.0,1138.0,1679.0,0.0,0.0,0.0,2069.0,3104.0,5160.0,2803.0,3880.0,6659.0,32.0,9.0,87.0,85.0,212.0,372.0,0.0,0.0,0.0,138.0,299.0,499.0,1114.0,1204.0,2312.0,9055.0,10220.0,19278.0,19278.0
Oakleigh,928.0,760.0,1674.0,2027.0,1892.0,3951.0,457.0,475.0,1027.0,174.0,159.0,396.0,2796.0,2657.0,5434.0,1006.0,889.0,1859.0,650.0,690.0,1379.0,414.0,430.0,875.0,2133.0,2107.0,4214.0,243.0,140.0,479.0,294.0,332.0,682.0,203.0,46.0,312.0,333.0,473.0,910.0,0.0,0.0,0.0,1280.0,1188.0,2512.0,3159.0,3336.0,6462.0,1353.0,1238.0,2683.0,152.0,170.0,418.0,473.0,615.0,1094.0,0.0,4.0,4.0,5338.0,5485.0,10765.0,6597.0,6707.0,13289.0,313.0,240.0,590.0,250.0,287.0,599.0,0.0,0.0,0.0,664.0,574.0,1262.0,2142.0,1900.0,4053.0,15271.0,14759.0,30033.0,30033.0
Ovens Valley,581.0,529.0,1147.0,1484.0,1273.0,2742.0,717.0,743.0,1544.0,193.0,189.0,438.0,2442.0,2251.0,4722.0,841.0,890.0,1818.0,672.0,732.0,1436.0,324.0,272.0,598.0,1914.0,1999.0,3821.0,16.0,37.0,114.0,33.0,117.0,181.0,181.0,144.0,355.0,168.0,331.0,511.0,0.0,0.0,0.0,536.0,783.0,1363.0,76.0,186.0,323.0,41.0,98.0,170.0,5.0,9.0,31.0,80.0,304.0,430.0,0.0,0.0,0.0,328.0,804.0,1180.0,932.0,1566.0,2507.0,35.0,39.0,86.0,68.0,103.0,195.0,0.0,0.0,0.0,102.0,161.0,321.0,2081.0,2077.0,4215.0,8204.0,8745.0,16880.0,16880.0
Pakenham,1236.0,1142.0,2299.0,2901.0,2580.0,5471.0,620.0,640.0,1291.0,528.0,586.0,1170.0,4078.0,3936.0,8023.0,1500.0,1445.0,2876.0,408.0,440.0,938.0,537.0,519.0,1122.0,2464.0,2465.0,4967.0,131.0,156.0,325.0,116.0,225.0,458.0,260.0,110.0,420.0,283.0,543.0,883.0,0.0,0.0,6.0,1034.0,1259.0,2258.0,472.0,710.0,1162.0,143.0,362.0,553.0,21.0,76.0,122.0,206.0,539.0,790.0,0.0,0.0,0.0,1020.0,1761.0,2831.0,2014.0,3036.0,5039.0,126.0,90.0,306.0,175.0,330.0,553.0,5.0,0.0,4.0,373.0,522.0,880.0,1679.0,1802.0,3571.0,11967.0,12863.0,24860.0,24860.0
Pascoe Vale,780.0,723.0,1522.0,1752.0,1684.0,3398.0,595.0,611.0,1216.0,120.0,166.0,322.0,2543.0,2464.0,4984.0,1302.0,1125.0,2434.0,347.0,446.0,845.0,176.0,183.0,400.0,1895.0,1864.0,3684.0,184.0,74.0,325.0,144.0,216.0,407.0,153.0,21.0,232.0,277.0,388.0,686.0,0.0,0.0,0.0,882.0,842.0,1833.0,797.0,1092.0,1911.0,530.0,594.0,1196.0,72.0,110.0,218.0,450.0,880.0,1311.0,0.0,0.0,0.0,1947.0,2796.0,4713.0,2876.0,3714.0,6492.0,93.0,81.0,180.0,160.0,198.0,396.0,0.0,0.0,0.0,289.0,319.0,705.0,1258.0,1380.0,2661.0,9611.0,10435.0,20014.0,20014.0
Point Cook,1456.0,1290.0,2772.0,3928.0,3606.0,7560.0,1124.0,1150.0,2348.0,418.0,358.0,836.0,5504.0,5187.0,10750.0,1816.0,1496.0,3421.0,989.0,1092.0,2083.0,412.0,357.0,822.0,3317.0,3077.0,6391.0,103.0,88.0,308.0,145.0,236.0,434.0,164.0,52.0,307.0,267.0,630.0,1010.0,0.0,0.0,0.0,944.0,1192.0,2208.0,895.0,1109.0,2058.0,336.0,488.0,843.0,66.0,90.0,237.0,294.0,563.0,942.0,0.0,0.0,0.0,1742.0,2373.0,4115.0,2833.0,3601.0,6334.0,147.0,132.0,332.0,224.0,438.0,697.0,0.0,0.0,0.0,444.0,680.0,1160.0,2149.0,2080.0,4221.0,15831.0,15850.0,31704.0,31704.0
Polwarth,869.0,705.0,1537.0,2114.0,1912.0,3990.0,792.0,665.0,1463.0,160.0,107.0,291.0,2995.0,2815.0,5787.0,1159.0,975.0,2162.0,786.0,830.0,1643.0,373.0,314.0,738.0,2333.0,2173.0,4518.0,24.0,42.0,86.0,23.0,48.0,112.0,273.0,57.0,409.0,177.0,285.0,513.0,0.0,4.0,0.0,641.0,592.0,1284.0,227.0,425.0,695.0,88.0,195.0,321.0,16.0,56.0,74.0,149.0,396.0,619.0,0.0,0.0,0.0,607.0,1251.0,1844.0,1269.0,1898.0,3163.0,19.0,18.0,66.0,64.0,110.0,249.0,0.0,0.0,0.0,110.0,185.0,378.0,2281.0,2139.0,4346.0,9890.0,9863.0,19778.0,19778.0
Prahran,345.0,341.0,776.0,569.0,582.0,1206.0,89.0,92.0,203.0,161.0,186.0,421.0,958.0,967.0,1945.0,231.0,262.0,578.0,63.0,74.0,177.0,406.0,417.0,865.0,802.0,794.0,1653.0,87.0,107.0,231.0,228.0,304.0,560.0,16.0,35.0,101.0,370.0,543.0,995.0,0.0,0.0,0.0,932.0,1095.0,2046.0,1023.0,1359.0,2446.0,657.0,905.0,1649.0,115.0,141.0,345.0,737.0,1077.0,1780.0,0.0,0.0,0.0,2614.0,3608.0,6259.0,3571.0,4765.0,8263.0,50.0,98.0,212.0,172.0,316.0,560.0,0.0,0.0,0.0,270.0,460.0,882.0,2346.0,2504.0,4865.0,8475.0,9956.0,18386.0,18386.0
Preston,789.0,672.0,1497.0,1715.0,1516.0,3256.0,468.0,543.0,1029.0,159.0,176.0,365.0,2487.0,2293.0,4737.0,1135.0,997.0,2095.0,534.0,524.0,1084.0,107.0,106.0,255.0,1794.0,1704.0,3486.0,160.0,111.0,315.0,292.0,287.0,588.0,169.0,75.0,257.0,335.0,366.0,749.0,0.0,0.0,0.0,1095.0,993.0,2082.0,768.0,1045.0,1813.0,581.0,583.0,1184.0,40.0,101.0,185.0,371.0,671.0,1056.0,0.0,4.0,4.0,1864.0,2479.0,4310.0,2911.0,3453.0,6474.0,130.0,154.0,329.0,185.0,244.0,497.0,0.0,0.0,3.0,422.0,421.0,854.0,2013.0,1899.0,3863.0,10407.0,10501.0,20934.0,20934.0
Richmond,409.0,427.0,909.0,993.0,1025.0,2054.0,141.0,154.0,312.0,83.0,110.0,227.0,1320.0,1404.0,2698.0,510.0,651.0,1149.0,162.0,75.0,309.0,180.0,202.0,424.0,897.0,1049.0,2008.0,33.0,47.0,118.0,139.0,119.0,366.0,35.0,18.0,90.0,304.0,306.0,668.0,0.0,0.0,0.0,639.0,699.0,1374.0,780.0,1150.0,1935.0,614.0,811.0,1468.0,140.0,168.0,397.0,767.0,1102.0,1899.0,7.0,0.0,7.0,2427.0,3329.0,5705.0,3089.0,4018.0,7140.0,57.0,113.0,214.0,204.0,220.0,460.0,0.0,0.0,0.0,300.0,389.0,698.0,1984.0,1744.0,3789.0,8023.0,9185.0,17226.0,17226.0
Ringwood,996.0,912.0,1988.0,2625.0,2496.0,5155.0,392.0,434.0,883.0,229.0,229.0,538.0,3370.0,3246.0,6580.0,1622.0,1484.0,3106.0,532.0,569.0,1100.0,477.0,501.0,984.0,2650.0,2542.0,5206.0,146.0,78.0,300.0,107.0,159.0,332.0,205.0,64.0,352.0,272.0,452.0,818.0,0.0,0.0,0.0,890.0,1010.0,1915.0,941.0,1064.0,2003.0,280.0,401.0,759.0,76.0,66.0,252.0,319.0,648.0,977.0,0.0,0.0,0.0,1827.0,2276.0,4150.0,2746.0,3335.0,6077.0,65.0,78.0,241.0,171.0,333.0,581.0,0.0,0.0,0.0,288.0,470.0,888.0,1351.0,1436.0,2738.0,11557.0,11928.0,23518.0,23518.0
Ripon,687.0,601.0,1323.0,1940.0,1743.0,3667.0,643.0,598.0,1267.0,157.0,179.0,364.0,2783.0,2595.0,5378.0,1131.0,1146.0,2332.0,518.0,596.0,1127.0,317.0,397.0,708.0,2053.0,2159.0,4203.0,33.0,50.0,108.0,31.0,40.0,88.0,174.0,70.0,275.0,91.0,261.0,430.0,0.0,0.0,0.0,498.0,586.0,1117.0,118.0,306.0,424.0,24.0,134.0,210.0,12.0,44.0,95.0,51.0,295.0,412.0,0.0,0.0,0.0,375.0,920.0,1322.0,870.0,1512.0,2431.0,44.0,15.0,71.0,43.0,121.0,243.0,3.0,0.0,3.0,103.0,183.0,366.0,3408.0,2282.0,5709.0,10044.0,9435.0,19521.0,19521.0
Rowville,734.0,612.0,1373.0,2049.0,1939.0,3980.0,444.0,483.0,964.0,311.0,284.0,612.0,2859.0,2671.0,5607.0,1463.0,1462.0,2865.0,710.0,568.0,1382.0,504.0,480.0,1017.0,2715.0,2566.0,5276.0,82.0,92.0,270.0,42.0,87.0,178.0,216.0,53.0,351.0,159.0,316.0,585.0,0.0,0.0,0.0,729.0,813.0,1535.0,1120.0,1245.0,2318.0,191.0,213.0,435.0,87.0,69.0,243.0,170.0,347.0,582.0,0.0,0.0,0.0,1677.0,2037.0,3807.0,2509.0,2839.0,5286.0,52.0,54.0,162.0,127.0,161.0,406.0,0.0,0.0,3.0,228.0,292.0,579.0,851.0,884.0,1774.0,10042.0,9995.0,19961.0,19961.0
Sandringham,704.0,641.0,1373.0,1652.0,1683.0,3286.0,476.0,442.0,1022.0,296.0,321.0,664.0,2450.0,2547.0,5014.0,954.0,921.0,1921.0,454.0,420.0,887.0,1004.0,998.0,1967.0,2442.0,2366.0,4794.0,54.0,44.0,139.0,23.0,77.0,112.0,129.0,33.0,194.0,113.0,247.0,429.0,0.0,0.0,0.0,482.0,518.0,1007.0,935.0,1061.0,2029.0,119.0,189.0,368.0,84.0,92.0,239.0,234.0,475.0,722.0,0.0,0.0,0.0,1480.0,1922.0,3391.0,1977.0,2487.0,4439.0,22.0,9.0,48.0,76.0,146.0,297.0,0.0,0.0,0.0,138.0,176.0,415.0,990.0,1144.0,2171.0,8751.0,9402.0,18187.0,18187.0
Shepparton,766.0,712.0,1531.0,2138.0,1935.0,4143.0,796.0,825.0,1729.0,127.0,110.0,295.0,3137.0,2953.0,6179.0,1170.0,1099.0,2343.0,1024.0,941.0,2040.0,331.0,287.0,606.0,2547.0,2436.0,4953.0,54.0,104.0,183.0,41.0,141.0,217.0,285.0,171.0,525.0,189.0,425.0,701.0,3.0,0.0,6.0,675.0,1044.0,1806.0,167.0,312.0,492.0,46.0,133.0,254.0,4.0,66.0,80.0,151.0,334.0,484.0,0.0,0.0,0.0,456.0,1096.0,1574.0,1216.0,2074.0,3422.0,57.0,32.0,158.0,92.0,201.0,374.0,4.0,0.0,4.0,184.0,294.0,587.0,2905.0,2814.0,5737.0,10994.0,11440.0,22493.0,22493.0
South Barwon,1017.0,869.0,1949.0,2118.0,2012.0,4148.0,642.0,634.0,1297.0,445.0,373.0,857.0,3251.0,3096.0,6303.0,1203.0,1076.0,2250.0,416.0,604.0,1181.0,591.0,484.0,1083.0,2266.0,2238.0,4498.0,89.0,92.0,235.0,63.0,154.0,243.0,242.0,91.0,457.0,277.0,380.0,740.0,0.0,0.0,0.0,834.0,922.0,1752.0,1178.0,1530.0,2782.0,426.0,434.0,921.0,90.0,169.0,290.0,267.0,645.0,1000.0,0.0,0.0,0.0,2182.0,2906.0,5066.0,3030.0,3796.0,6829.0,89.0,79.0,189.0,141.0,188.0,376.0,3.0,0.0,3.0,249.0,315.0,618.0,1279.0,1249.0,2566.0,11145.0,11661.0,22809.0,22809.0
South-West Coast,715.0,616.0,1329.0,1686.0,1458.0,3138.0,1020.0,945.0,2018.0,89.0,79.0,189.0,2806.0,2621.0,5426.0,1435.0,1325.0,2695.0,640.0,755.0,1394.0,135.0,123.0,366.0,2263.0,2265.0,4535.0,46.0,88.0,165.0,25.0,98.0,212.0,294.0,145.0,489.0,258.0,384.0,738.0,0.0,0.0,0.0,796.0,956.0,1776.0,107.0,268.0,427.0,47.0,81.0,186.0,3.0,26.0,41.0,81.0,367.0,528.0,0.0,0.0,3.0,374.0,928.0,1379.0,1234.0,1929.0,3132.0,10.0,16.0,48.0,54.0,117.0,209.0,0.0,5.0,8.0,103.0,182.0,324.0,2260.0,2173.0,4404.0,9348.0,9876.0,19268.0,19268.0
St Albans,574.0,487.0,1130.0,1726.0,1667.0,3388.0,766.0,727.0,1552.0,92.0,102.0,240.0,2706.0,2626.0,5256.0,1708.0,1556.0,3330.0,442.0,452.0,934.0,95.0,142.0,272.0,2320.0,2268.0,4574.0,299.0,139.0,511.0,254.0,315.0,630.0,101.0,46.0,201.0,192.0,244.0,477.0,3.0,0.0,6.0,1039.0,965.0,1978.0,960.0,1183.0,2215.0,335.0,379.0,789.0,47.0,65.0,163.0,109.0,133.0,311.0,0.0,0.0,0.0,1664.0,1974.0,3565.0,2623.0,2944.0,5564.0,327.0,265.0,605.0,244.0,368.0,615.0,5.0,8.0,19.0,559.0,711.0,1346.0,2976.0,2742.0,5619.0,11795.0,11716.0,23539.0,23539.0
Sunbury,689.0,749.0,1433.0,1730.0,1631.0,3373.0,755.0,678.0,1452.0,84.0,87.0,238.0,2606.0,2466.0,5083.0,1272.0,1176.0,2532.0,444.0,471.0,904.0,154.0,177.0,348.0,1960.0,1939.0,3852.0,79.0,74.0,196.0,22.0,124.0,205.0,245.0,32.0,329.0,242.0,350.0,638.0,0.0,0.0,0.0,731.0,790.0,1523.0,443.0,621.0,1106.0,85.0,174.0,314.0,27.0,26.0,103.0,85.0,325.0,490.0,0.0,0.0,0.0,840.0,1307.0,2173.0,1560.0,2121.0,3685.0,58.0,40.0,128.0,83.0,152.0,331.0,0.0,0.0,0.0,236.0,238.0,569.0,1407.0,1321.0,2753.0,8506.0,8879.0,17410.0,17410.0
Sydenham,822.0,808.0,1646.0,2280.0,2100.0,4302.0,932.0,927.0,1814.0,445.0,375.0,912.0,3650.0,3479.0,7095.0,1994.0,1868.0,3869.0,833.0,831.0,1658.0,534.0,491.0,1057.0,3426.0,3201.0,6646.0,141.0,125.0,334.0,57.0,117.0,202.0,286.0,51.0,414.0,149.0,311.0,538.0,0.0,0.0,0.0,802.0,796.0,1670.0,1087.0,1399.0,2483.0,166.0,257.0,493.0,59.0,115.0,248.0,134.0,299.0,528.0,0.0,0.0,0.0,1608.0,2265.0,3885.0,2469.0,3117.0,5575.0,105.0,126.0,281.0,139.0,236.0,418.0,0.0,0.0,0.0,291.0,443.0,814.0,1407.0,1358.0,2836.0,12164.0,12436.0,24627.0,24627.0
Tarneit,1335.0,1196.0,2555.0,3399.0,3190.0,6622.0,934.0,862.0,1821.0,816.0,885.0,1740.0,5206.0,5029.0,10275.0,1943.0,1787.0,3722.0,568.0,635.0,1307.0,538.0,517.0,1163.0,3193.0,3010.0,6169.0,374.0,158.0,609.0,307.0,432.0,783.0,180.0,75.0,380.0,370.0,624.0,1026.0,0.0,0.0,0.0,1453.0,1429.0,2963.0,997.0,1224.0,2281.0,444.0,662.0,1136.0,66.0,89.0,213.0,159.0,402.0,700.0,5.0,0.0,5.0,1923.0,2457.0,4454.0,3405.0,3961.0,7376.0,453.0,339.0,876.0,320.0,437.0,867.0,0.0,0.0,0.0,861.0,882.0,1790.0,2861.0,2608.0,5497.0,16876.0,16909.0,33741.0,33741.0
Thomastown,892.0,870.0,1895.0,2411.0,2173.0,4562.0,994.0,936.0,1978.0,236.0,249.0,552.0,3733.0,3417.0,7139.0,1627.0,1589.0,3197.0,469.0,473.0,1033.0,175.0,186.0,387.0,2357.0,2279.0,4650.0,243.0,165.0,483.0,189.0,308.0,538.0,127.0,53.0,241.0,337.0,385.0,753.0,3.0,0.0,9.0,1051.0,1062.0,2146.0,759.0,1006.0,1827.0,291.0,454.0,826.0,48.0,68.0,119.0,157.0,267.0,485.0,0.0,3.0,3.0,1431.0,1899.0,3368.0,2503.0,2987.0,5505.0,267.0,274.0,597.0,243.0,357.0,671.0,0.0,0.0,0.0,579.0,667.0,1309.0,2016.0,1910.0,3930.0,12231.0,12198.0,24452.0,24452.0
Warrandyte,720.0,729.0,1546.0,2531.0,2335.0,4824.0,418.0,345.0,857.0,382.0,380.0,814.0,3457.0,3112.0,6575.0,1514.0,1396.0,2976.0,630.0,496.0,1136.0,968.0,882.0,1853.0,3178.0,2897.0,5995.0,66.0,33.0,167.0,45.0,58.0,147.0,224.0,24.0,312.0,148.0,277.0,485.0,0.0,0.0,4.0,695.0,632.0,1405.0,1163.0,1366.0,2483.0,171.0,248.0,536.0,87.0,105.0,248.0,234.0,387.0,694.0,0.0,0.0,0.0,1870.0,2215.0,4121.0,2601.0,2875.0,5424.0,45.0,37.0,111.0,91.0,224.0,431.0,0.0,0.0,6.0,227.0,322.0,614.0,949.0,1028.0,1986.0,11238.0,11068.0,22227.0,22227.0
Wendouree,688.0,676.0,1415.0,1700.0,1527.0,3266.0,702.0,691.0,1470.0,331.0,342.0,691.0,2776.0,2637.0,5390.0,1079.0,1119.0,2215.0,613.0,562.0,1216.0,542.0,619.0,1218.0,2300.0,2387.0,4644.0,53.0,61.0,174.0,47.0,92.0,171.0,165.0,76.0,322.0,201.0,325.0,615.0,0.0,0.0,0.0,643.0,763.0,1455.0,448.0,793.0,1286.0,181.0,354.0,571.0,27.0,70.0,119.0,252.0,520.0,797.0,0.0,0.0,0.0,1112.0,1812.0,2918.0,1774.0,2617.0,4364.0,34.0,39.0,112.0,79.0,199.0,349.0,0.0,3.0,16.0,144.0,306.0,513.0,1850.0,1979.0,3804.0,9597.0,10542.0,20186.0,20186.0
Werribee,1161.0,1060.0,2194.0,3042.0,2823.0,5792.0,687.0,750.0,1546.0,311.0,325.0,756.0,4114.0,4022.0,8156.0,1972.0,1788.0,3762.0,581.0,592.0,1191.0,171.0,204.0,461.0,2801.0,2664.0,5533.0,146.0,124.0,336.0,157.0,266.0,454.0,252.0,75.0,375.0,297.0,605.0,951.0,0.0,0.0,4.0,1026.0,1263.0,2352.0,541.0,803.0,1393.0,194.0,459.0,720.0,23.0,55.0,118.0,179.0,407.0,650.0,0.0,0.0,0.0,1203.0,1868.0,3097.0,2280.0,3185.0,5493.0,228.0,242.0,507.0,213.0,396.0,760.0,0.0,0.0,0.0,580.0,724.0,1304.0,2370.0,2444.0,4886.0,13388.0,14118.0,27508.0,27508.0
Williamstown,850.0,741.0,1638.0,2025.0,1954.0,3972.0,622.0,622.0,1233.0,230.0,153.0,440.0,2869.0,2830.0,5657.0,1099.0,992.0,2134.0,564.0,629.0,1226.0,329.0,334.0,666.0,2109.0,2016.0,4087.0,43.0,38.0,136.0,43.0,84.0,164.0,109.0,12.0,163.0,172.0,281.0,489.0,0.0,0.0,0.0,567.0,592.0,1156.0,635.0,801.0,1482.0,145.0,282.0,469.0,44.0,52.0,138.0,251.0,590.0,955.0,3.0,0.0,3.0,1277.0,1812.0,3093.0,1867.0,2458.0,4318.0,41.0,70.0,110.0,149.0,173.0,367.0,0.0,0.0,0.0,189.0,307.0,559.0,1427.0,1431.0,2860.0,9353.0,9782.0,19116.0,19116.0
