district,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P,Tot_P_total
Macedon,689.0,583.0,1395.0,2004.0,1901.0,3901.0,604.0,599.0,1238.0,184.0,244.0,442.0,2860.0,2746.0,5627.0,997.0,974.0,1978.0,703.0,699.0,1411.0,549.0,510.0,1138.0,2334.0,2262.0,4531.0,41.0,41.0,102.0,12.0,56.0,86.0,192.0,35.0,326.0,146.0,255.0,502.0,0.0,0.0,0.0,479.0,577.0,1131.0,290.0,433.0,805.0,26.0,144.0,261.0,15.0,36.0,84.0,196.0,485.0,712.0,0.0,0.0,0.0,673.0,1280.0,1957.0,1217.0,1818.0,3092.0,7.0,29.0,56.0,87.0,107.0,282.0,0.0,0.0,0.0,118.0,168.0,381.0,1794.0,1853.0,3675.0,9100.0,9587.0,18684.0,18684.0
Malvern,669.0,481.0,1158.0,1002.0,940.0,1934.0,373.0,361.0,797.0,656.0,662.0,1340.0,2097.0,2012.0,4083.0,195.0,220.0,483.0,560.0,473.0,1057.0,1229.0,1304.0,2540.0,2083.0,2084.0,4092.0,63.0,53.0,146.0,79.0,72.0,230.0,36.0,26.0,80.0,173.0,207.0,463.0,0.0,0.0,0.0,539.0,454.0,1078.0,1396.0,1593.0,3078.0,326.0,440.0,872.0,80.0,137.0,300.0,356.0,600.0,1001.0,0.0,0.0,0.0,2356.0,2977.0,5321.0,2936.0,3475.0,6389.0,49.0,65.0,125.0,57.0,211.0,297.0,0.0,0.0,0.0,185.0,276.0,481.0,1206.0,1330.0,2550.0,9177.0,9719.0,18837.0,18837.0
Melbourne,447.0,404.0,932.0,1131.0,954.0,2171.0,166.0,146.0,358.0,108.0,138.0,319.0,1483.0,1410.0,2962.0,820.0,718.0,1598.0,63.0,116.0,212.0,178.0,253.0,489.0,1188.0,1196.0,2448.0,513.0,554.0,1121.0,861.0,1267.0,2158.0,159.0,162.0,400.0,809.0,1146.0,2084.0,0.0,0.0,4.0,2595.0,3352.0,5941.0,6584.0,8084.0,14687.0,2988.0,2929.0,5853.0,287.0,437.0,824.0,1101.0,1405.0,2517.0,0.0,4.0,15.0,11009.0,12881.0,23975.0,13637.0,16205.0,29890.0,608.0,743.0,1404.0,607.0,846.0,1605.0,0.0,0.0,0.0,1297.0,1732.0,3063.0,4714.0,4435.0,9235.0,23045.0,25534.0,48566.0,48566.0
Melton,1143.0,1171.0,2415.0,3068.0,2782.0,5872.0,763.0,873.0,1702.0,533.0,612.0,1176.0,4430.0,4291.0,8786.0,1797.0,1776.0,3656.0,478.0,514.0,1052.0,379.0,376.0,850.0,2714.0,2908.0,5577.0,137.0,83.0,254.0,114.0,198.0,340.0,223.0,88.0,351.0,253.0,545.0,797.0,3.0,0.0,6.0,861.0,1054.0,1966.0,428.0,700.0,1153.0,107.0,347.0,546.0,39.0,42.0,108.0,86.0,355.0,535.0,0.0,0.0,0.0,907.0,1547.0,2487.0,1739.0,2642.0,4350.0,175.0,185.0,434.0,176.0,419.0,615.0,0.0,0.0,0.0,366.0,642.0,1148.0,2745.0,2722.0,5452.0,13327.0,14470.0,27799.0,27799.0
Mildura,682.0,600.0,1331.0,2017.0,1954.0,3952.0,485.0,581.0,1090.0,145.0,155.0,374.0,2804.0,2689.0,5418.0,1637.0,1588.0,3232.0,284.0,330.0,612.0,76.0,90.0,209.0,2114.0,2124.0,4166.0,62.0,93.0,197.0,49.0,114.0,198.0,195.0,78.0,321.0,177.0,423.0,615.0,0.0,0.0,0.0,604.0,882.0,1514.0,60.0,191.0,328.0,26.0,144.0,198.0,3.0,18.0,40.0,51.0,288.0,380.0,0.0,3.0,3.0,256.0,787.0,1113.0,920.0,1622.0,2613.0,47.0,49.0,109.0,110.0,172.0,333.0,0.0,4.0,8.0,216.0,270.0,536.0,3114.0,2863.0,5966.0,9900.0,10297.0,20205.0,20205.0
Mill Park,811.0,723.0,1508.0,1928.0,1762.0,3630.0,844.0,833.0,1695.0,172.0,164.0,399.0,2975.0,2850.0,5820.0,1378.0,1315.0,2671.0,874.0,817.0,1741.0,141.0,132.0,346.0,2481.0,2400.0,4798.0,111.0,108.0,255.0,132.0,183.0,341.0,220.0,65.0,344.0,214.0,319.0,589.0,0.0,0.0,0.0,860.0,841.0,1759.0,822.0,1031.0,1865.0,247.0,314.0,627.0,26.0,69.0,135.0,125.0,328.0,557.0,0.0,3.0,3.0,1330.0,1932.0,3215.0,2226.0,2781.0,4937.0,122.0,92.0,288.0,165.0,216.0,447.0,0.0,0.0,0.0,326.0,394.0,799.0,1509.0,1642.0,3168.0,10390.0,10807.0,21236.0,21236.0
Monbulk,786.0,686.0,1468.0,2344.0,2124.0,4532.0,165.0,213.0,407.0,289.0,269.0,635.0,2941.0,2700.0,5608.0,1429.0,1306.0,2761.0,463.0,443.0,924.0,512.0,434.0,994.0,2479.0,2225.0,4679.0,45.0,83.0,195.0,17.0,49.0,115.0,297.0,77.0,499.0,213.0,341.0,587.0,3.0,0.0,3.0,792.0,763.0,1552.0,476.0,649.0,1172.0,79.0,215.0,358.0,24.0,71.0,132.0,196.0,576.0,804.0,0.0,0.0,0.0,959.0,1622.0,2551.0,1746.0,2396.0,4107.0,13.0,23.0,39.0,66.0,156.0,294.0,0.0,0.0,0.0,99.0,206.0,372.0,1315.0,1270.0,2608.0,9407.0,9562.0,18960.0,18960.0
Mordialloc,948.0,861.0,1792.0,2078.0,1971.0,4111.0,847.0,804.0,1634.0,334.0,327.0,692.0,3344.0,3120.0,6470.0,1410.0,1440.0,2855.0,686.0,681.0,1444.0,571.0,621.0,1228.0,2808.0,2773.0,5495.0,132.0,73.0,237.0,24.0,91.0,194.0,201.0,49.0,338.0,239.0,312.0,630.0,0.0,0.0,0.0,770.0,740.0,1531.0,992.0,1095.0,2029.0,125.0,254.0,410.0,65.0,88.0,211.0,264.0,485.0,751.0,0.0,0.0,0.0,1538.0,2036.0,3579.0,2307.0,2807.0,5150.0,68.0,14.0,127.0,75.0,209.0,372.0,4.0,0.0,4.0,185.0,295.0,566.0,1000.0,1053.0,2018.0,10603.0,11020.0,21557.0,21557.0
Mornington,707.0,634.0,1368.0,2170.0,1959.0,4069.0,328.0,295.0,636.0,402.0,475.0,928.0,2955.0,2771.0,5676.0,1084.0,915.0,2019.0,643.0,619.0,1306.0,831.0,915.0,1794.0,2632.0,2491.0,5140.0,48.0,73.0,153.0,7.0,59.0,102.0,203.0,38.0,336.0,123.0,272.0,461.0,0.0,0.0,0.0,568.0,612.0,1194.0,464.0,723.0,1271.0,46.0,113.0,203.0,35.0,32.0,126.0,144.0,340.0,572.0,0.0,0.0,3.0,867.0,1367.0,2220.0,1480.0,2012.0,3456.0,5.0,14.0,26.0,43.0,138.0,227.0,0.0,0.0,0.0,60.0,177.0,316.0,1211.0,1392.0,2606.0,9107.0,9590.0,18647.0,18647.0
Morwell,669.0,594.0,1290.0,1919.0,1730.0,3657.0,698.0,708.0,1505.0,144.0,133.0,299.0,2832.0,2659.0,5502.0,1408.0,1271.0,2621.0,477.0,536.0,1045.0,125.0,183.0,336.0,2170.0,2056.0,4188.0,51.0,68.0,137.0,36.0,147.0,203.0,227.0,152.0,434.0,215.0,358.0,657.0,0.0,0.0,0.0,585.0,914.0,1580.0,195.0,384.0,666.0,50.0,185.0,334.0,24.0,47.0,87.0,121.0,345.0,490.0,0.0,0.0,0.0,560.0,1086.0,1711.0,1230.0,1958.0,3262.0,32.0,45.0,76.0,101.0,173.0,305.0,0.0,0.0,0.0,165.0,261.0,510.0,2755.0,2781.0,5547.0,9872.0,10476.0,20334.0,20334.0
