DS_NS_FHs_CF_C_n,DS_NS_FHs_CF_C_pc,DS_NS_FHs_CF_no_C_n,DS_NS_FHs_CF_no_C_pc,DS_NS_FHs_OnePF_n,DS_NS_FHs_OnePF_pc,DS_NS_FHs_Oth_fam_n,DS_NS_FHs_Oth_fam_pc,DS_NS_FHs_Tot_n,DS_NS_FHs_Tot_pc,DS_NS_Group_H_n,DS_NS_Group_H_pc,DS_NS_Lone_P_H_n,DS_NS_Lone_P_H_pc,DS_NS_Tot_n,DS_NS_Tot_pc,FoA_1_or_2_SB_FHs_CF_C_n,FoA_1_or_2_SB_FHs_CF_C_pc,FoA_1_or_2_SB_FHs_CF_no_C_n,FoA_1_or_2_SB_FHs_CF_no_C_pc,FoA_1_or_2_SB_FHs_OnePF_n,FoA_1_or_2_SB_FHs_OnePF_pc,FoA_1_or_2_SB_FHs_Oth_fam_n,FoA_1_or_2_SB_FHs_Oth_fam_pc,FoA_1_or_2_SB_FHs_Tot_n,FoA_1_or_2_SB_FHs_Tot_pc,FoA_1_or_2_SB_Group_H_n,FoA_1_or_2_SB_Group_H_pc,FoA_1_or_2_SB_Lone_P_H_n,FoA_1_or_2_SB_Lone_P_H_pc,FoA_1_or_2_SB_Tot_n,FoA_1_or_2_SB_Tot_pc,FoA_3SB_FHs_CF_C_n,FoA_3SB_FHs_CF_C_pc,FoA_3SB_FHs_CF_no_C_n,FoA_3SB_FHs_CF_no_C_pc,FoA_3SB_FHs_OnePF_n,FoA_3SB_FHs_OnePF_pc,FoA_3SB_FHs_Oth_fam_n,FoA_3SB_FHs_Oth_fam_pc,FoA_3SB_FHs_Tot_n,FoA_3SB_FHs_Tot_pc,FoA_3SB_Group_H_n,FoA_3SB_Group_H_pc,FoA_3SB_Lone_P_H_n,FoA_3SB_Lone_P_H_pc,FoA_3SB_Tot_n,FoA_3SB_Tot_pc,FoA_4_to_8_SB_FHs_CF_C_n,FoA_4_to_8_SB_FHs_CF_C_pc,FoA_4_to_8_SB_FHs_CF_no_C_n,FoA_4_to_8_SB_FHs_CF_no_C_pc,FoA_4_to_8_SB_FHs_OnePF_n,FoA_4_to_8_SB_FHs_OnePF_pc,FoA_4_to_8_SB_FHs_Oth_fam_n,FoA_4_to_8_SB_FHs_Oth_fam_pc,FoA_4_to_8_SB_FHs_Tot_n,FoA_4_to_8_SB_FHs_Tot_pc,FoA_4_to_8_SB_Group_H_n,FoA_4_to_8_SB_Group_H_pc,FoA_4_to_8_SB_Lone_P_H_n,FoA_4_to_8_SB_Lone_P_H_pc,FoA_4_to_8_SB_Tot_n,FoA_4_to_8_SB_Tot_pc,FoA_9moSB_FHs_CF_C_n,FoA_9moSB_FHs_CF_C_pc,FoA_9moSB_FHs_CF_no_C_n,FoA_9moSB_FHs_CF_no_C_pc,FoA_9moSB_FHs_OnePF_n,FoA_9moSB_FHs_OnePF_pc,FoA_9moSB_FHs_Oth_fam_n,FoA_9moSB_FHs_Oth_fam_pc,FoA_9moSB_FHs_Tot_n,FoA_9moSB_FHs_Tot_pc,FoA_9moSB_Group_H_n,FoA_9moSB_Group_H_pc,FoA_9moSB_Lone_P_H_n,FoA_9moSB_Lone_P_H_pc,FoA_9moSB_Tot_n,FoA_9moSB_Tot_pc,FoA_Att_to_hous_FHs_CF_C_n,FoA_Att_to_hous_FHs_CF_C_pc,FoA_Att_to_hous_FHs_CF_no_C_n,FoA_Att_to_hous_FHs_CF_no_C_pc,FoA_Att_to_hous_FHs_OnePF_n,FoA_Att_to_hous_FHs_OnePF_pc,FoA_Att_to_hous_FHs_Oth_fam_n,FoA_Att_to_hous_FHs_Oth_fam_pc,FoA_Att_to_hous_FHs_Tot_n,FoA_Att_to_hous_FHs_Tot_pc,FoA_Att_to_hous_Group_H_n,FoA_Att_to_hous_Group_H_pc,FoA_Att_to_hous_Lone_P_H_n,FoA_Att_to_hous_Lone_P_H_pc,FoA_Att_to_hous_Tot_n,FoA_Att_to_hous_Tot_pc,FoA_Tot_FHs_CF_C_n,FoA_Tot_FHs_CF_C_pc,FoA_Tot_FHs_CF_no_C_n,FoA_Tot_FHs_CF_no_C_pc,FoA_Tot_FHs_OnePF_n,FoA_Tot_FHs_OnePF_pc,FoA_Tot_FHs_Oth_fam_n,FoA_Tot_FHs_Oth_fam_pc,FoA_Tot_FHs_Tot_n,FoA_Tot_FHs_Tot_pc,FoA_Tot_Group_H_n,FoA_Tot_Group_H_pc,FoA_Tot_Lone_P_H_n,FoA_Tot_Lone_P_H_pc,FoA_Tot_Tot_n,FoA_Tot_Tot_pc,OD_CH_FHs_CF_C_n,OD_CH_FHs_CF_C_pc,OD_CH_FHs_CF_no_C_n,OD_CH_FHs_CF_no_C_pc,OD_CH_FHs_OnePF_n,OD_CH_FHs_OnePF_pc,OD_CH_FHs_Oth_fam_n,OD_CH_FHs_Oth_fam_pc,OD_CH_FHs_Tot_n,OD_CH_FHs_Tot_pc,OD_CH_Group_H_n,OD_CH_Group_H_pc,OD_CH_Lone_P_H_n,OD_CH_Lone_P_H_pc,OD_CH_Tot_n,OD_CH_Tot_pc,OD_C_FHs_CF_C_n,OD_C_FHs_CF_C_pc,OD_C_FHs_CF_no_C_n,OD_C_FHs_CF_no_C_pc,OD_C_FHs_OnePF_n,OD_C_FHs_OnePF_pc,OD_C_FHs_Oth_fam_n,OD_C_FHs_Oth_fam_pc,OD_C_FHs_Tot_n,OD_C_FHs_Tot_pc,OD_C_Group_H_n,OD_C_Group_H_pc,OD_C_Lone_P_H_n,OD_C_Lone_P_H_pc,OD_C_Tot_n,OD_C_Tot_pc,OD_HorF_at_to_S_O_FHs_CF_C_n,OD_HorF_at_to_S_O_FHs_CF_C_pc,OD_HorF_at_to_S_O_FHs_CF_no_C_n,OD_HorF_at_to_S_O_FHs_CF_no_C_pc,OD_HorF_at_to_S_O_FHs_OnePF_n,OD_HorF_at_to_S_O_FHs_OnePF_pc,OD_HorF_at_to_S_O_FHs_Oth_fam_n,OD_HorF_at_to_S_O_FHs_Oth_fam_pc,OD_HorF_at_to_S_O_FHs_Tot_n,OD_HorF_at_to_S_O_FHs_Tot_pc,OD_HorF_at_to_S_O_Group_H_n,OD_HorF_at_to_S_O_Group_H_pc,OD_HorF_at_to_S_O_Lone_P_H_n,OD_HorF_at_to_S_O_Lone_P_H_pc,OD_HorF_at_to_S_O_Tot_n,OD_HorF_at_to_S_O_Tot_pc,OD_Imp_home_T_SO_FHs_CF_C_n,OD_Imp_home_T_SO_FHs_CF_C_pc,OD_Imp_home_T_SO_FHs_CF_no_C_n,OD_Imp_home_T_SO_FHs_CF_no_C_pc,OD_Imp_home_T_SO_FHs_OnePF_n,OD_Imp_home_T_SO_FHs_OnePF_pc,OD_Imp_home_T_SO_FHs_Oth_fam_n,OD_Imp_home_T_SO_FHs_Oth_fam_pc,OD_Imp_home_T_SO_FHs_Tot_n,OD_Imp_home_T_SO_FHs_Tot_pc,OD_Imp_home_T_SO_Group_H_n,OD_Imp_home_T_SO_Group_H_pc,OD_Imp_home_T_SO_Lone_P_H_n,OD_Imp_home_T_SO_Lone_P_H_pc,OD_Imp_home_T_SO_Tot_n,OD_Imp_home_T_SO_Tot_pc,OD_Tot_FHs_CF_C_n,OD_Tot_FHs_CF_C_pc,OD_Tot_FHs_CF_no_C_n,OD_Tot_FHs_CF_no_C_pc,OD_Tot_FHs_OnePF_n,OD_Tot_FHs_OnePF_pc,OD_Tot_FHs_Oth_fam_n,OD_Tot_FHs_Oth_fam_pc,OD_Tot_FHs_Tot_n,OD_Tot_FHs_Tot_pc,OD_Tot_Group_H_n,OD_Tot_Group_H_pc,OD_Tot_Lone_P_H_n,OD_Tot_Lone_P_H_pc,OD_Tot_Tot_n,OD_Tot_Tot_pc,SDRTHT_1_S_FHs_CF_C_n,SDRTHT_1_S_FHs_CF_C_pc,SDRTHT_1_S_FHs_CF_no_C_n,SDRTHT_1_S_FHs_CF_no_C_pc,SDRTHT_1_S_FHs_OnePF_n,SDRTHT_1_S_FHs_OnePF_pc,SDRTHT_1_S_FHs_Oth_fam_n,SDRTHT_1_S_FHs_Oth_fam_pc,SDRTHT_1_S_FHs_Tot_n,SDRTHT_1_S_FHs_Tot_pc,SDRTHT_1_S_Group_H_n,SDRTHT_1_S_Group_H_pc,SDRTHT_1_S_Lone_P_H_n,SDRTHT_1_S_Lone_P_H_pc,SDRTHT_1_S_Tot_n,SDRTHT_1_S_Tot_pc,SDRTHT_2more_S_FHs_CF_C_n,SDRTHT_2more_S_FHs_CF_C_pc,SDRTHT_2more_S_FHs_CF_no_C_n,SDRTHT_2more_S_FHs_CF_no_C_pc,SDRTHT_2more_S_FHs_OnePF_n,SDRTHT_2more_S_FHs_OnePF_pc,SDRTHT_2more_S_FHs_Oth_fam_n,SDRTHT_2more_S_FHs_Oth_fam_pc,SDRTHT_2more_S_FHs_Tot_n,SDRTHT_2more_S_FHs_Tot_pc,SDRTHT_2more_S_Group_H_n,SDRTHT_2more_S_Group_H_pc,SDRTHT_2more_S_Lone_P_H_n,SDRTHT_2more_S_Lone_P_H_pc,SDRTHT_2more_S_Tot_n,SDRTHT_2more_S_Tot_pc,SDRTHT_Tot_FHs_CF_C_n,SDRTHT_Tot_FHs_CF_C_pc,SDRTHT_Tot_FHs_CF_no_C_n,SDRTHT_Tot_FHs_CF_no_C_pc,SDRTHT_Tot_FHs_OnePF_n,SDRTHT_Tot_FHs_OnePF_pc,SDRTHT_Tot_FHs_Oth_fam_n,SDRTHT_Tot_FHs_Oth_fam_pc,SDRTHT_Tot_FHs_Tot_n,SDRTHT_Tot_FHs_Tot_pc,SDRTHT_Tot_Group_H_n,SDRTHT_Tot_Group_H_pc,SDRTHT_Tot_Lone_P_H_n,SDRTHT_Tot_Lone_P_H_pc,SDRTHT_Tot_Tot_n,SDRTHT_Tot_Tot_pc,SH_FHs_CF_C_n,SH_FHs_CF_C_pc,SH_FHs_CF_no_C_n,SH_FHs_CF_no_C_pc,SH_FHs_OnePF_n,SH_FHs_OnePF_pc,SH_FHs_Oth_fam_n,SH_FHs_Oth_fam_pc,SH_FHs_Tot_n,SH_FHs_Tot_pc,SH_Group_H_n,SH_Group_H_pc,SH_Lone_P_H_n,SH_Lone_P_H_pc,SH_Tot_n,SH_Tot_pc,Tot_FHs_CF_C_n,Tot_FHs_CF_C_pc,Tot_FHs_CF_no_C_n,Tot_FHs_CF_no_C_pc,Tot_FHs_OnePF_n,Tot_FHs_OnePF_pc,Tot_FHs_Oth_fam_n,Tot_FHs_Oth_fam_pc,Tot_FHs_Tot_n,Tot_FHs_Tot_pc,Tot_Group_H_n,Tot_Group_H_pc,Tot_Lone_P_H_n,Tot_Lone_P_H_pc,Tot_Tot_n,Tot_Tot_pc,Tot_Tot_total
1.0,1.0,87.0,86.0,1.0,1.0,1.0,1.0,87.0,86.0,1.0,1.0,86.0,86.0,87.0,87.0,63.0,60.0,74.0,69.0,66.0,59.0,43.0,43.0,68.0,63.0,74.0,68.0,77.0,71.0,74.0,68.0,85.0,83.0,84.0,82.0,86.0,84.0,75.0,73.0,85.0,82.0,84.0,82.0,87.0,83.0,86.0,82.0,87.0,86.0,85.0,86.0,88.0,88.0,82.0,80.0,85.0,86.0,82.0,80.0,85.0,85.0,85.0,84.0,87.0,87.0,87.0,87.0,85.0,85.0,87.0,87.0,87.0,87.0,87.0,87.0,86.0,86.0,87.0,87.0,85.0,82.0,1.0,1.0,1.0,1.0,1.0,1.0,79.0,73.0,1.0,1.0,82.0,76.0,76.0,61.0,86.0,87.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,49.0,49.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,83.0,81.0,88.0,88.0,82.0,81.0,1.0,1.0,88.0,88.0,87.0,87.0,88.0,88.0,88.0,88.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,82.0,78.0,88.0,85.0,79.0,74.0,1.0,1.0,88.0,87.0,87.0,87.0,87.0,78.0,87.0,85.0,88.0,86.0,85.0,81.0,82.0,69.0,80.0,71.0,86.0,83.0,80.0,78.0,69.0,47.0,83.0,76.0,87.0,81.0,82.0,79.0,87.0,82.0,84.0,82.0,87.0,81.0,80.0,78.0,84.0,80.0,84.0,81.0,88.0,87.0,86.0,82.0,86.0,77.0,79.0,77.0,88.0,85.0,80.0,77.0,81.0,67.0,86.0,81.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,4.0,86.0,67.0,7.0,3.0,76.0,68.0,34.0,4.0,83.0,82.0,86.0,86.0,86.0,1.0,86.0
2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,41.0,41.0,11.0,11.0,88.0,88.0,83.0,82.0,87.0,87.0,87.0,87.0,88.0,88.0,67.0,67.0,74.0,76.0,84.0,83.0,66.0,62.0,70.0,68.0,51.0,50.0,69.0,68.0,68.0,67.0,68.0,68.0,68.0,67.0,69.0,67.0,63.0,63.0,66.0,66.0,67.0,67.0,73.0,72.0,65.0,65.0,59.0,59.0,67.0,66.0,66.0,65.0,69.0,69.0,72.0,70.0,60.0,60.0,1.0,1.0,70.0,69.0,74.0,74.0,68.0,68.0,69.0,68.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,58.0,44.0,84.0,85.0,72.0,72.0,77.0,77.0,75.0,75.0,76.0,76.0,69.0,68.0,69.0,68.0,74.0,72.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,78.0,71.0,54.0,47.0,1.0,1.0,2.0,2.0,62.0,60.0,68.0,68.0,67.0,64.0,68.0,67.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,74.0,63.0,29.0,23.0,1.0,1.0,2.0,2.0,35.0,33.0,55.0,55.0,29.0,29.0,32.0,32.0,65.0,61.0,57.0,53.0,49.0,45.0,59.0,57.0,60.0,57.0,40.0,38.0,28.0,28.0,51.0,47.0,71.0,70.0,61.0,61.0,58.0,55.0,38.0,38.0,63.0,65.0,72.0,72.0,52.0,51.0,62.0,63.0,68.0,67.0,59.0,60.0,54.0,53.0,53.0,47.0,61.0,61.0,68.0,67.0,38.0,32.0,57.0,58.0,62.0,51.0,33.0,25.0,22.0,20.0,52.0,43.0,28.0,25.0,75.0,70.0,30.0,22.0,29.0,24.0,77.0,65.0,44.0,25.0,42.0,29.0,68.0,69.0,76.0,57.0,70.0,66.0,35.0,25.0,73.0,2.0,73.0
3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,37.0,37.0,3.0,3.0,66.0,67.0,66.0,69.0,29.0,28.0,31.0,31.0,32.0,33.0,1.0,1.0,34.0,36.0,1.0,1.0,36.0,36.0,35.0,35.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,33.0,32.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.0,35.0,1.0,1.0,35.0,35.0,34.0,34.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,69.0,69.0,77.0,76.0,26.0,25.0,34.0,33.0,19.0,19.0,1.0,1.0,31.0,31.0,1.0,1.0,31.0,32.0,32.0,31.0,3.0,3.0,82.0,82.0,82.0,79.0,3.0,3.0,81.0,82.0,3.0,3.0,78.0,78.0,79.0,78.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,65.0,65.0,3.0,3.0,75.0,76.0,74.0,74.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,30.0,30.0,1.0,1.0,1.0,1.0,35.0,35.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,66.0,69.0,72.0,63.0,3.0,3.0,62.0,65.0,1.0,1.0,74.0,74.0,68.0,69.0,2.0,2.0,5.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,4.0,12.0,13.0,3.0,2.0,24.0,24.0,30.0,30.0,16.0,17.0,1.0,1.0,22.0,23.0,30.0,27.0,18.0,17.0,20.0,20.0,10.0,10.0,11.0,12.0,2.0,2.0,1.0,1.0,8.0,9.0,7.0,5.0,8.0,10.0,7.0,6.0,32.0,39.0,78.0,81.0,37.0,41.0,29.0,33.0,51.0,61.0,48.0,52.0,72.0,78.0,65.0,82.0,19.0,29.0,72.0,83.0,18.0,24.0,9.0,8.0,23.0,43.0,31.0,36.0,42.0,50.0,18.0,3.0,18.0
4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,1.0,1.0,25.0,21.0,45.0,44.0,42.0,41.0,42.0,40.0,47.0,44.0,43.0,43.0,39.0,38.0,43.0,41.0,41.0,39.0,60.0,59.0,62.0,62.0,65.0,65.0,64.0,64.0,59.0,59.0,66.0,66.0,62.0,62.0,62.0,62.0,2.0,2.0,47.0,46.0,56.0,55.0,2.0,2.0,48.0,49.0,2.0,2.0,46.0,46.0,47.0,47.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0,45.0,45.0,47.0,46.0,46.0,45.0,47.0,48.0,49.0,48.0,45.0,44.0,48.0,47.0,45.0,47.0,45.0,45.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,1.0,1.0,2.0,2.0,35.0,35.0,30.0,28.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,2.0,20.0,20.0,18.0,16.0,63.0,62.0,62.0,61.0,74.0,79.0,76.0,77.0,65.0,64.0,59.0,57.0,67.0,65.0,68.0,67.0,54.0,52.0,58.0,59.0,69.0,70.0,60.0,60.0,60.0,59.0,65.0,65.0,66.0,65.0,60.0,60.0,53.0,53.0,60.0,63.0,70.0,71.0,70.0,68.0,59.0,59.0,60.0,60.0,65.0,66.0,60.0,62.0,55.0,47.0,54.0,50.0,63.0,57.0,45.0,39.0,47.0,35.0,57.0,53.0,57.0,54.0,43.0,35.0,52.0,47.0,50.0,48.0,71.0,67.0,51.0,45.0,62.0,50.0,49.0,50.0,40.0,37.0,58.0,4.0,58.0
5.0,5.0,75.0,64.0,5.0,5.0,5.0,5.0,77.0,74.0,5.0,5.0,42.0,42.0,41.0,33.0,8.0,8.0,25.0,24.0,4.0,4.0,2.0,2.0,18.0,18.0,2.0,2.0,23.0,22.0,22.0,22.0,38.0,38.0,29.0,29.0,2.0,2.0,2.0,2.0,29.0,26.0,2.0,2.0,1.0,1.0,16.0,16.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,3.0,1.0,1.0,11.0,8.0,22.0,20.0,4.0,4.0,2.0,2.0,15.0,14.0,2.0,2.0,18.0,18.0,15.0,15.0,5.0,5.0,76.0,75.0,73.0,73.0,5.0,5.0,73.0,72.0,81.0,78.0,77.0,76.0,77.0,77.0,5.0,5.0,62.0,62.0,5.0,5.0,5.0,5.0,57.0,57.0,5.0,5.0,52.0,52.0,53.0,52.0,3.0,3.0,58.0,57.0,4.0,4.0,5.0,5.0,51.0,49.0,3.0,3.0,42.0,40.0,42.0,41.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,62.0,60.0,59.0,51.0,5.0,5.0,56.0,54.0,61.0,56.0,67.0,67.0,63.0,62.0,9.0,6.0,23.0,20.0,10.0,11.0,2.0,2.0,14.0,12.0,5.0,5.0,27.0,25.0,17.0,15.0,19.0,19.0,35.0,34.0,19.0,19.0,2.0,2.0,27.0,26.0,1.0,1.0,22.0,22.0,22.0,21.0,16.0,16.0,27.0,25.0,14.0,12.0,2.0,2.0,20.0,19.0,3.0,1.0,21.0,18.0,15.0,11.0,40.0,38.0,88.0,87.0,41.0,36.0,39.0,34.0,77.0,65.0,31.0,30.0,73.0,68.0,82.0,80.0,26.0,27.0,85.0,88.0,30.0,20.0,16.0,13.0,58.0,47.0,17.0,13.0,44.0,43.0,50.0,5.0,50.0
84.0,81.0,86.0,87.0,6.0,6.0,6.0,6.0,86.0,87.0,6.0,6.0,2.0,2.0,84.0,85.0,14.0,14.0,26.0,25.0,29.0,29.0,3.0,3.0,28.0,28.0,38.0,39.0,31.0,34.0,31.0,31.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,4.0,4.0,70.0,62.0,7.0,9.0,19.0,21.0,23.0,23.0,3.0,3.0,21.0,22.0,32.0,32.0,25.0,26.0,25.0,26.0,6.0,6.0,4.0,4.0,4.0,4.0,6.0,6.0,4.0,4.0,5.0,5.0,50.0,50.0,55.0,54.0,6.0,6.0,63.0,63.0,6.0,6.0,6.0,6.0,58.0,58.0,6.0,6.0,77.0,77.0,79.0,79.0,4.0,4.0,62.0,63.0,5.0,5.0,6.0,6.0,53.0,54.0,4.0,4.0,51.0,53.0,56.0,54.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,49.0,49.0,51.0,52.0,6.0,6.0,50.0,51.0,3.0,3.0,53.0,55.0,55.0,58.0,19.0,18.0,12.0,13.0,36.0,37.0,24.0,27.0,17.0,16.0,44.0,46.0,55.0,60.0,29.0,32.0,6.0,6.0,4.0,3.0,14.0,14.0,46.0,44.0,11.0,10.0,2.0,2.0,10.0,9.0,9.0,9.0,11.0,11.0,8.0,8.0,20.0,19.0,32.0,32.0,13.0,12.0,32.0,34.0,40.0,43.0,18.0,18.0,34.0,40.0,73.0,74.0,57.0,62.0,30.0,35.0,53.0,59.0,38.0,42.0,66.0,75.0,61.0,67.0,20.0,28.0,64.0,72.0,45.0,53.0,20.0,20.0,26.0,37.0,29.0,35.0,48.0,56.0,25.0,6.0,25.0
6.0,6.0,80.0,81.0,7.0,7.0,7.0,7.0,78.0,75.0,7.0,7.0,61.0,55.0,78.0,79.0,1.0,1.0,16.0,12.0,19.0,16.0,4.0,4.0,16.0,11.0,3.0,3.0,18.0,17.0,16.0,15.0,41.0,39.0,39.0,36.0,4.0,4.0,4.0,4.0,33.0,32.0,4.0,4.0,20.0,19.0,23.0,23.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,5.0,5.0,2.0,2.0,8.0,6.0,17.0,17.0,15.0,13.0,4.0,4.0,13.0,13.0,3.0,3.0,12.0,11.0,11.0,10.0,7.0,7.0,67.0,67.0,5.0,5.0,7.0,7.0,70.0,69.0,6.0,6.0,54.0,54.0,58.0,57.0,7.0,7.0,64.0,64.0,7.0,7.0,7.0,7.0,59.0,59.0,7.0,7.0,51.0,4.0,59.0,55.0,5.0,5.0,47.0,48.0,6.0,6.0,7.0,7.0,48.0,50.0,5.0,5.0,60.0,54.0,39.0,39.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,55.0,53.0,3.0,3.0,7.0,7.0,54.0,55.0,4.0,4.0,34.0,34.0,39.0,39.0,24.0,23.0,24.0,23.0,32.0,29.0,45.0,46.0,20.0,19.0,49.0,48.0,59.0,59.0,38.0,34.0,18.0,18.0,18.0,18.0,18.0,18.0,3.0,3.0,18.0,18.0,42.0,42.0,15.0,14.0,18.0,18.0,21.0,21.0,18.0,17.0,17.0,16.0,30.0,29.0,17.0,17.0,48.0,46.0,46.0,46.0,25.0,23.0,50.0,43.0,71.0,69.0,78.0,75.0,63.0,62.0,69.0,57.0,71.0,72.0,74.0,70.0,80.0,70.0,35.0,35.0,62.0,65.0,67.0,62.0,34.0,32.0,48.0,39.0,56.0,56.0,52.0,49.0,51.0,7.0,51.0
