district,census_variable,value,rank
Albert Park,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,1.0
Ashwood,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,2.0
Bass,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,3.0
Bayswater,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,4.0
Bellarine,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,5.0
Bendigo East,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,6.0
Bendigo West,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,7.0
Bentleigh,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,8.0
Berwick,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,9.0
Box Hill,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,10.0
Brighton,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,11.0
Broadmeadows,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,12.0
Brunswick,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,13.0
Bulleen,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,14.0
Bundoora,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,15.0
Carrum,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,16.0
Caulfield,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,17.0
Clarinda,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,18.0
Croydon,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,19.0
Dandenong,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,20.0
Eildon,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,21.0
Eltham,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,22.0
Eureka,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,23.0
Evelyn,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,24.0
Footscray,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,25.0
Frankston,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,26.0
Geelong,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,27.0
Gippsland South,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,28.0
Glen Waverley,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,29.0
Greenvale,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,30.0
Hastings,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,31.0
Hawthorn,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,32.0
Ivanhoe,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,33.0
Kalkallo,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,34.0
Kew,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,35.0
Kororoit,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,36.0
Lara,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,37.0
Macedon,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,38.0
Malvern,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,39.0
Melbourne,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,40.0
Melton,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,41.0
Mill Park,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,42.0
Monbulk,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,43.0
Mordialloc,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,44.0
Mornington,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,45.0
Morwell,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,46.0
Mulgrave,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,47.0
Murray Plains,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,48.0
Narracan,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,49.0
Narre Warren North,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,50.0
Narre Warren South,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,51.0
Nepean,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,52.0
Niddrie,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,53.0
Northcote,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,54.0
Oakleigh,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,55.0
Ovens Valley,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,56.0
Pakenham,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,57.0
Pascoe Vale,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,58.0
Point Cook,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,59.0
Polwarth,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,60.0
Prahran,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,61.0
Preston,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,62.0
Richmond,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,63.0
Ringwood,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,64.0
Ripon,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,65.0
Rowville,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,66.0
Sandringham,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,67.0
Shepparton,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,68.0
South Barwon,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,69.0
Sunbury,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,70.0
Sydenham,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,71.0
Tarneit,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,72.0
Thomastown,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,73.0
Warrandyte,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,74.0
Werribee,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,75.0
Williamstown,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,76.0
Yan Yean,Oth_typ_ed_instit_F_Pt_ns_F_n,0.0,77.0
Essendon,Oth_typ_ed_instit_F_Pt_ns_F_n,3.0,78.0
Gippsland East,Oth_typ_ed_instit_F_Pt_ns_F_n,3.0,79.0
Wendouree,Oth_typ_ed_instit_F_Pt_ns_F_n,3.0,80.0
Benambra,Oth_typ_ed_instit_F_Pt_ns_F_n,4.0,81.0
Cranbourne,Oth_typ_ed_instit_F_Pt_ns_F_n,4.0,82.0
Euroa,Oth_typ_ed_instit_F_Pt_ns_F_n,4.0,83.0
Mildura,Oth_typ_ed_instit_F_Pt_ns_F_n,4.0,84.0
South-West Coast,Oth_typ_ed_instit_F_Pt_ns_F_n,5.0,85.0
Laverton,Oth_typ_ed_instit_F_Pt_ns_F_n,6.0,86.0
Lowan,Oth_typ_ed_instit_F_Pt_ns_F_n,8.0,87.0
St Albans,Oth_typ_ed_instit_F_Pt_ns_F_n,8.0,88.0
Albert Park,Oth_typ_ed_instit_F_Pt_ns_F_pc,0.0,1.0
Ashwood,Oth_typ_ed_instit_F_Pt_ns_F_pc,0.0,2.0
Bass,Oth_typ_ed_instit_F_Pt_ns_F_pc,0.0,3.0
Bayswater,Oth_typ_ed_instit_F_Pt_ns_F_pc,0.0,4.0
Bellarine,Oth_typ_ed_instit_F_Pt_ns_F_pc,0.0,5.0
Bendigo East,Oth_typ_ed_instit_F_Pt_ns_F_pc,0.0,6.0
Bendigo West,Oth_typ_ed_instit_F_Pt_ns_F_pc,0.0,7.0
Bentleigh,Oth_typ_ed_instit_F_Pt_ns_F_pc,0.0,8.0
Berwick,Oth_typ_ed_instit_F_Pt_ns_F_pc,0.0,9.0
Box Hill,Oth_typ_ed_instit_F_Pt_ns_F_pc,0.0,10.0
