district,census_variable,value,rank
Albert Park,Afghanistan_1951_1960,0.0,1.0
Ashwood,Afghanistan_1951_1960,0.0,2.0
Bass,Afghanistan_1951_1960,0.0,3.0
Bayswater,Afghanistan_1951_1960,0.0,4.0
Bellarine,Afghanistan_1951_1960,0.0,5.0
Benambra,Afghanistan_1951_1960,0.0,6.0
Bendigo East,Afghanistan_1951_1960,0.0,7.0
Bendigo West,Afghanistan_1951_1960,0.0,8.0
Bentleigh,Afghanistan_1951_1960,0.0,9.0
Berwick,Afghanistan_1951_1960,0.0,10.0
Box Hill,Afghanistan_1951_1960,0.0,11.0
Brighton,Afghanistan_1951_1960,0.0,12.0
Broadmeadows,Afghanistan_1951_1960,0.0,13.0
Brunswick,Afghanistan_1951_1960,0.0,14.0
Bulleen,Afghanistan_1951_1960,0.0,15.0
Bundoora,Afghanistan_1951_1960,0.0,16.0
Carrum,Afghanistan_1951_1960,0.0,17.0
Caulfield,Afghanistan_1951_1960,0.0,18.0
Clarinda,Afghanistan_1951_1960,0.0,19.0
Cranbourne,Afghanistan_1951_1960,0.0,20.0
Croydon,Afghanistan_1951_1960,0.0,21.0
Dandenong,Afghanistan_1951_1960,0.0,22.0
Eildon,Afghanistan_1951_1960,0.0,23.0
Eltham,Afghanistan_1951_1960,0.0,24.0
Essendon,Afghanistan_1951_1960,0.0,25.0
Eureka,Afghanistan_1951_1960,0.0,26.0
Euroa,Afghanistan_1951_1960,0.0,27.0
Evelyn,Afghanistan_1951_1960,0.0,28.0
Footscray,Afghanistan_1951_1960,0.0,29.0
Frankston,Afghanistan_1951_1960,0.0,30.0
Geelong,Afghanistan_1951_1960,0.0,31.0
Gippsland East,Afghanistan_1951_1960,0.0,32.0
Gippsland South,Afghanistan_1951_1960,0.0,33.0
Glen Waverley,Afghanistan_1951_1960,0.0,34.0
Greenvale,Afghanistan_1951_1960,0.0,35.0
Hastings,Afghanistan_1951_1960,0.0,36.0
Hawthorn,Afghanistan_1951_1960,0.0,37.0
Ivanhoe,Afghanistan_1951_1960,0.0,38.0
Kalkallo,Afghanistan_1951_1960,0.0,39.0
Kew,Afghanistan_1951_1960,0.0,40.0
Kororoit,Afghanistan_1951_1960,0.0,41.0
Lara,Afghanistan_1951_1960,0.0,42.0
Laverton,Afghanistan_1951_1960,0.0,43.0
Lowan,Afghanistan_1951_1960,0.0,44.0
Macedon,Afghanistan_1951_1960,0.0,45.0
Malvern,Afghanistan_1951_1960,0.0,46.0
Melbourne,Afghanistan_1951_1960,0.0,47.0
Melton,Afghanistan_1951_1960,0.0,48.0
Mildura,Afghanistan_1951_1960,0.0,49.0
Mill Park,Afghanistan_1951_1960,0.0,50.0
Monbulk,Afghanistan_1951_1960,0.0,51.0
Mordialloc,Afghanistan_1951_1960,0.0,52.0
Mornington,Afghanistan_1951_1960,0.0,53.0
Morwell,Afghanistan_1951_1960,0.0,54.0
Mulgrave,Afghanistan_1951_1960,0.0,55.0
Murray Plains,Afghanistan_1951_1960,0.0,56.0
Narracan,Afghanistan_1951_1960,0.0,57.0
Narre Warren North,Afghanistan_1951_1960,0.0,58.0
Narre Warren South,Afghanistan_1951_1960,0.0,59.0
Nepean,Afghanistan_1951_1960,0.0,60.0
Niddrie,Afghanistan_1951_1960,0.0,61.0
Northcote,Afghanistan_1951_1960,0.0,62.0
Oakleigh,Afghanistan_1951_1960,0.0,63.0
Ovens Valley,Afghanistan_1951_1960,0.0,64.0
Pakenham,Afghanistan_1951_1960,0.0,65.0
Pascoe Vale,Afghanistan_1951_1960,0.0,66.0
Point Cook,Afghanistan_1951_1960,0.0,67.0
Polwarth,Afghanistan_1951_1960,0.0,68.0
Prahran,Afghanistan_1951_1960,0.0,69.0
Preston,Afghanistan_1951_1960,0.0,70.0
Richmond,Afghanistan_1951_1960,0.0,71.0
Ringwood,Afghanistan_1951_1960,0.0,72.0
Ripon,Afghanistan_1951_1960,0.0,73.0
Rowville,Afghanistan_1951_1960,0.0,74.0
Sandringham,Afghanistan_1951_1960,0.0,75.0
Shepparton,Afghanistan_1951_1960,0.0,76.0
South Barwon,Afghanistan_1951_1960,0.0,77.0
South-West Coast,Afghanistan_1951_1960,0.0,78.0
St Albans,Afghanistan_1951_1960,0.0,79.0
Sunbury,Afghanistan_1951_1960,0.0,80.0
Sydenham,Afghanistan_1951_1960,0.0,81.0
Tarneit,Afghanistan_1951_1960,0.0,82.0
Thomastown,Afghanistan_1951_1960,0.0,83.0
Warrandyte,Afghanistan_1951_1960,0.0,84.0
Wendouree,Afghanistan_1951_1960,0.0,85.0
Werribee,Afghanistan_1951_1960,0.0,86.0
Williamstown,Afghanistan_1951_1960,0.0,87.0
Yan Yean,Afghanistan_1951_1960,0.0,88.0
Albert Park,Afghanistan_1951_1960_pc,0.0,1.0
Ashwood,Afghanistan_1951_1960_pc,0.0,2.0
Bass,Afghanistan_1951_1960_pc,0.0,3.0
Bayswater,Afghanistan_1951_1960_pc,0.0,4.0
Bellarine,Afghanistan_1951_1960_pc,0.0,5.0
Benambra,Afghanistan_1951_1960_pc,0.0,6.0
Bendigo East,Afghanistan_1951_1960_pc,0.0,7.0
Bendigo West,Afghanistan_1951_1960_pc,0.0,8.0
Bentleigh,Afghanistan_1951_1960_pc,0.0,9.0
Berwick,Afghanistan_1951_1960_pc,0.0,10.0
Box Hill,Afghanistan_1951_1960_pc,0.0,11.0
Brighton,Afghanistan_1951_1960_pc,0.0,12.0
Broadmeadows,Afghanistan_1951_1960_pc,0.0,13.0
Brunswick,Afghanistan_1951_1960_pc,0.0,14.0
Bulleen,Afghanistan_1951_1960_pc,0.0,15.0
Bundoora,Afghanistan_1951_1960_pc,0.0,16.0
Carrum,Afghanistan_1951_1960_pc,0.0,17.0
Caulfield,Afghanistan_1951_1960_pc,0.0,18.0
Clarinda,Afghanistan_1951_1960_pc,0.0,19.0
Cranbourne,Afghanistan_1951_1960_pc,0.0,20.0
Croydon,Afghanistan_1951_1960_pc,0.0,21.0
Dandenong,Afghanistan_1951_1960_pc,0.0,22.0
Eildon,Afghanistan_1951_1960_pc,0.0,23.0
Eltham,Afghanistan_1951_1960_pc,0.0,24.0
Essendon,Afghanistan_1951_1960_pc,0.0,25.0
Eureka,Afghanistan_1951_1960_pc,0.0,26.0
Euroa,Afghanistan_1951_1960_pc,0.0,27.0
Evelyn,Afghanistan_1951_1960_pc,0.0,28.0
Footscray,Afghanistan_1951_1960_pc,0.0,29.0
Frankston,Afghanistan_1951_1960_pc,0.0,30.0
Geelong,Afghanistan_1951_1960_pc,0.0,31.0
Gippsland East,Afghanistan_1951_1960_pc,0.0,32.0
Gippsland South,Afghanistan_1951_1960_pc,0.0,33.0
Glen Waverley,Afghanistan_1951_1960_pc,0.0,34.0
Greenvale,Afghanistan_1951_1960_pc,0.0,35.0
Hastings,Afghanistan_1951_1960_pc,0.0,36.0
Hawthorn,Afghanistan_1951_1960_pc,0.0,37.0
Ivanhoe,Afghanistan_1951_1960_pc,0.0,38.0
Kalkallo,Afghanistan_1951_1960_pc,0.0,39.0
Kew,Afghanistan_1951_1960_pc,0.0,40.0
Kororoit,Afghanistan_1951_1960_pc,0.0,41.0
Lara,Afghanistan_1951_1960_pc,0.0,42.0
Laverton,Afghanistan_1951_1960_pc,0.0,43.0
Lowan,Afghanistan_1951_1960_pc,0.0,44.0
Macedon,Afghanistan_1951_1960_pc,0.0,45.0
Malvern,Afghanistan_1951_1960_pc,0.0,46.0
Melbourne,Afghanistan_1951_1960_pc,0.0,47.0
Melton,Afghanistan_1951_1960_pc,0.0,48.0
Mildura,Afghanistan_1951_1960_pc,0.0,49.0
Mill Park,Afghanistan_1951_1960_pc,0.0,50.0
Monbulk,Afghanistan_1951_1960_pc,0.0,51.0
Mordialloc,Afghanistan_1951_1960_pc,0.0,52.0
Mornington,Afghanistan_1951_1960_pc,0.0,53.0
Morwell,Afghanistan_1951_1960_pc,0.0,54.0
Mulgrave,Afghanistan_1951_1960_pc,0.0,55.0
Murray Plains,Afghanistan_1951_1960_pc,0.0,56.0
Narracan,Afghanistan_1951_1960_pc,0.0,57.0
Narre Warren North,Afghanistan_1951_1960_pc,0.0,58.0
Narre Warren South,Afghanistan_1951_1960_pc,0.0,59.0
Nepean,Afghanistan_1951_1960_pc,0.0,60.0
Niddrie,Afghanistan_1951_1960_pc,0.0,61.0
Northcote,Afghanistan_1951_1960_pc,0.0,62.0
Oakleigh,Afghanistan_1951_1960_pc,0.0,63.0
Ovens Valley,Afghanistan_1951_1960_pc,0.0,64.0
Pakenham,Afghanistan_1951_1960_pc,0.0,65.0
Pascoe Vale,Afghanistan_1951_1960_pc,0.0,66.0
Point Cook,Afghanistan_1951_1960_pc,0.0,67.0
Polwarth,Afghanistan_1951_1960_pc,0.0,68.0
Prahran,Afghanistan_1951_1960_pc,0.0,69.0
Preston,Afghanistan_1951_1960_pc,0.0,70.0
Richmond,Afghanistan_1951_1960_pc,0.0,71.0
Ringwood,Afghanistan_1951_1960_pc,0.0,72.0
Ripon,Afghanistan_1951_1960_pc,0.0,73.0
Rowville,Afghanistan_1951_1960_pc,0.0,74.0
Sandringham,Afghanistan_1951_1960_pc,0.0,75.0
Shepparton,Afghanistan_1951_1960_pc,0.0,76.0
