district,M_Current_ADF_Regular_15_24_n,M_Current_ADF_Regular_25_34_n,M_Current_ADF_Regular_35_44_n,M_Current_ADF_Regular_45_54_n,M_Current_ADF_Regular_55_64_n,M_Current_ADF_Regular_65_74_n,M_Current_ADF_Regular_75_84_n,M_Current_ADF_Regular_85_ov_n,M_Current_ADF_Regular_Tot_n,M_Current_ADF_Reserves_15_24_n,M_Current_ADF_Reserves_25_34_n,M_Current_ADF_Reserves_35_44_n,M_Current_ADF_Reserves_45_54_n,M_Current_ADF_Reserves_55_64_n,M_Current_ADF_Reserves_65_74_n,M_Current_ADF_Reserves_75_84_n,M_Current_ADF_Reserves_85_ov_n,M_Current_ADF_Reserves_Tot_n,M_Prev_ADF_Ncs_15_24_n,M_Prev_ADF_Ncs_25_34_n,M_Prev_ADF_Ncs_35_44_n,M_Prev_ADF_Ncs_45_54_n,M_Prev_ADF_Ncs_55_64_n,M_Prev_ADF_Ncs_65_74_n,M_Prev_ADF_Ncs_75_84_n,M_Prev_ADF_Ncs_85_ov_n,M_Prev_ADF_Ncs_Tot_n,M_Tot_ADF_ev_ser_15_24_n,M_Tot_ADF_ev_ser_25_34_n,M_Tot_ADF_ev_ser_35_44_n,M_Tot_ADF_ev_ser_45_54_n,M_Tot_ADF_ev_ser_55_64_n,M_Tot_ADF_ev_ser_65_74_n,M_Tot_ADF_ev_ser_75_84_n,M_Tot_ADF_ev_ser_85_ov_n,M_Tot_ADF_ev_ser_Tot_n,M_never_served_15_24_n,M_never_served_25_34_n,M_never_served_35_44_n,M_never_served_45_54_n,M_never_served_55_64_n,M_never_served_65_74_n,M_never_served_75_84_n,M_never_served_85_ov_n,M_never_served_Tot_n,M_NS_15_24_n,M_NS_25_34_n,M_NS_35_44_n,M_NS_45_54_n,M_NS_55_64_n,M_NS_65_74_n,M_NS_75_84_n,M_NS_85_ov_n,M_NS_Tot_n,M_Tot_15_24_n,M_Tot_25_34_n,M_Tot_35_44_n,M_Tot_45_54_n,M_Tot_55_64_n,M_Tot_65_74_n,M_Tot_75_84_n,M_Tot_85_ov_n,M_Tot_Tot_n,F_Current_ADF_Regular_15_24_n,F_Current_ADF_Regular_25_34_n,F_Current_ADF_Regular_35_44_n,F_Current_ADF_Regular_45_54_n,F_Current_ADF_Regular_55_64_n,F_Current_ADF_Regular_65_74_n,F_Current_ADF_Regular_75_84_n,F_Current_ADF_Regular_85_ov_n,F_Current_ADF_Regular_Tot_n,F_Current_ADF_Reserves_15_24_n,F_Current_ADF_Reserves_25_34_n,F_Current_ADF_Reserves_35_44_n,F_Current_ADF_Reserves_45_54_n,F_Current_ADF_Reserves_55_64_n,F_Current_ADF_Reserves_65_74_n,F_Current_ADF_Reserves_75_84_n,F_Current_ADF_Reserves_85_ov_n,F_Current_ADF_Reserves_Tot_n,F_Prev_ADF_Ncs_15_24_n,F_Prev_ADF_Ncs_25_34_n,F_Prev_ADF_Ncs_35_44_n,F_Prev_ADF_Ncs_45_54_n,F_Prev_ADF_Ncs_55_64_n,F_Prev_ADF_Ncs_65_74_n,F_Prev_ADF_Ncs_75_84_n,F_Prev_ADF_Ncs_85_ov_n,F_Prev_ADF_Ncs_Tot_n,F_Tot_ADF_ev_ser_15_24_n,F_Tot_ADF_ev_ser_25_34_n,F_Tot_ADF_ev_ser_35_44_n,F_Tot_ADF_ev_ser_45_54_n,F_Tot_ADF_ev_ser_55_64_n,F_Tot_ADF_ev_ser_65_74_n,F_Tot_ADF_ev_ser_75_84_n,F_Tot_ADF_ev_ser_85_ov_n,F_Tot_ADF_ev_ser_Tot_n,F_never_served_15_24_n,F_never_served_25_34_n,F_never_served_35_44_n,F_never_served_45_54_n,F_never_served_55_64_n,F_never_served_65_74_n,F_never_served_75_84_n,F_never_served_85_ov_n,F_never_served_Tot_n,F_NS_15_24_n,F_NS_25_34_n,F_NS_35_44_n,F_NS_45_54_n,F_NS_55_64_n,F_NS_65_74_n,F_NS_75_84_n,F_NS_85_ov_n,F_NS_Tot_n,F_Tot_15_24_n,F_Tot_25_34_n,F_Tot_35_44_n,F_Tot_45_54_n,F_Tot_55_64_n,F_Tot_65_74_n,F_Tot_75_84_n,F_Tot_85_ov_n,F_Tot_Tot_n,P_Current_ADF_Regular_15_24_n,P_Current_ADF_Regular_25_34_n,P_Current_ADF_Regular_35_44_n,P_Current_ADF_Regular_45_54_n,P_Current_ADF_Regular_55_64_n,P_Current_ADF_Regular_65_74_n,P_Current_ADF_Regular_75_84_n,P_Current_ADF_Regular_85_ov_n,P_Current_ADF_Regular_Tot_n,P_Current_ADF_Reserves_15_24_n,P_Current_ADF_Reserves_25_34_n,P_Current_ADF_Reserves_35_44_n,P_Current_ADF_Reserves_45_54_n,P_Current_ADF_Reserves_55_64_n,P_Current_ADF_Reserves_65_74_n,P_Current_ADF_Reserves_75_84_n,P_Current_ADF_Reserves_85_ov_n,P_Current_ADF_Reserves_Tot_n,P_Prev_ADF_Ncs_15_24_n,P_Prev_ADF_Ncs_25_34_n,P_Prev_ADF_Ncs_35_44_n,P_Prev_ADF_Ncs_45_54_n,P_Prev_ADF_Ncs_55_64_n,P_Prev_ADF_Ncs_65_74_n,P_Prev_ADF_Ncs_75_84_n,P_Prev_ADF_Ncs_85_ov_n,P_Prev_ADF_Ncs_Tot_n,P_Tot_ADF_ev_ser_15_24_n,P_Tot_ADF_ev_ser_25_34_n,P_Tot_ADF_ev_ser_35_44_n,P_Tot_ADF_ev_ser_45_54_n,P_Tot_ADF_ev_ser_55_64_n,P_Tot_ADF_ev_ser_65_74_n,P_Tot_ADF_ev_ser_75_84_n,P_Tot_ADF_ev_ser_85_ov_n,P_Tot_ADF_ev_ser_Tot_n,P_never_served_15_24_n,P_never_served_25_34_n,P_never_served_35_44_n,P_never_served_45_54_n,P_never_served_55_64_n,P_never_served_65_74_n,P_never_served_75_84_n,P_never_served_85_ov_n,P_never_served_Tot_n,P_NS_15_24_n,P_NS_25_34_n,P_NS_35_44_n,P_NS_45_54_n,P_NS_55_64_n,P_NS_65_74_n,P_NS_75_84_n,P_NS_85_ov_n,P_NS_Tot_n,P_Tot_15_24_n,P_Tot_25_34_n,P_Tot_35_44_n,P_Tot_45_54_n,P_Tot_55_64_n,P_Tot_65_74_n,P_Tot_75_84_n,P_Tot_85_ov_n,P_Tot_Tot_n,P_Tot_Tot_total
Mildura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,15.0,6.0,78.0,111.0,378.0,163.0,101.0,1196.0,0.0,15.0,9.0,75.0,118.0,378.0,163.0,101.0,1240.0,3558.0,4066.0,3553.0,3772.0,4136.0,3180.0,1649.0,469.0,24390.0,323.0,399.0,348.0,351.0,367.0,285.0,132.0,71.0,2616.0,3941.0,4500.0,4002.0,4211.0,4698.0,3973.0,2060.0,723.0,28245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,3.0,0.0,7.0,91.0,0.0,3.0,3.0,0.0,7.0,3.0,0.0,7.0,91.0,3313.0,4179.0,3761.0,4031.0,4356.0,3604.0,2028.0,1044.0,26264.0,268.0,343.0,325.0,262.0,241.0,270.0,181.0,157.0,2410.0,3626.0,4570.0,4103.0,4363.0,4744.0,3912.0,2302.0,1269.0,28872.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,18.0,17.0,93.0,158.0,417.0,164.0,125.0,1323.0,0.0,15.0,23.0,91.0,172.0,417.0,164.0,125.0,1395.0,6898.0,8309.0,7265.0,7714.0,8458.0,6786.0,3821.0,1481.0,50705.0,668.0,796.0,697.0,708.0,648.0,633.0,408.0,303.0,5041.0,7646.0,9102.0,8130.0,8602.0,9406.0,7838.0,4466.0,1987.0,57116.0,57116.0
Mill Park,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,6.0,3.0,27.0,39.0,101.0,39.0,10.0,468.0,0.0,9.0,15.0,26.0,49.0,101.0,39.0,10.0,515.0,4473.0,4821.0,4671.0,4144.0,3797.0,2494.0,920.0,216.0,25440.0,153.0,182.0,132.0,106.0,69.0,57.0,113.0,94.0,1285.0,4698.0,5059.0,4940.0,4384.0,4023.0,2662.0,1145.0,354.0,27294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,26.0,4033.0,4852.0,4756.0,4627.0,4305.0,2605.0,1172.0,426.0,26820.0,92.0,156.0,140.0,78.0,77.0,112.0,177.0,259.0,1421.0,4189.0,5010.0,4956.0,4829.0,4469.0,2800.0,1362.0,722.0,28407.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,18.0,0.0,9.0,3.0,36.0,68.0,107.0,39.0,11.0,588.0,0.0,12.0,23.0,38.0,72.0,107.0,39.0,11.0,636.0,8520.0,9604.0,9446.0,8790.0,8065.0,5007.0,2067.0,722.0,52303.0,315.0,390.0,368.0,295.0,219.0,220.0,332.0,362.0,2759.0,8907.0,10098.0,9966.0,9211.0,8455.0,5426.0,2537.0,1122.0,55703.0,55703.0
Monbulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,5.0,40.0,115.0,177.0,244.0,160.0,36.0,1107.0,0.0,13.0,50.0,119.0,192.0,244.0,160.0,36.0,1179.0,3854.0,3231.0,4034.0,4548.0,4110.0,2988.0,1259.0,218.0,24352.0,121.0,125.0,107.0,140.0,106.0,77.0,52.0,12.0,1077.0,4001.0,3517.0,4320.0,4921.0,4472.0,3459.0,1539.0,334.0,26638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,5.0,3.0,3.0,3.0,78.0,0.0,0.0,3.0,12.0,5.0,3.0,3.0,3.0,83.0,3402.0,3430.0,4425.0,4917.0,4494.0,3348.0,1462.0,471.0,25972.0,99.0,101.0,125.0,142.0,98.0,73.0,40.0,34.0,1062.0,3546.0,3562.0,4631.0,5112.0,4674.0,3500.0,1515.0,515.0,27148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,5.0,53.0,154.0,207.0,274.0,171.0,41.0,1230.0,0.0,13.0,72.0,171.0,220.0,274.0,171.0,41.0,1317.0,7185.0,6628.0,8437.0,9499.0,8569.0,6408.0,2695.0,735.0,50342.0,276.0,268.0,301.0,315.0,279.0,190.0,134.0,37.0,2126.0,7513.0,7022.0,8909.0,10061.0,9167.0,6995.0,3049.0,913.0,53781.0,53781.0
Mordialloc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,48.0,63.0,66.0,143.0,101.0,98.0,785.0,0.0,9.0,63.0,96.0,83.0,143.0,101.0,98.0,854.0,4165.0,3848.0,4920.0,5071.0,3912.0,2526.0,1232.0,304.0,26079.0,67.0,97.0,126.0,84.0,77.0,50.0,35.0,21.0,851.0,4302.0,3988.0,5205.0,5290.0,4209.0,2815.0,1443.0,512.0,27785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,11.0,0.0,4.0,0.0,48.0,0.0,3.0,8.0,3.0,11.0,0.0,4.0,0.0,61.0,4092.0,4125.0,5615.0,5649.0,4274.0,3026.0,1769.0,838.0,29441.0,67.0,104.0,104.0,89.0,62.0,69.0,71.0,72.0,962.0,4198.0,4286.0,5765.0,5838.0,4418.0,3133.0,1931.0,948.0,30538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,12.0,55.0,95.0,88.0,160.0,113.0,107.0,898.0,4.0,22.0,74.0,122.0,98.0,160.0,113.0,107.0,961.0,8294.0,7938.0,10496.0,10645.0,8269.0,5529.0,3063.0,1265.0,55520.0,186.0,260.0,289.0,214.0,155.0,160.0,153.0,122.0,1834.0,8506.0,8310.0,10920.0,11019.0,8651.0,5930.0,3439.0,1501.0,58386.0,58386.0
Mornington,0.0,7.0,4.0,7.0,0.0,0.0,0.0,0.0,22.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,4.0,28.0,84.0,93.0,289.0,347.0,206.0,1404.0,0.0,20.0,38.0,121.0,121.0,289.0,347.0,206.0,1490.0,3522.0,1984.0,3075.0,4215.0,3669.0,3311.0,2199.0,603.0,22587.0,102.0,52.0,80.0,121.0,95.0,112.0,106.0,125.0,1051.0,3621.0,2099.0,3308.0,4531.0,4010.0,3780.0,2787.0,1004.0,25105.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,13.0,3.0,7.0,3.0,11.0,100.0,0.0,0.0,6.0,13.0,5.0,7.0,3.0,11.0,133.0,3345.0,2069.0,3766.0,4943.0,4276.0,4474.0,3194.0,1187.0,27075.0,90.0,54.0,75.0,111.0,59.0,147.0,185.0,225.0,1287.0,3457.0,2161.0,3872.0,5155.0,4441.0,4720.0,3410.0,1502.0,28580.0,0.0,16.0,7.0,3.0,0.0,0.0,0.0,0.0,46.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,12.0,0.0,4.0,42.0,144.0,118.0,311.0,356.0,233.0,1540.0,0.0,33.0,63.0,168.0,148.0,311.0,356.0,233.0,1638.0,6847.0,4029.0,6851.0,9144.0,7859.0,7762.0,5401.0,1798.0,49677.0,224.0,132.0,214.0,300.0,240.0,299.0,347.0,370.0,2385.0,7103.0,4261.0,7183.0,9709.0,8340.0,8464.0,6141.0,2482.0,53703.0,53703.0
Morwell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,13.0,61.0,90.0,199.0,357.0,226.0,90.0,1437.0,0.0,27.0,71.0,103.0,205.0,357.0,226.0,90.0,1524.0,3739.0,4083.0,3507.0,3668.0,4101.0,3526.0,1721.0,402.0,24823.0,305.0,321.0,278.0,276.0,241.0,228.0,151.0,91.0,2207.0,4120.0,4492.0,4016.0,4203.0,4679.0,4217.0,2244.0,701.0,28549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,9.0,4.0,9.0,129.0,0.0,0.0,0.0,15.0,15.0,9.0,4.0,9.0,150.0,3637.0,4377.0,3952.0,4178.0,4645.0,4072.0,2238.0,972.0,28040.0,282.0,284.0,292.0,217.0,242.0,200.0,172.0,166.0,2285.0,4015.0,4737.0,4321.0,4507.0,5030.0,4380.0,2521.0,1155.0,30618.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,67.0,136.0,245.0,417.0,228.0,111.0,1657.0,3.0,37.0,88.0,161.0,268.0,417.0,228.0,111.0,1737.0,7422.0,8451.0,7464.0,7839.0,8754.0,7588.0,4021.0,1401.0,52890.0,628.0,680.0,563.0,556.0,560.0,456.0,388.0,276.0,4509.0,8122.0,9197.0,8198.0,8654.0,9672.0,8592.0,4740.0,1800.0,59128.0,59128.0
Mulgrave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,4.0,6.0,14.0,103.0,132.0,65.0,526.0,0.0,10.0,11.0,6.0,14.0,103.0,132.0,65.0,571.0,4556.0,5975.0,5069.0,4353.0,3784.0,3172.0,2195.0,773.0,29879.0,202.0,424.0,216.0,160.0,127.0,82.0,136.0,95.0,1783.0,4770.0,6460.0,5378.0,4623.0,4035.0,3481.0,2537.0,990.0,32258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,4013.0,5322.0,4958.0,4521.0,4046.0,3916.0,2551.0,1397.0,30609.0,133.0,306.0,182.0,134.0,95.0,126.0,149.0,201.0,1716.0,4212.0,5610.0,5218.0,4682.0,4212.0,4138.0,2773.0,1654.0,32447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,4.0,7.0,10.0,26.0,118.0,136.0,73.0,633.0,0.0,20.0,14.0,15.0,26.0,118.0,136.0,73.0,698.0,8473.0,11259.0,10058.0,8867.0,7811.0,7153.0,4785.0,2234.0,60585.0,396.0,810.0,485.0,379.0,282.0,253.0,331.0,328.0,3506.0,8952.0,12088.0,10574.0,9294.0,8209.0,7600.0,5335.0,2684.0,64739.0,64739.0
Murray Plains,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,8.0,54.0,148.0,349.0,251.0,168.0,1323.0,4.0,19.0,11.0,60.0,153.0,349.0,251.0,168.0,1349.0,3252.0,3061.0,2967.0,3389.0,4129.0,3577.0,1947.0,531.0,22830.0,234.0,209.0,195.0,263.0,276.0,270.0,164.0,87.0,2017.0,3527.0,3337.0,3256.0,3811.0,4621.0,4247.0,2466.0,891.0,26207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,4.0,17.0,0.0,0.0,99.0,3068.0,3283.0,3239.0,3791.0,4319.0,3931.0,2380.0,1063.0,25051.0,173.0,152.0,163.0,177.0,225.0,255.0,257.0,185.0,2098.0,3319.0,3555.0,3536.0,3996.0,4700.0,4117.0,2719.0,1305.0,27319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,11.0,24.0,71.0,175.0,390.0,264.0,188.0,1430.0,4.0,28.0,27.0,72.0,184.0,390.0,264.0,188.0,1465.0,6255.0,6361.0,6220.0,7170.0,8532.0,7399.0,4420.0,1565.0,47917.0,497.0,469.0,516.0,494.0,548.0,559.0,457.0,322.0,4174.0,6785.0,6945.0,6807.0,7880.0,9328.0,8477.0,5205.0,2168.0,53481.0,53481.0
Narracan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,41.0,51.0,76.0,157.0,326.0,222.0,128.0,1335.0,0.0,40.0,73.0,93.0,169.0,326.0,222.0,128.0,1361.0,3467.0,3643.0,3415.0,3627.0,3882.0,3374.0,1797.0,328.0,23565.0,195.0,162.0,220.0,215.0,186.0,175.0,72.0,44.0,1665.0,3724.0,3936.0,3817.0,3968.0,4292.0,4043.0,2233.0,559.0,26596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,8.0,17.0,17.0,0.0,3.0,110.0,0.0,3.0,10.0,8.0,17.0,17.0,0.0,3.0,117.0,3468.0,4084.0,3710.0,4119.0,4447.0,3887.0,2092.0,780.0,26659.0,190.0,236.0,199.0,201.0,200.0,169.0,118.0,85.0,1684.0,3675.0,4398.0,3949.0,4360.0,4736.0,4174.0,2292.0,886.0,28534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,63.0,74.0,96.0,188.0,357.0,246.0,143.0,1473.0,0.0,63.0,93.0,106.0,206.0,357.0,246.0,143.0,1530.0,6932.0,7729.0,7187.0,7698.0,8333.0,7291.0,3921.0,1125.0,50225.0,428.0,494.0,487.0,416.0,433.0,395.0,301.0,162.0,3353.0,7377.0,8262.0,7822.0,8372.0,9052.0,8089.0,4549.0,1523.0,55085.0,55085.0
Narre Warren North,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,13.0,23.0,86.0,92.0,57.0,30.0,586.0,0.0,10.0,19.0,25.0,91.0,92.0,57.0,30.0,588.0,5127.0,5222.0,4845.0,4500.0,4637.0,3186.0,1454.0,349.0,29390.0,254.0,385.0,243.0,163.0,114.0,79.0,72.0,25.0,1651.0,5446.0,5692.0,5166.0,4837.0,5013.0,3449.0,1631.0,491.0,31701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,48.0,4617.0,5218.0,4950.0,5001.0,5098.0,3433.0,1675.0,743.0,30707.0,199.0,239.0,245.0,223.0,152.0,72.0,96.0,92.0,1682.0,4890.0,5554.0,5268.0,5249.0,5344.0,3656.0,1783.0,834.0,32431.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,19.0,33.0,98.0,102.0,68.0,34.0,679.0,0.0,10.0,31.0,33.0,99.0,102.0,68.0,34.0,710.0,9688.0,10434.0,9838.0,9438.0,9812.0,6678.0,3080.0,1148.0,60059.0,511.0,666.0,537.0,414.0,376.0,226.0,194.0,153.0,3364.0,10281.0,11177.0,10452.0,9995.0,10338.0,7127.0,3390.0,1414.0,64193.0,64193.0
Narre Warren South,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,12.0,34.0,55.0,90.0,25.0,5.0,538.0,6.0,6.0,18.0,46.0,60.0,90.0,25.0,5.0,604.0,6576.0,5870.0,6403.0,5596.0,4342.0,2275.0,901.0,117.0,32201.0,283.0,357.0,232.0,167.0,112.0,43.0,22.0,0.0,1664.0,6963.0,6289.0,6776.0,5980.0,4696.0,2530.0,1076.0,169.0,34505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,36.0,6125.0,6155.0,6604.0,5956.0,4504.0,2420.0,1051.0,270.0,33289.0,293.0,296.0,246.0,153.0,103.0,58.0,22.0,16.0,1491.0,6444.0,6532.0,6920.0,6171.0,4682.0,2558.0,1117.0,314.0,34895.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,3.0,12.0,52.0,80.0,102.0,25.0,5.0,604.0,6.0,17.0,22.0,72.0,90.0,102.0,25.0,5.0,680.0,12820.0,11994.0,12993.0,11579.0,8809.0,4757.0,2016.0,510.0,65521.0,616.0,730.0,550.0,417.0,322.0,148.0,76.0,32.0,3163.0,13522.0,12800.0,13672.0,12236.0,9326.0,5065.0,2213.0,638.0,69416.0,69416.0
Nepean,0.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,14.0,48.0,120.0,396.0,401.0,257.0,1554.0,3.0,33.0,28.0,57.0,131.0,396.0,401.0,257.0,1600.0,2437.0,2279.0,2523.0,3403.0,3914.0,4385.0,2550.0,657.0,22120.0,182.0,185.0,178.0,287.0,255.0,270.0,262.0,140.0,2039.0,2667.0,2488.0,2823.0,3802.0,4394.0,5182.0,3265.0,1148.0,25768.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,0.0,3.0,18.0,135.0,4.0,6.0,4.0,9.0,15.0,0.0,3.0,18.0,156.0,2283.0,2452.0,2842.0,3743.0,4641.0,5150.0,3153.0,1145.0,25378.0,213.0,182.0,182.0,232.0,285.0,330.0,299.0,206.0,2225.0,2508.0,2643.0,3083.0,4021.0,4974.0,5491.0,3593.0,1463.0,27818.0,4.0,18.0,0.0,5.0,0.0,0.0,0.0,0.0,46.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,16.0,29.0,60.0,154.0,464.0,419.0,280.0,1755.0,7.0,38.0,47.0,80.0,176.0,464.0,419.0,280.0,1850.0,4718.0,4750.0,5354.0,7125.0,8529.0,9517.0,5781.0,1823.0,47511.0,495.0,406.0,457.0,585.0,568.0,682.0,577.0,374.0,4269.0,5174.0,5213.0,5858.0,7799.0,9358.0,10756.0,6791.0,2595.0,53651.0,53651.0
Niddrie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,41.0,60.0,148.0,124.0,67.0,753.0,5.0,13.0,16.0,41.0,68.0,148.0,124.0,67.0,759.0,3930.0,3702.0,4244.0,4412.0,3761.0,2898.0,2084.0,724.0,25758.0,82.0,166.0,114.0,107.0,51.0,59.0,52.0,20.0,973.0,4131.0,3981.0,4425.0,4649.0,3947.0,3174.0,2370.0,887.0,27570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,33.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,42.0,3580.0,3714.0,4550.0,4824.0,4235.0,3747.0,2761.0,1198.0,28730.0,48.0,111.0,123.0,79.0,72.0,65.0,92.0,53.0,997.0,3712.0,3921.0,4707.0,4975.0,4360.0,3870.0,2900.0,1293.0,29759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,17.0,24.0,48.0,78.0,160.0,131.0,71.0,798.0,5.0,19.0,33.0,52.0,84.0,160.0,131.0,71.0,829.0,7517.0,7534.0,8713.0,9235.0,7951.0,6613.0,4852.0,1951.0,54497.0,188.0,337.0,282.0,254.0,169.0,172.0,213.0,97.0,2030.0,7772.0,7909.0,9164.0,9636.0,8298.0,7055.0,5281.0,2236.0,57378.0,57378.0
