district,census_variable,value
Albert Park,R_1_74_LT_Real_estate_agent,0.0
Ashwood,R_1_74_LT_Real_estate_agent,0.0
Bass,R_1_74_LT_Real_estate_agent,0.0
Bayswater,R_1_74_LT_Real_estate_agent,0.0
Bellarine,R_1_74_LT_Real_estate_agent,0.0
Benambra,R_1_74_LT_Real_estate_agent,3.0
Bendigo East,R_1_74_LT_Real_estate_agent,0.0
Bendigo West,R_1_74_LT_Real_estate_agent,0.0
Bentleigh,R_1_74_LT_Real_estate_agent,0.0
Berwick,R_1_74_LT_Real_estate_agent,0.0
Box Hill,R_1_74_LT_Real_estate_agent,3.0
Brighton,R_1_74_LT_Real_estate_agent,0.0
Broadmeadows,R_1_74_LT_Real_estate_agent,0.0
Brunswick,R_1_74_LT_Real_estate_agent,0.0
Bulleen,R_1_74_LT_Real_estate_agent,0.0
Bundoora,R_1_74_LT_Real_estate_agent,0.0
Carrum,R_1_74_LT_Real_estate_agent,0.0
Caulfield,R_1_74_LT_Real_estate_agent,0.0
Clarinda,R_1_74_LT_Real_estate_agent,0.0
Cranbourne,R_1_74_LT_Real_estate_agent,0.0
Croydon,R_1_74_LT_Real_estate_agent,0.0
Dandenong,R_1_74_LT_Real_estate_agent,6.0
Eildon,R_1_74_LT_Real_estate_agent,0.0
Eltham,R_1_74_LT_Real_estate_agent,0.0
Essendon,R_1_74_LT_Real_estate_agent,0.0
Eureka,R_1_74_LT_Real_estate_agent,0.0
Euroa,R_1_74_LT_Real_estate_agent,0.0
Evelyn,R_1_74_LT_Real_estate_agent,0.0
Footscray,R_1_74_LT_Real_estate_agent,0.0
Frankston,R_1_74_LT_Real_estate_agent,0.0
Geelong,R_1_74_LT_Real_estate_agent,6.0
Gippsland East,R_1_74_LT_Real_estate_agent,0.0
Gippsland South,R_1_74_LT_Real_estate_agent,0.0
Glen Waverley,R_1_74_LT_Real_estate_agent,0.0
Greenvale,R_1_74_LT_Real_estate_agent,0.0
Hastings,R_1_74_LT_Real_estate_agent,0.0
Hawthorn,R_1_74_LT_Real_estate_agent,0.0
Ivanhoe,R_1_74_LT_Real_estate_agent,0.0
Kalkallo,R_1_74_LT_Real_estate_agent,0.0
Kew,R_1_74_LT_Real_estate_agent,0.0
Kororoit,R_1_74_LT_Real_estate_agent,0.0
Lara,R_1_74_LT_Real_estate_agent,5.0
Laverton,R_1_74_LT_Real_estate_agent,0.0
Lowan,R_1_74_LT_Real_estate_agent,0.0
Macedon,R_1_74_LT_Real_estate_agent,0.0
Malvern,R_1_74_LT_Real_estate_agent,0.0
