district,M_0_299_DS_DS_Sept_house_pc,M_0_299_DS_DS_sd_row_tce_hs_t_pc,M_0_299_DS_DS_Flat_apart_pc,M_0_299_DS_DS_Other_dwg_pc,M_0_299_DS_ns_pc,M_0_299_Tot_pc,M_300_449_DS_Separate_hse_pc,M_300_449_DS_sd_row_tc_hse_th_pc,M_300_449_DS_Flat_apart_pc,M_300_449_DS_Other_dwg_pc,M_300_449_DS_ns_pc,M_300_449_Tot_pc,M_450_599_DS_Separate_hse_pc,M_450_599_DS_sd_row_tce_hs_th_pc,M_450_599_DS_Flat_apart_pc,M_450_599_DS_Other_dwg_pc,M_450_599_DS_ns_pc,M_450_599_Tot_pc,M_600_799_DS_Separate_hse_pc,M_600_799_DS_sd_row_tc_hs_th_pc,M_600_799_DS_Flat_apart_pc,M_600_799_DS_Other_dwg_pc,M_600_799_DS_ns_pc,M_600_799_Tot_pc,M_800_999_DS_Separate_hse_pc,M_800_999_DS_sd_row_tc_hs_th_pc,M_800_999_DS_Flat_apart_pc,M_800_999_DS_Other_dwg_pc,M_800_999_DS_ns_pc,M_800_999_Tot_pc,M_1000_1399_DS_Separate_hse_pc,M_1000_1399_DS_sd_rw_tc_h_th_pc,M_1000_1399_DS_Flat_apart_pc,M_1000_1399_DS_Other_dwg_pc,M_1000_1399_DS_ns_pc,M_1000_1399_Tot_pc,M_1400_1799_DS_Separate_hse_pc,M_1400_1799_DS_sd_rw_tc_h_th_pc,M_1400_1799_DS_Flat_apart_pc,M_1400_1799_DS_Other_dwg_pc,M_1400_1799_DS_ns_pc,M_1400_1799_Tot_pc,M_1800_2399_DS_Separate_hse_pc,M_1800_2399_DS_sd_rw_tc_h_th_pc,M_1800_2399_DS_Flat_apart_pc,M_1800_2399_DS_Other_dwg_pc,M_1800_2399_DS_ns_pc,M_1800_2399_Tot_pc,M_2400_2999_DS_Separate_hse_pc,M_2400_2999_DS_sd_rw_tc_h_th_pc,M_2400_2999_DS_Flat_apart_pc,M_2400_2999_DS_Other_dwg_pc,M_2400_2999_DS_ns_pc,M_2400_2999_Tot_pc,M_3000_3999_DS_Separate_hse_pc,M_3000_3999_DS_sd_rw_tc_h_th_pc,M_3000_3999_DS_Flt_apart_pc,M_3000_3999_DS_Other_dwg_pc,M_3000_3999_DS_ns_pc,M_3000_3999_Tot_pc,M_4000_over_DS_Separate_hse_pc,M_4000_ov_DS_sd_rw_tce_hs_th_pc,M_4000_over_DS_Flat_apart_pc,M_4000_over_DS_Other_dwg_pc,M_4000_DS_over_ns_pc,M_4000_over_Tot_pc,Mort_Rpmnt_ns_DS_Separat_hs_pc,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th_pc,Mrt_Rpmt_ns_DS_Flat_apart_pc,Mort_Rpmnt_ns_DS_Other_dwg_pc,Mort_Rpmnt_ns_DS_ns_pc,Mort_Rpmnt_ns_Total_pc,Tot_DS_Separate_hse_pc,Tot_DS_sd_row_tce_hse_thse_pc,Tot_DS_Flat_apartment_pc,Tot_DS_Other_dwg_pc,Tot_DS_ns_pc,Tot_Tot_pc
Broadmeadows,0.0366,0.0013,0.0014,0.0,0.0,0.0455,0.0067,0.0011,0.0004,0.0,0.0,0.011,0.0047,0.0005,0.0,0.0,0.0,0.0076,0.0168,0.0013,0.0007,0.0,0.0,0.0222,0.0195,0.0038,0.0011,0.0,0.0,0.0304,0.0912,0.0317,0.0087,0.0,0.0,0.1397,0.1091,0.0459,0.008,0.0,0.0,0.1806,0.1536,0.0721,0.0063,0.0,0.0,0.2405,0.0693,0.0256,0.0014,0.0,0.0,0.0982,0.0552,0.01,0.0005,0.0,0.0,0.0716,0.0201,0.0027,0.0,0.0,0.0,0.0288,0.0497,0.0077,0.0006,0.0,0.0,0.0624,0.7108,0.2467,0.0381,0.0004,0.0,1.0
Brunswick,0.0144,0.0207,0.006,0.0,0.0,0.0525,0.0013,0.0005,0.0,0.0,0.0,0.0039,0.0015,0.0012,0.0013,0.0,0.0,0.0039,0.0041,0.0025,0.0043,0.0,0.0,0.012,0.0051,0.0044,0.0081,0.0,0.0,0.0254,0.0136,0.019,0.0461,0.0,0.0,0.0914,0.0216,0.0174,0.0733,0.0,0.0,0.1232,0.0381,0.0544,0.0871,0.0005,0.0,0.189,0.0337,0.037,0.023,0.0005,0.0,0.1092,0.0587,0.0623,0.0178,0.0,0.0,0.149,0.0715,0.0635,0.01,0.0,0.0,0.1539,0.0154,0.013,0.0053,0.0,0.0,0.0436,0.3275,0.3345,0.3292,0.004,0.0,1.0
Bulleen,0.0497,0.0069,0.0054,0.0,0.0,0.0654,0.0026,0.0004,0.0007,0.0,0.0,0.0077,0.0026,0.0006,0.0005,0.0,0.0,0.0056,0.006,0.0,0.0018,0.0,0.0,0.011,0.0116,0.0012,0.0012,0.0,0.0,0.0172,0.0394,0.0091,0.0138,0.0,0.0,0.0696,0.0383,0.0169,0.0218,0.0,0.0005,0.0843,0.0925,0.0274,0.0281,0.0,0.0,0.1564,0.0623,0.0265,0.0085,0.0,0.0,0.1017,0.1237,0.0305,0.0067,0.0,0.0,0.1693,0.1589,0.0212,0.0024,0.0,0.0,0.1871,0.0526,0.0069,0.0035,0.0,0.0,0.0671,0.7038,0.1866,0.1106,0.0,0.0005,1.0
Bundoora,0.0454,0.0021,0.0011,0.0,0.0,0.0526,0.0082,0.001,0.0,0.0,0.0,0.0092,0.0082,0.0,0.0,0.0,0.0,0.0085,0.0142,0.0012,0.0,0.0,0.0,0.0172,0.0229,0.0019,0.0013,0.0,0.0,0.0317,0.08,0.0101,0.01,0.0,0.0,0.1029,0.1035,0.0182,0.0097,0.0,0.0,0.1393,0.1778,0.03,0.0037,0.0,0.0,0.2188,0.1286,0.01,0.0008,0.0,0.0,0.1483,0.1079,0.0045,0.0011,0.0,0.0,0.1175,0.0601,0.0008,0.0,0.0,0.0,0.0644,0.0578,0.0025,0.0009,0.0,0.0,0.0655,0.8467,0.1168,0.0307,0.0,0.0,1.0
Carrum,0.0277,0.0031,0.0005,0.0,0.0,0.0367,0.0068,0.0011,0.0,0.0,0.0,0.0099,0.0052,0.0013,0.0002,0.0,0.0,0.0086,0.0145,0.002,0.0005,0.0,0.0,0.0208,0.0256,0.0044,0.0,0.0,0.0,0.0352,0.0957,0.0199,0.0018,0.0,0.0,0.1215,0.1247,0.0309,0.0045,0.0004,0.0,0.1634,0.2095,0.0389,0.0049,0.0,0.0,0.2561,0.1136,0.0138,0.0016,0.0,0.0,0.1308,0.0739,0.0108,0.0013,0.0,0.0,0.0886,0.0424,0.0058,0.0,0.0,0.0,0.0484,0.054,0.0049,0.0005,0.0,0.0,0.0633,0.8181,0.1569,0.0206,0.0006,0.0,1.0
Caulfield,0.024,0.0106,0.004,0.0,0.0,0.0512,0.0007,0.0008,0.0007,0.0,0.0,0.0068,0.0007,0.0012,0.0014,0.0,0.0,0.0053,0.0007,0.0,0.0019,0.0,0.0,0.0087,0.0031,0.0011,0.003,0.0,0.0,0.0135,0.0181,0.0099,0.0324,0.0007,0.0,0.0716,0.0151,0.0133,0.0615,0.0005,0.0,0.1061,0.0391,0.0273,0.0861,0.0004,0.0,0.1635,0.0238,0.0301,0.0324,0.0005,0.0,0.0973,0.0523,0.0473,0.016,0.0,0.0,0.127,0.1562,0.0462,0.0091,0.0,0.0,0.2234,0.0322,0.0151,0.0106,0.0,0.0,0.0741,0.4331,0.2625,0.3017,0.0024,0.0,1.0
Clarinda,0.0475,0.0035,0.0019,0.0,0.0,0.0587,0.0092,0.0009,0.0003,0.0,0.0,0.0108,0.0062,0.0003,0.0003,0.0,0.0,0.008,0.0139,0.0046,0.0011,0.0,0.0,0.0252,0.0227,0.0025,0.0014,0.0,0.0,0.0271,0.0719,0.0083,0.0077,0.0003,0.0,0.1033,0.0904,0.0223,0.012,0.0,0.0,0.1351,0.1495,0.0353,0.0115,0.0005,0.0,0.2007,0.1081,0.0168,0.0007,0.0,0.0,0.1261,0.1181,0.0114,0.0008,0.0,0.0,0.1315,0.0567,0.0034,0.0005,0.0,0.0,0.0659,0.0524,0.0038,0.0021,0.0,0.0,0.0651,0.7939,0.1474,0.0506,0.0006,0.0,1.0
Cranbourne,0.0213,0.0003,0.0003,0.0,0.0,0.0241,0.0064,0.0,0.0,0.0,0.0,0.0067,0.0039,0.0,0.0007,0.0,0.0,0.0058,0.0113,0.0013,0.0002,0.0,0.0,0.0129,0.0222,0.0012,0.0003,0.0,0.0,0.0265,0.0924,0.0117,0.0014,0.0,0.0,0.1059,0.1794,0.0192,0.0003,0.0,0.0003,0.1978,0.3176,0.0165,0.0,0.0,0.0,0.3411,0.1172,0.0031,0.0,0.0,0.0,0.1248,0.0512,0.0014,0.0,0.0,0.0,0.0532,0.0239,0.0002,0.0,0.0,0.0,0.0248,0.052,0.0032,0.0,0.0,0.0,0.0566,0.9195,0.0747,0.0041,0.0,0.0003,1.0
Croydon,0.0388,0.0026,0.0006,0.0,0.0,0.0435,0.0109,0.0003,0.0002,0.0,0.0,0.0132,0.01,0.0003,0.0002,0.0,0.0,0.0119,0.0153,0.0016,0.0002,0.0,0.0,0.0197,0.0297,0.0018,0.0007,0.0,0.0,0.0331,0.0937,0.0107,0.0049,0.0,0.0,0.1127,0.128,0.0169,0.0059,0.0,0.0,0.1518,0.2183,0.0209,0.002,0.0,0.0,0.2464,0.1399,0.0102,0.0003,0.0,0.0,0.1481,0.0944,0.0025,0.0,0.0,0.0,0.0993,0.0379,0.0022,0.0,0.0,0.0,0.0418,0.0461,0.0018,0.0002,0.0,0.0,0.0492,0.8928,0.0886,0.0181,0.0,0.0,1.0
Dandenong,0.0401,0.0009,0.0007,0.0,0.0,0.0476,0.0101,0.0008,0.0005,0.0,0.0,0.0128,0.0117,0.0007,0.0,0.0,0.0,0.0152,0.0197,0.0029,0.0018,0.0,0.0,0.0292,0.0288,0.0074,0.006,0.0,0.0,0.0492,0.1024,0.0361,0.0153,0.0,0.0,0.1596,0.1311,0.0482,0.0084,0.0,0.0,0.1887,0.1732,0.0393,0.0048,0.0,0.0,0.2239,0.0685,0.0051,0.0,0.0,0.0,0.0773,0.0409,0.0018,0.0004,0.0,0.0,0.0436,0.0226,0.0034,0.0,0.0,0.0,0.026,0.0552,0.0115,0.0033,0.0,0.0,0.078,0.7428,0.1874,0.0568,0.0,0.0,1.0
Eildon,0.0435,0.0,0.0,0.0,0.0,0.0445,0.0145,0.0,0.0,0.0,0.0,0.0152,0.0163,0.0,0.0,0.0,0.0,0.0163,0.0329,0.0006,0.0,0.0006,0.0,0.0338,0.0476,0.0006,0.0,0.0,0.0,0.0489,0.1514,0.0029,0.0005,0.0,0.0,0.1577,0.1632,0.0016,0.0,0.0,0.0,0.1679,0.2084,0.0007,0.0,0.0,0.0,0.2097,0.0906,0.0,0.0,0.0,0.0,0.092,0.0694,0.0,0.0003,0.0,0.0,0.0707,0.0425,0.0,0.0,0.0,0.0,0.0428,0.0624,0.0,0.0,0.0,0.0,0.0634,0.9812,0.0099,0.0017,0.0014,0.0,1.0
Eltham,0.0429,0.0003,0.0003,0.0,0.0,0.0453,0.012,0.0,0.0006,0.0,0.0,0.013,0.0086,0.0004,0.0,0.0,0.0,0.0098,0.0141,0.0011,0.0,0.0,0.0,0.0173,0.0208,0.0006,0.0,0.0,0.0,0.0247,0.0799,0.0061,0.0017,0.0,0.0,0.0885,0.0949,0.008,0.0026,0.0,0.0,0.1076,0.1745,0.0131,0.0043,0.0,0.0,0.1954,0.1422,0.0049,0.0033,0.0,0.0,0.1542,0.1595,0.0033,0.0003,0.0,0.0,0.1645,0.0899,0.0004,0.0,0.0,0.0,0.0919,0.0569,0.0024,0.0,0.0,0.0,0.0609,0.9246,0.0533,0.017,0.0,0.0003,1.0
Essendon,0.0289,0.0014,0.0038,0.0,0.0,0.045,0.0044,0.0,0.0,0.0,0.0,0.0069,0.0023,0.0,0.002,0.0,0.0,0.0057,0.0038,0.0024,0.0006,0.0,0.0,0.0132,0.009,0.0023,0.0071,0.0,0.0,0.0257,0.03,0.0147,0.0411,0.0,0.0,0.0943,0.0307,0.0158,0.054,0.0005,0.0,0.1157,0.0612,0.0262,0.0618,0.0007,0.0,0.1591,0.0591,0.0207,0.014,0.0,0.0,0.1031,0.1025,0.0347,0.0087,0.0,0.0,0.1533,0.1416,0.0216,0.0033,0.0,0.0,0.1732,0.0365,0.0094,0.007,0.0,0.0,0.0708,0.5538,0.1993,0.2353,0.0009,0.0,1.0
Eureka,0.0382,0.0,0.0,0.0,0.0,0.0394,0.0182,0.0,0.0,0.0,0.0,0.0205,0.014,0.0,0.0,0.0,0.0,0.0149,0.0315,0.001,0.0,0.0,0.0,0.0334,0.05,0.0025,0.0003,0.0,0.0,0.054,0.1704,0.0061,0.0003,0.0,0.0,0.1805,0.2077,0.003,0.0,0.0,0.0,0.2136,0.2189,0.0008,0.0,0.0,0.0,0.2233,0.0727,0.0003,0.0,0.0,0.0,0.0738,0.05,0.0,0.0,0.0,0.0,0.0509,0.0219,0.0,0.0,0.0,0.0,0.0219,0.0541,0.0,0.0,0.0,0.0,0.0566,0.9672,0.0293,0.0011,0.0003,0.0006,1.0
Euroa,0.0437,0.0,0.0,0.0,0.0,0.0455,0.0295,0.0003,0.0,0.0,0.0,0.0307,0.0231,0.0,0.0,0.0,0.0,0.0254,0.0552,0.0006,0.0,0.0,0.0,0.0576,0.0809,0.0005,0.0,0.0,0.0,0.0828,0.1944,0.0011,0.0,0.0,0.0,0.1981,0.1861,0.0007,0.0005,0.0,0.0,0.1874,0.148,0.0005,0.0,0.0,0.0,0.1487,0.051,0.0,0.0,0.0,0.0,0.0513,0.0385,0.0,0.0,0.0,0.0,0.0382,0.0221,0.0,0.0,0.0,0.0,0.0226,0.0551,0.0,0.0,0.0,0.0,0.0554,0.9796,0.014,0.0015,0.0008,0.0,1.0
Evelyn,0.0418,0.0005,0.0,0.0,0.0,0.0411,0.0101,0.0005,0.0003,0.0,0.0,0.011,0.0087,0.0006,0.0,0.0,0.0,0.0095,0.0176,0.0,0.0,0.0,0.0,0.0183,0.0309,0.0014,0.0,0.0,0.0,0.032,0.0941,0.004,0.0004,0.0,0.0,0.1003,0.1436,0.0074,0.0003,0.0,0.0,0.1518,0.2366,0.0069,0.0003,0.0,0.0,0.2435,0.1632,0.0011,0.0,0.0,0.0,0.1654,0.0996,0.0,0.0,0.0,0.0,0.1003,0.0464,0.0,0.0,0.0,0.0,0.047,0.0615,0.0008,0.0003,0.0,0.0,0.0659,0.9638,0.0298,0.0018,0.0006,0.0003,1.0
Footscray,0.0274,0.0067,0.0016,0.0,0.0,0.0422,0.0032,0.0007,0.0003,0.0,0.0,0.0061,0.0014,0.0,0.0003,0.0,0.0,0.0016,0.0059,0.0019,0.0022,0.0,0.0,0.0165,0.0088,0.0012,0.0101,0.0,0.0,0.027,0.0382,0.0167,0.0479,0.0,0.0,0.1094,0.0441,0.0233,0.053,0.0003,0.0,0.1295,0.0973,0.0527,0.0463,0.0003,0.0,0.2053,0.0788,0.0331,0.0147,0.0,0.0,0.1309,0.1064,0.0263,0.0054,0.0,0.0,0.1549,0.0798,0.0133,0.0037,0.0,0.0,0.1019,0.032,0.0068,0.006,0.0,0.0,0.0475,0.5579,0.2217,0.2119,0.0012,0.0007,1.0
Frankston,0.0329,0.0041,0.0004,0.0,0.0,0.0401,0.0152,0.0009,0.0004,0.0,0.0,0.0168,0.0075,0.0008,0.0,0.0,0.0,0.0105,0.0255,0.0014,0.0,0.0,0.0,0.0313,0.0305,0.004,0.0009,0.0,0.0,0.0395,0.1076,0.0228,0.0054,0.0,0.0,0.1362,0.1315,0.0265,0.0045,0.0,0.0,0.1611,0.2055,0.0161,0.0012,0.0,0.0,0.2318,0.1027,0.0072,0.0003,0.0,0.0,0.1125,0.0795,0.002,0.0,0.0,0.0,0.0863,0.0345,0.0006,0.0005,0.0,0.0,0.0368,0.0564,0.003,0.0003,0.0,0.0,0.067,0.8644,0.1179,0.0177,0.0,0.0,1.0
Geelong,0.0401,0.0013,0.0005,0.0,0.0,0.0447,0.0137,0.0003,0.0005,0.0,0.0,0.0165,0.0115,0.0004,0.0,0.0,0.0,0.0131,0.0263,0.002,0.0006,0.0,0.0,0.0317,0.0321,0.0029,0.0007,0.0,0.0,0.041,0.129,0.0101,0.0052,0.0,0.0003,0.1525,0.1622,0.0097,0.0006,0.0,0.0,0.173,0.2013,0.0046,0.0031,0.0,0.0,0.2166,0.0888,0.0015,0.0,0.0,0.0,0.0938,0.0679,0.0009,0.0007,0.0,0.0,0.0689,0.0445,0.0009,0.0,0.0,0.0,0.0465,0.0528,0.0017,0.0005,0.0,0.0,0.0574,0.9094,0.0663,0.0244,0.0009,0.0012,1.0
Gippsland East,0.0441,0.0011,0.0,0.0,0.0,0.0479,0.0323,0.0,0.0,0.0,0.0,0.0346,0.0271,0.0,0.0,0.0,0.0,0.0288,0.0616,0.0007,0.0,0.0,0.0,0.0637,0.0921,0.0008,0.0,0.0,0.0,0.0941,0.2425,0.0004,0.0,0.0,0.0,0.2468,0.18,0.0,0.0,0.0,0.0,0.1832,0.1262,0.0004,0.0,0.0,0.0,0.1272,0.0289,0.0,0.0,0.0,0.0,0.0289,0.0257,0.0,0.0,0.0,0.0,0.0258,0.0147,0.0,0.0,0.0,0.0,0.0147,0.0513,0.0,0.0,0.0,0.0,0.0529,0.9803,0.0112,0.0008,0.0,0.0005,1.0
Gippsland South,0.0479,0.0008,0.0,0.0,0.0,0.0522,0.0318,0.0,0.0,0.0,0.0,0.032,0.0269,0.0,0.0,0.0,0.0,0.0277,0.0583,0.0005,0.0,0.0,0.0,0.0603,0.0875,0.0014,0.0004,0.0,0.0,0.089,0.2196,0.0005,0.0005,0.0,0.0,0.226,0.1834,0.0,0.0,0.0,0.0,0.186,0.1356,0.0,0.0,0.0,0.0,0.137,0.0479,0.0,0.0,0.0,0.0,0.0484,0.0339,0.0,0.0,0.0,0.0,0.0347,0.0226,0.0,0.0,0.0,0.0,0.0239,0.0573,0.0007,0.0,0.0,0.0,0.0603,0.978,0.0106,0.0013,0.0016,0.0,1.0
Glen Waverley,0.0619,0.0036,0.0011,0.0,0.0,0.0719,0.0069,0.0003,0.0,0.0,0.0,0.0093,0.006,0.0,0.0,0.0,0.0,0.0076,0.0107,0.0005,0.0,0.0,0.0,0.0119,0.012,0.0018,0.0003,0.0,0.0,0.0166,0.0505,0.003,0.0027,0.0,0.0,0.0606,0.0593,0.0059,0.0052,0.0,0.0,0.0737,0.1184,0.0151,0.01,0.0,0.0,0.1521,0.0916,0.0103,0.0057,0.0,0.0,0.1166,0.1535,0.0132,0.002,0.0,0.0,0.1758,0.1714,0.006,0.0016,0.0,0.0,0.1829,0.0543,0.0039,0.0009,0.0,0.0,0.0655,0.8519,0.1007,0.0369,0.0,0.0,1.0
Greenvale,0.039,0.0014,0.0,0.0,0.0,0.0441,0.0124,0.0,0.0,0.0,0.0,0.0133,0.0084,0.0,0.0,0.0,0.0,0.0105,0.023,0.0012,0.0,0.0,0.0,0.0251,0.0307,0.0029,0.0,0.0,0.0,0.0347,0.1163,0.0093,0.0003,0.0,0.0,0.129,0.161,0.0166,0.0011,0.0,0.0,0.1806,0.2323,0.0109,0.0,0.0,0.0,0.2429,0.0929,0.0006,0.0,0.0,0.0004,0.0961,0.0631,0.0004,0.0,0.0,0.0,0.065,0.0396,0.0,0.0,0.0,0.0,0.0409,0.0746,0.0034,0.0003,0.0,0.0,0.0823,0.9248,0.0719,0.0023,0.0,0.0004,1.0
Hastings,0.0397,0.0012,0.0,0.0,0.0,0.0446,0.0136,0.0014,0.0,0.0,0.0,0.018,0.0081,0.0004,0.0,0.0,0.0,0.0116,0.0244,0.0018,0.0,0.0,0.0,0.0304,0.0385,0.0024,0.0,0.0,0.0,0.0444,0.1067,0.0177,0.0008,0.0,0.0,0.1288,0.1528,0.0202,0.0,0.0,0.0,0.1791,0.2249,0.0172,0.0,0.0,0.0,0.2411,0.1048,0.0024,0.0,0.0,0.0,0.1084,0.076,0.0,0.0,0.0,0.0,0.0778,0.0402,0.0,0.0,0.0,0.0,0.0428,0.0538,0.0033,0.0,0.0,0.0,0.06,0.9035,0.0913,0.0016,0.0,0.0,1.0
Hawthorn,0.0395,0.0045,0.0069,0.0,0.0,0.0631,0.0008,0.0005,0.0004,0.0,0.0,0.0044,0.0011,0.0,0.0,0.0,0.0,0.0037,0.0004,0.0,0.0021,0.0,0.0,0.0058,0.0052,0.0018,0.0052,0.0,0.0,0.014,0.0186,0.0062,0.0315,0.0,0.0,0.0628,0.0149,0.0044,0.0553,0.0,0.0,0.0836,0.0422,0.0165,0.0696,0.0,0.0,0.1366,0.0283,0.0155,0.028,0.0,0.0,0.0803,0.0533,0.0258,0.0205,0.0,0.0,0.1162,0.2284,0.0557,0.0118,0.0,0.0,0.3132,0.0413,0.0076,0.006,0.0,0.0,0.0701,0.5283,0.1825,0.2928,0.0009,0.0,1.0
Ivanhoe,0.045,0.0036,0.0009,0.0,0.0,0.054,0.0088,0.0,0.0,0.0,0.0,0.0106,0.0014,0.0,0.0,0.0,0.0,0.0045,0.0093,0.001,0.0,0.0,0.0,0.0123,0.0133,0.0017,0.0017,0.0,0.0,0.0205,0.0546,0.0133,0.0096,0.0,0.0,0.0822,0.0554,0.0175,0.0174,0.0,0.0,0.1004,0.1145,0.0449,0.0178,0.0,0.0,0.1876,0.0873,0.025,0.006,0.0,0.0,0.1269,0.1259,0.0178,0.0046,0.0,0.0,0.1509,0.1303,0.0067,0.0004,0.0,0.0,0.1486,0.0407,0.0057,0.0039,0.0,0.0,0.058,0.7463,0.1777,0.0745,0.0,0.0,1.0
Kalkallo,0.0197,0.0002,0.0,0.0,0.0,0.0211,0.0041,0.0,0.0,0.0,0.0,0.0046,0.003,0.0,0.0,0.0,0.0,0.003,0.0092,0.0004,0.0,0.0,0.0,0.0093,0.0162,0.001,0.0,0.0,0.0,0.0191,0.0896,0.0076,0.0005,0.0,0.0,0.1006,0.1895,0.0128,0.0002,0.0,0.0,0.2051,0.3368,0.0051,0.0003,0.0,0.0,0.3474,0.1012,0.0009,0.0,0.0,0.0,0.1019,0.0571,0.0002,0.0,0.0,0.0,0.0579,0.0335,0.0005,0.0,0.0,0.0,0.0339,0.0635,0.0012,0.0,0.0,0.0,0.0663,0.959,0.0404,0.0021,0.0,0.0,1.0
Kew,0.0564,0.0083,0.0019,0.0,0.0,0.0788,0.0043,0.0,0.0004,0.0,0.0,0.0059,0.0021,0.0,0.0004,0.0,0.0,0.0029,0.0024,0.0004,0.0005,0.0,0.0,0.0062,0.0044,0.0011,0.0005,0.0,0.0,0.0082,0.0307,0.0073,0.0059,0.0,0.0,0.0513,0.0206,0.0057,0.0111,0.0,0.0,0.0475,0.0576,0.0195,0.0238,0.0,0.0,0.1129,0.0316,0.0144,0.0111,0.0,0.0,0.0722,0.088,0.0263,0.0066,0.0,0.0,0.1301,0.307,0.0377,0.0038,0.0,0.0,0.3612,0.0579,0.0052,0.0016,0.0,0.0,0.0785,0.7231,0.1686,0.0968,0.0,0.0,1.0
Kororoit,0.0413,0.0006,0.0,0.0,0.0,0.0426,0.0084,0.0,0.0,0.0,0.0,0.0088,0.0084,0.0002,0.0,0.0,0.0,0.009,0.0163,0.0,0.0,0.0,0.0,0.0178,0.0276,0.0004,0.0004,0.0,0.0,0.0297,0.1091,0.0054,0.0015,0.0,0.0,0.1184,0.158,0.0097,0.0024,0.0,0.0,0.1755,0.2656,0.0085,0.0,0.0,0.0,0.2799,0.1088,0.0021,0.0003,0.0,0.0,0.1116,0.0664,0.0009,0.0,0.0,0.0,0.0698,0.0359,0.0006,0.0005,0.0,0.0,0.038,0.0702,0.0009,0.0,0.0,0.0,0.0729,0.9437,0.0473,0.0069,0.0,0.0002,1.0
Lara,0.0402,0.0011,0.0,0.0,0.0,0.0438,0.0165,0.0,0.0,0.0,0.0,0.0186,0.0125,0.0,0.0,0.0,0.0,0.0128,0.0299,0.0008,0.0,0.0,0.0,0.0334,0.0527,0.002,0.0,0.0,0.0,0.0603,0.1747,0.0067,0.002,0.0,0.0,0.1865,0.1937,0.0091,0.0005,0.0,0.0,0.2105,0.2011,0.0048,0.0,0.0,0.0,0.2116,0.0634,0.0004,0.0,0.0,0.0,0.064,0.0392,0.0,0.0,0.0,0.0,0.0413,0.0189,0.0005,0.0,0.0,0.0,0.0196,0.0579,0.0012,0.0,0.0,0.0,0.0587,0.9339,0.0456,0.0088,0.0,0.0,1.0
Laverton,0.0289,0.0031,0.0003,0.0,0.0,0.035,0.0056,0.0,0.0003,0.0,0.0,0.0069,0.0038,0.0003,0.0003,0.0,0.0,0.006,0.008,0.0015,0.0005,0.0,0.0,0.0111,0.0167,0.0022,0.0012,0.0,0.0,0.0259,0.0798,0.0187,0.0043,0.0,0.0,0.1066,0.136,0.0341,0.0028,0.0,0.0,0.1762,0.2533,0.0398,0.0014,0.0,0.0,0.2996,0.1041,0.0095,0.0005,0.0,0.0,0.1197,0.065,0.0042,0.0003,0.0,0.0,0.0735,0.0344,0.002,0.0,0.0,0.0,0.0404,0.0574,0.0057,0.0007,0.0,0.0,0.0707,0.8284,0.1479,0.0168,0.0,0.0,1.0
Lowan,0.0698,0.0004,0.0,0.0,0.0,0.0701,0.0477,0.0,0.0,0.0,0.0,0.0484,0.0595,0.0,0.0,0.0,0.0,0.0604,0.1083,0.0,0.0,0.0,0.0,0.1091,0.1227,0.0,0.0013,0.0,0.0,0.125,0.2277,0.0,0.0,0.0,0.0,0.2314,0.1113,0.0,0.0,0.0,0.0,0.1132,0.0765,0.0,0.0004,0.0,0.0,0.0779,0.0177,0.0,0.0,0.0,0.0,0.0177,0.015,0.0,0.0,0.0,0.0,0.015,0.0098,0.0,0.0,0.0,0.0,0.0098,0.0488,0.0,0.0,0.0,0.0,0.0494,0.981,0.0032,0.0024,0.0004,0.0,1.0
Macedon,0.0387,0.0,0.0,0.0,0.0,0.0401,0.0152,0.0,0.0,0.0,0.0,0.0152,0.0139,0.0006,0.0,0.0,0.0,0.0146,0.0266,0.0,0.0,0.0003,0.0,0.0275,0.0344,0.0003,0.0,0.0003,0.0,0.0356,0.1191,0.0017,0.0,0.0005,0.0,0.1223,0.1466,0.0033,0.0004,0.0005,0.0,0.1537,0.2167,0.0011,0.0005,0.0012,0.0,0.2219,0.1142,0.0004,0.0,0.0004,0.0,0.1174,0.0983,0.0,0.0,0.0,0.0,0.0998,0.0717,0.0,0.0,0.0,0.0,0.0724,0.0546,0.0003,0.0,0.0,0.0,0.0552,0.974,0.015,0.0007,0.0029,0.0,1.0
Malvern,0.035,0.0075,0.007,0.0,0.0,0.0618,0.0021,0.0,0.0021,0.0,0.0,0.0075,0.0012,0.0,0.0014,0.0,0.0,0.0029,0.001,0.0007,0.0025,0.0,0.0,0.0068,0.0032,0.0006,0.0041,0.0,0.0,0.0126,0.0144,0.0033,0.0269,0.0004,0.0,0.0542,0.011,0.0037,0.0422,0.0004,0.0,0.0723,0.0328,0.0219,0.0573,0.0,0.0,0.1216,0.0232,0.0115,0.0301,0.0,0.0,0.0771,0.0592,0.0286,0.0288,0.0,0.0,0.129,0.2355,0.0533,0.0261,0.0,0.0,0.321,0.0426,0.008,0.0105,0.0,0.0,0.065,0.5079,0.1986,0.2894,0.004,0.0,1.0
