district,census_variable,value
Albert Park,Buddhism_M_n,678.0
Ashwood,Buddhism_M_n,2136.0
Bass,Buddhism_M_n,331.0
Bayswater,Buddhism_M_n,1314.0
Bellarine,Buddhism_M_n,119.0
Benambra,Buddhism_M_n,148.0
Bendigo East,Buddhism_M_n,320.0
Bendigo West,Buddhism_M_n,316.0
Bentleigh,Buddhism_M_n,695.0
Berwick,Buddhism_M_n,2247.0
Box Hill,Buddhism_M_n,2116.0
Brighton,Buddhism_M_n,301.0
Broadmeadows,Buddhism_M_n,789.0
Brunswick,Buddhism_M_n,446.0
Bulleen,Buddhism_M_n,1511.0
Bundoora,Buddhism_M_n,959.0
Carrum,Buddhism_M_n,726.0
Caulfield,Buddhism_M_n,412.0
Clarinda,Buddhism_M_n,4287.0
Cranbourne,Buddhism_M_n,1358.0
Croydon,Buddhism_M_n,553.0
Dandenong,Buddhism_M_n,4153.0
Eildon,Buddhism_M_n,167.0
Eltham,Buddhism_M_n,184.0
Essendon,Buddhism_M_n,713.0
Eureka,Buddhism_M_n,202.0
Euroa,Buddhism_M_n,161.0
Evelyn,Buddhism_M_n,268.0
Footscray,Buddhism_M_n,2326.0
Frankston,Buddhism_M_n,249.0
Geelong,Buddhism_M_n,232.0
Gippsland East,Buddhism_M_n,106.0
Gippsland South,Buddhism_M_n,97.0
Glen Waverley,Buddhism_M_n,3223.0
Greenvale,Buddhism_M_n,1003.0
Hastings,Buddhism_M_n,137.0
Hawthorn,Buddhism_M_n,724.0
Ivanhoe,Buddhism_M_n,575.0
Kalkallo,Buddhism_M_n,1242.0
Kew,Buddhism_M_n,1311.0
Kororoit,Buddhism_M_n,3105.0
Lara,Buddhism_M_n,330.0
Laverton,Buddhism_M_n,3058.0
Lowan,Buddhism_M_n,133.0
Macedon,Buddhism_M_n,150.0
Malvern,Buddhism_M_n,472.0
Melbourne,Buddhism_M_n,3301.0
Melton,Buddhism_M_n,495.0
Mildura,Buddhism_M_n,840.0
Mill Park,Buddhism_M_n,776.0
Monbulk,Buddhism_M_n,264.0
Mordialloc,Buddhism_M_n,1568.0
Mornington,Buddhism_M_n,103.0
Morwell,Buddhism_M_n,152.0
Mulgrave,Buddhism_M_n,4539.0
Murray Plains,Buddhism_M_n,156.0
Narracan,Buddhism_M_n,166.0
Narre Warren North,Buddhism_M_n,1658.0
Narre Warren South,Buddhism_M_n,2659.0
Nepean,Buddhism_M_n,129.0
Niddrie,Buddhism_M_n,740.0
Northcote,Buddhism_M_n,464.0
Oakleigh,Buddhism_M_n,1863.0
Ovens Valley,Buddhism_M_n,191.0
Pakenham,Buddhism_M_n,1116.0
Pascoe Vale,Buddhism_M_n,514.0
Point Cook,Buddhism_M_n,1391.0
Polwarth,Buddhism_M_n,137.0
Prahran,Buddhism_M_n,757.0
Preston,Buddhism_M_n,966.0
Richmond,Buddhism_M_n,1011.0
Ringwood,Buddhism_M_n,1189.0
Ripon,Buddhism_M_n,130.0
Rowville,Buddhism_M_n,1772.0
Sandringham,Buddhism_M_n,249.0
Shepparton,Buddhism_M_n,275.0
South Barwon,Buddhism_M_n,312.0
South-West Coast,Buddhism_M_n,147.0
St Albans,Buddhism_M_n,5037.0
Sunbury,Buddhism_M_n,314.0
Sydenham,Buddhism_M_n,1500.0
Tarneit,Buddhism_M_n,905.0
Thomastown,Buddhism_M_n,1735.0
