district,census_variable,value,rank
Nepean,Age_yr_0_4_F_n,1208.0,1.0
Prahran,Age_yr_0_4_F_n,1228.0,2.0
Malvern,Age_yr_0_4_F_n,1299.0,3.0
Kew,Age_yr_0_4_F_n,1304.0,4.0
Richmond,Age_yr_0_4_F_n,1361.0,5.0
Albert Park,Age_yr_0_4_F_n,1365.0,6.0
Brunswick,Age_yr_0_4_F_n,1374.0,7.0
Hawthorn,Age_yr_0_4_F_n,1377.0,8.0
Gippsland East,Age_yr_0_4_F_n,1393.0,9.0
Sandringham,Age_yr_0_4_F_n,1448.0,10.0
Brighton,Age_yr_0_4_F_n,1464.0,11.0
Mornington,Age_yr_0_4_F_n,1499.0,12.0
Eildon,Age_yr_0_4_F_n,1518.0,13.0
Ovens Valley,Age_yr_0_4_F_n,1541.0,14.0
Glen Waverley,Age_yr_0_4_F_n,1563.0,15.0
Euroa,Age_yr_0_4_F_n,1584.0,16.0
Gippsland South,Age_yr_0_4_F_n,1588.0,17.0
Rowville,Age_yr_0_4_F_n,1589.0,18.0
Melbourne,Age_yr_0_4_F_n,1617.0,19.0
Northcote,Age_yr_0_4_F_n,1652.0,20.0
Bellarine,Age_yr_0_4_F_n,1661.0,21.0
Bulleen,Age_yr_0_4_F_n,1675.0,22.0
South-West Coast,Age_yr_0_4_F_n,1679.0,23.0
Warrandyte,Age_yr_0_4_F_n,1681.0,24.0
Essendon,Age_yr_0_4_F_n,1687.0,25.0
Macedon,Age_yr_0_4_F_n,1692.0,26.0
Niddrie,Age_yr_0_4_F_n,1697.0,27.0
Murray Plains,Age_yr_0_4_F_n,1705.0,28.0
Bendigo West,Age_yr_0_4_F_n,1723.0,29.0
Ripon,Age_yr_0_4_F_n,1728.0,30.0
Ivanhoe,Age_yr_0_4_F_n,1740.0,31.0
Monbulk,Age_yr_0_4_F_n,1753.0,32.0
Box Hill,Age_yr_0_4_F_n,1798.0,33.0
Eltham,Age_yr_0_4_F_n,1808.0,34.0
Lowan,Age_yr_0_4_F_n,1832.0,35.0
Bundoora,Age_yr_0_4_F_n,1837.0,36.0
Caulfield,Age_yr_0_4_F_n,1858.0,37.0
Ashwood,Age_yr_0_4_F_n,1873.0,38.0
Clarinda,Age_yr_0_4_F_n,1883.0,39.0
Geelong,Age_yr_0_4_F_n,1888.0,40.0
Hastings,Age_yr_0_4_F_n,1898.0,41.0
Frankston,Age_yr_0_4_F_n,1904.0,42.0
Polwarth,Age_yr_0_4_F_n,1908.0,43.0
Bass,Age_yr_0_4_F_n,1911.0,44.0
Mildura,Age_yr_0_4_F_n,1914.0,45.0
Sunbury,Age_yr_0_4_F_n,1916.0,46.0
Wendouree,Age_yr_0_4_F_n,1929.0,47.0
Morwell,Age_yr_0_4_F_n,1945.0,48.0
Pascoe Vale,Age_yr_0_4_F_n,1948.0,49.0
Mulgrave,Age_yr_0_4_F_n,1965.0,50.0
Benambra,Age_yr_0_4_F_n,1981.0,51.0
Bentleigh,Age_yr_0_4_F_n,1993.0,52.0
Williamstown,Age_yr_0_4_F_n,1994.0,53.0
St Albans,Age_yr_0_4_F_n,2003.0,54.0
Lara,Age_yr_0_4_F_n,2020.0,55.0
Mill Park,Age_yr_0_4_F_n,2024.0,56.0
Narracan,Age_yr_0_4_F_n,2034.0,57.0
Preston,Age_yr_0_4_F_n,2050.0,58.0
Footscray,Age_yr_0_4_F_n,2056.0,59.0
Oakleigh,Age_yr_0_4_F_n,2060.0,60.0
Mordialloc,Age_yr_0_4_F_n,2091.0,61.0
Shepparton,Age_yr_0_4_F_n,2111.0,62.0
Bendigo East,Age_yr_0_4_F_n,2125.0,63.0
Bayswater,Age_yr_0_4_F_n,2157.0,64.0
Evelyn,Age_yr_0_4_F_n,2191.0,65.0
Eureka,Age_yr_0_4_F_n,2203.0,66.0
Sydenham,Age_yr_0_4_F_n,2269.0,67.0
Croydon,Age_yr_0_4_F_n,2298.0,68.0
Narre Warren North,Age_yr_0_4_F_n,2307.0,69.0
Ringwood,Age_yr_0_4_F_n,2320.0,70.0
South Barwon,Age_yr_0_4_F_n,2327.0,71.0
Carrum,Age_yr_0_4_F_n,2455.0,72.0
Greenvale,Age_yr_0_4_F_n,2468.0,73.0
Broadmeadows,Age_yr_0_4_F_n,2829.0,74.0
Dandenong,Age_yr_0_4_F_n,2862.0,75.0
Thomastown,Age_yr_0_4_F_n,2871.0,76.0
Yan Yean,Age_yr_0_4_F_n,2877.0,77.0
Berwick,Age_yr_0_4_F_n,2889.0,78.0
Kororoit,Age_yr_0_4_F_n,3094.0,79.0
Narre Warren South,Age_yr_0_4_F_n,3126.0,80.0
Pakenham,Age_yr_0_4_F_n,3238.0,81.0
Werribee,Age_yr_0_4_F_n,3382.0,82.0
Point Cook,Age_yr_0_4_F_n,3534.0,83.0
Melton,Age_yr_0_4_F_n,3714.0,84.0
Laverton,Age_yr_0_4_F_n,3857.0,85.0
Cranbourne,Age_yr_0_4_F_n,3887.0,86.0
Tarneit,Age_yr_0_4_F_n,3951.0,87.0
Kalkallo,Age_yr_0_4_F_n,4737.0,88.0
Melbourne,Age_yr_0_4_F_pc,0.0137,1.0
Prahran,Age_yr_0_4_F_pc,0.0169,2.0
Kew,Age_yr_0_4_F_pc,0.0176,3.0
Albert Park,Age_yr_0_4_F_pc,0.0184,4.0
Glen Waverley,Age_yr_0_4_F_pc,0.019,5.0
Nepean,Age_yr_0_4_F_pc,0.0194,6.0
Hawthorn,Age_yr_0_4_F_pc,0.0195,7.0
Brunswick,Age_yr_0_4_F_pc,0.0201,8.0
Richmond,Age_yr_0_4_F_pc,0.0202,9.0
Malvern,Age_yr_0_4_F_pc,0.0203,10.0
Box Hill,Age_yr_0_4_F_pc,0.0212,11.0
Gippsland East,Age_yr_0_4_F_pc,0.0218,12.0
Brighton,Age_yr_0_4_F_pc,0.0222,13.0
Rowville,Age_yr_0_4_F_pc,0.0223,14.0
Bulleen,Age_yr_0_4_F_pc,0.0225,15.0
Warrandyte,Age_yr_0_4_F_pc,0.0228,16.0
Eildon,Age_yr_0_4_F_pc,0.0229,17.0
Mornington,Age_yr_0_4_F_pc,0.0229,18.0
Oakleigh,Age_yr_0_4_F_pc,0.0229,19.0
Sandringham,Age_yr_0_4_F_pc,0.023,20.0
Ashwood,Age_yr_0_4_F_pc,0.0232,21.0
Euroa,Age_yr_0_4_F_pc,0.0238,22.0
Bellarine,Age_yr_0_4_F_pc,0.0239,23.0
Essendon,Age_yr_0_4_F_pc,0.024,24.0
South-West Coast,Age_yr_0_4_F_pc,0.024,25.0
Gippsland South,Age_yr_0_4_F_pc,0.0241,26.0
Ovens Valley,Age_yr_0_4_F_pc,0.0244,27.0
Northcote,Age_yr_0_4_F_pc,0.0245,28.0
Niddrie,Age_yr_0_4_F_pc,0.0246,29.0
Ripon,Age_yr_0_4_F_pc,0.025,30.0
Mulgrave,Age_yr_0_4_F_pc,0.0255,31.0
Clarinda,Age_yr_0_4_F_pc,0.0256,32.0
Bentleigh,Age_yr_0_4_F_pc,0.026,33.0
Caulfield,Age_yr_0_4_F_pc,0.026,34.0
