district,Tot_P_M_pc,Tot_P_F_pc,Tot_P_P_pc,Age_0_4_yr_M_pc,Age_0_4_yr_F_pc,Age_0_4_yr_P_pc,Age_5_14_yr_M_pc,Age_5_14_yr_F_pc,Age_5_14_yr_P_pc,Age_15_19_yr_M_pc,Age_15_19_yr_F_pc,Age_15_19_yr_P_pc,Age_20_24_yr_M_pc,Age_20_24_yr_F_pc,Age_20_24_yr_P_pc,Age_25_34_yr_M_pc,Age_25_34_yr_F_pc,Age_25_34_yr_P_pc,Age_35_44_yr_M_pc,Age_35_44_yr_F_pc,Age_35_44_yr_P_pc,Age_45_54_yr_M_pc,Age_45_54_yr_F_pc,Age_45_54_yr_P_pc,Age_55_64_yr_M_pc,Age_55_64_yr_F_pc,Age_55_64_yr_P_pc,Age_65_74_yr_M_pc,Age_65_74_yr_F_pc,Age_65_74_yr_P_pc,Age_75_84_yr_M_pc,Age_75_84_yr_F_pc,Age_75_84_yr_P_pc,Age_85ov_M_pc,Age_85ov_F_pc,Age_85ov_P_pc,Counted_Census_Night_home_M_pc,Counted_Census_Night_home_F_pc,Counted_Census_Night_home_P_pc,Count_Census_Nt_Ewhere_Aust_M_pc,Count_Census_Nt_Ewhere_Aust_F_pc,Count_Census_Nt_Ewhere_Aust_P_pc,Indigenous_psns_Aboriginal_M_pc,Indigenous_psns_Aboriginal_F_pc,Indigenous_psns_Aboriginal_P_pc,Indig_psns_Torres_Strait_Is_M_pc,Indig_psns_Torres_Strait_Is_F_pc,Indig_psns_Torres_Strait_Is_P_pc,Indig_Bth_Abor_Torres_St_Is_M_pc,Indig_Bth_Abor_Torres_St_Is_F_pc,Indig_Bth_Abor_Torres_St_Is_P_pc,Indigenous_P_Tot_M_pc,Indigenous_P_Tot_F_pc,Indigenous_P_Tot_P_pc,Birthplace_Australia_M_pc,Birthplace_Australia_F_pc,Birthplace_Australia_P_pc,Birthplace_Elsewhere_M_pc,Birthplace_Elsewhere_F_pc,Birthplace_Elsewhere_P_pc,Lang_used_home_Eng_only_M_pc,Lang_used_home_Eng_only_F_pc,Lang_used_home_Eng_only_P_pc,Lang_used_home_Oth_Lang_M_pc,Lang_used_home_Oth_Lang_F_pc,Lang_used_home_Oth_Lang_P_pc,Australian_citizen_M_pc,Australian_citizen_F_pc,Australian_citizen_P_pc,Age_psns_att_educ_inst_0_4_M_pc,Age_psns_att_educ_inst_0_4_F_pc,Age_psns_att_educ_inst_0_4_P_pc,Age_psns_att_educ_inst_5_14_M_pc,Age_psns_att_educ_inst_5_14_F_pc,Age_psns_att_educ_inst_5_14_P_pc,Age_psns_att_edu_inst_15_19_M_pc,Age_psns_att_edu_inst_15_19_F_pc,Age_psns_att_edu_inst_15_19_P_pc,Age_psns_att_edu_inst_20_24_M_pc,Age_psns_att_edu_inst_20_24_F_pc,Age_psns_att_edu_inst_20_24_P_pc,Age_psns_att_edu_inst_25_ov_M_pc,Age_psns_att_edu_inst_25_ov_F_pc,Age_psns_att_edu_inst_25_ov_P_pc,High_yr_schl_comp_Yr_12_eq_M_pc,High_yr_schl_comp_Yr_12_eq_F_pc,High_yr_schl_comp_Yr_12_eq_P_pc,High_yr_schl_comp_Yr_11_eq_M_pc,High_yr_schl_comp_Yr_11_eq_F_pc,High_yr_schl_comp_Yr_11_eq_P_pc,High_yr_schl_comp_Yr_10_eq_M_pc,High_yr_schl_comp_Yr_10_eq_F_pc,High_yr_schl_comp_Yr_10_eq_P_pc,High_yr_schl_comp_Yr_9_eq_M_pc,High_yr_schl_comp_Yr_9_eq_F_pc,High_yr_schl_comp_Yr_9_eq_P_pc,High_yr_schl_comp_Yr_8_belw_M_pc,High_yr_schl_comp_Yr_8_belw_F_pc,High_yr_schl_comp_Yr_8_belw_P_pc,High_yr_schl_comp_D_n_g_sch_M_pc,High_yr_schl_comp_D_n_g_sch_F_pc,High_yr_schl_comp_D_n_g_sch_P_pc,Count_psns_occ_priv_dwgs_M_pc,Count_psns_occ_priv_dwgs_F_pc,Count_psns_occ_priv_dwgs_P_pc,Count_Persons_other_dwgs_M_pc,Count_Persons_other_dwgs_F_pc,Count_Persons_other_dwgs_P_pc,Tot_P_P_total
Box Hill,0.4825,0.5175,1.0,0.0218,0.0212,0.0425,0.0549,0.0524,0.1081,0.0303,0.0311,0.0614,0.0441,0.041,0.0854,0.0787,0.0773,0.156,0.0648,0.0689,0.1331,0.0616,0.0695,0.1323,0.0525,0.0578,0.1109,0.0386,0.0459,0.0847,0.0238,0.0314,0.0546,0.0115,0.0194,0.0316,0.4702,0.5042,0.9741,0.0116,0.0134,0.026,0.0008,0.0012,0.0027,0.0,0.0001,0.0002,0.0,0.0,0.0001,0.0009,0.0013,0.0029,0.2623,0.2718,0.5343,0.2021,0.2273,0.4291,0.2689,0.2794,0.5474,0.1945,0.2196,0.4143,0.3564,0.3815,0.7385,0.0077,0.0067,0.0146,0.0528,0.0503,0.1039,0.0275,0.0288,0.0566,0.0268,0.0262,0.0527,0.0266,0.0335,0.0601,0.296,0.3226,0.6185,0.0306,0.0319,0.0625,0.0278,0.0297,0.0567,0.0144,0.0153,0.0301,0.0115,0.0167,0.0284,0.0035,0.0049,0.009,0.455,0.4871,0.9416,0.0272,0.0293,0.0572,84750.0
Brighton,0.477,0.5229,1.0,0.0207,0.0222,0.0434,0.0631,0.0567,0.1196,0.0328,0.0296,0.0614,0.0261,0.0242,0.0521,0.0514,0.0583,0.1099,0.0598,0.0703,0.1297,0.0731,0.0843,0.1581,0.0638,0.0701,0.1333,0.0468,0.0532,0.0998,0.0275,0.0346,0.0621,0.0107,0.0196,0.0301,0.4569,0.5019,0.9582,0.019,0.0221,0.0407,0.0006,0.001,0.0019,0.0,0.0,0.0,0.0,0.0,0.0001,0.0006,0.0011,0.0023,0.3279,0.3543,0.6824,0.1304,0.1487,0.2791,0.3807,0.4084,0.7893,0.076,0.0923,0.1687,0.412,0.4498,0.8616,0.0067,0.0077,0.0148,0.0597,0.0542,0.1141,0.0294,0.0274,0.0573,0.0162,0.0147,0.0315,0.0138,0.024,0.0377,0.2964,0.3336,0.6294,0.0314,0.0356,0.0677,0.0253,0.0303,0.0562,0.011,0.0116,0.0226,0.0071,0.0096,0.017,0.0014,0.0009,0.0026,0.446,0.485,0.931,0.0216,0.0273,0.0488,65998.0
Broadmeadows,0.508,0.4914,1.0,0.0372,0.0351,0.0719,0.064,0.0601,0.1225,0.0266,0.024,0.0514,0.039,0.0332,0.0731,0.0991,0.0877,0.1867,0.0766,0.0698,0.1474,0.054,0.0531,0.1073,0.0466,0.0476,0.0942,0.03,0.0353,0.0651,0.0213,0.0297,0.0515,0.0108,0.0167,0.0288,0.4989,0.4828,0.9808,0.0094,0.0092,0.0188,0.0028,0.0023,0.0057,0.0001,0.0,0.0002,0.0,0.0,0.0,0.003,0.0025,0.0064,0.2479,0.2477,0.4962,0.2226,0.2111,0.4334,0.1937,0.189,0.3819,0.2723,0.266,0.5385,0.368,0.3763,0.7441,0.0093,0.0087,0.0182,0.0568,0.0537,0.1097,0.0196,0.0203,0.0402,0.0179,0.0157,0.0337,0.0248,0.0293,0.0537,0.2298,0.219,0.4488,0.0328,0.0302,0.0624,0.0433,0.0373,0.0794,0.0216,0.0208,0.043,0.0304,0.0414,0.0724,0.0111,0.0161,0.0274,0.4696,0.4568,0.9272,0.0379,0.0333,0.0708,80538.0
Brunswick,0.4747,0.5255,1.0,0.0209,0.0201,0.0404,0.0353,0.0345,0.07,0.0148,0.0158,0.0307,0.0366,0.048,0.0852,0.131,0.1465,0.2773,0.0839,0.0862,0.1704,0.0567,0.0581,0.1142,0.0413,0.0458,0.0875,0.0282,0.0355,0.0647,0.0174,0.0234,0.0412,0.0068,0.0106,0.018,0.4557,0.5012,0.9562,0.0193,0.0242,0.0426,0.0024,0.0029,0.0062,0.0,0.0001,0.0001,0.0001,0.0001,0.0002,0.0026,0.0032,0.0068,0.3273,0.3572,0.6852,0.1304,0.1516,0.2817,0.3599,0.3904,0.7502,0.0974,0.1172,0.2132,0.4018,0.4429,0.8448,0.0063,0.0055,0.0126,0.0335,0.033,0.0668,0.0131,0.0144,0.0272,0.0196,0.027,0.0472,0.0345,0.0491,0.0828,0.3326,0.3826,0.7137,0.0231,0.0196,0.0437,0.0215,0.0178,0.0391,0.0079,0.0077,0.0155,0.0119,0.0182,0.0306,0.0032,0.0055,0.0092,0.446,0.4942,0.939,0.0215,0.0192,0.0414,68241.0
Bulleen,0.4829,0.5162,1.0,0.0222,0.0225,0.0449,0.0548,0.0513,0.1064,0.0279,0.0257,0.0552,0.0311,0.0274,0.0585,0.0589,0.0589,0.1185,0.0617,0.0667,0.1287,0.0607,0.0676,0.1278,0.0593,0.0671,0.1263,0.047,0.0584,0.1051,0.0402,0.0483,0.0881,0.0173,0.0226,0.0404,0.4712,0.5062,0.978,0.0108,0.011,0.0219,0.0008,0.0006,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0006,0.002,0.25,0.2537,0.5034,0.2187,0.2485,0.4666,0.2268,0.2291,0.455,0.2407,0.2714,0.512,0.393,0.4163,0.8095,0.0078,0.007,0.0151,0.0522,0.049,0.1023,0.0251,0.024,0.0503,0.0174,0.0167,0.0341,0.0172,0.0239,0.0409,0.2832,0.3002,0.5835,0.033,0.0352,0.0678,0.0324,0.0367,0.0687,0.0156,0.0184,0.0332,0.0198,0.0283,0.0485,0.0039,0.0063,0.0116,0.464,0.4944,0.9581,0.0151,0.0191,0.0345,74527.0
Bundoora,0.498,0.5017,1.0,0.0283,0.0264,0.0549,0.057,0.0528,0.1093,0.0292,0.0268,0.0565,0.0388,0.0335,0.0722,0.0751,0.0697,0.1445,0.0688,0.0698,0.1382,0.0659,0.0689,0.1338,0.0535,0.0585,0.1127,0.0437,0.0512,0.0958,0.0265,0.0321,0.0582,0.009,0.0139,0.0231,0.4855,0.4899,0.9754,0.0114,0.0124,0.024,0.0036,0.0034,0.0075,0.0001,0.0,0.0002,0.0,0.0002,0.0002,0.0039,0.0037,0.0081,0.3252,0.3289,0.6536,0.154,0.1565,0.3105,0.3244,0.3249,0.6492,0.1547,0.1597,0.3146,0.416,0.4271,0.8436,0.0091,0.0083,0.0176,0.0544,0.0509,0.105,0.025,0.0236,0.0491,0.0188,0.0191,0.0384,0.0207,0.0252,0.0465,0.2548,0.2694,0.5239,0.0448,0.041,0.086,0.0471,0.0443,0.0921,0.0211,0.0209,0.0427,0.0187,0.025,0.0435,0.0049,0.0053,0.0105,0.4741,0.4771,0.9497,0.0229,0.0247,0.0476,69522.0
Carrum,0.4897,0.5103,1.0,0.0346,0.0331,0.0685,0.0676,0.064,0.131,0.028,0.025,0.0533,0.026,0.0254,0.0522,0.0652,0.0708,0.1348,0.077,0.0801,0.1576,0.0684,0.0714,0.1394,0.0569,0.0601,0.117,0.04,0.0466,0.0865,0.0197,0.0233,0.0428,0.0048,0.0095,0.0156,0.4762,0.4981,0.9746,0.0132,0.0126,0.0253,0.0047,0.0044,0.0094,0.0001,0.0001,0.0004,0.0,0.0,0.0001,0.0048,0.0046,0.01,0.3408,0.3495,0.6899,0.1299,0.1429,0.2722,0.375,0.3861,0.7619,0.0946,0.104,0.1984,0.426,0.4418,0.8682,0.0108,0.0107,0.0215,0.0635,0.0604,0.1244,0.022,0.0208,0.0439,0.0092,0.0107,0.0203,0.0135,0.0223,0.0364,0.2065,0.243,0.4501,0.0555,0.0487,0.1044,0.065,0.0581,0.1238,0.0257,0.0223,0.0475,0.0136,0.016,0.0297,0.0017,0.0026,0.0051,0.4677,0.4873,0.9546,0.0168,0.0186,0.0353,74151.0
Caulfield,0.4841,0.5177,1.0,0.0271,0.026,0.0545,0.054,0.0536,0.1086,0.0238,0.0242,0.049,0.0333,0.035,0.0681,0.0921,0.0948,0.1863,0.0721,0.0747,0.1469,0.0588,0.0636,0.1238,0.0486,0.0517,0.1008,0.0442,0.0493,0.0932,0.0205,0.0259,0.046,0.0084,0.0158,0.0251,0.4712,0.4996,0.9701,0.0139,0.0167,0.0301,0.0007,0.0007,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0007,0.002,0.2932,0.3102,0.6045,0.1703,0.1851,0.3554,0.3403,0.3583,0.6999,0.1215,0.1359,0.258,0.3944,0.424,0.8179,0.0091,0.009,0.0188,0.0511,0.0517,0.1031,0.0218,0.0217,0.0441,0.0195,0.0206,0.0396,0.0243,0.0305,0.0562,0.3127,0.3421,0.6555,0.0253,0.0283,0.0536,0.0225,0.022,0.0447,0.0112,0.0093,0.0197,0.0075,0.0097,0.0171,0.0009,0.0016,0.0036,0.4539,0.4821,0.9355,0.0243,0.0281,0.0533,71543.0
Clarinda,0.4963,0.5036,1.0,0.0262,0.0256,0.0518,0.0583,0.0559,0.1138,0.0283,0.0265,0.055,0.0354,0.0296,0.0645,0.0742,0.0655,0.1403,0.0682,0.0703,0.1378,0.0636,0.0678,0.1307,0.058,0.061,0.1178,0.047,0.0537,0.1016,0.0285,0.0332,0.061,0.0096,0.0149,0.0252,0.4861,0.494,0.9788,0.0101,0.0103,0.0207,0.0007,0.0013,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0013,0.0026,0.2507,0.2419,0.493,0.228,0.245,0.4732,0.2349,0.2292,0.4645,0.2406,0.2551,0.4958,0.3976,0.4076,0.8056,0.0071,0.007,0.0155,0.0553,0.0528,0.1086,0.0246,0.0238,0.0482,0.0173,0.0149,0.0326,0.0177,0.0229,0.0413,0.2488,0.2539,0.5031,0.0377,0.0356,0.0727,0.0451,0.0428,0.0875,0.0211,0.0199,0.0404,0.0244,0.0342,0.0583,0.0132,0.0174,0.0314,0.4735,0.4829,0.9555,0.0198,0.0195,0.0396,73603.0
Cranbourne,0.4963,0.5035,1.0,0.0485,0.0446,0.0937,0.082,0.0768,0.1581,0.0287,0.0277,0.0568,0.032,0.0306,0.0634,0.083,0.0928,0.175,0.0889,0.0853,0.1742,0.0531,0.0533,0.1068,0.0378,0.0384,0.0768,0.0254,0.0302,0.0547,0.013,0.0155,0.0292,0.0032,0.0065,0.0108,0.4866,0.4952,0.9814,0.0096,0.0087,0.0179,0.004,0.0038,0.0085,0.0,0.0,0.0001,0.0,0.0,0.0,0.0042,0.004,0.0088,0.2807,0.2841,0.5645,0.1923,0.1971,0.3894,0.2796,0.2852,0.5649,0.1904,0.192,0.3828,0.3953,0.3978,0.7924,0.0131,0.0113,0.025,0.076,0.0705,0.1467,0.0222,0.022,0.0441,0.0099,0.0122,0.0223,0.0173,0.028,0.0452,0.1981,0.222,0.4198,0.0421,0.0393,0.0817,0.059,0.0523,0.1114,0.0247,0.0216,0.0461,0.0148,0.0177,0.0319,0.0058,0.0077,0.0148,0.4719,0.4794,0.9516,0.0219,0.0229,0.0447,87250.0
Croydon,0.48,0.5204,1.0,0.0325,0.0308,0.0633,0.0621,0.0583,0.1202,0.0272,0.0252,0.0531,0.0296,0.0272,0.0558,0.067,0.073,0.1396,0.0701,0.0745,0.1437,0.0596,0.0658,0.1259,0.0555,0.0623,0.1172,0.0429,0.0528,0.0952,0.0253,0.0336,0.0594,0.0087,0.0169,0.0257,0.4663,0.5054,0.9729,0.0136,0.0144,0.0275,0.0027,0.0031,0.0065,0.0001,0.0001,0.0002,0.0,0.0,0.0001,0.0028,0.0033,0.007,0.3576,0.3818,0.7398,0.1069,0.1228,0.2303,0.3858,0.4142,0.7987,0.0784,0.0885,0.1667,0.423,0.4571,0.8803,0.0098,0.0102,0.0201,0.0603,0.0561,0.1156,0.0223,0.0214,0.0436,0.0106,0.0109,0.0216,0.0147,0.0219,0.0365,0.2087,0.2533,0.4614,0.0571,0.056,0.1125,0.0614,0.0568,0.1186,0.0244,0.0239,0.0471,0.0157,0.0181,0.0328,0.0031,0.0038,0.0077,0.4579,0.4934,0.9514,0.016,0.0197,0.0372,74532.0
Dandenong,0.5133,0.4867,1.0,0.0332,0.0319,0.0647,0.0585,0.0555,0.1145,0.0276,0.0259,0.0546,0.0361,0.0329,0.0697,0.0981,0.0835,0.1818,0.0777,0.0686,0.1469,0.0587,0.0527,0.1113,0.0508,0.0504,0.101,0.0396,0.0438,0.0832,0.0244,0.0281,0.0521,0.0076,0.0133,0.0217,0.5022,0.4762,0.9788,0.0109,0.0093,0.0213,0.0018,0.0021,0.0045,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0021,0.0022,0.005,0.1882,0.1758,0.3642,0.2895,0.2806,0.57,0.1595,0.1484,0.3067,0.3129,0.3012,0.6149,0.35,0.3448,0.6946,0.0067,0.0063,0.0136,0.0525,0.0505,0.1026,0.0216,0.0217,0.0431,0.0154,0.0165,0.0311,0.0226,0.0295,0.0521,0.2272,0.2183,0.4456,0.0338,0.0278,0.0618,0.048,0.0419,0.0896,0.0214,0.0208,0.0426,0.0312,0.0361,0.0678,0.0237,0.0224,0.0457,0.4719,0.4514,0.9226,0.0437,0.036,0.0788,89727.0
Eildon,0.5005,0.4994,1.0,0.0253,0.0229,0.0481,0.0609,0.0577,0.1188,0.0306,0.0267,0.0574,0.0251,0.0218,0.0462,0.0493,0.0499,0.0997,0.0534,0.0576,0.1107,0.0686,0.0711,0.1384,0.077,0.08,0.1582,0.0678,0.0677,0.1354,0.0346,0.0316,0.0664,0.0081,0.0112,0.0198,0.4758,0.4778,0.954,0.0249,0.0215,0.0467,0.007,0.0072,0.0141,0.0002,0.0003,0.0003,0.0001,0.0,0.0001,0.0077,0.0078,0.015,0.4028,0.4,0.8018,0.0597,0.0639,0.1234,0.4478,0.4466,0.8951,0.018,0.0195,0.0371,0.4472,0.4474,0.8947,0.0066,0.0062,0.0143,0.0569,0.0534,0.1107,0.0212,0.0215,0.0429,0.0058,0.0069,0.0132,0.0072,0.019,0.0273,0.1652,0.2162,0.3818,0.0681,0.0616,0.1305,0.0881,0.0644,0.1524,0.0378,0.0264,0.0643,0.0179,0.0152,0.0337,0.0006,0.0005,0.0018,0.4499,0.4526,0.903,0.0542,0.0555,0.1088,66227.0
Eltham,0.4877,0.5121,1.0,0.0276,0.0272,0.0538,0.0684,0.066,0.1345,0.0343,0.0314,0.0656,0.0294,0.0259,0.0544,0.0455,0.0468,0.0916,0.0613,0.069,0.1298,0.0708,0.0771,0.1495,0.0653,0.0742,0.1398,0.0524,0.0585,0.1103,0.0253,0.0281,0.0538,0.0056,0.0102,0.0165,0.4727,0.4983,0.9711,0.015,0.0134,0.0294,0.0024,0.0022,0.0051,0.0,0.0001,0.0002,0.0,0.0,0.0001,0.0025,0.0023,0.0052,0.3941,0.4116,0.8053,0.0826,0.0881,0.1716,0.427,0.4432,0.8699,0.0485,0.0563,0.105,0.453,0.4741,0.927,0.0097,0.0097,0.0204,0.0665,0.0641,0.1309,0.0294,0.028,0.0579,0.0148,0.0137,0.0277,0.0116,0.0196,0.0317,0.2425,0.2778,0.5202,0.0555,0.0531,0.1086,0.0515,0.0442,0.095,0.02,0.0196,0.0394,0.0102,0.0116,0.0225,0.0008,0.0008,0.0022,0.469,0.4918,0.9601,0.0123,0.015,0.0272,66366.0
Essendon,0.4858,0.5136,1.0,0.0248,0.024,0.0485,0.0548,0.0502,0.1051,0.0268,0.0246,0.0505,0.0331,0.0354,0.0704,0.086,0.0924,0.1774,0.073,0.0769,0.1498,0.0659,0.0707,0.1367,0.0556,0.059,0.1154,0.0393,0.043,0.0835,0.0185,0.0229,0.0409,0.0071,0.0137,0.0205,0.4695,0.4974,0.9667,0.0161,0.0163,0.0327,0.0017,0.0019,0.0043,0.0001,0.0001,0.0002,0.0,0.0001,0.0001,0.0019,0.002,0.0047,0.3363,0.3495,0.6859,0.129,0.1438,0.2732,0.3462,0.3567,0.7032,0.1187,0.1359,0.2541,0.4141,0.4363,0.8499,0.0069,0.0082,0.0158,0.0522,0.0484,0.1005,0.0232,0.0221,0.0445,0.0171,0.0192,0.0359,0.0226,0.0311,0.0532,0.2884,0.314,0.6021,0.0365,0.0336,0.0712,0.0321,0.0307,0.0628,0.0128,0.0131,0.026,0.0129,0.019,0.0323,0.0028,0.0064,0.0094,0.4558,0.4832,0.9392,0.0244,0.0239,0.049,70183.0
Eureka,0.4916,0.5081,1.0,0.0306,0.0295,0.0598,0.0696,0.0647,0.1351,0.0297,0.0278,0.0581,0.0283,0.0274,0.0549,0.0638,0.0652,0.1294,0.0637,0.0683,0.1311,0.0637,0.0665,0.1292,0.0591,0.0643,0.1236,0.0517,0.0545,0.106,0.0246,0.0272,0.0526,0.0066,0.0127,0.0195,0.4733,0.4916,0.9652,0.0182,0.0167,0.0347,0.0073,0.0073,0.015,0.0,0.0002,0.0003,0.0001,0.0002,0.0003,0.0078,0.0079,0.0161,0.403,0.4185,0.8223,0.0601,0.0633,0.124,0.4338,0.4506,0.8838,0.0313,0.0335,0.0647,0.4396,0.4585,0.8994,0.0083,0.0093,0.0177,0.0649,0.0612,0.1265,0.0216,0.0216,0.0433,0.0085,0.0101,0.0195,0.0122,0.0237,0.0368,0.1782,0.2211,0.399,0.0602,0.0591,0.1201,0.0764,0.0621,0.1375,0.0326,0.0271,0.0599,0.0174,0.0178,0.0356,0.001,0.0007,0.0022,0.4565,0.4735,0.9297,0.03,0.0303,0.0608,74592.0
Euroa,0.5016,0.4979,1.0,0.0248,0.0238,0.0484,0.0552,0.0531,0.1097,0.0288,0.0246,0.0531,0.0263,0.0208,0.0474,0.0518,0.051,0.1027,0.0502,0.0537,0.1029,0.0645,0.0662,0.1289,0.0764,0.079,0.1551,0.0744,0.0701,0.1442,0.04,0.0393,0.0797,0.0107,0.0173,0.0289,0.4804,0.4796,0.9599,0.0216,0.018,0.0407,0.0096,0.0099,0.0198,0.0001,0.0001,0.0004,0.0001,0.0001,0.0002,0.01,0.0102,0.0206,0.4067,0.4024,0.8092,0.0495,0.0525,0.103,0.4361,0.4354,0.8708,0.0224,0.0236,0.0467,0.4412,0.4406,0.8833,0.006,0.0056,0.0131,0.0491,0.0473,0.0977,0.0186,0.0181,0.0361,0.0046,0.0054,0.0112,0.0075,0.0168,0.025,0.1475,0.1833,0.3311,0.0693,0.0654,0.1338,0.0922,0.0751,0.1671,0.0421,0.0328,0.0757,0.0266,0.0238,0.0516,0.0012,0.0006,0.0025,0.4476,0.4516,0.8991,0.0542,0.0438,0.0985,66608.0
Evelyn,0.4937,0.5052,1.0,0.033,0.0317,0.0656,0.0669,0.0623,0.1282,0.0319,0.0303,0.0622,0.03,0.0289,0.058,0.066,0.0661,0.1314,0.0664,0.0677,0.1343,0.0639,0.0688,0.1311,0.0585,0.0618,0.1213,0.0452,0.0507,0.0956,0.0256,0.0278,0.0532,0.0061,0.0095,0.0165,0.4775,0.4911,0.9682,0.0154,0.0146,0.0303,0.0044,0.0042,0.009,0.0001,0.0,0.0002,0.0,0.0001,0.0002,0.0048,0.0044,0.01,0.3982,0.405,0.8033,0.0801,0.0872,0.1668,0.4361,0.447,0.883,0.0415,0.0442,0.0868,0.4523,0.462,0.9144,0.0099,0.0103,0.0208,0.0636,0.06,0.1236,0.0255,0.0251,0.0508,0.0094,0.0115,0.0215,0.0105,0.0191,0.0303,0.1877,0.2319,0.4197,0.0669,0.0608,0.1273,0.0748,0.0612,0.136,0.0318,0.0237,0.056,0.0151,0.015,0.0292,0.002,0.0017,0.0045,0.472,0.4837,0.9562,0.0141,0.0153,0.0298,69146.0
Footscray,0.5005,0.4987,1.0,0.03,0.0283,0.0571,0.0501,0.046,0.0959,0.019,0.0184,0.0386,0.0324,0.0324,0.065,0.1137,0.1133,0.2272,0.0932,0.0904,0.1825,0.0654,0.065,0.1299,0.0463,0.0486,0.0956,0.0288,0.0299,0.0599,0.0144,0.0175,0.0315,0.0054,0.0098,0.0163,0.4872,0.4849,0.9716,0.0145,0.0143,0.0283,0.003,0.0026,0.0065,0.0,0.0,0.0001,0.0,0.0,0.0,0.0034,0.0026,0.0067,0.296,0.2928,0.5896,0.1786,0.1837,0.3629,0.3014,0.295,0.5963,0.1721,0.1801,0.3521,0.3978,0.4037,0.8019,0.0081,0.0083,0.0171,0.0472,0.0444,0.0906,0.0165,0.0158,0.0327,0.0171,0.0162,0.0332,0.0326,0.039,0.0727,0.3002,0.3102,0.6091,0.0293,0.0241,0.0537,0.0301,0.0262,0.0566,0.0124,0.0123,0.0253,0.015,0.0193,0.0339,0.0053,0.0077,0.0139,0.4653,0.4677,0.9321,0.0315,0.027,0.0588,72600.0
Frankston,0.486,0.5139,1.0,0.0282,0.0279,0.0562,0.0586,0.0566,0.1145,0.0285,0.026,0.0537,0.0268,0.0274,0.0548,0.068,0.0707,0.1382,0.0649,0.0697,0.1347,0.066,0.0681,0.1331,0.0589,0.0624,0.1219,0.0469,0.0534,0.1012,0.029,0.0355,0.0639,0.0102,0.0181,0.0293,0.4706,0.4973,0.9687,0.0157,0.0164,0.0319,0.0055,0.0057,0.0117,0.0001,0.0001,0.0003,0.0001,0.0001,0.0005,0.0058,0.0063,0.0135,0.3513,0.3669,0.7176,0.103,0.1164,0.2196,0.4045,0.4213,0.8254,0.0495,0.0605,0.1098,0.4169,0.4395,0.8575,0.0081,0.0081,0.0168,0.054,0.0523,0.1056,0.022,0.0204,0.0413,0.0087,0.0115,0.0209,0.0121,0.0243,0.0373,0.1974,0.2334,0.4311,0.0582,0.0535,0.1112,0.0673,0.0623,0.1287,0.0283,0.0265,0.0542,0.0155,0.0187,0.0343,0.0011,0.001,0.0024,0.4452,0.4722,0.9167,0.039,0.0401,0.0795,68359.0
Geelong,0.4844,0.5153,1.0,0.029,0.0263,0.0555,0.0591,0.0549,0.1144,0.027,0.026,0.0525,0.0328,0.0321,0.0642,0.0744,0.0759,0.1502,0.0616,0.0673,0.1295,0.0617,0.0653,0.126,0.0566,0.0632,0.1205,0.0479,0.0541,0.1033,0.0256,0.0333,0.059,0.0085,0.0155,0.025,0.4657,0.4989,0.9638,0.0189,0.0186,0.0371,0.0055,0.0054,0.0119,0.0002,0.0002,0.0004,0.0001,0.0001,0.0003,0.0061,0.0056,0.0125,0.3874,0.4139,0.8004,0.0733,0.0791,0.1531,0.4136,0.444,0.8581,0.0465,0.0491,0.0955,0.4254,0.4585,0.8844,0.0083,0.0084,0.0182,0.0555,0.0522,0.1086,0.0214,0.0214,0.0423,0.0119,0.0145,0.0277,0.0179,0.0261,0.0437,0.2105,0.2486,0.46,0.0592,0.0564,0.1161,0.0573,0.0538,0.1109,0.0263,0.0266,0.0533,0.0165,0.0192,0.0372,0.0018,0.0015,0.0045,0.4496,0.4798,0.93,0.0329,0.0346,0.0673,71905.0
Gippsland East,0.4926,0.5073,1.0,0.0246,0.0218,0.0471,0.0562,0.0554,0.111,0.0261,0.024,0.0499,0.0209,0.019,0.0395,0.0452,0.0498,0.0954,0.0453,0.0503,0.0961,0.0538,0.0608,0.1148,0.0755,0.0813,0.1563,0.087,0.0828,0.1698,0.0459,0.0463,0.0916,0.0119,0.0157,0.028,0.4637,0.4814,0.9453,0.0293,0.0249,0.0548,0.014,0.0148,0.0297,0.0001,0.0001,0.0002,0.0,0.0,0.0002,0.0145,0.0152,0.0303,0.3984,0.4079,0.8052,0.0524,0.0571,0.1095,0.4382,0.4512,0.8885,0.0168,0.0194,0.0365,0.4389,0.45,0.8896,0.0071,0.0054,0.0138,0.0508,0.0495,0.0999,0.0163,0.0171,0.0334,0.0019,0.0041,0.0067,0.0059,0.0176,0.0232,0.1357,0.1824,0.3179,0.0694,0.0678,0.1378,0.0998,0.0827,0.1812,0.0427,0.0341,0.0776,0.024,0.0223,0.0465,0.0008,0.0006,0.0018,0.4416,0.4579,0.8995,0.0461,0.0439,0.09,63940.0
