district,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P,Tot_P_P_total
Pakenham,37291.0,39109.0,76386.0,3366.0,3238.0,6587.0,6010.0,5747.0,11774.0,2269.0,2100.0,4345.0,2319.0,2418.0,4652.0,6596.0,7254.0,13874.0,6105.0,6198.0,12289.0,4102.0,4283.0,8449.0,2822.0,3232.0,6013.0,2156.0,2681.0,4781.0,1232.0,1443.0,2724.0,282.0,477.0,834.0,36513.0,38255.0,74796.0,798.0,786.0,1614.0,296.0,350.0,696.0,10.0,0.0,19.0,7.0,3.0,6.0,321.0,359.0,723.0,24694.0,26055.0,50773.0,11001.0,11329.0,22288.0,26169.0,27602.0,53792.0,9426.0,9499.0,18955.0,30961.0,32397.0,63445.0,944.0,923.0,1917.0,5632.0,5336.0,11006.0,1738.0,1638.0,3364.0,693.0,888.0,1584.0,1176.0,2209.0,3390.0,14643.0,17425.0,32077.0,3726.0,3526.0,7316.0,4878.0,4316.0,9170.0,1954.0,1770.0,3741.0,1021.0,1162.0,2189.0,143.0,212.0,421.0,35697.0,37270.0,72964.0,1459.0,1573.0,3027.0,76386.0
Pascoe Vale,33309.0,35628.0,68976.0,1958.0,1948.0,3908.0,3703.0,3576.0,7314.0,1638.0,1604.0,3196.0,2246.0,2150.0,4406.0,6252.0,6669.0,12949.0,5651.0,5892.0,11490.0,4475.0,4805.0,9248.0,3371.0,3528.0,6835.0,2061.0,2475.0,4506.0,1283.0,1685.0,2991.0,721.0,1318.0,2063.0,32466.0,34625.0,67133.0,831.0,967.0,1851.0,154.0,193.0,380.0,0.0,4.0,4.0,3.0,0.0,3.0,165.0,205.0,413.0,22448.0,23709.0,46158.0,9679.0,10570.0,20262.0,21754.0,22788.0,44521.0,10362.0,11482.0,21917.0,28352.0,30543.0,58858.0,605.0,571.0,1224.0,3536.0,3421.0,7035.0,1337.0,1375.0,2774.0,1088.0,1145.0,2275.0,1697.0,2475.0,4208.0,18880.0,21101.0,39968.0,2451.0,2040.0,4482.0,2300.0,1957.0,4180.0,980.0,1017.0,2013.0,1381.0,2024.0,3456.0,368.0,554.0,931.0,31760.0,33590.0,65430.0,1369.0,1614.0,2922.0,68976.0
Point Cook,46055.0,46538.0,92635.0,3690.0,3534.0,7240.0,7994.0,7431.0,15524.0,2827.0,2451.0,5228.0,2387.0,2344.0,4794.0,6086.0,6803.0,12882.0,9282.0,9453.0,18788.0,6106.0,6023.0,12025.0,3815.0,4046.0,7898.0,2564.0,2866.0,5384.0,938.0,1175.0,2184.0,214.0,421.0,672.0,45311.0,45888.0,91154.0,750.0,646.0,1421.0,206.0,191.0,507.0,0.0,0.0,0.0,12.0,4.0,16.0,237.0,205.0,552.0,22707.0,22521.0,45342.0,21279.0,22180.0,43482.0,23152.0,22742.0,45854.0,20745.0,21725.0,42467.0,34297.0,34161.0,68434.0,1186.0,1093.0,2274.0,7457.0,7016.0,14528.0,2312.0,2070.0,4335.0,1053.0,1101.0,2172.0,1578.0,2534.0,4112.0,22636.0,24359.0,47018.0,3213.0,2957.0,6221.0,3728.0,3361.0,7071.0,1553.0,1424.0,2940.0,987.0,1295.0,2398.0,279.0,379.0,708.0,44039.0,44570.0,88606.0,1855.0,1841.0,3723.0,92635.0
Polwarth,35044.0,35311.0,70347.0,1971.0,1908.0,3883.0,4648.0,4214.0,8885.0,2001.0,1868.0,3908.0,1657.0,1381.0,3039.0,3640.0,3704.0,7302.0,4242.0,4524.0,8778.0,4575.0,4716.0,9261.0,4813.0,4969.0,9721.0,4583.0,4538.0,9140.0,2241.0,2424.0,4675.0,594.0,996.0,1712.0,32948.0,33422.0,66396.0,2099.0,1885.0,4029.0,267.0,293.0,653.0,5.0,6.0,12.0,0.0,0.0,0.0,273.0,307.0,678.0,29028.0,29316.0,58338.0,3662.0,3854.0,7546.0,31322.0,31733.0,63076.0,1541.0,1586.0,3203.0,31403.0,31732.0,63126.0,593.0,551.0,1147.0,4335.0,3920.0,8255.0,1566.0,1459.0,2981.0,391.0,507.0,978.0,678.0,1257.0,1942.0,13224.0,16219.0,29457.0,4678.0,4236.0,8903.0,4848.0,3819.0,8684.0,2061.0,1706.0,3729.0,1295.0,1122.0,2435.0,63.0,59.0,189.0,31671.0,32230.0,63989.0,2972.0,3059.0,5976.0,70347.0
Prahran,35298.0,37237.0,72496.0,1116.0,1228.0,2292.0,1500.0,1537.0,3021.0,855.0,889.0,1773.0,2465.0,3282.0,5716.0,11301.0,12254.0,23557.0,6776.0,6208.0,12955.0,3859.0,3748.0,7637.0,3139.0,3137.0,6265.0,2253.0,2674.0,4940.0,1408.0,1618.0,3049.0,491.0,748.0,1290.0,33676.0,35560.0,69239.0,1531.0,1737.0,3295.0,118.0,87.0,302.0,0.0,0.0,3.0,4.0,3.0,7.0,137.0,99.0,338.0,19691.0,20207.0,39907.0,13222.0,14774.0,27994.0,24471.0,24765.0,49157.0,8415.0,10068.0,18509.0,25682.0,26454.0,52161.0,258.0,272.0,605.0,1394.0,1395.0,2798.0,649.0,748.0,1484.0,1205.0,1605.0,2755.0,2406.0,3238.0,5727.0,25988.0,27911.0,53837.0,1714.0,1657.0,3305.0,1434.0,1355.0,2762.0,439.0,376.0,915.0,401.0,519.0,933.0,97.0,143.0,282.0,31682.0,33543.0,65230.0,3649.0,3464.0,7106.0,72496.0
Preston,36467.0,37515.0,73965.0,2246.0,2050.0,4304.0,3670.0,3398.0,7054.0,1554.0,1510.0,3080.0,2450.0,2186.0,4580.0,6997.0,6944.0,13935.0,5881.0,5980.0,11851.0,4793.0,4757.0,9557.0,3646.0,3871.0,7515.0,2613.0,3016.0,5630.0,1819.0,2342.0,4110.0,884.0,1368.0,2292.0,35568.0,36551.0,72141.0,877.0,942.0,1814.0,385.0,416.0,822.0,4.0,4.0,7.0,11.0,0.0,21.0,386.0,423.0,865.0,21844.0,22299.0,44180.0,12626.0,13359.0,26006.0,20262.0,20655.0,40893.0,14214.0,15017.0,29229.0,29237.0,30614.0,59840.0,662.0,550.0,1242.0,3409.0,3240.0,6668.0,1290.0,1280.0,2522.0,1103.0,1128.0,2220.0,1978.0,2335.0,4373.0,19074.0,20175.0,39179.0,2616.0,2312.0,4962.0,2856.0,2499.0,5418.0,1345.0,1355.0,2660.0,2074.0,2836.0,4970.0,590.0,838.0,1398.0,34402.0,35424.0,69929.0,1849.0,1793.0,3626.0,73965.0
Richmond,33346.0,34159.0,67515.0,1373.0,1361.0,2748.0,1975.0,2088.0,4144.0,819.0,941.0,1789.0,2234.0,2612.0,4776.0,10493.0,10932.0,21388.0,6274.0,5586.0,11848.0,3892.0,3723.0,7590.0,3155.0,2958.0,6109.0,2005.0,2186.0,4252.0,945.0,1176.0,2071.0,279.0,464.0,779.0,31756.0,32609.0,64337.0,1635.0,1633.0,3195.0,139.0,131.0,358.0,0.0,0.0,4.0,0.0,0.0,0.0,149.0,145.0,375.0,21792.0,21511.0,43255.0,9638.0,10871.0,20513.0,24791.0,24341.0,49139.0,6603.0,8091.0,14663.0,27096.0,27691.0,54859.0,346.0,361.0,750.0,1800.0,1927.0,3757.0,647.0,837.0,1451.0,1009.0,1276.0,2286.0,2201.0,2870.0,5137.0,23775.0,24258.0,48049.0,1570.0,1347.0,2960.0,1353.0,1186.0,2625.0,485.0,567.0,1078.0,531.0,950.0,1546.0,211.0,447.0,684.0,30313.0,31360.0,61691.0,2760.0,2606.0,5414.0,67515.0
Ringwood,38985.0,41221.0,80223.0,2468.0,2320.0,4726.0,4880.0,4768.0,9696.0,2345.0,1997.0,4324.0,2331.0,2170.0,4510.0,5441.0,5547.0,11079.0,6088.0,6437.0,12649.0,5320.0,5562.0,10832.0,4062.0,4462.0,8612.0,3155.0,3710.0,6924.0,1958.0,2647.0,4664.0,836.0,1319.0,2253.0,37923.0,40114.0,78017.0,1032.0,1041.0,2147.0,121.0,142.0,332.0,0.0,0.0,0.0,0.0,6.0,3.0,134.0,152.0,360.0,25505.0,26255.0,51733.0,12242.0,13656.0,25888.0,26344.0,27234.0,53655.0,11092.0,12462.0,23650.0,32182.0,33791.0,65974.0,880.0,746.0,1600.0,4742.0,4620.0,9334.0,2020.0,1802.0,3822.0,1115.0,1098.0,2252.0,1448.0,2174.0,3617.0,21093.0,23120.0,44254.0,3364.0,3190.0,6556.0,3114.0,3072.0,6180.0,1325.0,1435.0,2748.0,972.0,1423.0,2408.0,296.0,409.0,827.0,37117.0,39133.0,76221.0,1562.0,1795.0,3382.0,80223.0
Ripon,35048.0,34048.0,69056.0,1769.0,1728.0,3500.0,4313.0,4064.0,8347.0,1904.0,1827.0,3821.0,1607.0,1446.0,3096.0,3542.0,3488.0,7013.0,3756.0,3677.0,7480.0,4636.0,4564.0,9210.0,5159.0,5064.0,10267.0,5040.0,4658.0,9694.0,2569.0,2436.0,5013.0,676.0,998.0,1712.0,33565.0,32740.0,66335.0,1470.0,1212.0,2710.0,570.0,590.0,1209.0,10.0,14.0,24.0,3.0,6.0,18.0,635.0,613.0,1274.0,29150.0,28345.0,57403.0,3463.0,3301.0,6757.0,30415.0,30478.0,60873.0,1345.0,1418.0,2862.0,30613.0,30656.0,61378.0,502.0,484.0,1054.0,3976.0,3646.0,7671.0,1293.0,1386.0,2670.0,248.0,389.0,697.0,454.0,1133.0,1602.0,9760.0,12602.0,22258.0,4723.0,4431.0,9130.0,7071.0,5020.0,11973.0,2911.0,2321.0,5323.0,1948.0,1554.0,3490.0,94.0,52.0,208.0,31204.0,31337.0,62519.0,3330.0,2421.0,5793.0,69056.0
Rowville,34938.0,36291.0,71136.0,1678.0,1589.0,3342.0,4400.0,4023.0,8458.0,2387.0,2277.0,4714.0,2594.0,2190.0,4871.0,3985.0,3973.0,7979.0,4416.0,4789.0,9166.0,4766.0,5398.0,10188.0,4933.0,5309.0,10292.0,3436.0,3584.0,7036.0,1670.0,2096.0,3774.0,502.0,894.0,1445.0,34180.0,35565.0,69725.0,744.0,698.0,1391.0,101.0,130.0,275.0,4.0,0.0,10.0,0.0,0.0,0.0,109.0,140.0,300.0,21485.0,21494.0,42830.0,12605.0,14021.0,26714.0,22389.0,22564.0,44928.0,11718.0,12737.0,24377.0,30306.0,30857.0,61126.0,521.0,499.0,1130.0,4249.0,3890.0,8203.0,2089.0,2032.0,4132.0,1222.0,1154.0,2319.0,944.0,1416.0,2357.0,18264.0,19855.0,38057.0,3567.0,3376.0,6931.0,3590.0,3522.0,7088.0,1373.0,1406.0,2843.0,846.0,1127.0,1968.0,106.0,233.0,470.0,33782.0,35161.0,68871.0,811.0,989.0,1843.0,71136.0
Sandringham,30018.0,33063.0,63048.0,1439.0,1448.0,2873.0,3810.0,3912.0,7766.0,1997.0,1947.0,3971.0,1650.0,1531.0,3170.0,2789.0,3148.0,5956.0,3682.0,4241.0,7865.0,4734.0,5241.0,10005.0,4042.0,4441.0,8519.0,3126.0,3679.0,6834.0,1900.0,2240.0,4156.0,714.0,1235.0,1904.0,29000.0,31943.0,60979.0,1040.0,1072.0,2086.0,63.0,67.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,66.0,161.0,21191.0,23102.0,44304.0,7826.0,9020.0,16801.0,24909.0,26901.0,51904.0,4091.0,5097.0,9169.0,26409.0,29153.0,55579.0,557.0,538.0,1043.0,3644.0,3697.0,7393.0,1831.0,1774.0,3617.0,916.0,921.0,1814.0,749.0,1349.0,2111.0,17650.0,19601.0,37268.0,2428.0,2739.0,5223.0,2181.0,2421.0,4647.0,861.0,906.0,1773.0,553.0,714.0,1299.0,56.0,77.0,149.0,28521.0,31312.0,59818.0,1048.0,1264.0,2285.0,63048.0
Shepparton,36904.0,37657.0,74490.0,2325.0,2111.0,4425.0,5147.0,4798.0,9879.0,2424.0,2123.0,4512.0,2119.0,2003.0,4134.0,4573.0,4947.0,9514.0,4237.0,4506.0,8782.0,4548.0,4526.0,9186.0,4544.0,4807.0,9390.0,3943.0,4095.0,8047.0,2297.0,2518.0,4818.0,742.0,1150.0,1907.0,35473.0,36270.0,71770.0,1493.0,1314.0,2816.0,1281.0,1364.0,2685.0,11.0,22.0,32.0,35.0,36.0,48.0,1387.0,1440.0,2832.0,27861.0,28577.0,56424.0,6084.0,6184.0,12299.0,27969.0,28778.0,56753.0,6056.0,6098.0,12157.0,30892.0,31733.0,62615.0,592.0,518.0,1119.0,4658.0,4295.0,8938.0,1640.0,1662.0,3256.0,418.0,602.0,1064.0,709.0,1462.0,2251.0,10879.0,13682.0,24595.0,4661.0,4374.0,9056.0,5769.0,5155.0,10926.0,2794.0,2397.0,5211.0,2112.0,1888.0,3987.0,460.0,418.0,911.0,33656.0,34317.0,67881.0,3202.0,3098.0,6390.0,74490.0
South Barwon,35334.0,37362.0,72790.0,2488.0,2327.0,4899.0,4727.0,4482.0,9270.0,2222.0,2152.0,4394.0,2913.0,2839.0,5753.0,5796.0,5831.0,11560.0,4776.0,5168.0,10034.0,3887.0,4276.0,8140.0,3303.0,3809.0,7039.0,2782.0,3324.0,6139.0,1761.0,2060.0,3807.0,662.0,1108.0,1785.0,34083.0,36250.0,70330.0,1298.0,1170.0,2441.0,285.0,354.0,652.0,2.0,7.0,12.0,0.0,3.0,3.0,315.0,359.0,686.0,27561.0,29777.0,57350.0,6600.0,6503.0,13029.0,29558.0,31912.0,61447.0,4512.0,4251.0,8786.0,30889.0,33385.0,64230.0,761.0,678.0,1520.0,4559.0,4328.0,8891.0,1689.0,1835.0,3546.0,1407.0,1507.0,2888.0,1391.0,2026.0,3385.0,16777.0,19308.0,36027.0,3948.0,3778.0,7699.0,3717.0,3622.0,7389.0,1493.0,1497.0,2972.0,787.0,947.0,1750.0,74.0,52.0,172.0,32888.0,34857.0,67709.0,1921.0,2253.0,4195.0,72790.0
South-West Coast,34133.0,35726.0,69928.0,1830.0,1679.0,3541.0,4465.0,4153.0,8650.0,2082.0,1991.0,4124.0,1710.0,1615.0,3333.0,3892.0,3993.0,7850.0,3831.0,4110.0,7887.0,4308.0,4686.0,9020.0,4781.0,5164.0,9897.0,4452.0,4518.0,8871.0,2132.0,2470.0,4608.0,670.0,1226.0,1978.0,32542.0,34209.0,66781.0,1603.0,1524.0,3122.0,666.0,666.0,1415.0,4.0,0.0,4.0,8.0,4.0,16.0,727.0,686.0,1488.0,28901.0,30348.0,59204.0,2980.0,3210.0,6203.0,30683.0,32211.0,62877.0,1322.0,1481.0,2753.0,30628.0,32287.0,62900.0,453.0,471.0,957.0,4141.0,3854.0,7930.0,1464.0,1490.0,2995.0,368.0,453.0,792.0,713.0,1351.0,2067.0,10586.0,14064.0,24633.0,5018.0,5100.0,10012.0,5646.0,4813.0,10467.0,2717.0,2163.0,4824.0,1696.0,1481.0,3235.0,71.0,42.0,164.0,31261.0,32813.0,64029.0,2669.0,2672.0,5319.0,69928.0
St Albans,37083.0,37157.0,74213.0,2172.0,2003.0,4044.0,4274.0,4000.0,8347.0,2184.0,2052.0,4189.0,2785.0,2570.0,5369.0,6223.0,5794.0,12030.0,4758.0,4898.0,9677.0,4400.0,4708.0,9040.0,4364.0,4390.0,8718.0,3490.0,3733.0,7207.0,1883.0,2022.0,3907.0,602.0,984.0,1597.0,36373.0,36434.0,72833.0,715.0,682.0,1390.0,81.0,105.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,109.0,279.0,14969.0,14237.0,29232.0,19258.0,20379.0,39647.0,10618.0,9701.0,20318.0,23509.0,24726.0,48199.0,27486.0,28149.0,55602.0,433.0,436.0,962.0,3852.0,3594.0,7508.0,1730.0,1791.0,3483.0,1246.0,1283.0,2520.0,1443.0,1917.0,3386.0,16823.0,16757.0,33457.0,2574.0,2259.0,4811.0,3332.0,3012.0,6288.0,1569.0,1649.0,3218.0,2381.0,3443.0,5854.0,1152.0,1594.0,2796.0,34447.0,34588.0,69036.0,2674.0,2573.0,5231.0,74213.0
Sunbury,31165.0,32093.0,63255.0,2018.0,1916.0,3900.0,3885.0,3726.0,7644.0,1879.0,1636.0,3526.0,1927.0,1727.0,3650.0,4791.0,4793.0,9568.0,4257.0,4433.0,8681.0,3932.0,4148.0,8142.0,3639.0,3968.0,7644.0,2886.0,3316.0,6227.0,1503.0,1635.0,3125.0,366.0,604.0,1033.0,30365.0,31402.0,61749.0,798.0,731.0,1547.0,320.0,251.0,655.0,5.0,7.0,18.0,7.0,4.0,18.0,352.0,295.0,663.0,23163.0,23598.0,46725.0,6612.0,7173.0,13733.0,24553.0,25007.0,49623.0,5133.0,5738.0,10874.0,27593.0,28437.0,56015.0,524.0,565.0,1134.0,3712.0,3458.0,7181.0,1371.0,1366.0,2724.0,634.0,654.0,1293.0,796.0,1389.0,2162.0,12650.0,14827.0,27519.0,3782.0,3508.0,7319.0,4484.0,3766.0,8279.0,1739.0,1444.0,3207.0,1113.0,1248.0,2393.0,163.0,187.0,465.0,29551.0,30668.0,60207.0,1528.0,1422.0,2927.0,63255.0
Sydenham,38358.0,39058.0,77382.0,2370.0,2269.0,4577.0,5666.0,5406.0,11113.0,2912.0,2804.0,5800.0,2815.0,2550.0,5422.0,5197.0,5214.0,10386.0,5513.0,5929.0,11437.0,5522.0,6014.0,11558.0,4334.0,4514.0,8868.0,2547.0,2618.0,5312.0,1098.0,1176.0,2247.0,231.0,462.0,708.0,37747.0,38504.0,76269.0,517.0,517.0,1084.0,99.0,175.0,285.0,0.0,0.0,6.0,3.0,0.0,3.0,110.0,175.0,300.0,23024.0,22840.0,45914.0,13936.0,14841.0,28872.0,20119.0,19639.0,39753.0,16757.0,17866.0,34593.0,33421.0,33862.0,67340.0,655.0,631.0,1315.0,5392.0,5147.0,10499.0,2429.0,2456.0,4847.0,1251.0,1287.0,2524.0,962.0,1584.0,2526.0,18153.0,20126.0,38293.0,3432.0,2994.0,6470.0,3915.0,3169.0,7112.0,1622.0,1321.0,2932.0,1485.0,1915.0,3337.0,426.0,611.0,991.0,36983.0,37591.0,74583.0,1210.0,1290.0,2534.0,77382.0
Tarneit,47188.0,46016.0,93203.0,4217.0,3951.0,8128.0,7699.0,7342.0,15128.0,2813.0,2482.0,5257.0,3433.0,2812.0,6169.0,8057.0,8532.0,16560.0,8875.0,8256.0,17140.0,4960.0,4674.0,9525.0,3670.0,3925.0,7603.0,2403.0,2606.0,5002.0,982.0,1028.0,2025.0,134.0,258.0,504.0,46444.0,45358.0,91862.0,673.0,660.0,1382.0,233.0,286.0,508.0,4.0,10.0,10.0,0.0,0.0,7.0,239.0,297.0,534.0,21054.0,20950.0,41959.0,23436.0,22637.0,46160.0,18976.0,18521.0,37516.0,25218.0,24679.0,49936.0,33513.0,32630.0,66233.0,1102.0,985.0,2072.0,7062.0,6718.0,13769.0,2200.0,2074.0,4275.0,1624.0,1366.0,2938.0,2098.0,2985.0,4971.0,22498.0,22367.0,44884.0,3024.0,2942.0,5927.0,4109.0,3644.0,7742.0,1584.0,1500.0,3167.0,1179.0,1432.0,2643.0,365.0,549.0,1027.0,44733.0,43783.0,88467.0,2294.0,2085.0,4376.0,93203.0
Thomastown,39053.0,38864.0,77902.0,3135.0,2871.0,5986.0,5519.0,5042.0,10521.0,1972.0,1880.0,3874.0,2581.0,2258.0,4922.0,6552.0,6756.0,13269.0,6710.0,6347.0,13056.0,4238.0,4013.0,8339.0,3333.0,3575.0,6780.0,2716.0,3204.0,5995.0,1723.0,1995.0,3743.0,597.0,790.0,1383.0,38439.0,38244.0,76642.0,587.0,575.0,1209.0,196.0,222.0,494.0,9.0,0.0,10.0,5.0,9.0,12.0,232.0,234.0,554.0,18409.0,17735.0,36162.0,18727.0,19271.0,38034.0,12596.0,12100.0,24750.0,24316.0,24728.0,49078.0,30303.0,30431.0,60687.0,800.0,716.0,1606.0,5128.0,4675.0,9743.0,1593.0,1605.0,3222.0,1212.0,1077.0,2220.0,1574.0,2101.0,3681.0,17887.0,18147.0,35951.0,2466.0,2232.0,4632.0,3349.0,2786.0,6219.0,1557.0,1499.0,3096.0,2484.0,3225.0,5727.0,802.0,1288.0,2147.0,37350.0,37175.0,74568.0,1849.0,1731.0,3595.0,77902.0
Warrandyte,35988.0,37809.0,73809.0,1594.0,1681.0,3335.0,5187.0,4696.0,9840.0,2682.0,2336.0,5070.0,2411.0,2074.0,4457.0,3251.0,3388.0,6598.0,4356.0,5021.0,9341.0,5202.0,5677.0,10833.0,4642.0,5053.0,9731.0,3536.0,4099.0,7627.0,2295.0,2699.0,4984.0,747.0,1047.0,1901.0,34999.0,36795.0,71744.0,950.0,998.0,1977.0,92.0,81.0,215.0,0.0,4.0,7.0,0.0,0.0,0.0,102.0,90.0,234.0,23556.0,24014.0,47517.0,11437.0,12806.0,24210.0,24417.0,24727.0,49208.0,10542.0,11978.0,22513.0,30990.0,32186.0,63071.0,563.0,554.0,1178.0,5032.0,4608.0,9559.0,2395.0,2130.0,4514.0,1204.0,1154.0,2441.0,955.0,1465.0,2463.0,19195.0,21131.0,40369.0,3315.0,3214.0,6582.0,3096.0,3030.0,6104.0,1370.0,1317.0,2707.0,983.0,1322.0,2298.0,141.0,245.0,459.0,34492.0,36069.0,70492.0,945.0,1286.0,2350.0,73809.0
Wendouree,32599.0,35798.0,68381.0,1936.0,1929.0,3901.0,4436.0,4091.0,8506.0,2164.0,2050.0,4265.0,2106.0,2258.0,4398.0,4636.0,4756.0,9426.0,3757.0,4376.0,8136.0,3907.0,4268.0,8232.0,3742.0,4290.0,8059.0,3290.0,3956.0,7228.0,1976.0,2464.0,4395.0,632.0,1230.0,1930.0,31276.0,34552.0,65844.0,1288.0,1248.0,2509.0,574.0,593.0,1217.0,19.0,10.0,17.0,8.0,3.0,10.0,632.0,623.0,1306.0,27038.0,29712.0,56848.0,3699.0,4195.0,7933.0,28377.0,31432.0,59816.0,2456.0,2564.0,5026.0,29320.0,32261.0,61622.0,530.0,555.0,1129.0,4018.0,3855.0,7908.0,1571.0,1591.0,3165.0,592.0,954.0,1507.0,931.0,1722.0,2652.0,12414.0,15136.0,27537.0,3791.0,4222.0,8052.0,4636.0,4665.0,9375.0,2095.0,2124.0,4275.0,1366.0,1598.0,2923.0,71.0,82.0,219.0,30173.0,33153.0,63256.0,2374.0,2530.0,4947.0,68381.0
Werribee,41606.0,42682.0,84210.0,3662.0,3382.0,7029.0,6327.0,6059.0,12411.0,2445.0,2245.0,4716.0,2702.0,2627.0,5424.0,6911.0,7972.0,14952.0,7328.0,6926.0,14208.0,4520.0,4698.0,9268.0,3717.0,4002.0,7664.0,2546.0,2653.0,5114.0,1110.0,1340.0,2474.0,333.0,620.0,1002.0,40792.0,41868.0,82695.0,837.0,751.0,1562.0,545.0,642.0,1271.0,0.0,4.0,4.0,0.0,3.0,13.0,556.0,651.0,1302.0,23524.0,23942.0,47494.0,15792.0,16382.0,32167.0,23890.0,24377.0,48275.0,15112.0,15695.0,30783.0,31939.0,32409.0,64347.0,955.0,821.0,1786.0,5799.0,5573.0,11370.0,1875.0,1800.0,3668.0,885.0,1057.0,1974.0,1383.0,2448.0,3778.0,17163.0,19226.0,36338.0,3748.0,3515.0,7233.0,4831.0,4254.0,9112.0,1954.0,1837.0,3803.0,1283.0,1520.0,2908.0,547.0,700.0,1228.0,39176.0,40131.0,79371.0,2382.0,2510.0,4994.0,84210.0
Williamstown,32238.0,33819.0,66086.0,2274.0,1994.0,4255.0,4255.0,4179.0,8449.0,1650.0,1584.0,3230.0,1556.0,1452.0,3047.0,4074.0,4413.0,8484.0,5155.0,5444.0,10616.0,4695.0,4964.0,9680.0,3808.0,3883.0,7656.0,2649.0,2952.0,5579.0,1549.0,1919.0,3407.0,591.0,1079.0,1663.0,31274.0,32905.0,64222.0,896.0,935.0,1934.0,168.0,127.0,342.0,4.0,9.0,6.0,0.0,0.0,0.0,192.0,154.0,394.0,22465.0,23093.0,45519.0,8389.0,9397.0,17788.0,23807.0,24180.0,48012.0,6987.0,8270.0,15275.0,27967.0,29440.0,57401.0,675.0,670.0,1353.0,4017.0,3984.0,8027.0,1372.0,1377.0,2780.0,739.0,708.0,1490.0,997.0,1647.0,2625.0,16255.0,18384.0,34592.0,2702.0,2294.0,5057.0,2827.0,2323.0,5174.0,1152.0,1167.0,2306.0,1162.0,1632.0,2771.0,262.0,465.0,758.0,30384.0,31960.0,62362.0,1508.0,1469.0,2995.0,66086.0
