district,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp,Tot_P_Tot_resp_total
Pascoe Vale,858.0,2422.0,1785.0,10282.0,37.0,15385.0,9.0,20.0,6.0,315.0,0.0,350.0,2225.0,69.0,130.0,96.0,0.0,2520.0,313.0,19.0,35.0,123.0,3.0,493.0,253.0,134.0,49.0,278.0,0.0,714.0,3221.0,1987.0,1361.0,9844.0,60.0,16474.0,563.0,12.0,65.0,22.0,0.0,662.0,149.0,35.0,9.0,68.0,4.0,265.0,525.0,180.0,93.0,1134.0,8.0,1940.0,3082.0,421.0,170.0,1372.0,3.0,5048.0,77.0,16.0,8.0,40.0,0.0,141.0,1582.0,60.0,29.0,14.0,0.0,1685.0,1026.0,689.0,473.0,5305.0,3.0,7496.0,6584.0,1267.0,545.0,3631.0,48.0,12075.0,104.0,0.0,4.0,0.0,0.0,108.0,1762.0,236.0,147.0,278.0,5.0,2428.0,150.0,22.0,22.0,80.0,0.0,274.0,491.0,147.0,49.0,351.0,3.0,1041.0,130.0,15.0,12.0,0.0,0.0,157.0,227.0,61.0,50.0,10.0,0.0,348.0,309.0,34.0,11.0,152.0,5.0,511.0,81.0,9.0,11.0,42.0,0.0,143.0,13.0,8.0,0.0,0.0,0.0,21.0,931.0,463.0,373.0,3536.0,3.0,5306.0,99.0,5.0,6.0,30.0,0.0,140.0,63.0,18.0,13.0,0.0,0.0,94.0,230.0,16.0,15.0,26.0,10.0,297.0,184.0,28.0,24.0,16.0,0.0,252.0,642.0,18.0,36.0,14.0,0.0,710.0,52.0,11.0,4.0,107.0,0.0,174.0,8668.0,1109.0,784.0,1190.0,23.0,11774.0,464.0,28.0,24.0,188.0,2389.0,3092.0,30913.0,5964.0,3975.0,25259.0,2775.0,68886.0,68886.0
Point Cook,1582.0,2162.0,1686.0,9682.0,67.0,15179.0,9.0,36.0,19.0,410.0,8.0,482.0,10355.0,69.0,135.0,111.0,32.0,10702.0,611.0,74.0,39.0,178.0,0.0,903.0,365.0,71.0,30.0,211.0,0.0,677.0,5751.0,1561.0,1232.0,8119.0,100.0,16763.0,2488.0,47.0,161.0,32.0,0.0,2728.0,192.0,12.0,19.0,41.0,0.0,264.0,672.0,110.0,63.0,772.0,11.0,1628.0,1151.0,210.0,82.0,597.0,0.0,2040.0,122.0,7.0,7.0,42.0,0.0,178.0,12535.0,60.0,40.0,15.0,13.0,12663.0,1199.0,371.0,212.0,2727.0,11.0,4520.0,1967.0,518.0,253.0,1648.0,18.0,4404.0,647.0,6.0,7.0,0.0,0.0,660.0,498.0,192.0,55.0,116.0,6.0,867.0,903.0,95.0,75.0,222.0,0.0,1296.0,1630.0,254.0,168.0,895.0,11.0,2958.0,988.0,46.0,29.0,31.0,6.0,1100.0,495.0,95.0,36.0,21.0,0.0,647.0,449.0,33.0,35.0,121.0,0.0,638.0,300.0,8.0,13.0,8.0,0.0,329.0,788.0,33.0,6.0,12.0,9.0,848.0,1194.0,295.0,227.0,2274.0,0.0,3991.0,618.0,77.0,30.0,79.0,0.0,804.0,567.0,20.0,21.0,4.0,0.0,612.0,372.0,7.0,22.0,30.0,0.0,431.0,454.0,22.0,3.0,6.0,0.0,485.0,1417.0,38.0,58.0,20.0,4.0,1537.0,136.0,19.0,7.0,33.0,0.0,195.0,16611.0,826.0,722.0,669.0,65.0,18894.0,1010.0,29.0,26.0,161.0,3616.0,4843.0,59706.0,4848.0,3705.0,20234.0,4157.0,92651.0,92651.0
Polwarth,204.0,2314.0,1845.0,23384.0,268.0,28014.0,0.0,13.0,3.0,617.0,4.0,637.0,451.0,23.0,16.0,134.0,3.0,627.0,62.0,16.0,4.0,61.0,0.0,143.0,653.0,179.0,90.0,500.0,0.0,1421.0,3444.0,2175.0,1558.0,22011.0,296.0,29485.0,219.0,3.0,41.0,13.0,14.0,290.0,113.0,42.0,19.0,123.0,0.0,297.0,596.0,149.0,133.0,1811.0,0.0,2689.0,137.0,44.0,15.0,106.0,0.0,302.0,69.0,12.0,10.0,31.0,0.0,122.0,155.0,14.0,14.0,14.0,0.0,197.0,932.0,587.0,408.0,8861.0,41.0,10829.0,593.0,180.0,71.0,1197.0,8.0,2049.0,26.0,0.0,6.0,0.0,0.0,32.0,12.0,3.0,0.0,49.0,0.0,64.0,23.0,3.0,0.0,19.0,0.0,45.0,178.0,16.0,19.0,132.0,0.0,345.0,82.0,9.0,27.0,3.0,0.0,121.0,157.0,82.0,57.0,17.0,3.0,316.0,151.0,33.0,12.0,126.0,0.0,322.0,35.0,4.0,8.0,24.0,0.0,71.0,27.0,12.0,0.0,0.0,0.0,39.0,1008.0,559.0,449.0,7229.0,26.0,9270.0,11.0,7.0,0.0,8.0,0.0,26.0,99.0,18.0,21.0,6.0,0.0,144.0,48.0,8.0,4.0,39.0,0.0,99.0,14.0,4.0,5.0,7.0,0.0,30.0,28.0,0.0,3.0,0.0,0.0,31.0,105.0,27.0,17.0,179.0,0.0,328.0,1856.0,411.0,394.0,804.0,7.0,3472.0,50.0,23.0,15.0,548.0,3798.0,4434.0,9818.0,4361.0,3246.0,48422.0,4517.0,70364.0,70364.0
Prahran,585.0,2397.0,1946.0,9743.0,59.0,14731.0,4.0,15.0,0.0,238.0,0.0,257.0,6054.0,65.0,140.0,122.0,10.0,6390.0,196.0,24.0,17.0,52.0,10.0,298.0,467.0,135.0,58.0,311.0,0.0,971.0,5922.0,2170.0,1775.0,12015.0,61.0,21943.0,746.0,3.0,50.0,3.0,0.0,802.0,625.0,44.0,12.0,127.0,0.0,808.0,937.0,208.0,165.0,1505.0,0.0,2815.0,1641.0,256.0,99.0,579.0,7.0,2581.0,138.0,9.0,0.0,61.0,0.0,208.0,2117.0,17.0,32.0,42.0,0.0,2207.0,2556.0,643.0,413.0,5503.0,9.0,9125.0,1608.0,449.0,217.0,1384.0,0.0,3658.0,325.0,0.0,18.0,4.0,0.0,347.0,75.0,17.0,8.0,37.0,0.0,137.0,99.0,10.0,0.0,15.0,0.0,124.0,75.0,14.0,4.0,114.0,0.0,207.0,183.0,3.0,0.0,0.0,0.0,186.0,474.0,73.0,39.0,17.0,0.0,603.0,794.0,122.0,59.0,271.0,0.0,1245.0,607.0,8.0,14.0,41.0,0.0,670.0,19.0,0.0,0.0,0.0,0.0,19.0,1720.0,611.0,404.0,4291.0,5.0,7030.0,219.0,19.0,10.0,17.0,0.0,264.0,254.0,20.0,9.0,0.0,0.0,283.0,611.0,4.0,11.0,19.0,0.0,644.0,299.0,8.0,13.0,23.0,0.0,342.0,598.0,3.0,7.0,11.0,0.0,619.0,145.0,16.0,5.0,149.0,0.0,314.0,9479.0,840.0,707.0,1118.0,39.0,12184.0,337.0,4.0,0.0,159.0,4591.0,5091.0,33599.0,5038.0,4085.0,24815.0,4965.0,72501.0,72501.0
Preston,1055.0,2062.0,1389.0,9317.0,133.0,13956.0,6.0,10.0,19.0,701.0,16.0,752.0,4569.0,40.0,93.0,112.0,10.0,4824.0,394.0,27.0,4.0,105.0,0.0,529.0,200.0,107.0,46.0,208.0,0.0,561.0,3066.0,1681.0,1140.0,8686.0,137.0,14709.0,831.0,12.0,64.0,0.0,0.0,907.0,164.0,25.0,20.0,83.0,0.0,292.0,415.0,153.0,87.0,959.0,0.0,1613.0,3622.0,525.0,254.0,1478.0,22.0,5901.0,69.0,11.0,0.0,25.0,0.0,105.0,2491.0,19.0,30.0,4.0,0.0,2544.0,880.0,537.0,330.0,4386.0,3.0,6135.0,7296.0,1071.0,508.0,3521.0,109.0,12505.0,101.0,0.0,9.0,0.0,0.0,110.0,1322.0,165.0,70.0,232.0,3.0,1792.0,1509.0,141.0,57.0,278.0,0.0,1985.0,386.0,46.0,38.0,235.0,0.0,706.0,186.0,14.0,14.0,6.0,0.0,220.0,213.0,86.0,46.0,23.0,6.0,375.0,167.0,27.0,7.0,88.0,0.0,289.0,81.0,10.0,4.0,25.0,0.0,120.0,92.0,25.0,10.0,5.0,0.0,132.0,796.0,409.0,269.0,2937.0,3.0,4414.0,239.0,12.0,14.0,29.0,0.0,294.0,48.0,12.0,7.0,0.0,0.0,67.0,288.0,15.0,16.0,17.0,0.0,336.0,232.0,9.0,16.0,14.0,0.0,271.0,1894.0,25.0,49.0,37.0,3.0,2008.0,57.0,30.0,9.0,105.0,0.0,201.0,9395.0,834.0,689.0,940.0,62.0,11920.0,664.0,12.0,29.0,131.0,3334.0,4170.0,38061.0,5234.0,3463.0,23138.0,3995.0,73891.0,73891.0
Richmond,637.0,2496.0,1987.0,11100.0,69.0,16289.0,0.0,9.0,3.0,304.0,0.0,316.0,3986.0,128.0,195.0,174.0,3.0,4486.0,210.0,31.0,13.0,65.0,0.0,320.0,410.0,176.0,48.0,387.0,0.0,1021.0,5050.0,2396.0,1896.0,12742.0,80.0,22164.0,466.0,4.0,70.0,11.0,0.0,551.0,417.0,28.0,23.0,114.0,0.0,583.0,769.0,252.0,148.0,1499.0,0.0,2668.0,1627.0,191.0,103.0,612.0,9.0,2542.0,98.0,8.0,13.0,45.0,0.0,164.0,889.0,58.0,19.0,19.0,3.0,988.0,1998.0,825.0,517.0,6906.0,4.0,10251.0,1275.0,474.0,244.0,1542.0,8.0,3543.0,155.0,0.0,3.0,0.0,0.0,158.0,85.0,3.0,0.0,39.0,0.0,127.0,146.0,12.0,9.0,8.0,0.0,175.0,75.0,43.0,13.0,105.0,0.0,237.0,188.0,13.0,13.0,9.0,0.0,223.0,484.0,54.0,59.0,14.0,0.0,611.0,360.0,61.0,38.0,250.0,0.0,710.0,147.0,9.0,8.0,35.0,0.0,199.0,21.0,8.0,0.0,0.0,0.0,29.0,1603.0,648.0,494.0,4808.0,0.0,7554.0,171.0,14.0,0.0,24.0,3.0,212.0,169.0,10.0,3.0,0.0,0.0,182.0,334.0,24.0,0.0,15.0,0.0,373.0,192.0,10.0,20.0,26.0,0.0,248.0,2691.0,13.0,34.0,21.0,38.0,2798.0,130.0,13.0,15.0,201.0,0.0,358.0,6840.0,755.0,732.0,1091.0,82.0,9500.0,375.0,11.0,13.0,140.0,3583.0,4122.0,26493.0,5319.0,4282.0,27524.0,3987.0,67605.0,67605.0
Ringwood,687.0,2982.0,2270.0,16106.0,72.0,22116.0,8.0,13.0,3.0,296.0,0.0,320.0,11674.0,164.0,282.0,239.0,26.0,12387.0,202.0,28.0,3.0,43.0,0.0,275.0,621.0,233.0,108.0,569.0,0.0,1531.0,4379.0,2640.0,1741.0,15533.0,103.0,24395.0,637.0,12.0,48.0,22.0,0.0,719.0,130.0,20.0,10.0,92.0,0.0,252.0,671.0,305.0,138.0,1596.0,8.0,2718.0,697.0,135.0,27.0,548.0,0.0,1407.0,130.0,27.0,6.0,42.0,4.0,209.0,3023.0,78.0,54.0,32.0,0.0,3187.0,1047.0,652.0,335.0,5900.0,4.0,7937.0,1327.0,414.0,164.0,1477.0,16.0,3398.0,599.0,9.0,32.0,7.0,0.0,647.0,42.0,0.0,5.0,20.0,0.0,67.0,31.0,5.0,4.0,44.0,0.0,84.0,85.0,28.0,7.0,94.0,0.0,214.0,39.0,14.0,8.0,12.0,0.0,73.0,168.0,101.0,40.0,43.0,0.0,351.0,310.0,22.0,29.0,169.0,0.0,531.0,130.0,9.0,3.0,24.0,0.0,167.0,3.0,14.0,0.0,0.0,0.0,17.0,1022.0,636.0,417.0,5109.0,6.0,7190.0,130.0,6.0,8.0,12.0,0.0,156.0,207.0,40.0,59.0,8.0,4.0,317.0,178.0,3.0,7.0,19.0,0.0,207.0,414.0,21.0,24.0,45.0,0.0,503.0,791.0,26.0,58.0,28.0,0.0,902.0,108.0,51.0,10.0,131.0,0.0,300.0,8329.0,717.0,679.0,1005.0,14.0,10744.0,312.0,25.0,8.0,180.0,2475.0,3000.0,34167.0,5711.0,4096.0,33341.0,2893.0,80208.0,80208.0
Ripon,226.0,1746.0,1371.0,24581.0,368.0,28292.0,5.0,12.0,0.0,1026.0,12.0,1055.0,315.0,4.0,13.0,155.0,0.0,487.0,76.0,7.0,0.0,48.0,0.0,131.0,622.0,144.0,98.0,561.0,0.0,1425.0,3163.0,1684.0,1279.0,22607.0,402.0,29135.0,285.0,3.0,52.0,4.0,0.0,344.0,48.0,4.0,4.0,85.0,0.0,141.0,489.0,141.0,78.0,2077.0,6.0,2791.0,86.0,15.0,8.0,74.0,0.0,183.0,61.0,1.0,7.0,27.0,0.0,96.0,422.0,4.0,5.0,4.0,0.0,435.0,558.0,303.0,195.0,7415.0,34.0,8505.0,254.0,76.0,25.0,1079.0,4.0,1437.0,19.0,0.0,0.0,0.0,0.0,19.0,18.0,0.0,0.0,5.0,0.0,23.0,14.0,3.0,0.0,10.0,3.0,30.0,198.0,57.0,11.0,157.0,3.0,426.0,46.0,24.0,4.0,12.0,3.0,89.0,100.0,58.0,32.0,26.0,1.0,217.0,116.0,24.0,20.0,62.0,0.0,223.0,24.0,3.0,8.0,6.0,0.0,42.0,45.0,0.0,0.0,4.0,0.0,49.0,739.0,398.0,274.0,6867.0,32.0,8310.0,37.0,9.0,0.0,0.0,0.0,46.0,72.0,6.0,0.0,0.0,0.0,78.0,36.0,11.0,4.0,14.0,0.0,65.0,34.0,11.0,0.0,3.0,0.0,48.0,43.0,0.0,0.0,7.0,0.0,51.0,45.0,19.0,0.0,156.0,0.0,220.0,1659.0,220.0,155.0,617.0,6.0,2657.0,60.0,0.0,3.0,605.0,4887.0,5555.0,8675.0,3255.0,2383.0,48890.0,5833.0,69035.0,69035.0
Rowville,904.0,2132.0,1593.0,12550.0,48.0,17227.0,0.0,14.0,0.0,231.0,3.0,248.0,12027.0,75.0,227.0,108.0,31.0,12468.0,214.0,42.0,3.0,75.0,0.0,334.0,722.0,147.0,65.0,378.0,0.0,1312.0,3999.0,1807.0,1240.0,10896.0,73.0,18015.0,820.0,15.0,56.0,3.0,0.0,894.0,150.0,6.0,3.0,50.0,0.0,209.0,745.0,114.0,84.0,968.0,0.0,1911.0,1083.0,205.0,71.0,658.0,0.0,2017.0,230.0,31.0,13.0,48.0,0.0,322.0,3489.0,40.0,55.0,48.0,0.0,3632.0,863.0,295.0,218.0,3420.0,6.0,4802.0,1855.0,404.0,173.0,1573.0,4.0,4010.0,476.0,0.0,10.0,0.0,0.0,486.0,189.0,38.0,13.0,32.0,0.0,272.0,87.0,16.0,3.0,60.0,0.0,166.0,177.0,23.0,14.0,137.0,3.0,354.0,98.0,19.0,22.0,8.0,0.0,147.0,94.0,28.0,39.0,13.0,0.0,174.0,449.0,27.0,27.0,58.0,0.0,561.0,151.0,0.0,21.0,7.0,0.0,179.0,69.0,3.0,3.0,0.0,0.0,75.0,901.0,312.0,293.0,2930.0,16.0,4452.0,167.0,28.0,11.0,32.0,0.0,238.0,302.0,50.0,60.0,10.0,0.0,422.0,175.0,18.0,12.0,15.0,0.0,220.0,1576.0,63.0,53.0,51.0,0.0,1743.0,715.0,3.0,12.0,3.0,0.0,733.0,117.0,11.0,9.0,81.0,0.0,218.0,8817.0,538.0,482.0,717.0,10.0,10564.0,374.0,4.0,15.0,80.0,1485.0,1958.0,37256.0,4155.0,3238.0,24807.0,1824.0,71279.0,71279.0
Sandringham,542.0,2926.0,2292.0,13358.0,88.0,19205.0,7.0,3.0,5.0,133.0,0.0,148.0,1915.0,40.0,82.0,82.0,1.0,2119.0,203.0,28.0,12.0,76.0,0.0,319.0,584.0,150.0,77.0,301.0,0.0,1113.0,6606.0,2650.0,1895.0,13660.0,103.0,24913.0,250.0,3.0,62.0,8.0,0.0,323.0,271.0,32.0,29.0,118.0,0.0,450.0,974.0,253.0,211.0,1334.0,0.0,2772.0,1330.0,164.0,97.0,671.0,0.0,2262.0,170.0,23.0,12.0,43.0,0.0,249.0,878.0,41.0,12.0,47.0,5.0,983.0,1737.0,641.0,488.0,5594.0,8.0,8469.0,1315.0,432.0,183.0,1250.0,0.0,3179.0,66.0,0.0,2.0,0.0,0.0,68.0,81.0,31.0,0.0,35.0,0.0,147.0,48.0,6.0,0.0,16.0,0.0,70.0,101.0,19.0,8.0,93.0,0.0,221.0,89.0,8.0,3.0,14.0,0.0,114.0,323.0,82.0,73.0,12.0,0.0,490.0,566.0,41.0,58.0,143.0,0.0,808.0,578.0,19.0,24.0,22.0,12.0,655.0,6.0,4.0,0.0,7.0,0.0,17.0,1750.0,602.0,425.0,4703.0,6.0,7486.0,180.0,9.0,6.0,43.0,0.0,239.0,524.0,52.0,32.0,6.0,0.0,614.0,179.0,8.0,12.0,25.0,0.0,224.0,144.0,34.0,13.0,41.0,0.0,232.0,180.0,12.0,10.0,0.0,0.0,202.0,222.0,23.0,5.0,125.0,0.0,375.0,4516.0,787.0,672.0,930.0,8.0,6913.0,157.0,3.0,10.0,135.0,1856.0,2162.0,21726.0,5501.0,4117.0,29507.0,2191.0,63043.0,63043.0
Shepparton,770.0,1707.0,1115.0,21984.0,304.0,25881.0,0.0,81.0,19.0,2408.0,34.0,2542.0,755.0,0.0,28.0,82.0,5.0,870.0,45.0,13.0,2.0,41.0,4.0,105.0,379.0,90.0,70.0,425.0,6.0,969.0,2346.0,1527.0,1071.0,20848.0,328.0,26119.0,744.0,3.0,97.0,3.0,0.0,847.0,9.0,0.0,0.0,73.0,0.0,82.0,272.0,83.0,68.0,1723.0,8.0,2154.0,286.0,41.0,13.0,249.0,3.0,592.0,24.0,0.0,0.0,14.0,0.0,38.0,1678.0,17.0,8.0,16.0,4.0,1723.0,357.0,276.0,170.0,6866.0,28.0,7696.0,1906.0,426.0,117.0,2581.0,28.0,5059.0,4.0,0.0,4.0,0.0,0.0,8.0,7.0,3.0,0.0,0.0,0.0,10.0,153.0,3.0,6.0,85.0,0.0,247.0,34.0,4.0,0.0,89.0,0.0,127.0,72.0,14.0,11.0,26.0,0.0,123.0,111.0,32.0,19.0,30.0,0.0,192.0,40.0,11.0,0.0,75.0,0.0,126.0,7.0,0.0,3.0,6.0,0.0,16.0,261.0,12.0,4.0,4.0,0.0,281.0,529.0,329.0,204.0,5520.0,26.0,6608.0,23.0,6.0,3.0,10.0,0.0,42.0,76.0,1.0,8.0,6.0,0.0,91.0,51.0,14.0,0.0,46.0,0.0,111.0,73.0,0.0,0.0,8.0,0.0,81.0,71.0,0.0,13.0,0.0,0.0,84.0,39.0,13.0,0.0,65.0,0.0,117.0,7383.0,359.0,272.0,885.0,49.0,8948.0,277.0,23.0,8.0,500.0,5022.0,5831.0,17324.0,3434.0,2254.0,45822.0,5753.0,74587.0,74587.0
South Barwon,381.0,2685.0,2038.0,21590.0,131.0,26825.0,0.0,14.0,0.0,625.0,12.0,651.0,1399.0,31.0,36.0,102.0,0.0,1568.0,251.0,56.0,16.0,178.0,3.0,504.0,646.0,281.0,150.0,768.0,0.0,1845.0,3955.0,2427.0,1772.0,20135.0,155.0,28444.0,535.0,36.0,81.0,45.0,0.0,698.0,74.0,9.0,9.0,100.0,0.0,192.0,668.0,231.0,135.0,2256.0,0.0,3290.0,165.0,43.0,19.0,218.0,0.0,445.0,73.0,18.0,4.0,87.0,0.0,182.0,2055.0,17.0,12.0,30.0,6.0,2120.0,956.0,611.0,359.0,7280.0,5.0,9212.0,829.0,268.0,111.0,1634.0,0.0,2841.0,79.0,4.0,18.0,0.0,0.0,101.0,38.0,21.0,0.0,30.0,0.0,89.0,88.0,29.0,14.0,54.0,0.0,185.0,84.0,19.0,14.0,171.0,0.0,289.0,84.0,37.0,17.0,14.0,0.0,152.0,142.0,76.0,58.0,20.0,0.0,295.0,302.0,49.0,43.0,245.0,0.0,639.0,36.0,4.0,25.0,30.0,0.0,95.0,17.0,6.0,6.0,0.0,0.0,29.0,1107.0,620.0,475.0,6430.0,13.0,8645.0,110.0,18.0,4.0,10.0,0.0,142.0,255.0,17.0,19.0,19.0,0.0,310.0,102.0,32.0,24.0,74.0,0.0,232.0,173.0,15.0,0.0,29.0,0.0,217.0,186.0,11.0,8.0,0.0,0.0,205.0,127.0,33.0,16.0,192.0,0.0,368.0,4513.0,633.0,451.0,981.0,0.0,6578.0,204.0,0.0,24.0,426.0,2366.0,3020.0,16946.0,5059.0,3713.0,44245.0,2785.0,72748.0,72748.0
South-West Coast,165.0,1728.0,1294.0,24712.0,323.0,28221.0,5.0,19.0,13.0,1310.0,11.0,1358.0,421.0,11.0,21.0,67.0,0.0,520.0,15.0,0.0,3.0,41.0,0.0,59.0,498.0,170.0,43.0,477.0,0.0,1188.0,2505.0,1621.0,1088.0,23192.0,294.0,28699.0,440.0,8.0,50.0,7.0,4.0,509.0,36.0,13.0,12.0,129.0,0.0,190.0,284.0,101.0,72.0,2439.0,0.0,2896.0,56.0,7.0,9.0,72.0,0.0,144.0,3.0,0.0,0.0,16.0,0.0,19.0,211.0,19.0,4.0,18.0,0.0,252.0,614.0,433.0,193.0,10624.0,60.0,11924.0,147.0,96.0,15.0,672.0,0.0,931.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0,3.0,0.0,16.0,0.0,19.0,0.0,3.0,0.0,20.0,0.0,23.0,76.0,10.0,14.0,86.0,0.0,186.0,127.0,17.0,30.0,31.0,0.0,205.0,157.0,76.0,32.0,19.0,0.0,284.0,45.0,15.0,0.0,44.0,0.0,104.0,16.0,0.0,0.0,9.0,0.0,25.0,21.0,10.0,0.0,6.0,0.0,37.0,737.0,370.0,263.0,7160.0,33.0,8563.0,4.0,0.0,0.0,0.0,0.0,4.0,124.0,15.0,17.0,0.0,0.0,156.0,19.0,3.0,0.0,31.0,0.0,53.0,65.0,0.0,4.0,3.0,0.0,72.0,141.0,0.0,0.0,0.0,0.0,141.0,59.0,16.0,3.0,144.0,0.0,222.0,1461.0,258.0,215.0,551.0,18.0,2504.0,45.0,19.0,28.0,690.0,3758.0,4540.0,7458.0,3270.0,2328.0,52181.0,4567.0,69803.0,69803.0
