district,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings,Total_dwelings_total
Northcote,3549.0,13567.0,7901.0,1681.0,722.0,27537.0,172.0,27780.0,27780.0
Oakleigh,3691.0,14992.0,11095.0,2651.0,1271.0,33793.0,374.0,34198.0,34198.0
Ovens Valley,1090.0,8101.0,9367.0,3440.0,2261.0,24254.0,572.0,24857.0,24857.0
Pakenham,715.0,8642.0,11112.0,3301.0,1800.0,25557.0,299.0,25841.0,25841.0
Pascoe Vale,2833.0,12253.0,8393.0,2122.0,1036.0,26567.0,269.0,26910.0,26910.0
Point Cook,922.0,10410.0,13035.0,3508.0,1594.0,29508.0,308.0,29916.0,29916.0
Polwarth,833.0,7853.0,10778.0,3821.0,2433.0,25859.0,392.0,26271.0,26271.0
Prahran,9181.0,20691.0,5938.0,841.0,322.0,36931.0,452.0,37345.0,37345.0
Preston,3372.0,13156.0,8801.0,2318.0,1153.0,28818.0,498.0,29346.0,29346.0
Richmond,6587.0,16669.0,6092.0,1075.0,307.0,30693.0,373.0,31081.0,31081.0
Ringwood,1903.0,12315.0,11644.0,2781.0,1416.0,30010.0,364.0,30367.0,30367.0
Ripon,1012.0,7873.0,9797.0,4322.0,3129.0,26152.0,452.0,26559.0,26559.0
Rowville,663.0,6340.0,10716.0,3977.0,2385.0,24175.0,151.0,24388.0,24388.0
Sandringham,1443.0,9827.0,9801.0,2397.0,1118.0,24617.0,166.0,24859.0,24859.0
Shepparton,1345.0,8932.0,10019.0,4043.0,2437.0,26719.0,576.0,27320.0,27320.0
South Barwon,833.0,8075.0,11648.0,3354.0,1838.0,25781.0,198.0,26029.0,26029.0
South-West Coast,1269.0,8888.0,10525.0,3830.0,2369.0,26843.0,396.0,27297.0,27297.0
St Albans,1918.0,8308.0,8228.0,3323.0,1660.0,23414.0,486.0,23972.0,23972.0
Sunbury,944.0,7460.0,9478.0,3308.0,1933.0,23082.0,212.0,23342.0,23342.0
Sydenham,623.0,5941.0,9887.0,4220.0,2795.0,23624.0,240.0,23912.0,23912.0
Tarneit,971.0,9409.0,11656.0,3542.0,1918.0,27575.0,407.0,28016.0,28016.0
Thomastown,1649.0,9083.0,10109.0,3017.0,1415.0,25336.0,331.0,25777.0,25777.0
Warrandyte,675.0,6862.0,10913.0,3835.0,2625.0,24813.0,161.0,25092.0,25092.0
Wendouree,1928.0,11004.0,10011.0,2907.0,1368.0,27277.0,379.0,27646.0,27646.0
Werribee,1435.0,10775.0,10751.0,3133.0,1585.0,27784.0,359.0,28184.0,28184.0
Williamstown,1967.0,10196.0,9567.0,2238.0,1025.0,24990.0,257.0,25272.0,25272.0
Yan Yean,352.0,6333.0,10721.0,3477.0,2105.0,23050.0,223.0,23336.0,23336.0
