district,Neg_Nil_inc_fam_households_pc,Neg_Nil_inc_Non_fam_househlds_pc,Negative_Nil_income_Tot_pc,HI_1_149_Family_households_pc,HI_1_149_Non_family_hseholds_pc,HI_1_149_Tot_pc,HI_150_299_Family_households_pc,HI_150_299_Non_fam_househlds_pc,HI_150_299_Tot_pc,HI_300_399_Family_households_pc,HI_300_399_Non_fam_househlds_pc,HI_300_399_Tot_pc,HI_400_499_Family_households_pc,HI_400_499_Non_fam_househlds_pc,HI_400_499_Tot_pc,HI_500_649_Family_households_pc,HI_500_649_Non_fam_househlds_pc,HI_500_649_Tot_pc,HI_650_799_Family_households_pc,HI_650_799_Non_fam_househlds_pc,HI_650_799_Tot_pc,HI_800_999_Fam_households_pc,HI_800_999_Non_fam_hsehlds_pc,HI_800_999_Tot_pc,HI_1000_1249_Fam_households_pc,HI_1000_1249_Non_fam_hsehlds_pc,HI_1000_1249_Tot_pc,HI_1250_1499_Fam_households_pc,HI_1250_1499_Non_fam_hsehlds_pc,HI_1250_1499_Tot_pc,HI_1500_1749_Fam_households_pc,HI_1500_1749_Non_fam_hsehlds_pc,HI_1500_1749_Tot_pc,HI_1750_1999_Fam_households_pc,HI_1750_1999_Non_fam_hsehlds_pc,HI_1750_1999_Tot_pc,HI_2000_2499_Fam_households_pc,HI_2000_2499_Non_fam_hsehlds_pc,HI_2000_2499_Tot_pc,HI_2500_2999_Fam_households_pc,HI_2500_2999_Non_fam_hsehlds_pc,HI_2500_2999_Tot_pc,HI_3000_3499_Fam_households_pc,HI_3000_3499_Non_fam_hsehlds_pc,HI_3000_3499_Tot_pc,HI_3500_3999_Fam_households_pc,HI_3500_3999_Non_fam_hsehlds_pc,HI_3500_3999_Tot_pc,HI_4000_more_Fam_households_pc,HI_4000_more_Non_fam_hsehlds_pc,HI_4000_more_Tot_pc,Part_inc_stated_Fam_household_pc,Part_inc_std_Non_fam_hhds_pc,Partial_income_stated_Tot_pc,All_incomes_ns_Famly_househld_pc,All_inc_ns_Non_famly_househld_pc,All_incomes_not_stated_Tot_pc,Tot_Family_households_pc,Tot_Non_family_households_pc,Tot_Tot_pc,Tot_Tot_total
Geelong,0.002,0.0075,0.0131,0.0015,0.003,0.0056,0.0008,0.0101,0.0118,0.001,0.0215,0.024,0.0075,0.0551,0.067,0.0119,0.0416,0.0546,0.036,0.0242,0.0618,0.0324,0.0316,0.0645,0.0414,0.0328,0.0731,0.0482,0.0259,0.0742,0.0314,0.0229,0.0541,0.0338,0.0158,0.0522,0.0781,0.0261,0.1019,0.0618,0.0021,0.0664,0.0536,0.004,0.0616,0.0329,0.0005,0.0345,0.0985,0.0076,0.1066,0.0335,0.0048,0.0398,0.0055,0.0107,0.0183,0.6303,0.3704,1.0,29086.0
Gippsland East,0.0064,0.0081,0.0179,0.0022,0.0032,0.0064,0.0024,0.0105,0.0142,0.0029,0.0239,0.0273,0.014,0.0745,0.087,0.016,0.0405,0.0617,0.0697,0.0253,0.0946,0.0539,0.031,0.0888,0.0595,0.0246,0.0857,0.0643,0.017,0.0827,0.0396,0.0099,0.0533,0.0449,0.0071,0.0532,0.0779,0.007,0.0899,0.0522,0.0002,0.0537,0.0316,0.0007,0.0331,0.0173,0.0002,0.0174,0.0381,0.0027,0.0423,0.0466,0.0017,0.0506,0.0131,0.0137,0.0286,0.6706,0.3299,1.0,25531.0
Gippsland South,0.0079,0.0101,0.0206,0.0026,0.0018,0.008,0.0029,0.0091,0.014,0.0022,0.0235,0.0282,0.0144,0.0674,0.0823,0.0146,0.039,0.0523,0.054,0.0216,0.0793,0.0482,0.0297,0.0797,0.055,0.0251,0.0797,0.0616,0.0146,0.0772,0.0377,0.0138,0.0541,0.0416,0.0088,0.0531,0.0804,0.0137,0.0972,0.0524,0.0004,0.0539,0.0419,0.0015,0.0455,0.0217,0.0001,0.0223,0.0565,0.0041,0.0626,0.0477,0.0009,0.0504,0.0099,0.0148,0.0284,0.6757,0.3249,1.0,25560.0
Glen Waverley,0.0149,0.0096,0.0295,0.004,0.0025,0.0069,0.0033,0.0058,0.013,0.003,0.0106,0.0159,0.0118,0.0337,0.0485,0.0117,0.0199,0.0338,0.0355,0.0151,0.0514,0.0376,0.0148,0.0527,0.0433,0.0144,0.0596,0.053,0.0102,0.0649,0.0357,0.0077,0.0471,0.0393,0.0057,0.0472,0.0887,0.0146,0.1031,0.0708,0.0012,0.0725,0.0641,0.0028,0.0687,0.0439,0.0005,0.0447,0.1542,0.0057,0.1617,0.0425,0.0013,0.0455,0.0056,0.0058,0.0129,0.7852,0.2166,1.0,28305.0
Greenvale,0.0132,0.005,0.0228,0.0014,0.0004,0.0031,0.0036,0.0037,0.0089,0.0036,0.0096,0.0169,0.0136,0.022,0.0381,0.0205,0.0076,0.0311,0.0509,0.0077,0.0585,0.0496,0.0109,0.0644,0.0593,0.0128,0.0745,0.0705,0.0074,0.0792,0.0565,0.0087,0.0654,0.0528,0.0042,0.0605,0.11,0.0051,0.1195,0.082,0.0,0.083,0.0651,0.0007,0.068,0.0401,0.0001,0.0413,0.0862,0.0004,0.0886,0.0481,0.0002,0.0488,0.0115,0.0029,0.0155,0.8558,0.1463,1.0,22184.0
Hastings,0.0054,0.0078,0.0151,0.0013,0.0013,0.0038,0.0011,0.0063,0.0091,0.0009,0.0133,0.0157,0.0095,0.0439,0.054,0.0105,0.0365,0.0481,0.0414,0.0188,0.061,0.0376,0.0249,0.0621,0.049,0.0265,0.0745,0.0529,0.0176,0.0716,0.0405,0.0156,0.0564,0.0447,0.0093,0.0562,0.1087,0.0145,0.1216,0.0825,0.0008,0.0845,0.0628,0.0014,0.0647,0.0399,0.0,0.0409,0.0824,0.0018,0.0883,0.042,0.0009,0.0436,0.0082,0.0072,0.0188,0.7311,0.2681,1.0,24451.0
Hawthorn,0.0059,0.0102,0.0191,0.0017,0.0019,0.0059,0.001,0.0061,0.009,0.0013,0.0105,0.0144,0.0038,0.0225,0.0279,0.005,0.0246,0.0314,0.0113,0.0199,0.0369,0.0123,0.0242,0.0398,0.0196,0.0311,0.0524,0.0274,0.0327,0.0617,0.0204,0.0297,0.0514,0.0247,0.0264,0.0518,0.0588,0.0482,0.1085,0.0508,0.0046,0.0555,0.0483,0.0104,0.0624,0.035,0.0019,0.0398,0.253,0.025,0.2765,0.0361,0.0058,0.0435,0.0029,0.0035,0.0086,0.637,0.3639,1.0,28173.0
Ivanhoe,0.0048,0.0095,0.018,0.0015,0.0013,0.0041,0.0011,0.0083,0.0119,0.0011,0.017,0.0198,0.0071,0.038,0.0479,0.0071,0.0259,0.0374,0.0239,0.0185,0.0474,0.0248,0.0231,0.0467,0.032,0.0244,0.0604,0.0366,0.0214,0.0578,0.0299,0.0224,0.0528,0.035,0.0162,0.0509,0.0766,0.0315,0.1077,0.0649,0.0024,0.0683,0.0636,0.006,0.0714,0.0489,0.0008,0.0496,0.1805,0.0084,0.194,0.0337,0.002,0.0403,0.0049,0.0057,0.0119,0.6908,0.3075,1.0,25313.0
Kalkallo,0.0061,0.0043,0.0141,0.0009,0.0,0.0018,0.0019,0.0011,0.0034,0.0028,0.0046,0.0088,0.01,0.0125,0.0257,0.0153,0.0071,0.0258,0.0365,0.0063,0.0441,0.0411,0.0134,0.0555,0.0573,0.0174,0.0764,0.069,0.0104,0.0852,0.0598,0.0119,0.0742,0.0624,0.0054,0.0714,0.1393,0.0118,0.1543,0.0984,0.0013,0.1,0.0673,0.0013,0.0693,0.04,0.0,0.0401,0.0736,0.0014,0.0758,0.0442,0.0007,0.0465,0.0078,0.002,0.011,0.8486,0.1505,1.0,28102.0
Kew,0.0133,0.0097,0.0266,0.0038,0.0022,0.0065,0.0034,0.007,0.0119,0.0024,0.0083,0.0133,0.0078,0.0219,0.031,0.0061,0.0177,0.0279,0.0205,0.0149,0.036,0.0194,0.0187,0.0402,0.0281,0.0213,0.0511,0.034,0.018,0.0552,0.0268,0.0172,0.0454,0.0303,0.0123,0.0445,0.0694,0.0265,0.0992,0.0536,0.0021,0.0568,0.0544,0.0065,0.0635,0.0405,0.0006,0.0432,0.2525,0.0177,0.2744,0.0463,0.0035,0.0519,0.0034,0.0039,0.0095,0.7404,0.2585,1.0,26541.0
Kororoit,0.0109,0.0069,0.0208,0.0019,0.0011,0.0033,0.0033,0.0043,0.009,0.0042,0.0111,0.0165,0.0114,0.0259,0.0406,0.0166,0.01,0.0286,0.0456,0.0093,0.0557,0.0419,0.0138,0.0549,0.0486,0.0151,0.0658,0.0595,0.0098,0.0721,0.0528,0.0099,0.0639,0.0562,0.0054,0.0621,0.1166,0.0112,0.1286,0.0864,0.0009,0.0883,0.0662,0.0007,0.0691,0.0436,0.0003,0.0448,0.0914,0.0014,0.0956,0.044,0.0013,0.0478,0.0074,0.0047,0.0144,0.8214,0.1794,1.0,25780.0
Lara,0.0046,0.0081,0.0155,0.0007,0.001,0.003,0.0013,0.0093,0.014,0.0026,0.0221,0.0251,0.013,0.062,0.0763,0.0155,0.0364,0.0529,0.0503,0.0199,0.0719,0.044,0.0268,0.0688,0.05,0.0273,0.0805,0.0554,0.0205,0.0755,0.0438,0.0132,0.0603,0.0385,0.0121,0.0504,0.0903,0.017,0.1117,0.0614,0.0013,0.0643,0.0467,0.0018,0.0512,0.0295,0.0003,0.0311,0.0611,0.0022,0.0654,0.0386,0.0029,0.0435,0.0083,0.0126,0.0265,0.6758,0.3209,1.0,26160.0
Laverton,0.0088,0.0082,0.0209,0.0014,0.0008,0.0036,0.0028,0.0072,0.0112,0.0041,0.0151,0.0223,0.0117,0.0312,0.0446,0.0149,0.0163,0.0319,0.0368,0.0119,0.0501,0.0374,0.0214,0.0594,0.0439,0.0191,0.0632,0.0596,0.0186,0.0786,0.0504,0.014,0.0661,0.0489,0.0098,0.0605,0.1027,0.0184,0.1232,0.0787,0.0039,0.0845,0.0624,0.0045,0.0692,0.0397,0.0021,0.0426,0.0845,0.0075,0.0947,0.0389,0.0062,0.0473,0.0078,0.0065,0.0167,0.7499,0.2502,1.0,29743.0
Lowan,0.0037,0.0082,0.0144,0.0011,0.0034,0.0068,0.001,0.0098,0.0145,0.0015,0.0237,0.0292,0.0125,0.0746,0.089,0.0145,0.0416,0.0557,0.0528,0.0263,0.0812,0.0456,0.0329,0.0791,0.0505,0.0319,0.0837,0.0613,0.0203,0.0813,0.0395,0.0156,0.0577,0.0408,0.0065,0.0548,0.0851,0.0105,0.0998,0.056,0.0006,0.0576,0.0359,0.0006,0.0398,0.0207,0.0,0.0209,0.0455,0.0045,0.0508,0.0408,0.0018,0.0436,0.0104,0.0174,0.0306,0.641,0.3583,1.0,27932.0
Macedon,0.0057,0.007,0.0157,0.0018,0.0018,0.0052,0.0015,0.0067,0.0108,0.0019,0.0113,0.0143,0.0082,0.0422,0.0536,0.0101,0.0245,0.0338,0.0351,0.0171,0.0541,0.0327,0.0182,0.0538,0.0452,0.0204,0.0668,0.0523,0.0137,0.0669,0.039,0.0137,0.0547,0.044,0.0075,0.0521,0.089,0.0198,0.1059,0.0703,0.0003,0.0721,0.0667,0.0018,0.0707,0.0456,0.0,0.0459,0.1385,0.0065,0.145,0.0494,0.0008,0.0521,0.0062,0.0069,0.0149,0.7562,0.2431,1.0,23340.0
Malvern,0.0053,0.0142,0.0215,0.0007,0.0027,0.0059,0.0008,0.0061,0.0077,0.0009,0.0111,0.0146,0.004,0.0266,0.0329,0.0033,0.0229,0.0284,0.0127,0.018,0.0319,0.0133,0.0214,0.0408,0.0184,0.0305,0.0498,0.0229,0.03,0.0558,0.0192,0.0305,0.0487,0.0237,0.026,0.0511,0.0549,0.0475,0.1025,0.0465,0.0043,0.0538,0.0465,0.0136,0.062,0.0331,0.0017,0.0361,0.2615,0.0344,0.2957,0.0346,0.0048,0.0418,0.0041,0.0084,0.0147,0.6226,0.3776,1.0,26293.0
Melbourne,0.0109,0.0509,0.0627,0.002,0.0076,0.0105,0.003,0.0172,0.0221,0.0026,0.0263,0.0286,0.005,0.0282,0.035,0.0068,0.0313,0.0398,0.0121,0.0307,0.0448,0.0149,0.0399,0.0557,0.0217,0.0548,0.0773,0.0268,0.0496,0.0776,0.0219,0.0435,0.0645,0.0241,0.0363,0.0602,0.0533,0.0687,0.1216,0.0387,0.0108,0.0502,0.0339,0.0185,0.0522,0.0237,0.0037,0.0284,0.0889,0.0296,0.1185,0.016,0.016,0.0335,0.0013,0.006,0.0083,0.4209,0.579,1.0,54747.0
Melton,0.0074,0.0087,0.0179,0.0015,0.0005,0.0033,0.0016,0.0047,0.008,0.0028,0.0123,0.0176,0.0103,0.0325,0.0472,0.0183,0.02,0.0398,0.0487,0.0131,0.0632,0.0466,0.0226,0.0706,0.057,0.0255,0.0805,0.0697,0.0188,0.0893,0.0551,0.0125,0.0706,0.0568,0.0079,0.0674,0.1146,0.0101,0.129,0.0808,0.0007,0.0823,0.0504,0.0009,0.053,0.0275,0.0,0.0279,0.0556,0.0003,0.0571,0.0423,0.0007,0.0454,0.0082,0.0064,0.0164,0.7733,0.2268,1.0,26659.0
Mildura,0.0055,0.0087,0.0172,0.0006,0.0022,0.004,0.0009,0.0092,0.0134,0.0026,0.0232,0.0287,0.0147,0.0642,0.0792,0.0134,0.0343,0.0516,0.054,0.0215,0.0783,0.0464,0.03,0.0776,0.0542,0.0292,0.0856,0.0596,0.0174,0.0788,0.0419,0.0138,0.0566,0.0462,0.0098,0.0578,0.0883,0.0119,0.1029,0.0604,0.0008,0.0628,0.0398,0.0011,0.0431,0.0219,0.0005,0.0235,0.0449,0.0015,0.0519,0.0471,0.0018,0.05,0.0134,0.0203,0.0357,0.6714,0.3303,1.0,25968.0
Mill Park,0.0081,0.0062,0.0187,0.0018,0.001,0.0035,0.0012,0.0023,0.0059,0.0025,0.0099,0.0158,0.0076,0.027,0.0394,0.0127,0.014,0.0296,0.0445,0.0092,0.0563,0.0378,0.0174,0.0546,0.0487,0.0173,0.0695,0.0607,0.0173,0.0808,0.0516,0.0117,0.0647,0.0562,0.0072,0.0635,0.1163,0.0116,0.1283,0.0923,0.0006,0.095,0.0694,0.0016,0.0727,0.045,0.0,0.0463,0.0839,0.0008,0.0863,0.0409,0.001,0.0431,0.0072,0.0046,0.0144,0.8002,0.1982,1.0,22722.0
Monbulk,0.0043,0.0047,0.0117,0.0012,0.0007,0.0038,0.0003,0.0029,0.0057,0.0006,0.0105,0.0137,0.0048,0.0366,0.0448,0.0075,0.0195,0.03,0.0294,0.0131,0.0454,0.0297,0.0195,0.053,0.0426,0.0239,0.0662,0.0535,0.013,0.0686,0.0405,0.0126,0.0538,0.0411,0.0072,0.0539,0.1031,0.0126,0.12,0.094,0.0004,0.0953,0.0759,0.0023,0.0804,0.0529,0.0002,0.0534,0.1264,0.0024,0.133,0.0445,0.0009,0.0464,0.0048,0.0037,0.0117,0.7764,0.2237,1.0,23309.0
Mordialloc,0.005,0.0082,0.0154,0.0008,0.0011,0.0035,0.0015,0.0062,0.0081,0.0012,0.0125,0.0156,0.0056,0.0364,0.0449,0.0072,0.0219,0.0302,0.026,0.0179,0.0436,0.0262,0.0212,0.047,0.0368,0.0224,0.0571,0.0427,0.0171,0.0595,0.0339,0.0164,0.0516,0.038,0.0132,0.0519,0.0891,0.0211,0.1107,0.0832,0.001,0.0852,0.0745,0.0044,0.0798,0.0543,0.0,0.0553,0.167,0.0058,0.1757,0.0339,0.001,0.0365,0.0045,0.0072,0.0139,0.748,0.2544,1.0,26084.0
Mornington,0.0038,0.0065,0.0131,0.0019,0.0027,0.006,0.0009,0.0063,0.0094,0.001,0.0121,0.0154,0.0098,0.0442,0.0556,0.0083,0.0317,0.0424,0.0352,0.0218,0.0574,0.0337,0.0182,0.0561,0.0452,0.0202,0.0698,0.0483,0.0125,0.0623,0.0311,0.0109,0.0451,0.0365,0.0087,0.044,0.0812,0.0149,0.0971,0.0704,0.0008,0.0717,0.064,0.0021,0.0674,0.0455,0.0001,0.0469,0.1578,0.0067,0.1653,0.0417,0.0002,0.0441,0.007,0.0098,0.0198,0.7425,0.2579,1.0,24138.0
Morwell,0.0055,0.0103,0.0179,0.0008,0.0026,0.0048,0.0018,0.0125,0.0154,0.003,0.0305,0.0355,0.0144,0.0758,0.0909,0.0169,0.0403,0.0586,0.0538,0.0222,0.0769,0.0504,0.0288,0.0789,0.048,0.0283,0.0771,0.0542,0.018,0.0741,0.0363,0.0159,0.0523,0.0391,0.0091,0.0526,0.0786,0.0125,0.0936,0.0576,0.0009,0.0585,0.0397,0.0021,0.0454,0.0207,0.0002,0.0215,0.0547,0.0036,0.0619,0.0422,0.0016,0.0455,0.0094,0.0174,0.0284,0.6453,0.3524,1.0,28561.0
Mulgrave,0.0117,0.0108,0.0275,0.0021,0.0023,0.0066,0.0025,0.0075,0.0123,0.0016,0.0181,0.0227,0.0145,0.0511,0.0642,0.0097,0.0222,0.0358,0.0503,0.0173,0.068,0.0444,0.0207,0.0678,0.0502,0.0211,0.0722,0.0618,0.0144,0.0762,0.0466,0.0098,0.0563,0.0459,0.0063,0.0582,0.093,0.0128,0.11,0.0681,0.0023,0.0731,0.0528,0.0026,0.057,0.0329,0.0008,0.0337,0.0824,0.0038,0.09,0.0417,0.0043,0.0481,0.0072,0.0069,0.0166,0.7333,0.2673,1.0,26512.0
Murray Plains,0.0057,0.0067,0.0181,0.0019,0.0026,0.0061,0.0011,0.0092,0.0118,0.0039,0.0236,0.0297,0.0165,0.0681,0.0852,0.0158,0.0374,0.0555,0.0562,0.0219,0.0818,0.0483,0.0319,0.0797,0.0522,0.0269,0.0803,0.0609,0.0158,0.0794,0.044,0.0117,0.0577,0.0443,0.005,0.0546,0.09,0.0103,0.1026,0.0613,0.0006,0.0616,0.0368,0.0014,0.0394,0.0196,0.0001,0.0207,0.0435,0.0021,0.0493,0.0449,0.0009,0.0481,0.0127,0.0194,0.0343,0.6761,0.3241,1.0,25102.0
Narracan,0.0057,0.0067,0.0153,0.0016,0.0022,0.0052,0.0019,0.0069,0.011,0.002,0.0151,0.0187,0.0119,0.0468,0.0603,0.0116,0.0325,0.0474,0.0489,0.0198,0.0707,0.0429,0.0243,0.0697,0.0539,0.0226,0.0738,0.0577,0.0143,0.0739,0.0437,0.0112,0.0581,0.047,0.0079,0.0597,0.1008,0.0131,0.113,0.0701,0.0008,0.0727,0.0542,0.0012,0.0567,0.0309,0.0002,0.0308,0.0752,0.0025,0.0791,0.0476,0.0004,0.0497,0.011,0.0103,0.0238,0.7339,0.2658,1.0,24893.0
Narre Warren North,0.0083,0.005,0.0159,0.0016,0.0016,0.0042,0.0015,0.0032,0.0071,0.0033,0.01,0.0153,0.0105,0.0328,0.0458,0.0137,0.016,0.0336,0.0457,0.0097,0.0584,0.0383,0.0155,0.0566,0.0513,0.0201,0.0716,0.0646,0.0133,0.0808,0.0462,0.01,0.0587,0.0559,0.0057,0.063,0.1136,0.0111,0.1261,0.0862,0.0016,0.0894,0.0627,0.0011,0.065,0.0402,0.0,0.0417,0.0808,0.002,0.0864,0.0455,0.0008,0.0471,0.007,0.0043,0.014,0.7974,0.201,1.0,25583.0
Narre Warren South,0.006,0.0047,0.0142,0.0007,0.0004,0.0016,0.0012,0.002,0.0042,0.0016,0.0059,0.0107,0.008,0.018,0.0293,0.0116,0.0092,0.0257,0.0372,0.0077,0.0468,0.0398,0.0141,0.057,0.0533,0.0159,0.0726,0.0682,0.0122,0.0835,0.0559,0.0087,0.0682,0.061,0.0046,0.0674,0.1331,0.0078,0.1429,0.1001,0.0002,0.1012,0.0708,0.0007,0.0732,0.0436,0.0003,0.0442,0.0826,0.0008,0.086,0.0502,0.0017,0.0533,0.0057,0.0033,0.0109,0.8484,0.1509,1.0,26214.0
Nepean,0.006,0.0115,0.0197,0.0018,0.0034,0.0071,0.0013,0.0084,0.012,0.0019,0.0195,0.0247,0.0147,0.0603,0.0739,0.0092,0.0431,0.056,0.0504,0.0248,0.077,0.0465,0.0283,0.0742,0.0548,0.0256,0.0816,0.0596,0.0193,0.079,0.0359,0.0145,0.0521,0.0396,0.0103,0.0512,0.0774,0.0146,0.0941,0.0584,0.0007,0.0603,0.0428,0.0023,0.0459,0.0222,0.0001,0.0229,0.0786,0.0084,0.0896,0.0429,0.001,0.0467,0.0108,0.0152,0.0274,0.6673,0.3303,1.0,25098.0
Niddrie,0.0104,0.0108,0.0236,0.0018,0.0022,0.0061,0.0015,0.0082,0.0116,0.0022,0.0149,0.0187,0.0105,0.0447,0.0553,0.0085,0.022,0.0313,0.0448,0.0156,0.0597,0.0346,0.0157,0.0506,0.0418,0.0182,0.0613,0.0478,0.0154,0.0619,0.0341,0.0125,0.0487,0.0337,0.0098,0.0466,0.0847,0.0199,0.1064,0.0723,0.0012,0.0745,0.0663,0.0032,0.0705,0.0513,0.0002,0.0517,0.1527,0.005,0.1584,0.0348,0.0007,0.036,0.0091,0.0058,0.0164,0.7501,0.2483,1.0,25477.0
Northcote,0.0026,0.0089,0.0143,0.0004,0.003,0.0045,0.0006,0.0073,0.0098,0.001,0.0204,0.0228,0.0079,0.0424,0.0492,0.0063,0.0237,0.0319,0.0206,0.0195,0.0419,0.0167,0.0248,0.0444,0.0213,0.0299,0.0554,0.0265,0.0323,0.0592,0.0224,0.0312,0.0553,0.0254,0.0276,0.055,0.0632,0.0472,0.11,0.0545,0.007,0.063,0.057,0.0117,0.0707,0.0441,0.0031,0.0495,0.1852,0.021,0.2076,0.0274,0.0109,0.0401,0.0014,0.0039,0.0084,0.6001,0.3985,1.0,27780.0
Oakleigh,0.0083,0.0201,0.0301,0.0017,0.0038,0.0066,0.0013,0.0081,0.0116,0.0012,0.0171,0.0209,0.008,0.0397,0.0484,0.0079,0.0266,0.037,0.0267,0.018,0.0479,0.0246,0.0255,0.0508,0.0332,0.031,0.064,0.0386,0.0282,0.069,0.0334,0.0255,0.0594,0.0341,0.0196,0.0552,0.0793,0.0355,0.1144,0.0624,0.0067,0.0709,0.0572,0.0082,0.0675,0.0398,0.002,0.0428,0.1334,0.0126,0.1477,0.0281,0.0091,0.0387,0.0031,0.0049,0.0098,0.634,0.3646,1.0,34198.0
Ovens Valley,0.0054,0.0087,0.018,0.0013,0.0016,0.0044,0.0017,0.007,0.0109,0.0025,0.022,0.0259,0.0119,0.0684,0.0805,0.0115,0.0398,0.0557,0.0579,0.025,0.0861,0.0494,0.0331,0.0802,0.0528,0.0261,0.0786,0.061,0.0161,0.0792,0.0396,0.0121,0.0547,0.0447,0.0056,0.0514,0.0886,0.0119,0.1026,0.0587,0.0008,0.0601,0.0431,0.0008,0.0457,0.0202,0.0,0.0211,0.0475,0.0033,0.0525,0.0476,0.0012,0.0505,0.0103,0.015,0.0296,0.677,0.325,1.0,24857.0
Pakenham,0.0043,0.0043,0.0115,0.0002,0.0012,0.0026,0.0013,0.0024,0.0052,0.0022,0.0094,0.0127,0.007,0.03,0.039,0.0115,0.0185,0.0329,0.0363,0.0114,0.0509,0.0394,0.0211,0.0578,0.0503,0.0263,0.0768,0.0606,0.0173,0.0814,0.0512,0.016,0.0681,0.0613,0.0113,0.0725,0.1302,0.0141,0.149,0.0963,0.0012,0.0985,0.0614,0.0022,0.0668,0.0355,0.0005,0.0362,0.0618,0.0018,0.0651,0.04,0.0016,0.0421,0.0072,0.0044,0.0139,0.7744,0.228,1.0,25841.0
Pascoe Vale,0.0069,0.0096,0.0199,0.0011,0.0025,0.0047,0.001,0.008,0.011,0.0015,0.0177,0.0208,0.0067,0.0423,0.0501,0.0073,0.0228,0.0313,0.0275,0.0174,0.0459,0.0233,0.023,0.046,0.0288,0.0266,0.0586,0.0337,0.0252,0.0603,0.0326,0.0268,0.0578,0.0355,0.0231,0.0566,0.0795,0.0402,0.1191,0.0709,0.0054,0.0769,0.0665,0.0085,0.0786,0.0492,0.0022,0.0537,0.1401,0.0092,0.1506,0.0289,0.0089,0.0389,0.0052,0.0059,0.014,0.6554,0.3428,1.0,26910.0
Point Cook,0.0091,0.0059,0.0184,0.0008,0.0002,0.0024,0.0014,0.0024,0.0056,0.0019,0.0078,0.012,0.0089,0.019,0.0293,0.0091,0.012,0.0233,0.0311,0.0073,0.0412,0.0274,0.0142,0.0418,0.041,0.0156,0.0587,0.0498,0.0153,0.0651,0.0417,0.012,0.0564,0.0424,0.0089,0.0549,0.1171,0.0175,0.1351,0.0891,0.0005,0.0915,0.0829,0.0021,0.0864,0.0535,0.0002,0.0556,0.144,0.003,0.1503,0.0418,0.0011,0.0445,0.005,0.0027,0.0107,0.8153,0.1836,1.0,29916.0
Polwarth,0.0059,0.0091,0.0161,0.0023,0.0041,0.0074,0.0014,0.0085,0.0122,0.0011,0.0167,0.0204,0.0103,0.0522,0.0635,0.0101,0.0299,0.0433,0.0387,0.0221,0.0621,0.0408,0.0275,0.0676,0.0461,0.025,0.0764,0.0515,0.0171,0.0719,0.0391,0.0103,0.0533,0.0423,0.0108,0.0547,0.088,0.0167,0.1037,0.066,0.0013,0.0684,0.0541,0.0036,0.0592,0.034,0.0007,0.0364,0.0963,0.008,0.1052,0.0474,0.0028,0.0524,0.0082,0.0113,0.0208,0.7023,0.2982,1.0,26271.0
Prahran,0.0035,0.0151,0.0199,0.0004,0.0032,0.005,0.0002,0.0098,0.0118,0.0005,0.019,0.0209,0.003,0.0289,0.0337,0.0042,0.0242,0.0298,0.0082,0.0229,0.0339,0.0096,0.0323,0.0418,0.0148,0.048,0.0636,0.0196,0.0515,0.0696,0.0156,0.0527,0.0696,0.0177,0.0451,0.063,0.0513,0.0929,0.1431,0.0441,0.0096,0.0555,0.0398,0.025,0.0657,0.0315,0.004,0.0363,0.1355,0.0518,0.1865,0.0196,0.0125,0.0329,0.0017,0.0069,0.0116,0.4371,0.5648,1.0,37345.0
Preston,0.0078,0.0132,0.0223,0.0028,0.0032,0.0064,0.0023,0.0122,0.0158,0.002,0.0247,0.0283,0.0096,0.0565,0.0678,0.0104,0.0291,0.0406,0.0388,0.0184,0.0592,0.0323,0.0235,0.0576,0.0372,0.0256,0.0649,0.0454,0.029,0.0732,0.0357,0.0239,0.062,0.0372,0.0191,0.056,0.079,0.0317,0.1125,0.0659,0.0045,0.0728,0.0566,0.0059,0.0646,0.0402,0.0009,0.0427,0.0832,0.0053,0.0889,0.0324,0.0072,0.0401,0.0071,0.0095,0.0184,0.6377,0.3632,1.0,29346.0
Richmond,0.003,0.0097,0.0139,0.0011,0.0019,0.0038,0.0021,0.0105,0.0125,0.0025,0.0218,0.0245,0.006,0.0321,0.039,0.0049,0.02,0.0271,0.0118,0.0174,0.0321,0.014,0.0209,0.0396,0.0138,0.0342,0.0487,0.0164,0.0353,0.0548,0.0144,0.0358,0.0514,0.0167,0.0363,0.054,0.0477,0.0801,0.1287,0.0447,0.0123,0.0579,0.0469,0.026,0.0744,0.0399,0.007,0.0486,0.1745,0.06,0.234,0.0191,0.021,0.0422,0.0023,0.005,0.0086,0.5023,0.497,1.0,31081.0
Ringwood,0.0069,0.0089,0.0185,0.0015,0.0029,0.0063,0.0013,0.0064,0.0094,0.0014,0.0165,0.02,0.0068,0.0378,0.0488,0.0072,0.0312,0.0398,0.0274,0.0202,0.0471,0.0305,0.0267,0.0566,0.0421,0.0272,0.0687,0.0477,0.022,0.0702,0.0337,0.0194,0.0538,0.0369,0.0147,0.0528,0.0839,0.0283,0.1089,0.069,0.0018,0.0739,0.0664,0.0044,0.0723,0.0496,0.0008,0.0503,0.1365,0.0053,0.1449,0.032,0.0021,0.0358,0.0033,0.0062,0.012,0.6991,0.3017,1.0,30367.0
