district,Neg_Nil_inc_fam_households_pc,Neg_Nil_inc_Non_fam_househlds_pc,Negative_Nil_income_Tot_pc,HI_1_149_Family_households_pc,HI_1_149_Non_family_hseholds_pc,HI_1_149_Tot_pc,HI_150_299_Family_households_pc,HI_150_299_Non_fam_househlds_pc,HI_150_299_Tot_pc,HI_300_399_Family_households_pc,HI_300_399_Non_fam_househlds_pc,HI_300_399_Tot_pc,HI_400_499_Family_households_pc,HI_400_499_Non_fam_househlds_pc,HI_400_499_Tot_pc,HI_500_649_Family_households_pc,HI_500_649_Non_fam_househlds_pc,HI_500_649_Tot_pc,HI_650_799_Family_households_pc,HI_650_799_Non_fam_househlds_pc,HI_650_799_Tot_pc,HI_800_999_Fam_households_pc,HI_800_999_Non_fam_hsehlds_pc,HI_800_999_Tot_pc,HI_1000_1249_Fam_households_pc,HI_1000_1249_Non_fam_hsehlds_pc,HI_1000_1249_Tot_pc,HI_1250_1499_Fam_households_pc,HI_1250_1499_Non_fam_hsehlds_pc,HI_1250_1499_Tot_pc,HI_1500_1749_Fam_households_pc,HI_1500_1749_Non_fam_hsehlds_pc,HI_1500_1749_Tot_pc,HI_1750_1999_Fam_households_pc,HI_1750_1999_Non_fam_hsehlds_pc,HI_1750_1999_Tot_pc,HI_2000_2499_Fam_households_pc,HI_2000_2499_Non_fam_hsehlds_pc,HI_2000_2499_Tot_pc,HI_2500_2999_Fam_households_pc,HI_2500_2999_Non_fam_hsehlds_pc,HI_2500_2999_Tot_pc,HI_3000_3499_Fam_households_pc,HI_3000_3499_Non_fam_hsehlds_pc,HI_3000_3499_Tot_pc,HI_3500_3999_Fam_households_pc,HI_3500_3999_Non_fam_hsehlds_pc,HI_3500_3999_Tot_pc,HI_4000_more_Fam_households_pc,HI_4000_more_Non_fam_hsehlds_pc,HI_4000_more_Tot_pc,Part_inc_stated_Fam_household_pc,Part_inc_std_Non_fam_hhds_pc,Partial_income_stated_Tot_pc,All_incomes_ns_Famly_househld_pc,All_inc_ns_Non_famly_househld_pc,All_incomes_not_stated_Tot_pc,Tot_Family_households_pc,Tot_Non_family_households_pc,Tot_Tot_pc,Tot_Tot_total
Box Hill,0.0135,0.0192,0.0339,0.0028,0.0044,0.0086,0.004,0.01,0.0163,0.0029,0.0158,0.0196,0.0111,0.0369,0.0503,0.0114,0.0301,0.0425,0.0292,0.0216,0.0503,0.0301,0.0256,0.0567,0.0379,0.0277,0.0644,0.042,0.0219,0.0663,0.0329,0.0169,0.0505,0.0332,0.0139,0.0487,0.074,0.0282,0.102,0.0573,0.0026,0.0617,0.0522,0.0062,0.0596,0.0401,0.001,0.042,0.1518,0.0092,0.1604,0.0337,0.0044,0.0408,0.0029,0.0057,0.0125,0.6725,0.325,1.0,32279.0
Brighton,0.0068,0.0107,0.0189,0.0013,0.0025,0.006,0.0011,0.0064,0.0086,0.0006,0.0118,0.0147,0.0047,0.0295,0.0345,0.0044,0.0232,0.03,0.0135,0.0178,0.0344,0.013,0.0229,0.0406,0.0202,0.0278,0.0493,0.0291,0.0258,0.0528,0.0229,0.0238,0.0473,0.0217,0.0223,0.047,0.0566,0.0401,0.0969,0.0483,0.0023,0.0519,0.0499,0.0113,0.0635,0.0354,0.0013,0.0368,0.2748,0.0289,0.3036,0.0392,0.0029,0.0433,0.0053,0.0058,0.0127,0.6637,0.3379,1.0,26133.0
Broadmeadows,0.0119,0.0126,0.0257,0.0018,0.0021,0.007,0.0034,0.0088,0.0154,0.0033,0.0228,0.0293,0.0162,0.0546,0.0708,0.0202,0.0224,0.0434,0.0525,0.0146,0.0703,0.0486,0.0228,0.0706,0.0554,0.0195,0.076,0.0576,0.017,0.0754,0.0428,0.0165,0.0596,0.0411,0.0112,0.0567,0.0827,0.0197,0.1048,0.0615,0.003,0.0668,0.0486,0.0031,0.0537,0.0306,0.0015,0.0331,0.063,0.0056,0.0725,0.0361,0.0036,0.0413,0.0106,0.0103,0.0223,0.7025,0.2992,1.0,27312.0
Brunswick,0.0024,0.0096,0.0124,0.0004,0.0026,0.0036,0.0005,0.0087,0.0113,0.0006,0.0192,0.0215,0.0039,0.0354,0.0412,0.0025,0.0231,0.0279,0.017,0.0215,0.0399,0.0146,0.0276,0.0439,0.0181,0.0359,0.0538,0.0256,0.0345,0.0619,0.0188,0.0399,0.0605,0.0226,0.0339,0.0563,0.0594,0.0641,0.1246,0.0511,0.014,0.065,0.0546,0.0194,0.0736,0.0399,0.0064,0.049,0.1576,0.0352,0.1923,0.0205,0.0247,0.044,0.001,0.004,0.0072,0.5245,0.4727,1.0,30195.0
Bulleen,0.0156,0.0114,0.0305,0.005,0.0024,0.01,0.0036,0.0067,0.0109,0.0024,0.0115,0.0172,0.0148,0.0329,0.0497,0.0127,0.0206,0.0344,0.0413,0.0152,0.0576,0.0366,0.0203,0.0585,0.0432,0.0204,0.0645,0.0488,0.0139,0.0634,0.037,0.0119,0.0518,0.0396,0.011,0.0501,0.0844,0.0167,0.1021,0.0643,0.001,0.0668,0.0593,0.0038,0.0637,0.0398,0.0003,0.0401,0.1505,0.0061,0.1595,0.0395,0.0016,0.0438,0.0065,0.0053,0.0148,0.7618,0.2387,1.0,27380.0
Bundoora,0.006,0.011,0.0206,0.0013,0.0012,0.0045,0.002,0.0069,0.0107,0.0021,0.0134,0.0184,0.0122,0.0429,0.0556,0.0116,0.0223,0.0374,0.0361,0.0198,0.0571,0.0361,0.0214,0.0585,0.043,0.0233,0.0655,0.0488,0.0178,0.0708,0.0398,0.0183,0.0585,0.0397,0.0123,0.0547,0.087,0.0205,0.1081,0.0785,0.0022,0.0813,0.0665,0.0042,0.0719,0.0452,0.0009,0.0471,0.1128,0.0034,0.1169,0.0356,0.0041,0.0421,0.0052,0.0061,0.0154,0.7265,0.2742,1.0,25517.0
Carrum,0.0052,0.0084,0.0157,0.0009,0.002,0.0043,0.0021,0.0049,0.0077,0.0006,0.014,0.0157,0.0071,0.0412,0.0509,0.0093,0.026,0.0379,0.0323,0.0172,0.0505,0.03,0.0203,0.0521,0.0413,0.0269,0.0681,0.0487,0.023,0.0693,0.0426,0.0187,0.063,0.0464,0.0127,0.0615,0.1055,0.0204,0.1278,0.0924,0.0009,0.0947,0.0684,0.0024,0.0717,0.0435,0.0003,0.0447,0.0923,0.0024,0.0975,0.0366,0.0011,0.0388,0.0066,0.0087,0.0188,0.7275,0.272,1.0,27429.0
Caulfield,0.0052,0.0128,0.0221,0.0016,0.0034,0.0057,0.0007,0.0069,0.0096,0.0006,0.0161,0.0186,0.005,0.0319,0.0376,0.0047,0.0248,0.031,0.0147,0.0202,0.0383,0.0165,0.0285,0.0473,0.0244,0.0373,0.0616,0.0301,0.0344,0.0622,0.0205,0.0298,0.055,0.0246,0.0244,0.0532,0.0647,0.0473,0.1131,0.0537,0.0049,0.0605,0.0524,0.013,0.0677,0.0388,0.0014,0.0436,0.1941,0.0202,0.2191,0.0317,0.0065,0.0387,0.0058,0.0066,0.0152,0.6037,0.3905,1.0,29317.0
Clarinda,0.0096,0.0098,0.0248,0.0012,0.0032,0.005,0.0022,0.0059,0.0104,0.003,0.0158,0.0221,0.01,0.0452,0.058,0.0123,0.023,0.0395,0.0441,0.0131,0.0609,0.0391,0.0203,0.0612,0.0497,0.0179,0.0678,0.0531,0.0117,0.0668,0.0433,0.0089,0.0554,0.0465,0.0077,0.0567,0.0989,0.0147,0.1117,0.0756,0.002,0.079,0.06,0.0022,0.0653,0.0433,0.0011,0.0449,0.1001,0.0039,0.1065,0.0393,0.0032,0.0447,0.0056,0.0052,0.0151,0.7558,0.2455,1.0,25372.0
Cranbourne,0.0049,0.0047,0.0133,0.0004,0.0009,0.0015,0.0003,0.0017,0.0038,0.0003,0.0085,0.011,0.0088,0.0261,0.0378,0.0105,0.0155,0.029,0.0365,0.0113,0.0482,0.0398,0.0168,0.0583,0.0486,0.0212,0.0732,0.0677,0.0164,0.0837,0.0571,0.0129,0.0714,0.0627,0.0082,0.0713,0.141,0.0104,0.1547,0.1005,0.0011,0.103,0.0657,0.0008,0.0686,0.036,0.0003,0.0375,0.0576,0.0014,0.0623,0.0445,0.0017,0.0475,0.0069,0.0058,0.0154,0.8056,0.1927,1.0,27260.0
