district,census_variable,value
Albert Park,Afghanistan_Before_1951_n,0.0
Ashwood,Afghanistan_Before_1951_n,0.0
Bass,Afghanistan_Before_1951_n,0.0
Bayswater,Afghanistan_Before_1951_n,0.0
Bellarine,Afghanistan_Before_1951_n,0.0
Benambra,Afghanistan_Before_1951_n,0.0
Bendigo East,Afghanistan_Before_1951_n,0.0
Bendigo West,Afghanistan_Before_1951_n,0.0
Bentleigh,Afghanistan_Before_1951_n,0.0
Berwick,Afghanistan_Before_1951_n,0.0
Box Hill,Afghanistan_Before_1951_n,0.0
Brighton,Afghanistan_Before_1951_n,0.0
Broadmeadows,Afghanistan_Before_1951_n,0.0
Brunswick,Afghanistan_Before_1951_n,0.0
Bulleen,Afghanistan_Before_1951_n,0.0
Bundoora,Afghanistan_Before_1951_n,0.0
Carrum,Afghanistan_Before_1951_n,0.0
Caulfield,Afghanistan_Before_1951_n,0.0
Clarinda,Afghanistan_Before_1951_n,0.0
Cranbourne,Afghanistan_Before_1951_n,0.0
Croydon,Afghanistan_Before_1951_n,0.0
Dandenong,Afghanistan_Before_1951_n,0.0
Eildon,Afghanistan_Before_1951_n,0.0
Eltham,Afghanistan_Before_1951_n,0.0
Essendon,Afghanistan_Before_1951_n,0.0
Eureka,Afghanistan_Before_1951_n,0.0
Euroa,Afghanistan_Before_1951_n,0.0
Evelyn,Afghanistan_Before_1951_n,0.0
Footscray,Afghanistan_Before_1951_n,0.0
Frankston,Afghanistan_Before_1951_n,0.0
Geelong,Afghanistan_Before_1951_n,0.0
Gippsland East,Afghanistan_Before_1951_n,0.0
Gippsland South,Afghanistan_Before_1951_n,0.0
Glen Waverley,Afghanistan_Before_1951_n,0.0
Greenvale,Afghanistan_Before_1951_n,0.0
Hastings,Afghanistan_Before_1951_n,0.0
Hawthorn,Afghanistan_Before_1951_n,0.0
Ivanhoe,Afghanistan_Before_1951_n,0.0
Kalkallo,Afghanistan_Before_1951_n,0.0
Kew,Afghanistan_Before_1951_n,0.0
Kororoit,Afghanistan_Before_1951_n,0.0
Lara,Afghanistan_Before_1951_n,0.0
Laverton,Afghanistan_Before_1951_n,0.0
Lowan,Afghanistan_Before_1951_n,0.0
Macedon,Afghanistan_Before_1951_n,0.0
Malvern,Afghanistan_Before_1951_n,0.0
Melbourne,Afghanistan_Before_1951_n,0.0
Melton,Afghanistan_Before_1951_n,0.0
Mildura,Afghanistan_Before_1951_n,0.0
Mill Park,Afghanistan_Before_1951_n,0.0
Monbulk,Afghanistan_Before_1951_n,0.0
Mordialloc,Afghanistan_Before_1951_n,0.0
Mornington,Afghanistan_Before_1951_n,0.0
Morwell,Afghanistan_Before_1951_n,0.0
Mulgrave,Afghanistan_Before_1951_n,0.0
Murray Plains,Afghanistan_Before_1951_n,0.0
Narracan,Afghanistan_Before_1951_n,0.0
Narre Warren North,Afghanistan_Before_1951_n,0.0
Narre Warren South,Afghanistan_Before_1951_n,0.0
Nepean,Afghanistan_Before_1951_n,0.0
Niddrie,Afghanistan_Before_1951_n,0.0
Northcote,Afghanistan_Before_1951_n,0.0
Oakleigh,Afghanistan_Before_1951_n,0.0
Ovens Valley,Afghanistan_Before_1951_n,0.0
Pakenham,Afghanistan_Before_1951_n,0.0
Pascoe Vale,Afghanistan_Before_1951_n,0.0
Point Cook,Afghanistan_Before_1951_n,0.0
Polwarth,Afghanistan_Before_1951_n,0.0
Prahran,Afghanistan_Before_1951_n,0.0
Preston,Afghanistan_Before_1951_n,0.0
Richmond,Afghanistan_Before_1951_n,0.0
Ringwood,Afghanistan_Before_1951_n,0.0
Ripon,Afghanistan_Before_1951_n,0.0
Rowville,Afghanistan_Before_1951_n,0.0
Sandringham,Afghanistan_Before_1951_n,0.0
Shepparton,Afghanistan_Before_1951_n,0.0
South Barwon,Afghanistan_Before_1951_n,0.0
South-West Coast,Afghanistan_Before_1951_n,0.0
St Albans,Afghanistan_Before_1951_n,0.0
Sunbury,Afghanistan_Before_1951_n,0.0
Sydenham,Afghanistan_Before_1951_n,0.0
Tarneit,Afghanistan_Before_1951_n,0.0
Thomastown,Afghanistan_Before_1951_n,0.0
Warrandyte,Afghanistan_Before_1951_n,0.0
Wendouree,Afghanistan_Before_1951_n,0.0
Werribee,Afghanistan_Before_1951_n,0.0
Williamstown,Afghanistan_Before_1951_n,0.0
Yan Yean,Afghanistan_Before_1951_n,0.0
Albert Park,Afghanistan_Before_1951_pc,0.0
Ashwood,Afghanistan_Before_1951_pc,0.0
Bass,Afghanistan_Before_1951_pc,0.0
Bayswater,Afghanistan_Before_1951_pc,0.0
Bellarine,Afghanistan_Before_1951_pc,0.0
Benambra,Afghanistan_Before_1951_pc,0.0
Bendigo East,Afghanistan_Before_1951_pc,0.0
Bendigo West,Afghanistan_Before_1951_pc,0.0
