district,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot,Tot_Tot_total
Box Hill,1692.0,1743.0,896.0,561.0,721.0,403.0,257.0,6346.0,136.0,266.0,119.0,72.0,165.0,72.0,25.0,1140.0,275.0,298.0,182.0,105.0,153.0,76.0,19.0,1417.0,946.0,1310.0,966.0,706.0,1103.0,740.0,343.0,6192.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0,3157.0,3722.0,2235.0,1510.0,2208.0,1478.0,809.0,15202.0,67.0,196.0,104.0,129.0,187.0,157.0,87.0,1308.0,11.0,20.0,16.0,4.0,22.0,15.0,0.0,217.0,7.0,21.0,3.0,4.0,23.0,8.0,0.0,185.0,47.0,83.0,83.0,95.0,151.0,74.0,55.0,906.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,235.0,443.0,328.0,335.0,444.0,350.0,229.0,2737.0,3446.0,4220.0,2672.0,1963.0,2775.0,1861.0,1091.0,18010.0,18010.0
Brighton,549.0,660.0,418.0,240.0,325.0,231.0,99.0,2748.0,268.0,336.0,234.0,151.0,147.0,102.0,49.0,1523.0,320.0,363.0,233.0,136.0,174.0,98.0,31.0,1645.0,1235.0,1488.0,1061.0,730.0,1100.0,814.0,339.0,6904.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,10.0,2551.0,2933.0,2051.0,1408.0,1918.0,1295.0,703.0,12919.0,0.0,67.0,73.0,39.0,52.0,18.0,5.0,501.0,11.0,40.0,15.0,9.0,42.0,10.0,9.0,283.0,0.0,28.0,35.0,12.0,12.0,6.0,7.0,246.0,26.0,124.0,86.0,68.0,132.0,47.0,50.0,843.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,98.0,338.0,329.0,240.0,317.0,231.0,151.0,2000.0,2694.0,3281.0,2364.0,1770.0,2321.0,1612.0,865.0,14905.0,14905.0
Broadmeadows,2578.0,2430.0,1244.0,720.0,828.0,543.0,266.0,8804.0,579.0,459.0,228.0,111.0,154.0,58.0,4.0,1884.0,402.0,328.0,105.0,26.0,54.0,13.0,7.0,1227.0,1231.0,821.0,406.0,223.0,321.0,132.0,29.0,3336.0,37.0,28.0,6.0,0.0,6.0,0.0,0.0,109.0,4917.0,4197.0,2167.0,1265.0,1523.0,885.0,422.0,15312.0,109.0,229.0,130.0,108.0,216.0,87.0,41.0,1200.0,51.0,68.0,60.0,24.0,42.0,6.0,0.0,440.0,28.0,33.0,21.0,22.0,23.0,4.0,0.0,242.0,196.0,262.0,103.0,56.0,148.0,35.0,24.0,1085.0,4.0,21.0,5.0,3.0,7.0,0.0,0.0,71.0,538.0,747.0,473.0,305.0,491.0,238.0,105.0,3247.0,5432.0,4895.0,2594.0,1711.0,2065.0,1154.0,635.0,18465.0,18465.0
Brunswick,403.0,300.0,108.0,49.0,81.0,24.0,18.0,1263.0,290.0,250.0,118.0,50.0,74.0,24.0,6.0,1038.0,341.0,309.0,134.0,42.0,62.0,37.0,4.0,1175.0,1251.0,1038.0,661.0,416.0,499.0,308.0,90.0,4411.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,2426.0,1967.0,1150.0,689.0,872.0,488.0,211.0,7929.0,27.0,39.0,18.0,13.0,21.0,15.0,6.0,272.0,7.0,23.0,12.0,0.0,16.0,12.0,7.0,186.0,14.0,10.0,11.0,4.0,14.0,0.0,3.0,102.0,21.0,89.0,87.0,42.0,78.0,32.0,6.0,620.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,40.0,124.0,285.0,220.0,109.0,183.0,109.0,44.0,1356.0,2636.0,2308.0,1427.0,815.0,1078.0,654.0,283.0,9303.0,9303.0
Bulleen,1685.0,1975.0,878.0,542.0,679.0,614.0,387.0,6805.0,184.0,148.0,82.0,28.0,97.0,47.0,25.0,804.0,274.0,227.0,111.0,36.0,75.0,50.0,9.0,1127.0,768.0,932.0,699.0,481.0,755.0,451.0,235.0,4456.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,46.0,3041.0,3316.0,1859.0,1267.0,1754.0,1220.0,807.0,13312.0,54.0,232.0,123.0,109.0,169.0,99.0,64.0,1170.0,11.0,36.0,19.0,7.0,24.0,7.0,8.0,192.0,12.0,17.0,0.0,18.0,18.0,3.0,8.0,188.0,40.0,123.0,70.0,86.0,127.0,48.0,14.0,827.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,21.0,185.0,502.0,351.0,262.0,504.0,247.0,136.0,2454.0,3241.0,3907.0,2255.0,1561.0,2304.0,1598.0,1021.0,15832.0,15832.0
Bundoora,998.0,984.0,414.0,205.0,361.0,247.0,158.0,3686.0,260.0,244.0,125.0,71.0,112.0,55.0,27.0,1131.0,270.0,260.0,95.0,50.0,59.0,23.0,10.0,991.0,1736.0,1600.0,1019.0,705.0,890.0,501.0,156.0,6660.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,33.0,3326.0,3144.0,1819.0,1168.0,1564.0,977.0,441.0,12497.0,31.0,92.0,54.0,14.0,43.0,37.0,28.0,463.0,3.0,23.0,16.0,11.0,20.0,9.0,5.0,237.0,3.0,14.0,6.0,5.0,22.0,12.0,0.0,136.0,155.0,239.0,182.0,108.0,217.0,68.0,42.0,1363.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,266.0,485.0,343.0,277.0,404.0,162.0,95.0,2324.0,3699.0,3676.0,2160.0,1519.0,2015.0,1169.0,572.0,14782.0,14782.0
Carrum,1049.0,1288.0,620.0,411.0,529.0,289.0,169.0,4545.0,481.0,296.0,163.0,78.0,92.0,28.0,10.0,1288.0,429.0,420.0,209.0,63.0,123.0,39.0,12.0,1518.0,2285.0,1961.0,1024.0,631.0,748.0,228.0,110.0,7145.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,4355.0,4079.0,2068.0,1282.0,1649.0,722.0,385.0,14559.0,34.0,78.0,51.0,27.0,29.0,23.0,21.0,494.0,19.0,69.0,32.0,19.0,36.0,7.0,0.0,390.0,31.0,27.0,6.0,5.0,16.0,7.0,0.0,162.0,293.0,481.0,322.0,214.0,296.0,45.0,11.0,1942.0,5.0,8.0,3.0,0.0,3.0,0.0,0.0,62.0,498.0,787.0,509.0,377.0,526.0,152.0,69.0,3167.0,4868.0,4939.0,2594.0,1690.0,2177.0,908.0,520.0,17776.0,17776.0
Caulfield,799.0,855.0,386.0,236.0,280.0,191.0,128.0,3145.0,610.0,574.0,318.0,150.0,197.0,86.0,20.0,2270.0,477.0,432.0,289.0,128.0,209.0,68.0,37.0,1910.0,1430.0,1395.0,867.0,505.0,797.0,470.0,253.0,5832.0,19.0,9.0,12.0,5.0,3.0,0.0,0.0,51.0,3403.0,3355.0,1963.0,1249.0,1649.0,997.0,618.0,13270.0,49.0,43.0,17.0,21.0,29.0,20.0,9.0,379.0,17.0,40.0,37.0,21.0,34.0,16.0,5.0,319.0,15.0,17.0,29.0,7.0,14.0,0.0,3.0,187.0,18.0,90.0,74.0,55.0,106.0,60.0,21.0,744.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,17.0,143.0,296.0,248.0,168.0,288.0,179.0,67.0,1730.0,3682.0,3622.0,2291.0,1496.0,1978.0,1184.0,779.0,14999.0,14999.0
Clarinda,1639.0,1892.0,1010.0,617.0,874.0,667.0,361.0,7118.0,269.0,221.0,141.0,59.0,94.0,47.0,20.0,1046.0,287.0,284.0,125.0,41.0,86.0,36.0,7.0,1131.0,974.0,893.0,606.0,383.0,493.0,236.0,104.0,3906.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,36.0,3259.0,3395.0,1967.0,1241.0,1648.0,1090.0,595.0,13244.0,134.0,286.0,162.0,122.0,202.0,137.0,87.0,1408.0,32.0,26.0,14.0,3.0,20.0,0.0,0.0,210.0,18.0,36.0,18.0,0.0,7.0,4.0,0.0,203.0,53.0,113.0,112.0,57.0,98.0,37.0,13.0,790.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,25.0,346.0,630.0,428.0,254.0,458.0,292.0,153.0,2785.0,3644.0,3973.0,2401.0,1585.0,2146.0,1445.0,774.0,16088.0,16088.0
Cranbourne,3756.0,3745.0,1790.0,875.0,1204.0,562.0,351.0,12438.0,413.0,306.0,104.0,50.0,73.0,19.0,4.0,1189.0,383.0,295.0,91.0,36.0,46.0,6.0,3.0,1131.0,2264.0,1798.0,795.0,487.0,553.0,148.0,50.0,6324.0,12.0,9.0,4.0,0.0,0.0,0.0,0.0,32.0,6842.0,6212.0,3034.0,1634.0,2044.0,846.0,460.0,21166.0,160.0,288.0,179.0,92.0,140.0,70.0,37.0,1189.0,43.0,65.0,18.0,6.0,17.0,0.0,0.0,344.0,13.0,29.0,17.0,10.0,18.0,0.0,0.0,240.0,465.0,574.0,324.0,195.0,236.0,21.0,17.0,2100.0,18.0,11.0,0.0,3.0,0.0,0.0,0.0,71.0,864.0,1088.0,693.0,399.0,557.0,169.0,83.0,4048.0,7757.0,7370.0,3645.0,2076.0,2632.0,1069.0,555.0,25187.0,25187.0
Croydon,1003.0,962.0,439.0,218.0,274.0,149.0,56.0,3421.0,280.0,260.0,111.0,31.0,44.0,28.0,9.0,967.0,312.0,270.0,113.0,42.0,58.0,26.0,0.0,1048.0,2467.0,2134.0,1212.0,738.0,988.0,394.0,205.0,8255.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,24.0,4142.0,3726.0,1975.0,1224.0,1475.0,734.0,372.0,13729.0,37.0,59.0,30.0,23.0,35.0,15.0,18.0,413.0,28.0,49.0,6.0,5.0,26.0,5.0,0.0,306.0,5.0,11.0,22.0,8.0,21.0,4.0,3.0,163.0,193.0,446.0,312.0,231.0,319.0,141.0,28.0,2007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,346.0,646.0,463.0,388.0,514.0,225.0,67.0,2923.0,4549.0,4463.0,2520.0,1564.0,2032.0,1043.0,531.0,16683.0,16683.0
Dandenong,3606.0,3102.0,1813.0,1118.0,1389.0,884.0,510.0,12542.0,170.0,133.0,64.0,30.0,46.0,12.0,6.0,705.0,236.0,185.0,74.0,31.0,25.0,12.0,4.0,838.0,457.0,330.0,133.0,48.0,127.0,27.0,18.0,1487.0,27.0,21.0,10.0,0.0,3.0,0.0,0.0,102.0,4709.0,3979.0,2173.0,1352.0,1751.0,1014.0,580.0,15719.0,269.0,496.0,288.0,248.0,357.0,236.0,121.0,2374.0,39.0,55.0,18.0,3.0,34.0,0.0,0.0,340.0,18.0,54.0,3.0,3.0,16.0,0.0,4.0,184.0,122.0,167.0,69.0,32.0,44.0,17.0,9.0,743.0,11.0,42.0,9.0,3.0,4.0,0.0,0.0,163.0,617.0,962.0,582.0,402.0,589.0,308.0,165.0,3923.0,5441.0,4938.0,2819.0,1862.0,2382.0,1422.0,827.0,19663.0,19663.0
Eildon,64.0,58.0,21.0,28.0,62.0,3.0,5.0,412.0,89.0,179.0,98.0,53.0,50.0,19.0,6.0,742.0,110.0,141.0,98.0,28.0,45.0,4.0,0.0,696.0,2184.0,2324.0,1509.0,936.0,1182.0,320.0,103.0,8498.0,4.0,16.0,0.0,0.0,7.0,0.0,0.0,47.0,2612.0,2798.0,1858.0,1153.0,1451.0,408.0,130.0,10450.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,50.0,9.0,24.0,30.0,8.0,25.0,3.0,0.0,193.0,6.0,4.0,0.0,3.0,6.0,0.0,6.0,104.0,259.0,345.0,292.0,189.0,273.0,40.0,6.0,1770.0,3.0,7.0,3.0,0.0,8.0,0.0,0.0,42.0,318.0,463.0,437.0,286.0,370.0,57.0,32.0,2249.0,2970.0,3372.0,2310.0,1537.0,1801.0,531.0,162.0,12666.0,12666.0
Eltham,371.0,431.0,189.0,133.0,164.0,103.0,47.0,1766.0,329.0,413.0,238.0,104.0,171.0,69.0,17.0,1634.0,259.0,366.0,165.0,78.0,143.0,84.0,26.0,1352.0,2192.0,2499.0,1512.0,1063.0,1445.0,779.0,430.0,9956.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,29.0,3269.0,3813.0,2254.0,1500.0,2133.0,1170.0,587.0,14667.0,6.0,8.0,0.0,0.0,11.0,7.0,5.0,165.0,15.0,17.0,34.0,7.0,15.0,6.0,4.0,226.0,0.0,16.0,18.0,0.0,11.0,0.0,3.0,153.0,86.0,226.0,227.0,173.0,207.0,105.0,27.0,1390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,153.0,360.0,342.0,251.0,362.0,164.0,90.0,2051.0,3476.0,4198.0,2656.0,1836.0,2452.0,1362.0,724.0,16761.0,16761.0
Essendon,684.0,676.0,297.0,195.0,163.0,135.0,32.0,2389.0,310.0,262.0,120.0,84.0,134.0,88.0,32.0,1257.0,316.0,325.0,107.0,49.0,59.0,71.0,28.0,1272.0,1502.0,1733.0,1132.0,755.0,1003.0,718.0,318.0,7286.0,4.0,8.0,0.0,0.0,3.0,0.0,0.0,31.0,2935.0,3075.0,1779.0,1198.0,1562.0,1084.0,536.0,12237.0,88.0,116.0,70.0,35.0,66.0,37.0,22.0,664.0,6.0,21.0,10.0,17.0,17.0,6.0,3.0,176.0,6.0,15.0,9.0,4.0,5.0,8.0,0.0,130.0,43.0,129.0,94.0,67.0,111.0,62.0,15.0,779.0,13.0,13.0,9.0,0.0,0.0,0.0,0.0,54.0,253.0,366.0,288.0,178.0,292.0,155.0,57.0,1922.0,3202.0,3528.0,2116.0,1459.0,1888.0,1336.0,664.0,14179.0,14179.0
Eureka,293.0,264.0,132.0,68.0,54.0,11.0,3.0,1054.0,157.0,246.0,116.0,63.0,73.0,20.0,8.0,917.0,172.0,199.0,73.0,41.0,70.0,22.0,0.0,813.0,2896.0,3093.0,1747.0,1137.0,1306.0,394.0,101.0,10726.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,39.0,3648.0,3928.0,2179.0,1468.0,1631.0,569.0,184.0,13581.0,22.0,10.0,9.0,3.0,13.0,0.0,0.0,122.0,22.0,47.0,31.0,11.0,15.0,0.0,0.0,261.0,15.0,33.0,22.0,10.0,16.0,3.0,0.0,152.0,452.0,643.0,492.0,344.0,412.0,57.0,11.0,2605.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,32.0,573.0,821.0,625.0,406.0,541.0,108.0,30.0,3287.0,4220.0,4728.0,2782.0,1898.0,2138.0,790.0,246.0,16909.0,16909.0
Euroa,121.0,83.0,66.0,23.0,41.0,5.0,0.0,497.0,76.0,117.0,50.0,21.0,29.0,17.0,0.0,464.0,86.0,122.0,50.0,34.0,17.0,3.0,0.0,527.0,2013.0,2002.0,1222.0,855.0,1008.0,228.0,49.0,7575.0,6.0,9.0,2.0,3.0,0.0,0.0,0.0,26.0,2442.0,2485.0,1559.0,1026.0,1201.0,301.0,59.0,9203.0,9.0,7.0,0.0,0.0,0.0,4.0,0.0,67.0,12.0,21.0,4.0,20.0,15.0,0.0,0.0,153.0,6.0,9.0,3.0,7.0,6.0,0.0,0.0,47.0,358.0,532.0,390.0,223.0,335.0,48.0,6.0,2119.0,6.0,6.0,21.0,0.0,0.0,0.0,0.0,69.0,453.0,654.0,480.0,300.0,415.0,68.0,10.0,2611.0,2906.0,3212.0,1987.0,1367.0,1662.0,462.0,117.0,11777.0,11777.0
Evelyn,357.0,352.0,215.0,72.0,186.0,85.0,28.0,1531.0,246.0,219.0,67.0,66.0,101.0,44.0,14.0,1098.0,263.0,235.0,92.0,54.0,95.0,15.0,10.0,1005.0,3094.0,2796.0,1523.0,1010.0,1308.0,474.0,200.0,10546.0,8.0,5.0,4.0,0.0,0.0,0.0,0.0,20.0,4023.0,3798.0,2064.0,1400.0,1860.0,722.0,335.0,14259.0,4.0,17.0,0.0,3.0,21.0,7.0,0.0,130.0,14.0,41.0,16.0,10.0,15.0,0.0,6.0,214.0,4.0,18.0,6.0,3.0,6.0,0.0,0.0,142.0,185.0,393.0,283.0,177.0,292.0,109.0,35.0,1686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,246.0,532.0,368.0,285.0,424.0,154.0,53.0,2259.0,4331.0,4290.0,2500.0,1679.0,2244.0,954.0,454.0,16531.0,16531.0
Footscray,1089.0,856.0,466.0,274.0,344.0,243.0,90.0,3585.0,427.0,365.0,184.0,81.0,79.0,25.0,12.0,1393.0,527.0,362.0,136.0,58.0,62.0,12.0,21.0,1393.0,1562.0,1303.0,670.0,375.0,453.0,187.0,75.0,4894.0,0.0,5.0,4.0,5.0,0.0,0.0,0.0,42.0,3736.0,3068.0,1544.0,891.0,1088.0,629.0,283.0,11298.0,75.0,125.0,60.0,55.0,76.0,93.0,41.0,764.0,24.0,42.0,21.0,13.0,13.0,0.0,6.0,262.0,7.0,17.0,3.0,8.0,8.0,4.0,4.0,154.0,55.0,167.0,84.0,66.0,85.0,28.0,9.0,727.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,22.0,250.0,511.0,291.0,200.0,233.0,182.0,71.0,2007.0,4006.0,3561.0,1823.0,1163.0,1407.0,834.0,469.0,13360.0,13360.0
Frankston,360.0,399.0,247.0,144.0,190.0,101.0,39.0,1719.0,279.0,236.0,118.0,62.0,115.0,21.0,10.0,1098.0,256.0,274.0,123.0,54.0,92.0,14.0,8.0,1170.0,1929.0,1672.0,842.0,485.0,623.0,242.0,87.0,6097.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,20.0,2891.0,2733.0,1471.0,956.0,1203.0,516.0,179.0,10079.0,9.0,32.0,11.0,21.0,84.0,9.0,0.0,381.0,38.0,76.0,48.0,47.0,43.0,11.0,0.0,481.0,20.0,53.0,19.0,13.0,27.0,7.0,3.0,335.0,360.0,660.0,392.0,264.0,288.0,89.0,22.0,2371.0,0.0,20.0,4.0,3.0,0.0,0.0,0.0,67.0,563.0,952.0,638.0,476.0,603.0,193.0,57.0,3603.0,3535.0,3704.0,2136.0,1389.0,1803.0,786.0,267.0,13693.0,13693.0
Geelong,324.0,257.0,90.0,52.0,34.0,30.0,0.0,1045.0,192.0,230.0,90.0,64.0,65.0,23.0,8.0,911.0,248.0,220.0,94.0,46.0,57.0,12.0,3.0,879.0,2515.0,2523.0,1332.0,922.0,1114.0,383.0,118.0,9087.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,3390.0,3400.0,1795.0,1184.0,1388.0,510.0,176.0,11928.0,7.0,33.0,7.0,5.0,6.0,4.0,4.0,138.0,6.0,44.0,26.0,11.0,16.0,4.0,0.0,212.0,11.0,23.0,8.0,9.0,10.0,5.0,0.0,137.0,262.0,485.0,326.0,177.0,304.0,87.0,28.0,1967.0,9.0,22.0,5.0,4.0,0.0,0.0,0.0,45.0,397.0,684.0,446.0,314.0,442.0,132.0,45.0,2647.0,3762.0,4053.0,2268.0,1486.0,1885.0,766.0,285.0,14600.0,14600.0
Gippsland East,85.0,123.0,56.0,12.0,13.0,3.0,8.0,419.0,93.0,43.0,22.0,10.0,44.0,0.0,0.0,376.0,101.0,91.0,46.0,18.0,22.0,0.0,3.0,439.0,1884.0,1965.0,1246.0,795.0,953.0,169.0,7.0,7233.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,35.0,2277.0,2409.0,1524.0,945.0,1139.0,200.0,20.0,8590.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,33.0,14.0,28.0,7.0,7.0,4.0,0.0,0.0,141.0,0.0,18.0,9.0,3.0,6.0,0.0,6.0,81.0,364.0,566.0,373.0,266.0,316.0,15.0,0.0,2116.0,9.0,11.0,4.0,0.0,0.0,0.0,0.0,51.0,416.0,676.0,455.0,333.0,398.0,17.0,6.0,2525.0,2790.0,3170.0,1967.0,1322.0,1508.0,281.0,39.0,11096.0,11096.0
Gippsland South,91.0,114.0,62.0,21.0,51.0,4.0,0.0,486.0,92.0,173.0,84.0,22.0,51.0,0.0,0.0,573.0,143.0,127.0,65.0,25.0,39.0,0.0,0.0,579.0,2018.0,2308.0,1348.0,927.0,1145.0,292.0,51.0,8219.0,17.0,23.0,0.0,0.0,3.0,0.0,0.0,47.0,2518.0,2808.0,1730.0,1133.0,1405.0,326.0,67.0,9960.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,57.0,0.0,28.0,17.0,10.0,6.0,0.0,0.0,131.0,6.0,5.0,4.0,5.0,0.0,0.0,0.0,52.0,367.0,531.0,331.0,278.0,293.0,37.0,7.0,2027.0,0.0,12.0,3.0,0.0,8.0,0.0,0.0,39.0,410.0,664.0,382.0,348.0,343.0,54.0,10.0,2424.0,2942.0,3418.0,2180.0,1517.0,1770.0,416.0,84.0,12476.0,12476.0
Glen Waverley,2088.0,3128.0,1860.0,1190.0,1455.0,1030.0,717.0,11424.0,110.0,92.0,61.0,46.0,83.0,22.0,10.0,696.0,182.0,202.0,99.0,40.0,109.0,49.0,21.0,1025.0,409.0,660.0,518.0,377.0,657.0,434.0,170.0,3453.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,14.0,2925.0,4217.0,2688.0,1754.0,2408.0,1677.0,1044.0,16812.0,41.0,238.0,210.0,156.0,279.0,229.0,117.0,1632.0,15.0,6.0,4.0,28.0,10.0,0.0,4.0,157.0,3.0,14.0,0.0,0.0,16.0,0.0,0.0,117.0,18.0,67.0,55.0,65.0,85.0,43.0,8.0,599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,106.0,450.0,358.0,298.0,501.0,393.0,199.0,2661.0,3166.0,4753.0,3106.0,2092.0,3011.0,2072.0,1293.0,19436.0,19436.0
Greenvale,2042.0,2481.0,1538.0,1098.0,1465.0,1059.0,628.0,10429.0,513.0,532.0,283.0,117.0,229.0,98.0,58.0,2116.0,282.0,250.0,97.0,61.0,100.0,64.0,20.0,1142.0,1343.0,1080.0,619.0,417.0,530.0,303.0,103.0,4531.0,25.0,17.0,3.0,6.0,0.0,0.0,0.0,96.0,4340.0,4451.0,2703.0,1851.0,2398.0,1574.0,943.0,18355.0,146.0,293.0,224.0,132.0,241.0,156.0,73.0,1531.0,44.0,97.0,42.0,19.0,41.0,19.0,13.0,488.0,6.0,50.0,18.0,0.0,25.0,15.0,3.0,209.0,172.0,251.0,131.0,109.0,141.0,17.0,16.0,1100.0,6.0,10.0,0.0,3.0,3.0,0.0,0.0,51.0,534.0,800.0,516.0,380.0,532.0,300.0,170.0,3470.0,4905.0,5294.0,3259.0,2271.0,3007.0,1923.0,1198.0,21887.0,21887.0
Hastings,114.0,152.0,94.0,64.0,93.0,54.0,6.0,802.0,254.0,248.0,137.0,71.0,111.0,18.0,4.0,1066.0,253.0,185.0,90.0,83.0,78.0,33.0,7.0,942.0,2593.0,2426.0,1377.0,864.0,1078.0,329.0,121.0,8884.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,17.0,3308.0,3154.0,1824.0,1191.0,1483.0,535.0,212.0,11764.0,22.0,29.0,18.0,3.0,21.0,0.0,0.0,172.0,19.0,32.0,23.0,13.0,26.0,6.0,0.0,268.0,8.0,21.0,19.0,18.0,23.0,5.0,0.0,183.0,350.0,611.0,327.0,264.0,326.0,59.0,9.0,2236.0,6.0,4.0,0.0,9.0,3.0,0.0,0.0,43.0,475.0,759.0,463.0,388.0,491.0,145.0,15.0,2955.0,3813.0,3941.0,2316.0,1606.0,1941.0,727.0,284.0,14675.0,14675.0
Hawthorn,743.0,940.0,452.0,266.0,338.0,209.0,120.0,3299.0,190.0,272.0,148.0,61.0,161.0,97.0,62.0,1348.0,238.0,315.0,193.0,112.0,153.0,107.0,28.0,1483.0,1193.0,1322.0,1050.0,789.0,1217.0,935.0,425.0,6922.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,21.0,2464.0,2917.0,1927.0,1434.0,1988.0,1479.0,793.0,13094.0,16.0,103.0,39.0,27.0,70.0,33.0,26.0,572.0,14.0,10.0,25.0,6.0,3.0,15.0,9.0,217.0,7.0,11.0,6.0,6.0,11.0,12.0,0.0,178.0,32.0,67.0,63.0,62.0,80.0,71.0,32.0,726.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,21.0,128.0,303.0,250.0,188.0,316.0,212.0,135.0,1795.0,2601.0,3267.0,2226.0,1656.0,2354.0,1694.0,919.0,14876.0,14876.0
