district,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot,P_Tot_Tot_total
Gippsland South,0.0,0.0,0.0,0.0,1847.0,1848.0,6.0,0.0,0.0,0.0,1472.0,1522.0,873.0,39.0,16.0,0.0,2440.0,3435.0,1947.0,91.0,174.0,0.0,1262.0,3600.0,2223.0,142.0,369.0,17.0,1029.0,4037.0,2966.0,206.0,811.0,49.0,783.0,4897.0,3203.0,174.0,811.0,182.0,402.0,4927.0,1637.0,38.0,220.0,201.0,101.0,2345.0,302.0,0.0,16.0,210.0,9.0,637.0,13294.0,1023.0,2658.0,900.0,9400.0,27267.0,0.0,0.0,0.0,0.0,1775.0,1775.0,14.0,0.0,0.0,0.0,1231.0,1272.0,1087.0,36.0,25.0,0.0,1912.0,3248.0,1973.0,153.0,254.0,7.0,1078.0,3543.0,2438.0,219.0,606.0,49.0,909.0,4356.0,3120.0,221.0,996.0,210.0,611.0,5264.0,2989.0,95.0,808.0,532.0,164.0,4844.0,1132.0,4.0,204.0,882.0,17.0,2423.0,108.0,3.0,33.0,685.0,3.0,942.0,13026.0,1004.0,3065.0,2640.0,7884.0,27628.0,0.0,4.0,0.0,0.0,3551.0,3559.0,48.0,0.0,0.0,0.0,2759.0,2831.0,1974.0,79.0,68.0,0.0,4398.0,6638.0,3950.0,287.0,486.0,11.0,2321.0,7206.0,4722.0,484.0,1053.0,75.0,1962.0,8309.0,6075.0,459.0,1797.0,338.0,1381.0,10184.0,6184.0,350.0,1652.0,882.0,623.0,9711.0,2777.0,76.0,509.0,1147.0,137.0,4768.0,517.0,7.0,66.0,947.0,17.0,1598.0,26345.0,2057.0,5767.0,3551.0,17291.0,54865.0,54865.0
Glen Waverley,0.0,0.0,0.0,0.0,2761.0,2765.0,14.0,0.0,0.0,0.0,2937.0,2970.0,1303.0,0.0,27.0,0.0,3157.0,4535.0,3920.0,36.0,137.0,0.0,891.0,5074.0,4091.0,97.0,250.0,4.0,646.0,5294.0,3773.0,64.0,303.0,5.0,366.0,4664.0,3176.0,43.0,201.0,88.0,146.0,3951.0,2367.0,7.0,97.0,213.0,19.0,2929.0,725.0,5.0,16.0,234.0,13.0,1138.0,19408.0,530.0,1376.0,756.0,11154.0,33271.0,0.0,0.0,0.0,0.0,2540.0,2536.0,27.0,0.0,0.0,0.0,2380.0,2425.0,1729.0,13.0,24.0,0.0,2257.0,4223.0,4589.0,98.0,221.0,0.0,761.0,5808.0,4443.0,198.0,517.0,19.0,574.0,5889.0,3746.0,78.0,579.0,117.0,255.0,5000.0,3220.0,56.0,523.0,514.0,107.0,4657.0,1873.0,27.0,179.0,1179.0,36.0,3463.0,295.0,0.0,46.0,1097.0,53.0,1635.0,20017.0,769.0,2495.0,3077.0,9308.0,35632.0,0.0,0.0,0.0,0.0,5329.0,5325.0,59.0,0.0,0.0,0.0,5309.0,5397.0,2985.0,21.0,93.0,0.0,5498.0,8733.0,8439.0,188.0,430.0,3.0,1669.0,10880.0,8547.0,390.0,820.0,46.0,1218.0,11180.0,7486.0,212.0,932.0,129.0,684.0,9605.0,6426.0,129.0,831.0,668.0,331.0,8541.0,4272.0,77.0,400.0,1363.0,113.0,6340.0,1093.0,15.0,90.0,1457.0,66.0,2802.0,39368.0,1269.0,3881.0,3906.0,20461.0,68921.0,68921.0
Greenvale,0.0,0.0,0.0,0.0,2901.0,2927.0,30.0,0.0,0.0,0.0,2914.0,3003.0,1833.0,77.0,19.0,0.0,3498.0,5511.0,3503.0,174.0,175.0,0.0,970.0,4961.0,3597.0,174.0,361.0,0.0,538.0,4833.0,3545.0,151.0,396.0,25.0,301.0,4660.0,1931.0,49.0,183.0,54.0,52.0,2485.0,833.0,11.0,46.0,51.0,9.0,1075.0,75.0,0.0,0.0,57.0,7.0,174.0,15484.0,947.0,1483.0,319.0,11254.0,29671.0,0.0,0.0,0.0,0.0,2835.0,2852.0,200.0,3.0,0.0,0.0,2701.0,2953.0,2712.0,125.0,106.0,0.0,2458.0,5532.0,3784.0,290.0,342.0,13.0,780.0,5356.0,3753.0,310.0,659.0,46.0,539.0,5429.0,3074.0,198.0,591.0,236.0,258.0,4539.0,1576.0,55.0,291.0,502.0,64.0,2614.0,408.0,6.0,45.0,545.0,5.0,1080.0,30.0,0.0,0.0,190.0,0.0,258.0,15614.0,1267.0,2262.0,1767.0,9752.0,30656.0,4.0,0.0,0.0,0.0,5628.0,5636.0,276.0,3.0,0.0,0.0,5666.0,5970.0,4569.0,212.0,181.0,0.0,5896.0,10995.0,7287.0,508.0,598.0,19.0,1832.0,10277.0,7373.0,550.0,1138.0,62.0,1090.0,10286.0,6601.0,480.0,1002.0,314.0,604.0,9108.0,3511.0,167.0,550.0,621.0,155.0,5120.0,1268.0,26.0,129.0,621.0,20.0,2201.0,151.0,0.0,0.0,263.0,7.0,518.0,31226.0,2243.0,3770.0,2167.0,20937.0,60324.0,60324.0
Hastings,0.0,0.0,0.0,0.0,2221.0,2218.0,0.0,4.0,0.0,0.0,2065.0,2093.0,1030.0,21.0,10.0,0.0,2947.0,4083.0,2221.0,98.0,159.0,0.0,1351.0,4016.0,2420.0,163.0,426.0,3.0,949.0,4039.0,2523.0,199.0,714.0,44.0,510.0,4114.0,2376.0,92.0,538.0,107.0,177.0,3421.0,1338.0,17.0,126.0,173.0,15.0,1848.0,304.0,6.0,19.0,126.0,3.0,506.0,12317.0,783.0,2139.0,687.0,10312.0,26358.0,0.0,0.0,0.0,0.0,1957.0,1958.0,13.0,0.0,0.0,0.0,1676.0,1709.0,1395.0,51.0,48.0,0.0,2647.0,4242.0,2471.0,156.0,316.0,4.0,1233.0,4302.0,2513.0,241.0,782.0,23.0,878.0,4585.0,2661.0,216.0,974.0,183.0,442.0,4609.0,2123.0,90.0,812.0,489.0,110.0,3781.0,1021.0,29.0,313.0,725.0,9.0,2096.0,157.0,0.0,18.0,473.0,9.0,733.0,12378.0,1031.0,3471.0,2084.0,9032.0,28006.0,0.0,0.0,0.0,0.0,4133.0,4128.0,29.0,4.0,0.0,0.0,3728.0,3799.0,2383.0,98.0,72.0,0.0,5632.0,8240.0,4695.0,316.0,546.0,7.0,2582.0,8325.0,4926.0,536.0,1296.0,38.0,1803.0,8612.0,5267.0,486.0,1707.0,272.0,972.0,8710.0,4508.0,237.0,1392.0,654.0,340.0,7218.0,2300.0,58.0,490.0,929.0,42.0,3991.0,461.0,6.0,48.0,655.0,21.0,1285.0,24656.0,1874.0,5641.0,2705.0,19392.0,54234.0,54234.0
Hawthorn,0.0,0.0,0.0,0.0,2299.0,2300.0,4.0,0.0,0.0,0.0,2775.0,2782.0,985.0,23.0,18.0,0.0,4446.0,5567.0,2584.0,56.0,158.0,0.0,1341.0,4321.0,3081.0,93.0,299.0,0.0,719.0,4323.0,2766.0,32.0,327.0,13.0,438.0,3764.0,2287.0,38.0,221.0,23.0,229.0,2969.0,1331.0,4.0,113.0,76.0,48.0,1771.0,363.0,0.0,12.0,134.0,19.0,706.0,13510.0,420.0,1457.0,459.0,12463.0,28406.0,0.0,0.0,0.0,0.0,2306.0,2306.0,28.0,0.0,0.0,0.0,2860.0,2900.0,1277.0,17.0,51.0,0.0,4412.0,5847.0,2859.0,57.0,271.0,0.0,1461.0,4759.0,3403.0,148.0,446.0,16.0,783.0,4953.0,2748.0,84.0,616.0,70.0,537.0,4170.0,2147.0,67.0,570.0,298.0,323.0,3550.0,1017.0,9.0,262.0,657.0,157.0,2232.0,142.0,0.0,69.0,831.0,102.0,1270.0,13829.0,635.0,2509.0,2136.0,13022.0,31985.0,0.0,0.0,0.0,0.0,4581.0,4583.0,54.0,0.0,0.0,0.0,5631.0,5708.0,2260.0,52.0,91.0,0.0,8842.0,11248.0,5427.0,164.0,473.0,0.0,2845.0,9035.0,6545.0,281.0,760.0,22.0,1495.0,9283.0,5577.0,205.0,1008.0,144.0,976.0,7960.0,4418.0,146.0,834.0,363.0,579.0,6497.0,2388.0,22.0,423.0,818.0,268.0,4053.0,620.0,0.0,70.0,1046.0,163.0,2013.0,27330.0,1142.0,3846.0,2556.0,25481.0,60451.0,60451.0
Ivanhoe,0.0,0.0,0.0,0.0,1862.0,1862.0,0.0,0.0,0.0,0.0,1958.0,1975.0,1033.0,8.0,18.0,0.0,3420.0,4525.0,2903.0,73.0,176.0,0.0,1443.0,4661.0,2745.0,111.0,322.0,4.0,917.0,4215.0,2365.0,123.0,473.0,19.0,711.0,3772.0,1889.0,45.0,313.0,73.0,278.0,2887.0,1239.0,4.0,104.0,130.0,64.0,1683.0,424.0,0.0,17.0,169.0,16.0,740.0,12607.0,627.0,1659.0,622.0,10817.0,26340.0,0.0,3.0,0.0,0.0,1727.0,1729.0,18.0,0.0,0.0,0.0,1989.0,1996.0,1440.0,39.0,32.0,0.0,3104.0,4722.0,3078.0,123.0,214.0,4.0,1345.0,4858.0,2803.0,174.0,627.0,7.0,883.0,4496.0,2384.0,142.0,685.0,105.0,648.0,4102.0,1743.0,88.0,560.0,405.0,260.0,3234.0,938.0,7.0,230.0,705.0,76.0,2079.0,204.0,3.0,23.0,797.0,16.0,1257.0,12728.0,763.0,2569.0,2283.0,10094.0,28453.0,0.0,3.0,0.0,0.0,3631.0,3633.0,27.0,0.0,0.0,0.0,3906.0,3945.0,2506.0,52.0,94.0,0.0,6490.0,9252.0,5957.0,270.0,444.0,4.0,2820.0,9482.0,5487.0,340.0,965.0,21.0,1836.0,8768.0,4777.0,322.0,1213.0,167.0,1324.0,7909.0,3689.0,178.0,946.0,513.0,625.0,6097.0,2121.0,40.0,391.0,880.0,186.0,3685.0,661.0,3.0,58.0,1118.0,29.0,1991.0,25313.0,1456.0,4181.0,2888.0,20934.0,54830.0,54830.0
Kalkallo,0.0,0.0,0.0,0.0,2787.0,2797.0,52.0,0.0,0.0,0.0,3073.0,3151.0,4143.0,62.0,94.0,0.0,4297.0,8661.0,7121.0,170.0,284.0,3.0,1253.0,9087.0,3509.0,181.0,382.0,7.0,624.0,4878.0,2518.0,107.0,354.0,51.0,262.0,3486.0,1487.0,35.0,138.0,38.0,50.0,1956.0,459.0,6.0,30.0,59.0,4.0,650.0,39.0,0.0,0.0,17.0,0.0,106.0,19475.0,919.0,1626.0,301.0,12344.0,34754.0,0.0,0.0,0.0,0.0,2651.0,2657.0,297.0,0.0,0.0,0.0,2411.0,2820.0,5945.0,171.0,135.0,0.0,3267.0,9708.0,6464.0,315.0,425.0,14.0,1143.0,8565.0,2988.0,285.0,690.0,56.0,534.0,4808.0,2177.0,135.0,562.0,258.0,180.0,3627.0,1175.0,36.0,224.0,417.0,20.0,2051.0,212.0,0.0,31.0,307.0,0.0,744.0,8.0,0.0,0.0,128.0,0.0,181.0,19617.0,1210.0,2367.0,1464.0,10475.0,35111.0,4.0,0.0,0.0,0.0,5346.0,5350.0,434.0,5.0,0.0,0.0,5491.0,5972.0,10087.0,306.0,318.0,0.0,7503.0,18391.0,13538.0,647.0,779.0,15.0,2472.0,17627.0,6568.0,549.0,1111.0,69.0,1174.0,9591.0,4693.0,356.0,999.0,355.0,542.0,7055.0,2696.0,123.0,434.0,537.0,94.0,4036.0,765.0,10.0,80.0,416.0,4.0,1419.0,76.0,0.0,4.0,186.0,0.0,328.0,39112.0,2238.0,3984.0,1831.0,22836.0,69989.0,69989.0
Kew,0.0,0.0,0.0,0.0,2933.0,2935.0,7.0,3.0,0.0,0.0,2669.0,2676.0,771.0,0.0,15.0,0.0,2987.0,3889.0,2695.0,33.0,91.0,4.0,876.0,3785.0,3872.0,124.0,251.0,6.0,597.0,4988.0,3585.0,87.0,362.0,14.0,493.0,4682.0,2718.0,33.0,172.0,41.0,254.0,3422.0,1558.0,15.0,81.0,99.0,76.0,2024.0,511.0,0.0,14.0,244.0,15.0,898.0,15790.0,491.0,1217.0,617.0,11050.0,29330.0,0.0,0.0,0.0,0.0,2715.0,2715.0,3.0,0.0,0.0,0.0,2411.0,2460.0,1148.0,9.0,16.0,0.0,2585.0,3851.0,3327.0,61.0,210.0,6.0,867.0,4649.0,4381.0,198.0,549.0,13.0,552.0,5877.0,3559.0,75.0,690.0,84.0,443.0,5032.0,2557.0,46.0,465.0,348.0,213.0,3898.0,1228.0,15.0,212.0,875.0,152.0,2570.0,241.0,0.0,55.0,1072.0,84.0,1567.0,16601.0,652.0,2426.0,2565.0,10292.0,32561.0,0.0,0.0,0.0,0.0,5681.0,5684.0,22.0,3.0,0.0,0.0,5049.0,5062.0,1914.0,21.0,45.0,0.0,5599.0,7682.0,6086.0,133.0,380.0,10.0,1827.0,8446.0,8270.0,358.0,831.0,25.0,1213.0,10878.0,7171.0,224.0,1078.0,106.0,967.0,9684.0,5271.0,104.0,692.0,485.0,546.0,7235.0,2771.0,48.0,344.0,1010.0,289.0,4611.0,798.0,0.0,69.0,1312.0,106.0,2443.0,32428.0,1235.0,3640.0,3183.0,21350.0,61823.0,61823.0
Kororoit,6.0,0.0,0.0,0.0,2749.0,2763.0,70.0,0.0,0.0,0.0,2851.0,2948.0,2511.0,48.0,71.0,0.0,4269.0,7044.0,5401.0,173.0,358.0,0.0,1726.0,7771.0,3741.0,192.0,402.0,8.0,847.0,5514.0,2573.0,148.0,470.0,19.0,395.0,3841.0,2075.0,80.0,212.0,125.0,63.0,2776.0,858.0,15.0,36.0,121.0,9.0,1240.0,89.0,0.0,3.0,81.0,5.0,222.0,17614.0,1082.0,1865.0,449.0,13053.0,34254.0,0.0,0.0,0.0,0.0,2605.0,2619.0,94.0,0.0,0.0,0.0,2266.0,2457.0,3453.0,85.0,134.0,9.0,2859.0,6732.0,5331.0,275.0,429.0,11.0,1243.0,7456.0,3361.0,296.0,815.0,46.0,803.0,5474.0,2365.0,172.0,700.0,238.0,240.0,3876.0,1773.0,68.0,420.0,584.0,51.0,3085.0,489.0,3.0,54.0,546.0,3.0,1267.0,36.0,0.0,5.0,210.0,11.0,302.0,17078.0,1288.0,2833.0,1919.0,10283.0,33258.0,9.0,0.0,0.0,0.0,5342.0,5381.0,221.0,4.0,0.0,0.0,5152.0,5518.0,5988.0,203.0,274.0,6.0,7047.0,13707.0,10678.0,565.0,872.0,12.0,3023.0,15298.0,7174.0,609.0,1299.0,81.0,1766.0,11095.0,4962.0,431.0,1167.0,278.0,684.0,7681.0,3937.0,210.0,702.0,766.0,168.0,5938.0,1409.0,30.0,167.0,711.0,26.0,2490.0,165.0,0.0,15.0,309.0,15.0,583.0,34672.0,2351.0,4748.0,2441.0,23354.0,67602.0,67602.0
Lara,3.0,0.0,0.0,0.0,2175.0,2193.0,48.0,0.0,0.0,0.0,2266.0,2342.0,1537.0,35.0,37.0,5.0,3889.0,5594.0,2235.0,131.0,168.0,3.0,1689.0,4440.0,2273.0,213.0,523.0,7.0,1341.0,4437.0,2291.0,205.0,653.0,45.0,727.0,4048.0,2117.0,89.0,459.0,117.0,218.0,3212.0,1135.0,32.0,159.0,199.0,65.0,1746.0,252.0,7.0,8.0,239.0,4.0,635.0,12100.0,1003.0,2233.0,803.0,12502.0,28796.0,0.0,0.0,0.0,0.0,2077.0,2080.0,73.0,0.0,0.0,0.0,2036.0,2157.0,1767.0,97.0,37.0,3.0,3128.0,5187.0,2277.0,197.0,285.0,47.0,1535.0,4461.0,2234.0,232.0,686.0,90.0,1066.0,4516.0,2197.0,210.0,890.0,257.0,442.0,4146.0,1991.0,87.0,660.0,626.0,114.0,3670.0,834.0,15.0,195.0,878.0,6.0,2107.0,110.0,0.0,21.0,718.0,3.0,953.0,11648.0,1121.0,2982.0,2785.0,10605.0,29232.0,7.0,0.0,0.0,0.0,4266.0,4298.0,157.0,0.0,0.0,0.0,4298.0,4494.0,3345.0,166.0,92.0,8.0,7024.0,10753.0,4493.0,414.0,532.0,55.0,3256.0,8896.0,4554.0,532.0,1228.0,117.0,2363.0,8914.0,4573.0,503.0,1558.0,345.0,1273.0,8142.0,4156.0,288.0,1225.0,800.0,450.0,6936.0,1941.0,72.0,439.0,1170.0,96.0,3926.0,455.0,9.0,28.0,1039.0,8.0,1635.0,23769.0,2211.0,5291.0,3641.0,23150.0,58036.0,58036.0
Laverton,0.0,0.0,0.0,0.0,2171.0,2183.0,117.0,4.0,0.0,0.0,3548.0,3677.0,3828.0,105.0,126.0,7.0,6321.0,10439.0,6802.0,194.0,373.0,13.0,2075.0,9569.0,2887.0,193.0,467.0,7.0,1158.0,4889.0,1908.0,156.0,547.0,7.0,625.0,3474.0,1636.0,71.0,322.0,53.0,178.0,2416.0,789.0,22.0,52.0,104.0,60.0,1214.0,175.0,3.0,0.0,96.0,5.0,352.0,18375.0,1071.0,2160.0,462.0,16182.0,38307.0,0.0,0.0,0.0,0.0,2133.0,2143.0,343.0,3.0,0.0,0.0,2271.0,2753.0,5198.0,131.0,175.0,0.0,3590.0,9291.0,5787.0,280.0,505.0,8.0,1421.0,8178.0,2448.0,267.0,703.0,43.0,811.0,4493.0,1824.0,158.0,703.0,282.0,431.0,3568.0,1387.0,93.0,401.0,514.0,145.0,2782.0,553.0,17.0,78.0,680.0,34.0,1440.0,82.0,0.0,3.0,494.0,5.0,626.0,17693.0,1214.0,2859.0,2296.0,11070.0,35212.0,0.0,0.0,0.0,0.0,4286.0,4305.0,520.0,12.0,0.0,0.0,5891.0,6469.0,9071.0,260.0,410.0,11.0,9894.0,19722.0,12551.0,571.0,946.0,24.0,3451.0,17777.0,5405.0,555.0,1229.0,57.0,2043.0,9426.0,3779.0,444.0,1235.0,319.0,1069.0,7023.0,3028.0,187.0,732.0,605.0,406.0,5183.0,1382.0,50.0,195.0,819.0,100.0,2663.0,335.0,5.0,12.0,624.0,11.0,1020.0,36088.0,2325.0,5019.0,2806.0,27277.0,73503.0,73503.0
Lowan,0.0,0.0,0.0,5.0,1946.0,1951.0,22.0,0.0,0.0,5.0,1671.0,1692.0,1057.0,32.0,10.0,0.0,2536.0,3727.0,1814.0,84.0,142.0,3.0,1132.0,3390.0,2290.0,136.0,374.0,6.0,892.0,3966.0,3144.0,166.0,818.0,26.0,878.0,5166.0,3104.0,156.0,695.0,164.0,395.0,4704.0,1726.0,17.0,233.0,252.0,103.0,2584.0,389.0,3.0,3.0,216.0,30.0,833.0,13696.0,971.0,2477.0,981.0,9780.0,27986.0,0.0,0.0,0.0,0.0,1730.0,1729.0,36.0,7.0,0.0,0.0,1442.0,1510.0,1295.0,47.0,31.0,0.0,2160.0,3669.0,2105.0,131.0,160.0,7.0,1003.0,3586.0,2515.0,194.0,555.0,38.0,825.0,4280.0,3271.0,188.0,892.0,200.0,525.0,5201.0,2825.0,84.0,674.0,593.0,185.0,4647.0,1350.0,30.0,199.0,1158.0,53.0,2928.0,204.0,5.0,25.0,1029.0,15.0,1405.0,13658.0,974.0,2748.0,3365.0,8150.0,28951.0,0.0,0.0,0.0,5.0,3632.0,3636.0,60.0,7.0,0.0,5.0,3141.0,3234.0,2400.0,144.0,69.0,0.0,4663.0,7332.0,3988.0,265.0,388.0,15.0,2139.0,6887.0,4883.0,431.0,1001.0,57.0,1765.0,8238.0,6381.0,455.0,1651.0,300.0,1399.0,10320.0,5922.0,303.0,1349.0,847.0,638.0,9261.0,3107.0,63.0,484.0,1515.0,196.0,5448.0,711.0,8.0,44.0,1409.0,65.0,2348.0,27405.0,1972.0,5240.0,4333.0,17942.0,56944.0,56944.0
Macedon,0.0,0.0,0.0,0.0,2028.0,2028.0,4.0,0.0,0.0,0.0,1321.0,1337.0,705.0,10.0,8.0,0.0,1900.0,2634.0,2377.0,58.0,101.0,0.0,1148.0,3772.0,2954.0,136.0,421.0,14.0,1089.0,4715.0,3017.0,143.0,585.0,33.0,712.0,4638.0,2732.0,127.0,589.0,122.0,353.0,4029.0,1419.0,24.0,167.0,174.0,77.0,2053.0,206.0,0.0,10.0,135.0,10.0,464.0,13454.0,704.0,2136.0,667.0,8631.0,25644.0,0.0,0.0,0.0,0.0,1812.0,1815.0,5.0,0.0,0.0,0.0,1121.0,1153.0,945.0,26.0,14.0,0.0,1672.0,2756.0,2699.0,84.0,213.0,0.0,1187.0,4261.0,3122.0,211.0,704.0,49.0,1002.0,5110.0,2964.0,160.0,835.0,116.0,626.0,4784.0,2536.0,88.0,673.0,428.0,261.0,4170.0,956.0,6.0,177.0,630.0,60.0,1926.0,99.0,0.0,27.0,470.0,7.0,692.0,13457.0,838.0,2843.0,1777.0,7863.0,26749.0,0.0,0.0,0.0,0.0,3813.0,3815.0,16.0,5.0,0.0,0.0,2436.0,2503.0,1720.0,69.0,50.0,0.0,3537.0,5437.0,5002.0,227.0,379.0,0.0,2336.0,8100.0,6138.0,402.0,1145.0,69.0,2018.0,9900.0,6009.0,365.0,1480.0,202.0,1385.0,9423.0,5264.0,282.0,1266.0,630.0,652.0,8156.0,2381.0,47.0,449.0,822.0,158.0,3943.0,334.0,3.0,46.0,646.0,32.0,1121.0,26961.0,1543.0,4899.0,2434.0,16508.0,52421.0,52421.0
Malvern,0.0,0.0,0.0,0.0,1747.0,1754.0,0.0,0.0,0.0,0.0,2192.0,2218.0,846.0,0.0,13.0,0.0,3885.0,4839.0,2300.0,41.0,119.0,0.0,1315.0,3868.0,2766.0,73.0,249.0,0.0,744.0,4000.0,2466.0,39.0,347.0,35.0,396.0,3386.0,2053.0,34.0,306.0,77.0,258.0,2891.0,1463.0,33.0,121.0,153.0,152.0,2039.0,451.0,3.0,18.0,147.0,6.0,764.0,12360.0,408.0,1474.0,563.0,10814.0,25685.0,0.0,0.0,0.0,0.0,1860.0,1868.0,13.0,0.0,0.0,0.0,2406.0,2411.0,1191.0,7.0,32.0,0.0,3751.0,5105.0,2501.0,74.0,198.0,4.0,1276.0,4221.0,2941.0,123.0,567.0,12.0,785.0,4565.0,2489.0,72.0,644.0,89.0,483.0,3975.0,2064.0,30.0,665.0,329.0,305.0,3552.0,1118.0,10.0,259.0,772.0,113.0,2432.0,173.0,0.0,39.0,845.0,42.0,1301.0,12643.0,628.0,2569.0,2245.0,11284.0,29428.0,0.0,0.0,0.0,0.0,3567.0,3561.0,36.0,0.0,0.0,0.0,4589.0,4646.0,2086.0,22.0,67.0,0.0,7681.0,9943.0,4807.0,182.0,413.0,7.0,2628.0,8093.0,5685.0,277.0,851.0,16.0,1609.0,8517.0,4958.0,198.0,1062.0,136.0,993.0,7341.0,4176.0,137.0,1034.0,502.0,624.0,6513.0,2604.0,49.0,464.0,961.0,273.0,4466.0,669.0,8.0,80.0,1116.0,59.0,2040.0,25063.0,1090.0,4070.0,2850.0,22069.0,55060.0,55060.0
