district,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_F_pc,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_NdCh_P_pc,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_F_pc,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_P_pc,CF_ChU15_a_Total_F,CF_ChU15_a_Total_F_pc,CF_ChU15_a_Total_P,CF_ChU15_a_Total_P_pc,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_F_pc,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_P_pc,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_F_pc,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_P_pc,CF_Total_F,CF_Total_F_pc,CF_Total_P,CF_Total_P_pc,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_F_pc,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_NdCh_P_pc,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_F_pc,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_P_pc,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_F_pc,CF_no_ChU15_a_Total_P,CF_no_ChU15_a_Total_P_pc,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_F_pc,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_P_pc,CF_no_children_F,CF_no_children_F_pc,CF_no_children_P,CF_no_children_P_pc,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_F_pc,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_NdCh_P_pc,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_F_pc,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_P_pc,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_F_pc,OPF_ChU15_a_Total_P,OPF_ChU15_a_Total_P_pc,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_F_pc,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_P_pc,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_F_pc,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_P_pc,OPF_Total_F,OPF_Total_F_pc,OPF_Total_P,OPF_Total_P_pc,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_F_pc,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_a_NdCh_P_pc,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_F_pc,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_P_pc,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_F_pc,OPF_no_ChU15_a_Total_P,OPF_no_ChU15_a_Total_P_pc,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_F_pc,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_P_pc,Other_family_F,Other_family_F_pc,Other_family_P,Other_family_P_pc,Total_F,Total_F_pc,Total_P,Total_P_pc,Total_P_total
Evelyn,70.0,72.0,68.0,67.0,47.0,42.0,52.0,46.0,59.0,61.0,61.0,64.0,66.0,67.0,71.0,71.0,58.0,55.0,58.0,60.0,56.0,66.0,58.0,65.0,71.0,74.0,71.0,76.0,45.0,45.0,44.0,44.0,66.0,66.0,66.0,67.0,73.0,76.0,74.0,78.0,40.0,33.0,42.0,33.0,45.0,34.0,35.0,27.0,29.0,20.0,30.0,18.0,27.0,17.0,31.0,29.0,44.0,44.0,45.0,42.0,22.0,15.0,31.0,24.0,36.0,22.0,34.0,24.0,56.0,61.0,61.0,68.0,15.0,14.0,16.0,11.0,43.0,32.0,43.0,36.0,41.0,35.0,48.0,47.0,19.0,17.0,16.0,11.0,51.0,26.0,54.0,28.0,54.0
Footscray,12.0,11.0,10.0,9.0,10.0,7.0,9.0,7.0,45.0,68.0,34.0,51.0,15.0,16.0,12.0,12.0,56.0,73.0,52.0,72.0,28.0,34.0,26.0,29.0,12.0,10.0,21.0,20.0,43.0,51.0,39.0,49.0,12.0,11.0,17.0,17.0,8.0,8.0,10.0,10.0,53.0,61.0,55.0,63.0,7.0,9.0,12.0,16.0,12.0,13.0,5.0,5.0,20.0,33.0,22.0,33.0,31.0,33.0,33.0,34.0,35.0,48.0,28.0,38.0,33.0,51.0,26.0,39.0,21.0,23.0,34.0,40.0,54.0,60.0,44.0,59.0,41.0,60.0,41.0,58.0,49.0,66.0,43.0,61.0,82.0,82.0,80.0,82.0,35.0,75.0,25.0,29.0,25.0
Frankston,19.0,19.0,20.0,22.0,13.0,15.0,11.0,12.0,20.0,23.0,15.0,17.0,33.0,35.0,31.0,35.0,23.0,30.0,21.0,25.0,17.0,18.0,15.0,16.0,21.0,24.0,23.0,28.0,27.0,37.0,26.0,37.0,19.0,32.0,19.0,31.0,21.0,34.0,23.0,36.0,23.0,46.0,21.0,46.0,68.0,71.0,68.0,73.0,83.0,86.0,72.0,86.0,81.0,86.0,71.0,84.0,73.0,79.0,73.0,82.0,81.0,86.0,78.0,84.0,84.0,88.0,79.0,87.0,64.0,77.0,67.0,84.0,69.0,73.0,70.0,75.0,82.0,87.0,78.0,87.0,81.0,87.0,77.0,85.0,58.0,68.0,44.0,60.0,15.0,64.0,16.0,30.0,16.0
Geelong,39.0,40.0,37.0,43.0,23.0,19.0,28.0,31.0,36.0,44.0,36.0,45.0,27.0,29.0,23.0,25.0,41.0,60.0,40.0,57.0,27.0,28.0,28.0,27.0,24.0,28.0,22.0,21.0,37.0,47.0,36.0,43.0,23.0,27.0,23.0,27.0,23.0,32.0,20.0,26.0,56.0,59.0,56.0,59.0,8.0,10.0,33.0,33.0,35.0,40.0,16.0,25.0,55.0,63.0,46.0,54.0,65.0,73.0,46.0,52.0,59.0,68.0,53.0,61.0,46.0,65.0,44.0,56.0,45.0,55.0,44.0,52.0,36.0,51.0,38.0,50.0,50.0,67.0,46.0,64.0,58.0,70.0,51.0,65.0,54.0,61.0,42.0,54.0,36.0,62.0,33.0,31.0,33.0
Gippsland East,55.0,64.0,40.0,54.0,5.0,5.0,7.0,8.0,4.0,4.0,7.0,6.0,60.0,78.0,56.0,82.0,4.0,2.0,4.0,4.0,7.0,6.0,7.0,6.0,7.0,7.0,6.0,5.0,1.0,3.0,1.0,1.0,6.0,14.0,6.0,11.0,19.0,39.0,18.0,42.0,84.0,82.0,84.0,82.0,39.0,35.0,28.0,36.0,17.0,32.0,23.0,50.0,45.0,70.0,48.0,68.0,34.0,38.0,56.0,74.0,49.0,71.0,49.0,73.0,18.0,56.0,21.0,53.0,12.0,13.0,7.0,8.0,2.0,4.0,1.0,2.0,8.0,18.0,9.0,22.0,20.0,45.0,18.0,45.0,21.0,39.0,17.0,34.0,10.0,82.0,8.0,32.0,8.0
Gippsland South,47.0,53.0,43.0,55.0,21.0,38.0,16.0,24.0,12.0,8.0,12.0,13.0,53.0,58.0,49.0,59.0,7.0,7.0,12.0,11.0,11.0,11.0,11.0,14.0,16.0,20.0,16.0,18.0,20.0,33.0,15.0,23.0,17.0,36.0,14.0,25.0,25.0,45.0,22.0,40.0,78.0,79.0,78.0,80.0,61.0,56.0,32.0,37.0,14.0,21.0,26.0,45.0,42.0,60.0,40.0,59.0,75.0,82.0,57.0,75.0,43.0,63.0,46.0,64.0,19.0,52.0,18.0,43.0,11.0,11.0,12.0,11.0,9.0,15.0,4.0,6.0,14.0,25.0,11.0,15.0,17.0,36.0,16.0,30.0,16.0,25.0,14.0,23.0,13.0,79.0,12.0,33.0,12.0
Glen Waverley,14.0,12.0,21.0,14.0,79.0,79.0,78.0,77.0,70.0,42.0,66.0,34.0,22.0,20.0,22.0,20.0,68.0,42.0,67.0,36.0,79.0,74.0,78.0,68.0,81.0,76.0,82.0,78.0,87.0,83.0,87.0,83.0,86.0,86.0,85.0,85.0,83.0,77.0,81.0,73.0,65.0,29.0,65.0,29.0,36.0,36.0,38.0,25.0,45.0,22.0,60.0,33.0,25.0,3.0,28.0,10.0,22.0,20.0,23.0,22.0,18.0,3.0,22.0,3.0,51.0,16.0,50.0,20.0,76.0,66.0,74.0,67.0,86.0,83.0,86.0,84.0,70.0,54.0,73.0,52.0,52.0,26.0,57.0,25.0,53.0,41.0,46.0,31.0,81.0,28.0,78.0,34.0,78.0
Greenvale,87.0,88.0,87.0,88.0,82.0,83.0,87.0,86.0,71.0,48.0,75.0,72.0,84.0,85.0,85.0,87.0,57.0,15.0,63.0,28.0,78.0,70.0,79.0,83.0,88.0,88.0,88.0,88.0,56.0,46.0,59.0,47.0,84.0,80.0,86.0,86.0,86.0,84.0,88.0,87.0,1.0,1.0,1.0,1.0,87.0,88.0,84.0,86.0,70.0,59.0,80.0,73.0,57.0,36.0,67.0,51.0,62.0,52.0,75.0,68.0,41.0,16.0,55.0,39.0,68.0,44.0,73.0,62.0,85.0,85.0,88.0,87.0,29.0,16.0,49.0,25.0,80.0,61.0,82.0,72.0,75.0,62.0,83.0,72.0,30.0,18.0,39.0,19.0,52.0,1.0,76.0,35.0,76.0
Hastings,62.0,61.0,55.0,57.0,30.0,32.0,29.0,27.0,34.0,35.0,35.0,37.0,81.0,86.0,69.0,79.0,32.0,33.0,32.0,37.0,36.0,35.0,35.0,36.0,49.0,52.0,42.0,47.0,23.0,24.0,22.0,27.0,46.0,56.0,43.0,54.0,59.0,71.0,59.0,71.0,42.0,48.0,44.0,48.0,71.0,72.0,62.0,65.0,54.0,66.0,48.0,63.0,61.0,68.0,55.0,62.0,50.0,53.0,60.0,69.0,56.0,64.0,60.0,65.0,52.0,67.0,53.0,65.0,42.0,48.0,43.0,50.0,55.0,57.0,27.0,42.0,51.0,63.0,44.0,54.0,57.0,67.0,52.0,63.0,14.0,14.0,20.0,22.0,34.0,47.0,39.0,36.0,39.0
Hawthorn,6.0,6.0,7.0,7.0,71.0,85.0,70.0,83.0,28.0,36.0,25.0,32.0,2.0,3.0,8.0,6.0,25.0,31.0,24.0,29.0,39.0,48.0,41.0,46.0,58.0,69.0,52.0,66.0,83.0,86.0,84.0,86.0,56.0,69.0,55.0,69.0,11.0,12.0,11.0,12.0,55.0,62.0,53.0,61.0,9.0,11.0,6.0,4.0,8.0,7.0,12.0,11.0,3.0,4.0,4.0,1.0,1.0,1.0,5.0,2.0,3.0,5.0,4.0,4.0,5.0,2.0,4.0,1.0,22.0,24.0,26.0,30.0,72.0,74.0,76.0,77.0,4.0,5.0,7.0,4.0,3.0,2.0,2.0,1.0,66.0,71.0,66.0,72.0,30.0,58.0,30.0,37.0,30.0
Ivanhoe,15.0,18.0,18.0,20.0,43.0,58.0,37.0,54.0,42.0,64.0,40.0,59.0,14.0,13.0,19.0,22.0,45.0,66.0,45.0,66.0,44.0,60.0,44.0,56.0,44.0,53.0,45.0,55.0,63.0,72.0,67.0,75.0,48.0,59.0,49.0,60.0,30.0,40.0,34.0,46.0,20.0,41.0,17.0,41.0,40.0,37.0,31.0,30.0,6.0,6.0,11.0,10.0,16.0,29.0,13.0,23.0,2.0,2.0,7.0,7.0,20.0,33.0,17.0,28.0,29.0,42.0,17.0,31.0,49.0,62.0,42.0,55.0,73.0,75.0,66.0,72.0,47.0,66.0,42.0,61.0,32.0,53.0,35.0,51.0,56.0,62.0,33.0,41.0,14.0,40.0,29.0,38.0,29.0
Kalkallo,85.0,82.0,86.0,81.0,85.0,69.0,85.0,68.0,88.0,88.0,88.0,88.0,87.0,81.0,87.0,77.0,88.0,88.0,88.0,88.0,88.0,86.0,88.0,88.0,75.0,50.0,77.0,54.0,47.0,8.0,45.0,9.0,62.0,10.0,65.0,21.0,63.0,13.0,69.0,18.0,8.0,3.0,8.0,3.0,69.0,57.0,74.0,60.0,66.0,28.0,71.0,30.0,79.0,42.0,79.0,47.0,74.0,54.0,77.0,53.0,79.0,40.0,82.0,53.0,71.0,8.0,74.0,28.0,73.0,51.0,71.0,38.0,22.0,3.0,33.0,1.0,49.0,2.0,59.0,2.0,59.0,9.0,62.0,14.0,55.0,26.0,58.0,17.0,87.0,3.0,88.0,39.0,88.0
Kew,10.0,10.0,13.0,12.0,86.0,88.0,82.0,87.0,53.0,37.0,55.0,41.0,19.0,17.0,16.0,16.0,40.0,20.0,41.0,21.0,63.0,71.0,63.0,69.0,79.0,81.0,79.0,82.0,88.0,88.0,88.0,88.0,80.0,85.0,80.0,84.0,58.0,61.0,57.0,59.0,26.0,25.0,25.0,25.0,10.0,12.0,11.0,8.0,86.0,87.0,82.0,83.0,33.0,23.0,33.0,28.0,3.0,3.0,10.0,9.0,21.0,10.0,24.0,13.0,39.0,32.0,39.0,27.0,48.0,49.0,51.0,56.0,87.0,88.0,88.0,88.0,52.0,52.0,51.0,50.0,12.0,6.0,14.0,6.0,39.0,40.0,47.0,43.0,58.0,27.0,57.0,40.0,57.0
Kororoit,77.0,76.0,79.0,79.0,81.0,77.0,83.0,82.0,81.0,79.0,81.0,81.0,77.0,57.0,83.0,73.0,81.0,76.0,82.0,78.0,82.0,75.0,82.0,80.0,73.0,56.0,75.0,59.0,59.0,41.0,63.0,48.0,72.0,52.0,73.0,56.0,75.0,58.0,77.0,62.0,6.0,4.0,5.0,4.0,80.0,76.0,83.0,81.0,85.0,79.0,86.0,76.0,71.0,50.0,81.0,66.0,67.0,55.0,81.0,64.0,66.0,43.0,72.0,55.0,79.0,46.0,84.0,66.0,86.0,83.0,84.0,79.0,63.0,41.0,71.0,43.0,73.0,40.0,81.0,56.0,70.0,43.0,74.0,50.0,68.0,51.0,67.0,46.0,79.0,5.0,82.0,41.0,82.0
Lara,54.0,57.0,65.0,68.0,14.0,10.0,22.0,21.0,21.0,14.0,19.0,16.0,62.0,74.0,67.0,78.0,20.0,14.0,20.0,13.0,24.0,23.0,25.0,22.0,26.0,31.0,28.0,36.0,22.0,23.0,19.0,22.0,37.0,46.0,35.0,45.0,52.0,67.0,55.0,68.0,21.0,37.0,22.0,38.0,75.0,77.0,72.0,75.0,74.0,82.0,73.0,85.0,82.0,83.0,82.0,85.0,87.0,88.0,87.0,88.0,82.0,83.0,81.0,85.0,83.0,86.0,81.0,86.0,66.0,78.0,66.0,80.0,40.0,54.0,51.0,60.0,74.0,83.0,75.0,84.0,78.0,84.0,79.0,83.0,65.0,69.0,65.0,70.0,31.0,50.0,35.0,42.0,35.0
Laverton,74.0,65.0,77.0,73.0,62.0,22.0,68.0,30.0,84.0,82.0,83.0,82.0,38.0,30.0,64.0,40.0,85.0,85.0,84.0,85.0,80.0,69.0,80.0,71.0,33.0,11.0,37.0,11.0,41.0,19.0,42.0,18.0,35.0,5.0,41.0,7.0,43.0,9.0,46.0,9.0,22.0,12.0,28.0,12.0,83.0,78.0,85.0,84.0,77.0,60.0,83.0,68.0,76.0,56.0,80.0,64.0,51.0,39.0,70.0,51.0,76.0,54.0,79.0,58.0,82.0,54.0,83.0,64.0,69.0,56.0,79.0,69.0,59.0,29.0,61.0,32.0,78.0,46.0,80.0,55.0,79.0,55.0,80.0,60.0,86.0,77.0,86.0,77.0,84.0,12.0,83.0,43.0,83.0
Lowan,33.0,34.0,35.0,44.0,19.0,23.0,27.0,39.0,14.0,13.0,14.0,18.0,31.0,36.0,35.0,41.0,12.0,12.0,14.0,16.0,13.0,12.0,13.0,12.0,6.0,6.0,10.0,9.0,6.0,9.0,9.0,12.0,16.0,22.0,11.0,13.0,28.0,46.0,24.0,37.0,80.0,80.0,80.0,79.0,46.0,38.0,36.0,40.0,33.0,47.0,37.0,56.0,46.0,62.0,52.0,67.0,57.0,64.0,58.0,72.0,48.0,65.0,54.0,70.0,21.0,45.0,31.0,49.0,6.0,4.0,16.0,18.0,1.0,1.0,3.0,4.0,11.0,13.0,13.0,14.0,18.0,30.0,21.0,29.0,22.0,31.0,30.0,44.0,29.0,78.0,14.0,44.0,14.0
Macedon,27.0,28.0,34.0,35.0,40.0,57.0,43.0,59.0,35.0,51.0,37.0,54.0,40.0,44.0,40.0,46.0,34.0,45.0,37.0,54.0,33.0,38.0,33.0,39.0,35.0,47.0,33.0,44.0,52.0,61.0,47.0,56.0,40.0,51.0,37.0,49.0,38.0,51.0,35.0,49.0,62.0,65.0,59.0,65.0,54.0,58.0,34.0,34.0,34.0,41.0,15.0,26.0,17.0,31.0,20.0,30.0,42.0,45.0,30.0,31.0,14.0,20.0,20.0,31.0,9.0,10.0,11.0,12.0,29.0,28.0,17.0,12.0,16.0,27.0,12.0,20.0,6.0,9.0,8.0,7.0,14.0,19.0,11.0,16.0,1.0,1.0,1.0,1.0,24.0,55.0,28.0,45.0,28.0
Malvern,2.0,2.0,6.0,8.0,42.0,72.0,39.0,69.0,13.0,25.0,11.0,22.0,3.0,4.0,4.0,4.0,14.0,28.0,13.0,27.0,19.0,39.0,18.0,35.0,42.0,61.0,40.0,61.0,75.0,85.0,75.0,85.0,42.0,64.0,42.0,64.0,7.0,11.0,7.0,13.0,45.0,68.0,43.0,69.0,11.0,13.0,7.0,7.0,7.0,14.0,6.0,17.0,4.0,13.0,3.0,2.0,4.0,4.0,4.0,4.0,6.0,21.0,3.0,8.0,4.0,9.0,3.0,5.0,20.0,29.0,20.0,24.0,64.0,77.0,67.0,76.0,12.0,29.0,14.0,30.0,2.0,7.0,3.0,9.0,60.0,72.0,48.0,67.0,4.0,65.0,6.0,46.0,6.0
Melbourne,11.0,13.0,5.0,5.0,2.0,2.0,3.0,2.0,8.0,2.0,5.0,2.0,7.0,6.0,3.0,2.0,18.0,6.0,8.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,5.0,2.0,10.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,88.0,87.0,88.0,87.0,37.0,39.0,17.0,17.0,13.0,8.0,10.0,4.0,19.0,21.0,16.0,17.0,30.0,27.0,16.0,17.0,28.0,30.0,25.0,27.0,16.0,13.0,12.0,7.0,4.0,5.0,11.0,6.0,83.0,86.0,81.0,82.0,24.0,16.0,19.0,10.0,6.0,3.0,6.0,3.0,88.0,88.0,88.0,88.0,83.0,87.0,44.0,47.0,44.0
Melton,78.0,77.0,80.0,82.0,57.0,34.0,67.0,50.0,78.0,78.0,78.0,78.0,86.0,87.0,86.0,88.0,77.0,74.0,78.0,79.0,69.0,41.0,74.0,63.0,34.0,21.0,43.0,24.0,24.0,5.0,24.0,2.0,36.0,9.0,39.0,10.0,50.0,19.0,51.0,19.0,9.0,11.0,9.0,11.0,84.0,79.0,88.0,88.0,88.0,85.0,88.0,87.0,88.0,84.0,88.0,87.0,88.0,84.0,88.0,83.0,88.0,84.0,88.0,86.0,87.0,81.0,88.0,83.0,39.0,30.0,48.0,39.0,28.0,17.0,22.0,7.0,64.0,47.0,65.0,49.0,74.0,61.0,70.0,59.0,49.0,35.0,62.0,45.0,71.0,9.0,77.0,48.0,77.0
Mildura,48.0,49.0,62.0,70.0,24.0,33.0,30.0,44.0,17.0,17.0,21.0,25.0,64.0,79.0,63.0,76.0,15.0,13.0,17.0,19.0,15.0,16.0,17.0,17.0,20.0,22.0,14.0,13.0,11.0,14.0,3.0,4.0,13.0,17.0,13.0,15.0,27.0,41.0,28.0,41.0,58.0,67.0,57.0,67.0,62.0,59.0,57.0,61.0,53.0,69.0,57.0,72.0,70.0,82.0,70.0,81.0,82.0,85.0,80.0,86.0,72.0,82.0,71.0,82.0,54.0,80.0,58.0,79.0,27.0,31.0,24.0,25.0,5.0,6.0,10.0,14.0,27.0,42.0,30.0,46.0,38.0,59.0,42.0,62.0,46.0,58.0,53.0,65.0,19.0,60.0,20.0,49.0,20.0
Mill Park,56.0,50.0,64.0,60.0,64.0,64.0,66.0,67.0,58.0,58.0,58.0,61.0,71.0,75.0,65.0,60.0,54.0,52.0,54.0,50.0,62.0,73.0,64.0,76.0,82.0,84.0,80.0,85.0,57.0,56.0,56.0,60.0,78.0,81.0,78.0,81.0,81.0,87.0,83.0,85.0,4.0,14.0,3.0,13.0,47.0,40.0,56.0,50.0,31.0,29.0,31.0,23.0,43.0,39.0,45.0,41.0,71.0,74.0,50.0,48.0,36.0,31.0,38.0,36.0,48.0,49.0,56.0,52.0,61.0,65.0,77.0,81.0,57.0,52.0,50.0,45.0,61.0,64.0,62.0,71.0,64.0,63.0,68.0,70.0,24.0,21.0,38.0,37.0,41.0,15.0,53.0,50.0,53.0
Monbulk,31.0,32.0,56.0,53.0,45.0,54.0,46.0,55.0,49.0,55.0,48.0,56.0,52.0,48.0,47.0,47.0,46.0,54.0,48.0,55.0,49.0,61.0,49.0,61.0,66.0,75.0,69.0,77.0,55.0,59.0,50.0,52.0,61.0,70.0,61.0,68.0,69.0,73.0,67.0,72.0,37.0,40.0,39.0,42.0,12.0,14.0,21.0,22.0,15.0,15.0,20.0,24.0,15.0,18.0,19.0,26.0,35.0,34.0,37.0,36.0,15.0,18.0,21.0,22.0,22.0,25.0,20.0,22.0,57.0,67.0,47.0,59.0,48.0,56.0,26.0,36.0,35.0,39.0,38.0,44.0,31.0,37.0,30.0,35.0,6.0,5.0,4.0,5.0,38.0,34.0,43.0,51.0,43.0
Mordialloc,43.0,35.0,39.0,29.0,74.0,78.0,71.0,75.0,69.0,71.0,68.0,74.0,47.0,42.0,36.0,32.0,70.0,69.0,70.0,70.0,68.0,80.0,67.0,75.0,76.0,78.0,73.0,74.0,74.0,76.0,74.0,76.0,69.0,71.0,70.0,71.0,62.0,62.0,58.0,61.0,14.0,21.0,13.0,21.0,41.0,41.0,41.0,38.0,59.0,55.0,43.0,32.0,36.0,25.0,32.0,25.0,24.0,23.0,20.0,20.0,37.0,27.0,33.0,25.0,41.0,31.0,41.0,25.0,53.0,57.0,54.0,58.0,75.0,68.0,78.0,73.0,53.0,50.0,49.0,48.0,50.0,42.0,44.0,34.0,28.0,27.0,23.0,18.0,56.0,23.0,61.0,52.0,61.0
Mornington,34.0,36.0,27.0,27.0,58.0,74.0,56.0,73.0,37.0,43.0,38.0,48.0,39.0,40.0,37.0,42.0,28.0,32.0,34.0,40.0,40.0,40.0,43.0,44.0,57.0,68.0,56.0,69.0,60.0,68.0,58.0,66.0,50.0,60.0,47.0,58.0,35.0,42.0,30.0,38.0,54.0,58.0,54.0,57.0,13.0,15.0,29.0,31.0,36.0,42.0,41.0,57.0,18.0,27.0,24.0,31.0,36.0,35.0,36.0,37.0,16.0,26.0,15.0,20.0,14.0,19.0,15.0,18.0,38.0,43.0,28.0,27.0,38.0,53.0,29.0,44.0,23.0,19.0,23.0,23.0,16.0,21.0,15.0,19.0,3.0,4.0,2.0,2.0,32.0,48.0,37.0,53.0,37.0
Morwell,57.0,58.0,58.0,62.0,16.0,12.0,13.0,11.0,15.0,9.0,16.0,9.0,59.0,59.0,61.0,68.0,16.0,11.0,15.0,8.0,16.0,9.0,16.0,10.0,23.0,26.0,18.0,17.0,3.0,1.0,11.0,6.0,25.0,30.0,21.0,24.0,41.0,57.0,40.0,54.0,61.0,63.0,61.0,62.0,78.0,85.0,70.0,74.0,39.0,48.0,54.0,69.0,86.0,87.0,86.0,86.0,85.0,87.0,84.0,87.0,86.0,87.0,86.0,87.0,81.0,84.0,77.0,84.0,31.0,34.0,37.0,41.0,25.0,43.0,24.0,38.0,59.0,78.0,53.0,73.0,72.0,82.0,67.0,78.0,36.0,46.0,37.0,50.0,40.0,73.0,32.0,54.0,32.0
Mulgrave,29.0,29.0,42.0,32.0,52.0,43.0,50.0,36.0,50.0,28.0,50.0,27.0,43.0,41.0,44.0,36.0,51.0,34.0,53.0,35.0,55.0,47.0,55.0,45.0,63.0,62.0,67.0,67.0,67.0,64.0,64.0,63.0,71.0,73.0,71.0,73.0,74.0,72.0,73.0,74.0,41.0,31.0,45.0,32.0,55.0,60.0,40.0,35.0,56.0,53.0,61.0,58.0,30.0,19.0,39.0,34.0,55.0,56.0,40.0,38.0,27.0,14.0,34.0,26.0,65.0,58.0,61.0,58.0,70.0,72.0,76.0,78.0,71.0,65.0,75.0,70.0,85.0,81.0,83.0,81.0,82.0,79.0,84.0,81.0,79.0,78.0,83.0,79.0,60.0,31.0,60.0,55.0,60.0
Murray Plains,49.0,54.0,41.0,50.0,15.0,21.0,23.0,40.0,11.0,10.0,13.0,15.0,44.0,52.0,42.0,53.0,8.0,8.0,11.0,9.0,12.0,14.0,12.0,15.0,13.0,14.0,11.0,14.0,9.0,15.0,5.0,13.0,14.0,25.0,15.0,26.0,32.0,60.0,29.0,56.0,67.0,76.0,66.0,76.0,48.0,42.0,47.0,58.0,57.0,77.0,52.0,75.0,53.0,72.0,60.0,75.0,53.0,65.0,53.0,65.0,61.0,76.0,62.0,76.0,35.0,62.0,35.0,61.0,17.0,16.0,6.0,5.0,3.0,5.0,7.0,12.0,13.0,21.0,12.0,19.0,25.0,48.0,23.0,40.0,26.0,42.0,29.0,49.0,9.0,72.0,11.0,56.0,11.0
Narracan,75.0,78.0,70.0,76.0,28.0,27.0,40.0,47.0,29.0,29.0,39.0,44.0,61.0,60.0,60.0,64.0,29.0,27.0,31.0,32.0,30.0,26.0,32.0,30.0,37.0,41.0,35.0,41.0,21.0,21.0,21.0,21.0,34.0,44.0,33.0,40.0,51.0,63.0,45.0,58.0,66.0,64.0,67.0,64.0,70.0,73.0,65.0,68.0,48.0,56.0,47.0,59.0,50.0,57.0,54.0,61.0,41.0,46.0,43.0,46.0,55.0,58.0,57.0,62.0,34.0,38.0,36.0,45.0,28.0,25.0,25.0,22.0,19.0,24.0,18.0,27.0,21.0,14.0,21.0,17.0,23.0,24.0,26.0,24.0,10.0,11.0,13.0,14.0,37.0,44.0,40.0,57.0,40.0
Narre Warren North,81.0,83.0,81.0,83.0,72.0,65.0,75.0,74.0,63.0,34.0,67.0,50.0,75.0,68.0,82.0,83.0,59.0,23.0,59.0,24.0,72.0,67.0,75.0,70.0,83.0,82.0,84.0,80.0,61.0,53.0,62.0,57.0,82.0,79.0,82.0,79.0,85.0,86.0,85.0,84.0,35.0,20.0,35.0,20.0,51.0,43.0,69.0,66.0,10.0,5.0,39.0,15.0,56.0,40.0,56.0,40.0,76.0,66.0,69.0,55.0,54.0,34.0,58.0,40.0,62.0,40.0,62.0,48.0,74.0,68.0,73.0,71.0,18.0,9.0,34.0,21.0,65.0,56.0,70.0,57.0,77.0,64.0,75.0,66.0,43.0,32.0,54.0,39.0,70.0,14.0,74.0,58.0,74.0
