district,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_F_pc,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_NdCh_P_pc,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_F_pc,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_P_pc,CF_ChU15_a_Total_F,CF_ChU15_a_Total_F_pc,CF_ChU15_a_Total_P,CF_ChU15_a_Total_P_pc,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_F_pc,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_P_pc,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_F_pc,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_P_pc,CF_Total_F,CF_Total_F_pc,CF_Total_P,CF_Total_P_pc,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_F_pc,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_NdCh_P_pc,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_F_pc,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_P_pc,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_F_pc,CF_no_ChU15_a_Total_P,CF_no_ChU15_a_Total_P_pc,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_F_pc,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_P_pc,CF_no_children_F,CF_no_children_F_pc,CF_no_children_P,CF_no_children_P_pc,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_F_pc,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_NdCh_P_pc,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_F_pc,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_P_pc,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_F_pc,OPF_ChU15_a_Total_P,OPF_ChU15_a_Total_P_pc,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_F_pc,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_P_pc,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_F_pc,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_P_pc,OPF_Total_F,OPF_Total_F_pc,OPF_Total_P,OPF_Total_P_pc,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_F_pc,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_a_NdCh_P_pc,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_F_pc,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_P_pc,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_F_pc,OPF_no_ChU15_a_Total_P,OPF_no_ChU15_a_Total_P_pc,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_F_pc,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_P_pc,Other_family_F,Other_family_F_pc,Other_family_P,Other_family_P_pc,Total_F,Total_F_pc,Total_P,Total_P_pc,Total_P_total
Caulfield,20.0,22.0,30.0,31.0,56.0,73.0,60.0,78.0,41.0,63.0,43.0,66.0,13.0,11.0,13.0,15.0,39.0,63.0,39.0,61.0,31.0,37.0,31.0,40.0,30.0,35.0,30.0,42.0,66.0,75.0,61.0,71.0,20.0,31.0,26.0,39.0,6.0,6.0,6.0,6.0,59.0,66.0,62.0,66.0,6.0,7.0,8.0,6.0,3.0,2.0,7.0,6.0,7.0,10.0,5.0,5.0,15.0,19.0,8.0,8.0,8.0,13.0,6.0,5.0,7.0,4.0,6.0,2.0,7.0,7.0,5.0,3.0,66.0,70.0,60.0,69.0,7.0,10.0,6.0,6.0,8.0,8.0,5.0,4.0,57.0,65.0,59.0,66.0,21.0,57.0,23.0,18.0,23.0
Clarinda,60.0,52.0,60.0,47.0,53.0,53.0,54.0,49.0,51.0,30.0,51.0,30.0,41.0,39.0,38.0,34.0,50.0,35.0,51.0,33.0,58.0,57.0,56.0,59.0,62.0,60.0,63.0,65.0,65.0,63.0,65.0,65.0,75.0,76.0,75.0,77.0,80.0,82.0,80.0,83.0,19.0,23.0,20.0,24.0,24.0,8.0,60.0,56.0,55.0,52.0,51.0,47.0,37.0,30.0,44.0,38.0,49.0,43.0,41.0,39.0,33.0,22.0,41.0,37.0,67.0,64.0,67.0,68.0,78.0,82.0,81.0,83.0,74.0,67.0,73.0,67.0,83.0,80.0,84.0,82.0,83.0,81.0,81.0,80.0,70.0,66.0,71.0,71.0,55.0,24.0,56.0,19.0,56.0
Cranbourne,86.0,85.0,85.0,84.0,76.0,62.0,79.0,66.0,85.0,85.0,85.0,86.0,85.0,82.0,84.0,85.0,84.0,84.0,85.0,84.0,83.0,72.0,83.0,79.0,41.0,25.0,49.0,27.0,35.0,6.0,40.0,15.0,43.0,6.0,44.0,8.0,48.0,10.0,48.0,8.0,16.0,8.0,16.0,9.0,88.0,87.0,86.0,83.0,65.0,39.0,70.0,52.0,83.0,65.0,85.0,70.0,84.0,71.0,83.0,71.0,83.0,61.0,83.0,67.0,74.0,33.0,78.0,51.0,71.0,54.0,69.0,47.0,23.0,10.0,39.0,13.0,48.0,7.0,55.0,12.0,55.0,17.0,58.0,21.0,59.0,37.0,63.0,38.0,82.0,8.0,84.0,20.0,84.0
Croydon,32.0,27.0,45.0,39.0,39.0,25.0,34.0,14.0,60.0,59.0,60.0,52.0,35.0,33.0,45.0,38.0,65.0,64.0,64.0,64.0,54.0,45.0,53.0,41.0,60.0,58.0,59.0,58.0,46.0,39.0,38.0,36.0,57.0,54.0,56.0,55.0,65.0,66.0,63.0,65.0,52.0,38.0,52.0,37.0,50.0,30.0,46.0,41.0,68.0,72.0,56.0,53.0,62.0,58.0,58.0,49.0,64.0,59.0,54.0,50.0,64.0,60.0,59.0,54.0,70.0,71.0,65.0,63.0,59.0,63.0,60.0,63.0,68.0,61.0,63.0,58.0,77.0,75.0,72.0,75.0,76.0,74.0,72.0,73.0,40.0,38.0,35.0,30.0,65.0,41.0,58.0,21.0,58.0
Dandenong,83.0,84.0,84.0,85.0,65.0,48.0,72.0,61.0,68.0,45.0,73.0,63.0,79.0,73.0,81.0,72.0,66.0,37.0,69.0,43.0,64.0,36.0,68.0,47.0,55.0,48.0,60.0,51.0,42.0,29.0,46.0,32.0,64.0,45.0,63.0,51.0,72.0,65.0,72.0,66.0,28.0,17.0,38.0,18.0,85.0,84.0,82.0,85.0,78.0,73.0,84.0,79.0,78.0,66.0,74.0,72.0,79.0,72.0,76.0,67.0,75.0,62.0,76.0,63.0,88.0,82.0,87.0,82.0,83.0,76.0,87.0,86.0,67.0,50.0,72.0,53.0,88.0,84.0,88.0,86.0,88.0,83.0,88.0,86.0,80.0,73.0,85.0,76.0,75.0,19.0,75.0,22.0,75.0
Eildon,46.0,48.0,57.0,63.0,20.0,26.0,18.0,23.0,16.0,20.0,18.0,21.0,57.0,66.0,54.0,63.0,17.0,16.0,16.0,18.0,22.0,25.0,22.0,24.0,28.0,34.0,27.0,35.0,18.0,28.0,16.0,20.0,33.0,53.0,32.0,47.0,54.0,70.0,54.0,69.0,69.0,73.0,69.0,73.0,34.0,31.0,45.0,49.0,27.0,36.0,25.0,39.0,35.0,52.0,35.0,43.0,48.0,50.0,42.0,49.0,25.0,39.0,32.0,42.0,26.0,47.0,27.0,41.0,37.0,41.0,31.0,37.0,6.0,8.0,11.0,16.0,30.0,53.0,28.0,42.0,34.0,56.0,32.0,55.0,9.0,12.0,6.0,10.0,23.0,68.0,18.0,23.0,18.0
Eltham,38.0,33.0,44.0,42.0,66.0,68.0,57.0,64.0,55.0,57.0,56.0,57.0,30.0,28.0,27.0,26.0,55.0,58.0,55.0,59.0,60.0,76.0,61.0,74.0,78.0,83.0,78.0,83.0,69.0,71.0,71.0,73.0,77.0,82.0,77.0,80.0,77.0,80.0,75.0,79.0,24.0,30.0,24.0,30.0,35.0,32.0,14.0,15.0,22.0,12.0,18.0,13.0,12.0,6.0,12.0,9.0,13.0,10.0,17.0,16.0,9.0,4.0,13.0,9.0,15.0,6.0,16.0,8.0,60.0,64.0,59.0,66.0,27.0,31.0,43.0,41.0,33.0,24.0,33.0,25.0,26.0,20.0,28.0,22.0,2.0,2.0,5.0,4.0,47.0,25.0,50.0,24.0,50.0
Essendon,13.0,17.0,15.0,19.0,33.0,45.0,36.0,48.0,31.0,46.0,28.0,36.0,10.0,10.0,10.0,11.0,37.0,57.0,35.0,52.0,37.0,46.0,34.0,43.0,52.0,65.0,55.0,71.0,62.0,74.0,66.0,74.0,49.0,61.0,52.0,62.0,29.0,38.0,33.0,48.0,44.0,54.0,40.0,52.0,38.0,33.0,19.0,21.0,18.0,19.0,14.0,22.0,13.0,22.0,11.0,18.0,8.0,11.0,13.0,15.0,19.0,32.0,14.0,23.0,12.0,21.0,13.0,19.0,26.0,22.0,27.0,32.0,56.0,59.0,37.0,54.0,28.0,37.0,26.0,33.0,27.0,41.0,24.0,27.0,73.0,75.0,72.0,75.0,20.0,56.0,26.0,25.0,26.0
Eureka,51.0,46.0,63.0,56.0,49.0,49.0,44.0,33.0,54.0,52.0,57.0,58.0,82.0,83.0,77.0,81.0,53.0,50.0,56.0,58.0,47.0,32.0,46.0,32.0,40.0,36.0,31.0,30.0,31.0,30.0,29.0,29.0,41.0,34.0,36.0,34.0,55.0,56.0,49.0,44.0,68.0,52.0,68.0,53.0,66.0,64.0,64.0,64.0,73.0,76.0,69.0,74.0,68.0,73.0,69.0,74.0,54.0,51.0,72.0,73.0,73.0,72.0,66.0,69.0,58.0,60.0,60.0,57.0,43.0,42.0,35.0,26.0,24.0,28.0,36.0,35.0,42.0,35.0,40.0,34.0,43.0,40.0,41.0,38.0,34.0,29.0,32.0,27.0,59.0,43.0,52.0,26.0,52.0
Euroa,61.0,67.0,54.0,64.0,8.0,8.0,8.0,9.0,7.0,5.0,8.0,7.0,45.0,55.0,53.0,65.0,5.0,3.0,7.0,5.0,10.0,7.0,10.0,8.0,15.0,19.0,17.0,25.0,4.0,7.0,4.0,10.0,18.0,39.0,18.0,33.0,33.0,59.0,37.0,60.0,79.0,78.0,79.0,78.0,63.0,65.0,44.0,47.0,28.0,46.0,32.0,54.0,48.0,67.0,51.0,65.0,66.0,78.0,49.0,60.0,50.0,67.0,51.0,68.0,38.0,69.0,43.0,69.0,3.0,3.0,21.0,21.0,14.0,23.0,13.0,26.0,39.0,70.0,35.0,62.0,51.0,73.0,56.0,74.0,31.0,45.0,22.0,40.0,18.0,81.0,13.0,27.0,13.0
