district,census_variable,value
Albert Park,CF_C_BPBO_DC_0_4,821.0
Ashwood,CF_C_BPBO_DC_0_4,1719.0
Bass,CF_C_BPBO_DC_0_4,517.0
Bayswater,CF_C_BPBO_DC_0_4,1332.0
Bellarine,CF_C_BPBO_DC_0_4,119.0
Benambra,CF_C_BPBO_DC_0_4,216.0
Bendigo East,CF_C_BPBO_DC_0_4,347.0
Bendigo West,CF_C_BPBO_DC_0_4,224.0
Bentleigh,CF_C_BPBO_DC_0_4,1268.0
Berwick,CF_C_BPBO_DC_0_4,2832.0
Box Hill,CF_C_BPBO_DC_0_4,1692.0
Brighton,CF_C_BPBO_DC_0_4,549.0
Broadmeadows,CF_C_BPBO_DC_0_4,2578.0
Brunswick,CF_C_BPBO_DC_0_4,403.0
Bulleen,CF_C_BPBO_DC_0_4,1685.0
Bundoora,CF_C_BPBO_DC_0_4,998.0
Carrum,CF_C_BPBO_DC_0_4,1049.0
Caulfield,CF_C_BPBO_DC_0_4,799.0
Clarinda,CF_C_BPBO_DC_0_4,1639.0
Cranbourne,CF_C_BPBO_DC_0_4,3756.0
Croydon,CF_C_BPBO_DC_0_4,1003.0
Dandenong,CF_C_BPBO_DC_0_4,3606.0
Eildon,CF_C_BPBO_DC_0_4,64.0
Eltham,CF_C_BPBO_DC_0_4,371.0
Essendon,CF_C_BPBO_DC_0_4,684.0
Eureka,CF_C_BPBO_DC_0_4,293.0
Euroa,CF_C_BPBO_DC_0_4,121.0
Evelyn,CF_C_BPBO_DC_0_4,357.0
Footscray,CF_C_BPBO_DC_0_4,1089.0
Frankston,CF_C_BPBO_DC_0_4,360.0
Geelong,CF_C_BPBO_DC_0_4,324.0
Gippsland East,CF_C_BPBO_DC_0_4,85.0
Gippsland South,CF_C_BPBO_DC_0_4,91.0
Glen Waverley,CF_C_BPBO_DC_0_4,2088.0
Greenvale,CF_C_BPBO_DC_0_4,2042.0
Hastings,CF_C_BPBO_DC_0_4,114.0
Hawthorn,CF_C_BPBO_DC_0_4,743.0
Ivanhoe,CF_C_BPBO_DC_0_4,867.0
Kalkallo,CF_C_BPBO_DC_0_4,5328.0
Kew,CF_C_BPBO_DC_0_4,1025.0
Kororoit,CF_C_BPBO_DC_0_4,3255.0
Lara,CF_C_BPBO_DC_0_4,607.0
Laverton,CF_C_BPBO_DC_0_4,5063.0
Lowan,CF_C_BPBO_DC_0_4,197.0
Macedon,CF_C_BPBO_DC_0_4,116.0
Malvern,CF_C_BPBO_DC_0_4,545.0
Melbourne,CF_C_BPBO_DC_0_4,1502.0
Melton,CF_C_BPBO_DC_0_4,3004.0
Mildura,CF_C_BPBO_DC_0_4,408.0
Mill Park,CF_C_BPBO_DC_0_4,1624.0
Monbulk,CF_C_BPBO_DC_0_4,189.0
Mordialloc,CF_C_BPBO_DC_0_4,1045.0
Mornington,CF_C_BPBO_DC_0_4,167.0
Morwell,CF_C_BPBO_DC_0_4,220.0
Mulgrave,CF_C_BPBO_DC_0_4,2335.0
Murray Plains,CF_C_BPBO_DC_0_4,195.0
Narracan,CF_C_BPBO_DC_0_4,173.0
Narre Warren North,CF_C_BPBO_DC_0_4,2010.0
Narre Warren South,CF_C_BPBO_DC_0_4,3614.0
Nepean,CF_C_BPBO_DC_0_4,48.0
Niddrie,CF_C_BPBO_DC_0_4,508.0
Northcote,CF_C_BPBO_DC_0_4,457.0
Oakleigh,CF_C_BPBO_DC_0_4,1877.0
Ovens Valley,CF_C_BPBO_DC_0_4,148.0
Pakenham,CF_C_BPBO_DC_0_4,2119.0
Pascoe Vale,CF_C_BPBO_DC_0_4,713.0
Point Cook,CF_C_BPBO_DC_0_4,4006.0
Polwarth,CF_C_BPBO_DC_0_4,152.0
Prahran,CF_C_BPBO_DC_0_4,623.0
Preston,CF_C_BPBO_DC_0_4,1096.0
Richmond,CF_C_BPBO_DC_0_4,488.0
Ringwood,CF_C_BPBO_DC_0_4,1732.0
Ripon,CF_C_BPBO_DC_0_4,174.0
Rowville,CF_C_BPBO_DC_0_4,1322.0
Sandringham,CF_C_BPBO_DC_0_4,572.0
Shepparton,CF_C_BPBO_DC_0_4,913.0
South Barwon,CF_C_BPBO_DC_0_4,659.0
South-West Coast,CF_C_BPBO_DC_0_4,112.0
St Albans,CF_C_BPBO_DC_0_4,2014.0
Sunbury,CF_C_BPBO_DC_0_4,519.0
Sydenham,CF_C_BPBO_DC_0_4,1428.0
Tarneit,CF_C_BPBO_DC_0_4,5554.0
Thomastown,CF_C_BPBO_DC_0_4,3131.0
Warrandyte,CF_C_BPBO_DC_0_4,1158.0
Wendouree,CF_C_BPBO_DC_0_4,331.0
Werribee,CF_C_BPBO_DC_0_4,3501.0
Williamstown,CF_C_BPBO_DC_0_4,763.0
Yan Yean,CF_C_BPBO_DC_0_4,1716.0
Albert Park,CF_C_BPBO_DC_0_4_pc,0.0879
Ashwood,CF_C_BPBO_DC_0_4_pc,0.0889
Bass,CF_C_BPBO_DC_0_4_pc,0.0396
