district,CF_no_children_F,CF_no_children_F_pc,CF_no_children_P,CF_no_children_P_pc,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_F_pc,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_NdCh_P_pc,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_F_pc,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_P_pc,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_F_pc,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_P_pc,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_F_pc,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_P_pc,CF_ChU15_a_Total_F,CF_ChU15_a_Total_F_pc,CF_ChU15_a_Total_P,CF_ChU15_a_Total_P_pc,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_F_pc,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_NdCh_P_pc,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_F_pc,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_P_pc,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_F_pc,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_P_pc,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_F_pc,CF_no_ChU15_a_Total_P,CF_no_ChU15_a_Total_P_pc,CF_Total_F,CF_Total_F_pc,CF_Total_P,CF_Total_P_pc,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_F_pc,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_NdCh_P_pc,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_F_pc,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_P_pc,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_F_pc,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_P_pc,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_F_pc,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_P_pc,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_F_pc,OPF_ChU15_a_Total_P,OPF_ChU15_a_Total_P_pc,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_F_pc,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_a_NdCh_P_pc,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_F_pc,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_P_pc,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_F_pc,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_P_pc,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_F_pc,OPF_no_ChU15_a_Total_P,OPF_no_ChU15_a_Total_P_pc,OPF_Total_F,OPF_Total_F_pc,OPF_Total_P,OPF_Total_P_pc,Other_family_F,Other_family_F_pc,Other_family_P,Other_family_P_pc,Total_F,Total_F_pc,Total_P,Total_P_pc,Total_P_total
Box Hill,8226.0,0.1284,16534.0,0.2582,58.0,0.0009,484.0,0.0076,1050.0,0.0164,4806.0,0.075,10.0,0.0002,328.0,0.0051,5293.0,0.0826,20038.0,0.3129,6631.0,0.1035,25801.0,0.4028,592.0,0.0092,2521.0,0.0394,1522.0,0.0238,5472.0,0.0854,1500.0,0.0234,4847.0,0.0757,3654.0,0.0571,12888.0,0.2012,10258.0,0.1602,38683.0,0.604,0.0,0.0,78.0,0.0012,158.0,0.0025,773.0,0.0121,20.0,0.0003,169.0,0.0026,929.0,0.0145,2263.0,0.0353,1251.0,0.0195,3263.0,0.0509,96.0,0.0015,526.0,0.0082,625.0,0.0098,1493.0,0.0233,1186.0,0.0185,2519.0,0.0393,1994.0,0.0311,4551.0,0.0711,3285.0,0.0513,7816.0,0.122,503.0,0.0079,1051.0,0.0164,22196.0,0.3466,64047.0,1.0,64047.0
Brighton,6815.0,0.1353,13527.0,0.2685,31.0,0.0006,354.0,0.007,990.0,0.0197,4438.0,0.0881,18.0,0.0004,266.0,0.0053,4175.0,0.0829,15852.0,0.3147,5330.0,0.1058,20880.0,0.4145,485.0,0.0096,2026.0,0.0402,1352.0,0.0268,4863.0,0.0965,1072.0,0.0213,3353.0,0.0666,2921.0,0.058,10187.0,0.2022,8205.0,0.1629,31086.0,0.617,0.0,0.0,37.0,0.0007,117.0,0.0023,597.0,0.0119,9.0,0.0002,66.0,0.0013,726.0,0.0144,1793.0,0.0356,986.0,0.0196,2429.0,0.0482,35.0,0.0007,271.0,0.0054,449.0,0.0089,1047.0,0.0208,744.0,0.0148,1611.0,0.032,1300.0,0.0258,2898.0,0.0575,2253.0,0.0447,5307.0,0.1053,166.0,0.0033,454.0,0.009,17473.0,0.3468,50379.0,1.0,50379.0
Broadmeadows,6259.0,0.1011,12693.0,0.2049,233.0,0.0038,1676.0,0.0271,840.0,0.0136,4488.0,0.0725,183.0,0.003,1159.0,0.0187,5209.0,0.0841,20799.0,0.3358,6501.0,0.105,28057.0,0.453,431.0,0.007,2240.0,0.0362,470.0,0.0076,1817.0,0.0293,1694.0,0.0274,5883.0,0.095,2690.0,0.0434,9824.0,0.1586,9178.0,0.1482,37901.0,0.6119,24.0,0.0004,316.0,0.0051,183.0,0.003,891.0,0.0144,69.0,0.0011,423.0,0.0068,1064.0,0.0172,2823.0,0.0456,1451.0,0.0234,4462.0,0.072,148.0,0.0024,711.0,0.0115,285.0,0.0046,801.0,0.0129,1827.0,0.0295,4292.0,0.0693,2427.0,0.0392,5751.0,0.0929,3768.0,0.0608,10206.0,0.1648,514.0,0.0083,1158.0,0.0187,19832.0,0.3202,61935.0,1.0,61935.0
Brunswick,8214.0,0.1974,16418.0,0.3946,3.0,0.0001,138.0,0.0033,437.0,0.0105,2021.0,0.0486,3.0,0.0001,107.0,0.0026,3455.0,0.083,12518.0,0.3008,3978.0,0.0956,14756.0,0.3546,162.0,0.0039,877.0,0.0211,625.0,0.015,2012.0,0.0484,673.0,0.0162,2212.0,0.0532,1459.0,0.0351,5101.0,0.1226,5446.0,0.1309,19904.0,0.4783,0.0,0.0,27.0,0.0006,63.0,0.0015,309.0,0.0074,3.0,0.0001,46.0,0.0011,619.0,0.0149,1451.0,0.0349,770.0,0.0185,1880.0,0.0452,53.0,0.0013,204.0,0.0049,185.0,0.0044,592.0,0.0142,712.0,0.0171,1696.0,0.0408,1069.0,0.0257,2484.0,0.0597,1831.0,0.044,4295.0,0.1032,461.0,0.0111,955.0,0.023,16047.0,0.3857,41610.0,1.0,41610.0
Bulleen,8193.0,0.1312,16559.0,0.2653,17.0,0.0003,429.0,0.0069,886.0,0.0142,4034.0,0.0646,51.0,0.0008,439.0,0.007,4679.0,0.075,17761.0,0.2845,5755.0,0.0922,22602.0,0.3621,629.0,0.0101,2908.0,0.0466,1260.0,0.0202,4446.0,0.0712,2334.0,0.0374,7696.0,0.1233,4247.0,0.068,15069.0,0.2414,9987.0,0.16,37633.0,0.6028,3.0,0.0,77.0,0.0012,144.0,0.0023,722.0,0.0116,15.0,0.0002,120.0,0.0019,803.0,0.0129,2114.0,0.0339,1072.0,0.0172,2984.0,0.0478,112.0,0.0018,553.0,0.0089,457.0,0.0073,1112.0,0.0178,1245.0,0.0199,2807.0,0.045,1942.0,0.0311,4536.0,0.0727,3031.0,0.0486,7534.0,0.1207,302.0,0.0048,719.0,0.0115,21572.0,0.3456,62426.0,1.0,62426.0
Bundoora,6736.0,0.1214,13660.0,0.2463,44.0,0.0008,526.0,0.0095,774.0,0.014,3665.0,0.0661,70.0,0.0013,627.0,0.0113,4575.0,0.0825,17467.0,0.3149,5633.0,0.1015,22293.0,0.4019,592.0,0.0107,2539.0,0.0458,757.0,0.0136,2832.0,0.0511,1874.0,0.0338,6136.0,0.1106,3258.0,0.0587,11497.0,0.2073,8875.0,0.16,33834.0,0.6099,7.0,0.0001,185.0,0.0033,151.0,0.0027,685.0,0.0123,32.0,0.0006,175.0,0.0032,822.0,0.0148,2089.0,0.0377,1120.0,0.0202,3154.0,0.0569,115.0,0.0021,467.0,0.0084,325.0,0.0059,767.0,0.0138,1305.0,0.0235,2908.0,0.0524,1800.0,0.0324,4195.0,0.0756,2936.0,0.0529,7243.0,0.1306,309.0,0.0056,692.0,0.0125,18905.0,0.3408,55472.0,1.0,55472.0
Carrum,6911.0,0.1135,13894.0,0.2282,102.0,0.0017,817.0,0.0134,833.0,0.0137,3843.0,0.0631,169.0,0.0028,932.0,0.0153,5670.0,0.0931,21713.0,0.3565,6888.0,0.1131,27468.0,0.451,435.0,0.0071,1928.0,0.0317,715.0,0.0117,2604.0,0.0428,1658.0,0.0272,5460.0,0.0897,2884.0,0.0474,10018.0,0.1645,9848.0,0.1617,37422.0,0.6145,7.0,0.0001,182.0,0.003,207.0,0.0034,813.0,0.0134,72.0,0.0012,416.0,0.0068,1287.0,0.0211,3301.0,0.0542,1665.0,0.0273,4722.0,0.0775,125.0,0.0021,525.0,0.0086,277.0,0.0045,702.0,0.0115,1372.0,0.0225,3095.0,0.0508,1906.0,0.0313,4342.0,0.0713,3565.0,0.0585,8942.0,0.1468,202.0,0.0033,522.0,0.0086,20504.0,0.3367,60898.0,1.0,60898.0
Caulfield,7696.0,0.1499,15481.0,0.3015,39.0,0.0008,558.0,0.0109,896.0,0.0174,4446.0,0.0866,28.0,0.0005,300.0,0.0058,4456.0,0.0868,17219.0,0.3353,5527.0,0.1076,22548.0,0.4391,332.0,0.0065,1654.0,0.0322,950.0,0.0185,3332.0,0.0649,889.0,0.0173,2940.0,0.0573,2225.0,0.0433,7894.0,0.1537,7763.0,0.1512,30444.0,0.5928,0.0,0.0,47.0,0.0009,65.0,0.0013,472.0,0.0092,9.0,0.0002,73.0,0.0014,694.0,0.0135,1583.0,0.0308,897.0,0.0175,2245.0,0.0437,29.0,0.0006,211.0,0.0041,331.0,0.0064,829.0,0.0161,731.0,0.0142,1541.0,0.03,1155.0,0.0225,2560.0,0.0499,2096.0,0.0408,4788.0,0.0932,288.0,0.0056,698.0,0.0136,17935.0,0.3492,51353.0,1.0,51353.0
Clarinda,6489.0,0.1076,13201.0,0.219,92.0,0.0015,814.0,0.0135,875.0,0.0145,4156.0,0.0689,108.0,0.0018,731.0,0.0121,4766.0,0.0791,18283.0,0.3033,5940.0,0.0985,23954.0,0.3973,538.0,0.0089,2473.0,0.041,934.0,0.0155,3410.0,0.0566,2247.0,0.0373,7488.0,0.1242,3747.0,0.0622,13392.0,0.2221,9735.0,0.1615,37386.0,0.6201,3.0,0.0,205.0,0.0034,170.0,0.0028,749.0,0.0124,45.0,0.0007,281.0,0.0047,862.0,0.0143,2465.0,0.0409,1204.0,0.02,3655.0,0.0606,145.0,0.0024,714.0,0.0118,367.0,0.0061,952.0,0.0158,1601.0,0.0266,3543.0,0.0588,2118.0,0.0351,5230.0,0.0868,3406.0,0.0565,8926.0,0.1481,342.0,0.0057,902.0,0.015,19914.0,0.3303,60287.0,1.0,60287.0
Cranbourne,6319.0,0.0847,12960.0,0.1737,272.0,0.0036,1834.0,0.0246,1198.0,0.0161,5858.0,0.0785,259.0,0.0035,1532.0,0.0205,8280.0,0.111,32282.0,0.4326,10076.0,0.135,41423.0,0.5551,415.0,0.0056,2083.0,0.0279,623.0,0.0083,2378.0,0.0319,1506.0,0.0202,4919.0,0.0659,2609.0,0.035,9430.0,0.1264,12696.0,0.1701,50819.0,0.681,50.0,0.0007,496.0,0.0066,197.0,0.0026,944.0,0.0126,92.0,0.0012,569.0,0.0076,1453.0,0.0195,4083.0,0.0547,1979.0,0.0265,6042.0,0.081,127.0,0.0017,607.0,0.0081,237.0,0.0032,695.0,0.0093,1186.0,0.0159,2723.0,0.0365,1611.0,0.0216,4030.0,0.054,3606.0,0.0483,10152.0,0.136,291.0,0.0039,751.0,0.0101,23058.0,0.309,74627.0,1.0,74627.0
Croydon,7504.0,0.124,15136.0,0.25,56.0,0.0009,689.0,0.0114,784.0,0.013,3516.0,0.0581,96.0,0.0016,787.0,0.013,5345.0,0.0883,20448.0,0.3378,6389.0,0.1055,25433.0,0.4201,535.0,0.0088,2370.0,0.0391,704.0,0.0116,2343.0,0.0387,1780.0,0.0294,5836.0,0.0964,2992.0,0.0494,10568.0,0.1746,9450.0,0.1561,36047.0,0.5954,9.0,0.0001,162.0,0.0027,205.0,0.0034,764.0,0.0126,60.0,0.001,354.0,0.0058,1162.0,0.0192,2858.0,0.0472,1500.0,0.0248,4181.0,0.0691,113.0,0.0019,543.0,0.009,343.0,0.0057,834.0,0.0138,1466.0,0.0242,3235.0,0.0534,2019.0,0.0333,4623.0,0.0764,3536.0,0.0584,8833.0,0.1459,238.0,0.0039,558.0,0.0092,20725.0,0.3423,60540.0,1.0,60540.0
Dandenong,6708.0,0.0985,13899.0,0.2041,224.0,0.0033,1794.0,0.0263,977.0,0.0143,5073.0,0.0745,201.0,0.003,1258.0,0.0185,5412.0,0.0795,21338.0,0.3134,6987.0,0.1026,29399.0,0.4318,489.0,0.0072,2410.0,0.0354,688.0,0.0101,2548.0,0.0374,1978.0,0.029,6620.0,0.0972,3223.0,0.0473,11615.0,0.1706,10254.0,0.1506,41007.0,0.6022,41.0,0.0006,453.0,0.0067,230.0,0.0034,1107.0,0.0163,83.0,0.0012,506.0,0.0074,1326.0,0.0195,3650.0,0.0536,1805.0,0.0265,5561.0,0.0817,157.0,0.0023,843.0,0.0124,331.0,0.0049,910.0,0.0134,1933.0,0.0284,4647.0,0.0682,2593.0,0.0381,6388.0,0.0938,4444.0,0.0653,11964.0,0.1757,501.0,0.0074,1230.0,0.0181,21889.0,0.3215,68092.0,1.0,68092.0
Eildon,8081.0,0.1603,16166.0,0.3206,73.0,0.0014,768.0,0.0152,656.0,0.013,3109.0,0.0617,142.0,0.0028,884.0,0.0175,3675.0,0.0729,14372.0,0.285,4656.0,0.0923,19180.0,0.3804,323.0,0.0064,1558.0,0.0309,499.0,0.0099,1672.0,0.0332,1605.0,0.0318,5134.0,0.1018,2466.0,0.0489,8365.0,0.1659,7121.0,0.1412,27546.0,0.5463,4.0,0.0001,160.0,0.0032,127.0,0.0025,589.0,0.0117,44.0,0.0009,288.0,0.0057,813.0,0.0161,2177.0,0.0432,1179.0,0.0234,3245.0,0.0644,72.0,0.0014,365.0,0.0072,157.0,0.0031,485.0,0.0096,1047.0,0.0208,2284.0,0.0453,1401.0,0.0278,3129.0,0.0621,2577.0,0.0511,6432.0,0.1276,133.0,0.0026,349.0,0.0069,17948.0,0.3559,50423.0,1.0,50423.0
Eltham,6643.0,0.1145,13311.0,0.2294,62.0,0.0011,687.0,0.0118,978.0,0.0169,4421.0,0.0762,81.0,0.0014,549.0,0.0095,4943.0,0.0852,19097.0,0.3292,6096.0,0.1051,24712.0,0.4259,701.0,0.0121,3076.0,0.053,1009.0,0.0174,3791.0,0.0653,2104.0,0.0363,6921.0,0.1193,3892.0,0.0671,13804.0,0.2379,9971.0,0.1719,38438.0,0.6625,5.0,0.0001,77.0,0.0013,117.0,0.002,573.0,0.0099,8.0,0.0001,123.0,0.0021,700.0,0.0121,1823.0,0.0314,948.0,0.0163,2571.0,0.0443,113.0,0.0019,536.0,0.0092,242.0,0.0042,703.0,0.0121,964.0,0.0166,2132.0,0.0367,1462.0,0.0252,3339.0,0.0576,2407.0,0.0415,5945.0,0.1025,92.0,0.0016,338.0,0.0058,19165.0,0.3303,58017.0,1.0,58017.0
Essendon,7098.0,0.1376,14090.0,0.2731,29.0,0.0006,425.0,0.0082,728.0,0.0141,3542.0,0.0687,21.0,0.0004,283.0,0.0055,4344.0,0.0842,16585.0,0.3214,5307.0,0.1029,20847.0,0.4041,476.0,0.0092,2252.0,0.0436,922.0,0.0179,3411.0,0.0661,1325.0,0.0257,4413.0,0.0855,2791.0,0.0541,10047.0,0.1947,8064.0,0.1563,30894.0,0.5988,6.0,0.0001,84.0,0.0016,115.0,0.0022,544.0,0.0105,3.0,0.0001,105.0,0.002,790.0,0.0153,1866.0,0.0362,983.0,0.0191,2560.0,0.0496,54.0,0.001,344.0,0.0067,289.0,0.0056,690.0,0.0134,965.0,0.0187,2030.0,0.0393,1378.0,0.0267,3116.0,0.0604,2318.0,0.0449,5702.0,0.1105,386.0,0.0075,908.0,0.0176,17922.0,0.3474,51595.0,1.0,51595.0
Eureka,8009.0,0.1365,16092.0,0.2743,76.0,0.0013,828.0,0.0141,837.0,0.0143,3830.0,0.0653,216.0,0.0037,1169.0,0.0199,4861.0,0.0829,19226.0,0.3277,6093.0,0.1039,25033.0,0.4267,382.0,0.0065,1655.0,0.0282,595.0,0.0101,2057.0,0.0351,1608.0,0.0274,4960.0,0.0846,2551.0,0.0435,8726.0,0.1487,8678.0,0.1479,33789.0,0.576,18.0,0.0003,229.0,0.0039,211.0,0.0036,908.0,0.0155,52.0,0.0009,452.0,0.0077,1262.0,0.0215,3245.0,0.0553,1673.0,0.0285,4855.0,0.0828,84.0,0.0014,378.0,0.0064,237.0,0.004,688.0,0.0117,1092.0,0.0186,2416.0,0.0412,1548.0,0.0264,3541.0,0.0604,3227.0,0.055,8334.0,0.1421,210.0,0.0036,536.0,0.0091,20122.0,0.343,58663.0,1.0,58663.0
Euroa,8542.0,0.1747,17064.0,0.3489,93.0,0.0019,745.0,0.0152,533.0,0.0109,2573.0,0.0526,120.0,0.0025,860.0,0.0176,3232.0,0.0661,12645.0,0.2586,4035.0,0.0825,16836.0,0.3442,254.0,0.0052,1343.0,0.0275,407.0,0.0083,1483.0,0.0303,1364.0,0.0279,4479.0,0.0916,2172.0,0.0444,7266.0,0.1486,6265.0,0.1281,24102.0,0.4928,14.0,0.0003,154.0,0.0031,130.0,0.0027,628.0,0.0128,64.0,0.0013,326.0,0.0067,991.0,0.0203,2683.0,0.0549,1313.0,0.0268,3837.0,0.0785,25.0,0.0005,295.0,0.006,186.0,0.0038,526.0,0.0108,1181.0,0.0241,2610.0,0.0534,1520.0,0.0311,3392.0,0.0694,2848.0,0.0582,7258.0,0.1484,207.0,0.0042,498.0,0.0102,17873.0,0.3654,48907.0,1.0,48907.0
Evelyn,6972.0,0.1181,14127.0,0.2392,116.0,0.002,941.0,0.0159,823.0,0.0139,4035.0,0.0683,166.0,0.0028,1084.0,0.0184,4959.0,0.084,19556.0,0.3312,6287.0,0.1065,25607.0,0.4336,606.0,0.0103,2751.0,0.0466,702.0,0.0119,2488.0,0.0421,2012.0,0.0341,6724.0,0.1139,3348.0,0.0567,11979.0,0.2029,9650.0,0.1634,37558.0,0.636,7.0,0.0001,119.0,0.002,131.0,0.0022,610.0,0.0103,39.0,0.0007,302.0,0.0051,802.0,0.0136,2164.0,0.0366,1094.0,0.0185,3165.0,0.0536,109.0,0.0018,548.0,0.0093,198.0,0.0034,536.0,0.0091,1081.0,0.0183,2531.0,0.0429,1548.0,0.0262,3607.0,0.0611,2694.0,0.0456,6890.0,0.1167,179.0,0.003,425.0,0.0072,19617.0,0.3322,59051.0,1.0,59051.0
Footscray,7551.0,0.1465,15220.0,0.2954,23.0,0.0004,277.0,0.0054,559.0,0.0108,2623.0,0.0509,38.0,0.0007,290.0,0.0056,4946.0,0.096,18458.0,0.3582,5704.0,0.1107,21607.0,0.4193,233.0,0.0045,1359.0,0.0264,690.0,0.0134,2369.0,0.046,1013.0,0.0197,3410.0,0.0662,1986.0,0.0385,7139.0,0.1385,7703.0,0.1495,28787.0,0.5587,0.0,0.0,65.0,0.0013,103.0,0.002,462.0,0.009,26.0,0.0005,207.0,0.004,876.0,0.017,2109.0,0.0409,1052.0,0.0204,2923.0,0.0567,50.0,0.001,375.0,0.0073,287.0,0.0056,709.0,0.0138,1144.0,0.0222,2460.0,0.0477,1545.0,0.03,3557.0,0.069,2649.0,0.0514,6421.0,0.1246,509.0,0.0099,1156.0,0.0224,18455.0,0.3581,51529.0,1.0,51529.0
Frankston,6582.0,0.1308,13260.0,0.2635,37.0,0.0007,460.0,0.0091,619.0,0.0123,2820.0,0.056,85.0,0.0017,626.0,0.0124,3889.0,0.0773,14775.0,0.2936,4721.0,0.0938,18746.0,0.3725,274.0,0.0054,1409.0,0.028,549.0,0.0109,1954.0,0.0388,1249.0,0.0248,4036.0,0.0802,2181.0,0.0433,7438.0,0.1478,6861.0,0.1363,26175.0,0.5201,20.0,0.0004,257.0,0.0051,247.0,0.0049,953.0,0.0189,72.0,0.0014,464.0,0.0092,1397.0,0.0278,3670.0,0.0729,1838.0,0.0365,5287.0,0.1051,115.0,0.0023,592.0,0.0118,347.0,0.0069,904.0,0.018,1558.0,0.031,3398.0,0.0675,2085.0,0.0414,4884.0,0.097,3954.0,0.0786,10158.0,0.2018,290.0,0.0058,617.0,0.0123,17802.0,0.3537,50327.0,1.0,50327.0
Geelong,7608.0,0.1445,15247.0,0.2897,62.0,0.0012,631.0,0.012,669.0,0.0127,3394.0,0.0645,72.0,0.0014,482.0,0.0092,4502.0,0.0855,17235.0,0.3274,5385.0,0.1023,21704.0,0.4123,303.0,0.0058,1404.0,0.0267,646.0,0.0123,2211.0,0.042,1273.0,0.0242,3942.0,0.0749,2246.0,0.0427,7629.0,0.1449,7612.0,0.1446,29351.0,0.5576,0.0,0.0,114.0,0.0022,138.0,0.0026,560.0,0.0106,62.0,0.0012,308.0,0.0059,1086.0,0.0206,2736.0,0.052,1378.0,0.0262,3732.0,0.0709,87.0,0.0017,438.0,0.0083,259.0,0.0049,693.0,0.0132,1201.0,0.0228,2579.0,0.049,1623.0,0.0308,3669.0,0.0697,2992.0,0.0568,7473.0,0.142,282.0,0.0054,607.0,0.0115,18567.0,0.3527,52636.0,1.0,52636.0
Gippsland East,9043.0,0.1937,18000.0,0.3855,85.0,0.0018,649.0,0.0139,431.0,0.0092,2426.0,0.052,147.0,0.0031,930.0,0.0199,3005.0,0.0644,11878.0,0.2544,3821.0,0.0818,15926.0,0.3411,198.0,0.0042,921.0,0.0197,349.0,0.0075,1236.0,0.0265,1204.0,0.0258,3894.0,0.0834,1843.0,0.0395,6092.0,0.1305,5672.0,0.1215,22015.0,0.4715,6.0,0.0001,109.0,0.0023,112.0,0.0024,584.0,0.0125,28.0,0.0006,360.0,0.0077,989.0,0.0212,2678.0,0.0574,1278.0,0.0274,3757.0,0.0805,38.0,0.0008,232.0,0.005,132.0,0.0028,381.0,0.0082,908.0,0.0194,1969.0,0.0422,1159.0,0.0248,2625.0,0.0562,2475.0,0.053,6372.0,0.1365,184.0,0.0039,437.0,0.0094,17398.0,0.3727,46687.0,1.0,46687.0
Gippsland South,8490.0,0.1753,16960.0,0.3501,73.0,0.0015,679.0,0.014,660.0,0.0136,3046.0,0.0629,130.0,0.0027,821.0,0.0169,3309.0,0.0683,13302.0,0.2746,4268.0,0.0881,17846.0,0.3684,254.0,0.0052,1273.0,0.0263,507.0,0.0105,1649.0,0.034,1278.0,0.0264,4011.0,0.0828,2117.0,0.0437,6927.0,0.143,6345.0,0.131,24823.0,0.5125,12.0,0.0002,112.0,0.0023,106.0,0.0022,592.0,0.0122,75.0,0.0015,375.0,0.0077,948.0,0.0196,2596.0,0.0536,1232.0,0.0254,3587.0,0.0741,35.0,0.0007,259.0,0.0053,173.0,0.0036,419.0,0.0087,891.0,0.0184,1935.0,0.0399,1221.0,0.0252,2650.0,0.0547,2497.0,0.0515,6256.0,0.1292,160.0,0.0033,423.0,0.0087,17580.0,0.3629,48439.0,1.0,48439.0
Glen Waverley,7856.0,0.1137,15842.0,0.2293,29.0,0.0004,471.0,0.0068,1303.0,0.0189,5722.0,0.0828,55.0,0.0008,461.0,0.0067,5609.0,0.0812,21222.0,0.3071,7033.0,0.1018,27795.0,0.4022,718.0,0.0104,3353.0,0.0485,1689.0,0.0244,6096.0,0.0882,2361.0,0.0342,7569.0,0.1095,4802.0,0.0695,16987.0,0.2458,11824.0,0.1711,44871.0,0.6493,5.0,0.0001,124.0,0.0018,151.0,0.0022,785.0,0.0114,15.0,0.0002,163.0,0.0024,785.0,0.0114,2011.0,0.0291,1079.0,0.0156,3088.0,0.0447,135.0,0.002,638.0,0.0092,596.0,0.0086,1402.0,0.0203,1182.0,0.0171,2667.0,0.0386,1944.0,0.0281,4652.0,0.0673,3055.0,0.0442,7776.0,0.1125,274.0,0.004,637.0,0.0092,23054.0,0.3336,69103.0,1.0,69103.0
Greenvale,4664.0,0.0683,9459.0,0.1385,333.0,0.0049,2401.0,0.0352,1357.0,0.0199,6968.0,0.102,258.0,0.0038,1542.0,0.0226,4949.0,0.0725,20354.0,0.2981,7037.0,0.1031,31310.0,0.4585,1006.0,0.0147,4618.0,0.0676,821.0,0.012,3116.0,0.0456,2610.0,0.0382,9316.0,0.1364,4480.0,0.0656,16989.0,0.2488,11548.0,0.1691,48259.0,0.7067,46.0,0.0007,478.0,0.007,207.0,0.003,1030.0,0.0151,59.0,0.0009,503.0,0.0074,932.0,0.0136,2814.0,0.0412,1417.0,0.0208,4796.0,0.0702,174.0,0.0025,901.0,0.0132,245.0,0.0036,732.0,0.0107,1453.0,0.0213,3607.0,0.0528,2056.0,0.0301,5145.0,0.0753,3447.0,0.0505,9928.0,0.1454,206.0,0.003,582.0,0.0085,19800.0,0.29,68284.0,1.0,68284.0
Hastings,7083.0,0.1324,14277.0,0.2668,93.0,0.0017,752.0,0.0141,712.0,0.0133,3427.0,0.064,206.0,0.0038,1049.0,0.0196,4221.0,0.0789,16459.0,0.3076,5345.0,0.0999,21676.0,0.405,435.0,0.0081,1858.0,0.0347,525.0,0.0098,1853.0,0.0346,1715.0,0.032,5609.0,0.1048,2723.0,0.0509,9254.0,0.1729,8052.0,0.1505,30987.0,0.579,22.0,0.0004,212.0,0.004,169.0,0.0032,727.0,0.0136,46.0,0.0009,394.0,0.0074,1055.0,0.0197,2878.0,0.0538,1452.0,0.0271,4139.0,0.0773,81.0,0.0015,437.0,0.0082,287.0,0.0054,652.0,0.0122,1188.0,0.0222,2581.0,0.0482,1637.0,0.0306,3624.0,0.0677,3073.0,0.0574,7847.0,0.1466,151.0,0.0028,460.0,0.0086,18424.0,0.3443,53516.0,1.0,53516.0
