district,Num_Psns_UR_1_FamHhold_pc,Num_Psns_UR_1_NonFamHhold_pc,Num_Psns_UR_1_Total_pc,Num_Psns_UR_2_FamHhold_pc,Num_Psns_UR_2_NonFamHhold_pc,Num_Psns_UR_2_Total_pc,Num_Psns_UR_3_FamHhold_pc,Num_Psns_UR_3_NonFamHhold_pc,Num_Psns_UR_3_Total_pc,Num_Psns_UR_4_FamHhold_pc,Num_Psns_UR_4_NonFamHhold_pc,Num_Psns_UR_4_Total_pc,Num_Psns_UR_5_FamHhold_pc,Num_Psns_UR_5_NonFamHhold_pc,Num_Psns_UR_5_Total_pc,Num_Psns_UR_6mo_FamHhold_pc,Num_Psns_UR_6mo_NonFamHhold_pc,Num_Psns_UR_6mo_Total_pc,Total_FamHhold_pc,Total_NonFamHhold_pc,Total_Total_pc
Euroa,Null,0.3015,0.3015,0.3644,0.0213,0.3837,0.1265,0.0014,0.1272,0.1084,0.0,0.109,0.0502,0.0,0.0505,0.022,0.0002,0.0225,0.6722,0.328,1.0
Evelyn,Null,0.1915,0.1915,0.3145,0.0135,0.3274,0.1693,0.0007,0.1715,0.1946,0.0001,0.1953,0.0787,0.0,0.079,0.034,0.0001,0.0343,0.79,0.2081,1.0
Footscray,Null,0.3015,0.3015,0.2917,0.046,0.3365,0.1452,0.0178,0.1666,0.1352,0.0042,0.1406,0.038,0.0009,0.0404,0.0133,0.0004,0.014,0.6228,0.378,1.0
Frankston,Null,0.3224,0.3224,0.3005,0.0276,0.3268,0.1496,0.0032,0.1536,0.1295,0.0004,0.1303,0.0463,0.0,0.0464,0.0175,0.0,0.0178,0.6449,0.3587,1.0
Geelong,Null,0.3252,0.3252,0.3005,0.0272,0.3313,0.1323,0.0089,0.1411,0.1247,0.0031,0.128,0.0515,0.0002,0.0526,0.0147,0.0,0.0159,0.6303,0.3704,1.0
Gippsland East,Null,0.3083,0.3083,0.3841,0.017,0.4057,0.1132,0.0016,0.1151,0.1022,0.0004,0.1031,0.0492,0.0,0.0494,0.0191,0.0,0.0199,0.6706,0.3299,1.0
Gippsland South,Null,0.3031,0.3031,0.3643,0.0176,0.3855,0.1228,0.0009,0.1255,0.109,0.0,0.1089,0.0574,0.0,0.0577,0.0237,0.0,0.0236,0.6757,0.3249,1.0
Glen Waverley,Null,0.1877,0.1877,0.292,0.0129,0.3043,0.1787,0.0056,0.1863,0.2148,0.0021,0.2199,0.0721,0.0007,0.074,0.03,0.0004,0.0321,0.7852,0.2166,1.0
Greenvale,Null,0.1281,0.1281,0.2306,0.0098,0.2443,0.1868,0.0015,0.1912,0.2215,0.0005,0.2239,0.121,0.0,0.1215,0.0942,0.0,0.0947,0.8558,0.1463,1.0
Hastings,Null,0.2504,0.2504,0.32,0.0151,0.3379,0.1567,0.0003,0.1582,0.1619,0.0,0.162,0.0654,0.0,0.0656,0.0261,0.0,0.0262,0.7311,0.2681,1.0
Hawthorn,Null,0.3081,0.3081,0.302,0.0369,0.3391,0.1238,0.0101,0.134,0.1477,0.0022,0.1513,0.0538,0.0004,0.056,0.0125,0.0003,0.0135,0.637,0.3639,1.0
Ivanhoe,Null,0.2714,0.2714,0.2997,0.0228,0.3236,0.1538,0.0063,0.1631,0.1659,0.0023,0.1686,0.0535,0.0003,0.0537,0.0164,0.0,0.0169,0.6908,0.3075,1.0
Kalkallo,Null,0.1297,0.1297,0.2135,0.0138,0.2289,0.2033,0.0018,0.2081,0.2419,0.0009,0.2429,0.1118,0.0001,0.1127,0.0761,0.0001,0.0763,0.8486,0.1505,1.0
Kew,Null,0.226,0.226,0.2856,0.0159,0.305,0.1657,0.0055,0.1714,0.194,0.0018,0.196,0.0727,0.0006,0.0739,0.0233,0.0,0.0243,0.7404,0.2585,1.0
Kororoit,Null,0.1536,0.1536,0.2276,0.0126,0.2433,0.1929,0.0027,0.1974,0.2306,0.0012,0.2336,0.1022,0.0,0.1045,0.0704,0.0,0.0713,0.8214,0.1794,1.0
Lara,Null,0.2877,0.2877,0.2986,0.0243,0.3248,0.159,0.0047,0.1656,0.1336,0.0011,0.1358,0.0569,0.0002,0.0579,0.031,0.0,0.0305,0.6758,0.3209,1.0
Laverton,Null,0.1921,0.1921,0.231,0.0291,0.2606,0.1956,0.011,0.2062,0.1856,0.0071,0.1958,0.0805,0.0024,0.0845,0.0601,0.0017,0.0632,0.7499,0.2502,1.0
Lowan,Null,0.3335,0.3335,0.3469,0.0179,0.3696,0.1194,0.0013,0.1218,0.1,0.0001,0.1011,0.0511,0.0,0.0515,0.019,0.0,0.0192,0.641,0.3583,1.0
Macedon,Null,0.2246,0.2246,0.3519,0.0147,0.369,0.1432,0.0006,0.1458,0.1664,0.0,0.1665,0.0677,0.0001,0.0684,0.0239,0.0,0.0242,0.7562,0.2431,1.0
Malvern,Null,0.3241,0.3241,0.3051,0.0338,0.3388,0.1211,0.0105,0.1328,0.1332,0.0025,0.1362,0.0506,0.0005,0.0521,0.0085,0.0002,0.0088,0.6226,0.3776,1.0
Melbourne,Null,0.4318,0.4318,0.2861,0.1014,0.3867,0.0802,0.0284,0.1086,0.0415,0.0103,0.0524,0.0082,0.0023,0.0115,0.0037,0.0007,0.0049,0.4209,0.579,1.0
Melton,Null,0.2023,0.2023,0.259,0.0187,0.2808,0.1828,0.0018,0.1853,0.179,0.0,0.1794,0.088,0.0,0.0883,0.064,0.0,0.0644,0.7733,0.2268,1.0
Mildura,Null,0.2934,0.2934,0.3303,0.0224,0.3511,0.1314,0.0042,0.1358,0.1186,0.0014,0.1207,0.0603,0.0003,0.0615,0.0323,0.0008,0.0349,0.6714,0.3303,1.0
Mill Park,Null,0.1747,0.1747,0.2644,0.0153,0.2836,0.1918,0.0021,0.1956,0.2143,0.0006,0.216,0.0858,0.0,0.0866,0.0392,0.0002,0.0398,0.8002,0.1982,1.0
Monbulk,Null,0.2007,0.2007,0.3197,0.0155,0.3378,0.1686,0.0013,0.1728,0.1901,0.0,0.1913,0.0724,0.0,0.0726,0.0267,0.0,0.027,0.7764,0.2237,1.0
Mordialloc,Null,0.2336,0.2336,0.277,0.0136,0.2917,0.1693,0.0015,0.1725,0.2056,0.0001,0.2066,0.0725,0.0,0.0736,0.022,0.0,0.022,0.748,0.2544,1.0
Mornington,Null,0.2451,0.2451,0.3409,0.0094,0.353,0.1388,0.0007,0.1402,0.1716,0.0,0.1725,0.0699,0.0,0.07,0.0184,0.0,0.0184,0.7425,0.2579,1.0
Morwell,Null,0.3271,0.3271,0.3226,0.0239,0.347,0.1323,0.0005,0.1345,0.1191,0.0,0.1198,0.0478,0.0,0.048,0.0222,0.0,0.0229,0.6453,0.3524,1.0
Mulgrave,Null,0.2214,0.2214,0.2766,0.0231,0.3021,0.1742,0.0074,0.1851,0.1674,0.0042,0.1746,0.0696,0.0021,0.0722,0.0426,0.0007,0.0445,0.7333,0.2673,1.0
Murray Plains,Null,0.2977,0.2977,0.3551,0.0192,0.3771,0.1247,0.0016,0.1289,0.1117,0.0002,0.112,0.0586,0.0,0.0585,0.0268,0.0,0.0267,0.6761,0.3241,1.0
Narracan,Null,0.2478,0.2478,0.348,0.0134,0.3659,0.1426,0.0002,0.1441,0.1422,0.0001,0.1436,0.0675,0.0004,0.0678,0.0327,0.0,0.0325,0.7339,0.2658,1.0
Narre Warren North,Null,0.1728,0.1728,0.2815,0.0161,0.3006,0.1863,0.0022,0.1903,0.1904,0.0013,0.192,0.0849,0.0001,0.0855,0.0562,0.0,0.0564,0.7974,0.201,1.0
Narre Warren South,Null,0.1282,0.1282,0.2181,0.0131,0.2308,0.1959,0.0024,0.2005,0.2326,0.0006,0.235,0.1114,0.0,0.1121,0.0892,0.0,0.0893,0.8484,0.1509,1.0
Nepean,Null,0.3082,0.3082,0.3892,0.0187,0.4088,0.1183,0.0012,0.1209,0.1041,0.0002,0.105,0.0394,0.0,0.0398,0.0129,0.0,0.013,0.6673,0.3303,1.0
Niddrie,Null,0.2294,0.2294,0.3073,0.0164,0.3207,0.1711,0.001,0.1753,0.1862,0.0001,0.1873,0.0636,0.0,0.0643,0.0205,0.0,0.021,0.7501,0.2483,1.0
Northcote,Null,0.3211,0.3211,0.2798,0.0401,0.3186,0.135,0.0238,0.16,0.1381,0.0077,0.1501,0.0387,0.0012,0.0407,0.0083,0.0,0.009,0.6001,0.3985,1.0
Oakleigh,Null,0.2783,0.2783,0.2823,0.0431,0.3253,0.1528,0.0188,0.1735,0.1432,0.0108,0.1561,0.0431,0.0038,0.047,0.0141,0.0023,0.0167,0.634,0.3646,1.0
Ovens Valley,Null,0.3016,0.3016,0.3721,0.0179,0.3895,0.1149,0.0011,0.1176,0.1104,0.0003,0.1108,0.0558,0.0,0.0563,0.021,0.0002,0.0215,0.677,0.325,1.0
Pakenham,Null,0.2001,0.2001,0.274,0.0188,0.2961,0.1782,0.0016,0.1822,0.1908,0.0005,0.1927,0.0813,0.0,0.0815,0.0493,0.0,0.0496,0.7744,0.228,1.0
Pascoe Vale,Null,0.2757,0.2757,0.2839,0.0367,0.3234,0.1527,0.0182,0.172,0.1602,0.0064,0.1667,0.0439,0.0014,0.0461,0.0144,0.0002,0.0151,0.6554,0.3428,1.0
Point Cook,Null,0.1578,0.1578,0.2399,0.0174,0.2569,0.211,0.003,0.2167,0.2431,0.001,0.2466,0.0809,0.0006,0.0824,0.0402,0.0001,0.0401,0.8153,0.1836,1.0
Polwarth,Null,0.2697,0.2697,0.3462,0.0212,0.3689,0.1268,0.003,0.1332,0.1394,0.0014,0.1414,0.0641,0.0003,0.0646,0.0216,0.0002,0.0218,0.7023,0.2982,1.0
Prahran,Null,0.4739,0.4739,0.3091,0.065,0.3756,0.0745,0.0187,0.0931,0.0413,0.003,0.0448,0.0086,0.0001,0.0094,0.0019,0.0001,0.0019,0.4371,0.5648,1.0
Preston,Null,0.3006,0.3006,0.2897,0.0399,0.3273,0.1489,0.0134,0.1625,0.1334,0.0051,0.1383,0.0434,0.0007,0.0457,0.0209,0.0005,0.0217,0.6377,0.3632,1.0
Richmond,Null,0.3832,0.3832,0.3139,0.0646,0.3776,0.0978,0.0358,0.1331,0.0674,0.0111,0.0785,0.018,0.0008,0.02,0.0053,0.0002,0.0058,0.5023,0.497,1.0
Ringwood,Null,0.2673,0.2673,0.2871,0.0243,0.3134,0.1647,0.0042,0.1709,0.1688,0.0014,0.1712,0.0604,0.0002,0.0618,0.0192,0.0001,0.0193,0.6991,0.3017,1.0
Ripon,Null,0.299,0.299,0.3498,0.0178,0.3695,0.1217,0.0006,0.1246,0.1212,0.0002,0.122,0.0563,0.0001,0.0564,0.0261,0.0002,0.0263,0.6765,0.3249,1.0
Rowville,Null,0.1669,0.1669,0.2906,0.0115,0.3034,0.1937,0.0013,0.1958,0.221,0.0002,0.2223,0.0797,0.0,0.0801,0.0298,0.0,0.0298,0.8145,0.184,1.0
Sandringham,Null,0.2831,0.2831,0.3187,0.0143,0.3326,0.1427,0.0013,0.1453,0.168,0.0004,0.1687,0.0584,0.0,0.0582,0.0094,0.0,0.0094,0.6983,0.3019,1.0
Shepparton,Null,0.2861,0.2861,0.3171,0.0208,0.3385,0.1371,0.0045,0.142,0.1325,0.0004,0.134,0.0622,0.0003,0.0633,0.0361,0.0004,0.0374,0.6833,0.3169,1.0
South Barwon,Null,0.225,0.225,0.3103,0.0217,0.3331,0.1551,0.0096,0.1665,0.1727,0.0055,0.1821,0.0649,0.0021,0.0679,0.022,0.0008,0.024,0.7302,0.2709,1.0
South-West Coast,Null,0.2904,0.2904,0.3521,0.0205,0.3702,0.1317,0.003,0.1355,0.1224,0.0008,0.1238,0.0552,0.0001,0.0557,0.0198,0.0,0.0202,0.6822,0.3186,1.0
St Albans,Null,0.2105,0.2105,0.2594,0.0218,0.2799,0.1729,0.0086,0.1843,0.1678,0.0039,0.1747,0.0784,0.0014,0.0812,0.0647,0.0,0.0653,0.7452,0.2545,1.0
Sunbury,Null,0.2326,0.2326,0.3113,0.0176,0.3309,0.1754,0.0014,0.1785,0.167,0.0002,0.1678,0.0663,0.0,0.0668,0.0251,0.0,0.0255,0.7445,0.2533,1.0
Sydenham,Null,0.1387,0.1387,0.2327,0.0088,0.2445,0.1992,0.0007,0.1999,0.2556,0.0003,0.2556,0.1071,0.0,0.1078,0.0502,0.0,0.05,0.8468,0.1526,1.0
Tarneit,Null,0.15,0.15,0.2222,0.0161,0.2398,0.2023,0.0042,0.2091,0.2277,0.0024,0.232,0.0944,0.0007,0.0971,0.0739,0.0002,0.0746,0.8189,0.1798,1.0
Thomastown,Null,0.1965,0.1965,0.2618,0.0156,0.2809,0.1826,0.0049,0.1897,0.1888,0.0015,0.192,0.086,0.0005,0.087,0.0534,0.0005,0.055,0.7759,0.2243,1.0
Warrandyte,Null,0.1702,0.1702,0.3022,0.0086,0.3115,0.1777,0.0012,0.1801,0.2202,0.0003,0.2207,0.0838,0.0,0.0847,0.0294,0.0,0.0294,0.8117,0.1857,1.0
Wendouree,Null,0.3272,0.3272,0.3098,0.0281,0.3382,0.1361,0.0059,0.142,0.119,0.001,0.1207,0.0511,0.0,0.0513,0.0174,0.0001,0.0178,0.6345,0.3642,1.0
Werribee,Null,0.2037,0.2037,0.2613,0.0236,0.285,0.1979,0.0026,0.2026,0.1868,0.001,0.1882,0.0743,0.0,0.075,0.0466,0.0,0.0469,0.7663,0.2345,1.0
Williamstown,Null,0.2687,0.2687,0.3032,0.0205,0.3268,0.1591,0.0027,0.1623,0.1693,0.0006,0.1715,0.0536,0.0,0.0543,0.0165,0.0,0.017,0.7031,0.2933,1.0
Yan Yean,Null,0.1496,0.1496,0.2613,0.0108,0.2732,0.1922,0.0,0.193,0.2366,0.0,0.2372,0.1022,0.0,0.1026,0.0413,0.0,0.0417,0.8312,0.1658,1.0
