district,census_variable,value
Albert Park,A_0_4_y_Indigenous_M_n,4.0
Ashwood,A_0_4_y_Indigenous_M_n,0.0
Bass,A_0_4_y_Indigenous_M_n,26.0
Bayswater,A_0_4_y_Indigenous_M_n,7.0
Bellarine,A_0_4_y_Indigenous_M_n,3.0
Benambra,A_0_4_y_Indigenous_M_n,67.0
Bendigo East,A_0_4_y_Indigenous_M_n,68.0
Bendigo West,A_0_4_y_Indigenous_M_n,34.0
Bentleigh,A_0_4_y_Indigenous_M_n,3.0
Berwick,A_0_4_y_Indigenous_M_n,12.0
Box Hill,A_0_4_y_Indigenous_M_n,3.0
Brighton,A_0_4_y_Indigenous_M_n,0.0
Broadmeadows,A_0_4_y_Indigenous_M_n,12.0
Brunswick,A_0_4_y_Indigenous_M_n,4.0
Bulleen,A_0_4_y_Indigenous_M_n,3.0
Bundoora,A_0_4_y_Indigenous_M_n,8.0
Carrum,A_0_4_y_Indigenous_M_n,17.0
Caulfield,A_0_4_y_Indigenous_M_n,0.0
Clarinda,A_0_4_y_Indigenous_M_n,3.0
Cranbourne,A_0_4_y_Indigenous_M_n,47.0
Croydon,A_0_4_y_Indigenous_M_n,12.0
Dandenong,A_0_4_y_Indigenous_M_n,7.0
Eildon,A_0_4_y_Indigenous_M_n,11.0
Eltham,A_0_4_y_Indigenous_M_n,6.0
Essendon,A_0_4_y_Indigenous_M_n,5.0
Eureka,A_0_4_y_Indigenous_M_n,27.0
Euroa,A_0_4_y_Indigenous_M_n,45.0
Evelyn,A_0_4_y_Indigenous_M_n,7.0
Footscray,A_0_4_y_Indigenous_M_n,6.0
Frankston,A_0_4_y_Indigenous_M_n,30.0
Geelong,A_0_4_y_Indigenous_M_n,23.0
Gippsland East,A_0_4_y_Indigenous_M_n,89.0
Gippsland South,A_0_4_y_Indigenous_M_n,29.0
Glen Waverley,A_0_4_y_Indigenous_M_n,0.0
Greenvale,A_0_4_y_Indigenous_M_n,7.0
Hastings,A_0_4_y_Indigenous_M_n,35.0
Hawthorn,A_0_4_y_Indigenous_M_n,0.0
Ivanhoe,A_0_4_y_Indigenous_M_n,6.0
Kalkallo,A_0_4_y_Indigenous_M_n,18.0
Kew,A_0_4_y_Indigenous_M_n,6.0
Kororoit,A_0_4_y_Indigenous_M_n,7.0
Lara,A_0_4_y_Indigenous_M_n,39.0
Laverton,A_0_4_y_Indigenous_M_n,6.0
Lowan,A_0_4_y_Indigenous_M_n,36.0
Macedon,A_0_4_y_Indigenous_M_n,21.0
Malvern,A_0_4_y_Indigenous_M_n,0.0
Melbourne,A_0_4_y_Indigenous_M_n,5.0
Melton,A_0_4_y_Indigenous_M_n,66.0
Mildura,A_0_4_y_Indigenous_M_n,147.0
Mill Park,A_0_4_y_Indigenous_M_n,0.0
Monbulk,A_0_4_y_Indigenous_M_n,8.0
Mordialloc,A_0_4_y_Indigenous_M_n,9.0
Mornington,A_0_4_y_Indigenous_M_n,0.0
Morwell,A_0_4_y_Indigenous_M_n,61.0
Mulgrave,A_0_4_y_Indigenous_M_n,3.0
Murray Plains,A_0_4_y_Indigenous_M_n,75.0
Narracan,A_0_4_y_Indigenous_M_n,28.0
Narre Warren North,A_0_4_y_Indigenous_M_n,14.0
Narre Warren South,A_0_4_y_Indigenous_M_n,26.0
Nepean,A_0_4_y_Indigenous_M_n,25.0
Niddrie,A_0_4_y_Indigenous_M_n,8.0
Northcote,A_0_4_y_Indigenous_M_n,3.0
Oakleigh,A_0_4_y_Indigenous_M_n,3.0
Ovens Valley,A_0_4_y_Indigenous_M_n,4.0
Pakenham,A_0_4_y_Indigenous_M_n,17.0
Pascoe Vale,A_0_4_y_Indigenous_M_n,26.0
Point Cook,A_0_4_y_Indigenous_M_n,8.0
Polwarth,A_0_4_y_Indigenous_M_n,11.0
Prahran,A_0_4_y_Indigenous_M_n,0.0
Preston,A_0_4_y_Indigenous_M_n,25.0
Richmond,A_0_4_y_Indigenous_M_n,0.0
Ringwood,A_0_4_y_Indigenous_M_n,4.0
Ripon,A_0_4_y_Indigenous_M_n,41.0
Rowville,A_0_4_y_Indigenous_M_n,0.0
Sandringham,A_0_4_y_Indigenous_M_n,5.0
Shepparton,A_0_4_y_Indigenous_M_n,130.0
South Barwon,A_0_4_y_Indigenous_M_n,9.0
South-West Coast,A_0_4_y_Indigenous_M_n,48.0
St Albans,A_0_4_y_Indigenous_M_n,7.0
Sunbury,A_0_4_y_Indigenous_M_n,20.0
Sydenham,A_0_4_y_Indigenous_M_n,3.0
Tarneit,A_0_4_y_Indigenous_M_n,0.0
Thomastown,A_0_4_y_Indigenous_M_n,14.0
Warrandyte,A_0_4_y_Indigenous_M_n,4.0
Wendouree,A_0_4_y_Indigenous_M_n,44.0
Werribee,A_0_4_y_Indigenous_M_n,56.0
Williamstown,A_0_4_y_Indigenous_M_n,9.0
Yan Yean,A_0_4_y_Indigenous_M_n,33.0
Albert Park,A_0_4_y_Indigenous_M_pc,0.0001
Ashwood,A_0_4_y_Indigenous_M_pc,0.0
Bass,A_0_4_y_Indigenous_M_pc,0.0004
Bayswater,A_0_4_y_Indigenous_M_pc,0.0001
Bellarine,A_0_4_y_Indigenous_M_pc,0.0
Benambra,A_0_4_y_Indigenous_M_pc,0.001
Bendigo East,A_0_4_y_Indigenous_M_pc,0.0009
Bendigo West,A_0_4_y_Indigenous_M_pc,0.0005
Bentleigh,A_0_4_y_Indigenous_M_pc,0.0
Berwick,A_0_4_y_Indigenous_M_pc,0.0001
Box Hill,A_0_4_y_Indigenous_M_pc,0.0
Brighton,A_0_4_y_Indigenous_M_pc,0.0
Broadmeadows,A_0_4_y_Indigenous_M_pc,0.0001
Brunswick,A_0_4_y_Indigenous_M_pc,0.0001
Bulleen,A_0_4_y_Indigenous_M_pc,0.0
Bundoora,A_0_4_y_Indigenous_M_pc,0.0001
Carrum,A_0_4_y_Indigenous_M_pc,0.0002
Caulfield,A_0_4_y_Indigenous_M_pc,0.0
Clarinda,A_0_4_y_Indigenous_M_pc,0.0
Cranbourne,A_0_4_y_Indigenous_M_pc,0.0005
Croydon,A_0_4_y_Indigenous_M_pc,0.0002
Dandenong,A_0_4_y_Indigenous_M_pc,0.0001
Eildon,A_0_4_y_Indigenous_M_pc,0.0002
Eltham,A_0_4_y_Indigenous_M_pc,0.0001
Essendon,A_0_4_y_Indigenous_M_pc,0.0001
Eureka,A_0_4_y_Indigenous_M_pc,0.0004
Euroa,A_0_4_y_Indigenous_M_pc,0.0007
Evelyn,A_0_4_y_Indigenous_M_pc,0.0001
Footscray,A_0_4_y_Indigenous_M_pc,0.0001
Frankston,A_0_4_y_Indigenous_M_pc,0.0004
Geelong,A_0_4_y_Indigenous_M_pc,0.0003
Gippsland East,A_0_4_y_Indigenous_M_pc,0.0014
Gippsland South,A_0_4_y_Indigenous_M_pc,0.0004
Glen Waverley,A_0_4_y_Indigenous_M_pc,0.0
Greenvale,A_0_4_y_Indigenous_M_pc,0.0001
Hastings,A_0_4_y_Indigenous_M_pc,0.0005
Hawthorn,A_0_4_y_Indigenous_M_pc,0.0
Ivanhoe,A_0_4_y_Indigenous_M_pc,0.0001
Kalkallo,A_0_4_y_Indigenous_M_pc,0.0002
Kew,A_0_4_y_Indigenous_M_pc,0.0001
Kororoit,A_0_4_y_Indigenous_M_pc,0.0001
Lara,A_0_4_y_Indigenous_M_pc,0.0006
Laverton,A_0_4_y_Indigenous_M_pc,0.0001
Lowan,A_0_4_y_Indigenous_M_pc,0.0005
Macedon,A_0_4_y_Indigenous_M_pc,0.0003
Malvern,A_0_4_y_Indigenous_M_pc,0.0
Melbourne,A_0_4_y_Indigenous_M_pc,0.0
Melton,A_0_4_y_Indigenous_M_pc,0.0008
