district,census_variable,value
Albert Park,M_0_299_DS_DS_Sept_house,36.0
Ashwood,M_0_299_DS_DS_Sept_house,481.0
Bass,M_0_299_DS_DS_Sept_house,358.0
Bayswater,M_0_299_DS_DS_Sept_house,411.0
Bellarine,M_0_299_DS_DS_Sept_house,387.0
Benambra,M_0_299_DS_DS_Sept_house,357.0
Bendigo East,M_0_299_DS_DS_Sept_house,352.0
Bendigo West,M_0_299_DS_DS_Sept_house,365.0
Bentleigh,M_0_299_DS_DS_Sept_house,422.0
Berwick,M_0_299_DS_DS_Sept_house,348.0
Box Hill,M_0_299_DS_DS_Sept_house,449.0
Brighton,M_0_299_DS_DS_Sept_house,282.0
Broadmeadows,M_0_299_DS_DS_Sept_house,310.0
Brunswick,M_0_299_DS_DS_Sept_house,108.0
Bulleen,M_0_299_DS_DS_Sept_house,417.0
Bundoora,M_0_299_DS_DS_Sept_house,415.0
Carrum,M_0_299_DS_DS_Sept_house,354.0
Caulfield,M_0_299_DS_DS_Sept_house,202.0
Clarinda,M_0_299_DS_DS_Sept_house,416.0
Cranbourne,M_0_299_DS_DS_Sept_house,315.0
Croydon,M_0_299_DS_DS_Sept_house,466.0
Dandenong,M_0_299_DS_DS_Sept_house,343.0
Eildon,M_0_299_DS_DS_Sept_house,439.0
Eltham,M_0_299_DS_DS_Sept_house,449.0
Essendon,M_0_299_DS_DS_Sept_house,248.0
Eureka,M_0_299_DS_DS_Sept_house,440.0
Euroa,M_0_299_DS_DS_Sept_house,382.0
Evelyn,M_0_299_DS_DS_Sept_house,500.0
Footscray,M_0_299_DS_DS_Sept_house,268.0
Frankston,M_0_299_DS_DS_Sept_house,305.0
Geelong,M_0_299_DS_DS_Sept_house,376.0
Gippsland East,M_0_299_DS_DS_Sept_house,329.0
Gippsland South,M_0_299_DS_DS_Sept_house,401.0
Glen Waverley,M_0_299_DS_DS_Sept_house,545.0
Greenvale,M_0_299_DS_DS_Sept_house,424.0
Hastings,M_0_299_DS_DS_Sept_house,429.0
Hawthorn,M_0_299_DS_DS_Sept_house,314.0
Ivanhoe,M_0_299_DS_DS_Sept_house,362.0
Kalkallo,M_0_299_DS_DS_Sept_house,324.0
Kew,M_0_299_DS_DS_Sept_house,446.0
Kororoit,M_0_299_DS_DS_Sept_house,514.0
Lara,M_0_299_DS_DS_Sept_house,342.0
Laverton,M_0_299_DS_DS_Sept_house,342.0
Lowan,M_0_299_DS_DS_Sept_house,548.0
Macedon,M_0_299_DS_DS_Sept_house,390.0
Malvern,M_0_299_DS_DS_Sept_house,254.0
Melbourne,M_0_299_DS_DS_Sept_house,3.0
Melton,M_0_299_DS_DS_Sept_house,391.0
Mildura,M_0_299_DS_DS_Sept_house,359.0
Mill Park,M_0_299_DS_DS_Sept_house,381.0
Monbulk,M_0_299_DS_DS_Sept_house,515.0
Mordialloc,M_0_299_DS_DS_Sept_house,343.0
Mornington,M_0_299_DS_DS_Sept_house,435.0
Morwell,M_0_299_DS_DS_Sept_house,379.0
Mulgrave,M_0_299_DS_DS_Sept_house,400.0
Murray Plains,M_0_299_DS_DS_Sept_house,374.0
Narracan,M_0_299_DS_DS_Sept_house,327.0
Narre Warren North,M_0_299_DS_DS_Sept_house,529.0
Narre Warren South,M_0_299_DS_DS_Sept_house,488.0
Nepean,M_0_299_DS_DS_Sept_house,353.0
Niddrie,M_0_299_DS_DS_Sept_house,336.0
Northcote,M_0_299_DS_DS_Sept_house,305.0
Oakleigh,M_0_299_DS_DS_Sept_house,320.0
Ovens Valley,M_0_299_DS_DS_Sept_house,325.0
Pakenham,M_0_299_DS_DS_Sept_house,290.0
Pascoe Vale,M_0_299_DS_DS_Sept_house,272.0
Point Cook,M_0_299_DS_DS_Sept_house,483.0
Polwarth,M_0_299_DS_DS_Sept_house,424.0
Prahran,M_0_299_DS_DS_Sept_house,41.0
Preston,M_0_299_DS_DS_Sept_house,216.0
Richmond,M_0_299_DS_DS_Sept_house,51.0
Ringwood,M_0_299_DS_DS_Sept_house,434.0
Ripon,M_0_299_DS_DS_Sept_house,477.0
Rowville,M_0_299_DS_DS_Sept_house,465.0
Sandringham,M_0_299_DS_DS_Sept_house,299.0
Shepparton,M_0_299_DS_DS_Sept_house,295.0
South Barwon,M_0_299_DS_DS_Sept_house,328.0
South-West Coast,M_0_299_DS_DS_Sept_house,402.0
St Albans,M_0_299_DS_DS_Sept_house,378.0
Sunbury,M_0_299_DS_DS_Sept_house,390.0
Sydenham,M_0_299_DS_DS_Sept_house,452.0
Tarneit,M_0_299_DS_DS_Sept_house,356.0
Thomastown,M_0_299_DS_DS_Sept_house,318.0
Warrandyte,M_0_299_DS_DS_Sept_house,444.0
Wendouree,M_0_299_DS_DS_Sept_house,282.0
Werribee,M_0_299_DS_DS_Sept_house,382.0
Williamstown,M_0_299_DS_DS_Sept_house,229.0
Yan Yean,M_0_299_DS_DS_Sept_house,312.0
Albert Park,M_0_299_DS_DS_Sept_house_pc,0.0044
Ashwood,M_0_299_DS_DS_Sept_house_pc,0.0522
Bass,M_0_299_DS_DS_Sept_house_pc,0.0382
Bayswater,M_0_299_DS_DS_Sept_house_pc,0.0385
Bellarine,M_0_299_DS_DS_Sept_house_pc,0.0418
Benambra,M_0_299_DS_DS_Sept_house_pc,0.0402
Bendigo East,M_0_299_DS_DS_Sept_house_pc,0.0348
Bendigo West,M_0_299_DS_DS_Sept_house_pc,0.0431
Bentleigh,M_0_299_DS_DS_Sept_house_pc,0.0405
Berwick,M_0_299_DS_DS_Sept_house_pc,0.0255
Box Hill,M_0_299_DS_DS_Sept_house_pc,0.0472
Brighton,M_0_299_DS_DS_Sept_house_pc,0.0358
Broadmeadows,M_0_299_DS_DS_Sept_house_pc,0.0366
Brunswick,M_0_299_DS_DS_Sept_house_pc,0.0144
Bulleen,M_0_299_DS_DS_Sept_house_pc,0.0497
Bundoora,M_0_299_DS_DS_Sept_house_pc,0.0454
Carrum,M_0_299_DS_DS_Sept_house_pc,0.0277
Caulfield,M_0_299_DS_DS_Sept_house_pc,0.024
Clarinda,M_0_299_DS_DS_Sept_house_pc,0.0475
Cranbourne,M_0_299_DS_DS_Sept_house_pc,0.0213
Croydon,M_0_299_DS_DS_Sept_house_pc,0.0388
Dandenong,M_0_299_DS_DS_Sept_house_pc,0.0401
Eildon,M_0_299_DS_DS_Sept_house_pc,0.0435
Eltham,M_0_299_DS_DS_Sept_house_pc,0.0429
Essendon,M_0_299_DS_DS_Sept_house_pc,0.0289
Eureka,M_0_299_DS_DS_Sept_house_pc,0.0382
Euroa,M_0_299_DS_DS_Sept_house_pc,0.0437
Evelyn,M_0_299_DS_DS_Sept_house_pc,0.0418
Footscray,M_0_299_DS_DS_Sept_house_pc,0.0274
Frankston,M_0_299_DS_DS_Sept_house_pc,0.0329
Geelong,M_0_299_DS_DS_Sept_house_pc,0.0401
Gippsland East,M_0_299_DS_DS_Sept_house_pc,0.0441
Gippsland South,M_0_299_DS_DS_Sept_house_pc,0.0479
Glen Waverley,M_0_299_DS_DS_Sept_house_pc,0.0619
Greenvale,M_0_299_DS_DS_Sept_house_pc,0.039
Hastings,M_0_299_DS_DS_Sept_house_pc,0.0397
Hawthorn,M_0_299_DS_DS_Sept_house_pc,0.0395
Ivanhoe,M_0_299_DS_DS_Sept_house_pc,0.045
Kalkallo,M_0_299_DS_DS_Sept_house_pc,0.0197
Kew,M_0_299_DS_DS_Sept_house_pc,0.0564
Kororoit,M_0_299_DS_DS_Sept_house_pc,0.0413
Lara,M_0_299_DS_DS_Sept_house_pc,0.0402
Laverton,M_0_299_DS_DS_Sept_house_pc,0.0289
Lowan,M_0_299_DS_DS_Sept_house_pc,0.0698
Macedon,M_0_299_DS_DS_Sept_house_pc,0.0387
Malvern,M_0_299_DS_DS_Sept_house_pc,0.035
Melbourne,M_0_299_DS_DS_Sept_house_pc,0.0004
Melton,M_0_299_DS_DS_Sept_house_pc,0.0308
Mildura,M_0_299_DS_DS_Sept_house_pc,0.0463
Mill Park,M_0_299_DS_DS_Sept_house_pc,0.038
Monbulk,M_0_299_DS_DS_Sept_house_pc,0.0431
Mordialloc,M_0_299_DS_DS_Sept_house_pc,0.0296
Mornington,M_0_299_DS_DS_Sept_house_pc,0.047
Morwell,M_0_299_DS_DS_Sept_house_pc,0.0402
Mulgrave,M_0_299_DS_DS_Sept_house_pc,0.0507
Murray Plains,M_0_299_DS_DS_Sept_house_pc,0.0494
Narracan,M_0_299_DS_DS_Sept_house_pc,0.033
Narre Warren North,M_0_299_DS_DS_Sept_house_pc,0.0474
Narre Warren South,M_0_299_DS_DS_Sept_house_pc,0.0349
Nepean,M_0_299_DS_DS_Sept_house_pc,0.0505
Niddrie,M_0_299_DS_DS_Sept_house_pc,0.0391
Northcote,M_0_299_DS_DS_Sept_house_pc,0.0362
Oakleigh,M_0_299_DS_DS_Sept_house_pc,0.0327
Ovens Valley,M_0_299_DS_DS_Sept_house_pc,0.0428
Pakenham,M_0_299_DS_DS_Sept_house_pc,0.0229
Pascoe Vale,M_0_299_DS_DS_Sept_house_pc,0.0304
Point Cook,M_0_299_DS_DS_Sept_house_pc,0.0357
Polwarth,M_0_299_DS_DS_Sept_house_pc,0.0473
Prahran,M_0_299_DS_DS_Sept_house_pc,0.0052
Preston,M_0_299_DS_DS_Sept_house_pc,0.0257
