district,census_variable,value,rank
Prahran,F_15_19y_DNUDW,280.0,1.0
Brunswick,F_15_19y_DNUDW,293.0,2.0
Richmond,F_15_19y_DNUDW,306.0,3.0
Gippsland East,F_15_19y_DNUDW,347.0,4.0
Albert Park,F_15_19y_DNUDW,387.0,5.0
Nepean,F_15_19y_DNUDW,410.0,6.0
Gippsland South,F_15_19y_DNUDW,411.0,7.0
Footscray,F_15_19y_DNUDW,443.0,8.0
Macedon,F_15_19y_DNUDW,448.0,9.0
Euroa,F_15_19y_DNUDW,463.0,10.0
Lowan,F_15_19y_DNUDW,467.0,11.0
Northcote,F_15_19y_DNUDW,471.0,12.0
Murray Plains,F_15_19y_DNUDW,481.0,13.0
Bass,F_15_19y_DNUDW,490.0,14.0
Eildon,F_15_19y_DNUDW,491.0,15.0
Pascoe Vale,F_15_19y_DNUDW,503.0,16.0
Preston,F_15_19y_DNUDW,510.0,17.0
Ovens Valley,F_15_19y_DNUDW,511.0,18.0
Bellarine,F_15_19y_DNUDW,517.0,19.0
Monbulk,F_15_19y_DNUDW,525.0,20.0
Williamstown,F_15_19y_DNUDW,542.0,21.0
Essendon,F_15_19y_DNUDW,546.0,22.0
Benambra,F_15_19y_DNUDW,548.0,23.0
Narracan,F_15_19y_DNUDW,549.0,24.0
Polwarth,F_15_19y_DNUDW,559.0,25.0
Mildura,F_15_19y_DNUDW,560.0,26.0
Caulfield,F_15_19y_DNUDW,572.0,27.0
Ripon,F_15_19y_DNUDW,579.0,28.0
Bendigo West,F_15_19y_DNUDW,583.0,29.0
Ivanhoe,F_15_19y_DNUDW,598.0,30.0
Sunbury,F_15_19y_DNUDW,605.0,31.0
Eltham,F_15_19y_DNUDW,613.0,32.0
Brighton,F_15_19y_DNUDW,629.0,33.0
Sandringham,F_15_19y_DNUDW,632.0,34.0
Frankston,F_15_19y_DNUDW,634.0,35.0
Ringwood,F_15_19y_DNUDW,636.0,36.0
South-West Coast,F_15_19y_DNUDW,638.0,37.0
Malvern,F_15_19y_DNUDW,641.0,38.0
Geelong,F_15_19y_DNUDW,649.0,39.0
Evelyn,F_15_19y_DNUDW,657.0,40.0
Bundoora,F_15_19y_DNUDW,666.0,41.0
South Barwon,F_15_19y_DNUDW,675.0,42.0
Oakleigh,F_15_19y_DNUDW,681.0,43.0
Wendouree,F_15_19y_DNUDW,685.0,44.0
Bayswater,F_15_19y_DNUDW,692.0,45.0
Bendigo East,F_15_19y_DNUDW,692.0,46.0
Eureka,F_15_19y_DNUDW,692.0,47.0
Hastings,F_15_19y_DNUDW,700.0,48.0
Mornington,F_15_19y_DNUDW,700.0,49.0
Morwell,F_15_19y_DNUDW,706.0,50.0
Hawthorn,F_15_19y_DNUDW,710.0,51.0
Bulleen,F_15_19y_DNUDW,712.0,52.0
Carrum,F_15_19y_DNUDW,725.0,53.0
Croydon,F_15_19y_DNUDW,730.0,54.0
Shepparton,F_15_19y_DNUDW,730.0,55.0
Niddrie,F_15_19y_DNUDW,737.0,56.0
Pakenham,F_15_19y_DNUDW,757.0,57.0
Mulgrave,F_15_19y_DNUDW,772.0,58.0
Warrandyte,F_15_19y_DNUDW,773.0,59.0
Rowville,F_15_19y_DNUDW,805.0,60.0
Lara,F_15_19y_DNUDW,807.0,61.0
Clarinda,F_15_19y_DNUDW,812.0,62.0
Box Hill,F_15_19y_DNUDW,830.0,63.0
Yan Yean,F_15_19y_DNUDW,836.0,64.0
Bentleigh,F_15_19y_DNUDW,838.0,65.0
Broadmeadows,F_15_19y_DNUDW,845.0,66.0
Mordialloc,F_15_19y_DNUDW,847.0,67.0
Ashwood,F_15_19y_DNUDW,849.0,68.0
Glen Waverley,F_15_19y_DNUDW,901.0,69.0
Thomastown,F_15_19y_DNUDW,928.0,70.0
Werribee,F_15_19y_DNUDW,933.0,71.0
Narre Warren North,F_15_19y_DNUDW,946.0,72.0
Laverton,F_15_19y_DNUDW,954.0,73.0
Berwick,F_15_19y_DNUDW,955.0,74.0
Point Cook,F_15_19y_DNUDW,958.0,75.0
Mill Park,F_15_19y_DNUDW,959.0,76.0
Kew,F_15_19y_DNUDW,968.0,77.0
Melton,F_15_19y_DNUDW,977.0,78.0
St Albans,F_15_19y_DNUDW,978.0,79.0
Cranbourne,F_15_19y_DNUDW,1055.0,80.0
Melbourne,F_15_19y_DNUDW,1075.0,81.0
Dandenong,F_15_19y_DNUDW,1114.0,82.0
Tarneit,F_15_19y_DNUDW,1120.0,83.0
Kororoit,F_15_19y_DNUDW,1236.0,84.0
Kalkallo,F_15_19y_DNUDW,1242.0,85.0
Sydenham,F_15_19y_DNUDW,1251.0,86.0
Greenvale,F_15_19y_DNUDW,1350.0,87.0
Narre Warren South,F_15_19y_DNUDW,1417.0,88.0
Prahran,F_15_19y_DNUDW_pc,0.0042,1.0
Brunswick,F_15_19y_DNUDW_pc,0.0048,2.0
Richmond,F_15_19y_DNUDW_pc,0.005,3.0
Albert Park,F_15_19y_DNUDW_pc,0.0058,4.0
Gippsland East,F_15_19y_DNUDW_pc,0.0064,5.0
Footscray,F_15_19y_DNUDW_pc,0.0072,6.0
Gippsland South,F_15_19y_DNUDW_pc,0.0075,7.0
Nepean,F_15_19y_DNUDW_pc,0.0076,8.0
Euroa,F_15_19y_DNUDW_pc,0.0082,9.0
Lowan,F_15_19y_DNUDW_pc,0.0082,10.0
Northcote,F_15_19y_DNUDW_pc,0.0082,11.0
Preston,F_15_19y_DNUDW_pc,0.0082,12.0
Macedon,F_15_19y_DNUDW_pc,0.0085,13.0
Pascoe Vale,F_15_19y_DNUDW_pc,0.0087,14.0
Oakleigh,F_15_19y_DNUDW_pc,0.0088,15.0
Bellarine,F_15_19y_DNUDW_pc,0.0089,16.0
Eildon,F_15_19y_DNUDW_pc,0.0089,17.0
Bass,F_15_19y_DNUDW_pc,0.009,18.0
Murray Plains,F_15_19y_DNUDW_pc,0.009,19.0
Essendon,F_15_19y_DNUDW_pc,0.0092,20.0
Caulfield,F_15_19y_DNUDW_pc,0.0095,21.0
Melbourne,F_15_19y_DNUDW_pc,0.0097,22.0
Ovens Valley,F_15_19y_DNUDW_pc,0.0097,23.0
Polwarth,F_15_19y_DNUDW_pc,0.0097,24.0
Ringwood,F_15_19y_DNUDW_pc,0.0097,25.0
Mildura,F_15_19y_DNUDW_pc,0.0098,26.0
Monbulk,F_15_19y_DNUDW_pc,0.0098,27.0
Narracan,F_15_19y_DNUDW_pc,0.01,28.0
Benambra,F_15_19y_DNUDW_pc,0.0101,29.0
Ripon,F_15_19y_DNUDW_pc,0.0101,30.0
Williamstown,F_15_19y_DNUDW_pc,0.0102,31.0
Geelong,F_15_19y_DNUDW_pc,0.0109,32.0
Ivanhoe,F_15_19y_DNUDW_pc,0.0109,33.0
Bendigo West,F_15_19y_DNUDW_pc,0.011,34.0
South-West Coast,F_15_19y_DNUDW_pc,0.011,35.0
Frankston,F_15_19y_DNUDW_pc,0.0112,36.0
Bulleen,F_15_19y_DNUDW_pc,0.0113,37.0
Brighton,F_15_19y_DNUDW_pc,0.0114,38.0
Eltham,F_15_19y_DNUDW_pc,0.0114,39.0
Bayswater,F_15_19y_DNUDW_pc,0.0115,40.0
Box Hill,F_15_19y_DNUDW_pc,0.0115,41.0
Bundoora,F_15_19y_DNUDW_pc,0.0115,42.0
Eureka,F_15_19y_DNUDW_pc,0.0115,43.0
South Barwon,F_15_19y_DNUDW_pc,0.0115,44.0
Malvern,F_15_19y_DNUDW_pc,0.0116,45.0
Hawthorn,F_15_19y_DNUDW_pc,0.0117,46.0
Sunbury,F_15_19y_DNUDW_pc,0.0117,47.0
Evelyn,F_15_19y_DNUDW_pc,0.0118,48.0
Morwell,F_15_19y_DNUDW_pc,0.0119,49.0
Mulgrave,F_15_19y_DNUDW_pc,0.0119,50.0
Bendigo East,F_15_19y_DNUDW_pc,0.012,51.0
Croydon,F_15_19y_DNUDW_pc,0.012,52.0
Sandringham,F_15_19y_DNUDW_pc,0.0121,53.0
Shepparton,F_15_19y_DNUDW_pc,0.0121,54.0
Carrum,F_15_19y_DNUDW_pc,0.0122,55.0
Wendouree,F_15_19y_DNUDW_pc,0.0122,56.0
Ashwood,F_15_19y_DNUDW_pc,0.0127,57.0
Niddrie,F_15_19y_DNUDW_pc,0.0128,58.0
Warrandyte,F_15_19y_DNUDW_pc,0.0128,59.0
Hastings,F_15_19y_DNUDW_pc,0.0129,60.0
Broadmeadows,F_15_19y_DNUDW_pc,0.013,61.0
Laverton,F_15_19y_DNUDW_pc,0.013,62.0
Mornington,F_15_19y_DNUDW_pc,0.013,63.0
Glen Waverley,F_15_19y_DNUDW_pc,0.0131,64.0
Pakenham,F_15_19y_DNUDW_pc,0.0131,65.0
Clarinda,F_15_19y_DNUDW_pc,0.0132,66.0
Bentleigh,F_15_19y_DNUDW_pc,0.0135,67.0
Rowville,F_15_19y_DNUDW_pc,0.0136,68.0
Point Cook,F_15_19y_DNUDW_pc,0.0137,69.0
Lara,F_15_19y_DNUDW_pc,0.0139,70.0
Werribee,F_15_19y_DNUDW_pc,0.0144,71.0
Mordialloc,F_15_19y_DNUDW_pc,0.0145,72.0
Narre Warren North,F_15_19y_DNUDW_pc,0.0147,73.0
Dandenong,F_15_19y_DNUDW_pc,0.0151,74.0
Thomastown,F_15_19y_DNUDW_pc,0.0151,75.0
Berwick,F_15_19y_DNUDW_pc,0.0154,76.0
Yan Yean,F_15_19y_DNUDW_pc,0.0154,77.0
Kew,F_15_19y_DNUDW_pc,0.0157,78.0
Melton,F_15_19y_DNUDW_pc,0.0158,79.0
St Albans,F_15_19y_DNUDW_pc,0.0158,80.0
Tarneit,F_15_19y_DNUDW_pc,0.016,81.0
Cranbourne,F_15_19y_DNUDW_pc,0.0161,82.0
Mill Park,F_15_19y_DNUDW_pc,0.0172,83.0
Kalkallo,F_15_19y_DNUDW_pc,0.0177,84.0
Kororoit,F_15_19y_DNUDW_pc,0.0183,85.0
Sydenham,F_15_19y_DNUDW_pc,0.0203,86.0
Narre Warren South,F_15_19y_DNUDW_pc,0.0204,87.0
Greenvale,F_15_19y_DNUDW_pc,0.0224,88.0
Bellarine,F_15_19y_DUDW_15_29_h,0.0,1.0
Bentleigh,F_15_19y_DUDW_15_29_h,0.0,2.0
Brighton,F_15_19y_DUDW_15_29_h,0.0,3.0
Clarinda,F_15_19y_DUDW_15_29_h,0.0,4.0
Croydon,F_15_19y_DUDW_15_29_h,0.0,5.0
Essendon,F_15_19y_DUDW_15_29_h,0.0,6.0
Eureka,F_15_19y_DUDW_15_29_h,0.0,7.0
Evelyn,F_15_19y_DUDW_15_29_h,0.0,8.0
Gippsland East,F_15_19y_DUDW_15_29_h,0.0,9.0
Glen Waverley,F_15_19y_DUDW_15_29_h,0.0,10.0
Ivanhoe,F_15_19y_DUDW_15_29_h,0.0,11.0
Lara,F_15_19y_DUDW_15_29_h,0.0,12.0
Malvern,F_15_19y_DUDW_15_29_h,0.0,13.0
Monbulk,F_15_19y_DUDW_15_29_h,0.0,14.0
Mordialloc,F_15_19y_DUDW_15_29_h,0.0,15.0
Mornington,F_15_19y_DUDW_15_29_h,0.0,16.0
Mulgrave,F_15_19y_DUDW_15_29_h,0.0,17.0
Nepean,F_15_19y_DUDW_15_29_h,0.0,18.0
Niddrie,F_15_19y_DUDW_15_29_h,0.0,19.0
Prahran,F_15_19y_DUDW_15_29_h,0.0,20.0
Preston,F_15_19y_DUDW_15_29_h,0.0,21.0
Richmond,F_15_19y_DUDW_15_29_h,0.0,22.0
Ringwood,F_15_19y_DUDW_15_29_h,0.0,23.0
Ripon,F_15_19y_DUDW_15_29_h,0.0,24.0
Rowville,F_15_19y_DUDW_15_29_h,0.0,25.0
Warrandyte,F_15_19y_DUDW_15_29_h,0.0,26.0
Werribee,F_15_19y_DUDW_15_29_h,0.0,27.0
Williamstown,F_15_19y_DUDW_15_29_h,0.0,28.0
Bass,F_15_19y_DUDW_15_29_h,3.0,29.0
Broadmeadows,F_15_19y_DUDW_15_29_h,3.0,30.0
Carrum,F_15_19y_DUDW_15_29_h,3.0,31.0
