district,Neg_Nil_inc_fam_households,Neg_Nil_inc_fam_households_pc,Neg_Nil_inc_Non_fam_househlds,Neg_Nil_inc_Non_fam_househlds_pc,Negative_Nil_income_Tot,Negative_Nil_income_Tot_pc,HI_1_149_Family_households,HI_1_149_Family_households_pc,HI_1_149_Non_family_hseholds,HI_1_149_Non_family_hseholds_pc,HI_1_149_Tot,HI_1_149_Tot_pc,HI_150_299_Family_households,HI_150_299_Family_households_pc,HI_150_299_Non_fam_househlds,HI_150_299_Non_fam_househlds_pc,HI_150_299_Tot,HI_150_299_Tot_pc,HI_300_399_Family_households,HI_300_399_Family_households_pc,HI_300_399_Non_fam_househlds,HI_300_399_Non_fam_househlds_pc,HI_300_399_Tot,HI_300_399_Tot_pc,HI_400_499_Family_households,HI_400_499_Family_households_pc,HI_400_499_Non_fam_househlds,HI_400_499_Non_fam_househlds_pc,HI_400_499_Tot,HI_400_499_Tot_pc,HI_500_649_Family_households,HI_500_649_Family_households_pc,HI_500_649_Non_fam_househlds,HI_500_649_Non_fam_househlds_pc,HI_500_649_Tot,HI_500_649_Tot_pc,HI_650_799_Family_households,HI_650_799_Family_households_pc,HI_650_799_Non_fam_househlds,HI_650_799_Non_fam_househlds_pc,HI_650_799_Tot,HI_650_799_Tot_pc,HI_800_999_Fam_households,HI_800_999_Fam_households_pc,HI_800_999_Non_fam_hsehlds,HI_800_999_Non_fam_hsehlds_pc,HI_800_999_Tot,HI_800_999_Tot_pc,HI_1000_1249_Fam_households,HI_1000_1249_Fam_households_pc,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Non_fam_hsehlds_pc,HI_1000_1249_Tot,HI_1000_1249_Tot_pc,HI_1250_1499_Fam_households,HI_1250_1499_Fam_households_pc,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Non_fam_hsehlds_pc,HI_1250_1499_Tot,HI_1250_1499_Tot_pc,HI_1500_1749_Fam_households,HI_1500_1749_Fam_households_pc,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Non_fam_hsehlds_pc,HI_1500_1749_Tot,HI_1500_1749_Tot_pc,HI_1750_1999_Fam_households,HI_1750_1999_Fam_households_pc,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Non_fam_hsehlds_pc,HI_1750_1999_Tot,HI_1750_1999_Tot_pc,HI_2000_2499_Fam_households,HI_2000_2499_Fam_households_pc,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Non_fam_hsehlds_pc,HI_2000_2499_Tot,HI_2000_2499_Tot_pc,HI_2500_2999_Fam_households,HI_2500_2999_Fam_households_pc,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Non_fam_hsehlds_pc,HI_2500_2999_Tot,HI_2500_2999_Tot_pc,HI_3000_3499_Fam_households,HI_3000_3499_Fam_households_pc,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Non_fam_hsehlds_pc,HI_3000_3499_Tot,HI_3000_3499_Tot_pc,HI_3500_3999_Fam_households,HI_3500_3999_Fam_households_pc,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Non_fam_hsehlds_pc,HI_3500_3999_Tot,HI_3500_3999_Tot_pc,HI_4000_more_Fam_households,HI_4000_more_Fam_households_pc,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Non_fam_hsehlds_pc,HI_4000_more_Tot,HI_4000_more_Tot_pc,Part_inc_stated_Fam_household,Part_inc_stated_Fam_household_pc,Part_inc_std_Non_fam_hhds,Part_inc_std_Non_fam_hhds_pc,Partial_income_stated_Tot,Partial_income_stated_Tot_pc,All_incomes_ns_Famly_househld,All_incomes_ns_Famly_househld_pc,All_inc_ns_Non_famly_househld,All_inc_ns_Non_famly_househld_pc,All_incomes_not_stated_Tot,All_incomes_not_stated_Tot_pc,Tot_Family_households,Tot_Family_households_pc,Tot_Non_family_households,Tot_Non_family_households_pc,Tot_Tot,Tot_Tot_pc,Tot_Tot_total
Box Hill,436.0,0.0135,619.0,0.0192,1095.0,0.0339,90.0,0.0028,141.0,0.0044,276.0,0.0086,128.0,0.004,324.0,0.01,526.0,0.0163,92.0,0.0029,509.0,0.0158,634.0,0.0196,357.0,0.0111,1190.0,0.0369,1623.0,0.0503,369.0,0.0114,972.0,0.0301,1371.0,0.0425,942.0,0.0292,697.0,0.0216,1625.0,0.0503,971.0,0.0301,826.0,0.0256,1829.0,0.0567,1223.0,0.0379,894.0,0.0277,2079.0,0.0644,1356.0,0.042,708.0,0.0219,2140.0,0.0663,1061.0,0.0329,544.0,0.0169,1630.0,0.0505,1072.0,0.0332,449.0,0.0139,1573.0,0.0487,2388.0,0.074,909.0,0.0282,3293.0,0.102,1850.0,0.0573,85.0,0.0026,1992.0,0.0617,1684.0,0.0522,200.0,0.0062,1923.0,0.0596,1295.0,0.0401,31.0,0.001,1356.0,0.042,4899.0,0.1518,296.0,0.0092,5179.0,0.1604,1087.0,0.0337,143.0,0.0044,1316.0,0.0408,92.0,0.0029,185.0,0.0057,402.0,0.0125,21709.0,0.6725,10492.0,0.325,32279.0,1.0,32279.0
Brighton,178.0,0.0068,279.0,0.0107,495.0,0.0189,34.0,0.0013,65.0,0.0025,158.0,0.006,30.0,0.0011,167.0,0.0064,226.0,0.0086,15.0,0.0006,309.0,0.0118,385.0,0.0147,122.0,0.0047,770.0,0.0295,902.0,0.0345,114.0,0.0044,606.0,0.0232,784.0,0.03,354.0,0.0135,464.0,0.0178,898.0,0.0344,340.0,0.013,598.0,0.0229,1061.0,0.0406,527.0,0.0202,726.0,0.0278,1289.0,0.0493,761.0,0.0291,675.0,0.0258,1379.0,0.0528,599.0,0.0229,621.0,0.0238,1235.0,0.0473,567.0,0.0217,583.0,0.0223,1227.0,0.047,1480.0,0.0566,1049.0,0.0401,2533.0,0.0969,1261.0,0.0483,60.0,0.0023,1356.0,0.0519,1305.0,0.0499,294.0,0.0113,1659.0,0.0635,924.0,0.0354,34.0,0.0013,963.0,0.0368,7181.0,0.2748,755.0,0.0289,7933.0,0.3036,1024.0,0.0392,77.0,0.0029,1132.0,0.0433,139.0,0.0053,151.0,0.0058,333.0,0.0127,17345.0,0.6637,8831.0,0.3379,26133.0,1.0,26133.0
Broadmeadows,325.0,0.0119,344.0,0.0126,703.0,0.0257,49.0,0.0018,56.0,0.0021,191.0,0.007,93.0,0.0034,241.0,0.0088,421.0,0.0154,91.0,0.0033,624.0,0.0228,799.0,0.0293,443.0,0.0162,1491.0,0.0546,1934.0,0.0708,551.0,0.0202,611.0,0.0224,1184.0,0.0434,1435.0,0.0525,398.0,0.0146,1919.0,0.0703,1328.0,0.0486,622.0,0.0228,1927.0,0.0706,1514.0,0.0554,532.0,0.0195,2077.0,0.076,1573.0,0.0576,465.0,0.017,2058.0,0.0754,1170.0,0.0428,450.0,0.0165,1627.0,0.0596,1122.0,0.0411,305.0,0.0112,1548.0,0.0567,2259.0,0.0827,537.0,0.0197,2863.0,0.1048,1681.0,0.0615,83.0,0.003,1824.0,0.0668,1328.0,0.0486,86.0,0.0031,1468.0,0.0537,835.0,0.0306,40.0,0.0015,904.0,0.0331,1722.0,0.063,153.0,0.0056,1980.0,0.0725,987.0,0.0361,97.0,0.0036,1127.0,0.0413,290.0,0.0106,282.0,0.0103,609.0,0.0223,19187.0,0.7025,8172.0,0.2992,27312.0,1.0,27312.0
Brunswick,73.0,0.0024,291.0,0.0096,373.0,0.0124,11.0,0.0004,79.0,0.0026,108.0,0.0036,16.0,0.0005,263.0,0.0087,340.0,0.0113,19.0,0.0006,579.0,0.0192,649.0,0.0215,119.0,0.0039,1070.0,0.0354,1245.0,0.0412,75.0,0.0025,696.0,0.0231,843.0,0.0279,514.0,0.017,648.0,0.0215,1206.0,0.0399,441.0,0.0146,832.0,0.0276,1327.0,0.0439,547.0,0.0181,1084.0,0.0359,1623.0,0.0538,773.0,0.0256,1043.0,0.0345,1868.0,0.0619,569.0,0.0188,1206.0,0.0399,1828.0,0.0605,683.0,0.0226,1023.0,0.0339,1701.0,0.0563,1793.0,0.0594,1935.0,0.0641,3761.0,0.1246,1543.0,0.0511,423.0,0.014,1963.0,0.065,1650.0,0.0546,587.0,0.0194,2223.0,0.0736,1205.0,0.0399,194.0,0.0064,1480.0,0.049,4759.0,0.1576,1062.0,0.0352,5805.0,0.1923,618.0,0.0205,747.0,0.0247,1329.0,0.044,31.0,0.001,122.0,0.004,217.0,0.0072,15838.0,0.5245,14273.0,0.4727,30195.0,1.0,30195.0
Bulleen,427.0,0.0156,313.0,0.0114,835.0,0.0305,138.0,0.005,66.0,0.0024,273.0,0.01,99.0,0.0036,183.0,0.0067,299.0,0.0109,66.0,0.0024,315.0,0.0115,472.0,0.0172,406.0,0.0148,901.0,0.0329,1362.0,0.0497,347.0,0.0127,565.0,0.0206,941.0,0.0344,1131.0,0.0413,415.0,0.0152,1578.0,0.0576,1003.0,0.0366,556.0,0.0203,1603.0,0.0585,1184.0,0.0432,559.0,0.0204,1766.0,0.0645,1337.0,0.0488,381.0,0.0139,1737.0,0.0634,1013.0,0.037,325.0,0.0119,1418.0,0.0518,1083.0,0.0396,300.0,0.011,1373.0,0.0501,2310.0,0.0844,458.0,0.0167,2796.0,0.1021,1760.0,0.0643,28.0,0.001,1829.0,0.0668,1623.0,0.0593,105.0,0.0038,1743.0,0.0637,1089.0,0.0398,7.0,0.0003,1098.0,0.0401,4122.0,0.1505,167.0,0.0061,4366.0,0.1595,1082.0,0.0395,45.0,0.0016,1200.0,0.0438,178.0,0.0065,146.0,0.0053,405.0,0.0148,20858.0,0.7618,6535.0,0.2387,27380.0,1.0,27380.0
Bundoora,154.0,0.006,280.0,0.011,526.0,0.0206,34.0,0.0013,30.0,0.0012,115.0,0.0045,51.0,0.002,176.0,0.0069,273.0,0.0107,53.0,0.0021,341.0,0.0134,470.0,0.0184,312.0,0.0122,1095.0,0.0429,1419.0,0.0556,297.0,0.0116,570.0,0.0223,954.0,0.0374,920.0,0.0361,504.0,0.0198,1456.0,0.0571,920.0,0.0361,545.0,0.0214,1494.0,0.0585,1096.0,0.043,595.0,0.0233,1672.0,0.0655,1244.0,0.0488,455.0,0.0178,1807.0,0.0708,1016.0,0.0398,468.0,0.0183,1494.0,0.0585,1014.0,0.0397,315.0,0.0123,1395.0,0.0547,2219.0,0.087,523.0,0.0205,2758.0,0.1081,2003.0,0.0785,56.0,0.0022,2074.0,0.0813,1696.0,0.0665,106.0,0.0042,1834.0,0.0719,1154.0,0.0452,24.0,0.0009,1202.0,0.0471,2879.0,0.1128,86.0,0.0034,2983.0,0.1169,909.0,0.0356,104.0,0.0041,1073.0,0.0421,133.0,0.0052,156.0,0.0061,393.0,0.0154,18537.0,0.7265,6998.0,0.2742,25517.0,1.0,25517.0
Carrum,144.0,0.0052,230.0,0.0084,431.0,0.0157,25.0,0.0009,54.0,0.002,117.0,0.0043,57.0,0.0021,134.0,0.0049,212.0,0.0077,17.0,0.0006,384.0,0.014,431.0,0.0157,195.0,0.0071,1131.0,0.0412,1395.0,0.0509,254.0,0.0093,712.0,0.026,1039.0,0.0379,886.0,0.0323,472.0,0.0172,1385.0,0.0505,823.0,0.03,556.0,0.0203,1430.0,0.0521,1132.0,0.0413,739.0,0.0269,1868.0,0.0681,1335.0,0.0487,632.0,0.023,1901.0,0.0693,1169.0,0.0426,514.0,0.0187,1728.0,0.063,1274.0,0.0464,348.0,0.0127,1688.0,0.0615,2895.0,0.1055,559.0,0.0204,3505.0,0.1278,2534.0,0.0924,25.0,0.0009,2597.0,0.0947,1876.0,0.0684,65.0,0.0024,1966.0,0.0717,1192.0,0.0435,8.0,0.0003,1227.0,0.0447,2532.0,0.0923,67.0,0.0024,2673.0,0.0975,1003.0,0.0366,30.0,0.0011,1064.0,0.0388,180.0,0.0066,238.0,0.0087,515.0,0.0188,19955.0,0.7275,7462.0,0.272,27429.0,1.0,27429.0
Caulfield,153.0,0.0052,374.0,0.0128,647.0,0.0221,47.0,0.0016,100.0,0.0034,167.0,0.0057,20.0,0.0007,201.0,0.0069,281.0,0.0096,18.0,0.0006,473.0,0.0161,546.0,0.0186,148.0,0.005,935.0,0.0319,1102.0,0.0376,137.0,0.0047,726.0,0.0248,909.0,0.031,430.0,0.0147,591.0,0.0202,1122.0,0.0383,485.0,0.0165,837.0,0.0285,1386.0,0.0473,714.0,0.0244,1094.0,0.0373,1807.0,0.0616,882.0,0.0301,1009.0,0.0344,1823.0,0.0622,602.0,0.0205,874.0,0.0298,1612.0,0.055,722.0,0.0246,714.0,0.0244,1560.0,0.0532,1896.0,0.0647,1388.0,0.0473,3317.0,0.1131,1573.0,0.0537,145.0,0.0049,1773.0,0.0605,1537.0,0.0524,381.0,0.013,1985.0,0.0677,1137.0,0.0388,40.0,0.0014,1279.0,0.0436,5691.0,0.1941,593.0,0.0202,6422.0,0.2191,929.0,0.0317,190.0,0.0065,1136.0,0.0387,169.0,0.0058,194.0,0.0066,445.0,0.0152,17698.0,0.6037,11449.0,0.3905,29317.0,1.0,29317.0
Clarinda,244.0,0.0096,248.0,0.0098,629.0,0.0248,30.0,0.0012,80.0,0.0032,128.0,0.005,57.0,0.0022,150.0,0.0059,264.0,0.0104,76.0,0.003,400.0,0.0158,561.0,0.0221,253.0,0.01,1148.0,0.0452,1472.0,0.058,312.0,0.0123,583.0,0.023,1002.0,0.0395,1118.0,0.0441,332.0,0.0131,1546.0,0.0609,992.0,0.0391,516.0,0.0203,1552.0,0.0612,1260.0,0.0497,455.0,0.0179,1719.0,0.0678,1348.0,0.0531,298.0,0.0117,1694.0,0.0668,1099.0,0.0433,227.0,0.0089,1405.0,0.0554,1180.0,0.0465,196.0,0.0077,1439.0,0.0567,2510.0,0.0989,372.0,0.0147,2834.0,0.1117,1917.0,0.0756,50.0,0.002,2005.0,0.079,1523.0,0.06,57.0,0.0022,1657.0,0.0653,1098.0,0.0433,28.0,0.0011,1138.0,0.0449,2540.0,0.1001,98.0,0.0039,2701.0,0.1065,998.0,0.0393,81.0,0.0032,1134.0,0.0447,141.0,0.0056,131.0,0.0052,382.0,0.0151,19176.0,0.7558,6229.0,0.2455,25372.0,1.0,25372.0
Cranbourne,133.0,0.0049,129.0,0.0047,362.0,0.0133,11.0,0.0004,24.0,0.0009,40.0,0.0015,9.0,0.0003,46.0,0.0017,104.0,0.0038,7.0,0.0003,232.0,0.0085,300.0,0.011,240.0,0.0088,711.0,0.0261,1031.0,0.0378,287.0,0.0105,422.0,0.0155,791.0,0.029,994.0,0.0365,307.0,0.0113,1314.0,0.0482,1084.0,0.0398,457.0,0.0168,1590.0,0.0583,1324.0,0.0486,579.0,0.0212,1995.0,0.0732,1845.0,0.0677,446.0,0.0164,2282.0,0.0837,1556.0,0.0571,351.0,0.0129,1946.0,0.0714,1708.0,0.0627,223.0,0.0082,1945.0,0.0713,3844.0,0.141,284.0,0.0104,4217.0,0.1547,2740.0,0.1005,31.0,0.0011,2807.0,0.103,1792.0,0.0657,22.0,0.0008,1871.0,0.0686,982.0,0.036,8.0,0.0003,1023.0,0.0375,1570.0,0.0576,39.0,0.0014,1698.0,0.0623,1212.0,0.0445,45.0,0.0017,1294.0,0.0475,188.0,0.0069,157.0,0.0058,421.0,0.0154,21960.0,0.8056,5252.0,0.1927,27260.0,1.0,27260.0
Croydon,149.0,0.0053,252.0,0.0089,441.0,0.0156,47.0,0.0017,41.0,0.0014,122.0,0.0043,29.0,0.001,172.0,0.0061,206.0,0.0073,35.0,0.0012,408.0,0.0144,538.0,0.019,219.0,0.0077,1258.0,0.0444,1581.0,0.0558,295.0,0.0104,836.0,0.0295,1219.0,0.043,961.0,0.0339,645.0,0.0227,1617.0,0.057,976.0,0.0344,701.0,0.0247,1786.0,0.063,1204.0,0.0425,705.0,0.0249,1971.0,0.0695,1441.0,0.0508,570.0,0.0201,2033.0,0.0717,1136.0,0.0401,483.0,0.017,1695.0,0.0598,1211.0,0.0427,293.0,0.0103,1543.0,0.0544,2865.0,0.101,570.0,0.0201,3430.0,0.121,2395.0,0.0845,43.0,0.0015,2484.0,0.0876,1816.0,0.064,60.0,0.0021,1923.0,0.0678,1216.0,0.0429,4.0,0.0001,1240.0,0.0437,2673.0,0.0943,82.0,0.0029,2836.0,0.1,1051.0,0.0371,52.0,0.0018,1151.0,0.0406,144.0,0.0051,211.0,0.0074,446.0,0.0157,20294.0,0.7157,8023.0,0.2829,28355.0,1.0,28355.0
Dandenong,331.0,0.0111,367.0,0.0123,767.0,0.0258,60.0,0.002,57.0,0.0019,132.0,0.0044,113.0,0.0038,258.0,0.0087,469.0,0.0158,115.0,0.0039,647.0,0.0218,860.0,0.0289,490.0,0.0165,1672.0,0.0562,2162.0,0.0727,489.0,0.0164,762.0,0.0256,1358.0,0.0457,1583.0,0.0532,462.0,0.0155,2091.0,0.0703,1511.0,0.0508,803.0,0.027,2324.0,0.0782,1727.0,0.0581,737.0,0.0248,2481.0,0.0834,1916.0,0.0644,511.0,0.0172,2555.0,0.0859,1472.0,0.0495,404.0,0.0136,1894.0,0.0637,1384.0,0.0466,245.0,0.0082,1698.0,0.0571,2751.0,0.0925,376.0,0.0126,3152.0,0.106,1804.0,0.0607,89.0,0.003,1952.0,0.0657,1164.0,0.0392,80.0,0.0027,1308.0,0.044,698.0,0.0235,46.0,0.0015,807.0,0.0271,1120.0,0.0377,285.0,0.0096,1397.0,0.047,1173.0,0.0395,100.0,0.0034,1413.0,0.0475,251.0,0.0084,252.0,0.0085,580.0,0.0195,20774.0,0.6987,8954.0,0.3012,29731.0,1.0,29731.0
Eildon,138.0,0.0056,225.0,0.0092,398.0,0.0162,43.0,0.0018,39.0,0.0016,138.0,0.0056,28.0,0.0011,191.0,0.0078,272.0,0.0111,42.0,0.0017,459.0,0.0187,593.0,0.0242,353.0,0.0144,1345.0,0.0549,1636.0,0.0668,262.0,0.0107,698.0,0.0285,1018.0,0.0415,1060.0,0.0433,461.0,0.0188,1590.0,0.0649,1015.0,0.0414,589.0,0.024,1608.0,0.0656,1275.0,0.052,624.0,0.0255,1887.0,0.077,1395.0,0.0569,329.0,0.0134,1801.0,0.0735,992.0,0.0405,316.0,0.0129,1396.0,0.057,1136.0,0.0464,206.0,0.0084,1426.0,0.0582,2467.0,0.1007,231.0,0.0094,2666.0,0.1088,1616.0,0.066,10.0,0.0004,1635.0,0.0667,1232.0,0.0503,24.0,0.001,1321.0,0.0539,691.0,0.0282,0.0,0.0,720.0,0.0294,1798.0,0.0734,63.0,0.0026,1916.0,0.0782,1346.0,0.0549,35.0,0.0014,1421.0,0.058,231.0,0.0094,247.0,0.0101,571.0,0.0233,17503.0,0.7143,6941.0,0.2833,24502.0,1.0,24502.0
Eltham,138.0,0.006,99.0,0.0043,303.0,0.0131,31.0,0.0013,25.0,0.0011,86.0,0.0037,29.0,0.0013,88.0,0.0038,147.0,0.0064,18.0,0.0008,154.0,0.0067,196.0,0.0085,107.0,0.0046,570.0,0.0246,767.0,0.0332,128.0,0.0055,398.0,0.0172,592.0,0.0256,551.0,0.0238,329.0,0.0142,941.0,0.0407,598.0,0.0259,320.0,0.0138,995.0,0.043,848.0,0.0367,297.0,0.0128,1247.0,0.0539,1077.0,0.0466,258.0,0.0112,1381.0,0.0597,823.0,0.0356,229.0,0.0099,1095.0,0.0473,904.0,0.0391,190.0,0.0082,1155.0,0.0499,2108.0,0.0912,312.0,0.0135,2519.0,0.1089,1908.0,0.0825,7.0,0.0003,1947.0,0.0842,1928.0,0.0834,39.0,0.0017,1984.0,0.0858,1377.0,0.0595,0.0,0.0,1408.0,0.0609,4679.0,0.2023,69.0,0.003,4798.0,0.2075,998.0,0.0432,3.0,0.0001,1049.0,0.0454,110.0,0.0048,69.0,0.003,249.0,0.0108,18801.0,0.813,4350.0,0.1881,23126.0,1.0,23126.0
Essendon,137.0,0.0048,293.0,0.0102,448.0,0.0157,31.0,0.0011,82.0,0.0029,135.0,0.0047,55.0,0.0019,249.0,0.0087,404.0,0.0141,41.0,0.0014,574.0,0.0201,665.0,0.0233,166.0,0.0058,1006.0,0.0352,1259.0,0.044,173.0,0.0061,667.0,0.0233,828.0,0.029,589.0,0.0206,528.0,0.0185,1116.0,0.039,557.0,0.0195,851.0,0.0298,1437.0,0.0503,800.0,0.028,1030.0,0.036,1774.0,0.0621,844.0,0.0295,978.0,0.0342,1816.0,0.0635,658.0,0.023,844.0,0.0295,1605.0,0.0561,771.0,0.027,731.0,0.0256,1548.0,0.0541,1795.0,0.0628,1262.0,0.0441,3104.0,0.1086,1652.0,0.0578,146.0,0.0051,1805.0,0.0631,1520.0,0.0532,344.0,0.012,1892.0,0.0662,1125.0,0.0394,49.0,0.0017,1247.0,0.0436,5388.0,0.1885,441.0,0.0154,5856.0,0.2048,812.0,0.0284,168.0,0.0059,1021.0,0.0357,135.0,0.0047,186.0,0.0065,414.0,0.0145,17758.0,0.6211,10863.0,0.38,28589.0,1.0,28589.0
Eureka,97.0,0.0035,230.0,0.0083,410.0,0.0148,51.0,0.0018,36.0,0.0013,109.0,0.0039,30.0,0.0011,185.0,0.0067,267.0,0.0097,37.0,0.0013,495.0,0.0179,589.0,0.0213,273.0,0.0099,1300.0,0.047,1629.0,0.0589,352.0,0.0127,879.0,0.0318,1275.0,0.0461,1147.0,0.0415,557.0,0.0201,1717.0,0.0621,1078.0,0.039,691.0,0.025,1833.0,0.0663,1379.0,0.0499,704.0,0.0255,2085.0,0.0754,1612.0,0.0583,562.0,0.0203,2155.0,0.0779,1164.0,0.0421,439.0,0.0159,1618.0,0.0585,1224.0,0.0443,281.0,0.0102,1562.0,0.0565,2733.0,0.0988,488.0,0.0176,3233.0,0.1169,2052.0,0.0742,36.0,0.0013,2138.0,0.0773,1693.0,0.0612,55.0,0.002,1803.0,0.0652,1011.0,0.0366,0.0,0.0,1030.0,0.0372,2138.0,0.0773,78.0,0.0028,2292.0,0.0829,1113.0,0.0402,69.0,0.0025,1247.0,0.0451,190.0,0.0069,203.0,0.0073,485.0,0.0175,19785.0,0.7153,7927.0,0.2866,27658.0,1.0,27658.0
Euroa,139.0,0.0053,197.0,0.0076,445.0,0.0171,41.0,0.0016,66.0,0.0025,169.0,0.0065,32.0,0.0012,272.0,0.0104,348.0,0.0134,66.0,0.0025,609.0,0.0234,689.0,0.0264,380.0,0.0146,1767.0,0.0678,2165.0,0.0831,328.0,0.0126,993.0,0.0381,1377.0,0.0528,1441.0,0.0553,627.0,0.0241,2114.0,0.0811,1241.0,0.0476,708.0,0.0272,1967.0,0.0755,1424.0,0.0546,699.0,0.0268,2084.0,0.0799,1503.0,0.0577,459.0,0.0176,1984.0,0.0761,1032.0,0.0396,320.0,0.0123,1433.0,0.055,1092.0,0.0419,237.0,0.0091,1341.0,0.0514,2193.0,0.0841,333.0,0.0128,2563.0,0.0983,1514.0,0.0581,10.0,0.0004,1566.0,0.0601,1052.0,0.0404,22.0,0.0008,1167.0,0.0448,637.0,0.0244,0.0,0.0,642.0,0.0246,1298.0,0.0498,63.0,0.0024,1450.0,0.0556,1256.0,0.0482,22.0,0.0008,1344.0,0.0516,295.0,0.0113,450.0,0.0173,845.0,0.0324,17523.0,0.6722,8549.0,0.328,26067.0,1.0,26067.0
Evelyn,95.0,0.0039,138.0,0.0057,301.0,0.0125,30.0,0.0012,32.0,0.0013,95.0,0.0039,29.0,0.0012,93.0,0.0039,151.0,0.0063,16.0,0.0007,185.0,0.0077,240.0,0.0099,170.0,0.007,891.0,0.0369,1141.0,0.0473,204.0,0.0085,506.0,0.021,756.0,0.0313,826.0,0.0342,297.0,0.0123,1150.0,0.0476,883.0,0.0366,413.0,0.0171,1320.0,0.0547,1092.0,0.0452,424.0,0.0176,1527.0,0.0633,1231.0,0.051,293.0,0.0121,1551.0,0.0642,973.0,0.0403,253.0,0.0105,1270.0,0.0526,1042.0,0.0432,152.0,0.0063,1293.0,0.0536,2753.0,0.114,326.0,0.0135,3126.0,0.1295,2279.0,0.0944,11.0,0.0005,2338.0,0.0968,1924.0,0.0797,18.0,0.0007,1997.0,0.0827,1227.0,0.0508,4.0,0.0002,1240.0,0.0514,2518.0,0.1043,23.0,0.001,2605.0,0.1079,1123.0,0.0465,26.0,0.0011,1219.0,0.0505,141.0,0.0058,100.0,0.0041,319.0,0.0132,19072.0,0.79,5024.0,0.2081,24141.0,1.0,24141.0
Footscray,108.0,0.0037,283.0,0.0097,472.0,0.0162,33.0,0.0011,54.0,0.0019,134.0,0.0046,47.0,0.0016,219.0,0.0075,298.0,0.0102,40.0,0.0014,557.0,0.0191,656.0,0.0225,145.0,0.005,966.0,0.0331,1226.0,0.0421,179.0,0.0061,628.0,0.0215,926.0,0.0318,640.0,0.022,561.0,0.0192,1193.0,0.0409,642.0,0.022,751.0,0.0258,1442.0,0.0495,742.0,0.0255,941.0,0.0323,1763.0,0.0605,1012.0,0.0347,893.0,0.0306,1962.0,0.0673,848.0,0.0291,841.0,0.0289,1693.0,0.0581,889.0,0.0305,772.0,0.0265,1642.0,0.0563,2095.0,0.0719,1333.0,0.0457,3462.0,0.1188,1888.0,0.0648,177.0,0.0061,2090.0,0.0717,1800.0,0.0618,343.0,0.0118,2213.0,0.0759,1355.0,0.0465,75.0,0.0026,1429.0,0.049,4424.0,0.1518,426.0,0.0146,4932.0,0.1692,750.0,0.0257,260.0,0.0089,1042.0,0.0357,101.0,0.0035,178.0,0.0061,312.0,0.0107,18153.0,0.6228,11019.0,0.378,29149.0,1.0,29149.0
Frankston,110.0,0.004,287.0,0.0106,456.0,0.0168,29.0,0.0011,62.0,0.0023,117.0,0.0043,44.0,0.0016,212.0,0.0078,321.0,0.0118,69.0,0.0025,639.0,0.0235,753.0,0.0277,267.0,0.0098,1662.0,0.0611,1969.0,0.0724,320.0,0.0118,1120.0,0.0412,1521.0,0.0559,1052.0,0.0387,724.0,0.0266,1757.0,0.0646,997.0,0.0367,882.0,0.0324,1915.0,0.0704,1268.0,0.0466,825.0,0.0303,2108.0,0.0775,1409.0,0.0518,668.0,0.0246,2090.0,0.0769,1039.0,0.0382,464.0,0.0171,1525.0,0.0561,1090.0,0.0401,337.0,0.0124,1441.0,0.053,2384.0,0.0877,524.0,0.0193,2950.0,0.1085,1790.0,0.0658,25.0,0.0009,1867.0,0.0687,1383.0,0.0509,63.0,0.0023,1477.0,0.0543,923.0,0.0339,4.0,0.0001,951.0,0.035,1891.0,0.0695,98.0,0.0036,2057.0,0.0757,976.0,0.0359,93.0,0.0034,1101.0,0.0405,183.0,0.0067,304.0,0.0112,548.0,0.0202,17536.0,0.6449,9754.0,0.3587,27190.0,1.0,27190.0
Geelong,58.0,0.002,219.0,0.0075,380.0,0.0131,44.0,0.0015,87.0,0.003,164.0,0.0056,24.0,0.0008,295.0,0.0101,343.0,0.0118,30.0,0.001,624.0,0.0215,697.0,0.024,219.0,0.0075,1603.0,0.0551,1948.0,0.067,345.0,0.0119,1209.0,0.0416,1588.0,0.0546,1046.0,0.036,703.0,0.0242,1797.0,0.0618,943.0,0.0324,920.0,0.0316,1876.0,0.0645,1204.0,0.0414,954.0,0.0328,2127.0,0.0731,1403.0,0.0482,753.0,0.0259,2158.0,0.0742,913.0,0.0314,666.0,0.0229,1573.0,0.0541,984.0,0.0338,461.0,0.0158,1519.0,0.0522,2272.0,0.0781,760.0,0.0261,2964.0,0.1019,1797.0,0.0618,60.0,0.0021,1930.0,0.0664,1559.0,0.0536,115.0,0.004,1793.0,0.0616,957.0,0.0329,15.0,0.0005,1003.0,0.0345,2865.0,0.0985,221.0,0.0076,3101.0,0.1066,975.0,0.0335,139.0,0.0048,1157.0,0.0398,161.0,0.0055,312.0,0.0107,531.0,0.0183,18332.0,0.6303,10773.0,0.3704,29086.0,1.0,29086.0
