district,census_variable,value,rank
Prahran,Blnd_fam_no_otr_chld_pre_Fam,18.0,1.0
Melbourne,Blnd_fam_no_otr_chld_pre_Fam,19.0,2.0
Hawthorn,Blnd_fam_no_otr_chld_pre_Fam,32.0,3.0
Richmond,Blnd_fam_no_otr_chld_pre_Fam,32.0,4.0
Malvern,Blnd_fam_no_otr_chld_pre_Fam,33.0,5.0
Oakleigh,Blnd_fam_no_otr_chld_pre_Fam,34.0,6.0
Brunswick,Blnd_fam_no_otr_chld_pre_Fam,37.0,7.0
Caulfield,Blnd_fam_no_otr_chld_pre_Fam,46.0,8.0
Ivanhoe,Blnd_fam_no_otr_chld_pre_Fam,53.0,9.0
Northcote,Blnd_fam_no_otr_chld_pre_Fam,54.0,10.0
Kew,Blnd_fam_no_otr_chld_pre_Fam,57.0,11.0
Essendon,Blnd_fam_no_otr_chld_pre_Fam,60.0,12.0
Glen Waverley,Blnd_fam_no_otr_chld_pre_Fam,69.0,13.0
Footscray,Blnd_fam_no_otr_chld_pre_Fam,70.0,14.0
Preston,Blnd_fam_no_otr_chld_pre_Fam,77.0,15.0
Sandringham,Blnd_fam_no_otr_chld_pre_Fam,79.0,16.0
Pascoe Vale,Blnd_fam_no_otr_chld_pre_Fam,81.0,17.0
Albert Park,Blnd_fam_no_otr_chld_pre_Fam,82.0,18.0
Brighton,Blnd_fam_no_otr_chld_pre_Fam,83.0,19.0
Niddrie,Blnd_fam_no_otr_chld_pre_Fam,89.0,20.0
Box Hill,Blnd_fam_no_otr_chld_pre_Fam,96.0,21.0
Broadmeadows,Blnd_fam_no_otr_chld_pre_Fam,101.0,22.0
Bulleen,Blnd_fam_no_otr_chld_pre_Fam,104.0,23.0
Ringwood,Blnd_fam_no_otr_chld_pre_Fam,105.0,24.0
Williamstown,Blnd_fam_no_otr_chld_pre_Fam,106.0,25.0
Warrandyte,Blnd_fam_no_otr_chld_pre_Fam,120.0,26.0
Eltham,Blnd_fam_no_otr_chld_pre_Fam,125.0,27.0
Ashwood,Blnd_fam_no_otr_chld_pre_Fam,132.0,28.0
Bundoora,Blnd_fam_no_otr_chld_pre_Fam,139.0,29.0
Mulgrave,Blnd_fam_no_otr_chld_pre_Fam,145.0,30.0
Bentleigh,Blnd_fam_no_otr_chld_pre_Fam,149.0,31.0
Thomastown,Blnd_fam_no_otr_chld_pre_Fam,150.0,32.0
Geelong,Blnd_fam_no_otr_chld_pre_Fam,158.0,33.0
Rowville,Blnd_fam_no_otr_chld_pre_Fam,163.0,34.0
Laverton,Blnd_fam_no_otr_chld_pre_Fam,169.0,35.0
Nepean,Blnd_fam_no_otr_chld_pre_Fam,171.0,36.0
Greenvale,Blnd_fam_no_otr_chld_pre_Fam,175.0,37.0
Dandenong,Blnd_fam_no_otr_chld_pre_Fam,179.0,38.0
Polwarth,Blnd_fam_no_otr_chld_pre_Fam,179.0,39.0
Mordialloc,Blnd_fam_no_otr_chld_pre_Fam,181.0,40.0
Clarinda,Blnd_fam_no_otr_chld_pre_Fam,183.0,41.0
Bellarine,Blnd_fam_no_otr_chld_pre_Fam,186.0,42.0
Mornington,Blnd_fam_no_otr_chld_pre_Fam,190.0,43.0
Narre Warren North,Blnd_fam_no_otr_chld_pre_Fam,195.0,44.0
Macedon,Blnd_fam_no_otr_chld_pre_Fam,199.0,45.0
Bendigo West,Blnd_fam_no_otr_chld_pre_Fam,202.0,46.0
St Albans,Blnd_fam_no_otr_chld_pre_Fam,204.0,47.0
Mill Park,Blnd_fam_no_otr_chld_pre_Fam,213.0,48.0
Ovens Valley,Blnd_fam_no_otr_chld_pre_Fam,214.0,49.0
Monbulk,Blnd_fam_no_otr_chld_pre_Fam,222.0,50.0
Euroa,Blnd_fam_no_otr_chld_pre_Fam,227.0,51.0
Bayswater,Blnd_fam_no_otr_chld_pre_Fam,228.0,52.0
Lowan,Blnd_fam_no_otr_chld_pre_Fam,231.0,53.0
Sydenham,Blnd_fam_no_otr_chld_pre_Fam,231.0,54.0
Croydon,Blnd_fam_no_otr_chld_pre_Fam,232.0,55.0
Gippsland South,Blnd_fam_no_otr_chld_pre_Fam,235.0,56.0
Eildon,Blnd_fam_no_otr_chld_pre_Fam,243.0,57.0
Frankston,Blnd_fam_no_otr_chld_pre_Fam,243.0,58.0
Gippsland East,Blnd_fam_no_otr_chld_pre_Fam,250.0,59.0
Murray Plains,Blnd_fam_no_otr_chld_pre_Fam,250.0,60.0
South-West Coast,Blnd_fam_no_otr_chld_pre_Fam,252.0,61.0
Lara,Blnd_fam_no_otr_chld_pre_Fam,260.0,62.0
Sunbury,Blnd_fam_no_otr_chld_pre_Fam,264.0,63.0
Mildura,Blnd_fam_no_otr_chld_pre_Fam,272.0,64.0
Tarneit,Blnd_fam_no_otr_chld_pre_Fam,272.0,65.0
South Barwon,Blnd_fam_no_otr_chld_pre_Fam,278.0,66.0
Bass,Blnd_fam_no_otr_chld_pre_Fam,280.0,67.0
Kororoit,Blnd_fam_no_otr_chld_pre_Fam,291.0,68.0
Bendigo East,Blnd_fam_no_otr_chld_pre_Fam,294.0,69.0
Wendouree,Blnd_fam_no_otr_chld_pre_Fam,294.0,70.0
Benambra,Blnd_fam_no_otr_chld_pre_Fam,298.0,71.0
Carrum,Blnd_fam_no_otr_chld_pre_Fam,299.0,72.0
Kalkallo,Blnd_fam_no_otr_chld_pre_Fam,299.0,73.0
Shepparton,Blnd_fam_no_otr_chld_pre_Fam,299.0,74.0
Evelyn,Blnd_fam_no_otr_chld_pre_Fam,303.0,75.0
Werribee,Blnd_fam_no_otr_chld_pre_Fam,316.0,76.0
Point Cook,Blnd_fam_no_otr_chld_pre_Fam,328.0,77.0
Ripon,Blnd_fam_no_otr_chld_pre_Fam,343.0,78.0
Berwick,Blnd_fam_no_otr_chld_pre_Fam,361.0,79.0
Hastings,Blnd_fam_no_otr_chld_pre_Fam,364.0,80.0
Yan Yean,Blnd_fam_no_otr_chld_pre_Fam,367.0,81.0
Morwell,Blnd_fam_no_otr_chld_pre_Fam,377.0,82.0
Eureka,Blnd_fam_no_otr_chld_pre_Fam,383.0,83.0
Narre Warren South,Blnd_fam_no_otr_chld_pre_Fam,398.0,84.0
Narracan,Blnd_fam_no_otr_chld_pre_Fam,422.0,85.0
Pakenham,Blnd_fam_no_otr_chld_pre_Fam,433.0,86.0
Melton,Blnd_fam_no_otr_chld_pre_Fam,435.0,87.0
Cranbourne,Blnd_fam_no_otr_chld_pre_Fam,513.0,88.0
Oakleigh,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0035,1.0
Melbourne,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0037,2.0
Hawthorn,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0039,3.0
Malvern,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0047,4.0
Prahran,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0048,5.0
Kew,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0056,6.0
Glen Waverley,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0058,7.0
Caulfield,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0059,8.0
Ivanhoe,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0063,9.0
Brunswick,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0068,10.0
Northcote,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0073,11.0
Essendon,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0074,12.0
Richmond,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0074,13.0
Footscray,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0091,14.0
Box Hill,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0094,15.0
Niddrie,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0094,16.0
Preston,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0096,17.0
Sandringham,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0096,18.0
Pascoe Vale,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0098,19.0
Ringwood,Blnd_fam_no_otr_chld_pre_Fam_pc,0.01,20.0
Brighton,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0101,21.0
Bulleen,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0104,22.0
Warrandyte,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0109,23.0
Broadmeadows,Blnd_fam_no_otr_chld_pre_Fam_pc,0.011,24.0
Ashwood,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0117,25.0
Eltham,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0125,26.0
Williamstown,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0125,27.0
Bentleigh,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0135,28.0
Laverton,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0138,29.0
Thomastown,Blnd_fam_no_otr_chld_pre_Fam_pc,0.014,30.0
Rowville,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0149,31.0
Albert Park,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0152,32.0
Greenvale,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0152,33.0
Mulgrave,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0152,34.0
Bundoora,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0157,35.0
Mordialloc,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0171,36.0
Dandenong,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0175,37.0
Narre Warren North,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0178,38.0
Sydenham,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0187,39.0
Clarinda,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0188,40.0
Tarneit,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0194,41.0
Kalkallo,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0196,42.0
Geelong,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0208,43.0
Mill Park,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0212,44.0
Point Cook,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0222,45.0
Polwarth,Blnd_fam_no_otr_chld_pre_Fam_pc,0.023,46.0
Kororoit,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0231,47.0
Mornington,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0232,48.0
St Albans,Blnd_fam_no_otr_chld_pre_Fam_pc,0.024,49.0
Croydon,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0246,50.0
Bayswater,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0247,51.0
Bellarine,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0247,52.0
Monbulk,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0248,53.0
Macedon,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0252,54.0
Berwick,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0272,55.0
Werribee,Blnd_fam_no_otr_chld_pre_Fam_pc,0.0279,56.0
