district,Aust_BP_B_OS_pc,Aust_FO_B_OS_pc,Aust_MO_B_OS_pc,Aust_Both_parents_born_Aust_pc,Aust_Birthplace_not_stated_pc,Aust_Tot_resp_pc,Aust_Abor_BP_B_OS_pc,Aust_Abor_FO_B_OS_pc,Aust_Abor_MO_B_OS_pc,Aust_Abor_BP_B_Aus_pc,Aust_Abor_BP_NS_pc,Aust_Abor_Tot_resp_pc,Chinese_BP_B_OS_pc,Chinese_FO_B_OS_pc,Chinese_MO_B_OS_pc,Chinese_BP_B_Aus_pc,Chinese_BP_NS_pc,Chinese_Tot_resp_pc,Croatian_BP_B_OS_pc,Croatian_FO_B_OS_pc,Croatian_MO_B_OS_pc,Croatian_BP_B_Aus_pc,Croatian_BP_NS_pc,Croatian_Tot_resp_pc,Dutch_BP_B_OS_pc,Dutch_FO_B_OS_pc,Dutch_MO_B_OS_pc,Dutch_BP_B_Aus_pc,Dutch_BP_NS_pc,Dutch_Tot_resp_pc,English_BP_B_OS_pc,English_FO_B_OS_pc,English_MO_B_OS_pc,English_BP_B_Aus_pc,English_BP_NS_pc,English_Tot_resp_pc,Filipino_BP_B_OS_pc,Filipino_FO_B_OS_pc,Filipino_MO_B_OS_pc,Filipino_BP_B_Aus_pc,Filipino_BP_NS_pc,Filipino_Tot_resp_pc,French_BP_B_OS_pc,French_FO_B_OS_pc,French_MO_B_OS_pc,French_BP_B_Aus_pc,French_BP_NS_pc,French_Tot_resp_pc,German_BP_B_OS_pc,German_FO_B_OS_pc,German_MO_B_OS_pc,German_BP_B_Aus_pc,German_BP_NS_pc,German_Tot_resp_pc,Greek_BP_B_OS_pc,Greek_FO_B_OS_pc,Greek_MO_B_OS_pc,Greek_BP_B_Aus_pc,Greek_BP_NS_pc,Greek_Tot_resp_pc,Hungarian_BP_B_OS_pc,Hungarian_FO_B_OS_pc,Hungarian_MO_B_OS_pc,Hungarian_BP_B_Aus_pc,Hungarian_BP_NS_pc,Hungarian_Tot_resp_pc,Indian_BP_B_OS_pc,Indian_FO_B_OS_pc,Indian_MO_B_OS_pc,Indian_BP_B_Aus_pc,Indian_BP_NS_pc,Indian_Tot_resp_pc,Irish_BP_B_OS_pc,Irish_FO_B_OS_pc,Irish_MO_B_OS_pc,Irish_BP_B_Aus_pc,Irish_BP_NS_pc,Irish_Tot_resp_pc,Italian_BP_B_OS_pc,Italian_FO_B_OS_pc,Italian_MO_B_OS_pc,Italian_BP_B_Aus_pc,Italian_BP_NS_pc,Italian_Tot_resp_pc,Korean_BP_B_OS_pc,Korean_FO_B_OS_pc,Korean_MO_B_OS_pc,Korean_BP_B_Aus_pc,Korean_BP_NS_pc,Korean_Tot_resp_pc,Lebanese_BP_B_OS_pc,Lebanese_FO_B_OS_pc,Lebanese_MO_B_OS_pc,Lebanese_BP_B_Aus_pc,Lebanese_BP_NS_pc,Lebanese_Tot_resp_pc,Macedonian_BP_B_OS_pc,Macdonian_FO_B_OS_pc,Macdonian_MO_B_OS_pc,Macdonian_BP_B_Aus_pc,Macdonian_BP_NS_pc,Macedonian_Tot_resp_pc,Maltese_BP_B_OS_pc,Maltese_FO_B_OS_pc,Maltese_MO_B_OS_pc,Maltese_BP_B_Aus_pc,Maltese_BP_NS_pc,Maltese_Tot_resp_pc,Maori_BP_B_OS_pc,Maori_FO_B_OS_pc,Maori_MO_B_OS_pc,Maori_BP_B_Aus_pc,Maori_BP_NS_pc,Maori_Tot_resp_pc,NZ_BP_B_OS_pc,NZ_FO_B_OS_pc,NZ_MO_B_OS_pc,NZ_BP_B_Aus_pc,NZ_BP_NS_pc,NZ_Tot_resp_pc,Polish_BP_B_OS_pc,Polish_FO_B_OS_pc,Polish_MO_B_OS_pc,Polish_BP_B_Aus_pc,Polish_BP_NS_pc,Polish_Tot_resp_pc,Russian_BP_B_OS_pc,Russian_FO_B_OS_pc,Russian_MO_B_OS_pc,Russian_BP_B_Aus_pc,Russian_BP_NS_pc,Russian_Tot_resp_pc,Samoan_BP_B_OS_pc,Samoan_FO_B_OS_pc,Samoan_MO_B_OS_pc,Samoan_BP_B_Aus_pc,Samoan_BP_NS_pc,Samoan_Tot_resp_pc,Scottish_BP_B_OS_pc,Scottish_FO_B_OS_pc,Scottish_MO_B_OS_pc,Scottish_BP_B_Aus_pc,Scottish_BP_NS_pc,Scottish_Tot_resp_pc,Serbian_BP_B_OS_pc,Serbian_FO_B_OS_pc,Serbian_MO_B_OS_pc,Serbian_BP_B_Aus_pc,Serbian_BP_NS_pc,Serbian_Tot_resp_pc,Sth_African_BP_B_OS_pc,Sth_African_FO_B_OS_pc,Sth_African_MO_B_OS_pc,Sth_Afrcan_BP_B_Aus_pc,Sth_African_BP_NS_pc,Sth_African_Tot_resp_pc,Spanish_BP_B_OS_pc,Spanish_FO_B_OS_pc,Spanish_MO_B_OS_pc,Spanish_BP_B_Aus_pc,Spanish_BP_NS_pc,Spanish_Tot_resp_pc,Sri_Lankan_BP_B_OS_pc,Sri_Lankan_FO_B_OS_pc,Sri_Lankan_MO_B_OS_pc,Sri_Lankan_BP_B_Aus_pc,Sri_Lankan_BP_NS_pc,Sri_Lankan_Tot_resp_pc,Vietnamese_BP_B_OS_pc,Vietnamese_FO_B_OS_pc,Vietnamese_MO_B_OS_pc,Vietnamese_BP_B_Aus_pc,Vietnamese_BP_NS_pc,Vietnamese_Tot_resp_pc,Welsh_BP_B_OS_pc,Welsh_FO_B_OS_pc,Welsh_MO_B_OS_pc,Welsh_BP_B_Aus_pc,Welsh_BP_NS_pc,Welsh_Tot_resp_pc,Other_BP_B_OS_pc,Other_FO_B_OS_pc,Other_MO_B_OS_pc,Other_BP_B_Aus_pc,Other_BP_NS_pc,Other_Tot_resp_pc,Ancestry_NS_BP_B_OS_pc,Ancestry_NS_FO_B_OS_pc,Ancestry_NS_MO_B_OS_pc,Ancestry_NS_BP_B_Aus_pc,Ancestry_NS_BP_NS_pc,Ancestry_NS_Tot_resp_pc,Tot_P_BP_B_OS_pc,Tot_P_FO_B_OS_pc,Tot_P_MO_B_OS_pc,Tot_P_BP_B_Aus_pc,Tot_P_BP_NS_pc,Tot_P_Tot_resp_pc
Hawthorn,0.0076,0.036,0.0304,0.1885,0.0012,0.2637,0.0,0.0,0.0,0.0015,0.0,0.0015,0.1159,0.0023,0.0054,0.0034,0.0,0.127,0.002,0.0002,0.0,0.0013,0.0,0.0035,0.0057,0.002,0.0013,0.0051,0.0,0.0142,0.0572,0.0329,0.0262,0.2118,0.0009,0.329,0.0038,0.0,0.0006,0.0003,0.0,0.0047,0.0038,0.0009,0.0005,0.0021,0.0,0.0074,0.0103,0.0028,0.0022,0.0217,0.0001,0.037,0.0192,0.0028,0.0012,0.0098,0.0001,0.033,0.0012,0.0002,0.0,0.0008,0.0,0.0022,0.031,0.0009,0.0008,0.0008,0.0,0.0335,0.0164,0.0092,0.0073,0.1009,0.0004,0.1343,0.0214,0.006,0.0027,0.0256,0.0,0.0557,0.004,0.0002,0.0002,0.0001,0.0,0.0044,0.0007,0.0001,0.0,0.0004,0.0,0.0012,0.0011,0.0001,0.0002,0.0007,0.0,0.0021,0.001,0.0004,0.0004,0.0016,0.0,0.0033,0.0006,0.0002,0.0001,0.0001,0.0001,0.001,0.0032,0.0005,0.0003,0.0005,0.0,0.0045,0.0052,0.0007,0.0005,0.0028,0.0,0.0092,0.0026,0.0002,0.0005,0.0003,0.0,0.0037,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0172,0.0098,0.0077,0.0818,0.0001,0.1166,0.0012,0.0002,0.0001,0.0,0.0,0.0015,0.003,0.0005,0.0003,0.0001,0.0,0.0038,0.0026,0.0,0.0001,0.0002,0.0,0.0029,0.0058,0.0006,0.0005,0.0005,0.0,0.0074,0.0119,0.0005,0.0005,0.0001,0.0,0.013,0.0012,0.0004,0.0002,0.0028,0.0,0.0045,0.0786,0.0106,0.0108,0.0161,0.0,0.1162,0.0021,0.0001,0.0002,0.0017,0.0308,0.0349,0.3798,0.0743,0.0615,0.4489,0.0355,1.0
Ivanhoe,0.0097,0.035,0.0273,0.1909,0.0015,0.2644,0.0,0.0002,0.0,0.0048,0.0,0.005,0.074,0.0014,0.0027,0.0025,0.0001,0.0807,0.0054,0.0005,0.0003,0.0018,0.0,0.0081,0.0041,0.0012,0.0011,0.0038,0.0,0.0102,0.0505,0.029,0.0202,0.1883,0.0014,0.2894,0.0072,0.0006,0.0007,0.0002,0.0,0.0086,0.0022,0.0002,0.0001,0.0012,0.0,0.0037,0.0086,0.0019,0.0015,0.0175,0.0,0.0295,0.0248,0.0046,0.0015,0.0133,0.0001,0.0443,0.0015,0.0002,0.0002,0.0003,0.0,0.0022,0.0288,0.0013,0.0004,0.0006,0.0,0.0312,0.0154,0.0088,0.0055,0.0883,0.0002,0.1183,0.0496,0.012,0.0044,0.0413,0.0,0.1072,0.0027,0.0,0.0002,0.0001,0.0,0.003,0.0067,0.001,0.0005,0.002,0.0001,0.0103,0.0064,0.0015,0.0005,0.0032,0.0,0.0116,0.0024,0.0007,0.0002,0.0028,0.0,0.0061,0.0009,0.0002,0.0,0.0001,0.0,0.0012,0.0023,0.0013,0.0006,0.0002,0.0,0.0044,0.0044,0.0006,0.0006,0.0014,0.0001,0.0071,0.0028,0.0,0.0002,0.0002,0.0,0.0032,0.0006,0.0001,0.0001,0.0,0.0,0.0007,0.0149,0.0078,0.0058,0.0619,0.0,0.0903,0.0028,0.0001,0.0001,0.0002,0.0,0.0031,0.0019,0.0006,0.0001,0.0,0.0,0.0027,0.0024,0.0002,0.0002,0.0004,0.0,0.0032,0.0052,0.0008,0.0002,0.0001,0.0,0.0062,0.0091,0.0004,0.0004,0.0003,0.0,0.0102,0.0013,0.0003,0.0001,0.0017,0.0,0.0033,0.0987,0.0111,0.0096,0.0145,0.0003,0.1343,0.0043,0.0002,0.0001,0.0024,0.0318,0.0387,0.3971,0.0768,0.0531,0.4354,0.0375,1.0
Kalkallo,0.0308,0.0204,0.0129,0.1162,0.0006,0.1809,0.0001,0.0002,0.0003,0.0068,0.0,0.0074,0.0115,0.0002,0.0002,0.0004,0.0,0.0122,0.0025,0.0005,0.0002,0.0008,0.0,0.004,0.0014,0.0003,0.0001,0.002,0.0,0.0038,0.0394,0.0133,0.01,0.0922,0.0008,0.1557,0.0205,0.0002,0.0008,0.0004,0.0001,0.0219,0.0008,0.0,0.0001,0.0004,0.0,0.0012,0.0037,0.0008,0.0004,0.0073,0.0,0.0122,0.0061,0.0022,0.0009,0.0056,0.0,0.0148,0.0002,0.0,0.0,0.0002,0.0,0.0004,0.124,0.0006,0.0005,0.0002,0.0001,0.1254,0.0044,0.0025,0.001,0.0281,0.0,0.036,0.0231,0.0077,0.0029,0.026,0.0001,0.0598,0.0005,0.0,0.0001,0.0,0.0,0.0006,0.0099,0.0023,0.0011,0.0019,0.0,0.0153,0.0049,0.0007,0.0004,0.002,0.0,0.008,0.0075,0.0022,0.001,0.0073,0.0,0.018,0.0036,0.0004,0.0003,0.0002,0.0001,0.0046,0.0032,0.0006,0.0005,0.0002,0.0,0.0045,0.0015,0.0,0.0001,0.0006,0.0,0.0022,0.0005,0.0,0.0001,0.0001,0.0,0.0007,0.0166,0.0011,0.0003,0.0001,0.0002,0.0184,0.0045,0.0023,0.0016,0.0222,0.0,0.0305,0.0012,0.0001,0.0,0.0003,0.0,0.0016,0.0008,0.0001,0.0003,0.0001,0.0,0.0012,0.0022,0.0001,0.0,0.0006,0.0,0.0029,0.0127,0.0001,0.0002,0.0,0.0,0.0131,0.0026,0.0002,0.0003,0.0001,0.0,0.0031,0.0001,0.0,0.0,0.0002,0.0,0.0003,0.3547,0.0134,0.0079,0.0115,0.0014,0.3889,0.0128,0.0002,0.0002,0.0031,0.0444,0.0607,0.6358,0.0494,0.0308,0.2349,0.0491,1.0
Kew,0.0093,0.0267,0.0235,0.1365,0.0008,0.1968,0.0001,0.0,0.0,0.0017,0.0,0.0018,0.2309,0.0035,0.0064,0.0041,0.0008,0.2457,0.0027,0.0003,0.0003,0.0013,0.0,0.0045,0.0042,0.0007,0.0008,0.0029,0.0,0.0086,0.0466,0.0241,0.0186,0.1523,0.0006,0.2421,0.0033,0.0002,0.0006,0.0001,0.0,0.0042,0.0016,0.0004,0.0004,0.0011,0.0,0.0035,0.008,0.0019,0.0009,0.0133,0.0,0.0241,0.0328,0.0045,0.0015,0.0163,0.0001,0.0551,0.0015,0.0001,0.0001,0.0006,0.0,0.0022,0.032,0.001,0.0008,0.0006,0.0,0.0344,0.0109,0.0063,0.0046,0.0763,0.0002,0.0982,0.0343,0.0072,0.003,0.03,0.0,0.0745,0.0056,0.0001,0.0003,0.0,0.0,0.0061,0.0018,0.0005,0.0002,0.0009,0.0,0.0034,0.0026,0.0002,0.0004,0.0011,0.0001,0.0043,0.0016,0.0005,0.0001,0.0016,0.0,0.0038,0.0003,0.0001,0.0001,0.0001,0.0,0.0005,0.002,0.0007,0.0005,0.0002,0.0,0.0035,0.0044,0.0004,0.0006,0.0022,0.0,0.0076,0.0017,0.0003,0.0003,0.0001,0.0,0.0023,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0112,0.0063,0.0046,0.0563,0.0002,0.0785,0.0013,0.0001,0.0,0.0001,0.0,0.0015,0.0022,0.0004,0.0003,0.0,0.0,0.0028,0.0017,0.0001,0.0002,0.0004,0.0,0.0024,0.0064,0.0003,0.0003,0.0002,0.0001,0.0073,0.0181,0.0005,0.0011,0.0005,0.0,0.0202,0.0009,0.0002,0.0002,0.0017,0.0,0.003,0.0825,0.0082,0.0089,0.0136,0.0001,0.1134,0.0027,0.0001,0.0002,0.0011,0.0268,0.031,0.5117,0.0613,0.0509,0.3449,0.0312,1.0
Kororoit,0.0291,0.016,0.011,0.0626,0.0008,0.1195,0.0,0.0002,0.0001,0.0028,0.0,0.003,0.0517,0.0005,0.0011,0.0003,0.0002,0.0538,0.0112,0.001,0.0003,0.0022,0.0001,0.0148,0.0012,0.0001,0.0002,0.0008,0.0,0.0023,0.0362,0.0098,0.0069,0.0515,0.001,0.1053,0.0613,0.0011,0.0026,0.0007,0.0,0.0658,0.0007,0.0,0.0001,0.0003,0.0,0.0011,0.0047,0.0004,0.0002,0.0041,0.0,0.0095,0.0106,0.0016,0.0008,0.0059,0.0,0.0189,0.0013,0.0,0.0001,0.0003,0.0,0.0017,0.074,0.0008,0.0006,0.0003,0.0,0.0758,0.0036,0.0012,0.0007,0.0157,0.0,0.0212,0.0204,0.0049,0.0018,0.0147,0.0,0.0419,0.0012,0.0,0.0,0.0,0.0,0.0012,0.0036,0.0009,0.0005,0.0008,0.0,0.0058,0.0201,0.002,0.0014,0.0043,0.0001,0.0279,0.0318,0.0046,0.0025,0.0157,0.0,0.0545,0.0048,0.0005,0.0003,0.0001,0.0001,0.0058,0.0022,0.0002,0.0001,0.0001,0.0,0.0026,0.0067,0.0006,0.0004,0.0017,0.0,0.0094,0.0008,0.0,0.0,0.0001,0.0,0.0009,0.0105,0.0005,0.0003,0.0001,0.0,0.0114,0.0048,0.0014,0.0012,0.0111,0.0,0.0185,0.009,0.0005,0.0004,0.0003,0.0,0.0103,0.0005,0.0001,0.0001,0.0,0.0,0.0007,0.0083,0.0003,0.0001,0.0004,0.0,0.0092,0.0058,0.0003,0.0,0.0,0.0,0.0061,0.1009,0.0013,0.0019,0.0012,0.0001,0.1054,0.0001,0.0,0.0,0.0001,0.0,0.0002,0.2483,0.0107,0.007,0.0078,0.0014,0.2751,0.0212,0.0002,0.0005,0.0008,0.0709,0.0936,0.7027,0.0437,0.0308,0.1455,0.0772,1.0
Lara,0.0109,0.033,0.0217,0.2522,0.0045,0.3224,0.0,0.0002,0.0001,0.0151,0.0003,0.0157,0.0084,0.0001,0.0004,0.0015,0.0,0.0103,0.0258,0.0024,0.0016,0.007,0.0002,0.037,0.0114,0.0023,0.0013,0.0096,0.0,0.0245,0.0481,0.0269,0.0184,0.2209,0.0034,0.3178,0.0146,0.0002,0.0016,0.0004,0.0,0.0168,0.0008,0.0002,0.0,0.0005,0.0,0.0015,0.0101,0.0027,0.0014,0.0243,0.0001,0.0385,0.0034,0.0006,0.0002,0.0022,0.0,0.0064,0.0031,0.0005,0.0002,0.0008,0.0,0.0046,0.0159,0.0,0.0002,0.0004,0.0,0.0165,0.0103,0.0056,0.0039,0.0723,0.0006,0.0927,0.0174,0.0044,0.0012,0.0201,0.0002,0.0433,0.0003,0.0,0.0001,0.0,0.0,0.0004,0.0011,0.0004,0.0003,0.0002,0.0001,0.0021,0.0116,0.0012,0.0006,0.0024,0.0001,0.0159,0.0031,0.0003,0.0003,0.0031,0.0,0.0069,0.0014,0.0004,0.0001,0.0002,0.0,0.0021,0.0016,0.0009,0.0005,0.0007,0.0,0.0037,0.0075,0.0003,0.0003,0.0025,0.0,0.0106,0.0027,0.0002,0.0001,0.0006,0.0,0.0036,0.0005,0.0003,0.0,0.0,0.0,0.0008,0.0142,0.0065,0.0042,0.0592,0.0002,0.0843,0.0093,0.0007,0.0003,0.0011,0.0001,0.0115,0.0004,0.0002,0.0001,0.0001,0.0,0.0007,0.0031,0.0001,0.0003,0.0008,0.0,0.0043,0.0012,0.0,0.0,0.0,0.0,0.0013,0.0053,0.0001,0.0001,0.0,0.0,0.0055,0.0009,0.0004,0.0001,0.0015,0.0,0.0029,0.0991,0.0067,0.0054,0.0123,0.0012,0.1248,0.0037,0.0002,0.0004,0.0046,0.0682,0.0772,0.3088,0.0634,0.043,0.5046,0.0802,1.0
Laverton,0.0298,0.0131,0.0112,0.057,0.001,0.1121,0.0001,0.0,0.0001,0.0035,0.0,0.0037,0.0744,0.0006,0.0012,0.0008,0.0002,0.0771,0.0054,0.0002,0.0002,0.0008,0.0001,0.0066,0.0009,0.0002,0.0001,0.0009,0.0,0.002,0.0419,0.0088,0.0077,0.0504,0.0014,0.1103,0.0374,0.0003,0.0014,0.0004,0.0,0.0395,0.0007,0.0002,0.0001,0.0001,0.0,0.0011,0.0043,0.0006,0.0003,0.0048,0.0,0.01,0.0132,0.001,0.0006,0.0028,0.0001,0.0177,0.0006,0.0,0.0,0.0,0.0,0.0006,0.1461,0.0005,0.0001,0.0001,0.0001,0.1468,0.0059,0.0022,0.0015,0.0185,0.0001,0.0281,0.012,0.0024,0.0009,0.0077,0.0002,0.0231,0.0026,0.0,0.0,0.0,0.0,0.0026,0.0059,0.0016,0.0009,0.0007,0.0,0.0091,0.008,0.0006,0.0003,0.0011,0.0001,0.0101,0.0127,0.0011,0.0006,0.0041,0.0,0.0186,0.0074,0.0005,0.0002,0.0,0.0,0.0081,0.003,0.0002,0.0002,0.0,0.0,0.0035,0.0055,0.0004,0.0002,0.0007,0.0,0.0068,0.001,0.0,0.0001,0.0,0.0,0.0011,0.0108,0.0004,0.0002,0.0001,0.0001,0.0114,0.0053,0.0014,0.0012,0.0135,0.0,0.0216,0.0036,0.0001,0.0,0.0001,0.0,0.0039,0.0003,0.0001,0.0001,0.0,0.0,0.0006,0.0038,0.0,0.0001,0.0001,0.0,0.0041,0.0048,0.0001,0.0,0.0001,0.0,0.005,0.0932,0.001,0.0019,0.001,0.0003,0.0974,0.0002,0.0,0.0001,0.0003,0.0,0.0007,0.2699,0.0071,0.0055,0.0049,0.0014,0.2887,0.0218,0.0002,0.0001,0.0012,0.0666,0.09,0.7449,0.0322,0.0256,0.1234,0.074,1.0
Lowan,0.0027,0.0183,0.0165,0.375,0.0054,0.4179,0.0,0.0002,0.0001,0.0155,0.0002,0.016,0.004,0.0001,0.0002,0.0008,0.0,0.005,0.0001,0.0001,0.0,0.0004,0.0,0.0006,0.005,0.0013,0.0006,0.0038,0.0,0.0106,0.0313,0.0196,0.0161,0.3379,0.0056,0.4105,0.0051,0.0001,0.001,0.0002,0.0001,0.0065,0.0005,0.0,0.0001,0.0013,0.0,0.0018,0.0039,0.0016,0.0015,0.0747,0.0003,0.082,0.0008,0.0,0.0,0.0006,0.0,0.0015,0.0002,0.0,0.0,0.0001,0.0,0.0004,0.0063,0.0001,0.0,0.0,0.0,0.0066,0.0049,0.003,0.0019,0.0946,0.0009,0.1053,0.003,0.0007,0.0004,0.0105,0.0,0.0146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0001,0.0001,0.0007,0.0,0.0013,0.0018,0.0,0.0001,0.0,0.0001,0.002,0.001,0.0004,0.0003,0.0006,0.0,0.0024,0.0006,0.0,0.0001,0.0009,0.0,0.0016,0.0,0.0001,0.0,0.0002,0.0,0.0002,0.0003,0.0,0.0,0.0,0.0,0.0003,0.0084,0.0043,0.003,0.1038,0.0004,0.1201,0.0001,0.0,0.0,0.0,0.0,0.0003,0.0013,0.0002,0.0001,0.0001,0.0,0.0016,0.0004,0.0001,0.0,0.0001,0.0,0.0006,0.0004,0.0001,0.0,0.0001,0.0,0.0006,0.0005,0.0,0.0,0.0,0.0,0.0006,0.0003,0.0001,0.0001,0.0016,0.0,0.0022,0.0251,0.0021,0.0022,0.0068,0.0002,0.0364,0.001,0.0003,0.0001,0.0116,0.06,0.0729,0.101,0.0366,0.0309,0.7567,0.0748,1.0
Macedon,0.0053,0.0418,0.0298,0.305,0.0032,0.3851,0.0,0.0003,0.0002,0.0073,0.0,0.0078,0.0042,0.0003,0.0004,0.0017,0.0001,0.0068,0.0029,0.0007,0.0003,0.0013,0.0,0.0052,0.0079,0.003,0.0021,0.0062,0.0,0.019,0.0719,0.038,0.0276,0.278,0.0035,0.419,0.0021,0.0,0.0002,0.0001,0.0,0.0024,0.002,0.0003,0.0002,0.0015,0.0,0.004,0.0113,0.0046,0.0025,0.0273,0.0002,0.0459,0.0037,0.0005,0.0004,0.0028,0.0,0.0073,0.0013,0.0001,0.0001,0.0007,0.0,0.0022,0.0032,0.0004,0.0001,0.0005,0.0,0.0041,0.0171,0.0103,0.0071,0.1193,0.0012,0.155,0.015,0.0053,0.0016,0.0227,0.0002,0.0449,0.0002,0.0,0.0,0.0001,0.0,0.0003,0.0003,0.0003,0.0,0.0004,0.0,0.0011,0.0014,0.0001,0.0001,0.0008,0.0,0.0024,0.0085,0.0024,0.0014,0.0067,0.0001,0.019,0.0008,0.0003,0.0005,0.0002,0.0,0.0019,0.0023,0.0015,0.0009,0.0002,0.0,0.005,0.0046,0.0011,0.0002,0.0031,0.0,0.009,0.0008,0.0001,0.0001,0.0005,0.0,0.0015,0.0002,0.0001,0.0001,0.0,0.0,0.0003,0.0196,0.01,0.0063,0.0956,0.0006,0.1321,0.001,0.0001,0.0001,0.0002,0.0,0.0014,0.0018,0.0004,0.0004,0.0001,0.0,0.0026,0.0007,0.0002,0.0001,0.0003,0.0,0.0012,0.0005,0.0004,0.0002,0.0002,0.0,0.0012,0.0006,0.0002,0.0001,0.0,0.0,0.0009,0.0024,0.0004,0.0002,0.0031,0.0,0.0062,0.0309,0.008,0.0054,0.0151,0.0003,0.0597,0.0011,0.0002,0.0001,0.005,0.0498,0.0562,0.1874,0.0793,0.055,0.6196,0.0587,1.0
Malvern,0.0082,0.0359,0.0285,0.1846,0.0008,0.258,0.0,0.0001,0.0,0.0012,0.0,0.0013,0.0855,0.0016,0.0042,0.0029,0.0002,0.0944,0.0026,0.0006,0.0001,0.0008,0.0,0.0041,0.0041,0.0018,0.0005,0.0044,0.0,0.0109,0.0546,0.0339,0.0237,0.2117,0.0016,0.3256,0.006,0.0,0.0003,0.0,0.0,0.0064,0.004,0.0006,0.0003,0.0021,0.0,0.007,0.0102,0.0026,0.0014,0.0199,0.0,0.0341,0.0319,0.0033,0.0019,0.0144,0.0,0.0515,0.0032,0.0004,0.0,0.001,0.0,0.0046,0.0309,0.0009,0.0004,0.0007,0.0,0.0329,0.0157,0.0081,0.0075,0.0904,0.0003,0.122,0.02,0.0057,0.0025,0.0233,0.0,0.0514,0.0026,0.0,0.0002,0.0001,0.0,0.0029,0.0008,0.0003,0.0002,0.0006,0.0,0.0019,0.001,0.0001,0.0002,0.0003,0.0,0.0016,0.0009,0.0001,0.0001,0.0009,0.0,0.002,0.0003,0.0,0.0,0.0001,0.0,0.0005,0.0032,0.0006,0.0005,0.0,0.0,0.0044,0.0139,0.0022,0.0013,0.0057,0.0,0.0231,0.0056,0.0006,0.0005,0.0014,0.0,0.0081,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0152,0.0085,0.0058,0.077,0.0002,0.1067,0.0022,0.0002,0.0,0.0003,0.0001,0.0028,0.0039,0.0007,0.0005,0.0001,0.0,0.0052,0.0023,0.0,0.0001,0.0003,0.0,0.0027,0.0047,0.0002,0.0004,0.0003,0.0,0.0056,0.0069,0.0002,0.0004,0.0003,0.0,0.008,0.0005,0.0005,0.0,0.0021,0.0,0.0031,0.0879,0.012,0.0105,0.0185,0.0003,0.1292,0.0031,0.0001,0.0001,0.0012,0.0356,0.0402,0.3755,0.0768,0.0591,0.4477,0.0409,1.0
Melbourne,0.0082,0.0203,0.0187,0.0872,0.0005,0.1348,0.0002,0.0001,0.0001,0.0031,0.0,0.0035,0.2366,0.001,0.0032,0.0012,0.0003,0.2423,0.002,0.0,0.0001,0.0007,0.0,0.0028,0.0038,0.001,0.0004,0.0032,0.0,0.0085,0.0525,0.0192,0.0159,0.0981,0.0006,0.1861,0.0172,0.0,0.0008,0.0001,0.0,0.0182,0.0049,0.0003,0.0003,0.0008,0.0,0.0063,0.0092,0.0016,0.0014,0.0128,0.0,0.025,0.0051,0.0009,0.0004,0.0029,0.0,0.0093,0.0005,0.0001,0.0001,0.0003,0.0,0.001,0.0624,0.0002,0.0001,0.0001,0.0,0.0628,0.0138,0.0059,0.0046,0.0521,0.0,0.0764,0.0175,0.0045,0.0018,0.0138,0.0001,0.0377,0.0176,0.0,0.0001,0.0001,0.0,0.0178,0.0012,0.0002,0.0001,0.0003,0.0,0.0018,0.0011,0.0,0.0001,0.0003,0.0,0.0015,0.0014,0.0004,0.0002,0.0013,0.0,0.0034,0.0018,0.0001,0.0001,0.0,0.0,0.0019,0.0037,0.0004,0.0002,0.0002,0.0,0.0045,0.0034,0.0003,0.0002,0.0013,0.0,0.0052,0.003,0.0001,0.0001,0.0004,0.0,0.0036,0.0007,0.0,0.0,0.0,0.0,0.0007,0.0126,0.0052,0.0044,0.0364,0.0001,0.0587,0.0016,0.0001,0.0,0.0002,0.0,0.0019,0.0011,0.0001,0.0001,0.0,0.0,0.0013,0.0066,0.0001,0.0,0.0001,0.0,0.0069,0.0038,0.0001,0.0003,0.0001,0.0,0.0043,0.0246,0.0001,0.0007,0.0,0.0,0.0255,0.001,0.0002,0.0,0.001,0.0,0.0022,0.1786,0.0073,0.008,0.0088,0.0008,0.2036,0.0072,0.0,0.0001,0.001,0.0757,0.084,0.6225,0.0443,0.0397,0.213,0.0806,1.0
