district,census_variable,value
Albert Park,Age_yr_0_M_n,321.0
Ashwood,Age_yr_0_M_n,283.0
Bass,Age_yr_0_M_n,323.0
Bayswater,Age_yr_0_M_n,410.0
Bellarine,Age_yr_0_M_n,301.0
Benambra,Age_yr_0_M_n,323.0
Bendigo East,Age_yr_0_M_n,410.0
Bendigo West,Age_yr_0_M_n,314.0
Bentleigh,Age_yr_0_M_n,341.0
Berwick,Age_yr_0_M_n,559.0
Box Hill,Age_yr_0_M_n,334.0
Brighton,Age_yr_0_M_n,253.0
Broadmeadows,Age_yr_0_M_n,584.0
Brunswick,Age_yr_0_M_n,301.0
Bulleen,Age_yr_0_M_n,245.0
Bundoora,Age_yr_0_M_n,331.0
Carrum,Age_yr_0_M_n,512.0
Caulfield,Age_yr_0_M_n,359.0
Clarinda,Age_yr_0_M_n,332.0
Cranbourne,Age_yr_0_M_n,813.0
Croydon,Age_yr_0_M_n,455.0
Dandenong,Age_yr_0_M_n,535.0
Eildon,Age_yr_0_M_n,309.0
Eltham,Age_yr_0_M_n,264.0
Essendon,Age_yr_0_M_n,324.0
Eureka,Age_yr_0_M_n,426.0
Euroa,Age_yr_0_M_n,282.0
Evelyn,Age_yr_0_M_n,431.0
Footscray,Age_yr_0_M_n,481.0
Frankston,Age_yr_0_M_n,358.0
Geelong,Age_yr_0_M_n,389.0
Gippsland East,Age_yr_0_M_n,278.0
Gippsland South,Age_yr_0_M_n,256.0
Glen Waverley,Age_yr_0_M_n,176.0
Greenvale,Age_yr_0_M_n,470.0
Hastings,Age_yr_0_M_n,377.0
Hawthorn,Age_yr_0_M_n,235.0
Ivanhoe,Age_yr_0_M_n,292.0
Kalkallo,Age_yr_0_M_n,964.0
Kew,Age_yr_0_M_n,154.0
Kororoit,Age_yr_0_M_n,502.0
Lara,Age_yr_0_M_n,346.0
Laverton,Age_yr_0_M_n,738.0
Lowan,Age_yr_0_M_n,291.0
Macedon,Age_yr_0_M_n,216.0
Malvern,Age_yr_0_M_n,218.0
Melbourne,Age_yr_0_M_n,330.0
Melton,Age_yr_0_M_n,653.0
Mildura,Age_yr_0_M_n,297.0
Mill Park,Age_yr_0_M_n,330.0
