district,Num_MVs_NS,Num_MVs_NS_pc,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_0_MVs_pc,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_1_MVs_pc,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_2_MVs_pc,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_3_MVs_pc,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_4mo_MVs_pc,Num_MVs_per_dweling_Tot,Num_MVs_per_dweling_Tot_pc,Total_dwelings,Total_dwelings_pc,Total_dwelings_total
Lara,64.0,68.0,62.0,63.0,52.0,56.0,24.0,23.0,30.0,37.0,46.0,47.0,38.0,24.0,41.0,42.0,41.0
Laverton,87.0,84.0,71.0,67.0,69.0,61.0,67.0,32.0,35.0,26.0,27.0,23.0,79.0,7.0,79.0,43.0,79.0
Lowan,74.0,73.0,46.0,43.0,42.0,30.0,37.0,20.0,86.0,74.0,86.0,79.0,62.0,4.0,63.0,44.0,63.0
Macedon,30.0,42.0,3.0,3.0,5.0,7.0,31.0,69.0,79.0,86.0,79.0,86.0,5.0,55.0,6.0,45.0,6.0
Malvern,28.0,27.0,72.0,72.0,73.0,76.0,12.0,16.0,11.0,14.0,13.0,16.0,43.0,43.0,44.0,46.0,44.0
Melbourne,88.0,71.0,88.0,88.0,88.0,65.0,1.0,1.0,1.0,1.0,1.0,1.0,88.0,19.0,88.0,47.0,88.0
Melton,73.0,76.0,36.0,35.0,38.0,38.0,60.0,54.0,57.0,52.0,57.0,54.0,47.0,17.0,48.0,48.0,48.0
Mildura,85.0,87.0,55.0,56.0,33.0,34.0,22.0,24.0,66.0,64.0,66.0,67.0,34.0,8.0,36.0,49.0,36.0
Mill Park,23.0,36.0,11.0,15.0,12.0,20.0,20.0,64.0,49.0,69.0,56.0,63.0,2.0,34.0,2.0,50.0,2.0
Monbulk,5.0,9.0,5.0,5.0,3.0,5.0,41.0,73.0,72.0,82.0,82.0,87.0,7.0,81.0,4.0,51.0,4.0
Mordialloc,7.0,5.0,42.0,45.0,40.0,44.0,73.0,74.0,33.0,39.0,34.0,37.0,41.0,85.0,39.0,52.0,39.0
Mornington,12.0,20.0,19.0,23.0,17.0,24.0,52.0,77.0,38.0,51.0,53.0,56.0,11.0,86.0,10.0,53.0,10.0
Morwell,78.0,77.0,68.0,65.0,63.0,58.0,42.0,19.0,54.0,40.0,55.0,46.0,68.0,12.0,71.0,54.0,71.0
Mulgrave,62.0,65.0,66.0,68.0,48.0,48.0,44.0,35.0,34.0,38.0,41.0,41.0,45.0,15.0,45.0,55.0,45.0
