district,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total,Total_Total_total
Euroa,Null,7859.0,7859.0,9500.0,555.0,10001.0,3298.0,36.0,3316.0,2826.0,0.0,2841.0,1308.0,0.0,1316.0,573.0,5.0,586.0,17523.0,8549.0,26067.0,26067.0
Evelyn,Null,4623.0,4623.0,7592.0,325.0,7904.0,4086.0,16.0,4141.0,4697.0,3.0,4715.0,1901.0,0.0,1908.0,820.0,3.0,827.0,19072.0,5024.0,24141.0,24141.0
Footscray,Null,8787.0,8787.0,8504.0,1340.0,9809.0,4233.0,519.0,4855.0,3940.0,121.0,4098.0,1108.0,26.0,1177.0,389.0,12.0,408.0,18153.0,11019.0,29149.0,29149.0
Frankston,Null,8765.0,8765.0,8170.0,750.0,8887.0,4067.0,87.0,4177.0,3521.0,11.0,3542.0,1258.0,0.0,1262.0,476.0,0.0,485.0,17536.0,9754.0,27190.0,27190.0
Geelong,Null,9459.0,9459.0,8740.0,792.0,9635.0,3847.0,258.0,4104.0,3626.0,89.0,3723.0,1498.0,7.0,1530.0,429.0,0.0,462.0,18332.0,10773.0,29086.0,29086.0
Gippsland East,Null,7870.0,7870.0,9806.0,435.0,10359.0,2889.0,42.0,2939.0,2608.0,9.0,2632.0,1257.0,0.0,1260.0,487.0,0.0,509.0,17122.0,8422.0,25531.0,25531.0
Gippsland South,Null,7746.0,7746.0,9312.0,449.0,9853.0,3139.0,23.0,3208.0,2786.0,0.0,2783.0,1466.0,0.0,1476.0,607.0,0.0,603.0,17272.0,8305.0,25560.0,25560.0
Glen Waverley,Null,5314.0,5314.0,8265.0,366.0,8614.0,5059.0,159.0,5273.0,6080.0,60.0,6223.0,2041.0,21.0,2094.0,848.0,12.0,910.0,22226.0,6132.0,28305.0,28305.0
Greenvale,Null,2841.0,2841.0,5115.0,217.0,5419.0,4145.0,34.0,4241.0,4914.0,11.0,4968.0,2685.0,0.0,2696.0,2089.0,0.0,2100.0,18984.0,3246.0,22184.0,22184.0
Hastings,Null,6123.0,6123.0,7825.0,368.0,8261.0,3831.0,7.0,3868.0,3958.0,0.0,3961.0,1599.0,0.0,1605.0,637.0,0.0,640.0,17877.0,6555.0,24451.0,24451.0
