district,census_variable,value
Albert Park,M_15_19_yr_Volunteer_n,99.0
Ashwood,M_15_19_yr_Volunteer_n,340.0
Bass,M_15_19_yr_Volunteer_n,134.0
Bayswater,M_15_19_yr_Volunteer_n,154.0
Bellarine,M_15_19_yr_Volunteer_n,189.0
Benambra,M_15_19_yr_Volunteer_n,225.0
Bendigo East,M_15_19_yr_Volunteer_n,236.0
Bendigo West,M_15_19_yr_Volunteer_n,153.0
Bentleigh,M_15_19_yr_Volunteer_n,209.0
Berwick,M_15_19_yr_Volunteer_n,187.0
Box Hill,M_15_19_yr_Volunteer_n,329.0
Brighton,M_15_19_yr_Volunteer_n,215.0
Broadmeadows,M_15_19_yr_Volunteer_n,92.0
Brunswick,M_15_19_yr_Volunteer_n,71.0
Bulleen,M_15_19_yr_Volunteer_n,150.0
Bundoora,M_15_19_yr_Volunteer_n,179.0
Carrum,M_15_19_yr_Volunteer_n,126.0
Caulfield,M_15_19_yr_Volunteer_n,278.0
Clarinda,M_15_19_yr_Volunteer_n,99.0
Cranbourne,M_15_19_yr_Volunteer_n,94.0
Croydon,M_15_19_yr_Volunteer_n,141.0
Dandenong,M_15_19_yr_Volunteer_n,96.0
Eildon,M_15_19_yr_Volunteer_n,163.0
Eltham,M_15_19_yr_Volunteer_n,204.0
Essendon,M_15_19_yr_Volunteer_n,127.0
Eureka,M_15_19_yr_Volunteer_n,211.0
Euroa,M_15_19_yr_Volunteer_n,133.0
Evelyn,M_15_19_yr_Volunteer_n,215.0
Footscray,M_15_19_yr_Volunteer_n,92.0
Frankston,M_15_19_yr_Volunteer_n,90.0
Geelong,M_15_19_yr_Volunteer_n,192.0
Gippsland East,M_15_19_yr_Volunteer_n,200.0
Gippsland South,M_15_19_yr_Volunteer_n,141.0
Glen Waverley,M_15_19_yr_Volunteer_n,285.0
Greenvale,M_15_19_yr_Volunteer_n,90.0
Hastings,M_15_19_yr_Volunteer_n,131.0
Hawthorn,M_15_19_yr_Volunteer_n,340.0
