district,census_variable,value,rank
Prahran,F_0_cond_0_14,2330.0,1.0
Richmond,F_0_cond_0_14,3008.0,2.0
Brunswick,F_0_cond_0_14,3250.0,3.0
Nepean,F_0_cond_0_14,3291.0,4.0
Albert Park,F_0_cond_0_14,3357.0,5.0
Melbourne,F_0_cond_0_14,3400.0,6.0
Malvern,F_0_cond_0_14,3907.0,7.0
Gippsland East,F_0_cond_0_14,3976.0,8.0
Euroa,F_0_cond_0_14,4050.0,9.0
Ovens Valley,F_0_cond_0_14,4168.0,10.0
Gippsland South,F_0_cond_0_14,4178.0,11.0
Bendigo West,F_0_cond_0_14,4249.0,12.0
Northcote,F_0_cond_0_14,4330.0,13.0
Eildon,F_0_cond_0_14,4421.0,14.0
Murray Plains,F_0_cond_0_14,4425.0,15.0
Hawthorn,F_0_cond_0_14,4512.0,16.0
Ripon,F_0_cond_0_14,4540.0,17.0
Brighton,F_0_cond_0_14,4568.0,18.0
Essendon,F_0_cond_0_14,4569.0,19.0
Lowan,F_0_cond_0_14,4572.0,20.0
Frankston,F_0_cond_0_14,4621.0,21.0
Footscray,F_0_cond_0_14,4625.0,22.0
Bass,F_0_cond_0_14,4653.0,23.0
Sunbury,F_0_cond_0_14,4653.0,24.0
Sandringham,F_0_cond_0_14,4695.0,25.0
Wendouree,F_0_cond_0_14,4705.0,26.0
Bundoora,F_0_cond_0_14,4724.0,27.0
Preston,F_0_cond_0_14,4746.0,28.0
South-West Coast,F_0_cond_0_14,4771.0,29.0
Bellarine,F_0_cond_0_14,4775.0,30.0
Morwell,F_0_cond_0_14,4793.0,31.0
Pascoe Vale,F_0_cond_0_14,4809.0,32.0
Mornington,F_0_cond_0_14,4836.0,33.0
Monbulk,F_0_cond_0_14,4853.0,34.0
Geelong,F_0_cond_0_14,4858.0,35.0
Hastings,F_0_cond_0_14,4869.0,36.0
Mildura,F_0_cond_0_14,4882.0,37.0
Lara,F_0_cond_0_14,4897.0,38.0
Macedon,F_0_cond_0_14,4927.0,39.0
Ivanhoe,F_0_cond_0_14,4947.0,40.0
Niddrie,F_0_cond_0_14,4958.0,41.0
St Albans,F_0_cond_0_14,4984.0,42.0
Bulleen,F_0_cond_0_14,5015.0,43.0
Benambra,F_0_cond_0_14,5025.0,44.0
Rowville,F_0_cond_0_14,5072.0,45.0
Mulgrave,F_0_cond_0_14,5123.0,46.0
Caulfield,F_0_cond_0_14,5149.0,47.0
Narracan,F_0_cond_0_14,5156.0,48.0
Polwarth,F_0_cond_0_14,5160.0,49.0
Bayswater,F_0_cond_0_14,5261.0,50.0
Clarinda,F_0_cond_0_14,5263.0,51.0
Kew,F_0_cond_0_14,5304.0,52.0
Oakleigh,F_0_cond_0_14,5316.0,53.0
Eltham,F_0_cond_0_14,5354.0,54.0
Williamstown,F_0_cond_0_14,5371.0,55.0
Shepparton,F_0_cond_0_14,5387.0,56.0
Mill Park,F_0_cond_0_14,5505.0,57.0
Evelyn,F_0_cond_0_14,5521.0,58.0
Box Hill,F_0_cond_0_14,5535.0,59.0
Bendigo East,F_0_cond_0_14,5543.0,60.0
Croydon,F_0_cond_0_14,5633.0,61.0
Warrandyte,F_0_cond_0_14,5654.0,62.0
Eureka,F_0_cond_0_14,5712.0,63.0
Glen Waverley,F_0_cond_0_14,5793.0,64.0
South Barwon,F_0_cond_0_14,5800.0,65.0
Mordialloc,F_0_cond_0_14,6075.0,66.0
Ashwood,F_0_cond_0_14,6078.0,67.0
Narre Warren North,F_0_cond_0_14,6099.0,68.0
Carrum,F_0_cond_0_14,6138.0,69.0
Bentleigh,F_0_cond_0_14,6208.0,70.0
Ringwood,F_0_cond_0_14,6257.0,71.0
Broadmeadows,F_0_cond_0_14,6391.0,72.0
Sydenham,F_0_cond_0_14,6648.0,73.0
Dandenong,F_0_cond_0_14,6700.0,74.0
Greenvale,F_0_cond_0_14,6813.0,75.0
Thomastown,F_0_cond_0_14,6979.0,76.0
Pakenham,F_0_cond_0_14,7517.0,77.0
Yan Yean,F_0_cond_0_14,7552.0,78.0
Werribee,F_0_cond_0_14,8013.0,79.0
Berwick,F_0_cond_0_14,8213.0,80.0
Kororoit,F_0_cond_0_14,8320.0,81.0
Melton,F_0_cond_0_14,8499.0,82.0
Laverton,F_0_cond_0_14,8605.0,83.0
Narre Warren South,F_0_cond_0_14,8673.0,84.0
Cranbourne,F_0_cond_0_14,9123.0,85.0
Point Cook,F_0_cond_0_14,9745.0,86.0
Tarneit,F_0_cond_0_14,9806.0,87.0
Kalkallo,F_0_cond_0_14,10722.0,88.0
Melbourne,F_0_cond_0_14_pc,0.0287,1.0
Prahran,F_0_cond_0_14_pc,0.0321,2.0
Richmond,F_0_cond_0_14_pc,0.0446,3.0
Albert Park,F_0_cond_0_14_pc,0.0454,4.0
Brunswick,F_0_cond_0_14_pc,0.0476,5.0
Nepean,F_0_cond_0_14_pc,0.053,6.0
Oakleigh,F_0_cond_0_14_pc,0.0591,7.0
Euroa,F_0_cond_0_14_pc,0.0608,8.0
Malvern,F_0_cond_0_14_pc,0.0609,9.0
Gippsland East,F_0_cond_0_14_pc,0.0622,10.0
Gippsland South,F_0_cond_0_14_pc,0.0635,11.0
Footscray,F_0_cond_0_14_pc,0.0637,12.0
Hawthorn,F_0_cond_0_14_pc,0.0638,13.0
Northcote,F_0_cond_0_14_pc,0.0642,14.0
Preston,F_0_cond_0_14_pc,0.0642,15.0
Essendon,F_0_cond_0_14_pc,0.0651,16.0
Box Hill,F_0_cond_0_14_pc,0.0653,17.0
Ripon,F_0_cond_0_14_pc,0.0657,18.0
Ovens Valley,F_0_cond_0_14_pc,0.0659,19.0
Mulgrave,F_0_cond_0_14_pc,0.0665,20.0
Morwell,F_0_cond_0_14_pc,0.0666,21.0
Eildon,F_0_cond_0_14_pc,0.0668,22.0
Lowan,F_0_cond_0_14_pc,0.0668,23.0
Bendigo West,F_0_cond_0_14_pc,0.0669,24.0
St Albans,F_0_cond_0_14_pc,0.0672,25.0
Bulleen,F_0_cond_0_14_pc,0.0673,26.0
Frankston,F_0_cond_0_14_pc,0.0676,27.0
Geelong,F_0_cond_0_14_pc,0.0676,28.0
Bundoora,F_0_cond_0_14_pc,0.0679,29.0
Murray Plains,F_0_cond_0_14_pc,0.0682,30.0
South-West Coast,F_0_cond_0_14_pc,0.0682,31.0
Bellarine,F_0_cond_0_14_pc,0.0687,32.0
Wendouree,F_0_cond_0_14_pc,0.0688,33.0
Brighton,F_0_cond_0_14_pc,0.0692,34.0
Lara,F_0_cond_0_14_pc,0.0695,35.0
Pascoe Vale,F_0_cond_0_14_pc,0.0697,36.0
Mildura,F_0_cond_0_14_pc,0.07,37.0
Glen Waverley,F_0_cond_0_14_pc,0.0702,38.0
Bass,F_0_cond_0_14_pc,0.0706,39.0
Rowville,F_0_cond_0_14_pc,0.0713,40.0
Clarinda,F_0_cond_0_14_pc,0.0715,41.0
Kew,F_0_cond_0_14_pc,0.0718,42.0
Niddrie,F_0_cond_0_14_pc,0.0718,43.0
Caulfield,F_0_cond_0_14_pc,0.072,44.0
Bayswater,F_0_cond_0_14_pc,0.0721,45.0
Shepparton,F_0_cond_0_14_pc,0.0723,46.0
Hastings,F_0_cond_0_14_pc,0.0731,47.0
Polwarth,F_0_cond_0_14_pc,0.0734,48.0
Monbulk,F_0_cond_0_14_pc,0.0736,49.0
Sunbury,F_0_cond_0_14_pc,0.0736,50.0
Mornington,F_0_cond_0_14_pc,0.0739,51.0
Sandringham,F_0_cond_0_14_pc,0.0745,52.0
Dandenong,F_0_cond_0_14_pc,0.0747,53.0
Ivanhoe,F_0_cond_0_14_pc,0.0747,54.0
Benambra,F_0_cond_0_14_pc,0.0752,55.0
Ashwood,F_0_cond_0_14_pc,0.0754,56.0
Croydon,F_0_cond_0_14_pc,0.0756,57.0
Narracan,F_0_cond_0_14_pc,0.0757,58.0
Eureka,F_0_cond_0_14_pc,0.0766,59.0
Macedon,F_0_cond_0_14_pc,0.0766,60.0
Warrandyte,F_0_cond_0_14_pc,0.0766,61.0
Bendigo East,F_0_cond_0_14_pc,0.0771,62.0
Narre Warren North,F_0_cond_0_14_pc,0.0773,63.0
Ringwood,F_0_cond_0_14_pc,0.078,64.0
