district,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot,P_Tot_Tot_total
Eureka,69.0,1965.0,86.0,2217.0,46.0,1867.0,75.0,2111.0,300.0,4123.0,262.0,4758.0,533.0,3897.0,190.0,4755.0,688.0,3741.0,235.0,4750.0,731.0,3492.0,166.0,4409.0,514.0,3104.0,174.0,3859.0,160.0,1412.0,119.0,1837.0,19.0,364.0,47.0,493.0,3395.0,23992.0,1815.0,29209.0,65.0,1852.0,119.0,2075.0,97.0,1748.0,72.0,2044.0,532.0,4052.0,243.0,4863.0,982.0,3828.0,211.0,5096.0,1193.0,3534.0,185.0,4958.0,1264.0,3356.0,180.0,4793.0,760.0,3075.0,143.0,4064.0,179.0,1579.0,112.0,2031.0,7.0,771.0,84.0,947.0,5250.0,23894.0,1805.0,30854.0,180.0,3784.0,264.0,4332.0,202.0,3593.0,236.0,4095.0,847.0,8204.0,579.0,9653.0,1584.0,7773.0,498.0,9782.0,1936.0,7340.0,519.0,9637.0,1915.0,6835.0,367.0,9216.0,1322.0,6190.0,444.0,7909.0,418.0,3101.0,311.0,3920.0,42.0,1163.0,156.0,1455.0,8566.0,47886.0,3598.0,60071.0,60071.0
Euroa,42.0,1614.0,165.0,1916.0,39.0,1524.0,97.0,1750.0,239.0,2728.0,367.0,3450.0,310.0,2595.0,316.0,3345.0,545.0,3237.0,408.0,4293.0,712.0,3927.0,458.0,5090.0,599.0,3878.0,386.0,4958.0,193.0,2109.0,219.0,2665.0,15.0,557.0,43.0,713.0,3062.0,22182.0,2795.0,28049.0,92.0,1339.0,141.0,1638.0,95.0,1176.0,96.0,1383.0,327.0,2710.0,244.0,3394.0,649.0,2562.0,260.0,3580.0,1011.0,3010.0,323.0,4409.0,1216.0,3601.0,379.0,5260.0,819.0,3494.0,311.0,4667.0,261.0,2016.0,251.0,2617.0,19.0,884.0,107.0,1155.0,4799.0,20892.0,2477.0,28113.0,187.0,2913.0,438.0,3534.0,167.0,2684.0,223.0,3160.0,654.0,5516.0,671.0,6838.0,988.0,5181.0,660.0,6852.0,1637.0,6258.0,758.0,8587.0,1953.0,7479.0,855.0,10328.0,1420.0,7386.0,768.0,9607.0,538.0,4116.0,557.0,5310.0,59.0,1547.0,225.0,1928.0,7814.0,43075.0,5270.0,56152.0,56152.0
Evelyn,72.0,2007.0,52.0,2205.0,61.0,1853.0,28.0,2071.0,289.0,4041.0,146.0,4563.0,504.0,3836.0,137.0,4594.0,608.0,3533.0,129.0,4416.0,737.0,3153.0,89.0,4044.0,440.0,2545.0,56.0,3128.0,178.0,1462.0,57.0,1772.0,4.0,311.0,25.0,423.0,3204.0,22940.0,1074.0,27149.0,49.0,1950.0,37.0,2097.0,123.0,1761.0,51.0,1999.0,456.0,3882.0,100.0,4571.0,778.0,3667.0,71.0,4680.0,1200.0,3412.0,68.0,4758.0,1193.0,2900.0,81.0,4271.0,661.0,2729.0,50.0,3507.0,212.0,1601.0,43.0,1923.0,14.0,608.0,25.0,654.0,5025.0,22501.0,908.0,28429.0,130.0,3905.0,116.0,4301.0,257.0,3571.0,101.0,4009.0,851.0,7951.0,325.0,9085.0,1367.0,7624.0,257.0,9284.0,1784.0,6954.0,305.0,9066.0,1991.0,6135.0,248.0,8390.0,1158.0,5291.0,146.0,6613.0,440.0,3022.0,162.0,3681.0,44.0,996.0,56.0,1138.0,8244.0,45423.0,2027.0,55674.0,55674.0
Footscray,27.0,1271.0,34.0,1381.0,76.0,2075.0,123.0,2355.0,390.0,7253.0,615.0,8253.0,579.0,5750.0,374.0,6763.0,635.0,3714.0,229.0,4750.0,545.0,2728.0,166.0,3358.0,224.0,1722.0,109.0,2092.0,94.0,809.0,62.0,1046.0,12.0,288.0,22.0,391.0,2876.0,25597.0,2033.0,30516.0,33.0,1209.0,39.0,1333.0,87.0,2050.0,111.0,2350.0,629.0,7080.0,462.0,8222.0,831.0,5378.0,256.0,6563.0,1016.0,3521.0,157.0,4722.0,805.0,2576.0,107.0,3526.0,339.0,1726.0,72.0,2173.0,73.0,1005.0,92.0,1273.0,3.0,568.0,123.0,710.0,3997.0,25094.0,1732.0,30888.0,99.0,2480.0,113.0,2801.0,216.0,4149.0,259.0,4721.0,1031.0,14286.0,1113.0,16493.0,1426.0,11076.0,686.0,13250.0,1643.0,7321.0,461.0,9430.0,1391.0,5204.0,323.0,6938.0,625.0,3446.0,223.0,4349.0,209.0,1869.0,172.0,2289.0,38.0,934.0,166.0,1186.0,6809.0,50755.0,3797.0,61378.0,61378.0
Frankston,26.0,1726.0,116.0,1951.0,86.0,1664.0,87.0,1831.0,290.0,3928.0,365.0,4647.0,474.0,3612.0,250.0,4437.0,575.0,3490.0,327.0,4512.0,728.0,3053.0,246.0,4024.0,420.0,2598.0,127.0,3207.0,130.0,1579.0,143.0,1980.0,34.0,509.0,82.0,700.0,3018.0,22156.0,2194.0,27310.0,59.0,1494.0,86.0,1777.0,108.0,1582.0,85.0,1870.0,521.0,3858.0,319.0,4835.0,867.0,3583.0,271.0,4763.0,1035.0,3296.0,281.0,4657.0,1033.0,2998.0,189.0,4266.0,627.0,2811.0,144.0,3651.0,218.0,1910.0,190.0,2426.0,26.0,923.0,243.0,1240.0,4742.0,22475.0,2185.0,29365.0,138.0,3223.0,245.0,3670.0,207.0,3189.0,243.0,3746.0,837.0,7799.0,756.0,9449.0,1389.0,7184.0,631.0,9208.0,1721.0,6769.0,659.0,9101.0,1745.0,6070.0,489.0,8332.0,1058.0,5371.0,387.0,6920.0,413.0,3470.0,382.0,4367.0,94.0,1461.0,357.0,2006.0,7719.0,44586.0,4337.0,56692.0,56692.0
Geelong,46.0,1741.0,69.0,1938.0,63.0,2075.0,104.0,2356.0,243.0,4721.0,271.0,5349.0,459.0,3760.0,255.0,4429.0,669.0,3431.0,217.0,4435.0,714.0,3157.0,163.0,4069.0,431.0,2784.0,132.0,3441.0,180.0,1450.0,92.0,1844.0,39.0,422.0,66.0,609.0,3181.0,23594.0,1757.0,28489.0,66.0,1683.0,25.0,1866.0,99.0,2037.0,77.0,2306.0,452.0,4708.0,260.0,5461.0,762.0,3773.0,183.0,4838.0,1202.0,3321.0,135.0,4697.0,1319.0,3125.0,142.0,4544.0,735.0,2979.0,136.0,3891.0,231.0,1888.0,188.0,2398.0,6.0,861.0,161.0,1117.0,5023.0,24377.0,1745.0,31180.0,159.0,3413.0,140.0,3777.0,235.0,4137.0,229.0,4618.0,783.0,9459.0,563.0,10800.0,1234.0,7521.0,500.0,9315.0,1873.0,6743.0,375.0,9062.0,1978.0,6236.0,360.0,8664.0,1209.0,5818.0,366.0,7428.0,491.0,3323.0,335.0,4240.0,75.0,1342.0,298.0,1799.0,8250.0,47999.0,3447.0,59719.0,59719.0
Gippsland East,55.0,1375.0,156.0,1668.0,56.0,1136.0,76.0,1339.0,187.0,2410.0,224.0,2887.0,315.0,2295.0,208.0,2898.0,540.0,2607.0,285.0,3441.0,722.0,3671.0,310.0,4826.0,610.0,4465.0,362.0,5565.0,250.0,2354.0,229.0,2933.0,37.0,549.0,78.0,758.0,3129.0,20944.0,2321.0,26367.0,89.0,1178.0,124.0,1532.0,82.0,992.0,65.0,1215.0,353.0,2528.0,223.0,3186.0,591.0,2398.0,234.0,3214.0,914.0,2676.0,251.0,3887.0,1257.0,3546.0,308.0,5198.0,844.0,4044.0,409.0,5295.0,305.0,2318.0,232.0,2963.0,36.0,746.0,152.0,1007.0,4636.0,20478.0,2350.0,27447.0,197.0,2600.0,345.0,3190.0,145.0,2077.0,188.0,2523.0,600.0,4916.0,499.0,6102.0,908.0,4676.0,510.0,6146.0,1402.0,5277.0,589.0,7341.0,2023.0,7293.0,722.0,9995.0,1506.0,8536.0,799.0,10860.0,650.0,4648.0,571.0,5857.0,111.0,1374.0,255.0,1791.0,7814.0,41405.0,4669.0,53831.0,53831.0
Gippsland South,59.0,1551.0,113.0,1848.0,27.0,1294.0,108.0,1522.0,173.0,2619.0,549.0,3435.0,392.0,2625.0,509.0,3600.0,553.0,3043.0,308.0,4037.0,785.0,3766.0,385.0,4897.0,615.0,3933.0,301.0,4927.0,247.0,1876.0,195.0,2345.0,13.0,471.0,58.0,637.0,3165.0,21217.0,2899.0,27267.0,69.0,1475.0,116.0,1775.0,47.0,1059.0,53.0,1272.0,379.0,2583.0,180.0,3248.0,626.0,2652.0,266.0,3543.0,992.0,3025.0,237.0,4356.0,1357.0,3616.0,259.0,5264.0,869.0,3635.0,290.0,4844.0,292.0,1854.0,198.0,2423.0,13.0,753.0,83.0,942.0,4727.0,20745.0,2097.0,27628.0,181.0,2999.0,292.0,3559.0,164.0,2372.0,248.0,2831.0,587.0,5180.0,785.0,6638.0,1013.0,5311.0,820.0,7206.0,1576.0,6170.0,599.0,8309.0,2116.0,7383.0,654.0,10184.0,1444.0,7535.0,695.0,9711.0,567.0,3690.0,479.0,4768.0,49.0,1268.0,186.0,1598.0,7974.0,41957.0,4972.0,54865.0,54865.0
Glen Waverley,48.0,2536.0,58.0,2765.0,80.0,2741.0,122.0,2970.0,195.0,3988.0,184.0,4535.0,487.0,4390.0,169.0,5074.0,720.0,4331.0,125.0,5294.0,786.0,3772.0,54.0,4664.0,531.0,3184.0,69.0,3951.0,350.0,2417.0,106.0,2929.0,86.0,856.0,94.0,1138.0,3499.0,28207.0,1431.0,33271.0,53.0,2348.0,36.0,2536.0,107.0,2166.0,37.0,2425.0,233.0,3663.0,138.0,4223.0,666.0,4859.0,152.0,5808.0,1115.0,4555.0,110.0,5889.0,1109.0,3698.0,93.0,5000.0,749.0,3694.0,119.0,4657.0,363.0,2797.0,166.0,3463.0,33.0,1316.0,230.0,1635.0,4882.0,29141.0,1607.0,35632.0,135.0,4942.0,124.0,5325.0,250.0,4871.0,194.0,5397.0,515.0,7723.0,427.0,8733.0,1267.0,9159.0,413.0,10880.0,1859.0,8913.0,308.0,11180.0,1951.0,7512.0,220.0,9605.0,1391.0,6794.0,297.0,8541.0,768.0,5180.0,310.0,6340.0,163.0,2130.0,371.0,2802.0,8505.0,57282.0,3052.0,68921.0,68921.0
Greenvale,49.0,2614.0,98.0,2927.0,112.0,2650.0,139.0,3003.0,439.0,4618.0,403.0,5511.0,543.0,4065.0,331.0,4961.0,629.0,3886.0,277.0,4833.0,623.0,3751.0,176.0,4660.0,236.0,2148.0,76.0,2485.0,67.0,883.0,20.0,1075.0,0.0,126.0,7.0,174.0,3056.0,24731.0,1864.0,29671.0,129.0,2438.0,118.0,2852.0,249.0,2501.0,137.0,2953.0,689.0,4444.0,333.0,5532.0,948.0,4000.0,335.0,5356.0,1246.0,3898.0,258.0,5429.0,1024.0,3265.0,176.0,4539.0,369.0,2115.0,88.0,2614.0,67.0,898.0,34.0,1080.0,0.0,231.0,3.0,258.0,4934.0,23923.0,1814.0,30656.0,269.0,5058.0,314.0,5636.0,432.0,5139.0,351.0,5970.0,1092.0,9095.0,771.0,10995.0,1494.0,8048.0,735.0,10277.0,1886.0,7729.0,590.0,10286.0,1654.0,7030.0,410.0,9108.0,659.0,4213.0,205.0,5120.0,196.0,1836.0,86.0,2201.0,8.0,437.0,9.0,518.0,8012.0,48662.0,3689.0,60324.0,60324.0
Hastings,30.0,2026.0,45.0,2218.0,34.0,1920.0,58.0,2093.0,257.0,3580.0,154.0,4083.0,408.0,3312.0,197.0,4016.0,559.0,3224.0,171.0,4039.0,637.0,3245.0,148.0,4114.0,490.0,2732.0,113.0,3421.0,189.0,1474.0,97.0,1848.0,23.0,390.0,41.0,506.0,2947.0,21937.0,1391.0,26358.0,67.0,1708.0,75.0,1958.0,78.0,1480.0,26.0,1709.0,456.0,3561.0,160.0,4242.0,781.0,3299.0,167.0,4302.0,1115.0,3212.0,135.0,4585.0,1259.0,3193.0,132.0,4609.0,674.0,2892.0,153.0,3781.0,183.0,1705.0,176.0,2096.0,18.0,583.0,67.0,733.0,4904.0,21677.0,1455.0,28006.0,157.0,3676.0,170.0,4128.0,162.0,3428.0,137.0,3799.0,735.0,7126.0,363.0,8240.0,1280.0,6624.0,432.0,8325.0,1736.0,6441.0,392.0,8612.0,1934.0,6421.0,344.0,8710.0,1194.0,5600.0,362.0,7218.0,439.0,3190.0,294.0,3991.0,51.0,1024.0,118.0,1285.0,7845.0,43542.0,2827.0,54234.0,54234.0
Hawthorn,54.0,2059.0,45.0,2300.0,95.0,2559.0,64.0,2782.0,227.0,4909.0,179.0,5567.0,350.0,3727.0,121.0,4321.0,632.0,3458.0,110.0,4323.0,801.0,2851.0,65.0,3764.0,451.0,2414.0,66.0,2969.0,156.0,1473.0,25.0,1771.0,24.0,563.0,37.0,706.0,3186.0,24077.0,1174.0,28406.0,63.0,2117.0,46.0,2306.0,140.0,2592.0,69.0,2900.0,370.0,5211.0,197.0,5847.0,582.0,3985.0,130.0,4759.0,1307.0,3595.0,85.0,4953.0,1254.0,2838.0,79.0,4170.0,757.0,2670.0,84.0,3550.0,227.0,1854.0,69.0,2232.0,50.0,1059.0,81.0,1270.0,4863.0,25873.0,1275.0,31985.0,155.0,4220.0,129.0,4583.0,293.0,5155.0,161.0,5708.0,641.0,10092.0,457.0,11248.0,1038.0,7678.0,344.0,9035.0,1955.0,7012.0,240.0,9283.0,2018.0,5658.0,177.0,7960.0,1186.0,5048.0,195.0,6497.0,467.0,3264.0,150.0,4053.0,109.0,1652.0,147.0,2013.0,8071.0,49897.0,2380.0,60451.0,60451.0
Ivanhoe,37.0,1730.0,40.0,1862.0,50.0,1776.0,80.0,1975.0,255.0,4062.0,201.0,4525.0,477.0,3936.0,179.0,4661.0,677.0,3309.0,108.0,4215.0,749.0,2826.0,84.0,3772.0,465.0,2305.0,81.0,2887.0,164.0,1381.0,31.0,1683.0,43.0,572.0,40.0,740.0,3155.0,21896.0,1204.0,26340.0,46.0,1565.0,27.0,1729.0,95.0,1714.0,38.0,1996.0,373.0,4075.0,181.0,4722.0,711.0,4017.0,149.0,4858.0,1098.0,3310.0,117.0,4496.0,1215.0,2759.0,83.0,4102.0,675.0,2427.0,109.0,3234.0,263.0,1723.0,65.0,2079.0,21.0,1089.0,59.0,1257.0,4715.0,22635.0,1147.0,28453.0,155.0,3308.0,79.0,3633.0,214.0,3511.0,163.0,3945.0,692.0,8129.0,391.0,9252.0,1154.0,7918.0,376.0,9482.0,1836.0,6631.0,279.0,8768.0,1947.0,5662.0,244.0,7909.0,1144.0,4651.0,232.0,6097.0,473.0,3062.0,134.0,3685.0,93.0,1705.0,118.0,1991.0,7914.0,44534.0,2350.0,54830.0,54830.0
Kalkallo,72.0,2400.0,120.0,2797.0,77.0,2725.0,219.0,3151.0,525.0,7410.0,589.0,8661.0,856.0,7690.0,513.0,9087.0,537.0,3935.0,202.0,4878.0,393.0,2879.0,120.0,3486.0,171.0,1665.0,62.0,1956.0,41.0,486.0,44.0,650.0,0.0,56.0,15.0,106.0,3091.0,29424.0,2315.0,34754.0,100.0,2312.0,86.0,2657.0,182.0,2547.0,117.0,2820.0,1053.0,8061.0,624.0,9708.0,1254.0,6712.0,468.0,8565.0,920.0,3591.0,196.0,4808.0,708.0,2699.0,136.0,3627.0,224.0,1686.0,48.0,2051.0,24.0,551.0,50.0,744.0,0.0,127.0,41.0,181.0,4779.0,28250.0,2096.0,35111.0,215.0,4711.0,315.0,5350.0,308.0,5188.0,357.0,5972.0,1709.0,15535.0,1189.0,18391.0,2183.0,14348.0,1023.0,17627.0,1505.0,7530.0,504.0,9591.0,1175.0,5497.0,327.0,7055.0,527.0,3331.0,141.0,4036.0,92.0,1110.0,97.0,1419.0,6.0,228.0,67.0,328.0,7889.0,57678.0,4431.0,69989.0,69989.0
Kew,87.0,2704.0,61.0,2935.0,128.0,2385.0,46.0,2676.0,183.0,3450.0,115.0,3889.0,362.0,3331.0,97.0,3785.0,869.0,3960.0,129.0,4988.0,936.0,3519.0,76.0,4682.0,542.0,2745.0,46.0,3422.0,201.0,1691.0,61.0,2024.0,59.0,685.0,30.0,898.0,3797.0,24470.0,1049.0,29330.0,124.0,2537.0,43.0,2715.0,144.0,2165.0,34.0,2460.0,255.0,3328.0,102.0,3851.0,627.0,3849.0,90.0,4649.0,1437.0,4240.0,109.0,5877.0,1551.0,3360.0,68.0,5032.0,874.0,2910.0,77.0,3898.0,308.0,2014.0,122.0,2570.0,22.0,1325.0,112.0,1567.0,5538.0,25824.0,1163.0,32561.0,206.0,5243.0,142.0,5684.0,320.0,4528.0,117.0,5062.0,547.0,6796.0,289.0,7682.0,1017.0,7158.0,237.0,8446.0,2271.0,8202.0,302.0,10878.0,2524.0,6901.0,245.0,9684.0,1397.0,5616.0,220.0,7235.0,581.0,3717.0,202.0,4611.0,117.0,1994.0,164.0,2443.0,9307.0,50252.0,2253.0,61823.0,61823.0
Kororoit,39.0,2456.0,148.0,2763.0,44.0,2337.0,415.0,2948.0,334.0,5337.0,1239.0,7044.0,715.0,6066.0,968.0,7771.0,600.0,4385.0,451.0,5514.0,414.0,3049.0,237.0,3841.0,216.0,2314.0,147.0,2776.0,98.0,952.0,73.0,1240.0,6.0,171.0,27.0,222.0,2887.0,27184.0,4145.0,34254.0,55.0,2338.0,87.0,2619.0,165.0,2015.0,150.0,2457.0,624.0,5375.0,630.0,6732.0,1100.0,5800.0,479.0,7456.0,1034.0,4114.0,265.0,5474.0,741.0,2879.0,153.0,3876.0,455.0,2436.0,104.0,3085.0,94.0,1005.0,50.0,1267.0,3.0,234.0,31.0,302.0,4523.0,26333.0,2453.0,33258.0,150.0,4779.0,352.0,5381.0,236.0,4423.0,631.0,5518.0,1117.0,10724.0,1853.0,13707.0,1796.0,11856.0,1515.0,15298.0,1687.0,8443.0,890.0,11095.0,1157.0,6017.0,491.0,7681.0,763.0,4763.0,269.0,5938.0,213.0,2013.0,208.0,2490.0,12.0,450.0,82.0,583.0,7395.0,53523.0,6595.0,67602.0,67602.0
Lara,48.0,1984.0,119.0,2193.0,72.0,1943.0,199.0,2342.0,317.0,4422.0,782.0,5594.0,427.0,3371.0,570.0,4440.0,599.0,3376.0,403.0,4437.0,620.0,3092.0,269.0,4048.0,384.0,2649.0,148.0,3212.0,130.0,1367.0,110.0,1746.0,12.0,507.0,47.0,635.0,3041.0,22666.0,3006.0,28796.0,82.0,1795.0,90.0,2080.0,113.0,1846.0,86.0,2157.0,602.0,4207.0,320.0,5187.0,842.0,3299.0,237.0,4461.0,1048.0,3236.0,234.0,4516.0,1033.0,2911.0,125.0,4146.0,625.0,2772.0,168.0,3670.0,190.0,1693.0,161.0,2107.0,8.0,779.0,62.0,953.0,4702.0,22635.0,1946.0,29232.0,167.0,3726.0,300.0,4298.0,282.0,3815.0,322.0,4494.0,998.0,8670.0,1141.0,10753.0,1336.0,6656.0,890.0,8896.0,1669.0,6587.0,682.0,8914.0,1668.0,6032.0,438.0,8142.0,1015.0,5457.0,429.0,6936.0,373.0,3113.0,289.0,3926.0,32.0,1379.0,115.0,1635.0,7742.0,45333.0,4969.0,58036.0,58036.0
Laverton,46.0,1828.0,149.0,2183.0,67.0,3015.0,496.0,3677.0,504.0,8509.0,1433.0,10439.0,774.0,7725.0,971.0,9569.0,489.0,3924.0,408.0,4889.0,362.0,2756.0,240.0,3474.0,197.0,1972.0,154.0,2416.0,92.0,974.0,73.0,1214.0,22.0,282.0,13.0,352.0,2959.0,31060.0,4324.0,38307.0,62.0,1866.0,133.0,2143.0,118.0,2351.0,202.0,2753.0,788.0,7709.0,734.0,9291.0,1065.0,6564.0,545.0,8178.0,794.0,3347.0,238.0,4493.0,557.0,2735.0,127.0,3568.0,359.0,2125.0,103.0,2782.0,97.0,1198.0,98.0,1440.0,14.0,514.0,45.0,626.0,4026.0,28381.0,2753.0,35212.0,137.0,3677.0,364.0,4305.0,238.0,5330.0,798.0,6469.0,1330.0,16207.0,2235.0,19722.0,1816.0,14282.0,1634.0,17777.0,1297.0,7267.0,715.0,9426.0,963.0,5494.0,517.0,7023.0,588.0,4112.0,350.0,5183.0,216.0,2185.0,200.0,2663.0,53.0,840.0,73.0,1020.0,6967.0,59404.0,7088.0,73503.0,73503.0
Lowan,68.0,1677.0,121.0,1951.0,39.0,1449.0,50.0,1692.0,204.0,3128.0,236.0,3727.0,327.0,2803.0,184.0,3390.0,548.0,3117.0,202.0,3966.0,904.0,3952.0,260.0,5166.0,586.0,3755.0,326.0,4704.0,229.0,2020.0,207.0,2584.0,41.0,615.0,74.0,833.0,3310.0,22523.0,2229.0,27986.0,74.0,1438.0,95.0,1729.0,61.0,1285.0,76.0,1510.0,353.0,3043.0,142.0,3669.0,624.0,2711.0,179.0,3586.0,999.0,3069.0,219.0,4280.0,1347.0,3524.0,196.0,5201.0,793.0,3483.0,304.0,4647.0,274.0,2280.0,266.0,2928.0,7.0,1127.0,224.0,1405.0,4777.0,21946.0,2163.0,28951.0,183.0,3095.0,322.0,3636.0,133.0,2729.0,170.0,3234.0,719.0,6185.0,430.0,7332.0,1029.0,5445.0,428.0,6887.0,1533.0,6169.0,468.0,8238.0,2170.0,7449.0,623.0,10320.0,1398.0,7209.0,693.0,9261.0,513.0,4306.0,598.0,5448.0,87.0,1858.0,305.0,2348.0,8060.0,44486.0,4455.0,56944.0,56944.0
Macedon,83.0,1740.0,124.0,2028.0,50.0,1141.0,58.0,1337.0,143.0,2265.0,128.0,2634.0,373.0,3165.0,197.0,3772.0,624.0,3838.0,241.0,4715.0,639.0,3614.0,289.0,4638.0,492.0,3246.0,215.0,4029.0,157.0,1643.0,146.0,2053.0,10.0,340.0,48.0,464.0,2909.0,21032.0,1668.0,25644.0,70.0,1594.0,91.0,1815.0,58.0,949.0,56.0,1153.0,297.0,2271.0,143.0,2756.0,725.0,3334.0,193.0,4261.0,1125.0,3735.0,251.0,5110.0,1218.0,3302.0,224.0,4784.0,740.0,3155.0,217.0,4170.0,208.0,1508.0,151.0,1926.0,0.0,523.0,95.0,692.0,4602.0,20451.0,1758.0,26749.0,187.0,3325.0,237.0,3815.0,178.0,2063.0,150.0,2503.0,483.0,4619.0,284.0,5437.0,1137.0,6476.0,403.0,8100.0,1781.0,7513.0,496.0,9900.0,1954.0,6925.0,569.0,9423.0,1253.0,6322.0,465.0,8156.0,409.0,3162.0,318.0,3943.0,26.0,920.0,164.0,1121.0,7560.0,41422.0,3391.0,52421.0,52421.0
Malvern,29.0,1650.0,35.0,1754.0,89.0,2002.0,58.0,2218.0,254.0,4270.0,218.0,4839.0,324.0,3344.0,105.0,3868.0,656.0,3076.0,99.0,4000.0,672.0,2547.0,83.0,3386.0,405.0,2354.0,89.0,2891.0,179.0,1660.0,86.0,2039.0,27.0,588.0,67.0,764.0,2960.0,21530.0,1216.0,25685.0,36.0,1736.0,33.0,1868.0,124.0,2131.0,59.0,2411.0,322.0,4547.0,168.0,5105.0,492.0,3538.0,106.0,4221.0,1157.0,3249.0,95.0,4565.0,1159.0,2676.0,83.0,3975.0,690.0,2724.0,62.0,3552.0,317.0,1980.0,111.0,2432.0,21.0,1065.0,128.0,1301.0,4606.0,23516.0,1291.0,29428.0,118.0,3323.0,91.0,3561.0,246.0,4140.0,149.0,4646.0,645.0,8813.0,448.0,9943.0,884.0,6899.0,335.0,8093.0,1844.0,6367.0,270.0,8517.0,1824.0,5245.0,246.0,7341.0,1106.0,5148.0,218.0,6513.0,569.0,3649.0,265.0,4466.0,95.0,1589.0,239.0,2040.0,7521.0,45028.0,2517.0,55060.0,55060.0
