district,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot,Tot_Tot_total
Kalkallo,172.0,122.0,395.0,26.0,0.0,51.0,54.0,30.0,96.0,80.0,128.0,248.0,280.0,350.0,721.0,430.0,200.0,724.0,1026.0,177.0,1239.0,1154.0,377.0,1561.0,1610.0,488.0,2148.0,1939.0,293.0,2393.0,1681.0,334.0,2086.0,1754.0,152.0,2007.0,3916.0,332.0,4337.0,2764.0,36.0,2809.0,1891.0,37.0,1948.0,1124.0,0.0,1126.0,2069.0,40.0,2130.0,1241.0,20.0,1307.0,220.0,56.0,308.0,23848.0,4228.0,28102.0,28102.0
Kew,353.0,257.0,705.0,100.0,58.0,173.0,89.0,186.0,317.0,63.0,220.0,354.0,206.0,580.0,823.0,162.0,470.0,740.0,544.0,395.0,956.0,516.0,496.0,1066.0,745.0,565.0,1356.0,902.0,479.0,1466.0,711.0,457.0,1204.0,803.0,327.0,1182.0,1842.0,703.0,2633.0,1422.0,55.0,1508.0,1444.0,172.0,1685.0,1076.0,17.0,1146.0,6701.0,470.0,7284.0,1229.0,92.0,1378.0,89.0,104.0,251.0,19652.0,6860.0,26541.0,26541.0
Kororoit,282.0,178.0,537.0,49.0,28.0,84.0,86.0,112.0,233.0,108.0,286.0,426.0,295.0,668.0,1046.0,427.0,259.0,737.0,1176.0,239.0,1436.0,1079.0,357.0,1416.0,1252.0,388.0,1697.0,1533.0,253.0,1860.0,1362.0,254.0,1648.0,1449.0,139.0,1600.0,3005.0,289.0,3316.0,2227.0,24.0,2277.0,1706.0,17.0,1782.0,1124.0,9.0,1154.0,2356.0,35.0,2465.0,1135.0,34.0,1231.0,192.0,120.0,372.0,21175.0,4625.0,25780.0,25780.0
Lara,120.0,213.0,405.0,19.0,25.0,78.0,34.0,243.0,365.0,69.0,578.0,657.0,339.0,1622.0,1997.0,406.0,953.0,1384.0,1315.0,521.0,1880.0,1150.0,701.0,1801.0,1307.0,715.0,2107.0,1450.0,536.0,1975.0,1146.0,345.0,1577.0,1007.0,316.0,1319.0,2363.0,445.0,2922.0,1606.0,35.0,1681.0,1221.0,48.0,1339.0,771.0,7.0,813.0,1599.0,57.0,1712.0,1009.0,77.0,1138.0,218.0,329.0,693.0,17680.0,8394.0,26160.0,26160.0
Laverton,262.0,244.0,621.0,41.0,24.0,107.0,84.0,214.0,334.0,121.0,450.0,662.0,348.0,928.0,1328.0,443.0,485.0,948.0,1094.0,355.0,1491.0,1113.0,637.0,1767.0,1306.0,569.0,1881.0,1772.0,554.0,2339.0,1499.0,416.0,1965.0,1453.0,291.0,1798.0,3055.0,548.0,3664.0,2342.0,115.0,2513.0,1857.0,133.0,2057.0,1181.0,62.0,1268.0,2514.0,222.0,2816.0,1158.0,185.0,1406.0,233.0,193.0,497.0,22303.0,7442.0,29743.0,29743.0
Lowan,104.0,230.0,403.0,32.0,94.0,189.0,28.0,273.0,406.0,42.0,663.0,817.0,349.0,2083.0,2485.0,406.0,1161.0,1555.0,1475.0,736.0,2269.0,1273.0,920.0,2209.0,1411.0,892.0,2337.0,1712.0,568.0,2271.0,1102.0,435.0,1611.0,1140.0,181.0,1530.0,2378.0,292.0,2788.0,1565.0,16.0,1609.0,1004.0,17.0,1112.0,579.0,0.0,585.0,1272.0,126.0,1418.0,1141.0,49.0,1217.0,290.0,485.0,855.0,17905.0,10009.0,27932.0,27932.0
Macedon,133.0,163.0,366.0,41.0,41.0,121.0,36.0,157.0,251.0,45.0,264.0,333.0,191.0,985.0,1252.0,236.0,571.0,788.0,819.0,399.0,1263.0,763.0,425.0,1255.0,1054.0,477.0,1558.0,1221.0,320.0,1562.0,910.0,319.0,1276.0,1027.0,175.0,1217.0,2077.0,462.0,2472.0,1641.0,6.0,1682.0,1557.0,41.0,1650.0,1065.0,0.0,1072.0,3233.0,151.0,3384.0,1153.0,18.0,1216.0,144.0,161.0,348.0,17650.0,5675.0,23340.0,23340.0
Malvern,139.0,373.0,565.0,18.0,70.0,154.0,20.0,160.0,202.0,24.0,291.0,383.0,104.0,700.0,866.0,88.0,601.0,747.0,335.0,474.0,839.0,350.0,563.0,1072.0,485.0,801.0,1309.0,602.0,788.0,1467.0,506.0,803.0,1281.0,623.0,683.0,1343.0,1443.0,1250.0,2696.0,1223.0,114.0,1415.0,1223.0,357.0,1629.0,870.0,44.0,950.0,6876.0,905.0,7775.0,911.0,126.0,1099.0,109.0,220.0,386.0,16369.0,9929.0,26293.0,26293.0
Melbourne,598.0,2788.0,3432.0,110.0,418.0,575.0,162.0,942.0,1210.0,142.0,1442.0,1567.0,276.0,1546.0,1915.0,370.0,1715.0,2178.0,665.0,1682.0,2450.0,816.0,2184.0,3047.0,1190.0,2998.0,4232.0,1468.0,2717.0,4248.0,1197.0,2383.0,3532.0,1319.0,1988.0,3296.0,2919.0,3759.0,6656.0,2121.0,590.0,2751.0,1858.0,1012.0,2857.0,1295.0,200.0,1554.0,4867.0,1620.0,6485.0,877.0,877.0,1836.0,69.0,328.0,453.0,23045.0,31696.0,54747.0,54747.0
Melton,197.0,232.0,478.0,40.0,12.0,88.0,42.0,124.0,212.0,75.0,328.0,470.0,274.0,867.0,1259.0,488.0,534.0,1060.0,1299.0,348.0,1685.0,1242.0,603.0,1882.0,1519.0,679.0,2145.0,1858.0,500.0,2381.0,1470.0,332.0,1882.0,1514.0,211.0,1798.0,3055.0,268.0,3438.0,2155.0,19.0,2194.0,1343.0,25.0,1412.0,734.0,0.0,743.0,1481.0,7.0,1521.0,1128.0,19.0,1210.0,218.0,170.0,437.0,20616.0,6045.0,26659.0,26659.0
Mildura,143.0,227.0,447.0,16.0,56.0,104.0,23.0,239.0,349.0,67.0,602.0,745.0,383.0,1667.0,2056.0,347.0,891.0,1340.0,1401.0,559.0,2034.0,1205.0,779.0,2015.0,1408.0,758.0,2222.0,1548.0,453.0,2046.0,1089.0,358.0,1469.0,1200.0,255.0,1501.0,2292.0,308.0,2671.0,1569.0,22.0,1630.0,1033.0,28.0,1120.0,568.0,13.0,610.0,1167.0,40.0,1348.0,1224.0,47.0,1299.0,349.0,526.0,926.0,17436.0,8577.0,25968.0,25968.0
Mill Park,185.0,142.0,424.0,42.0,22.0,80.0,27.0,52.0,133.0,56.0,225.0,359.0,172.0,613.0,895.0,289.0,317.0,673.0,1011.0,208.0,1279.0,858.0,395.0,1241.0,1107.0,392.0,1579.0,1379.0,392.0,1836.0,1172.0,266.0,1471.0,1276.0,164.0,1443.0,2642.0,263.0,2916.0,2098.0,13.0,2159.0,1576.0,36.0,1653.0,1023.0,0.0,1053.0,1907.0,19.0,1960.0,930.0,22.0,979.0,164.0,104.0,328.0,18183.0,4503.0,22722.0,22722.0
Monbulk,100.0,110.0,272.0,28.0,17.0,88.0,6.0,68.0,134.0,15.0,244.0,320.0,111.0,853.0,1044.0,174.0,455.0,699.0,686.0,305.0,1058.0,692.0,454.0,1235.0,994.0,556.0,1543.0,1248.0,303.0,1600.0,944.0,294.0,1254.0,958.0,167.0,1257.0,2402.0,294.0,2797.0,2192.0,10.0,2221.0,1769.0,53.0,1874.0,1232.0,5.0,1244.0,2947.0,55.0,3100.0,1037.0,20.0,1081.0,113.0,86.0,272.0,18096.0,5214.0,23309.0,23309.0
Mordialloc,131.0,213.0,401.0,21.0,28.0,90.0,38.0,162.0,212.0,32.0,326.0,407.0,145.0,950.0,1172.0,188.0,570.0,788.0,678.0,466.0,1138.0,683.0,552.0,1227.0,959.0,584.0,1489.0,1113.0,447.0,1553.0,883.0,429.0,1345.0,991.0,344.0,1353.0,2324.0,551.0,2888.0,2171.0,26.0,2223.0,1944.0,116.0,2081.0,1417.0,0.0,1443.0,4357.0,150.0,4584.0,883.0,25.0,952.0,117.0,187.0,362.0,19512.0,6635.0,26084.0,26084.0
Mornington,92.0,157.0,316.0,47.0,65.0,144.0,21.0,152.0,226.0,25.0,292.0,371.0,237.0,1067.0,1343.0,200.0,764.0,1023.0,849.0,527.0,1386.0,813.0,440.0,1355.0,1091.0,487.0,1686.0,1166.0,302.0,1505.0,750.0,262.0,1089.0,882.0,211.0,1061.0,1959.0,360.0,2343.0,1699.0,20.0,1730.0,1546.0,50.0,1628.0,1098.0,3.0,1131.0,3809.0,162.0,3990.0,1007.0,4.0,1064.0,168.0,236.0,478.0,17922.0,6224.0,24138.0,24138.0
Morwell,157.0,294.0,510.0,23.0,73.0,137.0,51.0,356.0,440.0,85.0,870.0,1015.0,410.0,2164.0,2597.0,484.0,1152.0,1675.0,1537.0,634.0,2196.0,1439.0,823.0,2253.0,1372.0,809.0,2201.0,1549.0,514.0,2116.0,1036.0,454.0,1493.0,1116.0,260.0,1502.0,2244.0,357.0,2673.0,1646.0,27.0,1672.0,1134.0,61.0,1296.0,592.0,5.0,615.0,1561.0,103.0,1768.0,1204.0,47.0,1300.0,268.0,496.0,810.0,18431.0,10065.0,28561.0,28561.0
Mulgrave,309.0,287.0,730.0,57.0,60.0,174.0,67.0,199.0,327.0,43.0,480.0,601.0,385.0,1356.0,1701.0,257.0,589.0,948.0,1334.0,459.0,1804.0,1177.0,548.0,1798.0,1332.0,560.0,1914.0,1638.0,381.0,2019.0,1235.0,259.0,1492.0,1217.0,167.0,1543.0,2465.0,339.0,2916.0,1805.0,60.0,1939.0,1401.0,69.0,1511.0,872.0,21.0,893.0,2184.0,101.0,2385.0,1105.0,113.0,1276.0,191.0,182.0,441.0,19440.0,7086.0,26512.0,26512.0
Murray Plains,144.0,168.0,455.0,48.0,66.0,152.0,28.0,231.0,295.0,99.0,592.0,745.0,413.0,1709.0,2139.0,396.0,938.0,1392.0,1411.0,549.0,2054.0,1213.0,801.0,2001.0,1310.0,675.0,2016.0,1529.0,396.0,1993.0,1104.0,293.0,1448.0,1111.0,125.0,1371.0,2258.0,258.0,2575.0,1538.0,15.0,1547.0,925.0,34.0,989.0,491.0,3.0,520.0,1092.0,53.0,1238.0,1127.0,22.0,1207.0,318.0,487.0,862.0,16971.0,8136.0,25102.0,25102.0
Narracan,142.0,167.0,380.0,40.0,56.0,129.0,47.0,171.0,273.0,49.0,375.0,466.0,295.0,1164.0,1501.0,290.0,808.0,1180.0,1218.0,492.0,1760.0,1067.0,606.0,1735.0,1341.0,563.0,1837.0,1437.0,355.0,1840.0,1087.0,280.0,1447.0,1169.0,197.0,1486.0,2510.0,326.0,2814.0,1746.0,21.0,1810.0,1348.0,31.0,1412.0,768.0,5.0,766.0,1871.0,63.0,1969.0,1185.0,10.0,1238.0,274.0,257.0,592.0,18269.0,6616.0,24893.0,24893.0
Narre Warren North,213.0,128.0,407.0,42.0,42.0,107.0,38.0,81.0,182.0,85.0,255.0,392.0,268.0,838.0,1171.0,351.0,410.0,860.0,1169.0,249.0,1495.0,979.0,397.0,1447.0,1312.0,515.0,1832.0,1652.0,339.0,2068.0,1181.0,256.0,1503.0,1430.0,146.0,1611.0,2906.0,283.0,3227.0,2206.0,40.0,2286.0,1605.0,29.0,1663.0,1029.0,0.0,1066.0,2068.0,51.0,2211.0,1164.0,20.0,1204.0,179.0,110.0,359.0,20401.0,5142.0,25583.0,25583.0
Narre Warren South,157.0,123.0,373.0,19.0,10.0,42.0,31.0,52.0,111.0,41.0,154.0,281.0,209.0,472.0,769.0,303.0,241.0,674.0,974.0,201.0,1227.0,1044.0,369.0,1494.0,1397.0,418.0,1903.0,1789.0,319.0,2190.0,1465.0,227.0,1789.0,1599.0,120.0,1766.0,3490.0,204.0,3746.0,2625.0,6.0,2652.0,1857.0,19.0,1919.0,1142.0,7.0,1158.0,2165.0,22.0,2254.0,1315.0,44.0,1396.0,150.0,87.0,287.0,22239.0,3956.0,26214.0,26214.0
Nepean,150.0,288.0,494.0,46.0,86.0,178.0,32.0,210.0,300.0,47.0,490.0,621.0,368.0,1514.0,1854.0,230.0,1081.0,1406.0,1264.0,623.0,1932.0,1167.0,710.0,1863.0,1376.0,642.0,2048.0,1495.0,485.0,1982.0,902.0,365.0,1307.0,995.0,259.0,1286.0,1943.0,366.0,2361.0,1465.0,18.0,1513.0,1074.0,57.0,1153.0,556.0,3.0,574.0,1973.0,211.0,2249.0,1077.0,25.0,1172.0,272.0,381.0,687.0,16748.0,8289.0,25098.0,25098.0
Niddrie,264.0,275.0,601.0,46.0,55.0,156.0,38.0,208.0,296.0,55.0,380.0,477.0,268.0,1140.0,1410.0,216.0,561.0,797.0,1142.0,398.0,1520.0,882.0,401.0,1289.0,1066.0,463.0,1562.0,1217.0,393.0,1576.0,868.0,318.0,1241.0,859.0,250.0,1187.0,2158.0,508.0,2711.0,1841.0,30.0,1898.0,1690.0,82.0,1795.0,1308.0,6.0,1317.0,3891.0,127.0,4036.0,887.0,18.0,917.0,233.0,147.0,418.0,19111.0,6326.0,25477.0,25477.0
Northcote,71.0,247.0,397.0,11.0,82.0,124.0,17.0,204.0,272.0,29.0,566.0,634.0,220.0,1179.0,1366.0,176.0,657.0,885.0,572.0,543.0,1164.0,465.0,690.0,1234.0,592.0,831.0,1539.0,736.0,896.0,1644.0,622.0,867.0,1535.0,707.0,767.0,1529.0,1757.0,1310.0,3055.0,1514.0,194.0,1751.0,1584.0,326.0,1964.0,1225.0,86.0,1374.0,5144.0,584.0,5767.0,762.0,302.0,1115.0,40.0,107.0,234.0,16672.0,11070.0,27780.0,27780.0
Oakleigh,284.0,689.0,1030.0,59.0,130.0,225.0,46.0,276.0,395.0,42.0,584.0,715.0,272.0,1358.0,1655.0,269.0,909.0,1266.0,913.0,617.0,1637.0,840.0,873.0,1738.0,1136.0,1060.0,2189.0,1321.0,965.0,2361.0,1143.0,871.0,2031.0,1165.0,671.0,1889.0,2711.0,1213.0,3911.0,2135.0,228.0,2424.0,1956.0,282.0,2308.0,1362.0,70.0,1464.0,4561.0,430.0,5050.0,960.0,310.0,1324.0,106.0,166.0,334.0,21681.0,12469.0,34198.0,34198.0
Ovens Valley,135.0,216.0,447.0,33.0,41.0,109.0,42.0,173.0,270.0,61.0,548.0,644.0,296.0,1701.0,2000.0,285.0,989.0,1385.0,1439.0,622.0,2141.0,1227.0,823.0,1993.0,1313.0,648.0,1953.0,1516.0,399.0,1968.0,984.0,300.0,1360.0,1111.0,140.0,1277.0,2202.0,297.0,2551.0,1458.0,20.0,1494.0,1071.0,21.0,1136.0,503.0,0.0,525.0,1180.0,83.0,1304.0,1184.0,29.0,1255.0,255.0,372.0,737.0,16827.0,8079.0,24857.0,24857.0
Pakenham,111.0,112.0,296.0,4.0,31.0,66.0,33.0,63.0,135.0,58.0,242.0,329.0,182.0,775.0,1009.0,297.0,479.0,851.0,939.0,295.0,1316.0,1017.0,545.0,1493.0,1301.0,680.0,1985.0,1567.0,447.0,2104.0,1324.0,413.0,1759.0,1585.0,291.0,1874.0,3364.0,365.0,3850.0,2488.0,30.0,2545.0,1587.0,57.0,1725.0,917.0,12.0,936.0,1597.0,47.0,1682.0,1033.0,41.0,1087.0,185.0,113.0,359.0,20012.0,5891.0,25841.0,25841.0
Pascoe Vale,186.0,259.0,535.0,29.0,67.0,126.0,28.0,216.0,297.0,40.0,476.0,560.0,179.0,1139.0,1348.0,197.0,614.0,842.0,741.0,469.0,1236.0,626.0,619.0,1239.0,774.0,717.0,1578.0,908.0,677.0,1623.0,878.0,721.0,1555.0,956.0,621.0,1522.0,2140.0,1083.0,3205.0,1907.0,144.0,2070.0,1790.0,228.0,2116.0,1325.0,58.0,1445.0,3770.0,248.0,4052.0,779.0,239.0,1046.0,139.0,158.0,376.0,17636.0,9224.0,26910.0,26910.0
Point Cook,273.0,178.0,551.0,24.0,6.0,73.0,42.0,73.0,168.0,58.0,232.0,359.0,265.0,567.0,878.0,271.0,359.0,697.0,930.0,219.0,1233.0,821.0,424.0,1249.0,1226.0,466.0,1757.0,1490.0,457.0,1949.0,1247.0,358.0,1687.0,1267.0,266.0,1642.0,3504.0,523.0,4042.0,2665.0,16.0,2738.0,2481.0,62.0,2586.0,1601.0,7.0,1662.0,4308.0,89.0,4497.0,1251.0,33.0,1332.0,150.0,81.0,321.0,24390.0,5494.0,29916.0,29916.0
Polwarth,154.0,240.0,422.0,60.0,109.0,194.0,36.0,223.0,320.0,29.0,439.0,537.0,270.0,1371.0,1669.0,265.0,785.0,1137.0,1018.0,580.0,1632.0,1072.0,723.0,1775.0,1212.0,656.0,2006.0,1353.0,448.0,1890.0,1026.0,270.0,1399.0,1110.0,285.0,1436.0,2312.0,439.0,2725.0,1733.0,34.0,1796.0,1422.0,95.0,1555.0,893.0,18.0,957.0,2530.0,210.0,2764.0,1246.0,74.0,1376.0,215.0,297.0,546.0,18449.0,7834.0,26271.0,26271.0
Prahran,132.0,564.0,743.0,15.0,120.0,186.0,9.0,365.0,441.0,18.0,708.0,779.0,111.0,1079.0,1259.0,157.0,905.0,1113.0,306.0,856.0,1265.0,358.0,1208.0,1561.0,553.0,1793.0,2377.0,733.0,1924.0,2600.0,583.0,1969.0,2600.0,662.0,1684.0,2352.0,1914.0,3468.0,5345.0,1648.0,357.0,2073.0,1488.0,932.0,2453.0,1176.0,149.0,1355.0,5060.0,1935.0,6966.0,731.0,467.0,1230.0,64.0,258.0,432.0,16325.0,21091.0,37345.0,37345.0
Preston,228.0,388.0,654.0,83.0,94.0,189.0,67.0,357.0,463.0,59.0,724.0,830.0,282.0,1658.0,1989.0,305.0,853.0,1191.0,1138.0,541.0,1736.0,947.0,690.0,1690.0,1091.0,750.0,1904.0,1331.0,851.0,2148.0,1049.0,700.0,1819.0,1091.0,560.0,1643.0,2318.0,929.0,3302.0,1933.0,133.0,2137.0,1661.0,172.0,1897.0,1179.0,27.0,1254.0,2441.0,155.0,2609.0,952.0,212.0,1177.0,209.0,280.0,541.0,18713.0,10659.0,29346.0,29346.0
Richmond,92.0,300.0,433.0,34.0,60.0,117.0,66.0,326.0,388.0,77.0,679.0,763.0,187.0,998.0,1213.0,152.0,622.0,843.0,368.0,541.0,998.0,435.0,651.0,1232.0,429.0,1062.0,1513.0,509.0,1096.0,1702.0,449.0,1113.0,1597.0,518.0,1129.0,1677.0,1483.0,2489.0,4001.0,1390.0,381.0,1801.0,1458.0,807.0,2311.0,1241.0,217.0,1512.0,5424.0,1865.0,7272.0,594.0,654.0,1311.0,71.0,154.0,268.0,15611.0,15446.0,31081.0,31081.0
Ringwood,209.0,270.0,561.0,47.0,88.0,192.0,38.0,193.0,286.0,42.0,500.0,606.0,207.0,1147.0,1481.0,220.0,947.0,1210.0,833.0,614.0,1431.0,927.0,810.0,1720.0,1277.0,826.0,2087.0,1448.0,668.0,2133.0,1024.0,589.0,1634.0,1121.0,445.0,1604.0,2549.0,858.0,3308.0,2094.0,56.0,2243.0,2016.0,135.0,2197.0,1505.0,23.0,1527.0,4144.0,162.0,4401.0,971.0,65.0,1087.0,101.0,188.0,363.0,21231.0,9162.0,30367.0,30367.0
Ripon,118.0,199.0,380.0,53.0,65.0,185.0,41.0,344.0,440.0,42.0,704.0,828.0,363.0,2164.0,2515.0,389.0,897.0,1342.0,1631.0,553.0,2267.0,1308.0,742.0,2006.0,1478.0,640.0,2213.0,1640.0,393.0,2040.0,1076.0,235.0,1360.0,1180.0,193.0,1367.0,2267.0,200.0,2580.0,1592.0,7.0,1637.0,1041.0,26.0,1119.0,538.0,3.0,574.0,1245.0,73.0,1392.0,1232.0,21.0,1319.0,257.0,460.0,792.0,17967.0,8630.0,26559.0,26559.0
Rowville,204.0,133.0,378.0,35.0,29.0,91.0,35.0,100.0,173.0,55.0,216.0,330.0,226.0,696.0,995.0,194.0,417.0,728.0,851.0,275.0,1166.0,749.0,344.0,1135.0,1088.0,346.0,1559.0,1315.0,229.0,1559.0,936.0,246.0,1237.0,1071.0,152.0,1266.0,2439.0,283.0,2765.0,2154.0,18.0,2208.0,1989.0,23.0,2092.0,1331.0,12.0,1334.0,3701.0,61.0,3803.0,960.0,4.0,989.0,127.0,113.0,307.0,19863.0,4487.0,24388.0,24388.0
Sandringham,139.0,237.0,370.0,25.0,66.0,130.0,50.0,171.0,247.0,25.0,394.0,454.0,131.0,915.0,1126.0,140.0,680.0,881.0,453.0,489.0,1041.0,540.0,560.0,1128.0,760.0,655.0,1453.0,876.0,545.0,1497.0,631.0,433.0,1129.0,684.0,378.0,1105.0,1630.0,788.0,2379.0,1437.0,15.0,1481.0,1451.0,179.0,1674.0,1073.0,14.0,1096.0,5968.0,293.0,6292.0,907.0,36.0,948.0,91.0,128.0,283.0,17359.0,7506.0,24859.0,24859.0
Shepparton,164.0,197.0,441.0,44.0,66.0,156.0,59.0,257.0,333.0,72.0,635.0,758.0,373.0,1551.0,1931.0,403.0,908.0,1398.0,1422.0,625.0,2069.0,1270.0,794.0,2063.0,1405.0,750.0,2236.0,1682.0,537.0,2266.0,1164.0,390.0,1631.0,1291.0,229.0,1617.0,2469.0,311.0,2904.0,1761.0,28.0,1818.0,1166.0,44.0,1255.0,698.0,5.0,713.0,1442.0,133.0,1630.0,1151.0,48.0,1237.0,297.0,362.0,739.0,18669.0,8659.0,27320.0,27320.0
South Barwon,69.0,143.0,254.0,29.0,46.0,82.0,14.0,96.0,168.0,19.0,287.0,355.0,137.0,1021.0,1228.0,208.0,707.0,938.0,841.0,468.0,1305.0,871.0,526.0,1482.0,1119.0,546.0,1638.0,1372.0,457.0,1848.0,1040.0,442.0,1494.0,1140.0,315.0,1488.0,2748.0,529.0,3275.0,2340.0,107.0,2478.0,1898.0,85.0,2049.0,1195.0,23.0,1242.0,2775.0,150.0,2933.0,885.0,111.0,1078.0,91.0,165.0,339.0,19007.0,7050.0,26029.0,26029.0
South-West Coast,100.0,199.0,402.0,25.0,43.0,109.0,20.0,245.0,298.0,37.0,581.0,706.0,324.0,1557.0,1948.0,333.0,998.0,1410.0,1272.0,631.0,1971.0,1202.0,805.0,2105.0,1396.0,787.0,2136.0,1680.0,522.0,2177.0,1163.0,357.0,1556.0,1258.0,228.0,1506.0,2503.0,387.0,2939.0,1834.0,28.0,1913.0,1229.0,51.0,1364.0,739.0,0.0,749.0,1608.0,83.0,1785.0,1172.0,28.0,1285.0,268.0,336.0,679.0,18623.0,8697.0,27297.0,27297.0
St Albans,393.0,305.0,809.0,46.0,28.0,131.0,133.0,175.0,350.0,160.0,571.0,744.0,471.0,1210.0,1736.0,380.0,481.0,906.0,1408.0,293.0,1814.0,1279.0,397.0,1757.0,1362.0,460.0,1779.0,1570.0,302.0,1913.0,1158.0,219.0,1431.0,1023.0,190.0,1311.0,2058.0,250.0,2417.0,1583.0,42.0,1657.0,1094.0,70.0,1202.0,636.0,3.0,672.0,1302.0,69.0,1480.0,1010.0,81.0,1173.0,213.0,139.0,454.0,17865.0,6101.0,23972.0,23972.0
Sunbury,126.0,200.0,428.0,30.0,12.0,75.0,23.0,115.0,163.0,47.0,352.0,419.0,151.0,948.0,1229.0,244.0,535.0,823.0,890.0,371.0,1264.0,895.0,473.0,1426.0,956.0,543.0,1576.0,1249.0,459.0,1770.0,1064.0,401.0,1469.0,1076.0,247.0,1382.0,2554.0,392.0,3015.0,2044.0,23.0,2123.0,1572.0,43.0,1665.0,993.0,3.0,1023.0,1965.0,31.0,2052.0,921.0,29.0,1000.0,113.0,153.0,357.0,17379.0,5912.0,23342.0,23342.0
Sydenham,202.0,128.0,389.0,48.0,9.0,71.0,40.0,45.0,126.0,38.0,226.0,294.0,213.0,496.0,812.0,260.0,188.0,524.0,874.0,163.0,1135.0,795.0,233.0,1132.0,956.0,277.0,1324.0,1293.0,273.0,1600.0,1083.0,214.0,1331.0,1246.0,151.0,1495.0,2820.0,283.0,3217.0,2371.0,3.0,2393.0,2004.0,20.0,2054.0,1282.0,9.0,1300.0,2953.0,34.0,2992.0,1131.0,3.0,1163.0,188.0,67.0,360.0,20248.0,3648.0,23912.0,23912.0
Tarneit,207.0,134.0,430.0,29.0,24.0,83.0,39.0,69.0,149.0,40.0,215.0,301.0,186.0,565.0,835.0,345.0,311.0,749.0,999.0,267.0,1377.0,1059.0,435.0,1495.0,1482.0,479.0,2052.0,1909.0,393.0,2292.0,1611.0,328.0,1998.0,1599.0,166.0,1893.0,3775.0,310.0,4124.0,2549.0,45.0,2624.0,1884.0,63.0,1978.0,1107.0,12.0,1170.0,2215.0,108.0,2386.0,1151.0,56.0,1301.0,160.0,118.0,381.0,22941.0,5037.0,28016.0,28016.0
Thomastown,385.0,229.0,663.0,57.0,43.0,121.0,69.0,167.0,308.0,57.0,420.0,568.0,360.0,1061.0,1494.0,400.0,403.0,848.0,1501.0,273.0,1801.0,1258.0,502.0,1770.0,1518.0,497.0,2013.0,1725.0,362.0,2128.0,1380.0,299.0,1760.0,1287.0,167.0,1521.0,2888.0,281.0,3182.0,2037.0,44.0,2099.0,1376.0,50.0,1478.0,812.0,11.0,841.0,1326.0,38.0,1397.0,891.0,42.0,969.0,255.0,134.0,422.0,20000.0,5781.0,25777.0,25777.0
Warrandyte,269.0,212.0,530.0,63.0,30.0,120.0,30.0,91.0,181.0,33.0,259.0,309.0,211.0,742.0,1011.0,226.0,394.0,708.0,812.0,358.0,1197.0,790.0,322.0,1144.0,1033.0,334.0,1447.0,1248.0,201.0,1541.0,889.0,222.0,1187.0,988.0,110.0,1236.0,2107.0,292.0,2497.0,1820.0,16.0,1870.0,1775.0,38.0,1842.0,1223.0,3.0,1253.0,4988.0,97.0,5161.0,1103.0,16.0,1205.0,151.0,87.0,292.0,20368.0,4660.0,25092.0,25092.0
Wendouree,69.0,213.0,340.0,17.0,81.0,107.0,20.0,233.0,300.0,55.0,653.0,729.0,306.0,1867.0,2178.0,384.0,1199.0,1704.0,1332.0,685.0,2042.0,1212.0,910.0,2129.0,1393.0,1031.0,2333.0,1573.0,646.0,2282.0,1137.0,562.0,1691.0,1177.0,343.0,1501.0,2223.0,484.0,2739.0,1514.0,42.0,1624.0,1233.0,78.0,1338.0,688.0,6.0,721.0,1731.0,133.0,1910.0,983.0,66.0,1074.0,204.0,351.0,567.0,17542.0,10070.0,27646.0,27646.0
